	tafereel/noun	toch/adv	opdracht/noun	onderweg/adj	hoe/adj	bijzonder/adj	genoeg/adv	strijd/noun	capriool/noun	bestaan/noun	soms/adv	impasse/noun	plotseling/adj	avontuur/noun	behoorlijk/adj	het/det	zaak/noun	structuur/noun	tocht/noun	positie/noun	prognose/noun	steeds/adv	stunt_werk/noun	poging/noun	reis/noun	vergelijk/verb	oversteek/noun	onderneming/noun	sport/noun	parkoers/noun	even/adj	situatie/noun	onderwerp/noun	stand_DIM/noun	standpunt/noun	besluit/noun	toestand/noun	klus/noun	kwestie/noun	meest/adj	voorspel/verb	uiterst/adj	zo/adv	dat/det	wat/adv	onderdeel/noun	moment/noun	op/adj	dans/noun	publicitair/adj	operatie/noun	toer/noun	exercitie/noun	al/adv	koor/noun	trek_aan/verb	even/adv	zo/adj	opgaaf/noun	veiligheid_situatie/noun	rit/noun	omstandigheid/noun
onderwerp/noun	0.7187809	0.825157	0.78400487	0.8883032	0.7673732	0.7035651	0.820641	0.8638747	0.86625516	0.85203093	0.7265581	0.8176527	0.8297983	0.799266	0.82644415	0.8591952	0.6450913	0.7396536	0.886822	0.7909046	0.8686093	0.74684477	0.90044284	0.86245453	0.8683901	0.8363292	0.91853976	0.8322507	0.6746141	0.8268433	0.8619888	0.7307528	0.0	0.79913014	0.6988443	0.80880374	0.807227	0.8201388	0.5063226	0.7213199	0.8884069	0.7409693	0.7548084	0.8240736	0.8133827	0.75396806	0.77253944	0.9113413	0.7796361	0.8304125	0.8625094	0.8816413	0.8187345	0.8636382	0.88247275	0.9048032	0.81779236	0.8033015	0.83164746	0.8348992	0.96000636	0.7868786
stand_DIM/noun	0.75844926	0.8363274	0.85119134	0.769444	0.86646163	0.83381295	0.8607181	0.9282071	0.8098104	0.8968023	0.80768275	0.8877416	0.85109	0.80301595	0.833718	0.8414608	0.8644744	0.8599388	0.791915	0.86144483	0.92455214	0.85161537	0.88534737	0.8901761	0.8314754	0.8761096	0.8460673	0.8446773	0.81879514	0.78416	0.8184669	0.86063427	0.79913014	0.0	0.8644093	0.90866387	0.8811835	0.8423052	0.8714398	0.84627205	0.9088424	0.8583708	0.8359675	0.8610952	0.8217628	0.85758257	0.8970121	0.9037742	0.80404556	0.86586416	0.8612425	0.8443905	0.8740984	0.85418403	0.8337417	0.87420166	0.8204003	0.8808874	0.90598345	0.9030622	0.9029425	0.85850596
standpunt/noun	0.8372783	0.85657156	0.79817957	0.9308392	0.81270933	0.857132	0.82737046	0.8521444	0.8721692	0.8467355	0.83103216	0.7580689	0.8722609	0.88885516	0.8688722	0.82585514	0.770595	0.7359763	0.92848873	0.64861417	0.76137924	0.80464244	0.88829184	0.81448305	0.8955868	0.8612701	0.9071987	0.8333711	0.8643843	0.88627654	0.8843796	0.7303365	0.6988443	0.8644093	0.0	0.53313625	0.7981732	0.9098021	0.66587913	0.80112946	0.85371506	0.78493494	0.8229975	0.81079364	0.8606901	0.878832	0.8871283	0.9068158	0.8948387	0.8284341	0.8699888	0.8787291	0.83189625	0.89832664	0.88026106	0.9132569	0.866349	0.8702599	0.86712617	0.80010396	0.97265583	0.800065
besluit/noun	0.8848516	0.8728174	0.79205656	0.9344524	0.886657	0.8625214	0.8851468	0.8911082	0.8942472	0.8615348	0.8867769	0.74311006	0.83948755	0.8981972	0.89565486	0.80435276	0.7571455	0.80287963	0.9185523	0.7783855	0.79485667	0.88663507	0.91995925	0.8029194	0.86764765	0.91752785	0.90877014	0.8197672	0.9303295	0.9187461	0.8871272	0.8031474	0.80880374	0.90866387	0.53313625	0.0	0.860447	0.8874365	0.7377074	0.8888303	0.8385747	0.8381979	0.88561535	0.8129336	0.916517	0.87474173	0.8551358	0.90528715	0.9533608	0.89661294	0.764935	0.9201707	0.82238	0.8524799	0.92254907	0.93129224	0.89145505	0.9137331	0.87259716	0.8041742	0.94987255	0.8325168
toestand/noun	0.7404469	0.8300688	0.863292	0.8826581	0.79308325	0.8150429	0.8281675	0.8925187	0.83221173	0.82273346	0.7824826	0.7198348	0.8160752	0.8110865	0.7880327	0.8129108	0.757625	0.7259691	0.8698762	0.74154687	0.7960289	0.81878936	0.90624356	0.85456264	0.8477167	0.87911654	0.8718472	0.8404849	0.87969095	0.8408249	0.8876379	0.32101673	0.807227	0.8811835	0.7981732	0.860447	0.0	0.85969794	0.7685484	0.8405188	0.85655165	0.7888733	0.8063138	0.8162264	0.8350186	0.8990506	0.835387	0.8872978	0.8931351	0.8770886	0.76299477	0.843864	0.8462979	0.88497144	0.9182217	0.9226692	0.8299955	0.8195017	0.8871789	0.6765332	0.9412526	0.58482414
klus/noun	0.85663235	0.74626493	0.5929291	0.86457884	0.817822	0.79675233	0.8048301	0.91097915	0.8719898	0.9119033	0.7741053	0.8880143	0.9046444	0.8318515	0.78000957	0.8726783	0.77146304	0.83606195	0.8550416	0.86604965	0.8764941	0.8378384	0.8514537	0.88910055	0.8740506	0.903451	0.8535937	0.85752356	0.872505	0.7545097	0.77354425	0.80320823	0.8201388	0.8423052	0.9098021	0.8874365	0.85969794	0.0	0.8084767	0.85988766	0.85637903	0.79807216	0.76843286	0.781586	0.77040493	0.88556784	0.8424419	0.8856773	0.9241471	0.84864014	0.7313538	0.818961	0.8378159	0.8043677	0.89573306	0.8691729	0.79557997	0.83979416	0.68148905	0.9180527	0.8540405	0.8024369
kwestie/noun	0.8445624	0.8461746	0.81806165	0.9089882	0.79203194	0.8039917	0.84660935	0.8157185	0.89443296	0.8647955	0.79671395	0.7395634	0.8578611	0.8750996	0.8312855	0.83596647	0.5262177	0.7328187	0.91616386	0.78943914	0.8829826	0.8171937	0.90609854	0.853372	0.86894095	0.87808776	0.912414	0.8319321	0.7859968	0.8895785	0.8331392	0.72124726	0.5063226	0.8714398	0.66587913	0.7377074	0.7685484	0.8084767	0.0	0.82553315	0.90566367	0.7626786	0.84756017	0.80263835	0.8224392	0.8245821	0.83435816	0.9203307	0.85985816	0.8305477	0.817547	0.8827793	0.7974078	0.8936938	0.927342	0.913436	0.8663828	0.86839545	0.835053	0.789851	0.962219	0.8024168
meest/adj	0.76606846	0.7926213	0.8431301	0.8584218	0.784444	0.6382714	0.75809085	0.8829137	0.8013786	0.83499163	0.725612	0.88074523	0.82087284	0.8158208	0.76722765	0.8639718	0.85278994	0.8008653	0.8689824	0.826753	0.8191994	0.68241775	0.8765205	0.8851558	0.85687435	0.8015212	0.8474143	0.7980417	0.7890803	0.85139424	0.8652916	0.79832065	0.7213199	0.84627205	0.80112946	0.8888303	0.8405188	0.85988766	0.82553315	0.0	0.8315976	0.6522811	0.7553965	0.8202761	0.8245344	0.7842597	0.8304275	0.8589771	0.80982625	0.83288944	0.8548802	0.85887074	0.8295292	0.8776658	0.85045075	0.7995218	0.7414238	0.79668015	0.87279415	0.8581779	0.94759923	0.8033726
voorspel/verb	0.8850104	0.8478744	0.8552152	0.90753114	0.866863	0.8745116	0.8842296	0.89186984	0.90483576	0.8967432	0.8519772	0.8698257	0.80479014	0.88111424	0.813681	0.8272902	0.8970789	0.869815	0.9035345	0.83608776	0.5597	0.8334837	0.9141983	0.88904256	0.9051663	0.7496575	0.8795526	0.79295725	0.907532	0.8583374	0.89494663	0.85138667	0.8884069	0.9088424	0.85371506	0.8385747	0.85655165	0.85637903	0.90566367	0.8315976	0.0	0.8425361	0.8593519	0.84803474	0.8432006	0.8633773	0.8760937	0.92440426	0.9361512	0.8549731	0.8529413	0.88762426	0.8603534	0.82169473	0.9142769	0.8344969	0.8695738	0.8708062	0.8082473	0.891245	0.89089227	0.83430237
uiterst/adj	0.77187014	0.772972	0.8351691	0.9016761	0.71411264	0.48931235	0.66929543	0.86269903	0.8234512	0.83590925	0.6436788	0.8168423	0.83586013	0.82794315	0.6676922	0.83220494	0.8265396	0.7493258	0.85853523	0.81348866	0.8228925	0.7123529	0.88087404	0.8035609	0.8514175	0.8536144	0.88447547	0.8429585	0.85242486	0.8493436	0.8146051	0.7353429	0.7409693	0.8583708	0.78493494	0.8381979	0.7888733	0.79807216	0.7626786	0.6522811	0.8425361	0.0	0.6759873	0.8162087	0.64167666	0.8273069	0.7980484	0.89571667	0.8338052	0.8126782	0.7964704	0.8496226	0.7722594	0.92031074	0.8719071	0.9098662	0.65835524	0.6925904	0.8446039	0.83655524	0.9399893	0.76611143
zo/adv	0.7499391	0.5500196	0.83710337	0.85163736	0.50494975	0.6407872	0.50772667	0.91474175	0.7889848	0.8567214	0.5478666	0.87971187	0.7668195	0.8176223	0.69268656	0.8760673	0.809994	0.80312896	0.87171566	0.8566371	0.85974514	0.65648675	0.881714	0.89972204	0.86780524	0.8704539	0.88440764	0.8777301	0.7976438	0.83789325	0.63112605	0.7371093	0.7548084	0.8359675	0.8229975	0.88561535	0.8063138	0.76843286	0.84756017	0.7553965	0.8593519	0.6759873	0.0	0.5848807	0.55872416	0.90381277	0.7685828	0.89107823	0.8758018	0.8103836	0.87000406	0.8399475	0.8554746	0.790364	0.88681084	0.89295495	0.63729095	0.4184535	0.8427747	0.88790494	0.9251417	0.7741561
dat/det	0.81675076	0.48790878	0.8322422	0.8696602	0.63653374	0.7544123	0.7034255	0.93925023	0.8346374	0.8412126	0.6044332	0.859331	0.820345	0.84389967	0.71751106	0.72754693	0.8022264	0.8163656	0.916508	0.86569333	0.81791484	0.7729867	0.83357817	0.87995034	0.88983023	0.8154987	0.88594276	0.8509582	0.81639284	0.84574234	0.76476073	0.72389364	0.8240736	0.8610952	0.81079364	0.8129336	0.8162264	0.781586	0.80263835	0.8202761	0.84803474	0.8162087	0.5848807	0.0	0.6875628	0.9117792	0.7980158	0.9128208	0.8984543	0.7930852	0.820523	0.8847959	0.7788681	0.8306023	0.92124885	0.8834915	0.8617779	0.71974576	0.80754983	0.8420861	0.95004207	0.73740065
wat/adv	0.77731895	0.53938717	0.8780179	0.8089813	0.6774262	0.6575972	0.58516765	0.92047155	0.8069492	0.8809742	0.49180204	0.88957995	0.73799527	0.8246366	0.538435	0.8574055	0.84192765	0.7875162	0.8630645	0.8764904	0.81289774	0.62636817	0.85884047	0.8882924	0.8757694	0.85532176	0.8875036	0.8996254	0.8317676	0.8147306	0.52173567	0.78958666	0.8133827	0.8217628	0.8606901	0.916517	0.8350186	0.77040493	0.8224392	0.8245344	0.8432006	0.64167666	0.55872416	0.6875628	0.0	0.9265125	0.7997736	0.86090946	0.8518127	0.8195809	0.88464105	0.8090606	0.81718266	0.8387189	0.8804139	0.8408569	0.6827015	0.62734246	0.8740503	0.8979414	0.92278755	0.79118717
onderdeel/noun	0.86634666	0.92904526	0.7971823	0.8898099	0.8994742	0.8252679	0.90833545	0.886233	0.900734	0.84436935	0.9027984	0.87904656	0.9113542	0.88092893	0.8794154	0.7748532	0.84573996	0.7128365	0.90829617	0.80111253	0.851111	0.851181	0.8943086	0.88914204	0.8939513	0.8554051	0.8969484	0.6325248	0.7853114	0.83743477	0.94222224	0.8850206	0.75396806	0.85758257	0.878832	0.87474173	0.8990506	0.88556784	0.8245821	0.7842597	0.8633773	0.8273069	0.90381277	0.9117792	0.9265125	0.0	0.87938213	0.9143994	0.8352291	0.87507164	0.81752205	0.86802	0.8847842	0.89939165	0.86793536	0.9139526	0.8705407	0.9066385	0.8882407	0.8886546	0.92366993	0.8836119
moment/noun	0.7615918	0.69994205	0.85083884	0.85676634	0.74097043	0.7754545	0.7788685	0.9169055	0.86926246	0.856673	0.68130225	0.8872429	0.72906506	0.7983261	0.82997984	0.8922481	0.8378595	0.8696697	0.8678826	0.81605744	0.8792357	0.80628324	0.9050285	0.8881549	0.8796523	0.9170502	0.889111	0.9103445	0.86630684	0.83053863	0.7275847	0.75469977	0.77253944	0.8970121	0.8871283	0.8551358	0.835387	0.8424419	0.83435816	0.8304275	0.8760937	0.7980484	0.7685828	0.7980158	0.7997736	0.87938213	0.0	0.9150869	0.9083668	0.8809667	0.89043605	0.8877153	0.8687074	0.85554755	0.91903704	0.92741084	0.7813185	0.7685883	0.8707484	0.8917184	0.92517143	0.70260817
op/adj	0.88787055	0.84382105	0.8973411	0.7870952	0.907206	0.9031899	0.8873394	0.920826	0.9193046	0.87000215	0.8844398	0.9225975	0.8831104	0.89320195	0.90272933	0.8891217	0.8956869	0.9006457	0.89174706	0.910146	0.93867344	0.864138	0.8766634	0.90185803	0.8775515	0.905805	0.88990974	0.92908245	0.91764945	0.88518095	0.84388214	0.8882317	0.9113413	0.9037742	0.9068158	0.90528715	0.8872978	0.8856773	0.9203307	0.8589771	0.92440426	0.89571667	0.89107823	0.9128208	0.86090946	0.9143994	0.9150869	0.0	0.935163	0.8948633	0.9256311	0.88270044	0.9254531	0.88053536	0.9409618	0.8427819	0.8560365	0.9227044	0.9170032	0.9273131	0.92004335	0.91578144
dans/noun	0.73136795	0.91496706	0.91523606	0.8735111	0.8829361	0.7885763	0.88811094	0.9062216	0.8174627	0.8672191	0.76769197	0.89051867	0.861742	0.7701367	0.85882425	0.8351407	0.91497695	0.78374213	0.84978086	0.918693	0.9340899	0.8685722	0.87231797	0.9170341	0.8652247	0.8463602	0.89123046	0.90063	0.6724981	0.8628385	0.89046985	0.90493155	0.7796361	0.80404556	0.8948387	0.9533608	0.8931351	0.9241471	0.85985816	0.80982625	0.9361512	0.8338052	0.8758018	0.8984543	0.8518127	0.8352291	0.9083668	0.935163	0.0	0.8833004	0.91001225	0.83179176	0.88337046	0.94591665	0.6739452	0.9177871	0.83704734	0.893521	0.9280554	0.9350926	0.9156739	0.92209023
publicitair/adj	0.8819854	0.8095786	0.87022424	0.8738644	0.85587406	0.7808596	0.8266405	0.8749231	0.89287907	0.874673	0.810657	0.8547045	0.8463298	0.8520403	0.81217694	0.83160377	0.83196354	0.84865505	0.8827628	0.8410234	0.8780769	0.8233152	0.86386466	0.8624752	0.8981668	0.83744437	0.89287513	0.81643134	0.8159499	0.86414915	0.86473095	0.82646734	0.8304125	0.86586416	0.8284341	0.89661294	0.8770886	0.84864014	0.8305477	0.83288944	0.8549731	0.8126782	0.8103836	0.7930852	0.8195809	0.87507164	0.8809667	0.8948633	0.8833004	0.0	0.86166227	0.8788215	0.8620188	0.8735923	0.8978302	0.8522756	0.8373132	0.87446284	0.86067826	0.8881554	0.9065752	0.84672177
operatie/noun	0.84089196	0.86929667	0.74559593	0.88368917	0.8749155	0.84351504	0.888246	0.7335758	0.8919571	0.8409848	0.83231765	0.77367187	0.85447335	0.77450824	0.82887495	0.85647994	0.7933367	0.77803147	0.7632165	0.85331154	0.85272443	0.83890736	0.8834038	0.73696375	0.7358829	0.89173555	0.8302735	0.73567045	0.9002486	0.8424408	0.88616204	0.7568934	0.8625094	0.8612425	0.8699888	0.764935	0.76299477	0.7313538	0.817547	0.8548802	0.8529413	0.7964704	0.87000406	0.820523	0.88464105	0.81752205	0.89043605	0.9256311	0.91001225	0.86166227	0.0	0.8876512	0.7574922	0.80686486	0.8883256	0.9337326	0.86743426	0.88638425	0.83256257	0.7867824	0.8707313	0.7841729
toer/noun	0.8291188	0.82395774	0.88382864	0.8254217	0.8932187	0.86873806	0.8666271	0.89380395	0.80779976	0.89652425	0.79417974	0.83646894	0.8379476	0.81450796	0.8152728	0.8768964	0.89497596	0.8471781	0.8012581	0.89600766	0.87110996	0.81042385	0.8305763	0.88574743	0.8241119	0.906519	0.84014076	0.8661619	0.8435159	0.8204363	0.8488125	0.8643331	0.8816413	0.8443905	0.8787291	0.9201707	0.843864	0.818961	0.8827793	0.85887074	0.88762426	0.8496226	0.8399475	0.8847959	0.8090606	0.86802	0.8877153	0.88270044	0.83179176	0.8788215	0.8876512	0.0	0.88748014	0.85500866	0.8577759	0.87591815	0.85632354	0.84815365	0.88299155	0.9220559	0.8771142	0.8877877
exercitie/noun	0.84197885	0.8076095	0.8589063	0.9028015	0.85618913	0.7918986	0.8533986	0.89721733	0.8565886	0.85940015	0.77220184	0.8394715	0.88060534	0.79794925	0.82092977	0.8728953	0.84205186	0.8129152	0.8591131	0.86778355	0.8814001	0.8532405	0.876905	0.8353404	0.8339908	0.8842361	0.88526976	0.83083737	0.86178136	0.8625355	0.88286656	0.80954885	0.8187345	0.8740984	0.83189625	0.82238	0.8462979	0.8378159	0.7974078	0.8295292	0.8603534	0.7722594	0.8554746	0.7788681	0.81718266	0.8847842	0.8687074	0.9254531	0.88337046	0.8620188	0.7574922	0.88748014	0.0	0.86912674	0.90248173	0.9254606	0.84872615	0.88628983	0.8390228	0.889014	0.9022441	0.8416625
al/adv	0.857428	0.7327894	0.89360243	0.78812003	0.8399075	0.875565	0.8403215	0.87166595	0.89285356	0.87241316	0.79404634	0.872433	0.8269304	0.8732991	0.7904391	0.8873905	0.8679862	0.9037422	0.8144842	0.8880227	0.8377227	0.7812209	0.87352633	0.84082955	0.83527106	0.9102783	0.8406719	0.82740986	0.89447033	0.824208	0.8037504	0.8867068	0.8636382	0.85418403	0.89832664	0.8524799	0.88497144	0.8043677	0.8936938	0.8776658	0.82169473	0.92031074	0.790364	0.8306023	0.8387189	0.89939165	0.85554755	0.88053536	0.94591665	0.8735923	0.80686486	0.85500866	0.86912674	0.0	0.8919296	0.91135705	0.8423946	0.8688263	0.86738664	0.9056927	0.83278936	0.89427483
koor/noun	0.8081175	0.91211456	0.8782294	0.8943727	0.91532236	0.84431005	0.90579486	0.91878	0.83082026	0.86189663	0.829637	0.9021785	0.8816979	0.8562387	0.8729069	0.8555333	0.9366681	0.8402388	0.83809084	0.8961617	0.9219884	0.87576985	0.8824048	0.9330357	0.89230657	0.88485485	0.9041278	0.8613473	0.87263095	0.848662	0.8920809	0.9335013	0.88247275	0.8337417	0.88026106	0.92254907	0.9182217	0.89573306	0.927342	0.85045075	0.9142769	0.8719071	0.88681084	0.92124885	0.8804139	0.86793536	0.91903704	0.9409618	0.6739452	0.8978302	0.8883256	0.8577759	0.90248173	0.8919296	0.0	0.9032467	0.8565043	0.90428007	0.90804994	0.9363731	0.92383575	0.9126409
trek_aan/verb	0.91769105	0.8325151	0.8636874	0.89146006	0.9069452	0.8829317	0.86295635	0.9312749	0.88725495	0.93831015	0.86691475	0.91558015	0.8829693	0.89571846	0.852026	0.8969727	0.9074453	0.8581375	0.9454086	0.81632745	0.85105634	0.8187967	0.91379654	0.91359115	0.91190135	0.85505325	0.9007922	0.7769044	0.8563343	0.8978684	0.9024865	0.9205289	0.9048032	0.87420166	0.9132569	0.93129224	0.9226692	0.8691729	0.913436	0.7995218	0.8344969	0.9098662	0.89295495	0.8834915	0.8408569	0.9139526	0.92741084	0.8427819	0.9177871	0.8522756	0.9337326	0.87591815	0.9254606	0.91135705	0.9032467	0.0	0.92165613	0.9103701	0.91731286	0.9117179	0.93826485	0.90841305
even/adv	0.70551133	0.7645752	0.87265587	0.8022889	0.7749444	0.69118035	0.6917176	0.8847387	0.81482935	0.8821182	0.65422237	0.8744551	0.72997665	0.81640524	0.7396283	0.8530921	0.87319297	0.83023787	0.80606395	0.8644315	0.88660175	0.7865617	0.86958385	0.84749943	0.8722912	0.8859447	0.869203	0.9024086	0.8777201	0.79703295	0.5883188	0.8204334	0.81779236	0.8204003	0.866349	0.89145505	0.8299955	0.79557997	0.8663828	0.7414238	0.8695738	0.65835524	0.63729095	0.8617779	0.6827015	0.8705407	0.7813185	0.8560365	0.83704734	0.8373132	0.86743426	0.85632354	0.84872615	0.8423946	0.8565043	0.92165613	0.0	0.71129364	0.85244924	0.8992435	0.84983575	0.84084237
zo/adj	0.8108511	0.6835085	0.9011836	0.906041	0.64759386	0.6483916	0.6200286	0.9274887	0.8306395	0.89870435	0.59155834	0.91471744	0.77947515	0.862798	0.6400612	0.9125211	0.8673438	0.81730103	0.91021013	0.90693814	0.8991877	0.6680487	0.9057026	0.92746186	0.91819274	0.8714346	0.9071815	0.91110605	0.83671343	0.8625885	0.73561025	0.7951099	0.8033015	0.8808874	0.8702599	0.9137331	0.8195017	0.83979416	0.86839545	0.79668015	0.8708062	0.6925904	0.4184535	0.71974576	0.62734246	0.9066385	0.7685883	0.9227044	0.893521	0.87446284	0.88638425	0.84815365	0.88628983	0.8688263	0.90428007	0.9103701	0.71129364	0.0	0.8936261	0.91092885	0.9337419	0.8078319
opgaaf/noun	0.8928281	0.8310949	0.71122897	0.90107656	0.86052215	0.8596654	0.8608513	0.9048779	0.8727714	0.90338916	0.82398385	0.9034851	0.89087987	0.88646567	0.84692264	0.9018557	0.8593958	0.8602352	0.9143526	0.84409094	0.8120264	0.86392677	0.8873459	0.8853044	0.9183076	0.87432563	0.9036218	0.87334657	0.90722597	0.7850486	0.88878405	0.831597	0.83164746	0.90598345	0.86712617	0.87259716	0.8871789	0.68148905	0.835053	0.87279415	0.8082473	0.8446039	0.8427747	0.80754983	0.8740503	0.8882407	0.8707484	0.9170032	0.9280554	0.86067826	0.83256257	0.88299155	0.8390228	0.86738664	0.90804994	0.91731286	0.85244924	0.8936261	0.0	0.9017085	0.7935419	0.80972815
veiligheid_situatie/noun	0.89743316	0.8690014	0.880289	0.90349907	0.8665613	0.89368373	0.90335834	0.85830534	0.91934526	0.84487534	0.8786769	0.7920285	0.84326714	0.8916759	0.8895058	0.84903216	0.7996254	0.8116433	0.906302	0.77994734	0.8483896	0.8178716	0.90017605	0.86327386	0.84648067	0.9177053	0.89918834	0.84960973	0.92421055	0.9027979	0.91585404	0.6389657	0.8348992	0.9030622	0.80010396	0.8041742	0.6765332	0.9180527	0.789851	0.8581779	0.891245	0.83655524	0.88790494	0.8420861	0.8979414	0.8886546	0.8917184	0.9273131	0.9350926	0.8881554	0.7867824	0.9220559	0.889014	0.9056927	0.9363731	0.9117179	0.8992435	0.91092885	0.9017085	0.0	0.9568754	0.76416993
rit/noun	0.89176416	0.9227715	0.91716796	0.7662493	0.96002895	0.942894	0.94419414	0.87962663	0.914526	0.9439689	0.9170278	0.9229984	0.906851	0.8380308	0.9039787	0.8924005	0.9581402	0.9661432	0.6452085	0.8987003	0.8571915	0.95314956	0.8986655	0.89808005	0.74763	0.94116354	0.8002949	0.9277047	0.92765146	0.6829344	0.904413	0.96462125	0.96000636	0.9029425	0.97265583	0.94987255	0.9412526	0.8540405	0.962219	0.94759923	0.89089227	0.9399893	0.9251417	0.95004207	0.92278755	0.92366993	0.92517143	0.92004335	0.9156739	0.9065752	0.8707313	0.8771142	0.9022441	0.83278936	0.92383575	0.93826485	0.84983575	0.9337419	0.7935419	0.9568754	0.0	0.94551724
omstandigheid/noun	0.78238857	0.76051384	0.7685969	0.87948346	0.74735105	0.77826697	0.79685473	0.91573894	0.8371613	0.8491639	0.74328834	0.84146297	0.82851434	0.8670579	0.7807324	0.8727389	0.7549371	0.7322936	0.8799226	0.72538763	0.79800165	0.789269	0.88499606	0.8614822	0.89157385	0.86854154	0.8666725	0.8062318	0.84231675	0.771127	0.8721314	0.45807862	0.7868786	0.85850596	0.800065	0.8325168	0.58482414	0.8024369	0.8024168	0.8033726	0.83430237	0.76611143	0.7741561	0.73740065	0.79118717	0.8836119	0.70260817	0.91578144	0.92209023	0.84672177	0.7841729	0.8877877	0.8416625	0.89427483	0.9126409	0.90841305	0.84084237	0.8078319	0.80972815	0.76416993	0.94551724	0.0
