	Bayer/name	Brecht/name	Dimitri/name	Esser/name	Estland/name	Geeroms/name	Gino/name	Kevin/name	Kralj/name	LOMMEL/name	Rocky/name	Roda/name	Roeselare/name	VN/name	Van/name	aandeel/noun	aandeel_beurs/noun	allicht/adv	als/comp	automatiseerder/noun	autonomie/noun	balans/noun	begin/adv	bestuur/noun	bezoeker/noun	binnen/prep	breuk/noun	cabaretier/noun	consumentenvertrouwen/noun	contact/noun	daarmee/pp	daarna/adv	daarna/pp	dak/noun	dat/det	democratie/noun	dit/det	doelman/noun	door/comp	driepunters/noun	echter/adv	economie/noun	eerst/adv	effect_beurs/noun	elektriciteit/noun	en/vg	enigszins/adv	enkel_blessure/noun	euvel/noun	eveneens/adv	eventueel/adj	evenwicht/noun	fonds/noun	fout_DIM/noun	functie/noun	gebouw/noun	geheel/adj	geleidelijk/adj	geloof/noun	geloofwaardigheid/noun	gemeente/noun	geraakt/adj	gezag/noun	gisteren/adv	gisterenavond/adv	gistermiddag/adv	goed/adj	golfer/noun	grasland/noun	helemaal/adv	het/det	hiervan/pp	hij/pron	huisstijl/noun	iets/adv	in/prep	installatie/noun	intussen/adv	kerk_toren/noun	klimaat/noun	knap/adj	kost/adv	kraan/noun	krachtig/adj	laat/adj	leger/noun	leiding/noun	liberalisme/noun	licht/adj	men/pron	meteen/adv	middenvelder/noun	misser/noun	mogelijk/adj	momenteel/adj	monarchie/noun	na/prep	nadat/comp	nadien/pp	natuur/noun	nauwelijks/adv	net/adv	niet/adv	nog/adv	normaal/adj	olie_prijs/noun	om/comp	onafhankelijkheid/noun	ondanks/prep	onmiddellijk/adj	ons/pron	opdat/comp	opnieuw/adv	orde/noun	overheid/noun	paars_wit/adj	pas/adv	patiënt/noun	patiënte/noun	ploeg/noun	politie_agent/noun	populatie/noun	rechtsorde/noun	relatie/noun	reputatie/noun	rust/noun	samenleving/noun	samenwerking/noun	schade/noun	scheur/noun	situatie/noun	sluit_post/noun	snel/adj	spier/noun	stad_bestuur/noun	technologie_aandeel/noun	terwijl/comp	thuis/adv	thuis_reputatie/noun	thuisploeg/noun	tijdelijk/adj	tijdig/adj	toestand/noun	traditie/noun	van/prep	vanmiddag/adv	vanochtend/adv	vanzelf/adv	veiligheid/noun	ven/noun	vertrouwen/noun	vervolgens/adv	voetpad/noun	voldoende/adj	voldoende/adv	volgens/prep	volledig/adj	voorlopig/adj	waardoor/pp	waarschijnlijk/adj	wat/adv	water_kwaliteit/noun	we/pron	weeg/verb	weer/adv	weg/noun	wegdek/noun	wij/pron	wonderbaarlijk/adj	woning/noun	ze/pron	zich/pron	ziekenhuis/noun	zodat/comp	zuiverheid/noun
echter/adv	0.7239386	0.93205684	0.9152172	0.9216936	0.95775664	0.81174445	0.9073133	0.8385491	0.83046573	0.9026053	0.9492689	0.8328828	0.8501673	0.8493283	0.86785275	0.7293769	0.75518215	0.63236225	0.69518256	0.7591697	0.88381606	0.7473329	0.747719	0.7749624	0.51702714	0.7808408	0.7731628	0.97438836	0.80014247	0.7239126	0.6863123	0.57149553	0.5853864	0.8702364	0.5210308	0.88543993	0.65448165	0.71013916	0.5487425	0.62580276	0.0	0.6837777	0.68389744	0.7591605	0.7713763	0.7495004	0.67111397	0.6731777	0.61726856	0.6775737	0.6346898	0.69611716	0.7247378	0.5622648	0.82980514	0.77589136	0.6706608	0.72383857	0.8567995	0.79089016	0.8024334	0.7587153	0.7621422	0.77556634	0.8290857	0.79088527	0.6790191	0.81754416	0.8533325	0.5862436	0.749833	0.55334294	0.6855853	0.68280107	0.7192508	0.7998317	0.8767475	0.6248269	0.9632301	0.7549101	0.6327459	0.8178998	0.82503366	0.7379683	0.62358075	0.8463483	0.71689415	0.9043401	0.6652981	0.5188024	0.5881092	0.82269794	0.6612487	0.69138587	0.74568814	0.88167876	0.613356	0.5772868	0.48290592	0.82379293	0.6325085	0.84531933	0.5412992	0.5464284	0.6701224	0.72918683	0.55890095	0.859353	0.58951354	0.66410923	0.5419819	0.5872959	0.5261045	0.5508974	0.72075105	0.7350729	0.7313279	0.75055736	0.84233755	0.5890633	0.8657981	0.7392318	0.8119896	0.86283463	0.8366167	0.5274483	0.8174816	0.8189037	0.7515342	0.8218929	0.6520438	0.8576103	0.67819023	0.76944685	0.7800623	0.73063505	0.69218194	0.7171122	0.7430428	0.5378889	0.7629963	0.6714405	0.87636584	0.78012925	0.81720316	0.78097343	0.7432277	0.7571542	0.7422986	0.8442534	0.59136105	0.7889831	0.83424336	0.64932835	0.77088255	0.70284677	0.70611215	0.5798801	0.5604023	0.53209084	0.6670431	0.83152145	0.5282252	0.74115425	0.5928768	0.79963636	0.83846766	0.63597524	0.8130724	0.83775574	0.68902075	0.54646516	0.7982595	0.46255195	0.8133787
economie/noun	0.92809844	0.9700542	0.93898445	0.907671	0.92326915	0.87352204	0.9939786	0.9959829	0.9150847	0.99603736	0.91424227	0.9809427	0.97239995	0.87416804	0.9937423	0.67435	0.68665767	0.8290223	0.83092	0.71287215	0.8265854	0.6133115	0.7850599	0.7696274	0.84989065	0.7856519	0.9119621	0.9648814	0.43201637	0.80708086	0.66502	0.82796717	0.81843233	0.85615134	0.7834139	0.66071963	0.86798894	0.95474184	0.71733165	0.86699283	0.6837777	0.0	0.9552095	0.7448641	0.84229195	0.6475862	0.47398502	0.8342787	0.82042396	0.6823099	0.86493695	0.66538525	0.5818273	0.8350886	0.9483867	0.7844307	0.7782493	0.66184026	0.67029285	0.76870596	0.8890667	0.8072766	0.7715727	0.64343977	0.8828027	0.8628634	0.7732097	0.73732436	0.829229	0.85660446	0.6547736	0.76493424	0.8419337	0.91502345	0.55489135	0.53783965	0.85223067	0.687604	0.9458828	0.53258705	0.8888537	0.96162486	0.86693275	0.6320466	0.89103866	0.90880543	0.8281157	0.5978629	0.517509	0.78821504	0.9123437	0.9430205	0.8544065	0.762826	0.7819849	0.73336506	0.89927703	0.7916607	0.83665097	0.6755489	0.7055757	0.8769734	0.9034406	0.84180284	0.7366448	0.39478594	0.80671227	0.8976538	0.6363263	0.89093065	0.8781989	0.7493346	0.658337	0.7596419	0.66077983	0.7970387	0.916673	0.75863886	0.79852194	0.7905093	0.8768448	0.7331681	0.5794214	0.7981291	0.69812775	0.8013861	0.521465	0.8015249	0.7478728	0.84075165	0.70724416	0.88340235	0.6774492	0.7405531	0.90254855	0.5604162	0.76930404	0.9016624	0.9078481	0.8333602	0.80659467	0.8553962	0.8113453	0.726688	0.7209568	0.6968877	0.5942094	0.74612534	0.7628547	0.8646851	0.48173535	0.80454063	0.8042654	0.845419	0.7132814	0.78437257	0.8373981	0.75542605	0.620365	0.73272914	0.75185305	0.8585701	0.8371376	0.58206844	0.5873302	0.7249469	0.82279	0.83771133	0.6550091	0.86501026	0.83604	0.74691796	0.8588259	0.75149244	0.7575879
eerst/adv	0.9167334	0.9021943	0.954595	0.8298651	0.8349085	0.8845906	0.9280415	0.92477524	0.81874263	0.8822186	0.9027531	0.80967885	0.8823079	0.9174702	0.92502093	0.9196801	0.9287284	0.78229815	0.7374302	0.91357166	0.89471173	0.9038802	0.82418656	0.8792921	0.6647918	0.8449379	0.9068892	0.9899429	0.9685227	0.7008586	0.818858	0.67905885	0.6484676	0.83195	0.7875172	0.94217354	0.81505394	0.73529047	0.762768	0.86015475	0.68389744	0.9552095	0.0	0.9350133	0.82254344	0.65091205	0.7965521	0.8767849	0.784495	0.8623607	0.7192912	0.675487	0.9567047	0.8023071	0.8473732	0.8945149	0.8168253	0.6153877	0.98002064	0.90252805	0.86225456	0.8683276	0.86904675	0.8751264	0.81079435	0.74879295	0.76071405	0.95438945	0.851055	0.7123865	0.8540468	0.84062153	0.5223527	0.83856606	0.8504415	0.91717553	0.8656888	0.71709144	0.8745751	0.94313306	0.8104119	0.80853623	0.753389	0.87209594	0.73648673	0.8776367	0.83346957	0.965723	0.8178106	0.67614776	0.5235326	0.89051646	0.7957475	0.81775415	0.74583554	0.9584252	0.8580415	0.7453828	0.65813524	0.8325536	0.6767738	0.8714582	0.7552311	0.6008987	0.8128716	0.92326033	0.7059735	0.89324933	0.91462886	0.58312774	0.6689526	0.68773854	0.58040303	0.81177044	0.9169959	0.87191147	0.45703602	0.813044	0.7474433	0.7652397	0.7943279	0.8943205	0.8962272	0.82556134	0.9266796	0.6602063	0.9446025	0.9058432	0.9000397	0.8970122	0.7674181	0.79508185	0.63219345	0.8126862	0.8199289	0.9129068	0.69816184	0.5418861	0.79885405	0.6152005	0.7490931	0.7749871	0.7904956	0.9268951	0.8241536	0.873944	0.8945985	0.6746621	0.79281956	0.88852954	0.80482787	0.67891514	0.8381758	0.82234555	0.9050958	0.90975535	0.77130365	0.74501616	0.77257365	0.7484757	0.6979821	0.82199776	0.6212446	0.828285	0.50060236	0.7170259	0.7653651	0.73511654	0.9164927	0.8917134	0.53851795	0.5901004	0.70780873	0.6246215	0.9398762
effect_beurs/noun	0.7970756	0.95808417	0.9998053	0.84376776	0.8856729	0.961425	0.9913028	0.99141973	0.9206163	0.9742	0.98346484	0.89596933	0.9156204	0.8854592	0.98917925	0.27534044	0.45032722	0.9619483	0.9280031	0.336762	0.9644705	0.8166558	0.8772895	0.8345144	0.89341444	0.86039245	0.86121446	0.89129984	0.66173315	0.8858417	0.7503469	0.9259192	0.89265436	0.91311246	0.8990184	0.95874053	0.81935316	0.96770895	0.8377599	0.9263112	0.7591605	0.7448641	0.9350133	0.0	0.916805	0.88319385	0.74360895	0.84983134	0.8125504	0.5558548	0.9399529	0.8584192	0.3157705	0.9094122	0.94226265	0.9673265	0.8097992	0.69536245	0.9183294	0.94757926	0.82970434	0.7113385	0.9456275	0.5943297	0.94036347	0.70113957	0.8567738	0.8924177	0.95138294	0.9371185	0.7815592	0.8083041	0.89088625	0.78712463	0.63725257	0.7444298	0.9339667	0.9297769	0.9768073	0.7277466	0.9524088	0.92514074	0.8630748	0.8307184	0.88446337	0.68182397	0.899358	0.95173293	0.59491944	0.94621134	0.9053509	0.9285367	0.9479717	0.91361797	0.777157	0.9138654	0.8630959	0.59077805	0.89589614	0.91715896	0.72830105	0.90791446	0.9955186	0.7876382	0.8588761	0.52704465	0.91503924	0.97861075	0.78502995	0.9356152	0.96884954	0.87394595	0.6323529	0.90182465	0.86614937	0.91712356	0.79704386	0.9735923	0.90497535	0.91948575	0.73336136	0.8396986	0.9446478	0.9333449	0.939701	0.9077423	0.9311768	0.9165141	0.82447976	0.7797234	0.81668025	0.9517583	0.92282003	0.93471587	0.882932	0.35256296	0.8109906	0.95648617	0.94009686	0.8806654	0.8415641	0.99088943	0.830005	0.92096657	0.7728861	0.5390328	0.3956468	0.95200807	0.94435537	0.94133806	0.8076483	0.92879266	0.9810286	0.95122176	0.8684102	0.9282274	0.90539926	0.8152232	0.77774495	0.7374103	0.88689417	0.93063515	0.958693	0.78669107	0.677441	0.9641249	0.95417446	0.96292764	0.8788596	0.9243851	0.9456182	0.7978631	0.82417977	0.88801837	0.96346307
elektriciteit/noun	0.93971443	0.8751511	0.95871246	0.9222285	0.9111364	0.94564044	0.9508722	0.98298985	0.9128855	0.96970695	0.9889376	0.92682683	0.9437453	0.93159074	0.9971803	0.8649819	0.8772368	0.8773717	0.9045333	0.82910717	0.89317006	0.812281	0.86076945	0.86079204	0.8346356	0.8367704	0.7604396	0.9490847	0.8700919	0.8468332	0.880174	0.8868493	0.8281055	0.47973526	0.76927656	0.93837065	0.7840263	0.9537375	0.7291166	0.91780543	0.7713763	0.84229195	0.82254344	0.916805	0.0	0.68189716	0.87419546	0.7749713	0.6583939	0.86161757	0.7983824	0.8643836	0.84280103	0.8916992	0.81058204	0.4987048	0.8488827	0.81562746	0.9788943	0.9372516	0.80401516	0.89408517	0.8667233	0.92893237	0.79026276	0.75693035	0.901957	0.9369004	0.8994646	0.7638104	0.7904217	0.79491866	0.8115144	0.83772194	0.840511	0.8338913	0.4219752	0.7683642	0.8002497	0.89106745	0.91278094	0.97566456	0.3284793	0.7092371	0.9081421	0.86462533	0.57727075	0.88518745	0.7322526	0.7779842	0.7623439	0.95156014	0.93071777	0.7565775	0.7445792	0.96935785	0.8565423	0.79156893	0.7988278	0.90907866	0.75857323	0.9496891	0.88212633	0.8396919	0.8233803	0.7741493	0.7340543	0.9264125	0.91135126	0.6887679	0.90508145	0.78867257	0.7915418	0.867676	0.87259054	0.9185881	0.8951983	0.74376315	0.8846436	0.83572465	0.8180737	0.83747095	0.9181048	0.85949737	0.87868136	0.85258865	0.925877	0.88084334	0.6672712	0.66517866	0.8202592	0.8780716	0.70216954	0.8032034	0.8312995	0.9054768	0.80801535	0.89872503	0.96528125	0.8960204	0.44485623	0.64242536	0.8226702	0.8927674	0.74620926	0.9098477	0.873459	0.7486074	0.75594586	0.9431808	0.8870458	0.816246	0.7386898	0.8197396	0.7695834	0.9440153	0.55921763	0.7980031	0.65445805	0.80705917	0.86047024	0.76348704	0.8678204	0.7053607	0.814548	0.72354513	0.7706951	0.9283357	0.82814735	0.5347086	0.7919523	0.758702	0.8454939	0.6796099	0.94416
en/vg	0.8118555	0.71927494	0.79164994	0.8901751	0.8034332	0.8177936	0.78713584	0.7901714	0.8865323	0.8739947	0.7283434	0.83665925	0.80305564	0.73811567	0.7673744	0.90656656	0.89006615	0.78637934	0.85211444	0.93736535	0.6978596	0.6917508	0.8408304	0.6918333	0.6734288	0.63807	0.68854976	0.8712474	0.77104676	0.7428037	0.6726085	0.8173603	0.7471771	0.6989602	0.8942095	0.63231957	0.92825055	0.7610082	0.5638471	0.8361532	0.7495004	0.6475862	0.65091205	0.88319385	0.68189716	0.0	0.7177458	0.81012	0.8040402	0.6974995	0.7456597	0.6118449	0.9062262	0.82895595	0.80673903	0.6709745	0.69856226	0.5910964	0.59112215	0.6907511	0.6436551	0.6882522	0.68325734	0.8519829	0.7762956	0.80784154	0.7833285	0.9324493	0.6662044	0.8536472	0.64578044	0.8919351	0.7687646	0.8479258	0.8139316	0.6280977	0.65761995	0.7783834	0.7536958	0.8071634	0.75244355	0.9226735	0.708316	0.6134494	0.9093296	0.8273484	0.6423166	0.6697905	0.65611356	0.72889227	0.741157	0.7701377	0.73362356	0.8073803	0.68531656	0.7453975	0.8099748	0.7922546	0.74565387	0.5878546	0.78398097	0.9046055	0.9389552	0.860122	0.76174396	0.81510425	0.6567245	0.6766552	0.7210115	0.6941466	0.87365144	0.69530034	0.6501676	0.670676	0.6542437	0.87485456	0.7913256	0.77817094	0.8805656	0.7577989	0.67641765	0.853763	0.65236014	0.68040144	0.7740245	0.7063801	0.6110869	0.7525399	0.57822394	0.69327855	0.9422329	0.689311	0.77938473	0.7296721	0.6728608	0.839247	0.6949215	0.79395765	0.8844535	0.70730335	0.6621047	0.84843814	0.7274773	0.6103174	0.5481286	0.77710545	0.83718383	0.56176245	0.615446	0.6761741	0.7181264	0.75664175	0.67213464	0.7091803	0.7182534	0.8069427	0.6441897	0.7250459	0.49953896	0.7663941	0.7844125	0.7777354	0.8279188	0.58558667	0.6906264	0.54399264	0.67770195	0.8426741	0.6997882	0.70315075	0.8020961	0.7967548	0.8385781	0.55205905	0.61454684
enigszins/adv	0.81373954	0.94448054	0.89690584	0.9275641	0.94372797	0.89780587	0.9554348	0.96050775	0.92308146	0.9640577	0.7664925	0.9057184	0.8927805	0.7798087	0.9625859	0.6478822	0.6893226	0.7471882	0.8219186	0.52670157	0.861639	0.5602844	0.7041044	0.79401326	0.7180983	0.73832405	0.92477787	0.9428263	0.7347206	0.82610375	0.7102704	0.7589528	0.7875829	0.8422153	0.82495564	0.70805895	0.8095498	0.8490939	0.63574094	0.7418609	0.67111397	0.47398502	0.7965521	0.74360895	0.87419546	0.7177458	0.0	0.76660544	0.7915735	0.6836128	0.74401915	0.54117143	0.5927192	0.7916757	0.8338194	0.7915902	0.71522754	0.61515033	0.7627747	0.68653744	0.8924887	0.7220367	0.7847819	0.61102104	0.743137	0.79388034	0.61582136	0.64038944	0.7998356	0.6992692	0.79793656	0.7646866	0.7958021	0.9046187	0.6578747	0.5584897	0.8937337	0.6746719	0.85543036	0.6501981	0.8312588	0.9492983	0.81778085	0.7618329	0.8521849	0.805966	0.75206864	0.8173833	0.5928589	0.71571004	0.6889672	0.80827737	0.6475481	0.7314935	0.74342155	0.79380906	0.75686514	0.6910516	0.7270115	0.67662525	0.55771303	0.7318858	0.81370515	0.8309992	0.69176257	0.67609465	0.7861473	0.9079338	0.64738095	0.7038621	0.8550044	0.71919215	0.48999804	0.7248079	0.79951155	0.62620485	0.726766	0.7667588	0.8027351	0.6813635	0.6852734	0.78583926	0.7400229	0.7866467	0.7191483	0.7013043	0.60473377	0.83246785	0.646926	0.78996927	0.7255211	0.88894284	0.60800564	0.68203926	0.92923766	0.5707649	0.7173672	0.8089427	0.914603	0.70867	0.7238023	0.6768533	0.82338876	0.7023441	0.7482841	0.7593223	0.6205026	0.65530837	0.7189368	0.83071744	0.67763674	0.7677374	0.8269864	0.75782526	0.7962731	0.84378237	0.7032242	0.6412831	0.69696695	0.7354457	0.6567898	0.92091835	0.75402135	0.70290554	0.5270332	0.68235576	0.81557155	0.8033575	0.76244706	0.84539557	0.7781961	0.7217326	0.854102	0.7421472	0.7710373
enkel_blessure/noun	0.81696916	0.745155	0.64251196	0.9441102	0.8991353	0.7310809	0.7653866	0.5740301	0.7619843	0.76047635	0.82482564	0.51726514	0.77305317	0.9516815	0.68086153	0.86407083	0.81716746	0.5631963	0.80778676	0.76239175	0.9397611	0.70066917	0.81986463	0.9023384	0.7700932	0.89689946	0.78088206	0.97048855	0.80839485	0.8717218	0.9260226	0.7774763	0.7387811	0.9039933	0.78849643	0.98857415	0.7943634	0.66648763	0.8064124	0.79446745	0.6731777	0.8342787	0.8767849	0.84983134	0.7749713	0.81012	0.76660544	0.0	0.7117506	0.8104927	0.8199665	0.71925473	0.86442	0.6257856	0.8530607	0.83682877	0.9367179	0.8031479	0.9738905	0.92868483	0.94584185	0.72337085	0.9100582	0.8427871	0.77853334	0.78030944	0.84150314	0.8416136	0.87574685	0.809669	0.93291223	0.8441812	0.8108355	0.85434806	0.77038515	0.8504514	0.88167584	0.85289335	0.9167252	0.8929673	0.6943056	0.9588293	0.89158535	0.75602347	0.7244248	0.932142	0.77619946	0.9448975	0.6982746	0.78767645	0.82613957	0.5093414	0.64129686	0.8789788	0.88052475	0.98035204	0.6816052	0.74482805	0.7191285	0.93897593	0.7666067	0.8030095	0.68508804	0.72666955	0.81221443	0.69352233	0.77252233	0.9081889	0.85698426	0.8553903	0.82801086	0.7430992	0.70803976	0.7692443	0.9298291	0.58623165	0.7346984	0.78932697	0.8873594	0.6638442	0.81930256	0.773864	0.9658505	0.88513017	0.87423396	0.6410297	0.90731865	0.91156346	0.8323399	0.8441061	0.7949134	0.8281475	0.84508634	0.6636493	0.89364034	0.77581584	0.81692827	0.81729805	0.7770344	0.6846168	0.814204	0.6485592	0.8817569	0.8404957	0.95598704	0.8443105	0.86465895	0.86570406	0.84572923	0.91691977	0.81414676	0.807838	0.81635094	0.77870554	0.7654956	0.87412703	0.79923964	0.8210498	0.7448182	0.7651632	0.7248601	0.80783397	0.7895724	0.71155494	0.7767972	0.82654643	0.8517034	0.8827294	0.85848165	0.8723164	0.80343425	0.74799764	0.8419832	0.67854595	0.9095238
euvel/noun	0.9143933	0.93874145	0.99867463	0.8916954	0.9643343	0.9171641	0.9408324	0.9671723	0.89580023	0.94289756	0.9466159	0.8857245	0.9373414	0.8941778	0.9905872	0.7657718	0.82340324	0.7315972	0.70185417	0.8188077	0.8571552	0.7722978	0.7779593	0.7990817	0.78930527	0.86164844	0.84286684	0.88996136	0.87486863	0.74550676	0.84740824	0.72551715	0.6636026	0.7645441	0.7792243	0.9229739	0.8242065	0.8680932	0.7107723	0.81554794	0.61726856	0.82042396	0.784495	0.8125504	0.6583939	0.8040402	0.7915735	0.7117506	0.0	0.85922426	0.7278602	0.69231653	0.7614325	0.7674031	0.7460431	0.69704926	0.85127753	0.7895508	0.9457465	0.8866868	0.84110564	0.7094159	0.7934952	0.8375247	0.8121525	0.8382387	0.79696244	0.94310254	0.856396	0.7503432	0.92000276	0.7308337	0.7297783	0.87617105	0.7516303	0.9408707	0.72466004	0.9094699	0.95334256	0.7789433	0.8761986	0.93926585	0.6494578	0.7828126	0.7975483	0.7802982	0.6596954	0.84273946	0.8107327	0.621052	0.7752157	0.91935074	0.82918185	0.6166229	0.8400974	0.9299185	0.83701515	0.7185801	0.7786459	0.9382248	0.77988964	0.91698503	0.5703885	0.7051519	0.7754996	0.7525178	0.74107474	0.91470426	0.902449	0.750897	0.7030679	0.6193501	0.6648522	0.6198224	0.8872841	0.8610217	0.7304393	0.72765183	0.85951805	0.85349816	0.8590544	0.60844433	0.8530899	0.92816716	0.8286712	0.8082229	0.87386805	0.8775024	0.75792825	0.854016	0.574478	0.8980921	0.7427964	0.7072121	0.75394	0.8189436	0.78088105	0.77162963	0.8004442	0.7508515	0.695397	0.78946185	0.82072216	0.88550246	0.93340945	0.7864227	0.76558596	0.7427612	0.78970885	0.93924767	0.79316586	0.7680482	0.8434073	0.70068383	0.7535444	0.8622405	0.73122835	0.8522334	0.664654	0.6749703	0.7893281	0.89219654	0.67168707	0.81138563	0.5998492	0.73666626	0.7524697	0.81520873	0.8400396	0.6990594	0.6564054	0.5532932	0.81200135	0.53256965	0.88910073
eveneens/adv	0.7058494	0.8834691	0.81952137	0.9784982	0.7571675	0.9201888	0.9205277	0.7498059	0.8019724	0.87750745	0.82312846	0.7663892	0.777279	0.87370807	0.8576221	0.52365434	0.74099034	0.727578	0.92215556	0.5054927	0.99112546	0.7986413	0.8398801	0.76798165	0.7655929	0.84360486	0.7761755	0.9587833	0.7901728	0.9139987	0.6755642	0.84666765	0.8666438	0.85267687	0.9493675	0.9174417	0.9305606	0.7184075	0.77852917	0.8619907	0.6775737	0.6823099	0.8623607	0.5558548	0.86161757	0.6974995	0.6836128	0.8104927	0.85922426	0.0	0.79198295	0.82366204	0.5544281	0.8664868	0.9473537	0.84066117	0.69692016	0.81336963	0.8812504	0.8749119	0.76098126	0.7057934	0.933869	0.53277993	0.8952767	0.6527134	0.9020576	0.8477813	0.84557223	0.9192669	0.8216378	0.75243765	0.8365778	0.7121711	0.72705925	0.6892315	0.8717533	0.77847755	0.96462053	0.7558498	0.8007008	0.9208908	0.8787768	0.84826285	0.8803344	0.8490629	0.8083032	0.95162284	0.5056932	0.9264822	0.80647385	0.7362906	0.77743435	0.8914207	0.61778206	0.9404356	0.69880897	0.6306859	0.80949986	0.7453731	0.68773186	0.8816509	0.9678598	0.87709093	0.7987464	0.68024564	0.921353	0.9811553	0.6336962	0.8349104	0.93653476	0.86230826	0.5431245	0.910458	0.9021252	0.78732985	0.88057816	0.9038545	0.8533488	0.8068651	0.73354053	0.8451888	0.8519317	0.83288014	0.89180845	0.7631708	0.8529044	0.87813896	0.7550619	0.83023185	0.8742516	0.9715698	0.85389704	0.8305485	0.7787135	0.547585	0.7047955	0.79674006	0.9179344	0.76888865	0.7925605	0.75336736	0.81614697	0.82383054	0.6361784	0.6319405	0.53460616	0.91782105	0.80092454	0.83942735	0.81168085	0.7718141	0.8617556	0.7678251	0.8930273	0.8522968	0.7334929	0.62193304	0.6971371	0.63539255	0.87635535	0.9603855	0.97218907	0.7220402	0.71648085	0.8711926	0.89922595	0.8370614	0.8132702	0.87965703	0.9532161	0.81947196	0.75802684	0.7270195	0.9556523
eventueel/adj	0.87736964	0.8995524	0.9473367	0.955946	0.70810735	0.938027	0.9255233	0.9263732	0.8182527	0.9662087	0.9672878	0.88480586	0.8930172	0.87710845	0.975832	0.85439426	0.9027918	0.7558271	0.8389504	0.91417	0.7876351	0.85000896	0.9197405	0.78599554	0.69073534	0.7117518	0.7068828	0.9886662	0.9753327	0.7620405	0.76149297	0.7595006	0.8930112	0.79592705	0.84617627	0.885727	0.87687445	0.74916196	0.6609303	0.73966235	0.6346898	0.86493695	0.7192912	0.9399529	0.7983824	0.7456597	0.74401915	0.8199665	0.7278602	0.79198295	0.0	0.7920168	0.80305547	0.7537398	0.73394	0.627468	0.8495988	0.71361774	0.91628194	0.81207746	0.7565256	0.8171628	0.8519772	0.92224175	0.84067386	0.90074396	0.7731816	0.8421227	0.8883829	0.8912814	0.8907372	0.6636874	0.737428	0.8859154	0.86464447	0.8496566	0.8191025	0.82545	0.915329	0.8804414	0.881235	0.90568006	0.79210293	0.79900026	0.7798385	0.85769284	0.7877706	0.9604686	0.7883867	0.690686	0.70711106	0.9091376	0.74873877	0.57415855	0.8178854	0.765561	0.7442454	0.8295848	0.7799249	0.6715371	0.7434993	0.9462454	0.78716224	0.7330703	0.69129527	0.9167299	0.5969764	0.8693358	0.80917716	0.60284925	0.7064151	0.72858274	0.6255677	0.75273365	0.729848	0.90932596	0.731172	0.70727456	0.8866921	0.8378471	0.9142046	0.8073597	0.8858224	0.7896466	0.809464	0.79829735	0.8469873	0.7287878	0.69367117	0.7513231	0.78965855	0.86678755	0.6720748	0.7098581	0.78061914	0.88909465	0.9328051	0.7941005	0.94443554	0.71955097	0.6714952	0.7073608	0.90069324	0.83502847	0.8026923	0.8997523	0.91862273	0.79700434	0.6668118	0.9414119	0.78797114	0.7662925	0.84549534	0.7314353	0.7999989	0.8629421	0.63067585	0.7431854	0.73357177	0.55421656	0.8216663	0.93611616	0.6942584	0.8394035	0.6637629	0.7510788	0.7364359	0.7279346	0.9203397	0.6633878	0.6760097	0.7301177	0.731434	0.61542356	0.8337522
evenwicht/noun	0.8022596	0.9192184	0.9264647	0.92981106	0.9176022	0.8377301	0.90711796	0.9118249	0.9484183	0.8946189	0.8491972	0.889911	0.7733836	0.9098644	0.9442475	0.86084056	0.875961	0.73495317	0.77640134	0.767168	0.7493589	0.3808558	0.9245427	0.8288324	0.47355115	0.7080926	0.868181	0.9587236	0.84795886	0.7273512	0.7973651	0.56028396	0.55937076	0.8972075	0.83592343	0.793067	0.91397595	0.6742103	0.6974859	0.5319576	0.69611716	0.66538525	0.675487	0.8584192	0.8643836	0.6118449	0.54117143	0.71925473	0.69231653	0.82366204	0.7920168	0.0	0.8538592	0.65081537	0.8547896	0.85728085	0.72039723	0.5170033	0.7479054	0.8228743	0.90963614	0.63272834	0.82576513	0.86055523	0.7294672	0.84336656	0.6539804	0.7938676	0.842736	0.69190127	0.87062633	0.8680958	0.77536106	0.8736808	0.7848395	0.706849	0.89828306	0.82964313	0.982204	0.715817	0.6132719	0.8866025	0.8138029	0.7133969	0.7929988	0.8912983	0.7062257	0.7311678	0.74626714	0.7727951	0.5499219	0.8264765	0.51581776	0.76225066	0.8712662	0.8633861	0.64046514	0.7827631	0.52253485	0.6324929	0.74261796	0.79391336	0.8893336	0.69872797	0.7424859	0.7808393	0.7207328	0.8100177	0.71927136	0.6150599	0.7530082	0.6165814	0.5582199	0.56662786	0.8157102	0.59715873	0.63259286	0.81018955	0.94267803	0.57084346	0.8676541	0.6069093	0.8482635	0.75679773	0.7756281	0.39685512	0.69139767	0.9050995	0.7222041	0.84941334	0.77016664	0.8332713	0.6443771	0.6186068	0.8984243	0.805342	0.72246474	0.79079425	0.8331777	0.44085163	0.80161685	0.7852247	0.7528908	0.7128711	0.7436708	0.7494962	0.8172028	0.5505444	0.745415	0.8782152	0.6916872	0.77742696	0.86969155	0.74924916	0.77709174	0.9290802	0.6545336	0.71704555	0.56055915	0.7785661	0.6285931	0.84385186	0.66614044	0.7607522	0.50260174	0.7103634	0.8354062	0.79981565	0.681586	0.92980146	0.7487837	0.63590837	0.8816789	0.5602398	0.5980133
