	36-jarige/adj	Amerikaans/adj	Amsterdams/adj	Champions/noun	aan/adj	aandeel_beurs/noun	afgelopen/adj	alles/noun	allicht/adv	autonomie/noun	balans/noun	ben/verb	beurs_fonds/noun	bevolking_groep/noun	bezoeker/noun	bilateraal/adj	blessure/noun	blijk/verb	breuk/noun	cabaretier/noun	consumentenvertrouwen/noun	contact/noun	contract_uur/noun	dak/noun	democratie/noun	dien/verb	doelman/noun	echter/adv	economie/noun	eer/noun	effect_beurs/noun	electrisch/adj	enigszins/adv	enkel_blessure/noun	ere/noun	euvel/noun	eveneens/adv	eventueel/adj	evenwicht/noun	fiets/noun	fonds/noun	fout_DIM/noun	gebied/noun	gebouw/noun	geheel/adj	geleidelijk/adj	geloof/noun	geloofwaardigheid/noun	gemeente/noun	geraakt/adj	geschonden/adj	gezag/noun	gezondheid_probleem/noun	gisteren/adv	gisterenavond/adv	glorie/noun	goed/adj	golfer/noun	griep/noun	griep_aanval/noun	hart_operatie/noun	helemaal/adv	help/verb	help_mee/verb	herneem/verb	iets/adv	ingreep/noun	installatie/noun	intussen/adv	kan/verb	kerk_toren/noun	kiezer/noun	kliniek/noun	knie_operatie/noun	koers_val/noun	kom_terug/verb	kosten/noun	kraan/noun	krachtig/adj	kwetsuur/noun	laat/adj	laat/verb	land/noun	leiding/noun	letsel/noun	lever/noun	lever_in/verb	licht/adj	lies_blessure/noun	lijk/verb	maand/noun	markt/noun	mede/adv	meer/adv	meteen/adv	middag/noun	middenvelder/noun	misstap/noun	moet/verb	mogelijk/adj	momenteel/adj	muur/noun	naai/verb	natuur/noun	nauwelijks/adv	net/adv	niet/adv	nodig/adj	nog/adv	norm/noun	normaal/adj	olie_prijs/noun	onafhankelijkheid/noun	onbemand/adj	onderhoud/verb	onmiddellijk/adj	oorspronkelijk/adj	op_doffer/noun	opening_fase/noun	operatie/noun	opereer/verb	opnieuw/adv	orde/noun	oud/adj	paars_wit/adj	pas/adv	pas_aan/verb	patiënt/noun	patiënte/noun	ploeg/noun	politiek/noun	populatie/noun	probeer/verb	redelijk/adj	reliëf/noun	reputatie/noun	rij_richting/noun	rust/noun	samenleving/noun	sars/noun	schade/noun	schouder_blessure/noun	situatie/noun	slecht/adj	sluit_post/noun	snel/adj	spectaculair/adj	spel_maker/noun	staat/noun	stijl/noun	strand/verb	systeem/noun	termijn/noun	terug/adv	thuis/adv	thuisploeg/noun	tijd/noun	tijdelijk/adj	tijdig/adj	toestand/noun	traditie/noun	trauma/noun	val_partij/noun	vanmiddag/adv	vanochtend/adv	vanzelf/adv	veerkrachtig/adj	veiligheid/noun	verbeter/verb	verbetering/noun	vergeef/verb	vertrouwen/noun	vervolgens/adv	voet_blessure/noun	voldoende/adj	voldoende/adv	volk/noun	volledig/adj	voorlopig/adj	vrijwel/adv	waarschijnlijk/adj	wat/adv	water_kanon/noun	water_kwaliteit/noun	weeg/verb	weer/adv	wegdek/noun	wereld_gemeenschap/noun	wil/verb	winstwaarschuwing/noun	wonderbaarlijk/adj	woning/noun	word/verb	zal/verb	ziekenhuis/noun	ziekte/noun	zodanig/adj	zuiverheid/noun
electrisch/adj	0.8899733	0.9157538	0.8978128	0.98699427	0.88975567	0.9215203	0.9829335	0.93038845	0.9519809	0.94866717	0.9103755	0.8933323	0.98072296	0.9484157	0.93621886	0.84194624	0.8710647	0.92843795	0.82478	0.83457774	0.9569057	0.88029873	0.9083745	0.46629375	0.88695824	0.8214748	0.9573887	0.91238713	0.89490205	0.98921204	0.9204594	0.0	0.94749725	0.89593697	0.9580479	0.8462393	0.7084143	0.8496014	0.9005861	0.46239525	0.9177254	0.8954839	0.9187296	0.57732403	0.8685962	0.8844906	0.959781	0.9383122	0.8637837	0.8719073	0.937599	0.90380216	0.83010495	0.954574	0.7625281	0.9618754	0.9100728	0.8816648	0.940447	0.9001409	0.944002	0.79378617	0.91595685	0.71384835	0.90156025	0.894485	0.8633117	0.34921938	0.8960048	0.85299957	0.7202002	0.92768735	0.8466697	0.90816015	0.95033616	0.9584778	0.7363546	0.4610724	0.62209255	0.85688686	0.9763808	0.8830724	0.9359422	0.5548593	0.8073505	0.79825777	0.96799564	0.79994595	0.9003622	0.9483886	0.9808275	0.9623259	0.843575	0.9116349	0.8447942	0.85217595	0.9598669	0.9184588	0.8863602	0.8877323	0.80888087	0.5931629	0.95283026	0.8903309	0.9255419	0.9247742	0.933082	0.7751113	0.93229675	0.87663716	0.9385988	0.89598227	0.9294789	0.61003256	0.7296835	0.78811485	0.9401132	0.9810774	0.9617701	0.83206856	0.9210714	0.87032133	0.92264766	0.7689551	0.89915276	0.97016114	0.7502075	0.8826748	0.989017	0.8928655	0.9724708	0.94113183	0.9306136	0.93931246	0.7755733	0.93281895	0.8145413	0.911124	0.92270595	0.9695155	0.6622028	0.9133385	0.964225	0.9302389	0.9377564	0.8770108	0.8363962	0.95999545	0.90593827	0.82679695	0.83783877	0.6212685	0.9069684	0.87000453	0.8780355	0.91297865	0.9550788	0.6200252	0.7893436	0.9288061	0.9667726	0.86924344	0.8176942	0.88590354	0.8708031	0.858966	0.8883371	0.81271297	0.80328393	0.84966326	0.9493651	0.9274949	0.68371344	0.8960089	0.8531595	0.9302923	0.94563293	0.6521148	0.8067939	0.89869845	0.88247883	0.9135189	0.63503927	0.79969865	0.7202703	0.8927635	0.76853466	0.9245607	0.9279953	0.9344659	0.8285285	0.5982249	0.78484076	0.85985386	0.9475057	0.91987026	0.8134495	0.95173454
enigszins/adv	0.9336001	0.8252305	0.8969468	0.7232162	0.9042592	0.7842558	0.84069246	0.7029817	0.9001315	0.9184711	0.6090406	0.75992405	0.9376009	0.7599863	0.634216	0.77352166	0.88765806	0.850472	0.92531496	0.8834442	0.64941454	0.9091866	0.88112044	0.91415644	0.7009966	0.6755613	0.80468315	0.6923187	0.7031097	0.62819564	0.8062835	0.94749725	0.0	0.859308	0.80085075	0.76828855	0.76928675	0.74758124	0.63610375	0.9283262	0.7530302	0.78560853	0.74184036	0.8009499	0.7078539	0.69032705	0.7771624	0.66590405	0.8709426	0.61253303	0.7138811	0.74660623	0.87792945	0.8367887	0.7972303	0.7771338	0.63248336	0.9099636	0.9044936	0.9350526	0.9304003	0.58032876	0.7736039	0.80312777	0.79718584	0.611956	0.8574221	0.8662692	0.58192873	0.59350145	0.9480424	0.7892231	0.9587211	0.8728594	0.8188967	0.7878481	0.74868137	0.8949348	0.827798	0.8551347	0.7782534	0.8065866	0.6842861	0.8973827	0.8806382	0.82863384	0.9317131	0.7342398	0.8978522	0.6787491	0.8595307	0.6976377	0.783515	0.75934243	0.77036095	0.8654647	0.8805495	0.8178944	0.630054	0.7366605	0.8420567	0.9721437	0.8947562	0.5111991	0.57805	0.7439659	0.775601	0.7564646	0.7098574	0.6458094	0.7293291	0.7984784	0.9223426	0.9946597	0.9414395	0.7174196	0.7292244	0.6906928	0.7840499	0.843227	0.9093623	0.5531424	0.71733624	0.8123042	0.68340325	0.735191	0.7883753	0.8649963	0.9108284	0.65233314	0.84704167	0.79365903	0.44531482	0.566926	0.92314863	0.4851712	0.8664269	0.6465765	0.6206744	0.92423123	0.7005148	0.89070064	0.67358613	0.78538156	0.85586154	0.5595615	0.679949	0.79376113	0.92632914	0.791642	0.86436373	0.7478752	0.62947094	0.72483516	0.8376025	0.6313628	0.6399118	0.78580976	0.77638555	0.8119845	0.67321074	0.68312424	0.84307134	0.6637498	0.85091877	0.68148565	0.84090894	0.6090342	0.6952068	0.8185143	0.8834562	0.574266	0.8729285	0.9191166	0.66838175	0.8620119	0.885849	0.713925	0.63297266	0.7768599	0.7616596	0.49940735	0.9286604	0.84988934	0.80573916	0.44259763	0.8036816	0.84740114	0.77562886	0.8661138	0.65260994	0.79052126	0.7135372	0.6818298	0.95333785	0.91148055	0.5070914	0.8138956
enkel_blessure/noun	0.62039185	0.9786238	0.913892	0.70570827	0.84468657	0.83616036	0.82879674	0.8538006	0.4766379	0.95880884	0.79958117	0.709491	0.78876424	0.90547335	0.7233933	0.94436413	0.21593428	0.671356	0.5107789	0.96891665	0.8543339	0.9942836	0.60568786	0.9405394	0.974088	0.84582615	0.56384534	0.6151998	0.9239007	0.9710065	0.85157347	0.89593697	0.859308	0.0	0.9353887	0.6248932	0.74291813	0.6817988	0.7743207	0.7206299	0.8800558	0.66869783	0.9325734	0.8584604	0.94135815	0.8826479	0.9709166	0.95067394	0.91025376	0.78818786	0.9271586	0.9115623	0.6791801	0.75938505	0.6092223	0.92100996	0.8711728	0.91477996	0.50369024	0.42942238	0.6275537	0.85786617	0.9086221	0.939066	0.56143916	0.83149934	0.73624873	0.92361724	0.84669125	0.7879453	0.9437538	0.89755464	0.83872914	0.5469604	0.8540856	0.77340955	0.80727607	0.9254009	0.8163709	0.23449254	0.6612786	0.7460728	0.9738176	0.843353	0.4785517	0.7191683	0.832788	0.5800786	0.15920901	0.6682567	0.851457	0.8814471	0.8269521	0.80365527	0.8638083	0.7179122	0.5334209	0.85284436	0.81966233	0.86812294	0.80071366	0.89424306	0.8068357	0.90707386	0.7906961	0.5214565	0.684765	0.77752817	0.6278813	0.96575385	0.76389015	0.81932354	0.93976796	0.9095111	0.9178128	0.88232577	0.9656777	0.72769356	0.8140255	0.7512152	0.6077615	0.7311368	0.797528	0.9351978	0.5998011	0.6674994	0.84312356	0.722812	0.74989563	0.6743672	0.9320101	0.8211117	0.90292513	0.8720717	0.8887067	0.99412936	0.8872193	0.66415024	0.9535438	0.7978923	0.7172092	0.21155334	0.91496575	0.9300755	0.755211	0.9032228	0.7617732	0.4165119	0.9738454	0.85680413	0.63118225	0.8667987	0.8632411	0.70179963	0.8412416	0.62745774	0.8257061	0.8058866	0.653461	0.88389224	0.8897986	0.82655275	0.631643	0.77067274	0.8364685	0.881469	0.7983863	0.818773	0.8904637	0.8461727	0.93938637	0.8698231	0.85442895	0.21113831	0.5767877	0.84329814	0.9835343	0.8384812	0.7208121	0.91198504	0.6682297	0.7563592	0.88904405	0.85934496	0.6922387	0.80635285	0.79123545	0.9124559	0.96099496	0.82896864	0.7978679	0.851403	0.7449996	0.72736645	0.5795617	0.6491781	0.8644514	0.9123609
ere/noun	0.9487605	0.9172603	0.87605727	0.9668819	0.8672435	0.983633	0.98382425	0.91745627	0.9726893	0.905861	0.86461616	0.883534	0.96425736	0.85734564	0.98182195	0.9453496	0.94751453	0.985393	0.77513456	0.92330575	0.9759633	0.9743115	0.999883	0.93185705	0.80786836	0.6525608	0.9637348	0.8749374	0.9033954	0.6170783	0.98687685	0.9580479	0.80085075	0.9353887	0.0	0.8952823	0.94536215	0.9274319	0.88636863	0.92451394	0.9591521	0.935462	0.8214497	0.6528728	0.6328567	0.8363195	0.6962851	0.87729716	0.9218542	0.6261468	0.8078427	0.7433984	0.9576676	0.9834722	0.8953848	0.40213078	0.8540116	0.95457447	0.9811642	0.96416163	0.9737526	0.76964915	0.9193767	0.9067455	0.72902256	0.9296083	0.9502766	0.9051296	0.8640096	0.9406575	0.9314616	0.95314765	0.94621366	0.95875496	0.9778823	0.88635826	0.92077124	0.9460142	0.86523205	0.93428874	0.9765281	0.90964335	0.8330298	0.95850074	0.9858217	0.9654629	0.92756075	0.97367775	0.9298713	0.9259912	0.945624	0.95610994	0.9322369	0.92193735	0.9553245	0.9448178	0.938998	0.9704925	0.83682716	0.9224365	0.92544365	0.8833971	0.93770033	0.73159003	0.91200477	0.9854121	0.9119627	0.97870344	0.93374485	0.632111	0.95846444	0.97679675	0.8820556	0.97134167	0.90767914	0.9214346	0.5889967	0.9482261	0.99133193	0.95961624	0.8835646	0.66954726	0.8597485	0.3414231	0.9090159	0.9465286	0.77830094	0.9484332	0.9873461	0.9831419	0.88387483	0.85452944	0.9518782	0.928149	0.86000955	0.7584427	0.87023145	0.9480495	0.82221305	0.97228545	0.88745916	0.9530239	0.95839274	0.88560665	0.88460207	0.9423603	0.9251018	0.9478434	0.8266885	0.7141646	0.98923796	0.8122896	0.91472584	0.6454177	0.9835371	0.96561956	0.97171926	0.82104146	0.9242212	0.8965034	0.29239458	0.96750075	0.9894808	0.82025945	0.94225115	0.9352137	0.9348369	0.8736711	0.88891995	0.9485496	0.96450126	0.92794317	0.9094621	0.9516433	0.96064156	0.9373077	0.7688799	0.8693419	0.8743413	0.93221146	0.9507235	0.88908917	0.9572546	0.93384767	0.93960464	0.60594237	0.9254687	0.74521625	0.69269705	0.99629736	0.90638196	0.8888895	0.65707016	0.901232	0.9697966	0.98856574	0.8039521	0.77776456
euvel/noun	0.90874046	0.96866405	0.9544796	0.8681134	0.91845006	0.8111006	0.8807182	0.6324302	0.5944282	0.89732337	0.80404437	0.7180114	0.74785304	0.8819897	0.7801449	0.8704901	0.71200454	0.78304684	0.83348054	0.96763206	0.90471715	0.90366286	0.8379951	0.8380756	0.9295542	0.704076	0.7570511	0.5064032	0.86361206	0.9622709	0.91378933	0.8462393	0.76828855	0.6248932	0.8952823	0.0	0.8654195	0.665444	0.7667283	0.8191614	0.8911802	0.8188895	0.89404833	0.66463196	0.8946585	0.87076813	0.9601114	0.86502665	0.80287874	0.77943206	0.8816957	0.8946759	0.7022327	0.8428154	0.63016975	0.8731038	0.77218306	0.81665325	0.79398054	0.85261476	0.6995523	0.7797661	0.67364186	0.8482745	0.7856186	0.7200086	0.5165405	0.7616238	0.70146984	0.54314256	0.9397776	0.8415289	0.7332487	0.6134154	0.7181631	0.7471192	0.70646834	0.7305541	0.7050839	0.7249162	0.7906828	0.69988036	0.9431621	0.74250305	0.80063343	0.8093915	0.70557153	0.8469786	0.5877911	0.74087644	0.8456099	0.8411592	0.78173614	0.7302571	0.74702334	0.7336683	0.82020575	0.7928088	0.64389634	0.5694771	0.821386	0.89207375	0.8809255	0.8565277	0.77450323	0.73440945	0.53302836	0.60317427	0.6231352	0.8878138	0.67801046	0.7752337	0.91747487	0.82283974	0.91550624	0.78514135	0.9269884	0.7266743	0.6674018	0.65273356	0.6925978	0.694108	0.692519	0.93484503	0.84908915	0.68406606	0.6890633	0.6673727	0.8669283	0.8605234	0.9546535	0.659845	0.8197959	0.6653047	0.8682558	0.9594163	0.626076	0.7824365	0.9007701	0.8573671	0.7777886	0.79158735	0.7157573	0.95447826	0.8183873	0.64406425	0.73289895	0.84228903	0.91270196	0.7599654	0.9001371	0.71859753	0.6901485	0.64013207	0.8238279	0.70371825	0.7926923	0.68455946	0.76076126	0.83105385	0.9459533	0.8949118	0.777036	0.79225343	0.8562296	0.8051493	0.7796805	0.7792731	0.73802173	0.730082	0.8795636	0.87835747	0.7510638	0.69811213	0.5594195	0.7951823	0.95341843	0.75057924	0.77308	0.8387574	0.5754012	0.66067255	0.797874	0.86325	0.8863081	0.67597485	0.71443653	0.7864318	0.78780687	0.8679594	0.73655266	0.6894431	0.5569718	0.5743253	0.7838018	0.7891493	0.7526058	0.9391555
eveneens/adv	0.83032346	0.6696102	0.4947911	0.90393585	0.9106932	0.6477835	0.57329786	0.96980363	0.773839	0.8630723	0.84737575	0.84514475	0.5188301	0.90528244	0.9562405	0.77776384	0.6679552	0.749701	0.76504475	0.9283805	0.570168	0.7566934	0.79366523	0.8129278	0.86058664	0.71447337	0.79907787	0.7675913	0.6491176	0.93399996	0.47102255	0.7084143	0.76928675	0.74291813	0.94536215	0.8654195	0.0	0.6375782	0.80690587	0.6700937	0.48871845	0.8448798	0.7758803	0.7994745	0.75824696	0.7115279	0.9493677	0.91595066	0.8306649	0.8330823	0.83242095	0.88500726	0.7753193	0.40163362	0.7724844	0.97893363	0.87458986	0.81483036	0.6362115	0.67129517	0.87343174	0.8329677	0.8829519	0.6477972	0.7020451	0.7083822	0.81512874	0.66839325	0.6678654	0.7873821	0.9149754	0.9240158	0.87839925	0.84941655	0.5520282	0.796364	0.7948638	0.8139897	0.67853606	0.6349336	0.77822423	0.88281405	0.73394066	0.79867125	0.6951643	0.8923543	0.63770044	0.5580765	0.7617609	0.8086721	0.6839591	0.64433664	0.548128	0.8743936	0.6353615	0.8659934	0.7659419	0.9327855	0.5706714	0.73560953	0.72731936	0.8742664	0.82249206	0.8005098	0.7060002	0.79238075	0.9237838	0.8267814	0.87918466	0.8126472	0.7955738	0.5342657	0.9134453	0.8295691	0.7800517	0.6049799	0.8014586	0.8821505	0.8839685	0.8142839	0.7859136	0.5841589	0.9245269	0.87386537	0.8157506	0.8732412	0.81800956	0.8117492	0.913401	0.8589084	0.9203537	0.77328646	0.85741365	0.8000549	0.864535	0.90075123	0.8212443	0.8582533	0.7955796	0.8173442	0.68257654	0.6266584	0.7875386	0.6965513	0.8953874	0.6698153	0.62189656	0.7850614	0.7814865	0.791642	0.9061419	0.67333156	0.79734933	0.76374143	0.82427484	0.89682806	0.77458835	0.6430774	0.5185814	0.7664204	0.9108693	0.93847716	0.67734367	0.5684038	0.35775143	0.77347195	0.8764217	0.79779	0.6288768	0.66226053	0.8992854	0.8578067	0.7046137	0.75551337	0.63009834	0.89505696	0.8797124	0.70516956	0.7510629	0.6663971	0.7820725	0.8153807	0.87627816	0.80310535	0.6142992	0.71842617	0.66835284	0.84276646	0.8634907	0.4354143	0.71493065	0.74602914	0.7539116	0.7786854	0.8090874	0.6846806	0.6493368	0.9364163
eventueel/adj	0.92465734	0.9124876	0.97954607	0.90015966	0.9635639	0.92388785	0.9702439	0.7851966	0.5668287	0.8592987	0.9325198	0.83631873	0.88234943	0.8979562	0.9322696	0.7487831	0.6559131	0.7560507	0.6346985	0.97087944	0.9389826	0.8572417	0.93334776	0.79905844	0.84003913	0.69541234	0.79699683	0.6747613	0.79160374	0.9698902	0.9452519	0.8496014	0.74758124	0.6817988	0.9274319	0.665444	0.6375782	0.0	0.85590756	0.81830037	0.89762074	0.7012789	0.79611087	0.715063	0.8914108	0.81929314	0.9537103	0.798791	0.68309987	0.7275866	0.8728021	0.86465216	0.59534645	0.9168919	0.6035998	0.96988064	0.893948	0.86095834	0.76331764	0.81005335	0.83680236	0.8246073	0.673067	0.7501892	0.74611866	0.8497008	0.69825405	0.698954	0.79335856	0.44800365	0.9124585	0.808163	0.7662588	0.87271476	0.8867129	0.80146784	0.6353749	0.82694685	0.85921276	0.66289914	0.93423593	0.85876244	0.7882788	0.7550582	0.53374374	0.63040745	0.790041	0.6304108	0.7793665	0.84844255	0.9044784	0.91502815	0.68415976	0.6453778	0.78593564	0.8973857	0.8689475	0.73805517	0.6069971	0.51044464	0.89338106	0.9025208	0.8211333	0.7913661	0.66994655	0.9026767	0.68711764	0.7108317	0.7998848	0.8320688	0.8448525	0.9026105	0.89875877	0.7094065	0.7892538	0.668781	0.8665613	0.95866305	0.92413366	0.6667919	0.6538713	0.8045022	0.82827806	0.9184128	0.9540806	0.8109254	0.7474725	0.5970073	0.6994458	0.80806863	0.90732044	0.8655726	0.63095903	0.82960856	0.90178096	0.89165217	0.8002353	0.9073334	0.81605864	0.82879245	0.59368694	0.7559216	0.74165845	0.9511496	0.91033095	0.6572634	0.7822696	0.8150512	0.8769655	0.87005925	0.91240823	0.67479694	0.64443636	0.7648227	0.81936395	0.9189496	0.8566508	0.66277015	0.6208194	0.846354	0.878131	0.7215487	0.56878227	0.86621267	0.87198496	0.87624127	0.9831671	0.793252	0.75862145	0.79816383	0.63693416	0.946072	0.77895844	0.73808205	0.5838709	0.852747	0.85420287	0.6270633	0.75032216	0.8891736	0.5745127	0.8038699	0.85956347	0.9255533	0.8828777	0.88494843	0.6395671	0.8470052	0.6897737	0.8467001	0.80833316	0.6372839	0.5980064	0.53978693	0.60126936	0.5795662	0.7119857	0.96543247
evenwicht/noun	0.93713045	0.867578	0.7983423	0.73292637	0.7060512	0.87464106	0.8792406	0.7453295	0.85456944	0.7289225	0.41472518	0.77300006	0.94353664	0.60502887	0.5596261	0.93233055	0.79403865	0.7877846	0.8112777	0.8606802	0.88214386	0.8074572	0.82799387	0.9559424	0.7617886	0.77638245	0.63757294	0.6568335	0.74143237	0.9042933	0.8086311	0.9005861	0.63610375	0.7743207	0.88636863	0.7667283	0.80690587	0.85590756	0.0	0.9015259	0.87441176	0.689821	0.67685926	0.9321316	0.6898626	0.7016319	0.737334	0.8367766	0.8599266	0.7243068	0.9069878	0.8233495	0.9326587	0.959612	0.72327507	0.93973744	0.5396515	0.9174297	0.9228215	0.84149826	0.9344663	0.7830849	0.76728255	0.7938156	0.7607032	0.8154007	0.84594953	0.8800314	0.7996982	0.68864834	0.9816928	0.86317277	0.95014787	0.9023935	0.9035902	0.7239244	0.8414197	0.8864175	0.7104244	0.803839	0.8934647	0.7170593	0.75469923	0.8541322	0.83396494	0.80665034	0.9187971	0.8022694	0.8811779	0.6803893	0.9485999	0.8476254	0.81371677	0.8379857	0.7114089	0.7226621	0.8770641	0.82747674	0.7693068	0.77327	0.82170266	0.8943664	0.8964993	0.50335205	0.7045636	0.71199816	0.885602	0.773938	0.73255515	0.7425133	0.74030906	0.8249489	0.79360443	0.9575685	0.81294525	0.7743286	0.68163633	0.47009838	0.6281761	0.9002733	0.82302666	0.6468201	0.5759729	0.88421607	0.59897006	0.7322594	0.70562446	0.83832645	0.9967128	0.6172246	0.7546088	0.63040507	0.70653725	0.52502686	0.80904937	0.8826836	0.9536051	0.44836795	0.64980966	0.95018935	0.70631254	0.8310907	0.8428386	0.8099663	0.8018766	0.7321187	0.78167355	0.7140283	0.7622568	0.90112925	0.78492475	0.7334594	0.71701556	0.7353239	0.85514325	0.56889105	0.7589246	0.8878876	0.82273316	0.78344667	0.7863145	0.9258882	0.90448993	0.7624475	0.85502565	0.67016435	0.74311787	0.71042836	0.5741435	0.7014409	0.91111577	0.7402364	0.7025826	0.866871	0.7062377	0.8850804	0.77778393	0.67958283	0.66887295	0.7380723	0.8040091	0.6419668	0.88267004	0.79443574	0.72370636	0.68390095	0.8586296	0.8567975	0.8262365	0.9423864	0.6778	0.9667908	0.80659616	0.7904085	0.9501536	0.8576424	0.6405573	0.64296114
fiets/noun	0.9450018	0.9982629	0.9782217	0.9927865	0.83302987	0.9215511	0.97581226	0.89802164	0.8546447	0.97445214	0.9318227	0.85225374	0.94888103	0.95704126	0.9444504	0.9257237	0.70696074	0.9012572	0.78549653	0.8087265	0.9316179	0.8512366	0.90367776	0.67808026	0.9845863	0.85494834	0.95695955	0.87443864	0.9177026	0.99174815	0.93624926	0.46239525	0.9283262	0.7206299	0.92451394	0.8191614	0.6700937	0.81830037	0.9015259	0.0	0.9503162	0.8824757	0.9722156	0.7926454	0.91291904	0.8182547	0.98061645	0.98502105	0.9095728	0.9168079	0.9630705	0.964851	0.825426	0.8943729	0.8428809	0.914119	0.9398563	0.9979366	0.8893038	0.69817495	0.9271574	0.81639844	0.89235854	0.856578	0.9440303	0.81329286	0.8667138	0.5821278	0.8146435	0.8373354	0.84496915	0.9545227	0.95357144	0.8928298	0.950803	0.8821299	0.85033906	0.68655723	0.7949031	0.72854555	0.86481214	0.8804568	0.9689749	0.6542985	0.7711382	0.85903084	0.95071054	0.680122	0.8295071	0.90761155	0.9502931	0.9353496	0.85870284	0.9085933	0.88338804	0.7838061	0.9661745	0.93238926	0.8967428	0.89460456	0.8366219	0.6996509	0.82106745	0.9668131	0.8839055	0.79790074	0.8563002	0.8877891	0.8543367	0.96687675	0.83938503	0.91874784	0.97728604	0.84339064	0.8152271	0.96246195	0.95574546	0.9516648	0.97464335	0.9468026	0.89929575	0.8416393	0.86642927	0.80486953	0.9404179	0.89555043	0.85677123	0.91951895	0.9613888	0.9451479	0.9758805	0.9168873	0.89543897	0.91657287	0.8925458	0.97142005	0.68242574	0.92772436	0.9607055	0.9506776	0.69540524	0.7127712	0.9191836	0.8595983	0.9874562	0.85109687	0.72451746	0.9253019	0.8992838	0.92468613	0.82029295	0.709838	0.92101514	0.7476042	0.8757831	0.91430926	0.91391474	0.9061834	0.75046307	0.88040406	0.91061276	0.8533876	0.6352825	0.95284	0.91125196	0.82447475	0.9137394	0.852564	0.89559823	0.8992755	0.9307872	0.9821505	0.68869776	0.8487345	0.819356	0.96001077	0.98492455	0.77031237	0.89150894	0.9478257	0.8505865	0.78902555	0.88943857	0.9231431	0.7645988	0.80705905	0.69227743	0.9613856	0.92521924	0.94117963	0.87368596	0.74940974	0.7775793	0.88241357	0.8998915	0.82205963	0.8992518	0.9682969
fonds/noun	0.8237462	0.6590308	0.5256262	0.9090368	0.9224826	0.4394163	0.6563812	0.916957	0.8427393	0.8411063	0.7992011	0.72215074	0.3070032	0.9431991	0.9702758	0.9308224	0.8621846	0.8371725	0.9427282	0.8732054	0.50863624	0.93826413	0.84801376	0.9572357	0.8122354	0.79208624	0.93264776	0.7969991	0.68210965	0.86095595	0.34549713	0.9177254	0.7530302	0.8800558	0.9591521	0.8911802	0.48871845	0.89762074	0.87441176	0.9503162	0.0	0.95368916	0.88986355	0.9025329	0.83728945	0.8426659	0.90274984	0.8376001	0.9078145	0.790552	0.94117844	0.84699285	0.8989867	0.41881877	0.9552575	0.9850331	0.81572485	0.8953022	0.8662286	0.90650254	0.8011467	0.87549967	0.8776554	0.71517307	0.8601071	0.69633245	0.81523895	0.9341915	0.842581	0.82421905	0.93948925	0.9029923	0.9336895	0.88279307	0.3968945	0.96739876	0.8189324	0.87547535	0.7760954	0.86059	0.75924814	0.8346206	0.8614625	0.96114117	0.8331034	0.8160434	0.54802656	0.80537754	0.884033	0.8215943	0.61997753	0.4751433	0.7218751	0.8620491	0.6832963	0.8694422	0.8559188	0.9511221	0.5971514	0.85465556	0.82027155	0.9749942	0.94827414	0.8152226	0.7716747	0.86636895	0.8451451	0.93198204	0.7753706	0.88849586	0.8436054	0.36727983	0.9065539	0.9158127	0.9086703	0.56897444	0.9321644	0.87943584	0.90121037	0.8076291	0.8413784	0.60875785	0.91638106	0.93850964	0.82573694	0.86232996	0.8222387	0.8560232	0.9463675	0.9136007	0.86782694	0.8792679	0.8830575	0.7790605	0.94971424	0.739743	0.94037807	0.91146076	0.8414866	0.93446875	0.81565905	0.9012057	0.844849	0.76252735	0.878914	0.77197224	0.7873824	0.8176986	0.8077791	0.9172561	0.9511949	0.8541592	0.72820216	0.8678694	0.85487044	0.96810603	0.6625974	0.77210814	0.68939173	0.8072375	0.9242586	0.85845566	0.91943085	0.6706946	0.38273603	0.94306815	0.8544215	0.8716525	0.80989325	0.86098886	0.9839537	0.6904535	0.86011827	0.85857993	0.85385484	0.9207731	0.91834897	0.9082823	0.8964705	0.76074445	0.7754912	0.7806559	0.94954836	0.8431122	0.6658234	0.64043534	0.85393894	0.89261204	0.91708416	0.40133727	0.759167	0.9186866	0.7927538	0.7293848	0.909988	0.9807119	0.8498271	0.97840154
