	Habibie/name	aanbesteding/noun	aanbieding/noun	abonnement/noun	accoord/noun	adres/noun	advies/noun	algemeen/adj	alibi/noun	alleen/adj	alternatief/noun	altijd/adv	arbeid_vergunning/noun	argument/noun	arrangement/noun	bekentenis/noun	besluit/noun	betaal_middel/noun	biljet/noun	bod/noun	bon/noun	boord_document/noun	bouw_aanvraag/noun	conventie/noun	dagvaarding/noun	die/det	diploma/noun	dit/det	document/noun	doelpunt/noun	door/adj	eind_uitslag/noun	en/vg	enkel/adj	enquête/noun	euro/noun	excuus/noun	exploitatie_vergunning/noun	frank/noun	gemeente/noun	gewoon/adj	gezien/adj	goal/noun	goedkeuring/noun	handtekening/noun	huur_contract/noun	huwelijk/noun	identiteitsbewijs/noun	jaar/noun	juridisch/adj	kaart/noun	kandidatuur/noun	lang/adj	licentie/noun	lid_kaart/noun	niet/adv	nog/adv	offerte/noun	onbeperkt/adj	onverminderd/adj	overeenkomst/noun	papier/noun	paspoort/noun	patent/noun	poging/noun	principe/noun	rechtbank/noun	rede/noun	reden/noun	referendum/noun	regel/noun	reis_pas/noun	reservatie/noun	rijbewijs/noun	slechts/adv	status/noun	stem/noun	stem_biljet/noun	strip_kaart/noun	tarief/noun	ten/adv	ticket/noun	toelating/noun	toestemming/noun	treffer/noun	trein_kaart_DIM/noun	typering/noun	uitkomst/noun	uitslag/noun	universeel/adj	verblijf_status/noun	verblijfsvergunning/noun	vergunning/noun	verklaring/noun	vervoer_bewijs/noun	verzekering/noun	verzoek/noun	visum/noun	vonnis/noun	voorwaarde/noun	wagen/noun	wereldwijd/adj	werk_vergunning/noun	wet/noun	wijze/noun	wil_beschikking/noun	ze/pron
Habibie/name	0.0	0.97273344	0.9872028	0.9984215	0.9659334	0.9734923	0.98229057	0.9790629	0.9786626	1.0	0.9864993	1.0	0.9831085	0.97520405	0.97294533	0.94280285	0.9571467	0.9854098	0.9920757	0.9787844	0.9797091	0.99393517	0.9835939	0.9946291	0.97558	0.9930462	0.9918387	0.98273504	0.97052556	0.9749516	0.99398506	0.9869981	0.96392876	0.9699997	0.96744895	0.976676	0.9506072	0.97527325	0.9693341	0.9995272	1.0	0.974163	0.9894089	0.9651978	0.98685944	0.98737776	0.9885453	0.99670756	0.9701012	0.99694765	0.99343485	0.9252635	0.99308425	1.0	0.9989454	1.0	0.98676306	0.9714753	0.9830624	0.9443913	0.9846598	0.9882521	0.9805566	0.98110145	0.96818036	0.99281216	0.95509803	0.9466334	0.9926415	0.93183625	0.99583995	0.99065137	0.9862455	0.94688016	0.97499406	0.95834786	0.9565066	0.991835	0.96967775	0.9921175	0.9495087	0.98712355	0.99328125	0.9846476	0.9928833	0.9988053	0.9583836	0.9861422	0.9552661	0.99682707	1.0	0.9736285	0.9843988	0.97030604	0.9992892	0.97235465	0.91070235	0.98421884	0.91478336	0.9964406	0.9658217	0.98374665	0.9620565	0.97426206	0.9798597	1.0	1.0
aanbesteding/noun	0.97273344	0.0	0.9929292	0.9643627	0.9199701	0.96376073	0.92447114	0.9472796	0.96805096	0.97719383	0.9308376	0.99049175	0.9739058	0.97132295	0.9684707	0.9866143	0.94786173	0.93359596	0.94091517	0.92362475	0.95301443	0.9940449	0.93542534	0.96803147	0.96375716	0.9677033	0.9473776	0.93564343	0.9548521	0.969346	0.98849344	0.99498886	0.9169894	0.97514987	0.93038374	0.9008715	0.9846521	0.93690795	0.9053256	0.85516673	0.98482865	0.9482964	0.9751836	0.880339	0.9556896	0.92402136	0.97608894	0.961801	0.89225316	0.918083	0.9510145	0.9452822	0.9545872	0.941004	0.9878941	0.9907813	0.91772336	0.9610298	0.9794714	0.9666356	0.90363646	0.9698945	0.96805996	0.9689834	0.9859351	0.96915555	0.9717023	0.97425795	0.9591279	0.9409805	0.9620433	0.9781637	0.9486394	0.96735764	0.9117628	0.98498595	0.9352395	0.97444946	0.9438675	0.89187104	0.90414053	0.95026433	0.9573438	0.9205756	0.976984	0.94535583	0.96605784	0.9615745	0.97327393	0.98898906	0.9786046	0.9752096	0.8979887	0.9719857	0.93534684	0.94194824	0.9532526	0.9800434	0.9402501	0.93231636	0.9256324	0.90695596	0.98544204	0.95627856	0.9661469	0.9824919	0.9998479
aanbieding/noun	0.9872028	0.9929292	0.0	0.90207946	0.9266138	0.9428873	0.95116884	0.9160848	0.97824854	0.9619884	0.9255106	0.9482548	0.97688615	0.9718479	0.92445135	0.9677676	0.9179823	0.9574073	0.9280293	0.9082854	0.9437601	0.97350717	0.95419866	0.97421575	0.9636049	0.95916474	0.96341693	0.8997666	0.9397466	0.8744341	0.9572549	0.984905	0.8541651	0.95157534	0.8886099	0.8687221	0.9407175	0.98173183	0.8733571	0.8985307	0.92965883	0.93889856	0.88338554	0.97467643	0.90562606	0.9442756	0.95347023	0.9927955	0.89828193	0.948346	0.8674805	0.9558491	0.92387825	0.9257406	0.93176305	0.9192175	0.92377496	0.96633464	0.95406437	0.97232866	0.9042231	0.9489434	0.9124727	0.9416392	0.9069411	0.9473691	0.9008163	0.9570144	0.9117251	0.96133965	0.9770183	0.96588844	0.98200226	0.936586	0.86383706	0.93847334	0.9015574	0.9814221	0.9483726	0.9018478	0.9250163	0.89770406	0.9747996	0.9250076	0.8588837	0.9643	0.9747999	0.9748201	0.9211012	0.96670485	0.93785584	0.9671052	0.963187	0.9545203	0.9804711	0.92034835	0.936001	0.91441953	0.8999721	0.9283762	0.8793774	0.8953457	0.93248564	0.9580578	0.93185323	1.0	0.98695433
abonnement/noun	0.9984215	0.9643627	0.90207946	0.0	0.9266922	0.8817827	0.96393096	0.91333556	0.9661116	0.97218573	0.96992576	0.9786959	0.975994	0.97956336	0.92893815	0.98757416	0.9706419	0.9815764	0.8304389	0.85517836	0.9050047	0.98816115	0.8824918	0.9677229	0.9542036	0.9708667	0.9480301	0.86008817	0.8857448	0.92314625	0.9788152	0.9861482	0.92183864	0.9722699	0.815874	0.6675765	0.9676449	0.982209	0.64728975	0.85033387	0.93483675	0.95041853	0.934378	0.96837205	0.7144011	0.97689515	0.95657444	0.988331	0.70228624	0.9729286	0.75545496	0.9561253	0.8531742	0.92194813	0.8666738	0.99273777	0.87855875	0.9311981	0.91907346	0.97458696	0.94329804	0.93168193	0.9252859	0.9604807	0.96405727	0.9649619	0.9547911	0.92913795	0.98030597	0.9463144	0.9728259	0.9455047	0.8986213	0.94064415	0.7002536	0.976413	0.8132765	0.9103177	0.96752715	0.83549213	0.81128854	0.6934412	0.9275309	0.9466857	0.96843696	0.9535414	0.98858625	0.9404264	0.9055216	0.9405139	0.96698517	0.8963559	0.9091952	0.9856275	0.9238261	0.9141497	0.96108574	0.94788617	0.9591371	0.9596823	0.8065714	0.6919652	0.8627459	0.95033747	0.9672115	0.99950784	0.99872696
accoord/noun	0.9659334	0.9199701	0.9266138	0.9266922	0.0	0.92773795	0.8999542	0.83415097	0.9511225	0.9307605	0.909383	0.9255626	0.97022945	0.89436007	0.9670385	0.9503808	0.84160626	0.939466	0.95835006	0.8301458	0.9487463	0.994224	0.94184273	0.9290777	0.94755787	0.93046784	0.94536245	0.8974873	0.8999331	0.90845466	0.97080666	0.9904565	0.80263585	0.9022827	0.89042467	0.8932524	0.90702003	0.9464508	0.8995666	0.9019203	0.9300485	0.9238122	0.90618515	0.8469749	0.9065455	0.92950666	0.94358045	0.9609533	0.89855766	0.8589427	0.9035543	0.89063376	0.9286681	0.856456	0.9680886	0.93889713	0.9021976	0.9518055	0.932953	0.9361181	0.75398266	0.93419063	0.9463024	0.95225286	0.8488685	0.8818068	0.883838	0.9002434	0.87572587	0.88608366	0.9506253	0.98505956	0.9872222	0.9618351	0.88084763	0.89078295	0.8957358	0.9568239	0.9796118	0.88921946	0.88687044	0.9280716	0.8992667	0.8354253	0.9425389	0.98675597	0.98687303	0.94381815	0.93625176	0.9743887	0.9736381	0.95122933	0.871611	0.8337089	0.9864176	0.90884745	0.89164394	0.89429325	0.8864699	0.8573511	0.922762	0.86404735	0.9631727	0.8346833	0.92812824	0.9882412	0.9743645
adres/noun	0.9734923	0.96376073	0.9428873	0.8817827	0.92773795	0.0	0.9371031	0.9241506	0.9813011	0.9664491	0.9596559	0.9626766	0.99735945	0.949112	0.91939104	0.94368905	0.91823596	0.99018705	0.9247482	0.9283217	0.90670455	0.94550157	0.9425991	0.95167935	0.94574106	0.9822072	0.942785	0.9321824	0.90886396	0.91216433	0.95739365	0.9825989	0.9035777	0.9367129	0.88850695	0.8284054	0.95393485	0.9811712	0.8254757	0.8753951	0.9558113	0.9480305	0.9128799	0.96388865	0.85124624	0.9694082	0.9296409	0.9811696	0.84965605	0.939766	0.82624954	0.96209157	0.90584856	0.9486245	0.942166	0.9889496	0.9307937	0.9165117	0.957484	0.96192783	0.93366873	0.9318906	0.94566554	0.9606578	0.93068933	0.9586325	0.90525955	0.9465347	0.94788915	0.95059067	0.9570837	0.98632073	0.8873949	0.90966356	0.83405244	0.9479505	0.84708375	0.91421247	0.95436996	0.91660285	0.8864975	0.76156986	0.9714048	0.93007797	0.9345004	0.94709986	0.98214567	0.9585945	0.9243332	0.9546869	0.9834773	0.93561405	0.91005284	0.94808185	0.95782316	0.9133014	0.9187478	0.9681497	0.95700943	0.96225077	0.8678792	0.85227126	0.9478613	0.9416054	0.9381351	0.9814936	0.9688515
advies/noun	0.98229057	0.92447114	0.95116884	0.96393096	0.8999542	0.9371031	0.0	0.8529922	0.99998534	0.93667793	0.93694735	0.9489111	0.99716514	0.84456503	0.9832384	0.9698179	0.828963	0.9958422	0.9698777	0.9224868	0.967609	0.9913788	0.9459863	0.9710015	0.98446023	0.8922309	0.96214426	0.8792415	0.92438537	0.9613951	0.9649651	0.99333566	0.8446481	0.94186723	0.92122495	0.9282566	0.9165881	0.92209214	0.92792535	0.84214777	0.9425492	0.920937	0.9509083	0.8609742	0.93086654	0.9969882	0.9241546	0.99306417	0.9331973	0.8975747	0.94680214	0.8944814	0.9637044	0.9573568	0.9976641	0.9503512	0.94283766	0.9990459	0.97869134	0.98671967	0.8937706	0.90279007	0.98553026	0.9782251	0.93057185	0.9450031	0.93994594	0.9519708	0.89914775	0.9438202	0.8943534	0.98467493	0.9892081	0.9211141	0.9072259	0.97221136	0.928756	0.9826318	0.9965559	0.92163414	0.9047595	0.9470854	0.8930168	0.8636606	0.96583927	0.976041	0.9930156	0.92002076	0.94433993	1.0	0.9957683	0.9799894	0.8717525	0.8902645	0.97996145	0.9347863	0.87950915	0.9845432	0.9340819	0.87455994	0.940625	0.92371887	0.97295636	0.90658355	0.9130026	0.99769896	0.98579466
algemeen/adj	0.9790629	0.9472796	0.9160848	0.91333556	0.83415097	0.9241506	0.8529922	0.0	0.96445435	0.8945505	0.90526867	0.9120836	0.9713605	0.87049204	0.95526797	0.9426168	0.8873528	0.9708934	0.9560718	0.8790539	0.9381103	0.9672589	0.9543429	0.96145475	0.94964397	0.93727124	0.9047746	0.8873225	0.88892466	0.89194065	0.95605415	0.97703636	0.7860522	0.8873028	0.89070046	0.8550244	0.942358	0.9909039	0.8618276	0.8673577	0.9289274	0.8825915	0.9259947	0.9270318	0.9003324	0.96662444	0.9162806	0.989385	0.8715296	0.86723477	0.8990226	0.91378593	0.9078369	0.92742425	0.98524284	0.9413593	0.8961134	0.97071224	0.97357804	0.976871	0.83144915	0.9111569	0.9602458	0.9159403	0.85905993	0.8937536	0.8829812	0.937037	0.8477432	0.9432411	0.8600635	0.9934197	0.97020036	0.9525301	0.8523603	0.91009027	0.8561776	0.9783612	0.9849839	0.9042745	0.8831825	0.9196496	0.940082	0.9106036	0.900173	0.982787	0.98828506	0.9275087	0.87958807	0.95890766	0.9996263	0.96234864	0.912422	0.84914684	0.994	0.9015162	0.8656288	0.9684264	0.9066911	0.8926836	0.9182665	0.8651494	0.9539443	0.83526796	0.8845718	0.96869904	0.97521096
alibi/noun	0.9786626	0.96805096	0.97824854	0.9661116	0.9511225	0.9813011	0.99998534	0.96445435	0.0	0.9736735	0.97340375	0.99609905	0.9479315	0.9924532	0.9544142	0.9112885	0.9746209	0.99583316	0.9953661	0.9949136	0.9942728	0.9823102	0.9775354	0.95700634	0.93756187	0.9946897	0.9894401	0.9975887	0.9789111	0.97225624	0.98749626	0.9970808	0.92153364	0.99543124	0.97578496	0.9824021	0.9655222	0.9981261	0.9760031	0.99024683	0.98101455	0.98627347	0.98422164	0.968037	0.97418314	0.98421454	0.91252357	0.9903216	0.97973466	0.9908827	0.97592765	0.94667625	0.9931746	0.98487544	1.0	0.98721063	0.99018383	0.9783089	0.9850376	0.93342197	0.96979463	0.9831266	0.96905077	0.97648716	0.9808932	0.9677722	0.92677164	0.95505583	0.98721457	0.9562991	0.9878654	0.99234974	0.9939463	0.94740355	0.9776879	0.976909	0.97947204	0.99007326	0.9834788	0.9876215	0.98037905	0.9625369	0.97678745	0.96119726	0.985019	0.99567753	0.951538	0.98419434	0.9807883	0.9847456	1.0	0.97375137	0.97681147	0.95120186	0.9885258	0.9880302	0.97140855	0.9880006	0.9522516	0.9539967	0.9527058	0.9864502	0.9993764	0.95776343	0.9572822	0.98294437	1.0
alleen/adj	1.0	0.97719383	0.9619884	0.97218573	0.9307605	0.9664491	0.93667793	0.8945505	0.9736735	0.0	0.9325459	0.81625926	0.9864637	0.9386926	0.98707503	0.9547683	0.9251715	0.99676496	0.98049283	0.96002084	0.96775043	1.0	0.9963172	0.98062235	0.9757353	0.90387076	0.9530956	0.9293822	0.936731	0.93448734	0.9637054	0.9966945	0.793103	0.89202183	0.92590356	0.952659	0.9503056	0.9857998	0.96116924	0.92806166	0.82399315	0.90546876	0.9330724	0.95167583	0.95303154	0.99193186	0.9392697	0.9635967	0.94310665	0.93028086	0.91612816	0.9495628	0.9026524	0.9755201	0.9984292	0.8666027	0.9008097	1.0	0.926374	0.9627014	0.9131843	0.9289772	0.96069527	0.97860956	0.905786	0.92719334	0.9364071	0.9457502	0.89677596	0.9210841	0.9342562	0.9996092	0.98847103	0.97986144	0.90540904	0.92199063	0.9311551	0.9965476	1.0	0.9374314	0.9295552	0.9414107	0.96758497	0.91351825	0.93369824	1.0	0.9918377	0.96532154	0.947835	0.94406384	1.0	0.9724474	0.95484114	0.90228605	0.98301625	0.94398475	0.9244986	0.96010643	0.97083735	0.89632136	0.947934	0.9196325	0.9784291	0.9382474	0.89329284	1.0	0.90974534
