	's/adv	Amsterdammer/noun	Chris/name	Lance/name	Lelièvre/name	Ronaldo/name	Schneider/name	Verhaegen/name	al/adv	alleen/adv	als/comp	amper/adv	andapos;s/adv	anders/adj	angst/noun	beetje/noun	behoorlijk/adj	beton/noun	bijna/adv	binnen/adv	blijkbaar/adj	bloem/noun	bovendien/adv	concurrentie/noun	daar/adv	daarom/pp	dag/noun	dan/adv	dat/det	door/prep	eenmaal/noun	eerst/adv	eind/adv	er/adv	ertegen/pp	even/adj	evengoed/adv	evenwel/adv	geur/noun	gewoon/adj	gips/noun	golfplaat/noun	haar/pron	hem/pron	hen/pron	hier/adv	hij/pron	hitte/noun	huid/noun	ik/pron	intussen/adv	kaas/noun	karakter/noun	kind/noun	leven/noun	lucht/noun	maar/adv	makkelijk/adj	me/pron	meestal/adv	men/pron	mentaal/adj	mij/pron	nauwelijks/adv	net/adv	niet/adv	nog/adv	om/comp	ondanks/prep	overigens/adv	pijn/noun	plots/adj	provincie_raad_lid/noun	pupil/noun	simpelweg/adv	sinds/comp	snel/adj	soms/adv	speler/noun	spier_pijn/noun	stank/noun	student/noun	tegen/prep	tegenslag/noun	thuis/adv	tijdens/prep	toch/adv	toen/comp	tot/adv	twijfel/noun	uzelf/pron	vaak/adj	verdriet/noun	verhouding/noun	verschrikkelijk/adj	volgens/prep	voor/comp	wanneer/comp	wat/pron	we/pron	week/noun	weekend/noun	weer/adv	wel/adv	wereld_DIM/noun	werk/noun	wieler_sport/noun	ze/pron	zeeman/noun	zich/pron	ziel/noun	zo/adv	zodat/comp	zodra/comp	zolang/comp	zonder/prep
nog/adv	0.8627956	0.8749738	0.89893126	0.8907332	0.9231897	0.8469543	0.9119639	0.90139216	0.68751955	0.78622985	0.72998965	0.70790505	0.848487	0.8492085	0.88928705	0.8132279	0.8210517	0.91119915	0.8051424	0.8583256	0.7623599	0.9165627	0.7631307	0.8725255	0.78477496	0.7941691	0.799357	0.6872024	0.787421	0.90312946	0.8043103	0.7690371	0.816972	0.69713426	0.94030845	0.7254237	0.89289284	0.7558332	0.89640564	0.81104356	0.9236275	0.94301355	0.872628	0.8532805	0.844556	0.80607045	0.7655704	0.8929468	0.8939378	0.6903432	0.71413815	0.91106856	0.8816873	0.91381866	0.87492317	0.90763336	0.6713439	0.8299937	0.8037325	0.82258785	0.7830425	0.8283017	0.8162576	0.7521233	0.82577664	0.7175026	0.0	0.75828636	0.8258597	0.7946774	0.8451127	0.82722324	0.9381223	0.8917257	0.87377256	0.8645773	0.7678943	0.83101976	0.7994437	0.9215972	0.9064966	0.9065739	0.9036249	0.8802625	0.852139	0.89677775	0.6384869	0.7990948	0.8292891	0.8645917	0.90308666	0.84647334	0.88632894	0.89911926	0.8761899	0.9005533	0.7387402	0.7760447	0.7808267	0.6670591	0.7288201	0.8369049	0.7369768	0.62041646	0.8969079	0.8906226	0.90012145	0.7588802	0.957341	0.8738362	0.89369327	0.8062879	0.7656549	0.7749631	0.73092556	0.8215321
om/comp	0.815299	0.8326476	0.89280397	0.85724807	0.89926964	0.86958957	0.8969056	0.8971269	0.8178734	0.7213245	0.64720535	0.8044465	0.830281	0.8207543	0.79400194	0.774629	0.7964506	0.88158804	0.8615341	0.82904446	0.6788702	0.87169576	0.6345973	0.80935574	0.78126305	0.5892887	0.83503044	0.6888522	0.7380414	0.7683555	0.777564	0.6621512	0.83377725	0.75310546	0.8786957	0.73817056	0.82826704	0.74097234	0.8683613	0.7449216	0.9296602	0.94007504	0.74768007	0.70926315	0.673646	0.78936505	0.7308979	0.8726167	0.86642766	0.74386966	0.7378185	0.8903665	0.8378377	0.82218874	0.8319379	0.850888	0.74066323	0.72368044	0.76061845	0.75654566	0.6339407	0.7996048	0.75842595	0.728238	0.8500958	0.7069917	0.75828636	0.0	0.7645867	0.7532548	0.8414647	0.7867869	0.92782515	0.8728299	0.76778746	0.8299748	0.71353304	0.7703546	0.8131132	0.9385659	0.8795578	0.80190474	0.81122494	0.8643438	0.8115176	0.85315585	0.6874014	0.8272222	0.8095792	0.8195999	0.82279277	0.74583757	0.85723203	0.8437903	0.8471551	0.8127856	0.697225	0.6829488	0.79909134	0.65882754	0.8538037	0.8545083	0.7344719	0.6905738	0.8742851	0.8558531	0.86821926	0.6423496	0.89804727	0.79264337	0.8466696	0.7359451	0.5900407	0.69556254	0.6742818	0.6971975
ondanks/prep	0.8712815	0.8424287	0.85725623	0.85791874	0.9229228	0.8505241	0.910663	0.91296065	0.7822368	0.726709	0.78689134	0.8107234	0.89006567	0.8655694	0.7121361	0.768982	0.6775252	0.87862414	0.76080704	0.86079913	0.7380749	0.883283	0.6762172	0.7923186	0.8467245	0.7675239	0.8230865	0.8390609	0.78994966	0.6563597	0.82023776	0.80953056	0.8367773	0.75473714	0.91388136	0.7806379	0.8599453	0.66422963	0.84533525	0.8283392	0.9390209	0.94236577	0.83582145	0.8299504	0.82716274	0.8195257	0.7953169	0.8071095	0.8477348	0.8734048	0.735072	0.9099708	0.71938586	0.8803199	0.80967456	0.82199347	0.80751115	0.8240049	0.88700616	0.7280769	0.80270946	0.77479374	0.8724667	0.72185355	0.8101194	0.82938135	0.8258597	0.7645867	0.0	0.6796223	0.75753593	0.732534	0.9446082	0.9073	0.8347797	0.7608439	0.7431747	0.6696186	0.8062963	0.8809225	0.89059466	0.8517176	0.72417426	0.7699653	0.8658116	0.79409844	0.67226017	0.7920807	0.75456786	0.76638806	0.91024756	0.6955678	0.80170846	0.7792701	0.7741829	0.8010299	0.8302438	0.7417561	0.89136595	0.83950174	0.7849618	0.8257263	0.79314053	0.79870784	0.88153106	0.86789405	0.89814764	0.84770787	0.9264663	0.8758204	0.8452495	0.764239	0.75842434	0.7770425	0.7190982	0.70271134
overigens/adv	0.8617431	0.84198666	0.83721125	0.87967664	0.91509014	0.8827136	0.90627265	0.915651	0.7833534	0.72846925	0.7453897	0.8203316	0.9064901	0.8289243	0.7934642	0.78906626	0.7503816	0.91664976	0.8023249	0.8621015	0.69731224	0.85211873	0.6065569	0.7990931	0.80724156	0.6967088	0.85676193	0.77184457	0.6956899	0.7335868	0.8300899	0.797611	0.8195937	0.7648168	0.91892457	0.7768336	0.82560265	0.64725053	0.85881877	0.8013967	0.95333046	0.96177524	0.7856113	0.7708663	0.769495	0.80332565	0.75864875	0.86001635	0.87468773	0.82575047	0.73468894	0.88005173	0.7615759	0.872347	0.8431073	0.8719504	0.75227576	0.7753353	0.82587326	0.6632594	0.6991569	0.8615858	0.7711885	0.71853966	0.7889714	0.7060878	0.7946774	0.7532548	0.6796223	0.0	0.85576475	0.80274206	0.9443821	0.9016986	0.79956555	0.79262334	0.7886827	0.7138552	0.8418721	0.9401437	0.9005674	0.7938714	0.82516336	0.8401178	0.84039706	0.8271578	0.7044983	0.8354649	0.74583685	0.78788984	0.8923305	0.6959487	0.8510056	0.77504253	0.85410476	0.71655864	0.793325	0.6767427	0.7780103	0.8196572	0.84363186	0.82761043	0.8493479	0.6844225	0.878153	0.8287302	0.855611	0.7731769	0.91285807	0.80198157	0.8530218	0.7280479	0.7309922	0.76537824	0.7288703	0.7404361
pijn/noun	0.85128844	0.88174325	0.8796252	0.8800893	0.9376612	0.8413482	0.93085146	0.931993	0.8905738	0.8010156	0.7632336	0.83225906	0.86588216	0.85014296	0.6739465	0.7899289	0.81811845	0.91630733	0.8522997	0.87782466	0.8191582	0.87797546	0.825338	0.8897288	0.8732073	0.8381766	0.86284125	0.8029806	0.8258092	0.7958108	0.8285513	0.8476615	0.92426187	0.8822704	0.923896	0.78747946	0.89747787	0.83949864	0.82487965	0.84202117	0.8572487	0.9513484	0.74653745	0.777532	0.800791	0.8578407	0.7485932	0.78674185	0.71402067	0.74541456	0.850162	0.9337932	0.8597959	0.7891717	0.8039454	0.8356767	0.80279064	0.8442203	0.7769276	0.77462935	0.8540211	0.77879965	0.7935447	0.8072275	0.83719534	0.8614749	0.8451127	0.8414647	0.75753593	0.85576475	0.0	0.75624007	0.9612336	0.8746051	0.867206	0.836464	0.8402058	0.69996935	0.88992244	0.69459593	0.8054741	0.90941787	0.87663263	0.79912066	0.8276915	0.8831598	0.7805698	0.794865	0.86962396	0.8328391	0.8912956	0.7398325	0.66860664	0.87719584	0.74481314	0.92610276	0.8246671	0.73782533	0.8557185	0.8625326	0.8731802	0.9209047	0.7970545	0.8387619	0.902188	0.922715	0.8987055	0.7356318	0.91474545	0.8883361	0.7875797	0.83483917	0.81619436	0.8125027	0.83891404	0.805764
plots/adj	0.7229383	0.83939904	0.857051	0.8691445	0.9160358	0.84696305	0.9069566	0.89432573	0.80258554	0.7656114	0.68051577	0.75366056	0.7594374	0.83731097	0.745069	0.75750375	0.76693034	0.8331205	0.7811919	0.7214345	0.71051997	0.80785465	0.77263665	0.83678186	0.736236	0.8009144	0.8037354	0.68674576	0.8394023	0.68992615	0.7235793	0.7627939	0.8117744	0.7590261	0.9268026	0.63427204	0.8457594	0.7685752	0.8007666	0.7669938	0.9118348	0.90160453	0.7248094	0.75066376	0.771969	0.76208687	0.6889217	0.79086643	0.79466945	0.77936023	0.71661747	0.8869017	0.83898616	0.83820796	0.81255686	0.7342052	0.7796623	0.79892534	0.7925281	0.72966623	0.7990227	0.8308347	0.78013074	0.78629124	0.71144485	0.8483642	0.82722324	0.7867869	0.732534	0.80274206	0.75624007	0.0	0.95563644	0.8716794	0.8292071	0.7590349	0.70476824	0.67756295	0.8167839	0.8945897	0.85465145	0.8441863	0.8323042	0.83692145	0.7686033	0.8185173	0.7403554	0.57952285	0.81984764	0.8281709	0.906092	0.7116456	0.7935238	0.8628228	0.74920774	0.8818735	0.7013055	0.62005603	0.86270976	0.81390077	0.82394767	0.80414176	0.631778	0.82238746	0.8793948	0.90455735	0.8814955	0.68957937	0.87893003	0.807383	0.799362	0.77756536	0.7080047	0.6614134	0.8007746	0.7822307
provincie_raad_lid/noun	0.97497934	0.94502985	0.9439593	0.95840704	0.9309486	0.9509014	0.94736874	0.8989435	0.94183517	0.95451754	0.97250867	0.9679482	0.9667333	0.98088783	0.9763873	0.97055286	0.9519167	0.9693411	0.9737552	0.9614934	0.9595863	0.94802594	0.9440521	0.96740496	0.9651718	0.91810215	0.98159885	0.95551974	0.9602239	0.9263826	0.948394	0.94539374	0.91837543	0.9600158	0.9170091	0.97019076	0.9471901	0.94146013	0.94622463	0.9657077	0.9724781	0.9583307	0.93264514	0.92449594	0.9061639	0.9691787	0.91447294	0.96544033	0.9628136	0.957504	0.9332131	0.96542084	0.9464588	0.9629695	0.9503227	0.96632034	0.9666198	0.9821683	0.94927144	0.97348815	0.9514	0.9479763	0.95585334	0.9446393	0.97370136	0.94984615	0.9381223	0.92782515	0.9446082	0.9443821	0.9612336	0.95563644	0.0	0.9418859	0.9403159	0.9368656	0.96127313	0.96153283	0.9501897	0.9289855	0.9350753	0.9496872	0.9477812	0.95188636	0.9628202	0.9533804	0.9594148	0.95710295	0.9391811	0.9805994	0.96171796	0.9560869	0.96936554	0.93799174	0.97133064	0.9421865	0.9388394	0.95041555	0.9549025	0.95152	0.96181	0.9588123	0.9613463	0.9706432	0.94312245	0.9269162	0.9568428	0.9428252	0.9475813	0.9535951	0.95497364	0.9598224	0.94048005	0.9397131	0.93272334	0.9664454
pupil/noun	0.9195577	0.87779915	0.8883534	0.90881455	0.93089545	0.85945094	0.9083479	0.9268029	0.9155377	0.8850404	0.8731481	0.8612703	0.9016233	0.9123265	0.8636377	0.86847043	0.88592786	0.9354534	0.8924999	0.9064649	0.8767325	0.90438735	0.86778295	0.9258857	0.9112832	0.89473027	0.9314773	0.8796148	0.9017251	0.86204576	0.85977	0.8933693	0.93639684	0.9322009	0.93750167	0.8603747	0.91094035	0.890249	0.91039664	0.9197812	0.9338217	0.94236207	0.80352116	0.80791306	0.8234242	0.92266196	0.8064806	0.90685046	0.8916802	0.85300964	0.9010071	0.94291985	0.89911336	0.8702468	0.8999595	0.9158782	0.8840561	0.89554685	0.85063934	0.8819872	0.8949202	0.8379084	0.84784544	0.89599407	0.9034822	0.8797251	0.8917257	0.8728299	0.9073	0.9016986	0.8746051	0.8716794	0.9418859	0.0	0.890743	0.90799713	0.8882488	0.85895175	0.80035114	0.93270165	0.9436904	0.8696406	0.921809	0.91042906	0.9004211	0.8957337	0.8896036	0.8792238	0.90466946	0.9145861	0.88976717	0.8781472	0.89080495	0.9246363	0.9090997	0.94274217	0.8984475	0.85396945	0.9128517	0.9073166	0.9251634	0.9153836	0.86140454	0.9102535	0.91583806	0.9186324	0.91296846	0.8258785	0.9103652	0.89898247	0.8838993	0.86220956	0.863714	0.8678217	0.904472	0.8867548
simpelweg/adv	0.8777369	0.8511489	0.8816437	0.9123912	0.9474451	0.8988915	0.89845324	0.9126574	0.8967453	0.80344766	0.7657606	0.8584546	0.8694272	0.87230945	0.8324925	0.847546	0.81985265	0.8641861	0.8724079	0.86319864	0.78711337	0.8674927	0.7670671	0.85982096	0.8491663	0.7842921	0.91323084	0.8021935	0.8022322	0.80709004	0.82601076	0.8470105	0.9100059	0.86039907	0.8921681	0.8286106	0.82964253	0.8295661	0.84784794	0.7458654	0.9111389	0.93467426	0.8429992	0.8470303	0.8347497	0.82138866	0.8138865	0.88718426	0.87480426	0.8310811	0.8496704	0.859198	0.8497144	0.8722368	0.8768807	0.88015455	0.82306015	0.7760414	0.86691356	0.792947	0.79501396	0.8770923	0.85918486	0.80830264	0.8497626	0.8106764	0.87377256	0.76778746	0.8347797	0.79956555	0.867206	0.8292071	0.9403159	0.890743	0.0	0.8511929	0.84213114	0.82275325	0.88606983	0.92545223	0.88075334	0.8536149	0.8650452	0.9001763	0.85160196	0.9190525	0.8211036	0.8395066	0.84966844	0.8809183	0.883767	0.77745414	0.86587095	0.85970205	0.8712172	0.84889275	0.83651686	0.7680645	0.84651	0.8284872	0.91463524	0.9214831	0.8460667	0.83795416	0.86942494	0.86701536	0.90071434	0.77627075	0.90434337	0.8796041	0.87801766	0.8291263	0.7717234	0.8060863	0.81700873	0.81956834
sinds/comp	0.87449574	0.86242795	0.8398046	0.86367327	0.9260857	0.8700273	0.8930279	0.9105397	0.7721386	0.8088697	0.79289174	0.80382633	0.8846979	0.8792303	0.77184707	0.8526912	0.80737126	0.9032797	0.7950009	0.87396044	0.79849225	0.88118887	0.7872412	0.8199847	0.8153489	0.79359746	0.81143785	0.8550895	0.8800125	0.7053497	0.8030571	0.8244048	0.7621624	0.8492006	0.9214359	0.83534753	0.85718435	0.7922635	0.8827127	0.84669864	0.9443375	0.94846433	0.81926644	0.7870679	0.8128963	0.83905315	0.7433413	0.87614256	0.8782435	0.8473824	0.710427	0.92166895	0.85287344	0.8688909	0.82070136	0.8794258	0.8624946	0.850549	0.8811565	0.8094261	0.84388816	0.8574803	0.8559422	0.79521954	0.78310615	0.8626271	0.8645773	0.8299748	0.7608439	0.79262334	0.836464	0.7590349	0.9368656	0.90799713	0.8511929	0.0	0.8154913	0.8357922	0.84145194	0.937093	0.8951681	0.8276584	0.7726846	0.8318603	0.8366957	0.8099256	0.84864473	0.6728389	0.7769564	0.8514472	0.9414579	0.8143918	0.88786614	0.8088147	0.82746935	0.74698794	0.789901	0.7634506	0.8898361	0.90440756	0.7787742	0.8492528	0.7843175	0.8873391	0.8649304	0.88620794	0.8731694	0.8032485	0.8640801	0.84316814	0.83164334	0.8358644	0.8194163	0.7502289	0.74895144	0.8195548
snel/adj	0.84328055	0.8502816	0.8923353	0.8931068	0.95470977	0.8834317	0.926863	0.9108211	0.77175957	0.80138415	0.7084843	0.74900794	0.86116725	0.80788314	0.8209139	0.8028751	0.7493753	0.89432	0.7990862	0.8179768	0.7676833	0.9028957	0.7279444	0.8297894	0.8392058	0.7660157	0.8689424	0.70122933	0.82045126	0.77364075	0.7116544	0.7440891	0.8164734	0.80598176	0.9322107	0.72453797	0.8707345	0.7378763	0.87266034	0.7977346	0.92281526	0.95106304	0.8522321	0.84435284	0.85040605	0.84656197	0.7852421	0.82961273	0.844065	0.81184345	0.6885253	0.89041257	0.85954696	0.8954298	0.8847615	0.82155013	0.7860919	0.69662946	0.8559158	0.75296444	0.7798215	0.8366372	0.87099826	0.74285996	0.7782637	0.78086984	0.7678943	0.71353304	0.7431747	0.7886827	0.8402058	0.70476824	0.96127313	0.8882488	0.84213114	0.8154913	0.0	0.7874038	0.8401382	0.91596705	0.9134437	0.8845892	0.87721527	0.8567747	0.8470876	0.8630752	0.75338376	0.71898526	0.8510221	0.85334605	0.91154444	0.7723423	0.8847777	0.85512835	0.856846	0.8748423	0.6734588	0.6929313	0.8950375	0.76987076	0.84289515	0.8648083	0.6935869	0.7998191	0.89264554	0.90738064	0.9219234	0.7633491	0.9261601	0.8444804	0.88309884	0.7686713	0.6249989	0.67057097	0.7881615	0.7872481
soms/adv	0.7667406	0.81122625	0.8373773	0.87289387	0.9249771	0.8538148	0.8862583	0.91944873	0.82671434	0.68125737	0.65492696	0.7928184	0.7965598	0.76371276	0.66816723	0.52263737	0.6117256	0.83614314	0.66798043	0.7709989	0.707052	0.7843002	0.69813156	0.8499528	0.7613021	0.7358384	0.81895447	0.6867706	0.70696425	0.6984508	0.78544456	0.748772	0.9021514	0.7664358	0.8810282	0.58424485	0.78640735	0.74052525	0.7500432	0.7227721	0.8889922	0.9071852	0.68340766	0.7336041	0.7490697	0.69215417	0.66965497	0.78370667	0.7460289	0.6746357	0.78445655	0.8657061	0.58303285	0.7680172	0.7091099	0.748775	0.64410985	0.7390613	0.70442665	0.5517122	0.6987674	0.81178266	0.7124249	0.73118174	0.735306	0.7769909	0.83101976	0.7703546	0.6696186	0.7138552	0.69996935	0.67756295	0.96153283	0.85895175	0.82275325	0.8357922	0.7874038	0.0	0.82610697	0.85173464	0.84767014	0.8131374	0.84267724	0.8244555	0.7822216	0.8421469	0.6366396	0.78309286	0.8224226	0.78565603	0.86405605	0.39761573	0.69621825	0.77831906	0.6591139	0.88408905	0.7744074	0.59682846	0.7700107	0.7872905	0.90432537	0.8512902	0.7428788	0.6731547	0.8087257	0.80091894	0.87914526	0.6176451	0.85932803	0.7939177	0.7086909	0.5515654	0.7280282	0.74955463	0.7614603	0.70952666
speler/noun	0.9164503	0.79798114	0.83706486	0.8369059	0.95974994	0.7824681	0.921742	0.858728	0.8270955	0.8182589	0.80860883	0.81129205	0.9071697	0.87444097	0.8742765	0.8256476	0.80245274	0.91851056	0.87089497	0.89653254	0.8100883	0.91073227	0.75699306	0.8078146	0.877005	0.80695635	0.90169555	0.8048666	0.8472048	0.80709636	0.8254547	0.8474685	0.8929825	0.8717554	0.9508029	0.8064219	0.8789274	0.81253225	0.9172172	0.85893226	0.9499338	0.9503459	0.8142489	0.7837311	0.79742944	0.875901	0.7078052	0.9058502	0.90868556	0.7522999	0.8001748	0.93723524	0.87326866	0.86699176	0.9030766	0.9111579	0.8217757	0.84924936	0.80201596	0.8358952	0.83229506	0.7859805	0.79852724	0.8209497	0.8448011	0.8297461	0.7994437	0.8131132	0.8062963	0.8418721	0.88992244	0.8167839	0.9501897	0.80035114	0.88606983	0.84145194	0.8401382	0.82610697	0.0	0.9468291	0.9472927	0.8025726	0.8453498	0.86503863	0.87302893	0.87315714	0.7852143	0.81064504	0.8791543	0.8850736	0.88846713	0.81256706	0.8922751	0.900327	0.8506537	0.90816104	0.8540036	0.8199794	0.88647246	0.7552337	0.855391	0.86799407	0.8165673	0.8097617	0.894374	0.8989325	0.88047624	0.7756463	0.902395	0.8568531	0.8785934	0.817656	0.80893964	0.829576	0.86222804	0.8430282
spier_pijn/noun	0.90822464	0.9536157	0.9772897	0.95444924	0.9376178	0.93776655	0.9621215	0.94586426	0.9345198	0.9469179	0.9019376	0.92166	0.9431992	0.9636421	0.894021	0.9284819	0.9359087	0.95911694	0.94259703	0.94856924	0.910153	0.95508045	0.91023785	0.94601333	0.94499975	0.9381819	0.9115228	0.89971346	0.9218509	0.9232004	0.93844754	0.9343109	0.9794151	0.942445	0.9659244	0.92257726	0.9377809	0.92551845	0.90143454	0.9210906	0.8951547	0.9560874	0.91481006	0.92444813	0.92224634	0.9485544	0.9072688	0.81471163	0.8339653	0.8454291	0.96394247	0.969445	0.9411751	0.90791976	0.96174777	0.9178715	0.9219667	0.9578131	0.8943207	0.87671316	0.94066405	0.9220125	0.9334965	0.91120666	0.94193065	0.92027104	0.9215972	0.9385659	0.8809225	0.9401437	0.69459593	0.8945897	0.9289855	0.93270165	0.92545223	0.937093	0.91596705	0.85173464	0.9468291	0.0	0.8429829	0.9742862	0.92713517	0.8840435	0.9229102	0.9430853	0.91653377	0.93111634	0.9393194	0.9457522	0.9449115	0.84603745	0.9290777	0.9655493	0.8765578	0.9791542	0.9155953	0.90266347	0.9507587	0.9194992	0.93529516	0.94485664	0.9176518	0.9106453	0.9527141	0.9772324	0.9499522	0.893171	0.92913	0.95952535	0.9561922	0.94283783	0.91573256	0.9426402	0.92739964	0.9349437
stank/noun	0.8674964	0.9291617	0.9467446	0.9425249	0.9315605	0.9466303	0.9431133	0.9280634	0.9316439	0.868813	0.880986	0.89567626	0.8540108	0.9286618	0.8466845	0.88484186	0.89917624	0.8524966	0.91331375	0.8408202	0.88949215	0.8838753	0.85133255	0.8825756	0.8550194	0.89288986	0.894704	0.8966005	0.8892826	0.85269666	0.87270254	0.9034338	0.94832325	0.8708313	0.9143675	0.8880778	0.906873	0.89418787	0.68081844	0.87656313	0.92255116	0.87202704	0.8602621	0.87856734	0.8690777	0.8565596	0.9045773	0.7440996	0.8315245	0.8893986	0.9175186	0.89185756	0.92676646	0.92611754	0.8798413	0.7784233	0.91285807	0.8929702	0.8602582	0.8618004	0.88724935	0.931641	0.88334465	0.85780966	0.9336923	0.8634773	0.9064966	0.8795578	0.89059466	0.9005674	0.8054741	0.85465145	0.9350753	0.9436904	0.88075334	0.8951681	0.9134437	0.84767014	0.9472927	0.8429829	0.0	0.9316349	0.89678544	0.8986472	0.8914637	0.94560087	0.90992194	0.88909745	0.90858656	0.94023705	0.9170561	0.87246037	0.8628722	0.9404247	0.8534713	0.92175364	0.8742933	0.8367602	0.8970837	0.913232	0.9490363	0.9190455	0.9031784	0.926733	0.91792023	0.9268978	0.940866	0.85120696	0.9068277	0.93081015	0.8845229	0.89432573	0.83423716	0.8665324	0.878078	0.87236655
student/noun	0.83360934	0.80725706	0.8571856	0.9284346	0.9523694	0.9155823	0.9235398	0.93415976	0.8839371	0.8017668	0.84977984	0.8524602	0.86628604	0.8899564	0.85288465	0.8231522	0.80727005	0.9218691	0.84577745	0.87633634	0.8012369	0.8727571	0.77542984	0.86041474	0.82969135	0.79440486	0.87308806	0.8642944	0.8947264	0.7733851	0.8463273	0.81270224	0.88011646	0.86341864	0.92411447	0.8552937	0.82462126	0.8562419	0.89778954	0.8175461	0.93010104	0.97064984	0.7995949	0.8443179	0.7613967	0.8159798	0.784474	0.93546534	0.9231022	0.836547	0.8000205	0.9057201	0.82992005	0.73202467	0.8574309	0.9066509	0.83080965	0.81381214	0.87259084	0.76891667	0.8064616	0.86713934	0.87147886	0.8318601	0.8460414	0.87752473	0.9065739	0.80190474	0.8517176	0.7938714	0.90941787	0.8441863	0.9496872	0.8696406	0.8536149	0.8276584	0.8845892	0.8131374	0.8025726	0.9742862	0.9316349	0.0	0.8902749	0.91561544	0.83685017	0.85857457	0.86038435	0.82036674	0.84060967	0.89499444	0.9170637	0.7578822	0.89635813	0.86055046	0.88779867	0.83008486	0.8329354	0.8115603	0.8872202	0.8840511	0.909434	0.85323244	0.87456197	0.88013834	0.88042283	0.8372439	0.89051974	0.74589294	0.85358334	0.82855695	0.8334891	0.8420376	0.80733204	0.84533405	0.84871876	0.8487722
tegen/prep	0.9206523	0.8866488	0.89996487	0.87290907	0.91678727	0.884142	0.9268687	0.89992476	0.90449053	0.82209176	0.85260844	0.87816167	0.9329961	0.9290378	0.7500339	0.915173	0.8587939	0.9022047	0.8753779	0.8801393	0.82977676	0.92101675	0.7932865	0.85050625	0.89604723	0.820652	0.91185373	0.9041511	0.8974014	0.71531796	0.85849077	0.8470993	0.8608302	0.9022111	0.7926076	0.9198419	0.8696133	0.7938388	0.9184847	0.88888097	0.9548864	0.9358449	0.89395976	0.85629374	0.8194157	0.9027024	0.8587774	0.8682634	0.8726242	0.9437468	0.8259707	0.9548189	0.86301476	0.8937326	0.9072483	0.8937095	0.90338194	0.86340183	0.9387753	0.8351752	0.8671721	0.8775669	0.92550504	0.8493577	0.8380222	0.89560175	0.9036249	0.81122494	0.72417426	0.82516336	0.87663263	0.8323042	0.9477812	0.921809	0.8650452	0.7726846	0.87721527	0.84267724	0.8453498	0.92713517	0.89678544	0.8902749	0.0	0.8593568	0.89177626	0.8235262	0.8905101	0.81886005	0.80111176	0.86367565	0.941372	0.8040805	0.8840586	0.864415	0.82257366	0.74888784	0.8556384	0.82410854	0.94556963	0.89693046	0.8631367	0.88930243	0.9039177	0.9093406	0.90787506	0.9415436	0.9157636	0.8803054	0.93200713	0.8404813	0.89458454	0.8871622	0.8132265	0.8228637	0.7426714	0.8126535
tegenslag/noun	0.91625255	0.8638294	0.9063399	0.8912368	0.9692408	0.86094207	0.9200131	0.90322083	0.8493378	0.8659251	0.82837147	0.87950724	0.9061481	0.89562184	0.8114863	0.8693596	0.8241313	0.89355886	0.8915545	0.9171223	0.8370807	0.92939687	0.8091321	0.8200824	0.8981721	0.85116494	0.8755099	0.8544456	0.85251784	0.80236506	0.8787732	0.8949198	0.90597594	0.8868441	0.9334981	0.8634595	0.8780476	0.8077874	0.9220274	0.89471805	0.9158579	0.9557773	0.87153727	0.8663465	0.86569273	0.9132901	0.8456855	0.8261198	0.910739	0.86608875	0.83392555	0.9389502	0.87222695	0.9169409	0.84147096	0.9206295	0.88924116	0.8933947	0.88410383	0.859871	0.8655505	0.81375206	0.8740949	0.85270953	0.88257253	0.84826756	0.8802625	0.8643438	0.7699653	0.8401178	0.79912066	0.83692145	0.95188636	0.91042906	0.9001763	0.8318603	0.8567747	0.8244555	0.86503863	0.8840435	0.8986472	0.91561544	0.8593568	0.0	0.9098605	0.89551795	0.8306583	0.83872706	0.8210011	0.8557455	0.9021018	0.8241035	0.82570934	0.8497587	0.85048103	0.8946244	0.85992956	0.838574	0.9228411	0.8368262	0.8742042	0.89436245	0.84362423	0.8752642	0.88109654	0.917911	0.8788501	0.8483161	0.90871114	0.8795337	0.8840546	0.87466764	0.8581028	0.8491512	0.8728333	0.8619029
thuis/adv	0.6253656	0.870575	0.8761349	0.9080109	0.9346567	0.90469927	0.9081319	0.9116477	0.845528	0.7687266	0.72236884	0.8218745	0.7048147	0.82586825	0.8516316	0.8162452	0.84307826	0.912039	0.8681697	0.75510216	0.82118994	0.813631	0.81186366	0.91914177	0.7228031	0.84650874	0.79040563	0.7238265	0.8845637	0.8421103	0.7835824	0.74647915	0.89083654	0.8343284	0.9246988	0.74656796	0.863691	0.8760457	0.84960055	0.6560218	0.91832095	0.9346847	0.7452227	0.79248095	0.79842925	0.70971507	0.7249419	0.85085714	0.87940454	0.7293097	0.7998611	0.85191584	0.908161	0.7098777	0.8395938	0.86033046	0.7753051	0.80279607	0.81642663	0.73906356	0.8004255	0.860345	0.82464546	0.83698654	0.759742	0.8678122	0.852139	0.8115176	0.8658116	0.84039706	0.8276915	0.7686033	0.9628202	0.9004211	0.85160196	0.8366957	0.8470876	0.7822216	0.87302893	0.9229102	0.8914637	0.83685017	0.89177626	0.9098605	0.0	0.8253293	0.8347799	0.7512413	0.8761514	0.9091129	0.89075357	0.74802905	0.8558917	0.8971933	0.8260372	0.9151571	0.7577742	0.7443888	0.8960942	0.7750947	0.8381798	0.8186408	0.8114816	0.8398341	0.9033622	0.91950274	0.9360775	0.6387241	0.8982468	0.8709062	0.8730633	0.843229	0.7658474	0.781163	0.85230136	0.81738496
