	tegenslag/noun	men/pron	verhouding/noun	zich/pron	speler/noun	spier_pijn/noun	soms/adv	wieler_sport/noun	behoorlijk/adj	provincie_raad_lid/noun	door/prep	golfplaat/noun	gewoon/adj	angst/noun	overigens/adv	Chris/name	Verhaegen/name	pijn/noun	zo/adv	dag/noun	ertegen/pp	nauwelijks/adv	Schneider/name	hitte/noun	hier/adv	zodat/comp	ik/pron	lucht/noun	twijfel/noun	snel/adj	stank/noun	daarom/pp	alleen/adv	blijkbaar/adj	als/comp	bovendien/adv	zonder/prep	Ronaldo/name	student/noun	verdriet/noun	wereld_DIM/noun	mentaal/adj	tijdens/prep	maar/adv	simpelweg/adv	's/adv	thuis/adv	eerst/adv	er/adv	wanneer/comp	weekend/noun	binnen/adv	zodra/comp	om/comp	andapos;s/adv	huid/noun	niet/adv	dan/adv	eenmaal/noun	tot/adv	evenwel/adv	voor/comp	nog/adv	werk/noun	Lelièvre/name	meestal/adv	me/pron	ze/pron	daar/adv	geur/noun	mij/pron	uzelf/pron	sinds/comp	even/adj	plots/adj	verschrikkelijk/adj	volgens/prep	toen/comp	kaas/noun	beetje/noun	tegen/prep	evengoed/adv	ondanks/prep	makkelijk/adj	bijna/adv	wel/adv	vaak/adj	zeeman/noun	haar/pron	karakter/noun	toch/adv	gips/noun	pupil/noun	net/adv	wat/pron	weer/adv	intussen/adv	anders/adj	Lance/name	Amsterdammer/noun	amper/adv	dat/det	kind/noun	we/pron	leven/noun	al/adv	bloem/noun	hem/pron	ziel/noun	week/noun	beton/noun	hen/pron	hij/pron	concurrentie/noun	eind/adv	zolang/comp
Chris/name	0.9180752	0.96216786	0.96997917	0.9514377	0.8386222	0.93586147	0.9615172	0.8955673	0.9529642	0.6893708	0.8408285	0.9680885	0.96823144	0.9734999	0.94144815	0.0	0.46530396	0.9628062	0.967412	0.9642978	0.9181566	0.9718906	0.6889058	0.95368123	0.9746673	0.96116704	0.9526121	0.986924	0.9514104	0.9595636	0.9587842	0.956625	0.9611802	0.94391036	0.96611726	0.95300716	0.93394065	0.8191261	0.9178154	0.9381344	0.9250021	0.9419255	0.94788784	0.9786728	0.94489324	0.9757144	0.9131762	0.94936955	0.9818418	0.9496341	0.8620672	0.955046	0.96246266	0.97324294	0.9457733	0.9468435	0.9744112	0.97226655	0.95489615	0.9408051	0.9113437	0.95921427	0.9649114	0.927191	0.8697521	0.95635664	0.95186055	0.9422362	0.9697368	0.9797114	0.9510888	0.94349194	0.853057	0.94519114	0.9177302	0.95343566	0.7760068	0.8909206	0.9670195	0.9690577	0.8829342	0.90033567	0.95335066	0.9622822	0.94177496	0.97484815	0.95514107	0.8971236	0.92503995	0.9594009	0.9584016	0.81152374	0.74832004	0.9034436	0.97717947	0.95537734	0.8615675	0.97515434	0.7235433	0.8700676	0.8834977	0.9827035	0.95790696	0.9581058	0.9629466	0.95692486	0.948827	0.9198698	0.9427462	0.92842114	0.9637873	0.94706595	0.8923237	0.9594492	0.9120384	0.97186446
Verhaegen/name	0.89541435	0.8874316	0.9373795	0.911015	0.8098742	0.9248688	0.91769403	0.8616071	0.90185463	0.7024155	0.8410627	0.9500565	0.91110104	0.937275	0.8946445	0.46530396	0.0	0.94243693	0.9223401	0.9196853	0.9017589	0.9208595	0.7310207	0.90331566	0.92937034	0.8675288	0.8887116	0.9413231	0.9277398	0.8808469	0.91057664	0.87866515	0.92185724	0.88820636	0.9084183	0.8933048	0.8928123	0.78920686	0.90182954	0.91950834	0.90716565	0.90404826	0.89706844	0.9257842	0.9014994	0.93493605	0.8785626	0.8639607	0.9198806	0.8827318	0.8340769	0.8815264	0.89122033	0.89136595	0.9012059	0.9452249	0.9080521	0.90431815	0.8926244	0.90395415	0.82836527	0.89680284	0.8882772	0.9087813	0.8617612	0.918538	0.90308845	0.8785768	0.9147144	0.9368703	0.90000784	0.90458083	0.8603181	0.87251	0.8391812	0.9248097	0.81991297	0.82371527	0.9517745	0.92397135	0.85309803	0.8695444	0.8955661	0.8940777	0.9164608	0.91541517	0.9297775	0.8929319	0.89833695	0.9252158	0.8819103	0.82921094	0.77357876	0.8729333	0.93726206	0.90185755	0.81748194	0.9480699	0.7576133	0.8266981	0.84345824	0.92477065	0.9324746	0.8632718	0.9344959	0.8974166	0.91298985	0.8744929	0.92799056	0.8880005	0.9148163	0.9002989	0.8338474	0.9271519	0.87588024	0.9095879
pijn/noun	0.6967694	0.8050182	0.91638136	0.8722575	0.86239976	0.6151211	0.63041407	0.82262635	0.8062906	0.9554242	0.8477078	0.91943616	0.7898606	0.5802665	0.84935683	0.9628062	0.94243693	0.0	0.7907621	0.8867662	0.8445983	0.8370708	0.9187341	0.7154001	0.7677263	0.80830675	0.6397784	0.8654704	0.7611028	0.82834446	0.70419943	0.8285081	0.7933889	0.75456285	0.71291053	0.8066393	0.8068442	0.8586335	0.9171127	0.51145303	0.83467907	0.75530547	0.9184116	0.7770101	0.8307588	0.8941495	0.83476293	0.87726414	0.7895063	0.7108949	0.9395777	0.88653564	0.7928292	0.8325157	0.8825972	0.74346685	0.78259397	0.73076534	0.82355165	0.8874319	0.8549869	0.8317071	0.8023567	0.875166	0.926826	0.7822944	0.6944351	0.67543316	0.8126219	0.8132905	0.722662	0.81393564	0.88617796	0.75949866	0.7392899	0.6601387	0.9330509	0.82104856	0.9078597	0.73886335	0.8994706	0.838224	0.8154722	0.813854	0.878519	0.7661706	0.71698564	0.8552799	0.7275246	0.8854103	0.7302331	0.82694036	0.8635745	0.8699448	0.81900895	0.7832124	0.8615509	0.81170505	0.8813508	0.8600735	0.89426064	0.75938565	0.78847265	0.7591833	0.780253	0.8693097	0.8697608	0.7836668	0.72526896	0.9080668	0.88340646	0.8248657	0.741261	0.8058448	0.9545483	0.8157513
zo/adv	0.8389195	0.6762558	0.8251101	0.80608207	0.8701271	0.85400975	0.5478666	0.8142058	0.69268656	0.9523464	0.8815239	0.89113873	0.6450193	0.82458234	0.7191464	0.967412	0.9223401	0.7907621	0.0	0.8807989	0.8610736	0.8050817	0.8885563	0.8477616	0.6584792	0.72375	0.5853977	0.8621476	0.8786823	0.7468746	0.8151152	0.65494204	0.76894367	0.71199477	0.61995053	0.6499093	0.8771177	0.883995	0.8824298	0.79854673	0.7298097	0.8579769	0.92719144	0.6695298	0.75356585	0.8991745	0.82334673	0.80902827	0.7753531	0.6939776	0.90938336	0.84138966	0.81661206	0.7564548	0.90614617	0.79392374	0.6301255	0.6219796	0.8304426	0.84875077	0.7561754	0.82054466	0.7352263	0.84567666	0.9084803	0.70593035	0.6546514	0.61873907	0.74542403	0.78203523	0.66228247	0.76224405	0.8937184	0.63112605	0.7694514	0.6617139	0.91047543	0.8564168	0.85060394	0.62804925	0.9244834	0.76692796	0.8181871	0.7373018	0.8579726	0.6231289	0.6749159	0.86849916	0.7578974	0.78221315	0.5500196	0.88915527	0.8499965	0.8308673	0.67415226	0.74814206	0.8161319	0.64330703	0.88559496	0.811341	0.9127137	0.5848807	0.84139067	0.6428925	0.7697131	0.790364	0.8695509	0.76008046	0.8355932	0.889795	0.85865927	0.8009037	0.68370986	0.8360408	0.9404392	0.7819041
dag/noun	0.85169816	0.87304246	0.94236135	0.9048292	0.80765855	0.8870126	0.812448	0.88600373	0.8491548	0.9399108	0.8793421	0.88181293	0.82940924	0.91262054	0.89407957	0.9642978	0.9196853	0.8867662	0.8807989	0.0	0.920195	0.8406987	0.9103961	0.8050462	0.7822381	0.78580225	0.81637484	0.83852524	0.93014777	0.8593869	0.85346615	0.89454305	0.88992846	0.91345096	0.8197795	0.871854	0.85661894	0.8711275	0.8098427	0.9001074	0.8944307	0.91232204	0.73008466	0.8213237	0.88931817	0.66219485	0.7841258	0.8007774	0.7576314	0.77206874	0.6143794	0.8213022	0.7939527	0.8611376	0.7053766	0.8882496	0.8982086	0.83859414	0.7893756	0.87151515	0.8623798	0.73005927	0.74915075	0.89934784	0.84858996	0.7682016	0.89117664	0.7740345	0.79156756	0.8665927	0.9017581	0.894347	0.79496765	0.76726186	0.80801654	0.8308972	0.94599366	0.74733436	0.8643754	0.88258034	0.9173093	0.85348284	0.870427	0.89188445	0.6613141	0.9025055	0.83306336	0.815987	0.8538003	0.93221384	0.88818824	0.81523305	0.8673542	0.8264315	0.9290529	0.74615955	0.7649498	0.9243639	0.8605551	0.8299799	0.6112273	0.920937	0.7476263	0.8011687	0.8194132	0.6645432	0.8401366	0.85854864	0.8999229	0.4051841	0.8693217	0.8263098	0.76933706	0.93639576	0.8123561	0.8662865
ertegen/pp	0.8706932	0.79312176	0.8332828	0.78248644	0.90534353	0.8967191	0.8168086	0.86976427	0.8554332	0.88457674	0.79840624	0.91532964	0.8004246	0.8136854	0.7996238	0.9181566	0.9017589	0.8445983	0.8610736	0.920195	0.0	0.8381711	0.87125444	0.8429135	0.83513606	0.8081507	0.81166095	0.8698871	0.86756784	0.8604679	0.8326585	0.7650416	0.8100847	0.820402	0.7816571	0.81801754	0.83977044	0.8844998	0.8437142	0.8554425	0.86707497	0.89177823	0.8933008	0.82381356	0.7942894	0.90059686	0.8686416	0.8096412	0.82509637	0.79134214	0.9413219	0.85105395	0.7977104	0.77507186	0.8925449	0.8792754	0.8292961	0.80243653	0.8767178	0.82487714	0.7970549	0.8323704	0.86250263	0.8977642	0.89484096	0.82228225	0.8235106	0.74968886	0.8311877	0.89259523	0.81759393	0.8279773	0.84118587	0.84511435	0.83452517	0.8380146	0.817198	0.84410846	0.9037429	0.8495039	0.6904508	0.8129696	0.8551866	0.86202043	0.90918446	0.829849	0.8117597	0.87873775	0.7907598	0.85957086	0.8261321	0.89949733	0.8809433	0.89699787	0.85391873	0.86039007	0.81152767	0.86233276	0.9004174	0.84990937	0.9076517	0.83080256	0.8516007	0.8226499	0.87534595	0.8760382	0.8946709	0.78850406	0.86005664	0.9094969	0.86131346	0.7861359	0.7626774	0.8496951	0.92198205	0.77150124
nauwelijks/adv	0.825701	0.6880151	0.7899195	0.75971526	0.82578844	0.8474013	0.6833848	0.8112899	0.66330105	0.94991356	0.81241816	0.8996364	0.7634266	0.779793	0.72257954	0.9718906	0.9208595	0.8370708	0.8050817	0.8406987	0.8381711	0.0	0.88715667	0.8132012	0.76424575	0.69579965	0.7444668	0.84043664	0.82268745	0.75203246	0.8144673	0.7537849	0.647926	0.6715282	0.74511564	0.6308621	0.7453103	0.8520641	0.8295147	0.8270043	0.786075	0.79519606	0.87590015	0.7551068	0.6971459	0.88657016	0.8724016	0.7996516	0.7183355	0.6912564	0.90472996	0.8717243	0.71504664	0.7226105	0.87275124	0.84493136	0.61099774	0.77103996	0.7842695	0.77156156	0.71425784	0.7824998	0.7196984	0.8381001	0.8998519	0.70918095	0.7360719	0.6893111	0.79031	0.8313388	0.7350626	0.7771295	0.8404731	0.7747929	0.7541276	0.8183973	0.8772513	0.82620555	0.88560915	0.79116833	0.8824215	0.7587073	0.80278397	0.70938313	0.8031297	0.6995307	0.6426585	0.8437177	0.7551064	0.82413554	0.7279589	0.8844004	0.8206413	0.8295871	0.70676565	0.7828569	0.8139001	0.820848	0.8963768	0.7908332	0.530859	0.7411208	0.8569005	0.71481013	0.83845717	0.7893363	0.90190583	0.72771883	0.86673075	0.8769031	0.830894	0.73637044	0.7347067	0.7774717	0.93444496	0.73160565
Schneider/name	0.8600624	0.86893386	0.88505554	0.8756271	0.8670469	0.91886085	0.87002003	0.86750364	0.8695245	0.8500385	0.78172714	0.9413024	0.9073664	0.9043921	0.81128335	0.6889058	0.7310207	0.9187341	0.8885563	0.9103961	0.87125444	0.88715667	0.0	0.908805	0.89656544	0.88730973	0.8796159	0.9243993	0.91359514	0.89009583	0.9192399	0.8740436	0.9019109	0.90191686	0.8833084	0.8548757	0.9037119	0.770781	0.8889851	0.863685	0.8837879	0.9107636	0.8691072	0.9096884	0.8676088	0.9362747	0.89311594	0.87213105	0.91151696	0.8487919	0.9032251	0.904652	0.8570782	0.8876893	0.9380087	0.9080401	0.8940793	0.89710724	0.8777453	0.8638059	0.85933524	0.8841086	0.89642316	0.8941561	0.8337433	0.8754966	0.89041436	0.83816653	0.8861717	0.9365725	0.8816215	0.87823	0.7772241	0.87531644	0.86611116	0.89630795	0.7806927	0.80753326	0.9298416	0.9082794	0.87322265	0.8322284	0.8819509	0.90894663	0.87509114	0.89738595	0.87241834	0.837891	0.83161753	0.9024304	0.88584495	0.9067698	0.81105906	0.8658917	0.9048228	0.8871285	0.83228487	0.93426794	0.78855896	0.8004517	0.8723784	0.886166	0.8999179	0.8827499	0.90017664	0.86885965	0.89495504	0.8339903	0.8835562	0.8709693	0.9214111	0.87372893	0.7562808	0.8771976	0.87539953	0.90253484
hitte/noun	0.7586464	0.8555887	0.8762715	0.8713521	0.87723404	0.75477767	0.7086172	0.8637182	0.7594653	0.94851816	0.6992455	0.7758861	0.8325977	0.7295692	0.8769078	0.95368123	0.90331566	0.7154001	0.8477616	0.8050462	0.8429135	0.8132012	0.908805	0.0	0.7997733	0.70018184	0.8348813	0.66374767	0.8644839	0.7620001	0.60834914	0.8517287	0.79759455	0.82010764	0.79787385	0.7572528	0.809623	0.8480869	0.8800496	0.77441335	0.8538435	0.7917751	0.83372253	0.87987155	0.83123446	0.78971225	0.8382944	0.84477067	0.795683	0.7181388	0.81848884	0.72783214	0.7432069	0.83090734	0.7862673	0.7314913	0.859684	0.82307166	0.7864454	0.86365664	0.8070574	0.8113464	0.85774213	0.8926511	0.91840637	0.7212912	0.8548334	0.76476765	0.77730775	0.6783067	0.87404466	0.86084914	0.85764205	0.78688633	0.6870931	0.7554005	0.9077207	0.781656	0.846605	0.806924	0.8623608	0.79684955	0.79295456	0.8209644	0.85102344	0.88681525	0.7696991	0.79899347	0.8447462	0.84605134	0.82951236	0.84314525	0.8517943	0.88264644	0.9149156	0.77205646	0.8167927	0.90606546	0.86864376	0.84403217	0.8477701	0.84002084	0.8460325	0.8491347	0.8623562	0.86460274	0.7925732	0.85936904	0.83565664	0.8833601	0.7076551	0.8310666	0.825409	0.76139426	0.9221074	0.8408984
hier/adv	0.84504914	0.68438995	0.8854356	0.8448943	0.8403312	0.85146964	0.6352449	0.8128565	0.7674206	0.96208966	0.8886496	0.85892683	0.5511799	0.79641056	0.7682593	0.9746673	0.92937034	0.7677263	0.6584792	0.7822381	0.83513606	0.76424575	0.89656544	0.7997733	0.0	0.74234307	0.5112498	0.8062027	0.87980473	0.7995938	0.7573846	0.77589345	0.7034941	0.69330657	0.5741841	0.73487365	0.81944555	0.8811212	0.8352778	0.7990376	0.69186306	0.85467464	0.88202685	0.6498015	0.76893055	0.70062584	0.64267474	0.7439118	0.55399007	0.6510644	0.82373774	0.74223155	0.7285731	0.78549176	0.70414925	0.8482636	0.6491996	0.5574724	0.72753394	0.85975546	0.82828313	0.7303567	0.6500168	0.834646	0.88539624	0.6299521	0.6633518	0.55569744	0.37705553	0.7747265	0.6117228	0.7868744	0.84829444	0.6629821	0.70178545	0.6892373	0.92699176	0.7857894	0.80848336	0.6603912	0.9311656	0.72060275	0.8899661	0.7540193	0.8250352	0.6261928	0.65081584	0.81926775	0.74873686	0.8429574	0.5801181	0.89678645	0.8685728	0.76607597	0.66529596	0.6817508	0.783929	0.6670897	0.87251496	0.78525746	0.8320395	0.6453905	0.74107677	0.58232725	0.7817631	0.7391794	0.8103638	0.7623083	0.822374	0.86884165	0.81146234	0.7658796	0.69014394	0.89343166	0.92668563	0.7376603
zodat/comp	0.80983245	0.7143903	0.7864527	0.7729074	0.7724271	0.8187921	0.70925546	0.8141695	0.7017991	0.9133545	0.7160021	0.7712115	0.69578815	0.8231218	0.78589684	0.96116704	0.8675288	0.80830675	0.72375	0.78580225	0.8081507	0.69579965	0.88730973	0.70018184	0.74234307	0.0	0.7909567	0.69384766	0.8564747	0.61075217	0.7223525	0.6569818	0.73331094	0.7227764	0.6498159	0.51707387	0.6831213	0.82432127	0.811984	0.8367641	0.810935	0.7735493	0.8703208	0.77553093	0.6511028	0.7684026	0.7538897	0.66416943	0.6709756	0.54392684	0.81240004	0.6843303	0.5139952	0.5484216	0.74094343	0.68391824	0.73571205	0.66433346	0.67709315	0.81718636	0.66664934	0.6561964	0.7063707	0.7721338	0.88172805	0.64752907	0.7967872	0.6812218	0.72035974	0.72058946	0.82737935	0.7780973	0.8505194	0.6881257	0.68249977	0.84456635	0.87274677	0.785283	0.78860116	0.767259	0.8230382	0.767643	0.77055615	0.6539805	0.80630285	0.7830225	0.71476436	0.83616465	0.7972764	0.7892529	0.7254212	0.7610872	0.81114936	0.8270308	0.82973754	0.61657095	0.6761559	0.83233047	0.87908924	0.82875437	0.7853621	0.78267455	0.8037895	0.6397438	0.82726455	0.7946006	0.74786735	0.78998613	0.8317026	0.8237542	0.6263805	0.7481115	0.796543	0.7697633	0.8174099	0.64891577
ik/pron	0.7830996	0.48156834	0.9201286	0.77735466	0.77777714	0.7924357	0.55777466	0.7824805	0.7403424	0.92583746	0.9216853	0.92042816	0.51148343	0.78806925	0.74560034	0.9526121	0.8887116	0.6397784	0.5853977	0.81637484	0.81166095	0.7444668	0.8796159	0.8348813	0.5112498	0.7909567	0.0	0.897357	0.85462576	0.7775096	0.80605006	0.62978923	0.69819486	0.59834325	0.4738471	0.7639016	0.8356669	0.8260654	0.8624563	0.74345195	0.7088158	0.80462146	0.9004768	0.538648	0.7549051	0.76365876	0.6765265	0.687352	0.70123726	0.61861324	0.8801061	0.8171734	0.7491665	0.7157775	0.7876115	0.8755267	0.48716813	0.42111927	0.7358602	0.85311526	0.78303325	0.69820166	0.59614205	0.8440879	0.8565532	0.7132433	0.3885492	0.32076526	0.60533386	0.8403067	0.40355694	0.6687392	0.8632142	0.5814157	0.6978574	0.5998608	0.95662427	0.7258989	0.88227075	0.53616005	0.92008036	0.7611696	0.8899561	0.711426	0.8656701	0.46522492	0.67288524	0.838186	0.58487177	0.8814637	0.4270146	0.8786132	0.81734896	0.77518046	0.54217494	0.64720356	0.7793013	0.621295	0.7983235	0.797859	0.82905316	0.556652	0.7489313	0.33132917	0.7494141	0.7222005	0.88222677	0.5924207	0.81773037	0.85777634	0.8923668	0.699721	0.4063241	0.85914874	0.9241556	0.7392421
lucht/noun	0.9088951	0.872831	0.9007965	0.8884399	0.93822694	0.8490726	0.7630452	0.88465106	0.8166733	0.94721097	0.7944779	0.8058635	0.8637965	0.8629141	0.9057262	0.986924	0.9413231	0.8654704	0.8621476	0.83852524	0.8698871	0.84043664	0.9243993	0.66374767	0.8062027	0.69384766	0.897357	0.0	0.9353354	0.8227438	0.71211606	0.92565495	0.8750404	0.8773176	0.8472895	0.8337337	0.8594684	0.90507996	0.9374197	0.88912284	0.8831904	0.9028998	0.92633283	0.8787142	0.84663534	0.81392795	0.894184	0.8050231	0.799403	0.7802829	0.8599546	0.6775825	0.71894413	0.8565201	0.841558	0.6863916	0.9038852	0.8272395	0.774296	0.9211157	0.82509446	0.823593	0.87710595	0.9203669	0.9396395	0.73057425	0.89488244	0.79218185	0.79314613	0.6427897	0.91707194	0.91306937	0.92016023	0.7964625	0.7126841	0.8510688	0.95811343	0.84412044	0.76072335	0.8306827	0.9221425	0.8497529	0.87403506	0.8410101	0.8874801	0.9159591	0.8577724	0.8523989	0.84951794	0.85050243	0.8677888	0.80847144	0.89394265	0.88511014	0.9398554	0.7377869	0.8786384	0.9231923	0.9257575	0.91608155	0.87456983	0.91785145	0.91593456	0.88222957	0.8825486	0.92609876	0.6843864	0.87019914	0.803206	0.94735056	0.66080475	0.88053215	0.85223675	0.8885512	0.9613644	0.87829334
twijfel/noun	0.7719152	0.81837165	0.8284359	0.8388534	0.8613673	0.875567	0.8282455	0.87701136	0.85034066	0.9458187	0.851099	0.92584884	0.92075217	0.6206683	0.76186955	0.9514104	0.9277398	0.7611028	0.8786823	0.93014777	0.86756784	0.82268745	0.91359514	0.8644839	0.87980473	0.8564747	0.85462576	0.9353354	0.0	0.85620904	0.87804586	0.84767354	0.81215197	0.79827255	0.86337256	0.7952454	0.82434577	0.87623936	0.9223376	0.733487	0.85891986	0.832444	0.9280527	0.82847774	0.8334466	0.96097434	0.9399901	0.8836559	0.79366875	0.8420367	0.93005997	0.93653786	0.8472296	0.8314234	0.9542122	0.90524316	0.8256769	0.85753614	0.9027041	0.8345617	0.7446786	0.89443815	0.8047137	0.9011882	0.9247782	0.8491059	0.88524574	0.8540159	0.88395226	0.9041206	0.8585458	0.8498757	0.86640346	0.8757565	0.8693295	0.85791373	0.8328054	0.8923563	0.94406956	0.8754458	0.8969724	0.8545559	0.79070365	0.88651127	0.9350951	0.84010154	0.837723	0.90298855	0.88206506	0.86802727	0.8028535	0.90779454	0.87638044	0.8974879	0.87245333	0.8636948	0.85172665	0.89299667	0.89102703	0.8591306	0.9080426	0.8234281	0.9187894	0.8412244	0.8524053	0.85297024	0.9349601	0.85825473	0.8545272	0.8915638	0.9051006	0.8663762	0.83426094	0.81111765	0.9522369	0.7950668
snel/adj	0.8160174	0.75446993	0.8569567	0.8232074	0.8610822	0.87838244	0.75964355	0.8537432	0.74391013	0.9362841	0.79026484	0.89426255	0.75376654	0.82944536	0.8238965	0.9595636	0.8808469	0.82834446	0.7468746	0.8593869	0.8604679	0.75203246	0.89009583	0.7620001	0.7995938	0.61075217	0.7775096	0.8227438	0.85620904	0.0	0.82183254	0.76201636	0.8160584	0.76089007	0.7294805	0.6786017	0.7918426	0.8366735	0.88680714	0.88694	0.8405409	0.818334	0.8943788	0.79829943	0.74873215	0.87588716	0.8549018	0.7251167	0.76752836	0.6804257	0.87227297	0.8246368	0.5938462	0.7058407	0.8612295	0.8548936	0.7704128	0.71207833	0.6769966	0.8525266	0.73502284	0.6744194	0.7679615	0.87739867	0.9155769	0.76248693	0.8100415	0.71350265	0.78114057	0.8685494	0.83231336	0.84561884	0.8382705	0.71828735	0.65285057	0.8352089	0.9037706	0.7398319	0.9090668	0.80603266	0.88042265	0.8454751	0.7733126	0.60024965	0.8328497	0.7883979	0.72133493	0.8727885	0.81715596	0.8844104	0.73050755	0.85371196	0.8456531	0.80119085	0.8552526	0.65043724	0.6919571	0.80820495	0.85800076	0.85462666	0.82836306	0.7863327	0.8883998	0.69940126	0.8733678	0.8126781	0.9044885	0.7949429	0.9034848	0.86100626	0.82848305	0.80454195	0.7502935	0.7712114	0.8532255	0.76993614
stank/noun	0.830793	0.80763686	0.9010333	0.860788	0.91660786	0.7769682	0.7328503	0.86883116	0.8364005	0.9198552	0.77796406	0.81447345	0.79540944	0.7387887	0.8327481	0.9587842	0.91057664	0.70419943	0.8151152	0.85346615	0.8326585	0.8144673	0.9192399	0.60834914	0.7573846	0.7223525	0.80605006	0.71211606	0.87804586	0.82183254	0.0	0.84474	0.7922807	0.8072921	0.7702858	0.76605004	0.8281014	0.907217	0.8811446	0.7697249	0.84317636	0.8856078	0.8979245	0.8451655	0.81574017	0.8202483	0.84449494	0.8329445	0.7638115	0.72060764	0.8870407	0.764118	0.74256027	0.79738045	0.79179263	0.7635505	0.83062446	0.8115864	0.7987631	0.87139004	0.8299822	0.8155311	0.85448927	0.8879204	0.9042737	0.7575266	0.81346214	0.7361937	0.7624397	0.5346707	0.81722414	0.8433246	0.86086535	0.79831934	0.7419877	0.7625243	0.88163763	0.80315775	0.7890003	0.80997354	0.89838976	0.826002	0.84496695	0.83902454	0.8970794	0.8664087	0.77097845	0.8144428	0.79882437	0.8692629	0.8278376	0.8507391	0.8826762	0.896306	0.84835947	0.8036377	0.8215339	0.89296514	0.90957344	0.85242134	0.89673394	0.80156636	0.8531272	0.823135	0.86295056	0.87069404	0.76330525	0.8165611	0.83657014	0.9212902	0.7525841	0.8118062	0.8294636	0.80701464	0.9332409	0.80533814
daarom/pp	0.8270692	0.5725529	0.7963679	0.72560155	0.80904734	0.86237884	0.7210701	0.7770026	0.79195094	0.87157714	0.791185	0.92786473	0.74767655	0.8183755	0.63155836	0.956625	0.87866515	0.8285081	0.65494204	0.89454305	0.7650416	0.7537849	0.8740436	0.8517287	0.77589345	0.6569818	0.62978923	0.92565495	0.84767354	0.76201636	0.84474	0.0	0.75353914	0.65798223	0.6394053	0.5268842	0.8195284	0.8700073	0.80186045	0.8517959	0.80055845	0.8325181	0.91279423	0.727408	0.6844804	0.9132092	0.859844	0.685067	0.77945703	0.6853711	0.88821507	0.90039796	0.75605816	0.5285603	0.9017835	0.87276924	0.62683487	0.62205625	0.8383111	0.7868427	0.616863	0.79314995	0.76807654	0.7986609	0.8867265	0.7664418	0.6756687	0.6271332	0.7909701	0.8689306	0.6681309	0.75587666	0.8496147	0.7584368	0.83569413	0.81363136	0.74758387	0.87580734	0.90724534	0.76881397	0.86369157	0.772541	0.8227236	0.76037925	0.9001328	0.66052747	0.7184514	0.87368447	0.72222054	0.7948844	0.61183155	0.9018141	0.841799	0.8915303	0.72963905	0.8074533	0.69601387	0.7676625	0.8854792	0.82589376	0.9083878	0.6311058	0.8227083	0.58257735	0.8285396	0.81483275	0.90335375	0.6835872	0.88063675	0.82740355	0.8608683	0.6746499	0.67677224	0.79133797	0.82508135	0.6637003
alleen/adv	0.8289513	0.7262162	0.79845136	0.82157904	0.8421203	0.84183574	0.67304015	0.77701104	0.70669997	0.93370175	0.8256346	0.8961211	0.6475326	0.74260455	0.75325054	0.9611802	0.92185724	0.7933889	0.76894367	0.88992846	0.8100847	0.647926	0.9019109	0.79759455	0.7034941	0.73331094	0.69819486	0.8750404	0.81215197	0.8160584	0.7922807	0.75353914	0.0	0.7240191	0.67194885	0.6742499	0.69487417	0.8502523	0.8434749	0.7933102	0.7918257	0.8081134	0.9193412	0.6087314	0.6705433	0.82683814	0.80140233	0.79800993	0.7369214	0.71427214	0.89772004	0.8477011	0.7646268	0.72791785	0.84123826	0.8354809	0.6659569	0.7068364	0.8064172	0.799403	0.7488372	0.8343079	0.7409855	0.85268265	0.9177324	0.6318133	0.7896544	0.71838105	0.7627632	0.7967839	0.7515646	0.79294235	0.8534077	0.79731786	0.8309666	0.7559389	0.86481017	0.88801426	0.8387993	0.7158211	0.86060065	0.69460666	0.79157984	0.7511892	0.8799345	0.68372667	0.6548064	0.85736084	0.8035103	0.7977098	0.70174897	0.88037986	0.85817564	0.8146057	0.7442161	0.8045929	0.81694424	0.798347	0.88017654	0.83259356	0.82314	0.6841482	0.81668794	0.7171619	0.83316934	0.84688795	0.85400784	0.8045261	0.8284527	0.93121463	0.83462715	0.7898488	0.7853019	0.7824194	0.9534025	0.68040174
