	2001/noun	Hilversums/adj	Koreaan/noun	afloop/noun	alleen/adj	alleen/adv	amper/adv	anders/adj	angst/noun	beetje/noun	behoorlijk/adj	beleef/verb	ben/verb	beslotenheid/noun	betref/verb	bezoeker/noun	bijna/adv	blijk/verb	blijkbaar/adj	bloem/noun	buiten/adv	buurt/noun	coach/noun	concurrentie/noun	daar/adv	dag/noun	daglicht/noun	dan/adv	discipline/noun	draai/verb	dring_binnen/verb	droog/verb	duik_op/verb	duur/adv	echt/adv	eenmaal/noun	eerst/adv	eigenlijk/adj	er/adv	even/adj	evengoed/adv	extern/adj	extreem/adj	fiets/noun	fiets/verb	fit/adj	ga_door/verb	geheel/noun	geur/noun	gevormd/adj	gewoon/adj	gips/noun	golfplaat/noun	haast/adv	heb/verb	helemaal/adv	hier/adv	hitte/noun	huid/noun	huid_ziekte/noun	in_activiteit/noun	inmiddels/adv	intussen/adv	jarenlang/adj	jeugd/noun	kaas/noun	kan/verb	karakter/noun	katalysator/noun	kern/noun	kind/noun	laag/adj	langer/adv	leeftijd/noun	leven/noun	list/noun	louter/adj	lucht/noun	luid/verb	maand/noun	maar/adv	makkelijk/adj	meer/adv	meestal/adv	mentaal/adj	minder/adj	minstens/adv	moeilijk/adj	moet/verb	monotoon/adj	moreel/adj	nauwelijks/adv	net/adv	niet/adv	nog/adv	omtrek/noun	oorlog_ervaring/noun	opdracht/noun	operatie/noun	oppervlak/noun	overigens/adv	overlast/noun	pijn/noun	professioneel/adj	provincie_raad_lid/noun	pupil/noun	rest/verb	reuk/noun	rijp/verb	rook/noun	schaar/verb	selecteer/verb	simpelweg/adv	sla/verb	slijp/verb	sloop/adj	smerig/adj	snel/adj	sociaal/adj	soms/adv	speler/noun	spier_pijn/noun	sprong/noun	stank/noun	stel_uit/verb	sterk/verb	stilte/noun	stress/noun	strijd/noun	student/noun	systeem/noun	teen/noun	thuis/adv	toch/adv	toerist/noun	train/verb	vaak/adj	val/verb	verander/verb	verdriet/noun	verhouding/noun	verkeer/noun	verleden/noun	verlokking/noun	verschrikkelijk/adj	verspreid/verb	vervolg/noun	vind/verb	voeg_toe/verb	voldoende/adj	vooral/adv	vooruitzicht/noun	vorm/verb	vrolijk/adj	vuiligheid/noun	water/noun	waterput/noun	week/adj	week/noun	weer/adv	weer/noun	wel/adv	wellicht/adv	wenk/verb	werk/noun	werk_omstandigheid/noun	werkelijk/adv	wieler_sport/noun	wijs_uit/verb	zaak/noun	zeeman/noun	zeer/adv	zeg/verb	ziel/noun	zo/adv	zwem/verb
eigenlijk/adj	0.9684664	0.87901866	0.8968969	0.822411	0.67978716	0.6795463	0.8348617	0.5732225	0.8481911	0.58599746	0.80171037	0.7660035	0.5776794	0.8633151	0.70894206	0.9008131	0.8093493	0.75306237	0.5767684	0.94805497	0.8662467	0.8403874	0.95864844	0.78250295	0.577221	0.8540863	0.7859684	0.5541254	0.80720276	0.69279945	0.9584873	0.89533	0.8133453	0.62532103	0.6086137	0.85036033	0.78430885	0.0	0.5477921	0.7531074	0.8285466	0.91241837	0.8825057	0.8142108	0.71090126	0.7682765	0.6550748	0.76551414	0.85528827	0.9268808	0.6817359	0.90985656	0.9213816	0.7833482	0.7903055	0.6279779	0.54733896	0.8953871	0.9067944	0.92468274	0.956594	0.728118	0.78576934	0.8307568	0.8646276	0.8958109	0.5820678	0.76762843	0.8453003	0.9440581	0.8280884	0.92814195	0.7139772	0.92091143	0.7558658	0.92868173	0.7405878	0.8408272	0.9114995	0.90587515	0.56264746	0.7267308	0.6966362	0.69431823	0.8738036	0.84783584	0.8745872	0.7081043	0.75307405	0.808282	0.8597109	0.7131679	0.6459441	0.6046461	0.54629326	0.964083	0.79702735	0.90358764	0.94364166	0.89899635	0.5432424	0.9255345	0.7946511	0.7955991	0.9461755	0.91175604	0.6780399	0.89695287	0.89300394	0.87605196	0.9127097	0.9071813	0.64524305	0.83018875	0.8931172	0.8743038	0.7196845	0.8106406	0.92533195	0.6673304	0.9018877	0.71075416	0.9331181	0.84620047	0.91109174	0.806957	0.86920756	0.85195583	0.9572323	0.8668692	0.706772	0.93329763	0.7013501	0.52574635	0.76186097	0.72393733	0.7586273	0.77660346	0.6092937	0.8752526	0.8771165	0.8256396	0.8515106	0.8787852	0.7534174	0.8924285	0.8401627	0.57666135	0.8357793	0.7599952	0.8587326	0.9400492	0.9087953	0.8015065	0.89657533	0.78816986	0.780233	0.8736435	0.90745676	0.6954137	0.81784594	0.65363735	0.73377436	0.97908133	0.7573088	0.8741283	0.73354304	0.7429694	0.73472655	0.7026773	0.883637	0.816873	0.78932375	0.9037171	0.7233886	0.68080527
er/adv	0.87962127	0.8078224	0.8617156	0.77593046	0.622175	0.6070794	0.6990894	0.5161549	0.8289496	0.6500374	0.7081629	0.675181	0.5486139	0.8902216	0.759405	0.6881726	0.79803246	0.6691452	0.6392466	0.884413	0.6703652	0.70948553	0.9256637	0.70728076	0.5258335	0.7045976	0.83314323	0.42804664	0.83379054	0.70119655	0.84069383	0.82465845	0.7367799	0.74503255	0.7412736	0.68912673	0.7175151	0.5477921	0.0	0.5970417	0.7789362	0.7925131	0.84127724	0.77362657	0.75116867	0.719185	0.7369709	0.88623786	0.7517273	0.8286803	0.7106565	0.85210323	0.71712255	0.71417403	0.66420096	0.6559398	0.5146018	0.70472884	0.9169144	0.9054197	0.8104118	0.7234323	0.6290376	0.8496952	0.82312506	0.8717377	0.5727428	0.81953716	0.7833239	0.90243584	0.83831805	0.8986036	0.7667253	0.84311545	0.7511467	0.93882406	0.812689	0.6578219	0.8083849	0.74178576	0.571156	0.7298695	0.60184455	0.67539585	0.83550715	0.6360755	0.7896626	0.66791296	0.5502516	0.7893857	0.8468107	0.5719714	0.77232075	0.61527634	0.45653564	0.9196879	0.80053544	0.83527267	0.88189816	0.8458713	0.62364113	0.70355654	0.7894002	0.85776216	0.94310606	0.8845784	0.60516965	0.76324624	0.74389637	0.81823367	0.79208255	0.8743117	0.7322637	0.7833744	0.8530557	0.75294757	0.7811109	0.6774605	0.89006186	0.66589016	0.76937723	0.7700579	0.7463342	0.5832534	0.8172036	0.8912294	0.6198654	0.7538444	0.8335218	0.7875495	0.7414092	0.8533416	0.6774771	0.5321717	0.75825596	0.69674647	0.6599544	0.6255723	0.6322105	0.74264276	0.8555317	0.69445676	0.7553315	0.7850242	0.75316364	0.8076679	0.95073605	0.64615005	0.8564671	0.68424785	0.76369387	0.84430337	0.9357933	0.7530927	0.72723055	0.71904707	0.7085495	0.8095449	0.75032866	0.6732132	0.68899167	0.59670216	0.69691837	0.8072226	0.7242919	0.77475643	0.7479974	0.8184483	0.8139405	0.8269159	0.72845364	0.8284262	0.84084326	0.913383	0.70911145	0.76320916
even/adj	0.80751634	0.86070997	0.88083476	0.82122886	0.753296	0.7304431	0.8466231	0.6925757	0.8607933	0.5760006	0.7041744	0.74773026	0.6943824	0.8856509	0.9247833	0.6183051	0.81627214	0.7904539	0.7008953	0.8244704	0.6485661	0.89337796	0.9152035	0.86091495	0.64644396	0.5878054	0.9094021	0.4121011	0.8472264	0.69700253	0.84930223	0.6217067	0.67707753	0.71604323	0.7152624	0.6567204	0.60743463	0.7531074	0.5970417	0.0	0.57509094	0.92054284	0.8359642	0.71934986	0.6484591	0.8084194	0.60195196	0.7969268	0.8784587	0.7949148	0.5702789	0.8245834	0.94960517	0.66678274	0.8523811	0.71992207	0.6683117	0.7888235	0.8493646	0.9031179	0.7778702	0.85832787	0.5916631	0.8467399	0.88785154	0.8474022	0.5685916	0.8016102	0.8441236	0.9542819	0.7552688	0.9181919	0.77201426	0.9314898	0.67611253	0.8803503	0.904842	0.7926362	0.9275207	0.65801215	0.59753966	0.698586	0.86306465	0.57643485	0.81867456	0.74020827	0.7259307	0.7715529	0.41085768	0.74896896	0.8790359	0.8029919	0.7424253	0.7511133	0.6204121	0.92955756	0.93131065	0.758428	0.6981314	0.8335146	0.79347694	0.9561238	0.8092455	0.9045322	0.9682594	0.9352486	0.78201175	0.92413104	0.6224853	0.85562825	0.88118136	0.93918025	0.7957803	0.7805215	0.73311937	0.78222024	0.84093416	0.6545117	0.9713946	0.5990848	0.8279187	0.8438324	0.84766525	0.8591271	0.63657486	0.90657985	0.6793839	0.825631	0.782729	0.82897395	0.89700216	0.7810133	0.66665083	0.5318724	0.7754239	0.7445282	0.66573215	0.64833266	0.8261476	0.79692215	0.9389173	0.82935774	0.87758964	0.81353223	0.8030425	0.8528362	0.8970341	0.7790789	0.83886504	0.80791414	0.79047275	0.87593925	0.92014605	0.5869653	0.8282764	0.7898111	0.9342629	0.7524228	0.6915364	0.55930495	0.6322902	0.6090697	0.67358017	0.6990376	0.6290673	0.8769531	0.7937921	0.87984276	0.8896166	0.6961798	0.91283953	0.8002682	0.7583897	0.8577273	0.5204904	0.7433071
evengoed/adv	0.9326378	0.9322358	0.8668891	0.8260039	0.6554563	0.55811524	0.85961276	0.7881561	0.7047883	0.7304495	0.6893947	0.67451084	0.77670294	0.81166863	0.8324902	0.7259078	0.7673262	0.9425227	0.78652763	0.76066244	0.8694984	0.79614943	0.9464984	0.8040596	0.83028436	0.7371198	0.95845777	0.7714565	0.76332927	0.7199643	0.86454284	0.8630419	0.86857647	0.56219804	0.6692773	0.6817043	0.8410936	0.8285466	0.7789362	0.57509094	0.0	0.7884227	0.8244025	0.88155603	0.7778842	0.9263815	0.7673531	0.7628942	0.77124655	0.8455184	0.71593225	0.909647	0.9726643	0.6057927	0.77064025	0.8502356	0.71584785	0.78665376	0.9515808	0.89486	0.88969606	0.9050907	0.844066	0.8686149	0.89747745	0.7711117	0.84726435	0.6878344	0.8286906	0.98762155	0.7170422	0.88495684	0.81071854	0.83271176	0.6533786	0.9469744	0.81364465	0.8284449	0.9160791	0.80908203	0.7070745	0.7538034	0.8589659	0.61556494	0.6716213	0.8069835	0.90537703	0.77818143	0.73404014	0.7309198	0.65589666	0.7871481	0.78606945	0.8136228	0.80750585	0.9533713	0.9044311	0.788792	0.86656463	0.91318613	0.8559349	0.8282688	0.7242156	0.85228413	0.94924927	0.9505522	0.6879976	0.8926343	0.672673	0.85177934	0.95614845	0.80704606	0.85311234	0.8024478	0.8464329	0.6858351	0.81263953	0.86979294	0.88082016	0.5826701	0.8589487	0.9271717	0.9550367	0.81329817	0.84410197	0.8499927	0.65847445	0.6844053	0.63826185	0.8431126	0.90959275	0.9159118	0.7844896	0.71221185	0.8305619	0.78229237	0.6906469	0.8228931	0.8488256	0.62649167	0.90278363	0.851565	0.89353156	0.8931418	0.72050387	0.73569226	0.9103129	0.9123869	0.83424556	0.8804993	0.71457464	0.84788626	0.9168677	0.7647915	0.7962538	0.91412055	0.91216964	0.8629991	0.8157491	0.7815153	0.8382771	0.7621045	0.77364916	0.85510993	0.63872254	0.8011615	0.8000419	0.7639651	0.830742	0.8640562	0.8751434	0.82336515	0.9007218	0.7198921	0.78222567	0.879247
extern/adj	0.98523533	0.9909921	0.91431653	0.8656591	0.73796594	0.88642347	0.9288402	0.8685117	0.8793016	0.91444063	0.8236021	0.9610318	0.7464459	0.9158011	0.7040185	0.9645129	0.92890465	0.81273985	0.857986	0.9172354	0.9303227	0.8743119	0.8582237	0.76969934	0.9106317	0.9603764	0.9449862	0.8819535	0.73914856	0.8163574	0.8785594	0.9518647	0.77290946	0.77375865	0.82667255	0.9387332	0.84492457	0.91241837	0.7925131	0.92054284	0.7884227	0.0	0.8452116	0.9585937	0.9297272	0.8736381	0.86666334	0.87928206	0.8216091	0.8864184	0.8762824	0.94569427	0.9900947	0.7660985	0.77278733	0.92216855	0.8712462	0.87937737	0.96049255	0.91486734	0.8982742	0.7432887	0.7650199	0.90644926	0.94915646	0.87750256	0.8639095	0.7952608	0.5141221	0.8114558	0.8970618	0.86586887	0.79498804	0.81302714	0.8817741	0.9589415	0.67249084	0.9107864	0.7912336	0.96911174	0.87988245	0.8053487	0.88343364	0.7649442	0.7933532	0.8832252	0.9022322	0.76713526	0.678111	0.84951484	0.8269275	0.8892546	0.98152477	0.867564	0.92725044	0.9063288	0.9677502	0.6691539	0.7999121	0.91787076	0.7851285	0.76767445	0.9136564	0.689024	0.9685435	0.90209764	0.87511855	0.8889719	0.87670135	0.8539912	0.9238162	0.60451484	0.86126447	0.9094217	0.9403427	0.8031328	0.74916255	0.91294974	0.7021518	0.7937339	0.7505342	0.94953895	0.8936852	0.70830005	0.8062815	0.85156655	0.89518	0.81337285	0.87144345	0.6933253	0.6811085	0.948413	0.8644303	0.90408385	0.85108453	0.88126034	0.8629804	0.9543325	0.79668057	0.93441063	0.9145368	0.82845235	0.8231251	0.92504585	0.8544893	0.81040984	0.9068427	0.9218614	0.8879403	0.8294174	0.71921086	0.9111909	0.8082992	0.91969734	0.83167815	0.9259369	0.8963219	0.92753005	0.94039595	0.95786214	0.8834667	0.8081049	0.8131313	0.84028864	0.7721867	0.8979479	0.97351015	0.83852893	0.6924961	0.8443837	0.96099335	0.7936447	0.9930246	0.97754526	0.8927719	0.913558
extreem/adj	0.87651753	0.9148428	0.8639593	0.72401935	0.8334533	0.74690926	0.82839215	0.8780627	0.548561	0.6296832	0.5473225	0.8303943	0.7647323	0.8451617	0.8219241	0.8550542	0.692839	0.7516545	0.68196917	0.8115324	0.68456113	0.73293346	0.94121116	0.7815036	0.8569913	0.7327208	0.7526484	0.8609983	0.82985216	0.74095976	0.8309909	0.7601253	0.7455274	0.7264173	0.8585055	0.91935265	0.878691	0.8825057	0.84127724	0.8359642	0.8244025	0.8452116	0.0	0.8794541	0.76339805	0.9066551	0.92089695	0.77357846	0.73751485	0.73462224	0.8082522	0.92198455	0.7300719	0.6802095	0.76305753	0.8021246	0.8187264	0.5248859	0.6596708	0.91040355	0.9370738	0.9177494	0.8377822	0.75942725	0.8089073	0.91324574	0.8044612	0.7107965	0.77003074	0.91608375	0.7980441	0.5245744	0.87758046	0.86204493	0.82503724	0.8715826	0.81611425	0.66315424	0.9498766	0.97118294	0.8334618	0.78239465	0.93214774	0.59932506	0.73230165	0.5993129	0.92112136	0.7298847	0.88584864	0.73808026	0.8645801	0.8252534	0.84969413	0.9267789	0.9042256	0.77638876	0.9490533	0.89520025	0.895953	0.6954475	0.7957007	0.7025635	0.5863076	0.83145344	0.9808295	0.90561455	0.8643718	0.80767345	0.8532605	0.6604551	0.9620355	0.9351728	0.849519	0.7190209	0.85163915	0.6314532	0.7344712	0.6896404	0.76271296	0.5402893	0.9248775	0.7030848	0.74052477	0.63343936	0.89202285	0.8454282	0.8511576	0.5933343	0.8161537	0.851704	0.87729365	0.68730444	0.83582073	0.84271187	0.7687984	0.7546507	0.64289665	0.88593245	0.7732574	0.7537463	0.757212	0.7433685	0.880917	0.8660727	0.6122781	0.676139	0.82931805	0.89890695	0.843516	0.84362626	0.5615876	0.79363394	0.76489687	0.81782466	0.71163917	0.61285007	0.8425888	0.74550736	0.91375667	0.92394096	0.62283546	0.7720685	0.71241987	0.96510017	0.79241955	0.7708045	0.86927617	0.8928677	0.876737	0.91842824	0.90926856	0.5558205	0.94951236	0.75280803	0.81594515	0.8384048
fiets/noun	0.94674885	0.9046008	0.8535005	0.91619825	0.73698354	0.78996533	0.7452186	0.8649611	0.93454206	0.7634951	0.7756937	0.7619574	0.7870656	0.9247949	0.871881	0.7565991	0.81858623	0.8404768	0.83806175	0.9311365	0.60295254	0.78967124	0.9488138	0.89724845	0.6859451	0.6221862	0.82673836	0.67155933	0.7031716	0.7866865	0.84320796	0.82042736	0.7888049	0.9377777	0.8106622	0.7214842	0.7972214	0.8142108	0.77362657	0.71934986	0.88155603	0.9585937	0.8794541	0.0	0.25377196	0.7404369	0.8294866	0.9392316	0.9116375	0.8046704	0.5285629	0.76174426	0.8731084	0.8477152	0.880648	0.86159706	0.59993345	0.83617073	0.88591456	0.9643522	0.86278284	0.8476384	0.86399555	0.8299218	0.8035291	0.906786	0.6366129	0.87169456	0.88722235	0.92870134	0.6209629	0.93341374	0.8948362	0.79965574	0.8687315	0.9832305	0.9014645	0.78658366	0.9522841	0.8387799	0.7919308	0.70422685	0.85443676	0.61764544	0.8642702	0.7218749	0.7705052	0.8902826	0.7738384	0.8128998	0.97768956	0.81203157	0.77801806	0.8588713	0.8075098	0.8994545	0.9599605	0.87567663	0.93576837	0.8465925	0.9404542	0.8363042	0.8784836	0.7289218	0.98372775	0.8328279	0.90196306	0.82334805	0.90225524	0.88038146	0.7636123	0.8626882	0.8516443	0.88537645	0.76225996	0.85243434	0.76840985	0.6835007	0.91728365	0.76415	0.9354058	0.8729391	0.9359269	0.82603467	0.8384617	0.84476817	0.8365945	0.77168524	0.8950622	0.68742895	0.878426	0.875934	0.54555315	0.82148176	0.6128175	0.5981169	0.6733469	0.8612981	0.853017	0.9418519	0.89665323	0.6798315	0.9240588	0.79225135	0.7813942	0.88108546	0.9730961	0.8167253	0.9233345	0.8972397	0.78473836	0.9042789	0.9732186	0.7753915	0.9063924	0.68854016	0.85388225	0.9505718	0.74953127	0.62650335	0.5790926	0.84373903	0.8747383	0.88347715	0.6455501	0.8935667	0.88951015	0.7404572	0.88426095	0.87377274	0.7647263	0.923193	0.94449276	0.81611145	0.77695984	0.37319285
fiets/verb	0.94063157	0.86259925	0.7575626	0.81489474	0.70005846	0.70730615	0.66739756	0.7800697	0.8257593	0.6409269	0.7273315	0.68781734	0.73118305	0.91628975	0.78446174	0.75386	0.7675537	0.83044696	0.74157536	0.837188	0.6034312	0.79330957	0.8814111	0.81364954	0.60572386	0.56536436	0.85522074	0.6464985	0.6053867	0.71316195	0.8827865	0.6967144	0.6855387	0.7963367	0.69365966	0.7043261	0.7660053	0.71090126	0.75116867	0.6484591	0.7778842	0.9297272	0.76339805	0.25377196	0.0	0.7079417	0.7491723	0.7642342	0.8935744	0.8247886	0.52435815	0.7546561	0.88805515	0.73485637	0.80713534	0.7279449	0.5566421	0.728711	0.8350374	0.91834444	0.75850445	0.8529753	0.7778811	0.85952055	0.6827906	0.8893482	0.58299565	0.75622296	0.9203465	0.86971974	0.5841067	0.9045466	0.880721	0.7442395	0.74049634	0.955572	0.79355836	0.8054057	0.9320831	0.88960296	0.69851995	0.6760534	0.7816789	0.582965	0.7434428	0.6420411	0.82490695	0.8108463	0.7024598	0.73599267	0.89122254	0.77404547	0.7620244	0.7490591	0.75366616	0.80811965	0.8598938	0.9444064	0.9028504	0.85384667	0.87461734	0.8245787	0.72359014	0.67737406	0.9799054	0.7824432	0.82804763	0.84268606	0.8076078	0.829376	0.9729861	0.88854307	0.8232305	0.8083658	0.8654493	0.72348607	0.7413442	0.5911942	0.93339205	0.6549313	0.8510082	0.74091494	0.89644706	0.79137063	0.8229767	0.83114636	0.8809631	0.75263083	0.92111623	0.76877916	0.9239116	0.7955132	0.6389943	0.6854575	0.6412505	0.4795453	0.68037426	0.8364642	0.80890363	0.80196947	0.89976037	0.6435331	0.8646979	0.8031849	0.64930326	0.86707747	0.9087096	0.7851778	0.8814695	0.7976537	0.6927917	0.78454643	0.9097861	0.60749507	0.8504995	0.66965425	0.8225895	0.8555518	0.7335508	0.5687822	0.52327996	0.7512413	0.75237226	0.8602591	0.65842915	0.8204425	0.867797	0.69343424	0.8763807	0.9188695	0.82973886	0.83472604	0.8864441	0.8017488	0.73660356	0.26522607
fit/adj	0.9546633	0.915825	0.61767256	0.7359248	0.80329555	0.82064724	0.64534986	0.7183012	0.89554	0.79604363	0.65065825	0.8274048	0.5568291	0.9396779	0.86497164	0.9231821	0.655339	0.5956527	0.603281	0.9667773	0.818754	0.9824119	0.5775123	0.7924358	0.7740492	0.6699088	0.85124797	0.6523195	0.69697464	0.82390934	0.94152474	0.87361896	0.797475	0.7993587	0.87439185	0.7386149	0.88211805	0.7682765	0.719185	0.8084194	0.9263815	0.8736381	0.9066551	0.7404369	0.7079417	0.0	0.85396457	0.91080195	0.9362999	0.876596	0.8259354	0.61939675	0.9023572	0.7496489	0.7663542	0.60970134	0.7993677	0.8362909	0.909719	0.9149342	0.5872023	0.77610826	0.75224835	0.80192894	0.8428152	0.9596375	0.7440053	0.8707387	0.87633127	0.37962234	0.85383636	0.92754143	0.83817554	0.63707554	0.9331675	0.952242	0.8643086	0.8773506	0.9267555	0.63252854	0.78764045	0.7872598	0.77367556	0.76308405	0.57377964	0.7789381	0.7504091	0.7644228	0.7170038	0.80113125	0.7973256	0.7773894	0.7466532	0.71152425	0.65482724	0.94480443	0.9840276	0.87864554	0.7378148	0.8922217	0.7860867	0.9479578	0.82363206	0.80356514	0.9646888	0.752068	0.8106954	0.9224492	0.75299656	0.89516497	0.902749	0.53932804	0.8476491	0.89610004	0.8972286	0.6565724	0.9388984	0.7991779	0.90661544	0.79567707	0.44068736	0.8025853	0.82769114	0.92225546	0.8220369	0.81291795	0.9176915	0.7358923	0.85152733	0.9166848	0.8607724	0.8002758	0.7346843	0.65622085	0.9247352	0.38899285	0.8022663	0.8621919	0.79822624	0.9203335	0.9618241	0.91725004	0.9016215	0.96515226	0.88045895	0.95894194	0.8947622	0.8088642	0.77403146	0.4698242	0.74535936	0.838821	0.79982257	0.7746493	0.9380487	0.86724544	0.8913414	0.87245417	0.53210545	0.5241392	0.78566325	0.75412923	0.5059071	0.83604085	0.82517946	0.65056133	0.8910128	0.8582129	0.764535	0.79505444	0.87393785	0.8103379	0.91936666	0.94965047	0.79993296	0.7317108
ga_door/verb	0.94684225	0.90695775	0.91360176	0.875011	0.7830242	0.76537454	0.92940545	0.6441498	0.9421777	0.7288369	0.8508027	0.839058	0.67111623	0.8373083	0.8276607	0.82630086	0.82579076	0.788714	0.78543556	0.9484335	0.7539012	0.94437605	0.92937386	0.83127	0.8024519	0.8819991	0.9152135	0.5586381	0.9470199	0.73662764	0.95735985	0.8796783	0.748563	0.8119795	0.716946	0.9376821	0.78036356	0.6550748	0.7369709	0.60195196	0.7673531	0.86666334	0.92089695	0.8294866	0.7491723	0.85396457	0.0	0.89779603	0.97090864	0.91448236	0.6056453	0.9044672	0.9930236	0.77102697	0.79143685	0.7783232	0.7024535	0.9532092	0.9597333	0.9192393	0.897987	0.93773717	0.7173618	0.8816165	0.93769705	0.9296472	0.61026895	0.8704885	0.91047937	0.96042836	0.86209816	0.9495696	0.7728374	0.9725371	0.71682715	0.9721523	0.7895867	0.93764	0.7964211	0.9047119	0.61276424	0.669809	0.7615247	0.7025579	0.9489782	0.86184275	0.72429204	0.7988665	0.68819785	0.8234776	0.88375384	0.90882444	0.73367083	0.6594886	0.71244884	0.97803384	0.9419249	0.9058814	0.77755976	0.9740882	0.8051625	0.92272377	0.886765	0.8883615	0.920951	0.92878896	0.82935923	0.930917	0.7783989	0.9650851	0.83057564	0.91171885	0.81923354	0.92224073	0.8988351	0.85690814	0.8532328	0.76148874	0.8806498	0.73406875	0.93006873	0.9060641	0.9602383	0.9177122	0.63166404	0.8570652	0.84502447	0.8963624	0.8749779	0.9116876	0.8715343	0.9288187	0.685812	0.63054466	0.7936132	0.80990124	0.77484936	0.9137002	0.736002	0.9081522	0.9675764	0.855463	0.94678843	0.7591706	0.82486844	0.9523712	0.87118185	0.7888181	0.8901987	0.8276846	0.88203216	0.8221463	0.9601972	0.6253929	0.8734857	0.9289836	0.96759886	0.91984075	0.9153745	0.65666103	0.7471372	0.6735852	0.7941509	0.7442257	0.75016445	0.95858616	0.7650606	0.8981587	0.8145693	0.8128139	0.92006344	0.9258627	0.8254758	0.9162992	0.77313703	0.8458524
geheel/noun	0.85880613	0.8412458	0.7835041	0.75516075	0.8279824	0.78329915	0.9076596	0.81067693	0.8811132	0.69081783	0.7428254	0.81323135	0.8096141	0.907938	0.84184116	0.94481915	0.8104377	0.8422794	0.737445	0.6174996	0.8163568	0.79123926	0.93900496	0.72126067	0.78088987	0.8347497	0.8702184	0.86908484	0.66011894	0.7179452	0.86044997	0.64897794	0.81186205	0.62374306	0.87725306	0.8347043	0.8405483	0.76551414	0.88623786	0.7969268	0.7628942	0.87928206	0.77357846	0.9392316	0.7642342	0.91080195	0.89779603	0.0	0.88068247	0.7138076	0.8117808	0.8523587	0.9095509	0.65412796	0.8736623	0.84334147	0.8813818	0.85378003	0.71402305	0.8913086	0.9357509	0.7744301	0.8540148	0.78266925	0.8018423	0.6600954	0.832908	0.5136905	0.65963614	0.72411746	0.9305175	0.8139579	0.80938566	0.8601693	0.7831209	0.8944509	0.68925035	0.82280666	0.9852809	0.93820924	0.82476234	0.7875718	0.869875	0.7059373	0.7744132	0.8286968	0.8712732	0.8475709	0.864461	0.7096268	0.8412839	0.8114934	0.8237136	0.92459947	0.8665661	0.8561596	0.8262323	0.89683276	0.9298635	0.71144676	0.85137296	0.9496547	0.8882595	0.70140386	0.9536545	0.8244072	0.83389527	0.90306616	0.69661945	0.9346646	0.96679825	0.92595816	0.90032506	0.7356452	0.94905275	0.6880533	0.8352858	0.7895754	0.86776847	0.70883393	0.9190738	0.8890657	0.9405818	0.8834243	0.91696036	0.85126704	0.93716043	0.9283239	0.91403013	0.85295945	0.81402814	0.7734293	0.90702	0.81839633	0.8742685	0.83134073	0.7752761	0.87308997	0.7503661	0.85844743	0.83188444	0.8763415	0.9189789	0.9640756	0.879065	0.9065986	0.91436213	0.8434682	0.74960935	0.83005136	0.78559816	0.7685582	0.6904817	0.5730291	0.9627422	0.70143926	0.8301792	0.73235625	0.9067614	0.85171854	0.8116237	0.79330015	0.7666207	0.9216529	0.8029433	0.87346065	0.8711661	0.740293	0.8775179	0.89024913	0.95795363	0.701211	0.95628655	0.81739897	0.9008052	0.8821948
geur/noun	0.98582643	0.8215073	0.95352036	0.85361546	0.8548272	0.81851435	0.8638631	0.9041708	0.67509276	0.7818781	0.80316144	0.9064787	0.8158861	0.9551618	0.9363153	0.8782121	0.86475456	0.8234674	0.8852367	0.52673465	0.619872	0.7093895	0.97242373	0.95287526	0.8161752	0.89802057	0.8349398	0.88852465	0.9337566	0.86989343	0.5773842	0.7230855	0.82783926	0.8114871	0.76649195	0.7799046	0.8412832	0.85528827	0.7517273	0.8784587	0.77124655	0.8216091	0.73751485	0.9116375	0.8935744	0.9362999	0.97090864	0.88068247	0.0	0.71035206	0.868661	0.8885051	0.7869712	0.78444433	0.8471886	0.8448856	0.7927527	0.52215755	0.72706133	0.9169614	0.97537243	0.7909795	0.8243202	0.8377856	0.8651377	0.6171584	0.85589635	0.76403123	0.7355889	0.94835204	0.9189193	0.8900929	0.9213742	0.95210505	0.9020654	0.8259953	0.85568905	0.40177268	0.98222435	0.9747294	0.8638124	0.8533866	0.87958014	0.7957963	0.945858	0.8801449	0.9223008	0.8865095	0.9276509	0.83254755	0.9394643	0.8867482	0.8187256	0.8955889	0.9019602	0.63676053	0.88816595	0.9520712	0.9683416	0.657364	0.935415	0.6969075	0.8608063	0.9450102	0.9909455	0.9624316	0.81794655	0.5031039	0.82590055	0.24196142	0.87910557	0.9215923	0.7082845	0.69379413	0.85673267	0.8841438	0.407916	0.7634069	0.9736471	0.71031016	0.9514361	0.8869432	0.8599105	0.34784102	0.98268074	0.8856255	0.7215526	0.7965981	0.8924713	0.9374151	0.78413534	0.73959064	0.9264266	0.927916	0.88446903	0.9169258	0.89020216	0.8321239	0.8608741	0.83915675	0.907593	0.88288903	0.78160346	0.9547373	0.64377534	0.30180025	0.71654725	0.8104842	0.6913048	0.8832928	0.8539473	0.9129096	0.85645574	0.85945076	0.72683465	0.5078204	0.8920746	0.7909369	0.9472012	0.9218728	0.7834045	0.944076	0.87070674	0.91568154	0.9033048	0.90400374	0.91686386	0.95844793	0.6979504	0.79088575	0.81026053	0.7521649	0.9545885	0.73358333	0.8435006	0.8046446
