	aardappel/noun	afgezant/noun	aureool/noun	bed/noun	belofte/noun	bijstand/noun	blauw/noun	boodschap/noun	compliment/noun	dauw/noun	ding/noun	drank/noun	dressing/noun	droefheid/noun	ervaring/noun	euforie/noun	gave/noun	geluid/noun	geluk/noun	gerecht/noun	geschenk/noun	gestreken/adj	getal/noun	gevoel/noun	gewaad/noun	gewelf/noun	gezang/noun	glimlach/noun	haast/adv	harmonie/noun	haven/noun	heerlijkheid/noun	helderheid/noun	herrie/noun	het/det	hulp/noun	iets/adv	iets/noun	ijl/adj	interventie/noun	klank/noun	kleur/noun	klink/adj	komedie/noun	koning/noun	koor/noun	koor_DIM/noun	kroon/noun	kunst/noun	landschap/noun	lichaam/noun	licht/noun	lof_trompet/noun	maal/noun	maar/adv	mandaat/noun	meest/adj	melodie/noun	menu/noun	minstens/adv	missie/noun	modder/noun	moment/noun	monument/noun	muziek/noun	naam/noun	naar/adj	nul/noun	of/vg	optreden/noun	orgasme/noun	pad/noun	paradijs/noun	paradijselijk/adj	passage/noun	patent/noun	perfectie/noun	piano_spel/noun	plek/noun	plezier/noun	refrein/noun	republiek/noun	rijk/noun	ruimte/noun	rust/noun	sauna/noun	schoonheid/noun	sereniteit/noun	sfeer/noun	sopraan/noun	staat/noun	stad/noun	status/noun	stem/noun	stil/adj	symbool/noun	tafereel/noun	tegelijk/adj	tip/noun	tribunaal/noun	tuin/noun	tweeling/noun	uitzicht/noun	vaak/adj	vader/noun	vaderland/noun	veeleer/adv	visioen/noun	voetbal_tempel/noun	vorst/noun	vrede/noun	vrijheid/noun	vuur/noun	werkster/noun	zaak/noun	zaligheid/noun	zangeres/noun	zij/pron	zo/adv
aardappel/noun	0.0	0.9874919	0.99889	0.90882593	0.9820221	0.9462607	0.9594077	0.9532737	0.95686436	0.9960662	0.9726306	0.96156466	0.8195805	0.998549	0.97712374	0.98280853	0.96829796	0.9835042	0.9652208	0.9561339	0.9634359	0.9958267	0.8907586	0.9657877	0.9453841	0.99534434	0.99204755	0.9817488	0.97935325	0.9794104	0.9344108	0.98566025	0.97594863	0.9367137	0.97843754	0.9573139	0.92444694	0.95051897	0.97601324	0.9600815	0.99296546	0.9643633	0.9947628	0.970976	0.9742646	0.97950065	0.990566	0.88209546	0.96559554	0.9631541	0.9747232	0.9791627	1.0	0.9434991	0.9242647	0.98193216	0.9808127	0.98658764	0.9292352	0.85187346	0.98398024	0.9475365	0.9763106	0.94272244	0.9594909	0.96991503	0.97162145	0.9889559	0.8956084	0.95726323	0.9564019	0.9641254	0.9549177	0.9782629	0.98259807	0.9594798	0.990597	0.99996054	0.97979784	0.97418773	0.9868288	0.98014987	0.9566425	0.9407654	0.958751	0.95772886	0.9619143	0.9998945	0.96923256	0.9627998	0.9664615	0.946592	0.98051184	0.9318341	0.9473723	0.95440364	0.9738116	0.96049446	0.9489222	0.99178517	0.9438574	0.9673023	0.96175337	0.95731354	0.97478896	0.9844433	0.9655477	0.9916095	0.971571	0.9206365	0.9895673	0.98467755	0.9553383	0.9487212	0.9683168	0.9606094	0.95290107	0.98238	0.99297845
afgezant/noun	0.9874919	0.0	0.94730306	0.97571653	0.97620356	0.957042	0.98558897	0.9005306	0.93656147	0.9942554	0.9785917	0.97211534	0.99004483	0.9943981	0.98276436	0.963896	0.97125983	0.98709744	0.97644365	0.9841606	0.9566396	0.99912137	0.9760635	0.9896639	0.90717256	0.9689231	0.9794821	0.942915	0.95479554	0.97764844	0.98137105	0.9854945	0.964292	0.9761957	0.994186	0.9116519	0.9738987	0.9986634	0.9885838	0.8803547	0.94916505	0.9729544	0.96786743	0.94741046	0.9320669	0.94245774	0.9945275	0.9697366	0.9744852	0.980817	0.9733101	0.96813744	0.96368164	0.9570928	0.99527335	0.951673	0.94237125	0.9572829	0.9750473	0.97028136	0.8429618	0.9850836	0.9851969	0.97022563	0.952758	0.928039	0.97393256	0.98961955	0.9719118	0.953048	0.993727	0.9866543	0.96853197	0.9982731	0.9779654	0.944626	0.99991834	0.9827092	0.9796934	0.9928746	0.96415335	0.9620369	0.9639539	0.995912	0.98559093	0.9877543	0.9773647	1.0	0.98786	0.9518131	0.90933746	0.95161706	0.9681236	0.9766373	0.97485906	0.9169359	0.98731226	0.98849434	0.99486303	0.9056261	0.9871413	0.98062074	0.97620887	0.9854938	0.93494713	0.93238324	0.9761803	0.9613047	0.9946177	0.9748528	0.85202086	0.96844673	0.9649474	0.99680763	0.9851503	1.0	0.96677005	0.9582702	0.99901277
aureool/noun	0.99889	0.94730306	0.0	0.992318	0.9450891	0.9609387	0.9891443	0.9607122	0.9538706	0.9404793	1.0	0.9761687	1.0	0.98327947	0.97181195	0.9507067	1.0	0.9806135	0.9820318	0.9915467	0.9683313	0.99987936	0.99464256	1.0	0.97415924	0.9998345	0.9962304	0.9970011	0.9739202	0.97932386	0.98920983	0.9964363	0.9994961	0.99245936	0.9579665	0.9520389	0.9899624	0.99968773	0.9962084	0.9627553	0.98545086	0.98786443	0.9687378	0.98296714	0.9786338	0.9819665	0.9999083	0.99111426	0.99421823	0.9999622	0.99547005	0.9811469	0.999598	0.97570187	0.9997901	0.8774125	0.9820937	0.9826686	0.9962753	0.98315793	0.97919506	0.9650227	0.96029925	0.99651545	0.9828017	0.97066975	0.99082893	0.9730652	0.98189867	0.9830164	0.99881464	0.9888187	0.98933274	0.98148847	0.9906598	0.9904695	0.9789068	1.0	0.96179223	0.9999483	0.98974097	0.9680905	0.99755424	0.9808131	0.9729826	0.9967161	0.9949331	0.98645943	0.99528253	0.9859375	0.98313874	0.9992108	0.99676126	0.97871375	0.9765326	0.9333631	0.99771035	0.9962757	0.9992171	0.99054694	0.99660057	0.9968575	0.97086793	0.99060005	0.97915	0.9676567	0.9722095	0.99005336	0.9746065	0.9760022	0.9819537	0.9749927	0.9811324	0.98851186	0.99953866	0.9779401	0.98440975	0.9959621	0.99835664
bed/noun	0.90882593	0.97571653	0.992318	0.0	0.93987805	0.9219175	0.9414882	0.947089	0.9596289	0.9630745	0.96482426	0.87516654	0.9854877	0.99924695	0.9460381	0.9884407	0.9725522	0.94545835	0.9395238	0.9399155	0.9368293	0.9896333	0.8548913	0.9544151	0.9756814	0.99955434	0.96001554	0.9596228	0.9762506	0.95779437	0.94185936	0.99294686	0.9783465	0.9633975	0.97272164	0.89865893	0.8737176	0.9245627	0.98322135	0.9311082	0.9642981	0.9054266	0.96834207	0.89702994	0.9309763	0.9362539	1.0	0.7635434	0.9346335	0.95319504	0.8804313	0.92544323	0.9987248	0.8686328	0.8612372	0.96289456	0.92752117	0.968096	0.9233317	0.75493324	0.90335	0.9714469	0.9136013	0.9033073	0.8987596	0.9104601	0.9496353	0.9293225	0.8783281	0.89709985	0.97042394	0.9234808	0.9721799	0.97780794	0.94314986	0.9334843	0.9784118	0.9860774	0.9187701	0.93794495	0.9894844	0.9667566	0.89332294	0.85870063	0.9723078	0.9376116	0.93658096	0.99449164	0.9348214	0.9407443	0.9189223	0.8858862	0.95756876	0.7272047	0.93089265	0.978787	0.9525074	0.9360464	0.8985105	0.9852171	0.89189374	0.9531362	0.96477044	0.93979794	0.8788533	0.97463536	0.95541024	0.97791827	0.9730496	0.9658904	0.9584525	0.9725974	0.9079012	0.9606434	0.9217241	0.93604815	0.90132314	0.9049585	0.9663891
belofte/noun	0.9820221	0.97620356	0.9450891	0.93987805	0.0	0.92440134	0.9638156	0.90786976	0.93117857	0.98209304	0.9634723	0.9564828	0.9973002	0.9853322	0.91941327	0.93736184	0.98514634	0.9329315	0.9073901	0.9105888	0.9004327	0.9940581	0.96366066	0.93440795	0.9760017	0.97608644	0.9604133	0.93890494	0.9047515	0.8815535	0.93844235	0.9799043	0.9881546	0.96967393	0.8986275	0.89829636	0.96002865	0.9583629	0.9888572	0.91136783	0.96765894	0.8996357	0.93449014	0.9342718	0.91876614	0.9198381	0.9885776	0.93253773	0.950828	0.9480323	0.9341792	0.93778175	0.9648307	0.87101424	0.94996035	0.896482	0.9211735	0.9786456	0.9342606	0.9043933	0.92324144	0.92181134	0.94210356	0.94564384	0.93578815	0.8999693	0.8983964	0.91656333	0.9408071	0.8793993	0.9953805	0.9224113	0.97257835	0.99661887	0.9544277	0.94575053	0.9791377	0.99504256	0.8991558	0.91033804	0.9851932	0.9407362	0.9604828	0.960641	0.8558263	0.9802922	0.9605744	0.98416376	0.9307845	0.954679	0.9092981	0.93804115	0.9219247	0.91971785	0.9365049	0.9410196	0.92761576	0.95970875	0.9184471	0.98736405	0.9309663	0.91615456	0.94631964	0.9570829	0.9060903	0.9569607	0.9507796	0.9815618	0.960532	0.9678991	0.88349104	0.96060735	0.9106561	0.95676136	0.93691695	0.99117285	0.91597253	0.9483366	0.92759377
bijstand/noun	0.9462607	0.957042	0.9609387	0.9219175	0.92440134	0.0	0.96512544	0.97786736	0.9643584	0.9987466	0.9833608	0.96959805	0.9902189	0.99972254	0.980989	0.9709181	0.9965053	0.9584674	0.9766855	0.9780157	0.9467453	0.9999036	0.9226591	0.9604308	0.96360326	0.9998678	0.9840748	0.9678989	0.972162	0.94945985	0.94743305	0.9781959	0.97744954	0.9877301	0.97808164	0.9122629	0.91686714	1.0	0.96191365	0.9183464	0.9792548	0.95452833	0.9733332	0.98783696	0.964477	0.96366644	0.99818635	0.879384	0.9588677	0.98678017	0.95710665	0.9775837	0.9806583	0.91893715	0.89125174	0.9664649	0.94208586	0.98004425	0.9641928	0.86255443	0.95139384	0.98672295	0.9703593	0.9253537	0.9710715	0.9683734	0.9546989	0.96684736	0.9083584	0.96492183	0.9966441	0.9428846	0.9641912	0.9618841	0.981598	0.9684829	0.9913912	0.95393175	0.945079	0.97046614	0.9937719	0.95003587	0.9115238	0.9684272	0.97248685	0.99776727	0.9619671	1.0	0.9692266	0.98915786	0.92214453	0.93412256	0.94720805	0.92050827	0.9734544	0.9693708	0.9789355	0.9800439	0.94331336	0.9530192	0.9828815	0.94562083	0.94944566	0.9745255	0.9687802	0.94900674	0.99241877	0.99049556	0.9716643	0.9575473	0.9514804	0.9799254	0.9616671	0.94234604	0.95896846	1.0	0.9579665	0.94019914	0.9884342
blauw/noun	0.9594077	0.98558897	0.9891443	0.9414882	0.9638156	0.96512544	0.0	0.98213977	0.9864701	1.0	0.96391076	0.97497237	0.9765916	0.99935424	0.9672694	0.9799303	0.97836024	0.96646553	0.9762491	0.9802622	0.96919113	1.0	0.9762314	0.96618795	0.99103695	1.0	0.99400187	0.96002936	0.980167	0.9566365	0.9644261	0.978212	0.9827318	0.98567325	0.97035766	0.9804822	0.9683566	0.97041625	0.9769071	0.9620114	0.97071314	0.9224267	0.9779018	0.9043761	0.95537084	0.96507674	0.9998059	0.96647304	0.94384855	0.95098007	0.9709381	0.9482243	0.9633437	0.97469336	0.973033	0.9054402	0.98038715	0.9671589	0.9742569	0.95330197	0.9866062	0.99290454	0.96655315	0.9262229	0.9457545	0.93738115	0.97110534	0.976233	0.93930924	0.9644748	0.98356515	0.96191704	0.9445779	0.97995114	0.9606809	0.966376	0.97620434	0.99465674	0.98070526	0.9959983	0.97901434	0.9583975	0.9637808	0.9683627	0.9663075	0.97456044	0.95734465	1.0	0.94847226	0.94193685	0.9618953	0.95789367	0.98652816	0.9379224	0.9840947	0.9692664	0.9357963	0.97693956	0.9694225	0.99975544	0.93081105	0.9802912	0.93794066	0.9950995	0.95154446	0.98632365	0.97379035	0.99583954	0.99760604	0.9661958	0.9705092	0.9695953	0.95914257	0.99482673	0.9855394	0.9623489	0.94446516	0.9847812	0.9686016
boodschap/noun	0.9532737	0.9005306	0.9607122	0.947089	0.90786976	0.97786736	0.98213977	0.0	0.93592495	0.98727953	0.9349097	0.9625663	0.99524194	0.9998936	0.9203441	0.9494365	0.95756334	0.92393893	0.9436775	0.9573427	0.93415236	0.99998146	0.9535991	0.9068741	0.9672682	0.99997455	0.9785947	0.9312242	0.96113646	0.9521064	0.955181	1.0	0.92116326	0.9247874	0.9313579	0.8838164	0.9374745	0.94518507	0.9532405	0.9084223	0.948475	0.9283755	0.94115156	0.9349803	0.90732163	0.9132196	0.9768707	0.9476398	0.9347526	0.9426154	0.9090012	0.9374887	0.988792	0.94233495	0.92968535	0.9153105	0.8654126	0.96020615	0.9539082	0.9378054	0.91482455	0.9862823	0.93511456	0.9446382	0.89788085	0.81762767	0.9344798	0.96011424	0.87924564	0.8781378	0.99076194	0.9444114	0.94749486	0.9959831	0.92695373	0.97613186	0.98123187	0.99789244	0.89331865	0.9304675	0.9734703	0.97426593	0.9030807	0.9413937	0.96068823	0.99561447	0.94515693	0.9796921	0.9215711	0.955631	0.92630386	0.9070027	0.88958865	0.9250408	0.8911328	0.88642275	0.94494253	0.9272217	0.92713076	0.9857546	0.94694966	0.9506942	0.95805	0.93355113	0.8432746	0.9727456	0.9261346	0.9345943	0.97953117	0.95272905	0.8631574	0.90960515	0.93931466	0.9927652	0.8931332	0.99831	0.93235296	0.91718954	0.9612832
compliment/noun	0.95686436	0.93656147	0.9538706	0.9596289	0.93117857	0.9643584	0.9864701	0.93592495	0.0	1.0	0.95329785	0.9434404	0.99840254	1.0	0.9701844	0.9558881	0.9151901	0.97769564	0.93456316	0.9438321	0.9300755	0.9954998	0.9971298	0.95770425	0.9810032	1.0	0.98173684	0.95230776	0.9630364	0.97811013	0.98109174	1.0	0.99584866	0.9606181	0.98889625	0.9546708	0.95617664	0.93282413	0.9746972	0.9518306	0.98731405	0.961909	0.89448225	0.9459219	0.93921196	0.95378447	0.9586191	0.97815835	0.9671485	0.98917955	0.9584203	0.96771854	0.94236165	0.96632844	0.9809502	0.9652785	0.94302315	0.99662036	0.9742212	0.97754925	0.9617509	0.95149934	0.9353089	0.9811402	0.98036104	0.9330407	0.9775045	0.9706777	0.96522355	0.9573657	1.0	0.9635131	0.9445439	1.0	0.96080506	0.9728145	0.97347087	1.0	0.96619844	0.9586323	0.993028	0.987443	0.98773694	0.9698183	0.9270409	0.9864199	0.94801974	0.96312964	0.964542	0.95624286	0.981112	0.9825832	0.93910474	0.9876471	0.9327738	0.93114245	0.98586166	0.97713417	0.9779657	0.9854584	0.96777624	0.920001	0.9576	0.9707215	0.94892913	0.9838505	0.9638474	0.98192436	0.97609717	0.954631	0.973319	0.9509918	0.97516096	0.9663507	0.94169664	0.9523043	0.9402208	0.965871	0.98046625
dauw/noun	0.9960662	0.9942554	0.9404793	0.9630745	0.98209304	0.9987466	1.0	0.98727953	1.0	0.0	0.9525143	0.9718466	1.0	0.9881166	1.0	0.9950557	0.9976454	0.9955996	1.0	0.9963235	0.99503756	1.0	0.96788627	1.0	0.9926335	0.99028474	0.9831916	1.0	0.99933964	1.0	0.9866161	0.9998128	1.0	0.9662887	0.99204975	0.999799	0.9664668	0.95539826	0.897647	1.0	1.0	0.99943733	0.9848189	0.99228954	0.9765468	0.99385446	1.0	0.99108315	0.98668337	1.0	0.9994884	0.9846182	0.99124706	0.9966799	1.0	1.0	0.99938697	0.9994146	0.99314225	0.98892987	0.9977116	0.9881349	1.0	0.99413764	0.99994314	0.98918563	0.99808437	0.99675083	0.99190515	0.99206966	0.9756622	0.98959744	0.9977083	0.98756665	1.0	0.9999504	0.9999215	1.0	0.9924856	1.0	1.0	0.9995065	0.99858207	1.0	0.9849679	0.9868615	1.0	1.0	0.9518002	0.9991549	0.9987165	0.99066037	1.0	0.98142225	0.9909388	0.9992602	0.9892078	0.99781203	1.0	1.0	0.99522316	0.99916774	0.99747026	0.96262753	0.9907228	0.994336	1.0	0.9855945	0.9543232	0.9845769	1.0	1.0	0.999896	0.9617493	0.99803627	1.0	0.99829334	0.9990504	1.0
