	aardappel/noun	abnormaal/adj	adem/noun	album/noun	as/noun	atmosfeer/noun	auto/noun	bad/noun	beetje/noun	behoorlijk/adj	bord/noun	boter/noun	brandend/adj	brij/noun	brok/noun	bron/noun	buis/noun	chocolademelk/noun	dag/noun	die/det	dossier/noun	drift/noun	drukkend/adj	erg/adj	fusie_ploeg/noun	gas/noun	genoeg/adv	gesteente/noun	glas/noun	gloeiend/adj	grill/noun	grond/noun	hang_ijzer/noun	hap/noun	herfst/noun	het/det	hoe/adj	kachel/noun	kastanje/noun	klimaat/noun	koekepan/noun	koffie/noun	kom/noun	kool/noun	kop/noun	kus/noun	kwestie/noun	latin/noun	lucht/noun	marathon/noun	matig/adj	melk/noun	mes/noun	middag/noun	middaguur/noun	min/adj	mineraalwater/noun	mix/noun	motor/noun	niet/adv	nieuw_feit/noun	nog/adv	olie/noun	olijfolie/noun	omstandigheid/noun	onderwerp/noun	ontzettend/adj	oven/noun	pan/noun	passage/noun	pasta/noun	patat/noun	peper/noun	plaat/noun	rem/noun	sector/noun	slotminuut/noun	smelt/adj	soep/noun	spotje/noun	stand_DIM/noun	stoom/adj	stoom/noun	strand/noun	strijkijzer/noun	te/adv	thee/noun	traan/noun	trend/noun	vakantie/noun	verlangen/noun	verschrikkelijk/adj	verslag/noun	vet/noun	vlam/adj	vlek/noun	voorwerp/noun	vuur/noun	warm/adj	wat/adv	water/noun	weer/noun	wind/noun	woensdag_middag/noun	ze/pron	zo/adj	zo/adv	zomer/noun	zomer_dag/noun	zomermaand/noun	zon/noun
spotje/noun	0.85469145	0.9235097	0.92911416	0.93922573	0.9283693	0.9087694	0.9943021	0.7141458	0.84504986	0.85795	0.9110208	0.79481053	0.89413327	0.80685484	0.9136736	0.7829574	0.39898765	0.79633415	0.7724883	0.80711114	0.9212847	0.95009744	0.8840367	0.8948992	0.98417467	0.87157774	0.92908263	0.9038371	0.6708753	0.91175544	0.94831455	0.7352487	0.9641744	0.8121435	0.9240855	0.8077041	0.8117676	0.79443675	0.90728134	0.9148363	0.8540584	0.8308868	0.84654486	0.9365944	0.84145725	0.86281884	0.97457516	0.9650707	0.7739065	0.95910275	0.9199984	0.685485	0.8210505	0.8657351	0.94812626	0.9628651	0.7867911	0.93655044	0.94434714	0.94524944	0.9475044	0.94088936	0.858324	0.8347739	0.94264054	0.866811	0.88906085	0.8538906	0.85369676	0.88293535	0.82829595	0.8698151	0.8433433	0.858137	0.9796126	0.94050294	0.9144658	0.82936496	0.89232755	0.0	0.9066663	0.93996197	0.80155444	0.89165556	0.9649992	0.8484968	0.7935569	0.6427194	0.9416812	0.95279014	0.9617387	0.87889224	0.8300621	0.84733754	0.9416023	0.86502385	0.922622	0.8945378	0.7490588	0.8989265	0.6639365	0.90621823	0.91294837	0.9449736	0.83759564	0.8944356	0.96896213	0.84926784	0.732711	0.9127632	0.90707517
stand_DIM/noun	0.65030026	0.8316949	0.86626667	0.9725762	0.91480047	0.7785471	0.9659471	0.7612897	0.8257885	0.84458894	0.6317941	0.7238195	0.7505634	0.6304357	0.86278105	0.9541789	0.8828407	0.5586997	0.67276275	0.87808394	0.9989429	0.937711	0.71226573	0.83230966	0.89876705	0.9082562	0.8115226	0.9401335	0.7030629	0.6718835	0.7877208	0.82256114	0.94198674	0.5623002	0.8590302	0.8896758	0.92081535	0.6577195	0.6644844	0.76011956	0.7735186	0.6365082	0.6453768	0.7507986	0.6414307	0.87288237	0.96732247	0.88492626	0.7542678	0.9559981	0.7275609	0.6246748	0.84703684	0.6639662	0.6839244	0.80895066	0.8205589	0.911484	0.8440697	0.94983375	0.98013383	0.8061873	0.83691496	0.7393654	0.88490623	0.8752426	0.854053	0.6863214	0.7061039	0.96939206	0.60313886	0.5121461	0.6668022	0.8571013	0.8898191	0.9003741	0.93118954	0.80144507	0.61807257	0.9066663	0.0	0.73844236	0.74198484	0.77574146	0.7991997	0.7716566	0.5658432	0.9699225	1.0	0.8785105	0.92832714	0.9002147	0.98655874	0.6912803	0.9172081	0.6834421	0.7893056	0.79916555	0.65245414	0.7374491	0.69938904	0.7217035	0.7573593	0.6729311	0.7648619	0.9524716	0.7932341	0.76487076	0.7364248	0.72475964	0.8030452
stoom/adj	0.7545561	0.86290824	0.80508834	0.8449582	0.87671727	0.8590961	0.81997836	0.6537502	0.7688464	0.8570472	0.7714001	0.79947877	0.7774503	0.7914825	0.6648159	0.85217106	0.8212735	0.7298778	0.79838836	0.77904385	0.9571449	0.9133729	0.91910493	0.9161134	0.9676953	0.7881412	0.7497417	0.82244587	0.7590225	0.6969162	0.8541734	0.8511907	0.9992339	0.6134285	0.915213	0.8564864	0.9712079	0.725744	0.8903419	0.92407316	0.87053376	0.72926855	0.7655628	0.8168771	0.75073564	0.97083473	0.98441905	0.49038327	0.78237766	0.9989745	0.83592755	0.8206692	0.8943742	0.8092791	0.8302024	0.79065377	0.7701938	0.48556757	0.7700249	0.9511003	0.97560894	0.8929062	0.79377156	0.78403187	0.9765715	0.8822378	0.93163675	0.76882267	0.7292898	0.63551104	0.7744718	0.74329937	0.77558184	0.6747364	0.82205915	0.89624345	0.99982613	0.8378859	0.67156696	0.93996197	0.73844236	0.0	0.74440336	0.839132	0.8627949	0.87677574	0.7642088	0.9088215	0.8989794	0.7564847	0.9687495	0.85701644	0.9008781	0.72558147	0.90100205	0.8668277	0.9548361	0.83410484	0.621988	0.8633779	0.693986	0.7743838	0.79433614	0.83631235	0.83141154	0.9895267	0.87193316	0.8241414	0.9250656	0.8526732	0.7950814
stoom/noun	0.5593041	0.96030575	0.875366	0.9595622	0.43078774	0.60102296	0.60538507	0.5381982	0.60667515	0.69001126	0.533567	0.59222984	0.45444763	0.67856026	0.72050685	0.80883205	0.5947914	0.73575485	0.8358072	0.9128478	0.98164684	0.9282575	0.77702665	0.92610943	0.97052217	0.38076574	0.8666912	0.5625102	0.66687596	0.31754035	0.40592933	0.6250044	0.8077775	0.7237774	0.89806455	0.7914578	0.95213753	0.45489365	0.77936774	0.8395323	0.659258	0.730687	0.5980798	0.40877712	0.80471385	0.89412755	0.85575545	0.9502999	0.5972902	0.95405495	0.7905058	0.68655324	0.50707597	0.7109357	0.80718845	0.8508219	0.7901558	0.9421572	0.5493096	0.9661374	0.8476943	0.8934116	0.49978942	0.6015145	0.8178312	0.9432221	0.900244	0.3431447	0.37913102	0.9264691	0.55398035	0.6446265	0.5397612	0.63239026	0.5647172	0.8705132	0.9655074	0.72512364	0.61808294	0.80155444	0.74198484	0.74440336	0.0	0.820622	0.42964828	0.77188873	0.6855842	0.94868386	1.0	0.9577836	0.902742	0.9427476	0.94815433	0.6161499	0.8846974	0.83592343	0.74114573	0.4868285	0.56256694	0.7556784	0.4196446	0.8701932	0.710276	0.8659074	0.6548053	0.94029033	0.9199792	0.9065838	0.8148556	0.8571495	0.69682443
strand/noun	0.8152109	0.7615686	0.83395886	0.8098713	0.87529564	0.57732034	0.8410846	0.7927412	0.71301746	0.7731185	0.74215317	0.8291528	0.55362105	0.84793127	0.8461383	0.74794143	0.70433664	0.8097943	0.44844502	0.7624728	0.94908166	0.87402064	0.52541685	0.77166873	0.7732075	0.7387732	0.80498016	0.7900414	0.77644545	0.75875616	0.86810714	0.70630574	0.957357	0.73739314	0.6387515	0.583092	0.69194174	0.78840023	0.85961753	0.5006721	0.82224834	0.809553	0.822259	0.7854379	0.8766368	0.8895663	0.81617683	0.94889647	0.5198121	0.88138527	0.668326	0.83324826	0.87968326	0.52942955	0.47495723	0.82686996	0.82514673	0.9000648	0.78224397	0.9836723	0.9896975	0.82147586	0.7266003	0.8163393	0.81037647	0.86574817	0.8420807	0.8336047	0.7813374	0.97141963	0.72286993	0.6899177	0.8266131	0.89465463	0.90519285	0.82065624	0.996121	0.5386393	0.78008574	0.89165556	0.77574146	0.839132	0.820622	0.0	0.92471313	0.7744368	0.7636305	0.9604163	0.9145344	0.44064003	0.8116947	0.82612634	0.71798086	0.7785633	0.70974994	0.76216024	0.7206274	0.7016177	0.4613135	0.7075839	0.6292238	0.39151835	0.49871236	0.55796206	0.9024083	0.78754795	0.9342097	0.42106748	0.4133383	0.531438	0.32172865
strijkijzer/noun	0.6707943	0.91081274	0.9384394	0.98434013	0.48714948	0.64332753	0.7793647	0.49437928	0.8391636	0.78146094	0.66453457	0.732406	0.56453586	0.89684254	0.7638935	0.97422373	0.76982075	0.8836194	0.93575466	0.937791	0.95542103	0.96588457	0.90788656	0.93979174	0.9812274	0.57190317	0.85817194	0.65440565	0.7361592	0.5997308	0.39363587	0.8610722	0.6156678	0.80192	0.9516797	0.87348855	0.9266124	0.48943037	0.8521587	0.89339024	0.6139736	0.8359137	0.8479209	0.5415561	0.8526437	0.9229814	0.81054235	0.9665011	0.7435709	0.98725265	0.78275424	0.81937146	0.5441484	0.8185469	0.84598935	0.9757103	0.9308626	0.9971214	0.6123065	0.9656928	0.6984602	0.95598274	0.69078827	0.81634814	0.94015557	0.9037455	0.95336187	0.52052903	0.590829	0.9734899	0.6801677	0.8742721	0.79232216	0.48732734	0.79320765	0.9693103	0.9578968	0.64775527	0.7395752	0.9649992	0.7991997	0.8627949	0.42964828	0.92471313	0.0	0.9104255	0.8119473	0.9883171	1.0	0.96966016	0.8715458	0.93002087	0.90471697	0.7056175	0.8756588	0.9290171	0.511505	0.6334473	0.75336957	0.8740248	0.6213019	0.9317946	0.8026197	0.9138076	0.7642766	0.9736997	0.98059815	0.87992126	0.847763	0.866815	0.69462407
te/adv	0.77854615	0.7731372	0.7241473	0.83696556	0.8856955	0.6125506	0.90266377	0.7647842	0.6270285	0.54411644	0.71366686	0.7652674	0.787991	0.7556312	0.75830936	0.8256036	0.78949034	0.7257805	0.6275258	0.8260589	0.97694486	0.92211795	0.7404537	0.64832187	0.71828824	0.8005652	0.7110601	0.8444523	0.7100172	0.7568993	0.86813724	0.84421813	0.9163525	0.6454154	0.8558214	0.7719933	0.90969497	0.74913853	0.83456975	0.63837993	0.8347033	0.8006556	0.7821654	0.7596514	0.7932926	0.867639	0.8919259	0.8647419	0.57897437	0.9551275	0.8101621	0.68968606	0.88639116	0.59906626	0.6577288	0.5900413	0.83216107	0.9232519	0.8183199	0.8364302	0.97042793	0.63528883	0.73457897	0.7530155	0.7792435	0.91096485	0.8666595	0.7499702	0.7633975	0.8688922	0.7683473	0.76853013	0.7554834	0.7842428	0.7844186	0.8220962	0.97112244	0.8501636	0.70892787	0.8484968	0.7716566	0.87677574	0.77188873	0.7744368	0.9104255	0.0	0.8130105	0.8603484	0.97907656	0.8847145	0.8900203	0.87373483	0.979813	0.7122005	0.8589035	0.7645169	0.9094684	0.8053536	0.61247325	0.5476444	0.62286043	0.55291605	0.65063596	0.85641026	0.72689235	0.8096931	0.85625136	0.7269623	0.74238133	0.7728878	0.7005605
thee/noun	0.4556101	0.91973853	0.9442425	0.8899428	0.75334126	0.80572003	0.8784513	0.44665265	0.6697308	0.88467026	0.46672243	0.51348734	0.70898724	0.4782539	0.738696	0.81748533	0.7022896	0.34006292	0.6140408	0.8407768	0.97465724	0.99037886	0.8323444	0.86732453	0.9601196	0.7723585	0.85387164	0.7027752	0.25028026	0.59825385	0.7155229	0.7097245	0.8676254	0.5558707	0.9172991	0.88837045	0.8308543	0.54772127	0.606668	0.87927675	0.6438024	0.10078287	0.40497923	0.60181457	0.2577746	0.87040067	0.9915241	0.92656124	0.6547186	0.94955486	0.8240688	0.2330764	0.71767294	0.6713551	0.77491844	0.80617136	0.43546647	0.7617866	0.87485623	0.97457373	0.84285957	0.8794107	0.58676785	0.5334139	0.9619094	0.9900936	0.81554455	0.5661446	0.47587115	0.9798497	0.33262157	0.47600466	0.5204163	0.7439803	0.9416614	0.9260501	0.9817003	0.73104954	0.30064297	0.7935569	0.5658432	0.7642088	0.6855842	0.7636305	0.8119473	0.8130105	0.0	0.8328395	0.9960834	0.8906033	0.9918685	0.8538667	0.91375875	0.4909833	0.89014953	0.5709801	0.7567592	0.67035687	0.34583408	0.7281728	0.38812536	0.77287644	0.7684282	0.7322705	0.7232939	0.9425717	0.8569686	0.81265944	0.71317846	0.85503876	0.62378806
traan/noun	0.9148222	0.94100904	0.73279715	0.76634383	0.9261418	0.910674	0.9894036	0.8775851	0.96745515	0.8349031	0.9136027	0.932718	0.9038857	0.9434915	0.91308594	0.93740433	0.6855546	0.8935214	0.8922316	0.68185186	0.92733216	0.7714301	0.9604029	0.8648809	0.80601454	0.9524651	0.9294395	0.8720782	0.6894462	0.9333022	0.98704565	0.8448078	0.96332514	0.83249557	0.95958614	0.9130122	0.83408755	0.86385417	0.96753913	0.9839714	0.9896136	0.84235764	0.9537635	0.9797979	0.8479767	0.3561157	0.9401714	0.98916113	0.802122	0.986191	0.9807234	0.847886	0.9298827	0.8970045	0.9816686	0.9486174	0.88759285	0.95081306	0.96179247	0.9642127	0.9992272	0.7933979	0.95652974	0.9532492	0.9573984	0.95171183	0.8958051	0.9237382	0.95586693	0.70921767	0.9120656	0.9442815	0.95754087	0.843609	0.99642265	0.95999783	0.7911636	0.9884147	0.92779124	0.6427194	0.9699225	0.9088215	0.94868386	0.9604163	0.9883171	0.8603484	0.8328395	0.0	0.988287	0.9848983	0.90907496	0.8711252	0.8557463	0.92395675	0.9245739	0.65045583	0.917083	0.99037004	0.8393838	0.9288577	0.8279727	0.9642612	0.9479784	0.9674255	0.7281786	0.9041498	0.9283237	0.9396046	0.88421065	0.9665829	0.8656995
trend/noun	0.9717502	0.89085716	0.9360531	0.9145208	0.9997825	0.963017	0.97206557	0.99499905	0.97685844	0.88911355	0.9800197	0.9748581	0.98479855	0.9810726	0.91912556	0.9254644	0.9724632	1.0	0.890931	0.5884718	0.9969446	0.7487111	0.92514324	0.95897293	1.0	0.95354754	0.9514989	0.9929714	0.9832298	0.9802938	1.0	0.9532611	0.92684424	0.8866311	0.8038163	0.9689153	0.85194933	0.9765829	0.9924678	0.8469901	1.0	0.98441374	0.98994046	0.9903153	0.9923849	0.8549547	0.9805449	0.9137215	0.95211154	0.9784972	0.9209366	0.9928393	1.0	0.92026055	0.97955334	0.94338864	0.9382654	0.91293395	0.9817008	0.9340285	1.0	0.8977135	0.97499734	0.9823281	0.88709015	0.95491993	0.93844324	0.99718827	0.9949156	0.9170443	0.98612666	0.96518093	0.9728255	0.92736226	0.98065376	0.46452737	1.0	0.94072205	0.97339594	0.9416812	1.0	0.8989794	1.0	0.9145344	1.0	0.97907656	0.9960834	0.988287	0.0	0.8547429	0.8446224	0.8225129	0.9708574	0.980844	0.9851933	0.95784867	0.9941289	0.9936586	0.9118663	0.9458568	0.99410045	0.92292446	0.96261346	0.98646796	0.98923314	0.9639589	0.97877645	0.80412054	0.9267135	0.9235841	0.91975486
vakantie/noun	0.93333775	0.7003231	0.93112046	0.8513735	0.9199627	0.86958015	0.7948236	0.83707696	0.782978	0.9257058	0.89266664	0.94805294	0.815917	0.9101184	0.8767202	0.96266305	0.9149871	0.89194715	0.53430283	0.8547962	0.99613935	0.9210633	0.7951834	0.922127	0.96326596	0.90179133	0.8436823	0.9904274	0.9333472	0.92639697	0.9665832	0.9568253	0.9746491	0.8188547	0.60449064	0.85120595	0.8303646	0.94089603	0.9149964	0.7356007	0.97046536	0.87130994	0.93962127	0.9602291	0.86223686	0.94996136	0.9539856	0.7861204	0.785704	0.84975904	0.8701658	0.9335781	0.96421444	0.6900783	0.76780057	0.86350924	0.95665914	0.84784496	0.8420118	0.962093	0.9759258	0.7900915	0.9021132	0.9305176	0.95870125	0.9950087	0.9166673	0.91153985	0.8920769	0.8734275	0.8852509	0.82039464	0.93448806	0.9160079	0.93160963	0.9413849	0.9889283	0.85657346	0.86592376	0.95279014	0.8785105	0.7564847	0.9577836	0.44064003	0.96966016	0.8847145	0.8906033	0.9848983	0.8547429	0.0	0.97397226	0.87230265	0.7958609	0.9223526	0.80667573	0.89876163	0.8793942	0.9396214	0.67319924	0.7895721	0.82485527	0.5496514	0.7783961	0.41959637	0.84373003	0.93159175	0.90925634	0.40183067	0.61128104	0.47285742	0.543661
verlangen/noun	0.98594993	0.9947532	0.8135281	0.8235247	0.91559386	0.64476204	0.7595747	0.9356066	0.9479777	0.7354948	0.940439	0.9767174	0.7184393	0.9887943	0.78550637	0.8126633	0.96131396	0.99998844	0.8751335	0.77413595	0.9364682	0.37861514	0.8344565	0.84111965	0.76039666	0.84322256	0.98374885	0.9866951	0.91815376	0.88289213	0.9112229	0.89191055	0.99349123	0.97707564	0.80541205	0.8398022	0.6462128	0.8281007	0.9870624	0.5575113	0.9876021	0.95672756	0.98883134	0.8563849	0.98752004	0.5223805	0.5955803	0.94400924	0.7435765	1.0	0.98439324	0.9637046	0.85529304	0.7839455	0.63586664	0.9055361	0.9605832	0.9387815	0.81188256	0.9789836	0.9726705	0.9887119	0.87766445	0.9444487	0.85705763	0.72801864	0.739158	0.90892935	0.92760223	0.8940036	0.9861604	0.9478991	0.98017395	0.9164561	0.9939984	0.9886293	0.9898593	0.82131916	0.99193454	0.9617387	0.92832714	0.9687495	0.902742	0.8116947	0.8715458	0.8900203	0.9918685	0.90907496	0.8446224	0.97397226	0.0	0.7781262	0.84743357	0.91524744	0.83004236	0.93002295	0.5836978	0.84712744	0.83282363	0.8443874	0.88744366	0.8163514	0.83202136	0.9922691	0.87842953	0.76016635	0.8990107	0.89515793	0.8509948	0.99052215	0.7276932
verschrikkelijk/adj	0.95130765	0.7288164	0.9186439	0.9014487	0.9368044	0.8464571	0.9563546	0.7856577	0.91316354	0.6977173	0.9526639	0.96791613	0.8562469	0.9649594	0.92034316	0.9028528	0.8079163	0.87425375	0.7091665	0.62829256	0.798226	0.70076233	0.7500782	0.60809153	0.93181485	0.8787598	0.88033235	0.86608475	0.88261867	0.7967844	0.96609414	0.90875876	0.8327625	0.9300125	0.7965888	0.76420414	0.5596555	0.7324618	0.92910963	0.71868587	0.9587682	0.8950588	0.9503804	0.90423787	0.90374887	0.7911375	0.8015062	0.88558406	0.8189947	0.8655756	0.83270204	0.95022225	0.98789513	0.85778815	0.89244443	0.86371106	0.89988685	0.8496018	0.93404293	0.72258633	0.9619757	0.8089408	0.91644835	0.9499234	0.67889386	0.74100477	0.541144	0.8992262	0.92209136	0.88678926	0.9594135	0.9224154	0.97428185	0.853337	0.97314525	0.77797544	0.9522506	0.8456019	0.8861841	0.87889224	0.9002147	0.85701644	0.9427476	0.82612634	0.93002087	0.87373483	0.8538667	0.8711252	0.8225129	0.87230265	0.7781262	0.0	0.9511813	0.95397407	0.922373	0.8363293	0.9618579	0.85777354	0.7494119	0.7114786	0.85192806	0.6519165	0.74116135	0.8959822	0.63463724	0.5972026	0.6231131	0.8241553	0.7962109	0.8592923	0.8032248
verslag/noun	0.9984554	0.8589939	0.95259833	0.960706	0.9363456	0.86923385	0.8027189	0.92194587	0.9287661	0.941845	0.9707618	0.98562205	0.7943431	1.0	0.9297877	0.8623582	0.75395495	1.0	0.8533044	0.68075323	0.58977354	1.0	0.954287	0.91067356	0.97697395	0.9525418	0.85310453	0.9889244	0.9300157	0.9454634	0.9297507	0.959727	0.8986624	0.9562435	0.8573514	0.8418909	0.6376716	0.88426507	0.99112236	0.9131991	1.0	0.96003723	1.0	0.942346	0.9801391	0.94326484	0.75602436	0.9995415	0.85347927	0.61388326	0.9769159	0.94453067	0.9382037	0.9016213	0.79327446	0.9357493	0.9908098	0.99335384	0.87225705	0.91650885	0.93454844	0.90777415	0.9520575	0.98013884	0.899982	0.77747893	0.9498454	0.9389821	0.95154834	0.5575012	0.98216826	0.9905012	1.0	0.9616892	1.0	0.9645633	1.0	0.8788363	0.9876824	0.8300621	0.98655874	0.9008781	0.94815433	0.71798086	0.90471697	0.979813	0.91375875	0.8557463	0.9708574	0.7958609	0.84743357	0.9511813	0.0	0.9371518	0.8936798	0.9861799	0.84972835	0.90000147	0.7915509	0.9238858	0.9223998	0.86282575	0.94085383	0.9284585	0.97161293	0.81514895	0.94994366	0.82992274	0.6198051	0.7884	0.7059145
vet/noun	0.17898178	0.93269235	0.83956915	0.95582515	0.71883297	0.84092426	0.8342909	0.7274382	0.45410597	0.83827126	0.43328577	0.20449626	0.6688578	0.51284385	0.46792066	0.72652423	0.85117495	0.6463164	0.72461563	0.8591906	0.93526274	0.9316323	0.84419596	0.93451905	0.97793704	0.66619503	0.9064042	0.66012335	0.5655258	0.54337597	0.5408207	0.59761465	0.8556976	0.4693122	0.9194991	0.8722712	0.9276823	0.6161655	0.64224356	0.9112029	0.3179869	0.49191612	0.2939515	0.3585329	0.60138905	0.9490067	0.86954385	0.936039	0.7135357	0.96192014	0.5797616	0.30673856	0.5151793	0.7717318	0.736102	0.6834991	0.7923085	0.7798132	0.78050953	0.9465977	0.85650873	0.8245472	0.26238614	0.20129877	0.95028037	0.9245316	0.7870952	0.3729927	0.24109924	0.9200099	0.29062843	0.26647234	0.28587574	0.7869007	0.843866	0.84520537	0.98242545	0.6928865	0.30977833	0.84733754	0.6912803	0.72558147	0.6161499	0.7785633	0.7056175	0.7122005	0.4909833	0.92395675	0.980844	0.9223526	0.91524744	0.95397407	0.9371518	0.0	0.8896367	0.68451524	0.7382465	0.3685258	0.53176904	0.69889724	0.4225858	0.84955406	0.7885317	0.93060505	0.5906116	0.9717501	0.83772796	0.9288364	0.9013274	0.8894785	0.77319324
vlam/adj	0.9288973	0.83119076	0.8008449	0.84230167	0.8393386	0.78265774	0.69775975	0.8872341	0.87727255	0.6718952	0.87908006	0.7990536	0.55510557	0.9114664	0.87453425	0.89246565	0.8817859	0.83248895	0.7673367	0.9212934	0.95403385	0.88967025	0.8192445	0.9001534	0.8971268	0.8815427	0.92376125	0.9262597	0.85121644	0.67676234	0.87396646	0.94069815	0.9163129	0.827584	0.75055045	0.805496	0.87859106	0.7641234	0.7697424	0.80162835	0.9307813	0.8788878	0.9118006	0.883904	0.883355	0.8316304	0.65092885	0.94258	0.56664616	0.9291955	0.80864286	0.8893675	0.8926319	0.6106341	0.70616484	0.9541242	0.90289515	0.7522886	0.76182896	0.93361616	0.94859195	0.89260244	0.7781236	0.88089675	0.94700015	0.87542945	0.95790094	0.8622478	0.8548391	0.9335283	0.87615776	0.91032517	0.9584878	0.8996941	0.87913734	0.9406962	0.99936795	0.767653	0.887647	0.9416023	0.9172081	0.90100205	0.8846974	0.70974994	0.8756588	0.8589035	0.89014953	0.9245739	0.9851933	0.80667573	0.83004236	0.922373	0.8936798	0.8896367	0.0	0.82630783	0.75524294	0.8584179	0.7435491	0.8088424	0.6683684	0.6204752	0.54888165	0.77858573	0.9122066	0.93899804	0.9778275	0.5700296	0.70388794	0.7845983	0.5120621
vlek/noun	0.69143033	0.8978706	0.9035798	0.7888111	0.75961965	0.7148894	0.9482414	0.82933325	0.8072356	0.8174321	0.8245777	0.742319	0.74381995	0.7764813	0.65782034	0.8097116	0.80997944	0.66481125	0.67560613	0.7534674	0.9080229	0.9470037	0.7613636	0.8169643	0.97273135	0.7003701	0.8699181	0.70197964	0.5456724	0.58530176	0.8965874	0.7201993	0.96146953	0.7436149	0.86323375	0.79876	0.71963066	0.7685676	0.8284945	0.8147678	0.76087	0.6167431	0.7535968	0.81447756	0.5902677	0.8099196	0.89792734	0.9509149	0.62865245	0.9770696	0.8438773	0.60608476	0.86932606	0.70550644	0.8430106	0.83997864	0.7292455	0.8801383	0.93173933	0.94385976	0.96686697	0.81009984	0.70393884	0.7629496	0.7844936	0.96315235	0.7855278	0.7562604	0.7814322	0.81568545	0.7159173	0.69150066	0.7794146	0.83284044	0.96888614	0.912948	0.88696486	0.8299178	0.7198111	0.86502385	0.6834421	0.8668277	0.83592343	0.76216024	0.9290171	0.7645169	0.5709801	0.65045583	0.95784867	0.89876163	0.93002295	0.8363293	0.9861799	0.68451524	0.82630783	0.0	0.83630043	0.8537722	0.66053903	0.7760014	0.5521672	0.8076578	0.69816643	0.79822224	0.75388724	0.81143755	0.8630229	0.85139716	0.7576422	0.85907733	0.68808305
voorwerp/noun	0.7615535	0.95651925	0.86802757	0.9837842	0.6915794	0.7236251	0.66882145	0.72954684	0.9781888	0.88760537	0.7331232	0.81881195	0.54309666	0.92604595	0.7272277	0.92515194	0.8527676	0.9093585	0.84773207	0.9211122	0.94609797	0.85742176	0.8917448	0.95863366	0.99262977	0.7486298	0.94559556	0.6707252	0.6991907	0.70201075	0.7245817	0.7037922	0.61317104	0.76272357	0.94905895	0.7026688	0.794797	0.5880573	0.94403255	0.89800996	0.82110184	0.72443163	0.9496991	0.67409956	0.80588645	0.8335315	0.64646053	1.0	0.74482423	0.999534	0.95423263	0.84374285	0.5860528	0.7503232	0.7412565	0.97054404	0.8226651	0.9392482	0.6510119	0.9807232	0.7049875	0.9403416	0.7620761	0.8797688	0.99039805	0.6220944	0.81606746	0.6642401	0.7569304	0.9476977	0.7761122	0.7826438	0.92716974	0.64766645	0.9367898	0.9963133	0.9902192	0.6620891	0.78341925	0.922622	0.7893056	0.9548361	0.74114573	0.7206274	0.511505	0.9094684	0.7567592	0.917083	0.9941289	0.8793942	0.5836978	0.9618579	0.84972835	0.7382465	0.75524294	0.83630043	0.0	0.7531027	0.7861448	0.93395853	0.7278944	0.9028084	0.83580476	0.8602567	0.7993536	0.95670974	0.9745336	0.8634105	0.7710392	0.9264671	0.5688287
vuur/noun	0.34995997	0.9838248	0.8814588	0.91006386	0.5661669	0.750582	0.6765679	0.696509	0.598004	0.7493123	0.6142072	0.32961816	0.46937197	0.67647994	0.6530973	0.7699941	0.76923317	0.70010227	0.81023157	0.9041462	0.9184481	0.9507488	0.77607703	0.81409997	0.9289465	0.4700815	0.80977035	0.6711253	0.6253917	0.42627764	0.47136158	0.5452667	0.8556428	0.7347724	0.66080785	0.7474097	0.915347	0.4512285	0.48469388	0.85641783	0.39613515	0.7115829	0.40014714	0.25147593	0.7689296	0.8984983	0.74551684	0.98937786	0.6221713	0.9684627	0.42203826	0.56282216	0.53054476	0.69978964	0.6947744	0.82930446	0.8601639	0.7966263	0.5840093	0.97684324	0.91247946	0.9216505	0.2722596	0.39524454	0.8097891	0.8640985	0.92532456	0.273862	0.30098045	0.9617101	0.5579307	0.5474404	0.40893716	0.7565757	0.6862903	0.76543474	0.9928091	0.5979142	0.5131799	0.8945378	0.79916555	0.83410484	0.4868285	0.7016177	0.6334473	0.8053536	0.67035687	0.99037004	0.9936586	0.9396214	0.84712744	0.85777354	0.90000147	0.3685258	0.8584179	0.8537722	0.7531027	0.0	0.50498766	0.7321758	0.42390692	0.7559816	0.6163388	0.85734534	0.65040433	0.8994242	0.90238047	0.89602005	0.8729311	0.8358903	0.65798926
