	Adriaens/name	Armstrong/name	Bangoura/noun	Baouf/name	Bouma/name	Claeys/name	Cliteur/name	Crasson/noun	De/name	Dirk/name	Gino/name	Hugo/name	Kanu/name	Koller/name	Kristof/name	Ma/name	Marion/name	Mestdagh/name	Mike/name	Mpenza/name	Mutavdzic/name	Pasanen/name	Penders/name	Rossi/name	Ruth/name	Stijn/name	Thomas/name	Van/name	Vereecke/name	Vermant/name	White/name	aan/prep	achter/adv	achter/prep	af/adv	al/comp	alles/noun	alsof/comp	alweer/adv	arm/adj	arm/noun	auto/noun	beeld/noun	beetje/noun	beide/pron	beneden/adv	beugel/noun	bijvoorbeeld/adv	blik/noun	brom_fietser/noun	component/noun	daardoor/pp	daarin/pp	daarop/pp	dan/adv	demonstratief/adj	design/noun	deur/noun	die/det	dief/noun	dimensie/noun	donderdag_morgen/noun	door/comp	door/prep	duim/noun	echter/adv	eindeloos/adj	en/vg	energiek/adj	er/adv	ergens/adv	fiets/noun	fietser/noun	foutief/adj	gaandeweg/adv	gedachte/noun	gek/noun	geluid/noun	gemeente_personeel/noun	getrokken/adj	gewoon/adj	graag/adj	h/noun	halfweg/prep	hand/noun	harnas/noun	hij/pron	ideaal/adj	iedereen/pron	iemand/noun	ik/pron	immers/adv	in/prep	ineen/pp	je/pron	kar/noun	ketting/noun	klassieker/noun	kwartier/noun	laat/adj	langzaam/adj	leverancier/noun	licht/adj	lijf_DIM/noun	me/pron	men/pron	met/prep	meteen/adv	mij/pron	minuut/noun	naam/noun	naar/adj	naar/prep	nadrukkelijk/adj	nog/adv	of/comp	of/vg	om/prep	oma/noun	onderaan/adv	onhandig/adj	oog/noun	opnieuw/adv	outfit/noun	poot_DIM/noun	punt/noun	pyjama/noun	rechter_been/noun	regisseur/noun	renner/noun	rugzak/noun	schrijver/noun	sjaal_DIM/noun	sluimer/adj	snel/adj	soms/adv	song/noun	stuk/adv	stuur/noun	systeem/noun	tas/noun	tegenstander/noun	telkens/adv	ter/prep	terwijl/comp	tijd/noun	toen/adv	toen/comp	touw_DIM/noun	traditioneel/adj	trein/noun	trein_DIM/noun	twee/num	uitblinker/noun	vervolgens/adv	vinger/noun	voertuig/noun	voet/noun	volk/noun	wagen/noun	wagen_DIM/noun	wagon_DIM/noun	wetswijziging/noun	wielertoeristen/noun	wolk/noun	zak_DIM/noun	zakdoek/noun	ze/pron	zich/pron	zo/adv	zodat/comp	zodra/comp	zondag_avond/noun	zuiver/adj	zweet/adj
bijvoorbeeld/adv	0.97436285	0.92291886	0.9679671	0.9626126	0.941517	0.9164615	0.9435743	0.9848359	0.91857576	0.85992205	0.93511355	0.87740594	0.9569785	0.9437242	0.92406857	0.9073232	0.91628945	0.9631768	0.9099669	0.9522871	0.97934514	0.97144574	0.96713144	0.9312331	0.92099106	0.88839585	0.8807266	0.95560336	0.95885	0.9543641	0.89959216	0.7409549	0.8631511	0.85241234	0.7978332	0.8390384	0.8308716	0.7702733	0.8520903	0.7771674	0.8346352	0.795321	0.75654525	0.81087047	0.81161565	0.8384939	0.9083671	0.0	0.80301976	0.9371318	0.75640637	0.6539946	0.6966038	0.749264	0.8025714	0.9078524	0.7978426	0.84491277	0.7373444	0.84352565	0.8338421	0.9322436	0.6414543	0.7217287	0.89720815	0.82475734	0.7867913	0.48110628	0.88800323	0.808429	0.7868991	0.82699263	0.8847722	0.8641831	0.86329645	0.80612457	0.8800233	0.7780906	0.9009112	0.91182095	0.69405854	0.7874301	0.8852837	0.9276543	0.8424598	0.9352136	0.83945274	0.7585274	0.81992924	0.746478	0.8719101	0.66905737	0.79541206	0.8915552	0.75238216	0.892135	0.8638299	0.8515501	0.88949466	0.89949936	0.7672519	0.6940471	0.71969926	0.9443511	0.8946353	0.7328702	0.6210397	0.84021235	0.8804792	0.8907542	0.8180227	0.7809428	0.8379574	0.7908913	0.8967775	0.7329799	0.4142468	0.8335331	0.85394406	0.88668287	0.86645955	0.85423493	0.8487994	0.8992213	0.8953006	0.94128674	0.9225415	0.92239815	0.8653151	0.8837866	0.8627643	0.8422892	0.9089802	0.90792143	0.80147433	0.72331756	0.8554873	0.79231423	0.85019076	0.6997936	0.82332015	0.87260437	0.779867	0.7936598	0.6931276	0.8629948	0.83457494	0.86036754	0.9140262	0.6558682	0.82857764	0.9215547	0.7940989	0.9455592	0.69203866	0.8502954	0.833439	0.843615	0.8530177	0.8361754	0.9033319	0.96424943	0.8821834	0.95472795	0.86986136	0.76516366	0.9023651	0.77021766	0.87904525	0.829447	0.6300997	0.73837817	0.8932791	0.74635714	0.94091463
blik/noun	0.96211666	0.84895724	0.95330787	0.9781152	0.9395245	0.93561536	0.92046463	0.9728657	0.9624742	0.8681443	0.90765417	0.85363626	0.9640468	0.9280653	0.93964714	0.9055353	0.91860783	0.92840487	0.87523216	0.90452427	0.9583396	0.96996135	0.93874973	0.92225444	0.9018393	0.9011779	0.8459741	0.94693136	0.94224036	0.9495338	0.89685863	0.88946664	0.8241793	0.7532171	0.6994389	0.819649	0.7917893	0.64018184	0.81843	0.822762	0.68474984	0.83208805	0.6577457	0.69236064	0.78789276	0.7476922	0.861248	0.80301976	0.0	0.9413337	0.9175977	0.8192165	0.7826774	0.784737	0.81467617	0.86213833	0.8358527	0.7867683	0.780751	0.855983	0.8743656	0.92232424	0.7918907	0.7463082	0.8055241	0.840727	0.7606968	0.6140286	0.798334	0.8846481	0.76899886	0.83079255	0.8510157	0.9376095	0.79116225	0.7322442	0.85767967	0.6939082	0.9487637	0.8596786	0.822783	0.83062065	0.9037478	0.9179616	0.72039735	0.8456105	0.74750435	0.8298869	0.800048	0.77299356	0.8302305	0.848517	0.8491659	0.8664244	0.75882024	0.840276	0.8494911	0.8575795	0.8640116	0.91301394	0.72047186	0.90171915	0.70042706	0.8788933	0.7887767	0.77917075	0.702169	0.839811	0.81345665	0.8648087	0.8767881	0.74732244	0.811326	0.8166093	0.91890466	0.87379295	0.6861728	0.8645766	0.83403623	0.89039457	0.7958399	0.5353892	0.8704438	0.85705006	0.8378965	0.93794525	0.88071173	0.89762366	0.8076116	0.87734926	0.8283161	0.820719	0.86136246	0.89648044	0.8542464	0.61176115	0.7827728	0.8279506	0.83728355	0.89306474	0.78618276	0.8271875	0.7971134	0.8702254	0.6609401	0.8770534	0.8319159	0.8170317	0.86514676	0.80851674	0.8574834	0.91614795	0.8660685	0.8836185	0.725391	0.7058702	0.8772189	0.77246505	0.81458646	0.8589735	0.87806535	0.94970983	0.9439713	0.9377046	0.7807087	0.79661214	0.8679641	0.73181415	0.8098866	0.7349592	0.77251804	0.7975338	0.8750266	0.811513	0.8534331
brom_fietser/noun	0.96386063	0.94967514	0.9614935	0.96744746	0.9649132	0.95959926	0.9829988	0.9531485	0.9767526	0.9484	0.958921	0.9651479	0.95312387	0.95679015	0.9148258	0.97430134	0.9465099	0.9643831	0.9590691	0.9636569	0.9179299	0.9611101	0.93221486	0.92478824	0.9713803	0.94571495	0.962281	0.9766258	0.9733042	0.94792664	0.97416925	0.9359553	0.90130347	0.91488993	0.919852	0.95514536	0.95785886	0.9300799	0.9249503	0.9528573	0.9055217	0.6721041	0.9681617	0.9396068	0.87628484	0.9004589	0.90871096	0.9371318	0.9413337	0.0	0.96614015	0.90926963	0.93867594	0.89133203	0.9331248	0.9529147	0.9588597	0.93786925	0.94030625	0.80572987	0.9691337	0.7914896	0.90986013	0.87698185	0.94270754	0.93757766	0.9615935	0.8714147	0.96251124	0.92076194	0.9351118	0.76573104	0.53983164	0.88442916	0.9485498	0.96330225	0.9367259	0.948995	0.9021429	0.861102	0.9280517	0.96471083	0.95081955	0.93931925	0.9088971	0.9293555	0.88425666	0.9407628	0.9331707	0.90649724	0.9526161	0.9339708	0.9391529	0.93682694	0.930579	0.8951497	0.91841197	0.9722393	0.9328615	0.9408046	0.9118037	0.9251728	0.8420894	0.9635037	0.9258846	0.9461394	0.8949534	0.91325945	0.93582314	0.9344454	0.97948885	0.9432628	0.9097494	0.9669996	0.95910954	0.94906247	0.8880776	0.91570747	0.95422447	0.9405408	0.915012	0.9497687	0.940528	0.94229984	0.95196	0.9584254	0.9623968	0.89500344	0.9656954	0.89546	0.8657458	0.9721944	0.9509275	0.9617611	0.8769375	0.91673297	0.97980744	0.93573654	0.76007164	0.9432238	0.9023434	0.93362856	0.8981852	0.8101164	0.90083647	0.9709769	0.89680636	0.8212966	0.96184534	0.95724463	0.8378991	0.9131046	0.819856	0.95540315	0.870853	0.9436582	0.64766705	0.92464083	0.9626543	0.66629386	0.8490099	0.9424564	0.94552267	0.7727611	0.9601847	0.9535326	0.95242304	0.8868666	0.9462512	0.9557763	0.8647522	0.9163438	0.806195	0.9684576	0.9419172
component/noun	0.96807903	0.9497404	0.9685854	0.952973	0.93000734	0.9529369	0.9358343	0.9644297	0.9708583	0.9458085	0.9447496	0.9330594	0.9626487	0.93540955	0.96044266	0.94885075	0.9401197	0.95140296	0.9422686	0.94471127	0.9737311	0.9753427	0.95994216	0.9449275	0.9637139	0.9572977	0.94735485	0.9724954	0.95218045	0.95887196	0.93695277	0.89895314	0.9124115	0.93425274	0.90794456	0.90258217	0.91683507	0.8949713	0.9276277	0.9210656	0.9352589	0.8613731	0.8464926	0.91374147	0.8857962	0.93314093	0.9279293	0.75640637	0.9175977	0.96614015	0.0	0.81754726	0.8201536	0.92081314	0.94222176	0.94438756	0.8330127	0.9452564	0.8452694	0.93491966	0.77122885	0.95392376	0.8122366	0.8654391	0.9384783	0.88914156	0.90332067	0.7654265	0.9178225	0.9188683	0.92227846	0.90928435	0.94720143	0.91845876	0.8920568	0.88240045	0.94925356	0.8413069	0.919778	0.90920675	0.8950716	0.9172826	0.94436544	0.93536615	0.94001424	0.927914	0.9420325	0.8976322	0.9349288	0.93391544	0.9674208	0.8281818	0.89476514	0.9043127	0.9086331	0.92415035	0.92781967	0.9161098	0.93753815	0.95651877	0.8863559	0.75088954	0.86524224	0.9163688	0.9632834	0.8871678	0.8388678	0.9441252	0.9387792	0.9419257	0.92856306	0.8728721	0.9374955	0.91177106	0.9278682	0.89256644	0.8068801	0.9042152	0.92644596	0.90230536	0.9164817	0.92700547	0.9204874	0.93026245	0.9014309	0.92727077	0.9630722	0.9665338	0.90175503	0.93883985	0.91331774	0.9212923	0.9634364	0.89644426	0.88628185	0.86362	0.8797738	0.87190455	0.9170464	0.77435315	0.9174128	0.9268096	0.91848844	0.9053764	0.8835812	0.95146745	0.9584107	0.96378046	0.9470612	0.83518636	0.91988516	0.93539476	0.90417427	0.9397062	0.8703173	0.9377846	0.89849436	0.9468565	0.9239518	0.90126246	0.9277457	0.93761677	0.92433643	0.95623696	0.9029903	0.87171406	0.94464904	0.91535306	0.95031124	0.89845383	0.8034173	0.85515493	0.95223635	0.8084506	0.95532787
daardoor/pp	0.92566854	0.8669143	0.9141741	0.9263656	0.87114006	0.90293175	0.9521882	0.9175739	0.9418043	0.8783066	0.88599116	0.87624174	0.8930998	0.8946215	0.87682456	0.92670083	0.89887094	0.92144847	0.90339386	0.87625295	0.9229965	0.9356933	0.92228234	0.91029745	0.9293444	0.8693598	0.8854597	0.91521263	0.9269933	0.8845897	0.9071587	0.7825563	0.8275851	0.85948795	0.7957905	0.7525166	0.7932751	0.7735932	0.7791964	0.79523385	0.8185663	0.77771115	0.7803334	0.75404	0.759621	0.78311336	0.89926565	0.6539946	0.8192165	0.90926963	0.81754726	0.0	0.78936034	0.7762582	0.71384406	0.9316273	0.8772778	0.83348715	0.67994165	0.85176814	0.8397778	0.91194695	0.58077395	0.6559955	0.8894054	0.67216134	0.82904255	0.62657446	0.8691737	0.7867533	0.8210001	0.8111754	0.80718756	0.8676032	0.786345	0.81750745	0.86400855	0.7884682	0.9149549	0.9016483	0.7689248	0.88160944	0.8904153	0.8448143	0.8624046	0.93298745	0.8115668	0.7943548	0.8034135	0.7874542	0.858171	0.5788273	0.79917586	0.8822265	0.7728511	0.8962164	0.86443657	0.89491946	0.83224475	0.8500664	0.6744962	0.78092015	0.6960331	0.92569107	0.86388326	0.7524615	0.75185907	0.7814291	0.86524516	0.84544396	0.8953823	0.7670729	0.8227836	0.81181604	0.7853338	0.8149954	0.6865865	0.8576951	0.9041077	0.82255435	0.85649234	0.8196802	0.7146653	0.932534	0.89472264	0.83081824	0.9503486	0.8677922	0.8780288	0.8124432	0.9073716	0.8946074	0.94699293	0.8759201	0.6502056	0.7060703	0.8374648	0.83536536	0.86056036	0.69757515	0.8991125	0.8084276	0.7730098	0.81634617	0.66949666	0.8207388	0.802142	0.7941577	0.90009236	0.79704964	0.8045312	0.91581506	0.813216	0.8779372	0.68444943	0.8274815	0.7919191	0.8116269	0.8648525	0.77972305	0.89422053	0.94248307	0.8894236	0.92596483	0.8238886	0.8709622	0.9350927	0.7688763	0.83587116	0.71433187	0.4876986	0.6883317	0.84624106	0.80296683	0.93516
daarin/pp	0.94514006	0.85697496	0.95662105	0.95818174	0.9229882	0.8996268	0.8884347	0.9634807	0.9163929	0.8503554	0.8961976	0.8358057	0.9484445	0.904904	0.9166519	0.9186219	0.90466404	0.93099254	0.88260865	0.9302025	0.97329354	0.95958763	0.95049953	0.9137962	0.893244	0.89247316	0.8179456	0.9081057	0.9256605	0.9474576	0.8725221	0.8288035	0.87155735	0.827446	0.8069053	0.79422283	0.81475747	0.7661456	0.8159882	0.85412365	0.8298279	0.8590122	0.73070765	0.8149953	0.7787427	0.8380536	0.9307798	0.6966038	0.7826774	0.93867594	0.8201536	0.78936034	0.0	0.73967123	0.8293412	0.9268053	0.83192396	0.8373511	0.6878932	0.8526547	0.8354722	0.9293794	0.7123871	0.75446737	0.885286	0.7691147	0.8105575	0.65027905	0.8728297	0.8201375	0.8010552	0.84799784	0.89516115	0.8744737	0.82142675	0.79134065	0.89392	0.79731584	0.9003803	0.8761503	0.8083326	0.81398416	0.8898619	0.8779272	0.8347473	0.901886	0.7741817	0.82573235	0.8400351	0.80908036	0.88060087	0.73405445	0.7223255	0.89646834	0.81387866	0.8844079	0.85866106	0.8340353	0.863514	0.8660001	0.7900813	0.8241929	0.7949726	0.9307365	0.87924016	0.7613705	0.71435165	0.81714994	0.8174738	0.8654707	0.7980372	0.8041454	0.86582875	0.7816814	0.88100797	0.8222195	0.68222725	0.84846425	0.8661865	0.85872805	0.83327115	0.8275164	0.82953167	0.9041239	0.8746001	0.8821623	0.8949851	0.9557614	0.81551737	0.8476732	0.8606022	0.7692495	0.92158437	0.9058792	0.85300934	0.74500024	0.8133589	0.7844677	0.8902664	0.7808295	0.7932822	0.81622964	0.72759223	0.8395761	0.76011133	0.87219083	0.83676475	0.8603861	0.87622994	0.7590146	0.88057554	0.92766976	0.791437	0.90489954	0.70866513	0.8388829	0.86202615	0.85090065	0.85150754	0.8611455	0.90622556	0.9572443	0.88573045	0.9428159	0.85947114	0.7829275	0.9026055	0.76617074	0.8356799	0.7886676	0.72429377	0.78016555	0.8729317	0.80069137	0.89347637
daarop/pp	0.9536808	0.8603002	0.9281694	0.93866736	0.89490354	0.8891932	0.93253124	0.9686395	0.907659	0.86100185	0.9009642	0.863542	0.93276674	0.90461254	0.9027781	0.941553	0.91431224	0.9501811	0.8893964	0.8960472	0.96799225	0.9642904	0.93055683	0.9279417	0.9063227	0.8958027	0.86908394	0.8820638	0.94772863	0.9394447	0.8883407	0.8564279	0.82659197	0.8120537	0.81252754	0.8370487	0.8345971	0.7682543	0.77540374	0.8367092	0.76690614	0.7826855	0.7797862	0.8409483	0.765564	0.7793804	0.9129418	0.749264	0.784737	0.89133203	0.92081314	0.7762582	0.73967123	0.0	0.75890005	0.8596818	0.8923786	0.75389445	0.7705932	0.76839006	0.9023355	0.85852677	0.7253245	0.7245544	0.871224	0.7738862	0.7994134	0.67079484	0.911732	0.8092444	0.79184127	0.8226322	0.85514295	0.8237959	0.8655109	0.85105157	0.87853765	0.80415344	0.92597044	0.85767865	0.7931137	0.8413467	0.8898128	0.8690618	0.7510106	0.91225404	0.7268242	0.86395323	0.8351944	0.76650816	0.85577416	0.7693671	0.822765	0.87678206	0.8151071	0.87667865	0.8115823	0.87852585	0.79078466	0.79807013	0.7855652	0.8565951	0.7978619	0.899072	0.8471656	0.76514184	0.6945495	0.67897594	0.85431534	0.8184084	0.77615595	0.83260846	0.82848173	0.8109089	0.88160866	0.7799024	0.6796484	0.858998	0.8574718	0.8639718	0.8570616	0.80255187	0.7383319	0.9032925	0.8605672	0.8949858	0.89243126	0.89629954	0.88835144	0.8433157	0.82726073	0.87392056	0.9155821	0.9093524	0.786994	0.77862716	0.88068444	0.8191066	0.8326215	0.8373142	0.77777565	0.8055849	0.7093043	0.7735803	0.7012814	0.8883306	0.7126817	0.65910614	0.8826879	0.8050315	0.83155906	0.9231473	0.74844086	0.8961992	0.5960735	0.822672	0.7895766	0.8104823	0.85338384	0.7850753	0.8939638	0.95216614	0.87229145	0.9390147	0.86020017	0.8003586	0.88294613	0.6972208	0.8254213	0.8471291	0.68649614	0.72471964	0.8075765	0.8648091	0.8971538
dan/adv	0.92722976	0.86946714	0.9077076	0.9621336	0.9237081	0.89444506	0.9201242	0.9566899	0.9622644	0.88386	0.9243679	0.871065	0.9055191	0.8787646	0.8954556	0.9314455	0.92787594	0.9255636	0.9074358	0.849697	0.9506973	0.921275	0.93429345	0.9223664	0.92272687	0.87980545	0.90552926	0.92191964	0.924844	0.90090424	0.9366749	0.87891614	0.8517354	0.8481782	0.6745517	0.6392569	0.6997113	0.68536234	0.7145418	0.8453232	0.8255539	0.8678502	0.8757336	0.6790972	0.8273202	0.80430996	0.91119534	0.8025714	0.81467617	0.9331248	0.94222176	0.71384406	0.8293412	0.75890005	0.0	0.8914496	0.9211191	0.79220206	0.68803287	0.8777267	0.9223235	0.89957416	0.69641006	0.8485936	0.889953	0.6905419	0.79527766	0.7751421	0.91427356	0.69914067	0.7380659	0.8411593	0.8855407	0.89571285	0.8224762	0.7983926	0.85096675	0.8398987	0.9156761	0.91559285	0.6137762	0.73921525	0.9007666	0.82735026	0.8247955	0.9345751	0.64574444	0.87651366	0.6444826	0.63264066	0.5176937	0.7215303	0.89820457	0.9094746	0.46643615	0.91281414	0.894844	0.90122795	0.7476296	0.76618963	0.7395716	0.885853	0.84348506	0.96639913	0.6739394	0.6382694	0.8282804	0.64082295	0.6631861	0.74954176	0.8955341	0.77110773	0.82334626	0.83230996	0.6872024	0.65601885	0.72928476	0.8365669	0.8205776	0.8586168	0.8501844	0.8004813	0.7356803	0.9140966	0.85588944	0.86342645	0.90112555	0.92541516	0.90825677	0.84837717	0.8820201	0.90003777	0.9371007	0.9221587	0.70122933	0.6867706	0.8506009	0.893852	0.8590454	0.84644824	0.83524513	0.82524073	0.7121568	0.8828938	0.68063897	0.7964044	0.6401981	0.67716414	0.8972742	0.87448364	0.85970867	0.90230095	0.89437026	0.9141281	0.6448082	0.8211832	0.9131963	0.8464048	0.8582622	0.88836527	0.91152334	0.9249179	0.9147358	0.9115518	0.84755325	0.88118947	0.90747774	0.5065234	0.8335454	0.6984797	0.6752665	0.64421755	0.83794415	0.8723325	0.92440724
demonstratief/adj	0.96775496	0.92754275	0.9523188	0.94771653	0.9361893	0.96449107	0.9368915	0.9428431	0.9628612	0.93951136	0.92818105	0.9276096	0.93572253	0.9175935	0.9557435	0.9319503	0.91924	0.96026987	0.92882353	0.94362986	0.96135193	0.94250214	0.9585767	0.93144697	0.9453895	0.9529992	0.9392341	0.95840377	0.92545724	0.92541254	0.93772596	0.90406257	0.88422	0.8759628	0.8839827	0.9350514	0.927778	0.85196394	0.8819942	0.91141564	0.86101454	0.91562635	0.9323622	0.93029946	0.8952378	0.88526183	0.9268006	0.9078524	0.86213833	0.9529147	0.94438756	0.9316273	0.9268053	0.8596818	0.8914496	0.0	0.96135896	0.89415675	0.88282514	0.91450834	0.94659305	0.89276075	0.8833853	0.88441813	0.8979267	0.9092402	0.8943467	0.83572733	0.90396607	0.90152466	0.90140516	0.9092125	0.91102064	0.90944046	0.9345354	0.9282819	0.9163424	0.92256624	0.9457591	0.8521062	0.88131595	0.8848376	0.9315889	0.9016808	0.8227976	0.9174223	0.8578761	0.9390556	0.90844315	0.873128	0.897048	0.92162573	0.88308215	0.9219261	0.87603647	0.8933563	0.8747343	0.943196	0.8931515	0.9163989	0.91736066	0.9344068	0.9258496	0.9081226	0.9095825	0.9115044	0.8256944	0.8768954	0.9155345	0.9218332	0.9255173	0.9150727	0.9112892	0.8959428	0.94001174	0.9249297	0.85848385	0.91151476	0.8868241	0.9017823	0.8941004	0.9030356	0.9066915	0.8847027	0.88967574	0.9594667	0.8577284	0.92009264	0.94770795	0.90943927	0.86721426	0.9382956	0.86823094	0.90805197	0.9277119	0.9099672	0.9313832	0.9286809	0.91988105	0.9647829	0.8398274	0.90398663	0.90051293	0.9056527	0.8292346	0.9474875	0.88850987	0.8599701	0.89241326	0.8865484	0.9293769	0.907183	0.8699881	0.95208	0.8392888	0.86396986	0.9354852	0.8748575	0.870317	0.9187547	0.9180596	0.939632	0.9271072	0.9221665	0.915775	0.880454	0.87129074	0.8260129	0.9048728	0.94465727	0.8849732	0.8854428	0.8916661	0.934072	0.872684
design/noun	0.9488729	0.9157713	0.9546389	0.9775623	0.94796664	0.93109703	0.93263936	0.9742017	0.946174	0.9287763	0.95485663	0.88579285	0.9650102	0.9200046	0.9372617	0.9264807	0.93625146	0.94334674	0.92624927	0.9285898	0.97181076	0.963332	0.9527479	0.9087038	0.93853015	0.941052	0.87873805	0.94827425	0.9667167	0.94575894	0.85824513	0.88876075	0.8882948	0.8826638	0.8614102	0.8611922	0.868706	0.81724465	0.87914044	0.91777647	0.887257	0.82176787	0.78129894	0.8361919	0.8769647	0.89346594	0.90355825	0.7978426	0.8358527	0.9588597	0.8330127	0.8772778	0.83192396	0.8923786	0.9211191	0.96135896	0.0	0.8898931	0.85971224	0.9256457	0.8406826	0.9531128	0.85543764	0.8814079	0.92113215	0.9138076	0.86363786	0.70317316	0.84302104	0.93757707	0.88456	0.84215534	0.93581444	0.9499241	0.8723734	0.8593615	0.92970335	0.82570916	0.92770976	0.9087677	0.86397773	0.8748173	0.89720464	0.918388	0.9190665	0.9229797	0.9040785	0.8405225	0.90000844	0.9092388	0.9204391	0.8558753	0.8645351	0.8793886	0.8485244	0.91524625	0.8991888	0.8402082	0.92789304	0.9425869	0.8775517	0.8552835	0.84002674	0.9075762	0.90897954	0.8827303	0.7985936	0.9013104	0.90235347	0.9360883	0.88459426	0.8349674	0.9058687	0.83181036	0.93587565	0.9280827	0.80123854	0.9021105	0.88281167	0.91439235	0.88675153	0.8757338	0.8908168	0.83092403	0.89377856	0.9519301	0.93570596	0.9706541	0.8427999	0.93257505	0.8624338	0.8592611	0.92260826	0.9350377	0.8924739	0.8111983	0.8099548	0.86042565	0.8934484	0.821421	0.8429268	0.9229671	0.8765948	0.9215838	0.8539411	0.911914	0.8932481	0.9313759	0.92490184	0.7916401	0.934215	0.93059665	0.9098152	0.8987184	0.8959127	0.9100259	0.9054616	0.9229869	0.89957845	0.8901869	0.85950327	0.9613291	0.9547482	0.9541873	0.8908517	0.8757076	0.9332764	0.89253545	0.92603624	0.8205323	0.83940816	0.8784124	0.93755674	0.7937293	0.9169199
deur/noun	0.9824026	0.9265663	0.9313253	0.9707014	0.96505487	0.9261849	0.9555507	0.9874686	0.91796255	0.914358	0.95744425	0.9278459	0.96652734	0.9313478	0.9504104	0.9513201	0.95902485	0.95699126	0.9385495	0.9554425	0.986183	0.9881559	0.9470622	0.94556105	0.9639252	0.9136102	0.93825877	0.97221345	0.9475114	0.9636228	0.9211594	0.8830909	0.7856	0.6808363	0.8081128	0.8992127	0.8488276	0.7843653	0.811756	0.8845841	0.8070419	0.68510354	0.8594183	0.8750501	0.89015895	0.74388057	0.9224724	0.84491277	0.7867683	0.93786925	0.9452564	0.83348715	0.8373511	0.75389445	0.79220206	0.89415675	0.8898931	0.0	0.8734528	0.65254337	0.9569521	0.82352626	0.8330065	0.80211675	0.90707666	0.88669825	0.87491107	0.73480415	0.947636	0.8316144	0.7743477	0.79575753	0.88297	0.94380873	0.9097726	0.9060032	0.88841915	0.84056634	0.9418155	0.8698456	0.78874314	0.8872641	0.8863526	0.8988582	0.8246615	0.90324855	0.86108536	0.8821085	0.8531105	0.82102907	0.89299786	0.84626776	0.786765	0.923487	0.82778096	0.88576466	0.8135121	0.94559675	0.85379237	0.88489	0.8387884	0.89185107	0.85245275	0.9470818	0.88861406	0.86292744	0.77597934	0.77981097	0.89180803	0.8834443	0.8940757	0.84471965	0.8176641	0.89746857	0.90910685	0.8997727	0.7588051	0.86434346	0.8813203	0.8736297	0.8866439	0.7874162	0.8131156	0.9338506	0.8317769	0.955231	0.88769513	0.93565327	0.93453246	0.9142466	0.8161049	0.9321573	0.9288183	0.96295154	0.86217546	0.8408593	0.9333259	0.8614408	0.77885234	0.87114704	0.752812	0.89997715	0.7803394	0.81604934	0.776541	0.93741816	0.8054719	0.7537103	0.9016253	0.8696608	0.75987947	0.903729	0.79418325	0.9594742	0.701108	0.8512727	0.76554	0.8137394	0.9157028	0.7059138	0.9136122	0.95152766	0.9620812	0.97216314	0.8741201	0.86941	0.9161928	0.7603188	0.9003205	0.8924364	0.7163207	0.7621217	0.8460452	0.93686545	0.9165918
die/det	0.917889	0.83707243	0.9258943	0.93437684	0.902609	0.89892113	0.8740871	0.9680064	0.9570384	0.9064478	0.9016531	0.85486066	0.92917675	0.8700322	0.90086275	0.9007874	0.8977204	0.91856015	0.89956486	0.8599535	0.9375437	0.9451672	0.9250827	0.90053266	0.8865737	0.88604	0.8905277	0.9459767	0.9071878	0.8973337	0.8802755	0.7623861	0.8477589	0.7998194	0.7797284	0.677555	0.71824276	0.72484493	0.7662481	0.82219255	0.8270205	0.8678842	0.7338928	0.7362173	0.76900613	0.8305733	0.8942842	0.7373444	0.780751	0.94030625	0.8452694	0.67994165	0.6878932	0.7705932	0.68803287	0.88282514	0.85971224	0.8734528	0.0	0.88717645	0.7990326	0.9269854	0.63788974	0.72837186	0.8833677	0.65575445	0.7480067	0.692927	0.83135617	0.7610036	0.77015126	0.84394443	0.8700811	0.8088528	0.77716064	0.70248383	0.832162	0.7596656	0.9126916	0.8694881	0.7356237	0.77376425	0.88846743	0.85904175	0.85353607	0.88214207	0.7248554	0.7772787	0.7505554	0.7124476	0.69909924	0.6508391	0.8320509	0.8776288	0.6400945	0.87980264	0.8594861	0.8494693	0.8474272	0.80459887	0.7515576	0.81360763	0.81287146	0.9293892	0.7286385	0.6816075	0.7374129	0.7199466	0.69699913	0.8694198	0.81906325	0.74867904	0.84270567	0.770454	0.7760318	0.73486733	0.7220288	0.8012798	0.83921784	0.85897654	0.81624156	0.78619367	0.8026965	0.87765193	0.86360675	0.8525037	0.9189632	0.90920377	0.84808606	0.8152357	0.8599832	0.81723344	0.89785695	0.829131	0.7470112	0.64651436	0.79359657	0.7926204	0.8846004	0.752983	0.83328676	0.8137773	0.7153474	0.88258076	0.7510444	0.802387	0.7622007	0.8084644	0.87589514	0.77655333	0.8689146	0.8964055	0.82348895	0.8862631	0.7180854	0.83769995	0.87134683	0.8527682	0.7791834	0.86950207	0.88090193	0.94661766	0.8619871	0.901427	0.82712066	0.86636966	0.8749251	0.66861284	0.804495	0.7082625	0.66308326	0.6983971	0.86317164	0.77437514	0.89833385
