	Merksemse/adj	Ten/adv	aangrijpend/adj	acht_baan/noun	alleen/adj	alleen/adv	alles/noun	altijd/adv	amper/adv	atlete/noun	atmosfeer/noun	bar/noun	bepaald/adj	bitter/adj	blijf/adj	bloed_heet/adj	carrière/noun	commotie/noun	concert/noun	context/noun	correct/adj	dag/noun	dagelijks/adj	detail/noun	duur_voort/adj	echt/adv	eens/adv	eiland/noun	er/noun	feit/noun	gebeur/verb	gebeuren/noun	gelukkig/adj	gespannen/adj	gesprek/noun	geweeklaag/noun	gisteren/adv	goed/adj	gozer/noun	graag/adv	gras/noun	herkomst/noun	heroïsch/adj	het/adj	hoe/adj	homeopathisch/adj	hoofd_redactie/noun	iemand/noun	iets/noun	ingeslagen/adj	inwoner/noun	jeugd/noun	jongeman/noun	kan/verb	kast/noun	kerst_avond/noun	kiezer/noun	kunstenares/noun	kwaad/noun	lang/adj	lezer/noun	lief/adj	liefst/adj	lui/adj	maar/adv	man/noun	meen/verb	meer/adj	meer/adv	meisje/noun	meneer/noun	mens/noun	midden/noun	misschien/adv	moment/noun	mooi/adj	muur/noun	niet/adv	niets/adv	niets/noun	niks/noun	nog/adv	nota/noun	onraad/noun	ons/noun	ooit/adv	ook/adv	oud/adj	partij_genoot/noun	periode/noun	pijnlijk/adj	plaat/noun	plaat_zaak/noun	plaquette/noun	plek/noun	politicus/noun	producer/noun	protestants/adj	riek/verb	sarcastisch/adj	schilderij/noun	schoonheid/noun	staal_industrie/noun	tekst/noun	tijd/noun	tv_kijker/noun	vaak/adj	veel/adj	veld_slag/noun	verleden/noun	verrot/adj	versregel/noun	vervallen/adj	visser_dorp/noun	voor_woord/noun	vooral/adv	voorts/adv	voorzitter/noun	vorig/adj	vroeg/adj	vroeger/adv	wanneer/adv	weer/adv	weinig/adj	word/verb	zal/verb	zelfs/adv	zo/adv	zomer/noun
visser_dorp/noun	0.9493643	0.95984817	0.95039856	0.95304734	0.92788464	0.940324	0.95282125	0.9446157	0.9465275	0.93595773	0.9343784	0.9353895	0.93606204	0.939949	0.9391277	0.9469172	0.95198035	0.9550795	0.93563086	0.93433565	0.9534793	0.9328174	0.936656	0.95748055	0.94076777	0.96751577	0.95327926	0.827883	0.9704347	0.95391726	0.9780654	0.90468585	0.96743786	0.94676477	0.9563456	0.9683347	0.92319	0.97222126	0.9719183	0.9779419	0.92859507	0.94210017	0.94303465	0.97130126	0.93016034	0.97205657	0.9744528	0.94458514	0.9504155	0.94626904	0.8871932	0.9314418	0.9382117	0.95026934	0.9479485	0.9383549	0.9392957	0.92112166	0.95794946	0.9462639	0.9578912	0.94376856	0.95439243	0.9526378	0.9492247	0.9472522	0.9628717	0.95851916	0.9764464	0.9298266	0.94584876	0.92670965	0.9246761	0.9316337	0.953524	0.9295954	0.90546185	0.9640969	0.9537593	0.95110744	0.9540236	0.9498324	0.9729921	0.96973974	0.9478441	0.91779345	0.94684553	0.9368265	0.95122665	0.95148355	0.9458191	0.92742604	0.9640377	0.9239765	0.90452915	0.9301023	0.96917135	0.91328245	0.947896	0.95953125	0.9341737	0.9254981	0.96350163	0.9436999	0.96316874	0.9218804	0.92491317	0.9435877	0.9160722	0.9309241	0.93847156	0.96896607	0.8860953	0.0	0.97298646	0.92594016	0.95637333	0.96497405	0.96717644	0.9435744	0.95856655	0.95635694	0.94111	0.9484895	0.9383099	0.96516395	0.9384071	0.92519325	0.9489955
voor_woord/noun	0.97837687	0.9202538	0.8434336	0.9819097	0.90843165	0.9364606	0.92319745	0.9110319	0.95922977	0.94771504	0.9333965	0.96131694	0.9147521	0.91993773	0.9259904	0.9718186	0.92177117	0.93308955	0.9001225	0.87711525	0.89806014	0.9574673	0.9206172	0.86451566	0.90236944	0.9725378	0.90281856	0.9419253	0.9223488	0.8920851	0.9748443	0.9410351	0.9351288	0.95271325	0.8787264	0.9195222	0.9146087	0.94322354	0.9783113	0.9434576	0.96600664	0.92312795	0.9121236	0.9174003	0.8868516	0.954062	0.9196454	0.8976648	0.93454593	0.9540366	0.95886385	0.9209844	0.94837517	0.9374554	0.92664397	0.9398239	0.9285748	0.92220163	0.8948916	0.94833374	0.8188653	0.89724725	0.93487465	0.9463563	0.92705667	0.9397938	0.89523053	0.9462015	0.96390694	0.94423395	0.8971369	0.92871	0.95295113	0.9114743	0.93422097	0.8810666	0.94587225	0.9354693	0.9121736	0.93909115	0.9454286	0.93308216	0.81765294	0.96503097	0.9118442	0.85035753	0.886522	0.8926919	0.92396367	0.9429863	0.9108111	0.90630674	0.9493348	0.9445529	0.947296	0.87807494	0.9081104	0.92309356	0.95485586	0.9214237	0.8959937	0.90832996	0.9628923	0.7228981	0.94238144	0.9600703	0.8744699	0.9230116	0.92812043	0.9120902	0.9676585	0.85260797	0.9569186	0.97298646	0.0	0.90377617	0.90100914	0.9344877	0.91803634	0.94695777	0.9391586	0.9085399	0.95738757	0.9100698	0.91663116	0.93562615	0.8766879	0.86079437	0.9537215
vooral/adv	0.9427781	0.831412	0.82565403	0.9184952	0.63111806	0.6189723	0.82616174	0.68545294	0.8194152	0.9114631	0.837102	0.8539821	0.69149566	0.81384087	0.74430704	0.92458946	0.834075	0.86658055	0.8256881	0.78943694	0.8122745	0.8880005	0.75985765	0.73830336	0.68027055	0.85898083	0.864714	0.831669	0.85921836	0.7742424	0.87772566	0.7780543	0.7995887	0.82670957	0.85592103	0.91121453	0.876793	0.7867616	0.9381139	0.86254525	0.8684888	0.83196115	0.85718614	0.8240454	0.7578001	0.88851184	0.9033871	0.8039952	0.8038472	0.93384016	0.78854895	0.7113944	0.83149445	0.8006258	0.880704	0.9108552	0.788658	0.8758006	0.8395656	0.82912326	0.7389344	0.749907	0.7904715	0.82569104	0.77405894	0.8265247	0.77926075	0.59895754	0.80157775	0.8155924	0.8529209	0.75493604	0.8036191	0.7338176	0.81724405	0.7688536	0.87317663	0.8451345	0.818964	0.8771515	0.8482135	0.8534164	0.8486139	0.9487218	0.7659925	0.7955207	0.55538344	0.80229294	0.87918353	0.7738682	0.7734861	0.7933512	0.9254861	0.96300745	0.81876713	0.72827065	0.82234114	0.8690703	0.85779464	0.860304	0.8004891	0.7353444	0.8792497	0.78807867	0.8509544	0.889998	0.60245234	0.577912	0.88220894	0.79364544	0.9296204	0.9499812	0.8964361	0.92594016	0.90377617	0.0	0.7369965	0.91003096	0.8736096	0.77846825	0.91123337	0.8223656	0.8346072	0.64633775	0.82586277	0.78938925	0.7139945	0.7333188	0.8365119
voorts/adv	0.950455	0.8065864	0.88729036	0.9358511	0.77266407	0.7964755	0.86742604	0.834072	0.8547462	0.9195613	0.86922586	0.81865877	0.77584815	0.87503636	0.82276976	0.9173494	0.87683797	0.8680527	0.85974866	0.827717	0.82831573	0.84847677	0.7768343	0.80623364	0.78123295	0.88102293	0.8645954	0.84460425	0.92625606	0.84369934	0.8749461	0.84171414	0.86468524	0.87703055	0.83877754	0.95189327	0.8015115	0.8533935	0.95686114	0.90414965	0.86202884	0.84719604	0.91856426	0.89376557	0.8341929	0.88275796	0.9097282	0.84837985	0.8843672	0.9340569	0.8197863	0.8156503	0.840739	0.7752267	0.828249	0.92873985	0.8674101	0.88767064	0.864793	0.84505934	0.83699334	0.82053053	0.82668155	0.8697413	0.86617595	0.85978377	0.8491952	0.79307973	0.81195736	0.86218846	0.871022	0.8660537	0.8392912	0.8685909	0.8871054	0.8179149	0.8182952	0.86164653	0.8664628	0.90074813	0.88262266	0.8575618	0.82299083	0.9492108	0.8320975	0.8277229	0.71578085	0.81702685	0.8633238	0.83738995	0.8697274	0.8360168	0.92198557	0.93827766	0.83449686	0.81294066	0.889919	0.87303257	0.9115775	0.92214197	0.79890084	0.8399404	0.92351276	0.7960212	0.86276966	0.91245806	0.78259516	0.8118528	0.89677197	0.83369243	0.9208673	0.9393854	0.86898357	0.95637333	0.90100914	0.7369965	0.0	0.8708497	0.86797804	0.8141602	0.9528483	0.8240632	0.8574159	0.8114461	0.7110702	0.77776545	0.76021224	0.8300417	0.8304906
voorzitter/noun	0.95553815	0.92000985	0.9693035	0.9865782	0.9264602	0.9321918	0.9497219	0.9240716	0.9268258	0.9259185	0.9690201	0.92820734	0.9195286	0.92267704	0.94105095	0.96578187	0.9215913	0.8995067	0.92626476	0.92492056	0.90603036	0.94585824	0.9277704	0.9306289	0.9131527	0.9323418	0.91071415	0.9236887	0.956364	0.93514144	0.94971025	0.93873036	0.93748456	0.9333642	0.8595475	0.979869	0.6950134	0.9586834	0.9770222	0.95750177	0.96849954	0.9520334	0.94198227	0.9646584	0.95684075	0.9841311	0.8997237	0.90830106	0.95461124	0.94814974	0.89066803	0.9215277	0.92150706	0.93920785	0.95736283	0.95431817	0.82316417	0.9283481	0.9373721	0.9390038	0.9137361	0.92114425	0.92451394	0.9437292	0.94269204	0.9254703	0.84495354	0.9408623	0.92616665	0.91856426	0.89214927	0.95651925	0.93201756	0.9346443	0.95212644	0.9626754	0.94862926	0.9286447	0.91627514	0.94575316	0.944059	0.9190793	0.9002194	0.96976054	0.9063939	0.8887006	0.9038418	0.94583833	0.71699965	0.93100214	0.9200004	0.95848143	0.9785946	0.9550729	0.9547011	0.7573291	0.90746266	0.9191141	0.94938713	0.94534963	0.96316916	0.9444137	0.96398115	0.91334	0.9550566	0.95602167	0.93006307	0.9453528	0.93458533	0.91466945	0.97699606	0.9878428	0.93976927	0.96497405	0.9344877	0.91003096	0.8708497	0.0	0.82958835	0.9229883	0.97067386	0.9068043	0.9426444	0.9222666	0.87997246	0.8396445	0.8871535	0.9301569	0.90554345
vorig/adj	0.94442815	0.88674134	0.9536748	0.95112467	0.9321383	0.9204128	0.94545037	0.95615333	0.8252747	0.86329794	0.95271224	0.94510984	0.9238537	0.90842	0.9019155	0.93661726	0.81739783	0.8786955	0.8768414	0.94733703	0.9257249	0.8321464	0.8872161	0.91097254	0.8899195	0.94882965	0.90043914	0.88995665	0.9619955	0.8855159	0.904919	0.94580626	0.8946696	0.92085147	0.8713495	0.9669039	0.6014287	0.9352047	0.97766507	0.93117315	0.94146466	0.9405466	0.9263488	0.888369	0.9542596	0.9711952	0.9356772	0.92165554	0.95498955	0.9538004	0.88259673	0.9302087	0.8998921	0.9139198	0.9451939	0.9002015	0.8892749	0.9341257	0.9491708	0.9064485	0.9358358	0.9347445	0.93194604	0.96333855	0.9297948	0.9163582	0.9028002	0.9009389	0.9069931	0.92306596	0.92491037	0.9303025	0.9029619	0.92543805	0.8906771	0.9441873	0.9518848	0.9298219	0.9260106	0.93403655	0.9328728	0.87164754	0.88290983	0.93898684	0.89097893	0.8460055	0.9065649	0.91729635	0.8971737	0.7884282	0.86601317	0.9205563	0.9379827	0.9750145	0.92077994	0.89846283	0.9340779	0.92041516	0.9499227	0.9674217	0.94491667	0.94241065	0.91071945	0.9463712	0.8895029	0.9463416	0.9212837	0.92100406	0.91265285	0.8784636	0.961814	0.97935224	0.95154935	0.96717644	0.91803634	0.8736096	0.86797804	0.82958835	0.0	0.88119763	0.9712422	0.879352	0.85499686	0.9243823	0.79353833	0.7865856	0.83712006	0.9172045	0.72271943
vroeg/adj	0.9344393	0.8822116	0.9159151	0.9292972	0.8232683	0.8026054	0.8317126	0.7602864	0.8314785	0.9359845	0.90604043	0.82873625	0.8031686	0.86368394	0.869385	0.9204013	0.83773476	0.9068092	0.85207057	0.878746	0.86181486	0.8350724	0.81722766	0.8546745	0.8111596	0.8556126	0.8308542	0.81442535	0.8852729	0.8896575	0.8971404	0.8883056	0.8204322	0.90838075	0.87515485	0.9580213	0.90633285	0.9013576	0.93261397	0.85297036	0.84756273	0.88430345	0.8450094	0.9007998	0.8417168	0.9613065	0.94836277	0.81001234	0.83027786	0.92832506	0.83460265	0.768758	0.8475251	0.85231674	0.8681175	0.9178247	0.8940906	0.8680991	0.8602656	0.81176156	0.85471404	0.7755655	0.794347	0.8613442	0.8214221	0.8328887	0.84755325	0.8389822	0.8373176	0.80675817	0.8443879	0.82457346	0.8023462	0.8074524	0.8311032	0.8187409	0.8108251	0.8877622	0.8666708	0.87718034	0.84262514	0.8400843	0.9074588	0.9382732	0.81805426	0.6934557	0.8133379	0.59782755	0.89205366	0.79150176	0.843298	0.8396862	0.917042	0.91687024	0.7854649	0.8282971	0.88732755	0.8369945	0.88150656	0.9277132	0.7961233	0.8236649	0.93099487	0.84479576	0.7790117	0.9338629	0.7693503	0.8135015	0.8896051	0.72631884	0.90976727	0.96026945	0.79615986	0.9435744	0.94695777	0.77846825	0.8141602	0.9229883	0.88119763	0.0	0.885794	0.8043916	0.77772367	0.85878944	0.81691104	0.84724575	0.7520586	0.8433752	0.8031098
vroeger/adv	0.97177684	0.934812	0.92150587	0.96729344	0.9114069	0.90221894	0.93267983	0.84568024	0.9660628	0.97654766	0.9441308	0.93378246	0.94045466	0.8933291	0.9336685	0.96168315	0.92372394	0.9732644	0.9118693	0.9501966	0.9255754	0.92812943	0.93136936	0.92710364	0.91113585	0.9344813	0.8683847	0.95767254	0.9060555	0.94012344	0.958891	0.9558959	0.93905693	0.9248085	0.91601413	0.9327294	0.9707771	0.9170718	0.93958527	0.9184076	0.93698686	0.9380222	0.89623934	0.9719631	0.8945123	0.96473837	0.9530242	0.92802906	0.9234	0.9792943	0.9615957	0.8778392	0.93894774	0.9029321	0.94060534	0.9261572	0.94574517	0.94887614	0.9349465	0.93935543	0.91320926	0.8795493	0.9346552	0.93496287	0.88169515	0.9569351	0.9619638	0.94037193	0.940155	0.9363599	0.91900826	0.9151041	0.9424454	0.8824239	0.90507025	0.86408424	0.9508166	0.93201125	0.9527968	0.94686747	0.93534124	0.88065	0.9432473	0.9612703	0.91285837	0.92313105	0.9152877	0.891654	0.94079053	0.9307071	0.90669113	0.926077	0.9707583	0.9403034	0.9177574	0.9486849	0.93466353	0.9629301	0.93208694	0.91984326	0.92611814	0.935028	0.96435624	0.9163159	0.88501334	0.9345807	0.89524	0.8951656	0.92387396	0.8693472	0.9220802	0.93410695	0.94007456	0.95856655	0.9391586	0.91123337	0.9528483	0.97067386	0.9712422	0.885794	0.0	0.9110049	0.8816798	0.93375397	0.93335533	0.9324237	0.9275794	0.9283829	0.9522863
wanneer/adv	0.9515891	0.8755715	0.9126314	0.94584334	0.755556	0.7550738	0.82819074	0.77208817	0.8249519	0.930827	0.9057745	0.86567116	0.77598375	0.86042964	0.8622524	0.96587193	0.88259727	0.912449	0.8961099	0.8715868	0.8013947	0.82491976	0.8105765	0.826409	0.7596911	0.84550244	0.7422972	0.87107325	0.85536975	0.8182342	0.8377545	0.90694827	0.7849229	0.8793173	0.8611614	0.9443182	0.8525135	0.8729361	0.9339954	0.8583601	0.8671949	0.87268704	0.90148693	0.8321159	0.701439	0.9169973	0.93479794	0.74096227	0.816542	0.9340985	0.87790644	0.8581769	0.845248	0.73889124	0.8697375	0.90860736	0.84937096	0.92461973	0.86444235	0.87075806	0.8241538	0.7874181	0.8265142	0.8719989	0.7723725	0.8259734	0.7965172	0.856512	0.8056737	0.8372482	0.8164347	0.78841245	0.8499652	0.77071774	0.79318905	0.8734402	0.86443037	0.7630549	0.806539	0.83906364	0.8218178	0.8033577	0.8897543	0.90790296	0.79659647	0.8026231	0.7895119	0.86241	0.90635574	0.85433763	0.8083925	0.88875616	0.9575218	0.94115067	0.8246726	0.82746476	0.9313215	0.89931273	0.86517894	0.92427707	0.89449495	0.8678442	0.9692504	0.84202987	0.8477075	0.9120724	0.7370539	0.8272017	0.9269345	0.8431219	0.9204301	0.9478614	0.94490933	0.95635694	0.9085399	0.8223656	0.8240632	0.9068043	0.879352	0.8043916	0.9110049	0.0	0.7739492	0.8327515	0.76518375	0.734374	0.76455134	0.7997633	0.8122709
weer/adv	0.9574657	0.90972334	0.91259664	0.8997075	0.8318327	0.80560374	0.7587862	0.74515975	0.7789828	0.9147634	0.8506572	0.82807773	0.8718253	0.849295	0.8587861	0.9058842	0.836144	0.8889643	0.868865	0.91057575	0.8891359	0.7790524	0.82422614	0.8618815	0.7246645	0.8697537	0.6855694	0.85530305	0.85434306	0.92040944	0.9087875	0.8873677	0.76394975	0.8492429	0.8673063	0.935918	0.8439816	0.86734533	0.91695285	0.87242573	0.80798626	0.9364433	0.9058787	0.8738541	0.85066855	0.9554536	0.93856394	0.7813842	0.78308904	0.9303199	0.9009433	0.801023	0.8364778	0.75552213	0.83046246	0.92104036	0.86404777	0.9389445	0.8757558	0.8196838	0.84498924	0.77495575	0.7968809	0.871495	0.7368176	0.8562675	0.9050819	0.8465477	0.79104865	0.83345	0.81475914	0.8512305	0.8380263	0.77774537	0.7551399	0.82051617	0.8176	0.82139087	0.8771141	0.8807294	0.8629866	0.7369768	0.91877043	0.90227175	0.8083149	0.816677	0.8479883	0.81004226	0.8975464	0.8388133	0.8291122	0.8350651	0.9228717	0.9525972	0.8209758	0.8738646	0.90447724	0.91976786	0.88080955	0.9056717	0.8651592	0.85876995	0.9395756	0.8669723	0.76976776	0.9115026	0.7935189	0.83653975	0.9204576	0.8133065	0.9070014	0.961767	0.8790728	0.94111	0.95738757	0.8346072	0.8574159	0.9426444	0.85499686	0.77772367	0.8816798	0.7739492	0.0	0.85556525	0.8070112	0.7827735	0.7821317	0.7765355	0.7259731
weinig/adj	0.9576948	0.89045316	0.8392484	0.9454733	0.747351	0.7324464	0.82255393	0.6905097	0.7514202	0.9193829	0.8628727	0.9225334	0.76067996	0.8024668	0.80828744	0.9573035	0.8642979	0.913331	0.85673046	0.81721604	0.7742677	0.9098015	0.8354316	0.77681977	0.7685675	0.8229873	0.8733986	0.89180505	0.83554703	0.835588	0.86789346	0.84310657	0.76835823	0.8717338	0.855141	0.9351736	0.91032207	0.756709	0.9447033	0.8784069	0.8789459	0.8911244	0.87137175	0.86852586	0.74917865	0.9166609	0.92777455	0.81264913	0.6660515	0.93176174	0.85294414	0.7771665	0.8760443	0.7853033	0.9104048	0.93256235	0.8093413	0.909749	0.8439602	0.89145225	0.7603894	0.7838472	0.8539167	0.8647901	0.7370295	0.8665396	0.7987857	0.50449866	0.7519996	0.8855161	0.87874836	0.78809965	0.8818847	0.70962703	0.83378035	0.80401784	0.9041929	0.7247547	0.7550763	0.6684052	0.725658	0.79535955	0.87704307	0.94980145	0.80893826	0.8279093	0.65995455	0.89958507	0.86965907	0.84383935	0.81780505	0.84258974	0.93773365	0.9718446	0.848543	0.7587063	0.89393216	0.9193135	0.9096575	0.903701	0.8628685	0.76482064	0.9445839	0.82006186	0.8440188	0.917608	0.7132737	0.47080177	0.9007462	0.8141629	0.9492805	0.9695074	0.9299187	0.9484895	0.9100698	0.64633775	0.8114461	0.9222666	0.9243823	0.85878944	0.93375397	0.8327515	0.85556525	0.0	0.86790186	0.8052002	0.7605036	0.68220663	0.88883644
word/verb	0.9222796	0.7863814	0.9199352	0.91863775	0.7390442	0.7654253	0.73895097	0.846314	0.818654	0.9112841	0.8569321	0.8502809	0.709277	0.8748969	0.83268535	0.9363361	0.8661231	0.85699874	0.8632244	0.85587966	0.7900555	0.7878054	0.75283825	0.8050275	0.71833056	0.8597546	0.80086756	0.8052503	0.9139778	0.7934743	0.77688026	0.8587059	0.82675034	0.8939877	0.867285	0.967686	0.76377463	0.8818034	0.9597922	0.84775776	0.8744577	0.83870196	0.90120554	0.86996007	0.79732156	0.9068159	0.8729135	0.7154609	0.88274246	0.9025398	0.7720991	0.8521821	0.7575644	0.63260293	0.8276719	0.87893903	0.825837	0.88801646	0.8348746	0.84587896	0.8250234	0.8077522	0.82102686	0.8921528	0.833851	0.74303186	0.8183027	0.8359052	0.7870676	0.80997443	0.8316785	0.73574686	0.85681033	0.84759563	0.8491894	0.9034591	0.795749	0.7785158	0.8888205	0.8827863	0.8722701	0.8339578	0.8499091	0.90857893	0.7492138	0.79999334	0.7864318	0.80322933	0.8443881	0.84248924	0.82533044	0.848462	0.9179384	0.920015	0.7942184	0.829251	0.9046408	0.8421687	0.87975734	0.91990376	0.85358626	0.8803854	0.93883336	0.8051898	0.846031	0.8889395	0.7352256	0.84127426	0.88503134	0.76720035	0.90044504	0.9529767	0.87686336	0.9383099	0.91663116	0.82586277	0.7110702	0.87997246	0.79353833	0.81691104	0.93335533	0.76518375	0.8070112	0.86790186	0.0	0.5694073	0.74522066	0.78417754	0.8187877
zal/verb	0.94598967	0.80005825	0.94812423	0.92053616	0.7058531	0.71879286	0.78010654	0.79536134	0.8212665	0.9169977	0.8897735	0.9209118	0.7623836	0.8637579	0.7810161	0.95393944	0.86137605	0.8517329	0.90074897	0.8506309	0.81130815	0.83301437	0.8422197	0.8490027	0.7748676	0.811681	0.7635614	0.8549239	0.8468677	0.7955765	0.78593713	0.87262416	0.8161412	0.88034725	0.829813	0.9427345	0.7745347	0.86006296	0.9537673	0.8411808	0.9219459	0.87991965	0.9013111	0.8546235	0.7735033	0.90169936	0.87752575	0.7500917	0.8272786	0.9248391	0.8233141	0.8726566	0.88491625	0.5916853	0.9224416	0.939299	0.7782626	0.9358523	0.8581829	0.81957513	0.8252292	0.8101998	0.8405442	0.9170003	0.7380874	0.8778631	0.7228822	0.7863419	0.74269676	0.9046183	0.859209	0.7911874	0.88885194	0.7393332	0.82763606	0.9305157	0.9039125	0.6473279	0.82378817	0.8037852	0.8452387	0.72344065	0.8600876	0.9337368	0.7820267	0.8306972	0.730182	0.89504695	0.8247924	0.82644606	0.8280756	0.9158711	0.91993576	0.9558921	0.86754495	0.78378385	0.92988086	0.8565675	0.90826595	0.9305428	0.9302133	0.8996155	0.88492626	0.8838497	0.83474654	0.89010525	0.78656113	0.7837623	0.8757689	0.8220809	0.93921083	0.971387	0.92511016	0.96516395	0.93562615	0.78938925	0.77776545	0.8396445	0.7865856	0.84724575	0.9324237	0.734374	0.7827735	0.8052002	0.5694073	0.0	0.7658162	0.78363794	0.8005136
zelfs/adv	0.9478651	0.8363489	0.87083316	0.90221494	0.7033459	0.6466554	0.7822957	0.68677694	0.75923836	0.8753936	0.8386336	0.794188	0.7469926	0.7957549	0.7996886	0.9191315	0.83258545	0.8640332	0.82729053	0.84109724	0.8068024	0.80115736	0.7779789	0.76033807	0.7027801	0.79040015	0.7459576	0.82996935	0.84910023	0.82177067	0.86507267	0.8492474	0.73137856	0.84544766	0.822659	0.9215676	0.8435104	0.8470141	0.9064045	0.83355844	0.7997211	0.8644682	0.87024176	0.83184105	0.7225739	0.9129604	0.8968514	0.67481065	0.7509774	0.9195065	0.84999835	0.78928995	0.7672111	0.7497319	0.7963138	0.9059981	0.8072487	0.8727157	0.79876465	0.7931857	0.7150717	0.6836976	0.7669866	0.80991864	0.68470013	0.7282634	0.7266705	0.7577696	0.7772215	0.731736	0.76019573	0.72887343	0.7916907	0.645854	0.7686018	0.76406085	0.7956786	0.7656887	0.80573	0.8218895	0.7669934	0.7963015	0.87435126	0.9318979	0.72118115	0.68035436	0.6701112	0.7568475	0.8199377	0.79486525	0.7364339	0.7884384	0.92742574	0.95172083	0.7838824	0.70813483	0.8516432	0.867281	0.82510644	0.84628195	0.7969635	0.76078105	0.93996465	0.74319345	0.7996366	0.8836705	0.6168246	0.7358537	0.86436766	0.77147186	0.91201764	0.9373817	0.87425333	0.9384071	0.8766879	0.7139945	0.76021224	0.8871535	0.83712006	0.7520586	0.9275794	0.76455134	0.7821317	0.7605036	0.74522066	0.7658162	0.0	0.6825536	0.79734755
zo/adv	0.9540749	0.89070845	0.81664157	0.89885026	0.761958	0.7565945	0.70123535	0.5747448	0.83215654	0.9265986	0.7972681	0.8856046	0.8178947	0.81248796	0.8631731	0.94723094	0.8633661	0.9021758	0.84968394	0.80538356	0.74198693	0.8734999	0.8489876	0.741544	0.7427824	0.7804802	0.7585297	0.8771624	0.7740888	0.82022953	0.8669814	0.8293096	0.75564265	0.861603	0.8394214	0.93839675	0.9084499	0.79893965	0.86743057	0.8790813	0.82558346	0.9086991	0.8839975	0.8287472	0.49981612	0.9184597	0.9197943	0.7093508	0.6671411	0.9094658	0.8732557	0.78107494	0.815944	0.7646482	0.8880614	0.91380733	0.80372393	0.91541576	0.83974195	0.8043051	0.70180607	0.7175505	0.81056577	0.7791597	0.6747	0.781512	0.80042434	0.77877873	0.8268961	0.8049164	0.7956372	0.7196766	0.85639	0.618026	0.75969994	0.7588575	0.8515105	0.6651114	0.81344473	0.8137294	0.8209127	0.8062879	0.8816636	0.9447474	0.73408055	0.68902755	0.7242569	0.8484143	0.87532926	0.8464878	0.7746208	0.7644671	0.9339175	0.9631806	0.77479064	0.7278974	0.8504751	0.9052645	0.8708309	0.85102284	0.8144533	0.7442981	0.94814503	0.74125886	0.8385039	0.88091004	0.6293771	0.6575045	0.89298105	0.7808516	0.92561865	0.937201	0.93006337	0.92519325	0.86079437	0.7333188	0.8300417	0.9301569	0.9172045	0.8433752	0.9283829	0.7997633	0.7765355	0.68220663	0.78417754	0.78363794	0.6825536	0.0	0.85192025
zomer/noun	0.9738204	0.8862714	0.9566713	0.9225538	0.85796446	0.8302207	0.86434716	0.859569	0.8347358	0.90697163	0.87243426	0.8289734	0.88415456	0.85087425	0.90632266	0.854458	0.79576004	0.87117803	0.8393685	0.9265873	0.9184999	0.6662309	0.8238207	0.8882973	0.8424662	0.8988404	0.8435962	0.7822386	0.9135715	0.9020144	0.8956258	0.8880019	0.8539125	0.9328568	0.8801404	0.9358992	0.80881804	0.9148027	0.9632828	0.92314553	0.8292476	0.9335665	0.92291075	0.8552792	0.8830558	0.97838026	0.9517391	0.89561445	0.8868447	0.9545163	0.87312657	0.83577836	0.89953154	0.85903215	0.90269864	0.9022069	0.89351106	0.9309034	0.9262357	0.7915411	0.9064658	0.8194651	0.8492248	0.90840733	0.8793632	0.9079859	0.91258734	0.88960165	0.89105237	0.8698858	0.8996482	0.8957771	0.8326231	0.8578416	0.8193524	0.808035	0.8652541	0.9133448	0.90187144	0.9116604	0.8638856	0.83728987	0.93581235	0.95725054	0.84156036	0.7923601	0.8594593	0.8594984	0.9399754	0.72258145	0.8798643	0.8480282	0.9323299	0.9751572	0.7983723	0.89585304	0.91305757	0.92731804	0.9106721	0.94451386	0.8878814	0.8912751	0.9312484	0.9039062	0.78042555	0.9240619	0.8424152	0.8760786	0.89191544	0.85613525	0.94190365	0.9431803	0.90720636	0.9489955	0.9537215	0.8365119	0.8304906	0.90554345	0.72271943	0.8031098	0.9522863	0.8122709	0.7259731	0.88883644	0.8187877	0.8005136	0.79734755	0.85192025	0.0
