	Jong/name	Zwitser/noun	aanvankelijk/adj	achterkant/noun	arrangement/noun	bak/noun	beeld_merk/noun	begeleiding/noun	benadering/noun	beweging/noun	bijzonder/adj	blik/noun	bocht/noun	body/noun	breakdance/noun	carrosserie/noun	choreografie/noun	compositie/noun	constructie/noun	dan_pas_DIM/noun	dance/noun	decolleté/noun	des/adv	die/det	eenzijdig/adj	eerder/adj	elleboog/noun	en/vg	even/adj	even/adv	figuur/noun	film/noun	fysiek/noun	gebaar/noun	gebouw/noun	gelaat/noun	gelaat_trek/noun	geluid/noun	generaal/noun	gezicht/noun	gitaar/noun	glas/noun	grafiek/noun	grooves/noun	handschrift/noun	hartstochtelijk/adj	heftigheid/noun	heup/noun	hoofd/noun	iets/noun	ietwat/adv	interview/noun	jongen/noun	kaak/noun	kant_DIM/noun	kap_DIM/noun	karakter/noun	kassei/noun	kast_DIM/noun	klank/noun	koets_werk/noun	kop/noun	korrel/noun	la/noun	landschap/noun	lekker/adj	letter/noun	lichaam/noun	lichaam_taal/noun	lied/noun	lied_DIM/noun	lijn/noun	look/noun	manier/noun	mengsel/noun	minder/adj	model/noun	mooi/adj	motoriek/noun	muziek/noun	nogal/adv	one-liners/noun	opgebouwd/adj	opgetrokken/adj	patroon/noun	persoonlijkheid/noun	pixels/noun	raam/noun	ritme/noun	ritmiek/noun	rock/noun	ronding/noun	schouder/noun	slurf/noun	snavel/noun	snuit/noun	speelstijl/noun	steeds/adv	steen/noun	stekel/noun	stijl/noun	symbool/noun	taal/noun	tafel/noun	tamelijk/adj	te/adv	thema/noun	tred/noun	trek/noun	trouwring/noun	uitgestoken/adj	uitspanning/noun	uitwerking/noun	vaas/noun	veel/adj	veelal/adv	verfilming/noun	verzorger/noun	vijver/noun	viool/noun	volume/noun	vorm/noun	wat/adv	weg_net/noun	wolkenkrabber/noun	woonkamer/noun	ze/pron	zeer/adv	zo/adj	zo/adv
eerder/adj	0.8502997	0.8727257	0.6803121	0.9311558	0.9079144	0.9239447	0.968743	0.8810507	0.85677874	0.8242655	0.8333503	0.87295496	0.901298	0.9381432	0.95956165	0.9383118	0.89877737	0.8788775	0.8633225	0.9614965	0.93639565	0.9658314	0.87109643	0.781209	0.8126584	0.0	0.9408463	0.80155736	0.8686507	0.8302926	0.8514482	0.82387793	0.9463233	0.86827445	0.8970436	0.9050315	0.95658433	0.85366654	0.8088683	0.8656597	0.9184742	0.9074941	0.87959063	0.97073996	0.87873644	0.90519357	0.9146389	0.92416084	0.90047914	0.8589895	0.84002525	0.7498814	0.8791321	0.92563796	0.9280853	0.95728177	0.8336454	0.9431212	0.9286066	0.90248066	0.9650968	0.8686213	0.92485404	0.89389956	0.8995067	0.93204343	0.85730284	0.8636476	0.92067945	0.8559927	0.8579612	0.88899827	0.96274626	0.8483732	0.9255189	0.8207849	0.8258403	0.847605	0.95202947	0.88169825	0.7631999	0.9420918	0.8895511	0.9304444	0.8824547	0.88034624	0.9767417	0.92286295	0.8945711	0.9622922	0.91102743	0.9646795	0.9076316	0.9735389	0.95392406	0.96769315	0.90526515	0.8209118	0.90818405	0.97625935	0.8538183	0.8753385	0.87443864	0.89127684	0.80392045	0.8461664	0.83447194	0.9282351	0.8831713	0.9515525	0.94604504	0.9670926	0.8377139	0.92868507	0.81945044	0.78156865	0.8738928	0.8924818	0.9495498	0.9307683	0.8968857	0.8045842	0.8315544	0.9312338	0.92886037	0.95194745	0.83916855	0.8106706	0.8661467	0.8277396
elleboog/noun	0.91380566	0.9208961	0.9057589	0.83482224	0.93756056	0.89009535	0.9546358	0.9461516	0.94567835	0.8579036	0.92622966	0.85131204	0.8388153	0.90989983	0.9548626	0.8835085	0.9223564	0.91603374	0.89674145	0.9194722	0.94344705	0.86652505	0.9127005	0.8721185	0.9476261	0.9408463	0.0	0.8205519	0.869722	0.89689887	0.90984964	0.95447576	0.9117328	0.8520514	0.91855115	0.8208416	0.91515976	0.88775253	0.9451167	0.7846111	0.8774992	0.833411	0.9523765	0.93733287	0.9282529	0.93244255	0.9291865	0.6520417	0.7163311	0.92067534	0.8680533	0.9412321	0.8839114	0.7178904	0.9409609	0.8170546	0.9312898	0.8732538	0.8767122	0.9144305	0.8781559	0.8217559	0.90117383	0.95159215	0.9299817	0.8845137	0.88741004	0.787431	0.91584957	0.9278003	0.92696303	0.9004084	0.9332651	0.9342682	0.9125674	0.92092216	0.8986219	0.8909626	0.877501	0.9380273	0.8763828	0.9536892	0.94021285	0.8938508	0.9075956	0.9311114	0.95298505	0.8327686	0.882913	0.93295586	0.9240521	0.86496836	0.6717547	0.8855526	0.8415318	0.8527775	0.9440471	0.8787251	0.8561619	0.8718363	0.9137106	0.91318744	0.93241334	0.8872023	0.9019552	0.91078115	0.9531174	0.8616112	0.9033668	0.911139	0.8581331	0.95747286	0.954218	0.88423914	0.9002811	0.9084325	0.9460601	0.90412784	0.9343298	0.91513425	0.91275024	0.9126316	0.87195116	0.95145446	0.9211393	0.91143715	0.8351303	0.9326006	0.91245127	0.89757395
en/vg	0.79848266	0.83541495	0.69292074	0.74964905	0.7647376	0.67477167	0.91980267	0.6832918	0.7134008	0.6494698	0.6059365	0.6140286	0.7842604	0.8126315	0.86084735	0.82492435	0.7447145	0.67789054	0.702854	0.82555795	0.7848458	0.82941985	0.7100995	0.692927	0.784091	0.80155736	0.8205519	0.0	0.6831918	0.59665126	0.6422161	0.7202797	0.8642862	0.70455366	0.71191686	0.7554504	0.8637322	0.6230389	0.8174089	0.62659633	0.6798169	0.57625556	0.8011722	0.83149076	0.8111372	0.7842362	0.9094151	0.7645539	0.6787963	0.7607278	0.69069207	0.7788857	0.6811721	0.81597376	0.8339224	0.8590368	0.62263536	0.8126915	0.805434	0.64137214	0.8265173	0.66095895	0.8100324	0.73866403	0.6564461	0.6246444	0.7377082	0.6166376	0.8292448	0.70097864	0.69217664	0.703303	0.7820691	0.66684896	0.656821	0.6353283	0.65101284	0.6075773	0.8111394	0.58927464	0.6334823	0.89548665	0.74582523	0.7718077	0.69651705	0.70764977	0.92127633	0.67734617	0.6552168	0.79270774	0.72035056	0.8609032	0.7152022	0.8830016	0.8505422	0.86453116	0.81972325	0.64745003	0.6516732	0.881888	0.5870077	0.628297	0.65921533	0.658758	0.6619898	0.68634903	0.63945377	0.8146111	0.7138509	0.90770113	0.8783796	0.9171608	0.8050587	0.7436793	0.6306809	0.5901716	0.8506984	0.8159378	0.7709332	0.74966156	0.74159026	0.5323376	0.6300357	0.88832414	0.835063	0.753723	0.63421607	0.6218845	0.69365424	0.69427526
even/adj	0.85824287	0.8831718	0.7373378	0.8505459	0.8710166	0.8004894	0.9644706	0.876313	0.85722524	0.81026727	0.7471428	0.67924225	0.76776826	0.8981168	0.95540506	0.9001342	0.8519976	0.83688927	0.85552436	0.87148	0.89958483	0.8703865	0.7737181	0.7651459	0.88967896	0.8686507	0.869722	0.6831918	0.0	0.56653625	0.7994211	0.8418835	0.89230144	0.77440906	0.874347	0.8325218	0.9267723	0.7405155	0.8900796	0.7120005	0.78098893	0.7824945	0.9254616	0.85304195	0.9043285	0.83386767	0.93223137	0.839998	0.7512295	0.76049876	0.73426163	0.84256184	0.7179431	0.8579445	0.8537973	0.93131715	0.80534494	0.8503896	0.88121295	0.781919	0.9225017	0.7838413	0.9122268	0.8477547	0.8269278	0.6574111	0.84947044	0.7973558	0.86676395	0.8300592	0.78959477	0.8138983	0.8865978	0.7746143	0.8655156	0.75288546	0.8277683	0.76764953	0.8831274	0.8129309	0.69790125	0.9249477	0.8765341	0.8891586	0.83913994	0.8317346	0.96992224	0.78235143	0.7972659	0.89717305	0.8514279	0.91273874	0.7606688	0.89037514	0.8732103	0.89075047	0.8818892	0.7196995	0.8508126	0.91975385	0.78224236	0.86222374	0.84075934	0.76515824	0.73690486	0.7354393	0.8517617	0.8584813	0.84359825	0.919203	0.9221616	0.93215036	0.8848384	0.8627491	0.76996905	0.8345964	0.87512344	0.86702716	0.8589016	0.8508618	0.87987906	0.83870137	0.5921384	0.9460698	0.885884	0.83451563	0.5673343	0.71848243	0.7185292	0.6147485
even/adv	0.8617352	0.8627207	0.7352947	0.8316323	0.7963699	0.84875643	0.94774777	0.8279586	0.73869926	0.7276881	0.6064074	0.6583564	0.77188087	0.86208755	0.93281645	0.90870607	0.73740554	0.7353253	0.77541417	0.84223783	0.85043263	0.8399239	0.69955444	0.7607332	0.83424795	0.8302926	0.89689887	0.59665126	0.56653625	0.0	0.6480975	0.7145419	0.9063744	0.71777326	0.8089893	0.80933094	0.8908509	0.69662154	0.8414209	0.6815973	0.7877762	0.80714905	0.8903503	0.8219269	0.8700359	0.80002993	0.931749	0.88287944	0.80277544	0.7238371	0.6275549	0.82164156	0.7314945	0.8682022	0.80083126	0.9285923	0.63777494	0.8534662	0.9053936	0.6923636	0.8787667	0.7692281	0.9017668	0.81446046	0.7265428	0.7554259	0.82099485	0.77474356	0.8312204	0.76201457	0.7196528	0.77778035	0.83755994	0.6462829	0.82032377	0.66576636	0.7491976	0.7096541	0.84577143	0.7165302	0.5774319	0.8916224	0.79534286	0.8260313	0.78851783	0.7063619	0.96806693	0.792832	0.7224879	0.819987	0.75161034	0.8969093	0.8216291	0.9122347	0.89843637	0.9180975	0.81239784	0.71114004	0.8158294	0.9118277	0.6178365	0.7544729	0.739046	0.82624996	0.576993	0.65930915	0.7682727	0.79460514	0.7592671	0.94741327	0.93446857	0.9219301	0.79772615	0.85330606	0.7658371	0.7246891	0.7654568	0.8740134	0.8612193	0.83940995	0.87026584	0.7371483	0.60905194	0.92109376	0.8353821	0.85073626	0.74797004	0.55220133	0.6051656	0.5459088
figuur/noun	0.871478	0.8882633	0.79776675	0.85022956	0.83158463	0.8629488	0.9193405	0.8791158	0.7543455	0.67213166	0.7237617	0.70730215	0.8712353	0.8787786	0.9074949	0.9004334	0.7377202	0.71154535	0.7475034	0.8354327	0.8583709	0.85416025	0.78434956	0.7699681	0.85596025	0.8514482	0.90984964	0.6422161	0.7994211	0.6480975	0.0	0.6831702	0.9065769	0.73354554	0.79740715	0.755948	0.832482	0.7246971	0.7994901	0.6569799	0.78045976	0.8137994	0.8310548	0.87643003	0.8039838	0.809568	0.9302524	0.8632417	0.7614076	0.78406584	0.70353115	0.8050945	0.77783203	0.87884736	0.80502856	0.92229867	0.6350474	0.8770983	0.8946837	0.7075012	0.8791165	0.76421005	0.90491986	0.79389215	0.6601386	0.85533947	0.75660014	0.7125664	0.7892796	0.73453593	0.72771746	0.774428	0.83533305	0.72500694	0.86113703	0.80521005	0.69836557	0.7130909	0.8331783	0.6945629	0.6849102	0.9019425	0.8136334	0.82742834	0.7195194	0.62028533	0.91348344	0.8193901	0.756884	0.8514435	0.7609417	0.89573246	0.82222587	0.9302268	0.88876826	0.91984504	0.8137891	0.75284874	0.7914516	0.9104326	0.6030448	0.6624325	0.725491	0.8377944	0.6980293	0.81302565	0.6974591	0.84938246	0.75845623	0.9561194	0.8941163	0.9394931	0.84678143	0.79055536	0.8215898	0.71355104	0.7909057	0.901358	0.88148063	0.8108961	0.86717063	0.70851666	0.7402771	0.9497844	0.84213406	0.84134996	0.8008535	0.69610846	0.76523304	0.71851504
film/noun	0.8793018	0.9391413	0.8285186	0.90780026	0.806682	0.9249027	0.93745154	0.89157516	0.7822205	0.8025247	0.73631763	0.8100893	0.93227196	0.8689356	0.8918179	0.9273702	0.689939	0.6907673	0.8401693	0.8566528	0.7989263	0.9058118	0.84165776	0.82782775	0.89332646	0.82387793	0.95447576	0.7202797	0.8418835	0.7145419	0.6831702	0.0	0.92361504	0.8241312	0.87649536	0.8855523	0.9115684	0.7564241	0.87597865	0.7951817	0.84858096	0.90155804	0.82887834	0.8728693	0.83236694	0.856516	0.9266077	0.9032762	0.8868582	0.83044666	0.7915553	0.706115	0.8579789	0.9453737	0.8634161	0.9625281	0.68072426	0.95010126	0.92043376	0.7630342	0.92322576	0.87179714	0.944672	0.73196924	0.7475349	0.8821811	0.8462403	0.87158245	0.8688088	0.7051761	0.6272574	0.87809104	0.8677529	0.75145864	0.866895	0.83092004	0.75216377	0.72707736	0.8742764	0.5636271	0.7123098	0.8567921	0.79147846	0.90820247	0.85207033	0.7537013	0.9368816	0.91471153	0.7842379	0.8711716	0.74368614	0.9336773	0.91792744	0.959303	0.95380825	0.9608911	0.8363068	0.8412093	0.9169052	0.9640425	0.63174355	0.8191687	0.7889414	0.927289	0.71208394	0.83579355	0.7141059	0.9234073	0.814341	0.97325593	0.9472205	0.9404308	0.8235177	0.8727026	0.83059764	0.7672065	0.552941	0.93671846	0.93803686	0.85882854	0.88600194	0.7809165	0.80349505	0.95695674	0.8921578	0.88994795	0.87650067	0.7559855	0.7797884	0.76032424
fysiek/noun	0.9290451	0.90189713	0.9087812	0.94692045	0.9266173	0.9324706	0.9489558	0.9199307	0.9038664	0.90090495	0.86815995	0.922659	0.92972636	0.8682835	0.913919	0.9267285	0.8828896	0.91146344	0.92873913	0.91798145	0.9035335	0.9523706	0.8826722	0.86333716	0.91147053	0.9463233	0.9117328	0.8642862	0.89230144	0.9063744	0.9065769	0.92361504	0.0	0.9228177	0.9485935	0.899805	0.9033639	0.9285424	0.9502068	0.9290335	0.9204102	0.9275836	0.9468523	0.91197276	0.9054079	0.8945066	0.91222465	0.91698307	0.9469914	0.8792498	0.90529644	0.9563093	0.8721149	0.9208616	0.9134214	0.9407622	0.8564693	0.9421682	0.9466386	0.8888203	0.9033407	0.93035644	0.91065377	0.94684064	0.91187334	0.90604734	0.93950766	0.86373675	0.8816011	0.9189815	0.92171705	0.93800044	0.9013035	0.9143021	0.908236	0.83872247	0.9227759	0.9215653	0.85314995	0.9068099	0.8830435	0.912778	0.9059754	0.91963005	0.9171226	0.84908545	0.9262142	0.9601051	0.86921835	0.87347496	0.93241173	0.95503104	0.91867363	0.90866166	0.931091	0.9207984	0.86453915	0.876331	0.936826	0.9270085	0.906486	0.9117089	0.9068436	0.95362824	0.9040847	0.8629196	0.92112696	0.89228535	0.9213335	0.9554285	0.947446	0.94401747	0.919837	0.94456387	0.81806684	0.89404356	0.93329847	0.92548096	0.9549831	0.93740475	0.91675204	0.91473067	0.8749757	0.9138032	0.9269337	0.95082486	0.85435474	0.8425976	0.8909458	0.8772959
gebaar/noun	0.8575615	0.9037523	0.8105117	0.8768927	0.8577596	0.87266016	0.94650847	0.8658272	0.82140416	0.73649967	0.7587689	0.730572	0.86367065	0.9128015	0.9493994	0.91198415	0.80339885	0.7604656	0.84490925	0.8391146	0.9072305	0.8908608	0.7855167	0.7812644	0.8805655	0.86827445	0.8520514	0.70455366	0.77440906	0.71777326	0.73354554	0.8241312	0.9228177	0.0	0.9052959	0.81262386	0.86039877	0.75866556	0.8571267	0.7595843	0.82778347	0.83645165	0.9017472	0.9208849	0.8695148	0.8492248	0.9169154	0.8539132	0.795439	0.78925824	0.75142837	0.87332547	0.84110487	0.8814386	0.8585953	0.9266038	0.72515976	0.91809547	0.90154713	0.7357747	0.8892638	0.84936816	0.8991163	0.8628879	0.8259752	0.8781822	0.8478849	0.8118211	0.7735182	0.782989	0.79025984	0.8299899	0.8944012	0.73150593	0.8737428	0.82942194	0.83189726	0.7854638	0.7914145	0.7876792	0.72528964	0.9109202	0.853052	0.86522514	0.8010103	0.77094537	0.9388571	0.8711994	0.772831	0.86668617	0.8459813	0.90590334	0.79325265	0.92167926	0.9086022	0.89508647	0.85937595	0.8107865	0.85051656	0.9387325	0.7217195	0.77378976	0.7483555	0.84213364	0.7372967	0.8125361	0.82352793	0.8570034	0.8577292	0.93616897	0.8692117	0.9462764	0.8371433	0.8698564	0.81770885	0.8086799	0.8605081	0.89577234	0.91640085	0.8723179	0.875583	0.75542194	0.7456986	0.94711304	0.8996844	0.9076692	0.7818653	0.7580461	0.8117579	0.7409776
gebouw/noun	0.93889296	0.92098594	0.856604	0.7126524	0.88004285	0.81538546	0.9312217	0.86677754	0.8948512	0.87212765	0.8292004	0.8078675	0.86241674	0.9199481	0.9624184	0.8514228	0.8827099	0.83267736	0.63415676	0.95124453	0.9527421	0.92650783	0.89364886	0.8460479	0.89819854	0.8970436	0.91855115	0.71191686	0.874347	0.8089893	0.79740715	0.87649536	0.9485935	0.9052959	0.0	0.88690734	0.92956436	0.82463974	0.8943527	0.82189107	0.87665635	0.7318422	0.894186	0.9564444	0.83867437	0.9391439	0.96571845	0.9271318	0.8439543	0.89704365	0.83079016	0.93777657	0.9029521	0.91675925	0.9263458	0.9158019	0.8131111	0.7875147	0.82716185	0.8562572	0.859917	0.8791793	0.89291203	0.89576787	0.705369	0.90858984	0.8342386	0.7756204	0.9344124	0.8939949	0.905803	0.82135046	0.87325954	0.8766485	0.88443524	0.87426424	0.79387134	0.7892202	0.9346072	0.8569249	0.8375855	0.9669606	0.83174235	0.7193384	0.82049644	0.87952805	0.93604267	0.6034219	0.8763398	0.9063268	0.89739716	0.9216217	0.90213037	0.9173969	0.9218832	0.92831814	0.9456992	0.8345557	0.6799153	0.91946405	0.76920176	0.8046162	0.88949734	0.82548076	0.85760707	0.8978065	0.85651726	0.8849312	0.8989178	0.94252324	0.95355237	0.8456567	0.8974797	0.8204236	0.8958714	0.79089034	0.9307519	0.9315986	0.7604857	0.90044117	0.8044136	0.82471097	0.86234856	0.8662447	0.6798942	0.6953043	0.8436145	0.84423035	0.8409703	0.8786556
gelaat/noun	0.90056634	0.902448	0.8806458	0.8469869	0.91029376	0.8966385	0.9467411	0.90818834	0.87243956	0.82378626	0.86027306	0.717234	0.901958	0.89183253	0.9340077	0.89206797	0.838429	0.85444885	0.8823465	0.91281384	0.8701122	0.8420822	0.8492063	0.84319973	0.90799093	0.9050315	0.8208416	0.7554504	0.8325218	0.80933094	0.755948	0.8855523	0.899805	0.81262386	0.88690734	0.0	0.8317293	0.80599684	0.90270394	0.5049219	0.8345544	0.8254467	0.8924753	0.92900014	0.8966461	0.8848736	0.9488291	0.8190218	0.72293687	0.8586867	0.7869334	0.8845444	0.8042401	0.7393533	0.9148602	0.8798928	0.844362	0.8719082	0.9114075	0.8059346	0.89040905	0.76809186	0.8478355	0.9026471	0.7923879	0.8857772	0.81385255	0.68226564	0.8291952	0.85894537	0.8488229	0.8596773	0.87884575	0.86506605	0.8531842	0.8841126	0.83773947	0.8008429	0.87696546	0.8382177	0.83131266	0.94260216	0.9085795	0.8456731	0.8127084	0.82674754	0.9064257	0.84199095	0.84258986	0.9032904	0.87546647	0.88643885	0.7654569	0.89743274	0.8813526	0.90297025	0.8857334	0.8578776	0.8050199	0.8676282	0.81948024	0.8151905	0.8698311	0.8790361	0.82694507	0.88569653	0.8817783	0.8926532	0.8358116	0.9259597	0.8812938	0.94469726	0.91097695	0.85982645	0.8885608	0.8338834	0.89602196	0.9128247	0.90384716	0.89189434	0.8961033	0.8350835	0.8025466	0.94811535	0.8994286	0.8705766	0.8187412	0.8502519	0.8424948	0.8288273
gelaat_trek/noun	0.96433425	0.9517127	0.93259	0.91441387	0.9425418	0.92129385	0.8794305	0.95164293	0.9105196	0.8761226	0.90504414	0.8580698	0.9415311	0.9063493	0.93046665	0.90077955	0.9221738	0.8740788	0.87678176	0.93363327	0.9348599	0.9037139	0.9167544	0.9001639	0.9393529	0.95658433	0.91515976	0.8637322	0.9267723	0.8908509	0.832482	0.9115684	0.9033639	0.86039877	0.92956436	0.8317293	0.0	0.89302844	0.9345176	0.79365736	0.9221522	0.9119439	0.9221833	0.9120319	0.8593239	0.93753314	0.94095314	0.8807272	0.8984961	0.902633	0.8630719	0.92754513	0.8562367	0.91345173	0.9099311	0.9150155	0.8729516	0.9641353	0.9271402	0.8341335	0.90555847	0.9004593	0.8972182	0.93549323	0.8606006	0.92035925	0.8527185	0.8790734	0.88497937	0.893469	0.89981973	0.8875127	0.913433	0.9190784	0.90967685	0.93504083	0.85923076	0.88601315	0.8757727	0.87398005	0.88655317	0.93356895	0.9214633	0.87065583	0.8712263	0.869406	0.890066	0.89443827	0.8677592	0.89385843	0.91933084	0.923708	0.8995795	0.935651	0.9130734	0.8737747	0.8915127	0.9155887	0.91401577	0.93411016	0.854899	0.9007492	0.832176	0.93034124	0.8795729	0.9138581	0.91840374	0.9445472	0.8217292	0.93609536	0.935582	0.94985133	0.93355346	0.8833423	0.919719	0.8780203	0.9405372	0.93543136	0.9474398	0.9212338	0.92277193	0.88800585	0.884702	0.9528623	0.9480108	0.9153032	0.90372074	0.89117426	0.9079838	0.88596493
geluid/noun	0.89819914	0.9362924	0.79752797	0.85839725	0.7642194	0.81958365	0.950985	0.81019574	0.8062309	0.67577237	0.7594528	0.6939082	0.80610776	0.8832445	0.887148	0.88506633	0.7396023	0.6669576	0.7863328	0.8423173	0.7904239	0.8812968	0.8083246	0.7596656	0.8766031	0.85366654	0.88775253	0.6230389	0.7405155	0.69662154	0.7246971	0.7564241	0.9285424	0.75866556	0.82463974	0.80599684	0.89302844	0.0	0.9162878	0.71560156	0.62559867	0.75827324	0.8274896	0.7982494	0.85348725	0.8604906	0.90575624	0.8528231	0.801323	0.8063966	0.74101365	0.83219004	0.8391206	0.8686844	0.88201356	0.9255095	0.7251924	0.84639317	0.8384877	0.48121178	0.8605278	0.8062349	0.8674029	0.8174628	0.7387575	0.78598887	0.81239176	0.7353946	0.83343804	0.7448163	0.6760036	0.78891885	0.8633148	0.76071465	0.82849145	0.80709916	0.7565663	0.72743714	0.84637123	0.55876076	0.7116601	0.91239977	0.80871	0.86491334	0.7541015	0.79837036	0.8715895	0.79131436	0.62603986	0.775904	0.696436	0.88063043	0.82294905	0.9090064	0.89605325	0.88928574	0.8538877	0.7788164	0.79314464	0.91083944	0.68083405	0.79073733	0.75250447	0.8363617	0.74770415	0.81331444	0.7927487	0.8789166	0.8307969	0.9560764	0.9406585	0.9496486	0.8469271	0.8505975	0.82896554	0.78072643	0.8697741	0.8960442	0.83258444	0.6955795	0.7803788	0.73518187	0.724539	0.93333113	0.8577454	0.8405166	0.78541315	0.7540965	0.7305662	0.7315016
generaal/noun	0.8734732	0.8779381	0.81231654	0.92791563	0.9518373	0.94395536	0.9802	0.8957016	0.88698685	0.8049252	0.88906336	0.8778909	0.9376337	0.93842036	0.9677299	0.97049475	0.95526	0.9215203	0.9179269	0.97007734	0.9528409	0.96766716	0.8956973	0.8918803	0.8502449	0.8088683	0.9451167	0.8174089	0.8900796	0.8414209	0.7994901	0.87597865	0.9502068	0.8571267	0.8943527	0.90270394	0.9345176	0.9162878	0.0	0.8923492	0.92045534	0.92070913	0.95559335	0.9674487	0.9425709	0.886708	0.9505389	0.92513114	0.86686516	0.93545145	0.8650505	0.81578654	0.82818055	0.91706324	0.9174526	0.9704081	0.8692909	0.9426059	0.9457295	0.9159771	0.9567294	0.8911421	0.9525216	0.8872933	0.8899137	0.9298966	0.9126093	0.8879446	0.9445776	0.85418224	0.924633	0.91625977	0.9481126	0.87972724	0.942306	0.89378595	0.8654039	0.9214872	0.9431913	0.9130916	0.85759103	0.94214916	0.908906	0.9140736	0.90971744	0.8573843	0.9802796	0.9205603	0.90254617	0.95994484	0.91052467	0.96685565	0.90343815	0.9627498	0.96543247	0.97061694	0.9410535	0.84272105	0.8984034	0.9618003	0.8591998	0.8300848	0.87240565	0.9155023	0.86904025	0.9112276	0.9092575	0.92833734	0.8724538	0.968761	0.9288827	0.96453226	0.9070492	0.924451	0.90562457	0.8345244	0.91399956	0.87444705	0.944469	0.9317589	0.9483421	0.88316846	0.90834606	0.9547756	0.93863124	0.9396002	0.85602856	0.8750961	0.9181104	0.8695928
gezicht/noun	0.8475558	0.92692906	0.8157745	0.79350555	0.8952646	0.8148748	0.92420876	0.8840029	0.84145355	0.7639916	0.7827838	0.5641908	0.845933	0.8607744	0.93938386	0.8800205	0.8088157	0.78727573	0.81994265	0.888314	0.9236858	0.79484755	0.8004558	0.78760844	0.89714265	0.8656597	0.7846111	0.62659633	0.7120005	0.6815973	0.6569799	0.7951817	0.9290335	0.7595843	0.82189107	0.5049219	0.79365736	0.71560156	0.8923492	0.0	0.79024833	0.7244873	0.9104384	0.9065978	0.8788309	0.8740726	0.9428171	0.7788271	0.56785226	0.7824923	0.6758908	0.86493456	0.71407807	0.7089076	0.8805139	0.838728	0.7526137	0.85234475	0.89472306	0.75570154	0.8569762	0.66657174	0.84750026	0.8386723	0.7212972	0.7955934	0.7712414	0.6158173	0.82957476	0.8183472	0.7959355	0.7840886	0.84045595	0.80167544	0.8162693	0.8250624	0.758295	0.71206874	0.8507667	0.799512	0.7094164	0.92324394	0.887686	0.81089914	0.75721014	0.7829472	0.92552537	0.71066606	0.7935646	0.9035661	0.8585024	0.84134555	0.65199006	0.8744564	0.85070467	0.83790976	0.86366296	0.78354293	0.74469244	0.8378116	0.7280791	0.77844197	0.8138858	0.77464014	0.73902726	0.8053138	0.84167707	0.8673018	0.79805946	0.9177127	0.8750783	0.9341312	0.8736621	0.8021952	0.8331663	0.79173356	0.87961453	0.87507504	0.8630159	0.83368766	0.886697	0.75028914	0.66175485	0.94927233	0.874328	0.83817905	0.7119221	0.7709767	0.7333756	0.74013233
gitaar/noun	0.9125175	0.92605937	0.86983323	0.8892687	0.7306441	0.8277663	0.95345014	0.7831948	0.86787856	0.8140191	0.8243264	0.762735	0.8672086	0.8952822	0.87053263	0.8959962	0.78755844	0.6735623	0.8517144	0.8457497	0.7144137	0.87010944	0.8727823	0.84104097	0.9285661	0.9184742	0.8774992	0.6798169	0.78098893	0.7877762	0.78045976	0.84858096	0.9204102	0.82778347	0.87665635	0.8345544	0.9221522	0.62559867	0.92045534	0.79024833	0.0	0.8089019	0.90921366	0.7665372	0.91175044	0.8684379	0.9358998	0.85561395	0.8139111	0.8802837	0.76237935	0.8849515	0.813341	0.8704376	0.9156548	0.92281526	0.8211038	0.9166677	0.84750146	0.59379935	0.8778615	0.8240219	0.92723906	0.8241227	0.8203009	0.78785914	0.8659162	0.8037198	0.86596704	0.7329861	0.6322785	0.8361376	0.8758557	0.8647523	0.86086464	0.9033523	0.8188727	0.7698775	0.8379676	0.60467964	0.7927767	0.8890091	0.85410386	0.8789796	0.8387267	0.8565088	0.9460552	0.80606323	0.6441798	0.7876256	0.6454577	0.8972482	0.82231027	0.92056286	0.90287143	0.90630054	0.8831171	0.842693	0.8577844	0.91477853	0.7293885	0.85299003	0.837106	0.8545221	0.79846334	0.87736595	0.8306939	0.87384534	0.85811406	0.96245855	0.92509586	0.9520782	0.9080258	0.85087997	0.8980103	0.7934868	0.910971	0.9210374	0.8918422	0.51621544	0.8479598	0.8344976	0.7867422	0.94966704	0.8837466	0.8596451	0.80675644	0.86427444	0.8392951	0.82940197
