	BMW/name	Brussel/name	Gill/name	Kinepolis/name	Konmar/name	Unilever/name	aandeel/noun	aanzienlijk/adj	abonnement/noun	alles/noun	alternatief/noun	amusement/noun	antibioticum/noun	appartement/noun	arbeid/noun	arbeid_kracht/noun	artikel/noun	bedrijf/noun	bedrijf_investering/noun	bel/verb	bewering/noun	bier/noun	boek/verb	bus/noun	charme/noun	coke/noun	consument/noun	dat/det	devaluatie/noun	die/det	diesel/noun	ding/noun	dollar/noun	echt/adj	effectbejag/noun	elektriciteit/noun	en/vg	erg/adj	eten/noun	euro/noun	extreem/adj	fabrikant/noun	factuur/noun	flink/adj	formule/noun	genees_middel/noun	gerecht/noun	goud/noun	grafiek/noun	grond/noun	grondstof/noun	ham/noun	heel/adv	heruitgave/noun	het/noun	hoe/adj	hoofdzakelijk/adj	hotel/noun	hout_soort/noun	huisvuil_zak/noun	huur_woning/noun	iets/noun	inkoop/noun	inseminatie/noun	internet/noun	juist/adv	kamer/noun	kantoor_ruimte/noun	kleding/noun	kool/noun	kop_DIM/noun	krediet/noun	kwaliteit/noun	lekker/adj	lening/noun	leven_middel/noun	lijn_dienst/noun	luchtvaart_maatschappij/noun	maaltijd/noun	maatschappij/noun	makelaar/noun	medicijn/noun	meestal/adv	merk/noun	merkelijk/adj	mest/noun	middel/noun	mode/noun	model/noun	niet/adv	nog/adv	om/comp	onderwijs/noun	oog/adj	opvang/noun	overigens/adv	pak_DIM/noun	paraplu/noun	pc/noun	permanent/adj	pin/verb	populist/noun	prijs/noun	product/noun	productie/noun	programma/noun	reis/noun	relatief/adj	rij_DIM_huis/noun	rij_auto/verb	rommel/noun	rook/verb	sperma/noun	spul/noun	spul_DIM/noun	ster_restaurant/noun	strafschop/noun	strafschop_doelpunt/noun	stroom/noun	stuk/noun	tarief/noun	te/comp	techniek/noun	technologie/noun	telecom_aandeel/noun	ticket/noun	trip/noun	truc/noun	tweewieler/noun	type/noun	uiteindelijk/adj	uitgave/noun	vaak/adj	veel/adj	versie/noun	vervanging/noun	vervoer/noun	vlag/noun	vlees/noun	vlucht/noun	vooral/adv	vrij/adj	wao/noun	was_poeder/noun	wij/pron	winkel/noun	woning/noun	ze/pron	zo/adj	zo/adv
BMW/name	0.0	0.8789989	0.9635823	0.9292305	0.9360051	0.87161595	0.8057143	0.89782953	0.89300036	0.9753083	0.9378025	0.97626984	0.9573541	0.8775197	0.93907017	0.9490066	0.89769435	0.8373605	0.93724287	0.9338867	0.9806264	0.8850279	0.7742872	0.8496217	0.95323837	0.9392974	0.9026893	0.89930993	0.98433375	0.9681342	0.7160351	0.9631678	0.7293842	0.93578726	0.9676656	0.8617766	0.8854301	0.94953746	0.95258456	0.7277834	0.9536536	0.85009295	0.8697454	0.9041827	0.9396643	0.92540085	0.927792	0.92597616	0.93198526	0.9188247	0.9443998	0.970942	0.95196605	0.97504574	0.9715825	0.95933735	0.913586	0.8929671	0.9655734	0.9311472	0.904183	0.94265246	0.9755645	0.9953911	0.94337064	0.9577492	0.8645912	0.911468	0.9065294	0.94870424	0.94216716	0.8275832	0.9817601	0.94151384	0.7975836	0.9619867	0.98325646	0.90126014	0.9323167	0.9059335	0.912827	0.9517192	0.9735305	0.8010762	0.989729	0.9522702	0.9105093	0.93801856	0.8147417	0.9686668	0.8923553	0.9743183	0.9059341	0.9640391	0.92159164	0.9264786	0.9395925	0.9770216	0.88825077	0.8980516	0.9619979	0.97464424	0.81919956	0.8688196	0.84778	0.9448899	0.92635393	0.9029068	0.9610207	0.96386325	0.9896819	0.94176114	0.9564831	0.95130694	0.9846182	0.99432045	0.9621272	0.9992579	0.92383385	0.84572685	0.89544857	0.99613243	0.9385177	0.9673969	0.976904	0.8640237	0.94686985	0.9444598	0.9576009	0.8427927	0.9022451	0.8470026	0.97994524	0.98016566	0.88583946	0.9276604	0.92220926	0.9467816	0.92161065	0.84698063	0.9474616	0.9381645	0.93081295	0.96653646	0.95102763	0.82369876	0.79763895	0.98955405	0.9859348	0.9861374
Brussel/name	0.8789989	0.0	0.961441	0.8268289	0.9686787	0.945789	0.853939	0.90610015	0.9024837	0.9062293	0.9074578	0.90170944	0.97148466	0.8556044	0.9368435	0.95100915	0.82927716	0.8425274	0.97817266	0.8163042	0.953802	0.9002441	0.84586746	0.7938191	0.9424801	0.96621764	0.91447204	0.94664615	0.966411	0.9497111	0.9158948	0.9362073	0.8546457	0.9262822	0.9992236	0.90939116	0.83254284	0.8987936	0.93190575	0.83753633	0.91041255	0.9222121	0.93138903	0.9010142	0.8986907	0.94157374	0.8528637	0.9029474	0.8991259	0.8864151	0.95273995	0.94069165	0.92923385	0.97207224	0.92899823	0.92448324	0.9140284	0.8518527	0.9863422	0.9393896	0.90983033	0.9094965	0.97191775	0.9841578	0.86221534	0.9385704	0.87936866	0.9243002	0.9370136	0.9491612	0.9256576	0.9286283	0.9239249	0.9436605	0.9046345	0.96406543	0.93654275	0.896134	0.936893	0.89343834	0.93141943	0.93795705	0.9189878	0.9008529	0.9697682	0.94830817	0.8864826	0.86176777	0.89514434	0.95208055	0.8832422	0.9201382	0.9196248	0.9231553	0.932606	0.86657786	0.9047966	0.95651037	0.9254122	0.90386367	0.9486985	0.94664204	0.859482	0.89490724	0.862588	0.803548	0.8842843	0.88317865	0.9731036	0.97917247	0.9649019	0.92441887	0.9612624	0.9417574	0.9533831	0.95173687	0.9194536	0.98230636	0.91859436	0.8528361	0.91240454	0.96745026	0.9410314	0.9159384	0.97873867	0.7075072	0.9089352	0.9566917	0.9487491	0.8775149	0.87193877	0.86381215	0.94354594	0.9223334	0.8593782	0.9300716	0.9149021	0.90078753	0.93890613	0.8389602	0.8978332	0.8754486	0.9566835	0.9405175	0.91655844	0.8527139	0.78018856	0.9752498	0.8382079	0.87559927
Gill/name	0.9635823	0.961441	0.0	0.96324825	0.98098284	0.95925695	0.96086025	0.9704134	0.9814583	0.973543	0.97160614	0.9709123	0.9793527	0.96332633	0.9760576	0.99538815	0.97240704	0.9792746	0.954298	0.97093934	0.97771615	0.9922828	0.96364605	0.9804468	0.98422104	0.97591555	0.9902431	0.99855226	0.94616807	0.9869889	0.97883105	0.993717	0.97364664	0.98390067	1.0	0.99287665	0.93868196	0.98804367	0.98035693	0.976713	0.99797404	0.9762307	0.9779364	0.9864817	0.99285764	0.98667186	0.98382187	0.96863645	0.9681657	1.0	0.98531264	0.95256907	0.99370843	0.992664	0.999794	0.9913841	0.995714	0.9652861	0.99197567	0.9894532	0.99027765	0.9938133	0.98419476	0.9931586	0.9923409	0.9899319	0.98616594	0.9734831	0.9857812	0.9967755	0.9699227	0.96994615	0.9944247	0.99243605	0.98431545	0.9936569	0.992661	0.94425607	0.970899	0.9701926	0.9886599	0.9989884	0.9951853	0.9678403	0.98392546	0.99084747	0.99511373	0.9924806	0.9734102	0.9629421	0.98553944	0.98613113	0.9914091	0.9881839	0.9862601	0.97550255	0.98740244	0.9681401	0.9759423	0.9993252	0.968532	0.9274602	0.9925651	0.9922569	0.980044	0.9865397	0.9845528	0.98095685	0.9928308	0.99537545	0.9999061	0.98415625	0.98325115	1.0	0.98002887	0.99512845	0.93935883	0.9468722	0.9779928	0.992304	0.992162	0.9980677	0.9947606	0.98799604	0.9884621	0.9579893	0.96548545	0.9899572	0.94636184	0.95826316	0.9802397	0.98352003	0.97346056	0.9644877	0.96329623	0.95710343	0.9916517	0.9768714	0.9836638	0.9751554	0.9680337	0.99737	0.9990439	0.97443914	0.98619366	0.96491086	0.9825028	1.0	0.9860715	0.9936765
Kinepolis/name	0.9292305	0.8268289	0.96324825	0.0	0.95323217	0.9291824	0.82566285	0.9521209	0.88961565	0.9829297	0.9834791	0.9108325	0.95599926	0.93048596	0.9489084	0.97336155	0.9366585	0.88397366	0.90591425	0.95590365	0.98291135	0.952755	0.86813223	0.940526	0.9860623	0.9570995	0.936842	0.95363045	0.961712	0.99902713	0.90083945	0.98715293	0.8499013	0.9747068	0.9947777	0.9177781	0.9544533	0.96029985	0.98017746	0.84410244	0.94587725	0.9354986	0.9355843	0.94405735	0.9555717	0.94959974	0.9737507	0.96653014	0.9542977	0.93966055	0.96942115	0.9499817	0.9632853	0.9566994	0.98257107	0.9923431	0.9637227	0.969438	0.99860144	0.9595298	0.92069054	0.97866255	0.92121243	0.9687135	0.96765465	0.9787937	0.9307843	0.9071928	0.9586211	0.9835247	0.96106863	0.938003	0.97284585	0.9921479	0.8961662	0.97370434	0.96767914	0.9638389	0.94163704	0.97121304	0.975652	0.95362127	0.960818	0.9668851	0.9810965	0.9765015	0.9579402	0.9542375	0.9769618	0.99773425	0.92882186	0.99211603	0.9446151	0.98486614	0.96497095	0.95166045	0.94648963	0.9589919	0.95346504	0.97877616	0.9389195	0.988196	0.9050928	0.90605104	0.9097872	0.92086804	0.9583423	0.9399942	0.98465514	0.96190566	0.99238276	0.952966	0.9837428	0.9862763	0.96115786	0.966054	0.97119015	0.99924976	0.9517794	0.93520975	0.8842281	0.9917496	0.952761	0.9609185	0.9495963	0.8771546	0.9777777	0.98652506	0.97402185	0.9604268	0.9425359	0.90776336	0.9898846	0.9830225	0.9633947	0.9765154	0.9820011	0.9875484	0.9626491	0.95196474	0.9490026	0.964469	0.9498509	0.9481988	0.9820212	0.949136	0.93021667	0.9994556	0.7751285	0.7928523
Konmar/name	0.9360051	0.9686787	0.98098284	0.95323217	0.0	0.8923265	0.9033495	0.9788635	0.92645293	0.9941268	0.96077937	0.98776835	0.9836452	0.9307452	0.8809463	0.96658134	0.89014065	0.94526035	0.9733486	0.9551067	0.9634232	0.9667845	0.931574	0.96605814	0.969256	0.9432193	0.89975005	0.97693837	0.95495206	0.99487746	0.9236963	0.95709836	0.88143975	0.95675534	0.9871807	0.965555	0.9399221	0.95275176	0.9645066	0.8757413	0.987128	0.9647888	0.9654306	0.9387511	0.93226415	0.9863459	0.98205096	0.9630378	0.9639724	0.9595893	0.94869864	0.9692127	0.98786265	0.9909691	0.98198193	0.9885433	0.9565759	0.9600134	0.99763703	0.9480127	0.8995589	0.9804262	0.92479587	0.9956695	0.99730283	0.97892565	0.9476194	0.91652703	0.97675914	0.96958673	0.98823905	0.95268655	0.99217474	0.9596911	0.9325822	0.90143895	0.9817039	0.96634066	0.9062887	0.9843603	0.932386	0.9398971	0.9796102	0.9460951	0.9888486	0.96911824	0.96050555	0.9836513	0.9756567	0.9991304	0.9479554	1.0	0.9722292	0.98570836	0.9747605	0.93559974	0.9512009	0.98383904	0.944343	0.9751061	0.9628921	0.9820881	0.9217922	0.8876294	0.95491165	0.97388417	0.97852504	0.95076746	0.94623804	0.9958616	0.99671483	0.958596	0.9961457	0.9680909	0.987682	0.95077896	0.9640427	0.99947995	0.97299385	0.93845683	0.93051213	0.99202096	0.97856796	0.9919862	0.97841775	0.9239939	0.9787968	0.9742949	0.997294	0.9474985	0.9609343	0.9588993	0.995852	1.0	0.9600359	0.9775932	0.9533495	0.9877326	0.9099487	0.956166	0.94173634	0.9710885	0.97842246	0.99018586	0.9774047	0.85858345	0.9341608	1.0	0.9997537	0.9964254
Unilever/name	0.87161595	0.945789	0.95925695	0.9291824	0.8923265	0.0	0.5759015	0.8985879	0.9069024	0.98293245	0.96439165	0.98135626	0.9230914	0.8971072	0.9501004	0.9229968	0.9108146	0.8047682	0.8742386	0.9598468	0.97138774	0.8428455	0.6925784	0.93444943	0.9868946	0.9210858	0.85994583	0.9287619	0.9488048	0.97852224	0.7653026	0.98094916	0.6639513	0.9816449	0.9932111	0.90741557	0.8967015	0.96469826	0.9494876	0.6548599	0.9736586	0.82439005	0.9014343	0.8352883	0.93411183	0.94768894	0.9771903	0.9442355	0.9255744	0.9261062	0.930792	0.96602213	0.98173004	0.98010594	0.9817634	0.99179393	0.9359868	0.94467014	0.9963914	0.91703695	0.9140275	0.9868402	0.8873271	0.98314387	0.9313577	0.9152738	0.93417585	0.88487685	0.9225612	0.9405701	0.92261827	0.81669915	0.96480495	0.9426539	0.74679756	0.8753184	0.98384696	0.82754314	0.9219089	0.93213123	0.93403494	0.9035539	0.974767	0.79736555	0.972586	0.9123938	0.95273703	0.9671567	0.9529622	0.98131573	0.91683716	0.98893446	0.9406967	0.988523	0.93785614	0.91100997	0.84249175	0.9379314	0.90611213	0.9468365	0.9421835	0.98567146	0.7540475	0.8088749	0.8237548	0.97188747	0.9581803	0.87486064	0.9614593	0.9852941	0.9914555	0.92330384	0.95303226	0.9633479	0.95310557	0.98034203	0.95910513	0.98823917	0.9121286	0.80619085	0.7726648	0.9761292	0.9709525	0.9510368	0.8953063	0.89628667	0.9630145	0.97881603	0.97595644	0.9400485	0.8741549	0.83721316	0.9801194	0.9542703	0.9633573	0.9557924	0.94747907	0.97062534	0.92659706	0.9116875	0.92753446	0.9684842	0.89753664	0.94678944	0.96153355	0.89158225	0.89609927	0.9978442	0.988447	0.99564123
aandeel/noun	0.8057143	0.853939	0.96086025	0.82566285	0.9033495	0.5759015	0.0	0.7978573	0.8000517	0.9584346	0.922209	0.97640264	0.9164127	0.81035995	0.9126172	0.90407187	0.8249439	0.5238121	0.8365959	0.89430994	0.97449833	0.7910574	0.39415944	0.870296	0.96721005	0.90181166	0.7709131	0.7707895	0.9467889	0.9608756	0.69671786	0.9689605	0.2979042	0.97199136	0.983536	0.84356594	0.84763277	0.9257171	0.94608325	0.285753	0.93191683	0.7520448	0.8029235	0.71188253	0.89113307	0.8534728	0.9335674	0.8987361	0.8991052	0.846168	0.901628	0.9224299	0.9238215	0.9663345	0.96485674	0.9777945	0.8777544	0.8797755	0.9833525	0.8747246	0.8266914	0.9215586	0.84938014	0.9754505	0.8501029	0.87252927	0.8439299	0.82783926	0.9187517	0.8890701	0.88933927	0.6949536	0.95809245	0.9398373	0.54638374	0.90017545	0.9596466	0.74322367	0.8723443	0.8195078	0.8981264	0.870346	0.9312475	0.8594134	0.9172352	0.9267165	0.82569647	0.96401656	0.91255033	0.9676568	0.75384086	0.9349959	0.8432478	0.9770942	0.9052756	0.7994243	0.81220645	0.9425404	0.8302432	0.9175365	0.9262339	0.9723944	0.57509565	0.72564936	0.74397945	0.93077934	0.9067248	0.76691836	0.95188576	0.9697429	0.97406733	0.8757669	0.95656043	0.94108015	0.9637426	0.96147513	0.92018694	0.990263	0.8383356	0.61531675	0.5842468	0.9716436	0.9334811	0.88373816	0.822298	0.7673227	0.94113266	0.9487483	0.95121574	0.8951091	0.7328166	0.7184359	0.9485953	0.9472693	0.90024096	0.92284125	0.86154	0.93656707	0.8835987	0.8247803	0.8511041	0.9175021	0.8772269	0.9579639	0.93895096	0.78460735	0.7873526	0.99730825	0.9793116	0.9870588
aanzienlijk/adj	0.89782953	0.90610015	0.9704134	0.9521209	0.9788635	0.8985879	0.7978573	0.0	0.89207774	0.94180095	0.9196078	0.9687109	0.98323286	0.8922145	0.95535254	0.92015517	0.888171	0.838049	0.93449247	0.91259485	0.93349516	0.9477155	0.8034861	0.9049859	0.9632319	0.95158046	0.88418907	0.9351523	0.96378773	0.9719778	0.8913182	0.97580886	0.79955006	0.97117305	0.9763533	0.93935305	0.8419848	0.9345935	0.91293806	0.80298793	0.960984	0.89405185	0.90847766	0.86714923	0.9258429	0.9463504	0.9231495	0.9269545	0.96052	0.90081674	0.94687736	0.9649955	0.9337737	0.9554332	0.961913	0.9558152	0.90280324	0.9106324	0.9563757	0.9721252	0.91421777	0.94112897	0.92242825	0.99677587	0.9106443	0.9104135	0.89624745	0.9439655	0.9445412	0.9539031	0.95417315	0.88543653	0.92436695	0.9452452	0.85682106	0.97470385	0.97980547	0.8730308	0.9463128	0.8852746	0.9432337	0.9346635	0.88498074	0.9164001	0.9849802	0.9539409	0.883615	0.971283	0.91325885	0.9740258	0.8906661	0.9343756	0.91730905	0.95760995	0.947338	0.88745564	0.92435914	0.9327928	0.91657484	0.91367805	0.9854869	0.99395245	0.8514572	0.8928891	0.8740801	0.93253547	0.90384895	0.85620826	0.97659403	0.9940611	0.9810267	0.95202035	0.98330075	0.95440555	0.9871863	0.9906883	0.97633976	0.98811203	0.91280717	0.8809675	0.90280056	0.9398056	0.91969496	0.94421726	0.94173497	0.90974456	0.92575425	0.9696018	0.9833258	0.91341007	0.89322937	0.8533012	0.95660454	0.9264736	0.90163547	0.95944566	0.9005634	0.9403867	0.9371877	0.88034934	0.8571681	0.9324727	0.91797763	0.97424394	0.9760121	0.8741419	0.8541093	0.9783951	0.9748933	0.9842819
abonnement/noun	0.89300036	0.9024837	0.9814583	0.88961565	0.92645293	0.9069024	0.8000517	0.89207774	0.0	0.9757254	0.96992576	0.98161817	0.9431798	0.85386795	0.94087714	0.845394	0.85083693	0.7891135	0.95864683	0.9057544	0.97701526	0.88232344	0.8472545	0.8722628	0.98516494	0.91162163	0.8765899	0.9479572	0.9508845	0.9708667	0.85955364	0.95664334	0.6922933	0.97627	1.0	0.85880107	0.92183864	0.9702999	0.9702978	0.6675765	0.9419104	0.9345663	0.83861434	0.9334051	0.9233289	0.95558584	0.9575183	0.91200817	0.9407752	0.85536504	0.9453832	0.91666645	0.9510434	0.98008394	0.96964407	0.99697036	0.9156007	0.90148294	0.9625064	0.92550576	0.8132088	0.9505805	0.9470102	0.9585694	0.89575076	0.96462184	0.8413385	0.79146975	0.9171576	0.89899397	0.9537744	0.9003197	0.97268367	0.98304236	0.8295867	0.8927175	0.98392653	0.93841153	0.85227513	0.9493813	0.93069446	0.8867372	0.96550685	0.8877018	0.94668156	0.8608594	0.92057925	0.95919204	0.9535069	0.99273777	0.87855875	0.97968984	0.90245825	0.96553904	0.8895711	0.9213397	0.8839946	0.976416	0.8963257	0.89221656	0.9570598	0.9883527	0.7086829	0.9206762	0.8675085	0.9531318	0.92618036	0.92582303	0.96158093	0.9465093	0.9650985	0.9251364	0.9642979	0.9555214	0.9494	0.9800202	0.9695497	0.9781294	0.8696785	0.72810227	0.83549213	0.993054	0.9658304	0.942925	0.9822268	0.6934412	0.89881164	0.9755801	0.95038646	0.9203719	0.8754771	0.85151535	0.956407	0.9441181	0.9530107	0.94333315	0.9089493	0.9509423	0.92872494	0.8644165	0.95568794	0.94961745	0.914936	0.98049724	0.97284234	0.79028666	0.77849483	0.99872696	0.97814167	0.9749671
alles/noun	0.9753083	0.9062293	0.973543	0.9829297	0.9941268	0.98293245	0.9584346	0.94180095	0.9757254	0.0	0.911998	0.9376243	1.0	0.93174165	0.9590874	0.9987321	0.9404157	0.91432023	0.9974401	0.9119322	0.9644493	0.9625068	0.93942213	0.92793614	0.9448307	0.99981725	0.9547695	0.84246826	0.99500483	0.8855527	0.98256147	0.86517096	0.95185393	0.80872244	1.0	0.961932	0.8328704	0.8756407	0.9467084	0.95458865	0.968029	0.93437	0.9846052	0.9161359	0.9800576	0.9722378	0.9247766	0.93675995	0.9914723	0.8950596	0.9970673	0.98668134	0.883154	0.99357796	0.87539256	0.8231447	0.9832517	0.9439436	1.0	0.99777216	0.97786975	0.90494365	0.994658	0.99796546	0.92471516	0.9207793	0.9464403	0.99524117	0.95797265	0.9803195	0.958158	0.99232566	0.9107843	0.90726423	0.9782049	0.99985445	0.9760117	0.97641826	0.9786129	0.9509305	0.96797675	0.980053	0.9216279	0.9505855	0.9593919	0.9809408	0.9345853	0.9475246	0.92511785	0.868628	0.87856746	0.95501226	0.9543167	0.92772704	0.9818712	0.8535803	0.9695165	0.9830923	0.9554043	0.9545181	1.0	1.0	0.9226861	0.9229668	0.9365937	0.9145526	0.9395992	0.9380548	0.99864346	0.9838155	0.9852869	0.92526716	0.9938357	0.92335296	0.9993196	1.0	0.9509891	1.0	0.9781069	0.8960836	0.98466045	0.9241884	0.9238905	0.9380991	0.99614584	0.9466824	0.9594569	0.9595432	1.0	0.9456792	0.90529764	0.9493572	0.9236258	0.86648566	0.93469864	0.9813787	0.97694135	0.91727334	0.9632322	0.96601534	0.84966946	0.8850674	0.9968183	0.9581709	0.8401551	0.94126916	0.9473965	0.8767507	0.95059794	0.9406417
