	1999/noun	AG/name	Bax/name	Belgische/name	Chrysler/name	Europa/name	Fabricom/name	Franse/name	Hof/name	Italiaan/noun	Nissan/name	Philips/name	Top/name	Unilever/name	activiteit/noun	administratie/noun	afdeling/noun	al/adv	bank/noun	bank_sector/noun	bedrijf/noun	bedrijf_terrein/noun	bestuurder/noun	binnen/prep	bovendien/adv	brandweer/noun	choreografie/noun	club/noun	concern/noun	container_park/noun	daarom/pp	dagenlang/adj	die/det	dienst/noun	diep/noun	directie/noun	dochter/noun	doorgaans/adv	drastisch/adj	dringend/adj	druk/noun	dus/adv	economie/noun	eerder/noun	eerst/adv	en/vg	er/adv	fabriek/noun	familie_bedrijf/noun	filiaal/noun	flink/adj	fors/adj	gebied/noun	gewoon/adj	groep/noun	grondig/adj	grotendeels/adv	het/det	huishouding/noun	ingekort/adj	intussen/adv	jaar/noun	jeugd_beleid/noun	jeugd_voetbal/noun	keer/adv	landbouw_sector/noun	leger/noun	lening/noun	luchtvaart_bedrijf/noun	luchtvaart_maatschappij/noun	maar/adv	management/noun	marketing/noun	marketing_afdeling/noun	markt/noun	mede/adv	medium_groep/noun	merk/noun	moet/verb	namelijk/adv	netwerk/noun	nu/adv	om/comp	onderneming/noun	opleiding/noun	opnieuw/adv	organisatie/noun	overheid_schuld/noun	productie/noun	regio/noun	schooljaar/noun	schuld/noun	secretariaat/noun	sector/noun	slechts/adv	snel/adj	spoor_weg/noun	staal_industrie/noun	staat_bedrijf/noun	tak/noun	ten/adv	terwijl/comp	tijd/noun	top/noun	topman/noun	tot/prep	totaal/noun	traject/noun	uiteindelijk/adj	ver/adj	vermoedelijk/adj	vermogen/noun	vervolgens/adv	voetbal/noun	voetbal_bond/noun	volgens/prep	volledig/adj	volop/adv	voor/comp	waardoor/pp	we/pron	weer/adv	wij/pron	ze/pron	zich/pron	zichzelf/pron	zodat/comp	zonder/comp	zonder/prep	zwaar/adj
Nissan/name	0.9012876	0.8433019	0.9559599	0.91896886	0.6895573	0.8499958	0.9161639	0.89658195	0.943373	0.9233589	0.0	0.8305216	0.91343904	0.85095423	0.88399416	0.9250996	0.92130196	0.91395044	0.86361593	0.90271294	0.7920822	0.9102623	0.8693619	0.9012706	0.8571058	0.8974872	0.93378544	0.9038367	0.781099	0.89941406	0.91237587	0.9275704	0.88581914	0.9141557	0.9616021	0.88483584	0.91379416	0.889668	0.9047146	0.91446793	0.901525	0.8981717	0.8983382	0.8978802	0.90355974	0.8474916	0.93075985	0.8288608	0.85970414	0.8738672	0.9150824	0.881592	0.9075948	0.9205	0.9128848	0.90638137	0.8887948	0.8971025	0.9118742	0.9634331	0.89836025	0.9096862	0.9536737	0.9556978	0.91310287	0.94501114	0.9332217	0.9094115	0.8335046	0.85389364	0.94088095	0.89239025	0.8866162	0.9247681	0.857323	0.90018034	0.84812903	0.77913064	0.9056781	0.90960664	0.8812659	0.90059006	0.8899392	0.8076423	0.94881505	0.9047206	0.87296474	0.93788165	0.82635903	0.8996117	0.93771976	0.9015049	0.9377167	0.8852243	0.9206547	0.88695073	0.9040284	0.94348836	0.8933627	0.88260436	0.93738866	0.88024825	0.9395906	0.93837255	0.8235625	0.91020566	0.8973193	0.933549	0.900005	0.9380232	0.87644213	0.87832147	0.8657422	0.9429265	0.92852557	0.91114503	0.88186044	0.90286684	0.9008799	0.8434478	0.9129377	0.9083017	0.9142371	0.90439034	0.94332945	0.93269897	0.87275964	0.8886511	0.8984877	0.9063474
Philips/name	0.83311665	0.8480439	0.9476582	0.8794231	0.8281003	0.7855853	0.8909162	0.90946764	0.9321849	0.9003237	0.8305216	0.0	0.9069021	0.6318073	0.8024122	0.8754379	0.79060996	0.8864795	0.75754786	0.83893466	0.65684325	0.9094229	0.8705518	0.8681185	0.78751147	0.95186335	0.94514936	0.8514538	0.60625744	0.9164375	0.84147143	0.93538773	0.8479896	0.84750825	0.9605961	0.76485103	0.873265	0.8705037	0.85350466	0.8858212	0.88310534	0.8504863	0.80311364	0.8494763	0.8971087	0.83515036	0.90630835	0.751455	0.85349697	0.8641813	0.7860015	0.7557946	0.90457875	0.8716834	0.87353003	0.9047636	0.8386415	0.8626017	0.92420524	0.97878903	0.8273376	0.87774575	0.9332962	0.94214565	0.91001475	0.90582407	0.9130492	0.84813845	0.87298584	0.7604401	0.9123506	0.78522867	0.8064256	0.9058627	0.72193456	0.8303256	0.8302049	0.7767538	0.8648594	0.8219789	0.8171558	0.85460067	0.8490263	0.6957975	0.8823087	0.852779	0.86299366	0.9275466	0.7406206	0.8783059	0.9123006	0.8702065	0.9021668	0.7336664	0.8801005	0.83909917	0.88991463	0.9199107	0.83061385	0.86058575	0.87437755	0.8569831	0.9207955	0.86365855	0.73170567	0.8754474	0.8787174	0.93974423	0.8668595	0.85847557	0.90529263	0.8650521	0.8428168	0.88282377	0.8832312	0.8509226	0.85678667	0.8891399	0.88126224	0.80495155	0.8964561	0.8670229	0.86651444	0.90035367	0.91888505	0.89877903	0.82949626	0.8643595	0.88077	0.90879667
Top/name	0.8879713	0.9220703	0.960211	0.9458157	0.93860966	0.9114649	0.95875555	0.89137924	0.90573967	0.933737	0.91343904	0.9069021	0.0	0.90836865	0.9163997	0.9400624	0.91030484	0.9136338	0.9111921	0.92231154	0.8935289	0.9680259	0.93893105	0.9227798	0.9109066	0.9619117	0.9223767	0.8752538	0.88940185	0.94576126	0.9228084	0.94244987	0.8858306	0.93321395	0.9508331	0.9268144	0.9449513	0.88620245	0.93546057	0.9437443	0.94205403	0.9054243	0.93008775	0.9124452	0.8976494	0.8679592	0.9371825	0.9133234	0.93586534	0.8964597	0.9232728	0.91836727	0.9365439	0.92513424	0.8831831	0.9151522	0.9101971	0.887982	0.9649454	0.9583609	0.8735503	0.9186334	0.96881986	0.9637056	0.9183173	0.95970446	0.93806463	0.94797784	0.9585639	0.88612133	0.9162415	0.9151229	0.93766403	0.969586	0.9087665	0.89480966	0.9289613	0.9029504	0.92215717	0.8848028	0.91254675	0.89816684	0.9089004	0.87519884	0.93791044	0.87191004	0.9209671	0.9782913	0.8835896	0.90689385	0.90310097	0.94203836	0.93081105	0.930575	0.89529806	0.91965365	0.9389995	0.9580605	0.91779816	0.931847	0.911123	0.90491635	0.93519557	0.8191744	0.92627764	0.8967005	0.9175546	0.93113434	0.87439984	0.93598026	0.92201483	0.93180984	0.85901225	0.88321906	0.9242166	0.8949431	0.91394377	0.9040937	0.9176161	0.890174	0.90658224	0.9022022	0.9065018	0.90372574	0.92893165	0.9175229	0.89784145	0.8916407	0.9128409	0.9457654
Unilever/name	0.8503064	0.83250815	0.94353384	0.8723292	0.83327603	0.80779064	0.87195146	0.89509857	0.9330859	0.9106523	0.85095423	0.6318073	0.90836865	0.0	0.8423347	0.87428075	0.8604249	0.8897293	0.7427938	0.8532137	0.6568922	0.94141716	0.8928729	0.8968177	0.7838268	0.9507929	0.9640609	0.8724943	0.5882509	0.92513347	0.8567388	0.9329827	0.8537406	0.90137494	0.9672492	0.8137934	0.9069157	0.8721685	0.86544037	0.9080452	0.873363	0.8509884	0.8102547	0.8698726	0.90833837	0.8714287	0.90398777	0.8435111	0.84308076	0.8537523	0.80325806	0.73529816	0.9114945	0.8919984	0.88182735	0.9083359	0.8515487	0.8661887	0.9139789	0.96615285	0.8550544	0.866085	0.9408695	0.9095332	0.9046148	0.88897437	0.9253956	0.82074535	0.89602256	0.7827525	0.91443646	0.84327275	0.83990157	0.9108126	0.7475138	0.8461492	0.8200662	0.75905675	0.8377533	0.86009693	0.87372094	0.85199887	0.85096526	0.6911835	0.9114803	0.8584214	0.8717408	0.9081589	0.8327997	0.8765659	0.92735934	0.87116027	0.91728944	0.7446899	0.8735285	0.87354386	0.9050075	0.89899683	0.8265872	0.88063896	0.88767254	0.8426025	0.8991814	0.8910035	0.7364733	0.88119614	0.8945901	0.94087166	0.8705295	0.86940724	0.9240545	0.8200195	0.85549533	0.89642656	0.89923877	0.8536348	0.8620114	0.8735081	0.89405286	0.8381909	0.8834483	0.8802031	0.8608644	0.88649493	0.92943347	0.9210189	0.8655509	0.86300725	0.89347565	0.92143846
activiteit/noun	0.8315408	0.8817351	0.96461195	0.889924	0.90227544	0.7389506	0.9109345	0.88453287	0.88799644	0.9205486	0.88399416	0.8024122	0.9163997	0.8423347	0.0	0.8009774	0.69930726	0.8935991	0.7655253	0.8367816	0.59940326	0.8715095	0.89802206	0.7891682	0.72341657	0.92183006	0.89199823	0.8363751	0.73843193	0.8557631	0.77412516	0.93273664	0.83131784	0.6735967	0.9337699	0.8157181	0.8597497	0.79847336	0.8121227	0.8576616	0.8377182	0.80896926	0.774875	0.85729635	0.900166	0.73080194	0.86498964	0.76682943	0.8344902	0.76119596	0.84458584	0.813154	0.759477	0.88739413	0.7481537	0.87838876	0.77791905	0.8073144	0.8466807	0.9630806	0.8116137	0.8757654	0.868961	0.9159823	0.92811483	0.8986984	0.8632867	0.780918	0.8808078	0.7923829	0.8926091	0.78593636	0.74421203	0.9065365	0.6872859	0.80174875	0.86549413	0.80426764	0.83863884	0.80157983	0.68825567	0.8657905	0.8066145	0.6404724	0.753187	0.87792957	0.6555127	0.8919614	0.6645974	0.7381705	0.84923273	0.83498013	0.8439607	0.6010714	0.8442042	0.87832135	0.8662379	0.86300856	0.8384023	0.7908402	0.8314547	0.8243191	0.89669955	0.8790134	0.81032187	0.8402399	0.8628182	0.8062247	0.88607246	0.8358972	0.8498744	0.80150276	0.8462199	0.84623003	0.88702595	0.808209	0.79320836	0.8074029	0.89769596	0.7568905	0.88095	0.8900169	0.84932715	0.9029961	0.8854196	0.8963486	0.7873979	0.84394026	0.8686665	0.89402556
administratie/noun	0.87373835	0.9279686	0.92682815	0.91347057	0.95732296	0.86602163	0.9348807	0.9040221	0.8569259	0.9342599	0.9250996	0.8754379	0.9400624	0.87428075	0.8009774	0.0	0.7468972	0.90205973	0.809184	0.85969955	0.7473004	0.9297603	0.8548009	0.79905903	0.75911283	0.877076	0.93059754	0.91080207	0.8525543	0.8074539	0.7953028	0.925538	0.8156801	0.6347949	0.95764774	0.7582426	0.9147939	0.8301809	0.78250897	0.76971	0.87530786	0.8163962	0.8555312	0.8808676	0.83375615	0.7894001	0.86344403	0.8249213	0.89142835	0.8153392	0.88323545	0.82329804	0.8810677	0.8883474	0.88744813	0.7736666	0.81826454	0.8361943	0.82275563	0.9695722	0.82471323	0.910061	0.82587934	0.9373345	0.89227724	0.89236957	0.8413741	0.84906006	0.9540934	0.8624796	0.9120588	0.71119666	0.79944754	0.93265027	0.88897586	0.8418674	0.91180974	0.91652983	0.7744367	0.80039686	0.7647269	0.8427023	0.7926855	0.7806441	0.76841754	0.89106727	0.7340995	0.9077013	0.83693886	0.856665	0.8784857	0.86838156	0.7104539	0.77079463	0.8663592	0.85602546	0.82850504	0.9306731	0.83720064	0.9072209	0.8632035	0.865923	0.91311926	0.91731983	0.88301784	0.90105444	0.8235242	0.87300867	0.8918617	0.8660737	0.8959531	0.8435221	0.8285372	0.9105933	0.8798161	0.7944844	0.7780878	0.88049614	0.85056597	0.7933298	0.87944895	0.922591	0.84037197	0.8787023	0.9189807	0.9009481	0.77273923	0.8187549	0.8511008	0.9103577
afdeling/noun	0.87293446	0.8971782	0.9523806	0.91193014	0.9347676	0.825224	0.9409246	0.88711435	0.91039747	0.9212065	0.92130196	0.79060996	0.91030484	0.8604249	0.69930726	0.7468972	0.0	0.92316025	0.8024645	0.89173084	0.68914294	0.92038846	0.88764054	0.8093041	0.81032616	0.87889695	0.9177755	0.82611156	0.7755302	0.86165565	0.84468293	0.9321542	0.8978738	0.6346541	0.93796	0.8118981	0.8803313	0.84285545	0.8535766	0.8551222	0.8699644	0.8784165	0.8078119	0.8913323	0.8458809	0.69459224	0.89652026	0.7391998	0.86272377	0.7412359	0.8647059	0.84410554	0.8156115	0.84829056	0.8064304	0.8503179	0.8193418	0.8445506	0.8893633	0.9809378	0.83182526	0.90092665	0.8953444	0.92359006	0.9326979	0.928668	0.84861964	0.8830074	0.94146836	0.828408	0.90757763	0.7572203	0.7205495	0.91379297	0.76798195	0.85858107	0.8988735	0.85034776	0.8762445	0.8402511	0.75202525	0.87238246	0.87173885	0.75097996	0.6969101	0.88072705	0.77017933	0.96243364	0.7345909	0.80844796	0.866094	0.9135801	0.7777734	0.67344046	0.89342415	0.8961538	0.8445661	0.90803635	0.8743578	0.7742467	0.8597003	0.84405386	0.8975448	0.8834777	0.8455629	0.88241434	0.8545417	0.89631665	0.90108323	0.8871635	0.86709625	0.87855834	0.85562956	0.8695169	0.8786188	0.8216123	0.804588	0.8361791	0.87816596	0.8115953	0.9098557	0.90923977	0.8917936	0.9013206	0.9318057	0.90906155	0.81652445	0.8886233	0.86656296	0.85601175
al/adv	0.84192795	0.9468363	0.94836104	0.921005	0.8943484	0.86522245	0.95103705	0.90501493	0.92579055	0.849563	0.91395044	0.8864795	0.9136338	0.8897293	0.8935991	0.90205973	0.92316025	0.0	0.88936853	0.92526585	0.8721162	0.9348886	0.91386	0.85292095	0.7812908	0.89800406	0.9260113	0.8564127	0.8507602	0.9237389	0.80529034	0.8244356	0.8098747	0.9097916	0.89103705	0.8604145	0.8775071	0.8580375	0.88479775	0.8844259	0.8771643	0.8157147	0.90678453	0.8692066	0.8102102	0.86686426	0.74852717	0.89981395	0.89493513	0.9107825	0.82369876	0.86177576	0.8916024	0.8594863	0.85795856	0.88126206	0.86677104	0.8538175	0.9499734	0.94395137	0.6592786	0.7306391	0.9479088	0.9219302	0.88747627	0.9387042	0.9231066	0.8939763	0.93369025	0.89041066	0.79922855	0.871241	0.9153527	0.94580525	0.8826782	0.86822534	0.937521	0.8994406	0.84132403	0.8188859	0.88992155	0.6577921	0.8178734	0.87742543	0.90987056	0.7707418	0.8994614	0.94771975	0.8995881	0.8804738	0.8694582	0.8908695	0.91824055	0.89277697	0.83046776	0.77175957	0.9191697	0.9377131	0.91876566	0.90804774	0.8761792	0.7952204	0.7159919	0.8729234	0.87108725	0.8841494	0.85417455	0.8949451	0.8144679	0.8516103	0.8531941	0.90417886	0.83579063	0.87212014	0.901187	0.8853405	0.8672269	0.7607157	0.73295355	0.8237846	0.76487565	0.7853035	0.80900615	0.7671205	0.86136496	0.8677179	0.82737654	0.83857787	0.8805364	0.8788519
bank/noun	0.7822029	0.8301522	0.9518226	0.8534546	0.82168436	0.7732865	0.9164695	0.8517763	0.8959867	0.8794051	0.86361593	0.75754786	0.9111921	0.7427938	0.7655253	0.809184	0.8024645	0.88936853	0.0	0.70956206	0.5102316	0.9005037	0.82032365	0.83199817	0.7613715	0.9188446	0.95649695	0.7378914	0.58006805	0.9007932	0.81175095	0.9126491	0.86436236	0.7788206	0.9492664	0.743699	0.7932896	0.8134371	0.86559504	0.87056655	0.82090837	0.843975	0.75835997	0.8393679	0.8641186	0.81799173	0.9009159	0.7937481	0.8421299	0.674029	0.8217546	0.7420529	0.8788944	0.87733465	0.7939537	0.91205823	0.83165604	0.8163687	0.89284605	0.98503983	0.8069612	0.8909001	0.9544646	0.9631262	0.8976155	0.8824788	0.8560683	0.6519024	0.7969886	0.63701975	0.92248344	0.7671515	0.857636	0.8984539	0.72597384	0.8273635	0.7181356	0.7784905	0.8328299	0.8115202	0.79133177	0.8191141	0.8047497	0.57288706	0.8960178	0.85067654	0.7835274	0.83508945	0.84195924	0.8462201	0.9210016	0.75074255	0.8731426	0.7153832	0.8650848	0.8678423	0.82432854	0.836075	0.7593547	0.8366598	0.8448435	0.7933954	0.9186288	0.86311877	0.70634466	0.8787721	0.8236556	0.9229449	0.860999	0.85541815	0.8753066	0.7726393	0.7863754	0.86960226	0.7642851	0.7719573	0.8042822	0.87493384	0.8661546	0.76815283	0.89899147	0.8884855	0.8357096	0.8615873	0.8943199	0.8654997	0.7980978	0.83311427	0.8863499	0.88404065
bank_sector/noun	0.8711679	0.8913212	0.95534956	0.920188	0.85999626	0.8248849	0.9556077	0.8956516	0.9107996	0.9664102	0.90271294	0.83893466	0.92231154	0.8532137	0.8367816	0.85969955	0.89173084	0.92526585	0.70956206	0.0	0.7422446	0.9377174	0.9242455	0.8865266	0.8532606	0.94188064	0.97175133	0.8988019	0.75211257	0.92734766	0.86787844	0.92552507	0.8789752	0.8910479	0.9482552	0.80517703	0.9027746	0.90260965	0.83955866	0.87699896	0.8481692	0.9135645	0.74909294	0.8723413	0.90048826	0.8954481	0.9068668	0.87145805	0.8853736	0.8035466	0.89452404	0.83276284	0.9100728	0.9434478	0.88241464	0.9103507	0.87396175	0.89124453	0.8779104	0.9675387	0.88796127	0.90143883	0.8741914	0.95377105	0.9339736	0.8121031	0.86982363	0.8304402	0.8418519	0.7792357	0.94179547	0.8603395	0.90687776	0.922952	0.7724058	0.85176694	0.8320872	0.87453485	0.8711848	0.9079555	0.8729837	0.8980638	0.87190723	0.74993694	0.92060125	0.91963184	0.8634983	0.83220595	0.87628376	0.8720628	0.9148327	0.8581677	0.93809	0.70971733	0.9239843	0.88579124	0.8670313	0.7883305	0.83456606	0.907326	0.89425427	0.9054897	0.90717417	0.90558255	0.8551684	0.88295585	0.9111625	0.914677	0.89173925	0.85289884	0.93723816	0.8690223	0.9035063	0.9051751	0.8592243	0.8280768	0.8741432	0.8946466	0.93253917	0.8457856	0.91091925	0.91842246	0.9090154	0.93823326	0.93269837	0.9310481	0.86863893	0.9054002	0.9091229	0.9274762
bedrijf/noun	0.77056205	0.7648889	0.9418193	0.8343514	0.8129021	0.68901694	0.85197115	0.8398874	0.9030534	0.9135499	0.7920822	0.65684325	0.8935289	0.6568922	0.59940326	0.7473004	0.68914294	0.8721162	0.5102316	0.7422446	0.0	0.84199435	0.8074033	0.78756946	0.67347825	0.9067989	0.94400114	0.7140012	0.4140514	0.8135874	0.75722027	0.9368142	0.83481693	0.66857994	0.9650822	0.69853127	0.8057796	0.81391615	0.81859124	0.83940136	0.80605304	0.7919241	0.6741595	0.83318824	0.89078414	0.7851737	0.8700769	0.6470134	0.70410967	0.6696131	0.8045969	0.7075007	0.80401814	0.8697705	0.72406876	0.8630149	0.77645874	0.8386773	0.8511882	0.9726154	0.7987764	0.84905493	0.8891766	0.90028334	0.91567963	0.84823686	0.8627905	0.67828685	0.7551044	0.55968654	0.9172553	0.6932123	0.7274457	0.8739307	0.5996519	0.7939196	0.6828096	0.69935906	0.784081	0.77726084	0.6686796	0.81364965	0.74521315	0.2986977	0.77597374	0.8738354	0.66076255	0.8641988	0.6712153	0.76322985	0.9007464	0.76936865	0.8202629	0.5122929	0.8559672	0.84584343	0.7614742	0.7904128	0.6984239	0.79830194	0.81529474	0.81935495	0.91031766	0.8667262	0.6718256	0.862489	0.78485453	0.8725884	0.8534126	0.83358485	0.8610186	0.76722914	0.83223206	0.8740001	0.8228865	0.75988156	0.77341354	0.8159445	0.87804043	0.7153103	0.8740912	0.9057021	0.7970628	0.88458616	0.9003026	0.8651844	0.7619107	0.83393854	0.86377996	0.87894
bedrijf_terrein/noun	0.92015326	0.9407433	0.9707153	0.94718194	0.89623773	0.8997347	0.9239354	0.9372207	0.9462915	0.95772314	0.9102623	0.9094229	0.9680259	0.94141716	0.8715095	0.9297603	0.92038846	0.9348886	0.9005037	0.9377174	0.84199435	0.0	0.9157594	0.90381455	0.8595798	0.83691597	0.9478787	0.9378097	0.914635	0.7702093	0.89657617	0.9354701	0.91121733	0.9109805	0.9303699	0.91567147	0.9624502	0.90760046	0.9134989	0.9167627	0.9327426	0.895517	0.94650453	0.9361939	0.8996189	0.85868895	0.88147205	0.74749297	0.9077976	0.88007694	0.93682295	0.9198505	0.7551009	0.91796756	0.9277373	0.9146423	0.8453365	0.865383	0.9157899	0.95870185	0.9025009	0.9411979	0.92881036	0.95988953	0.9219141	0.9176649	0.9221623	0.9053254	0.91695195	0.90493894	0.93061626	0.9292209	0.9437079	0.93887603	0.88234645	0.90828526	0.94568515	0.9019842	0.8833127	0.90065074	0.84793097	0.8864277	0.85238165	0.86174315	0.91682047	0.8763262	0.92113805	0.950851	0.88123494	0.83671683	0.9269222	0.9385429	0.92102504	0.89642394	0.89919114	0.9177108	0.803929	0.9198429	0.91806936	0.9419492	0.92974406	0.88653994	0.9397514	0.96050674	0.9436585	0.9307751	0.8871328	0.8329974	0.9192508	0.9263837	0.88623774	0.9096146	0.8807864	0.9699798	0.9621561	0.9257526	0.83920324	0.9042822	0.89701515	0.83680516	0.92051613	0.90948266	0.9192607	0.9146473	0.93261	0.937413	0.7842623	0.9037443	0.93755573	0.88265646
bestuurder/noun	0.89935875	0.918502	0.9393937	0.9091138	0.89872336	0.9066365	0.94191873	0.9304573	0.9161157	0.8956122	0.8693619	0.8705518	0.93893105	0.8928729	0.89802206	0.8548009	0.88764054	0.91386	0.82032365	0.9242455	0.8074033	0.9157594	0.0	0.8433617	0.7772047	0.76797086	0.9418887	0.89192617	0.84634197	0.9264641	0.8353381	0.92254126	0.8429692	0.8639014	0.93482643	0.7855151	0.87402165	0.8245087	0.88372916	0.89948046	0.8820076	0.8497906	0.91229975	0.8976109	0.8416805	0.76590204	0.847991	0.9175235	0.8935226	0.92079765	0.8292538	0.8282971	0.8882356	0.86582816	0.8659276	0.8803459	0.87003624	0.8640792	0.932909	0.9834486	0.83234096	0.9514926	0.9254164	0.9497867	0.8630172	0.960125	0.85610056	0.9160345	0.911405	0.88155043	0.8772883	0.77522963	0.8901311	0.9507226	0.91655254	0.8502522	0.9298662	0.9016031	0.8200135	0.8454193	0.8792803	0.90121603	0.82424384	0.77968276	0.89557624	0.8591037	0.856781	0.9784906	0.915737	0.88529307	0.9398956	0.87654877	0.9250152	0.8841499	0.88335025	0.8191646	0.87055945	0.9584394	0.9025903	0.89340216	0.8655522	0.79337096	0.9341466	0.8778349	0.7612443	0.8809706	0.8054147	0.8602232	0.83580035	0.88602364	0.8112997	0.8977232	0.7697684	0.9224346	0.89449763	0.8494473	0.8382579	0.9133186	0.8374044	0.78072375	0.90449953	0.8783381	0.8641731	0.80376536	0.85999095	0.84449285	0.7845143	0.7850343	0.8149456	0.7875823
binnen/prep	0.8466877	0.91751987	0.9672439	0.92177427	0.9204655	0.72570527	0.9289396	0.9014992	0.8679203	0.889174	0.9012706	0.8681185	0.9227798	0.8968177	0.7891682	0.79905903	0.8093041	0.85292095	0.83199817	0.8865266	0.78756946	0.90381455	0.8433617	0.0	0.7404074	0.92040855	0.9212959	0.8447582	0.82598656	0.91183484	0.7934866	0.9093182	0.75356513	0.80473673	0.94424415	0.79449135	0.9062909	0.79429036	0.76655483	0.8210041	0.7855829	0.8059138	0.82052517	0.85907006	0.8227329	0.76016253	0.7897289	0.8974832	0.865769	0.8743115	0.85686266	0.8211409	0.76179504	0.8836154	0.787284	0.8043027	0.7952211	0.7585705	0.92073923	0.9716984	0.7723154	0.878801	0.85389334	0.9139863	0.87128186	0.90638673	0.79327214	0.87159175	0.9332105	0.85373104	0.8894831	0.8106191	0.8427245	0.9470683	0.8359014	0.81489563	0.9328586	0.8805655	0.7854993	0.7980076	0.75071144	0.82556236	0.7761086	0.7784626	0.85366255	0.8302485	0.73655427	0.89554745	0.85201055	0.7647686	0.89556354	0.8769988	0.87947303	0.7636966	0.8241037	0.7971781	0.88226056	0.91054904	0.8608381	0.8479599	0.80699646	0.83360595	0.86533624	0.8274256	0.8375316	0.76060724	0.85336673	0.8554738	0.8221228	0.794101	0.8529734	0.8363426	0.83963764	0.8722859	0.8586489	0.74864197	0.7791029	0.8350551	0.8280918	0.7424693	0.8850063	0.8668545	0.8606414	0.9062964	0.85945123	0.88478625	0.738001	0.8093674	0.8042367	0.88513064
bovendien/adv	0.80926377	0.89784604	0.96168673	0.88580537	0.88091433	0.7127547	0.934636	0.87093544	0.8541101	0.8306755	0.8571058	0.78751147	0.9109066	0.7838268	0.72341657	0.75911283	0.81032616	0.7812908	0.7613715	0.8532606	0.67347825	0.8595798	0.7772047	0.7404074	0.0	0.85280627	0.8627357	0.78906256	0.7449446	0.8445228	0.57843065	0.8921014	0.6320748	0.7782075	0.9193974	0.7753343	0.85076195	0.64034176	0.73494315	0.7604977	0.74894077	0.5620209	0.75470746	0.8494648	0.7650299	0.6019671	0.70169413	0.80133474	0.8737201	0.8723414	0.6923282	0.67100346	0.76371264	0.7354473	0.7816436	0.7827367	0.7052369	0.7646503	0.8575858	0.9406817	0.7124078	0.84702706	0.87233084	0.91794056	0.8298322	0.84997886	0.8526151	0.7669896	0.91130733	0.78210306	0.7533549	0.7636249	0.79945445	0.9298619	0.71219754	0.6775312	0.89716655	0.7630633	0.6508963	0.5803224	0.70806986	0.7283368	0.6345973	0.6909848	0.7631875	0.7784697	0.744454	0.87367463	0.7386601	0.76491535	0.87609005	0.76061106	0.8854494	0.6804534	0.71409535	0.7279444	0.80191606	0.88514715	0.8471516	0.853779	0.7146101	0.67478275	0.8289344	0.85553765	0.82214224	0.8140646	0.7859064	0.7943378	0.7531099	0.7643665	0.79723454	0.70520395	0.73944956	0.8179522	0.861738	0.70916384	0.6815394	0.7805129	0.7592243	0.5401989	0.74346614	0.8133809	0.67575383	0.70902693	0.81001675	0.7526374	0.5644591	0.64807844	0.6826863	0.75914127
brandweer/noun	0.9376221	0.9635695	0.9661102	0.94123924	0.94123316	0.9376497	0.96640486	0.9317625	0.9340167	0.933858	0.8974872	0.95186335	0.9619117	0.9507929	0.92183006	0.877076	0.87889695	0.89800406	0.9188446	0.94188064	0.9067989	0.83691597	0.76797086	0.92040855	0.85280627	0.0	0.9553715	0.94881356	0.9475489	0.84603274	0.8731837	0.8461694	0.9001379	0.863216	0.9191597	0.88359183	0.92997694	0.9006742	0.9203416	0.84670067	0.9283395	0.9075332	0.9530486	0.9103632	0.8344679	0.7994801	0.8378872	0.8444746	0.91827494	0.89675486	0.8828316	0.907832	0.8302837	0.9063475	0.9431007	0.8759966	0.8346477	0.8514073	0.940508	0.9802393	0.81648976	0.97576517	0.9396197	0.96693736	0.9267594	0.9522983	0.84764665	0.9528759	0.97003824	0.94816345	0.93049735	0.9086951	0.9624016	0.98557943	0.91757214	0.9077319	0.9691889	0.9439022	0.84213024	0.88969064	0.90068245	0.93087786	0.8279883	0.92844707	0.91897106	0.84683365	0.91051596	0.9876191	0.9072176	0.8464231	0.94310504	0.93280804	0.9045725	0.9243006	0.9057644	0.79303765	0.8658452	0.9489692	0.95453936	0.85408986	0.88386947	0.81399316	0.9098798	0.9307913	0.9422932	0.93145925	0.8668842	0.8838725	0.8388016	0.8906291	0.730641	0.93302083	0.77835053	0.9649877	0.95264274	0.89010656	0.8071476	0.90448755	0.8001424	0.76673365	0.91380614	0.8906634	0.9282123	0.849791	0.91104835	0.89632374	0.7360631	0.85856235	0.88292956	0.79414606
