	Flandria/noun	achtergrond/noun	alles/noun	aluminium/noun	ambtenaar/noun	baard/noun	baard_DIM/noun	bak/noun	bastion/noun	bestaan/noun	beton/noun	blad/noun	blok/noun	brij/noun	brommer/noun	brood/noun	dag/noun	deur/noun	doek/noun	doos/noun	druk/noun	dun/adj	erg/adj	even/adv	figuur/noun	gans/noun	garnaal/noun	gebied/noun	gevel/noun	gewaad/noun	glans/adj	golf/noun	graniet/noun	haar/noun	haar/pron	haar_kleur/noun	handel/noun	heer/noun	hemel/noun	hersencellen/noun	hoed/noun	hoofd/noun	hout/noun	imago/noun	inmiddels/adv	jas/noun	kapsel/noun	kimono/noun	klei/noun	klinker/noun	kort/adj	kous/noun	krijt_streep/noun	krul/noun	kubus/noun	kuif/noun	licht/noun	lok/noun	lucht/noun	lul/noun	man/noun	marmer/noun	massa/noun	midden/noun	middenmoot/noun	mist/noun	monster/noun	morgen/adv	muis/noun	muis_DIM/noun	natuur_steen/noun	nauwelijks/adv	nevel/noun	omlijsting/noun	outfit/noun	overweeg/adj	pak/noun	pantalon/noun	panter/noun	plastic/noun	poeder/noun	poes_DIM/noun	pruik/noun	raam/noun	regenjas/noun	robot/noun	rok_DIM/noun	rook_gordijn/noun	rookwolk/noun	rot/noun	sanitair/noun	schakering/noun	schelp/noun	schemer_zone/noun	seizoen/noun	sok/noun	stad/noun	start/noun	steen/noun	straat/noun	tand/noun	tapijt/noun	te/adv	tint/noun	tovenaar/noun	uiterst/adj	vaak/adj	veelal/adv	verleden/noun	vest/noun	vilt/noun	vloer/noun	vlucht_wagen/noun	voorstad/noun	vooruitblik/noun	vuilniszak/noun	waas/noun	wat/adv	water/noun	werkelijkheid/noun	wolf/noun	wolk/noun	wolkendek/noun	zak/noun	zeehond/noun	zo/adv	zone/noun	zoveelste/num
kuif/noun	0.98636883	1.0	0.99086046	0.94421494	0.99499136	1.0	1.0	1.0	0.9818496	0.99945396	0.994552	0.99771637	0.99125814	0.9997754	0.987847	1.0	0.9939053	0.9960201	0.99169177	1.0	1.0	1.0	1.0	0.9938674	0.975035	1.0	0.9904202	1.0	0.9900427	0.9623316	0.9625815	1.0	0.99641055	0.9879931	0.98315656	1.0	0.9911636	0.9999488	1.0	0.98364466	0.96988106	0.99518573	1.0	0.97656643	0.96417844	0.97461885	0.93344593	0.99922454	0.97276384	0.99728996	0.997935	0.99037206	1.0	0.98774177	0.9850451	0.0	0.9991482	1.0	0.9877876	0.99880147	0.98557186	0.9997246	1.0	0.98086256	0.9926149	1.0	0.9983705	0.9703318	1.0	0.9673882	0.9923845	0.97613204	0.958801	0.9756897	0.93471736	0.9544325	1.0	1.0	1.0	1.0	0.9881966	1.0	0.9971855	0.995483	0.997141	0.9745258	1.0	0.94090295	0.9740263	0.98774755	0.99455786	1.0	1.0	0.99756163	0.9853396	0.97761637	0.99775577	0.99481726	0.99916476	0.9982799	0.99580634	0.99475443	1.0	0.999823	1.0	0.98884016	0.99973667	0.99773777	1.0	0.9979369	0.9810289	0.9720222	0.90509874	0.9984142	0.9989182	0.98961455	1.0	0.9849056	0.99959683	0.9957851	1.0	1.0	0.99975765	0.9945616	0.98340636	1.0	0.96984226	0.9711111
licht/noun	0.9865865	0.93938375	0.9439976	0.9474894	0.9335198	0.93568027	0.97180945	0.9857435	0.98317575	0.9382269	0.95613736	0.9268633	0.93923086	0.97392553	0.9907152	0.95952916	0.9226064	0.909073	0.91593546	0.9666051	0.90194356	0.9386724	0.9498412	0.915509	0.9165375	0.98268443	0.9956279	0.9041407	0.9427554	1.0	0.95826024	0.95876676	0.99945086	0.959726	0.93683726	1.0	0.9225833	0.91295177	0.9248605	0.99935275	0.96596086	0.91770566	0.9785747	0.96113	0.9052003	0.9730351	0.98680013	0.97153556	0.9913352	0.9812232	0.9282339	0.9885866	0.9873725	0.9885757	0.9986309	0.9991482	0.0	0.9760595	0.9279584	0.99765915	0.9286755	0.9665674	0.95476425	0.9741404	0.98597467	0.9668318	0.94267446	0.88410324	0.9553007	0.99717724	0.97034746	0.92043805	0.95887715	0.9957481	0.9879406	0.94168264	0.9487238	0.9999928	1.0	0.96837443	0.9470959	0.9928437	0.9697878	0.950828	0.9979192	0.9686419	0.95241356	0.9950333	0.989415	0.9852972	0.9878881	0.99398535	0.9819875	1.0	0.9439754	0.97346365	0.92430913	0.93628305	0.94334257	0.9067879	0.93613577	0.96423423	0.95028454	0.99999475	0.99821126	0.9424871	0.93601567	0.9752589	0.9212974	0.9793956	0.9673332	0.9577147	0.99471754	0.97086245	0.99831665	0.96133566	0.9950494	0.90267515	0.9283133	0.94735324	0.98461485	0.9737699	0.9840303	0.9364397	0.97948015	0.9461692	0.931197	0.9544244
lok/noun	0.98272246	0.9883568	0.99593437	0.9893723	0.9821649	0.9699914	0.98462594	0.9959431	0.98067373	0.99530107	0.98057306	0.9948296	0.9920401	1.0	0.94389975	0.99801886	0.9755399	0.9865711	0.9798838	0.9882635	0.990174	0.97349554	0.9920799	0.98166096	0.97054017	0.9741587	0.9580354	0.9781767	0.99343115	0.9763178	0.985075	0.98889923	0.98308045	0.9652167	0.96509343	1.0	0.99429244	0.9882643	0.9903102	0.99803	0.994908	0.99103063	0.99532956	0.95445746	0.96151674	0.96386087	0.8755937	1.0	0.97929007	0.9807229	0.9896928	0.9750952	0.9735022	0.98618025	0.9818956	1.0	0.9760595	0.0	0.9655268	0.96669555	0.9704475	0.95628124	0.98886806	0.9608888	0.9760908	0.9631902	0.9889757	0.9727515	0.9772944	0.96905726	1.0	0.98755467	1.0	0.99146944	0.98958546	0.984989	0.9897723	0.9835003	0.9838493	1.0	0.9945569	0.991701	0.95604223	1.0	0.9958856	0.98631066	0.9911919	1.0	1.0	0.9718503	0.9849608	1.0	0.98235667	1.0	0.952217	0.9909772	0.980639	0.98671293	0.9921185	0.9655923	0.98971534	0.96886957	1.0	0.91339636	0.96688175	0.98822707	0.99785626	0.9689762	0.99777126	0.97673535	0.9813866	0.98359203	0.9972552	0.9704156	0.95877254	0.9857984	0.98564994	0.9834454	0.989466	0.99445426	0.98910576	0.9909912	1.0	0.980886	0.9624838	0.9998944	0.9461568	0.9835148
lucht/noun	0.99755657	0.93772525	0.8846091	0.96416306	0.93104655	0.9717856	0.999992	0.9740444	0.9896947	0.9165934	0.9749467	0.96053	0.9447003	0.9826782	0.97716546	0.9596654	0.9110379	0.9110216	0.9216222	0.95296973	0.92379266	0.95552963	0.89717233	0.91818523	0.9377878	0.9936078	0.9723095	0.8720013	0.9616988	0.96652347	0.96516687	0.9170539	0.9817974	0.9648725	0.9011427	0.9987554	0.9264574	0.8998772	0.94629425	0.9999932	0.9308944	0.917077	0.94193584	0.9562145	0.85172755	0.96581244	0.964573	1.0	0.9561938	0.9783959	0.8845592	0.9793032	1.0	0.96832126	1.0	0.9877876	0.9279584	0.9655268	0.0	0.9778026	0.9456783	0.9749634	0.9608894	0.9258132	0.98475444	0.95625407	0.96804196	0.90929645	0.98040193	0.9891052	0.9732003	0.9231532	0.9701096	0.9859602	0.96628064	0.9137058	0.89856577	0.99747944	0.9927383	0.97227556	1.0	0.992545	0.9976764	0.910488	0.99083406	0.9678317	0.99771583	0.99040145	0.9817399	0.9997941	0.9698773	0.9625337	0.98543596	1.0	0.920435	0.99659884	0.8974544	0.89439213	0.9240352	0.879324	0.9456548	0.9522744	0.95618093	0.98700213	0.9779627	0.9288517	0.9497344	0.9639033	0.9109881	0.96905607	0.97888964	0.96446353	0.97100997	0.93495035	0.99766177	0.95435053	0.9953391	0.92562497	0.87666565	0.88898814	0.97068447	0.9728538	1.0	0.93274003	0.9721454	0.96811247	0.93641233	0.91721857
lul/noun	0.9830099	0.94239897	0.93766683	1.0	0.9797821	0.95307827	1.0	0.9761545	0.9878655	0.97138643	0.9922931	0.9867118	0.9858501	1.0	0.9858586	0.9979475	0.97512615	0.98748636	0.9661875	0.9949612	0.97535324	0.98368686	0.99765277	0.97829974	0.9555719	0.954884	0.9556661	0.95467216	0.9762332	0.9999688	0.9891565	0.99031854	1.0	0.97547793	0.9876356	1.0	0.9846273	0.93259454	0.9588616	0.96146464	0.98943967	0.9747805	0.9763433	0.9802214	0.97280025	0.97295004	0.97262174	0.99975693	0.95659494	0.9979567	0.99375933	0.94462156	1.0	0.9987857	0.97549087	0.99880147	0.99765915	0.96669555	0.9778026	0.0	0.9831044	0.9742793	0.9612907	0.9898044	0.9927885	0.9765178	0.9969392	0.9291195	0.9772412	1.0	0.99390775	0.9911727	0.99978685	0.95699084	0.97443813	0.9929427	0.998615	1.0	0.990104	0.99937946	1.0	0.9995293	0.93563145	0.99862003	0.96740764	0.98689467	0.9999812	1.0	0.966802	0.9767409	0.9951441	0.99361295	1.0	0.99966407	0.93432784	0.9753292	0.9664073	0.97613233	0.9791761	0.97547686	0.98754	0.9541339	0.9986725	0.97128975	0.9986597	0.9712194	1.0	0.9672636	0.96558654	0.9982375	0.9996529	0.9922731	0.9994458	0.99670035	0.96010286	0.99985576	1.0	0.9913511	0.99107033	0.98215276	0.9729519	0.98021317	1.0	0.98346996	0.9918724	0.99020004	0.97331876	0.9550468
man/noun	0.98782027	0.9360282	0.9451338	0.9657497	0.77467656	0.9211245	0.90564126	0.91084915	0.9714923	0.76854974	0.92772865	0.9354279	0.9328715	0.99730647	0.93570364	0.93550974	0.82296157	0.8994043	0.93233186	0.9196681	0.9368775	0.935089	0.9378497	0.87686056	0.90788126	0.9461895	0.92835534	0.8821769	0.9263319	0.95361674	0.9230465	0.9331107	0.95885843	0.92940545	0.8881916	0.98712206	0.9419369	0.888954	0.94466484	0.908821	0.9573099	0.8892584	0.963667	0.9292601	0.5657561	0.88933665	0.9484807	0.9851413	0.9511598	0.9616588	0.8765718	0.95860404	0.995167	0.920328	0.95420295	0.98557186	0.9286755	0.9704475	0.9456783	0.9831044	0.0	0.9546576	0.9412511	0.9340967	0.95164263	0.96438307	0.95247865	0.8790814	0.9662921	0.98769933	0.9621185	0.9178323	0.94588107	0.97951275	0.97997963	0.91883266	0.89524674	0.98240757	0.96870536	0.9778456	0.9560687	0.9923824	0.97612286	0.88374627	0.9774648	0.9824506	0.97271407	0.9965561	0.9306172	0.946017	0.94478697	0.9878869	0.9563972	0.99933326	0.86865354	0.97071075	0.88725466	0.8736364	0.9292513	0.8601414	0.9069115	0.9481278	0.930284	0.9764926	0.94144833	0.8975411	0.9479946	0.9241633	0.92223686	0.88520867	0.9928514	0.8421668	0.9287278	0.92767686	0.97010124	0.9116184	0.98805916	0.93676627	0.8676363	0.91129154	0.9376685	0.9535456	0.99600685	0.85599846	0.8954066	0.95574766	0.9232669	0.92660403
marmer/noun	0.9944571	0.9874676	0.9800215	0.9968661	0.9654435	0.97921044	1.0	0.9790718	0.99954206	0.99580055	0.9754516	0.9486959	0.97837377	1.0	0.9751543	0.97770613	0.9427341	0.96910805	0.93131167	0.97122705	0.96801275	0.99282	0.994472	0.97451144	0.9724108	0.9760861	0.9910022	0.9475513	0.98064023	0.9563627	0.98490393	0.9644855	0.961905	0.984236	0.9798684	0.9996201	0.99713457	0.9874944	0.9748645	0.9587855	0.99601537	0.97206676	0.95274884	0.99109036	0.9336474	0.97829694	1.0	1.0	0.96937644	1.0	0.993327	0.98292315	0.9757903	0.98900294	0.97666055	0.9997246	0.9665674	0.95628124	0.9749634	0.9742793	0.9546576	0.0	0.96968764	0.97491753	0.9764131	0.9992442	0.9803724	0.972555	0.9665476	0.98584837	0.9991736	0.98184085	1.0	0.9918126	0.99458456	0.9781673	0.99544847	0.98913145	1.0	0.99101835	0.99001276	1.0	0.9173769	0.99479365	0.9573482	0.9777037	0.99227566	0.9579938	0.9997161	0.98035055	0.99994403	0.9661951	0.9810126	0.99964356	0.97098625	0.9927515	0.93771195	0.9835713	0.9743345	0.9702679	0.98870593	0.9823827	0.9978129	0.9447462	0.96384025	0.99019516	0.996167	0.96312785	0.99264884	0.942179	0.9952891	0.9755314	0.9998975	0.98754734	0.99570864	0.97893184	1.0	1.0	0.9779316	0.9901999	0.9736292	0.97340995	0.9999368	0.97684807	0.93510556	0.9991701	0.9654389	0.97748184
massa/noun	0.9973188	0.90781444	0.96797246	0.9536055	0.9287799	0.9839544	0.9693397	0.9621798	0.98504984	0.9471841	0.9410767	0.9527682	0.94658345	0.9995483	0.9786655	0.95804423	0.8966068	0.89662784	0.9347686	0.95312417	0.93884045	0.9655343	0.9505384	0.9314631	0.93606687	0.9524789	0.9726003	0.9058895	0.91284406	0.9506425	0.99911726	0.95059705	0.98747504	0.96555936	0.95190984	0.9911084	0.94597477	0.9586501	0.9677965	0.9785052	0.9678855	0.940737	0.94971514	0.981408	0.9230698	0.95964664	0.97805434	0.98863107	0.9648619	0.93693054	0.9414436	0.993514	1.0	0.983843	0.9778249	1.0	0.95476425	0.98886806	0.9608894	0.9612907	0.9412511	0.96968764	0.0	0.93543154	0.9623572	0.9778605	0.9715885	0.9033679	0.99121034	0.96888685	0.9792105	0.95012236	0.99602115	0.99354494	0.96983325	0.93343306	0.965985	0.97463435	0.98868084	0.95696855	0.9861104	0.9959065	0.96848094	0.9377674	0.98368174	0.95476085	0.9883331	0.99476016	0.98592603	0.9880764	0.97841144	1.0	0.9878185	0.99499464	0.9480578	0.9773725	0.8936666	0.91910994	0.9262484	0.8945537	0.9693636	0.9509375	0.9610371	0.9805531	0.9362442	0.94254744	0.96233904	0.91109437	0.93993384	0.9434305	0.94462705	0.9233262	0.9877737	0.9502683	0.98370147	0.9630788	0.9980577	0.9133661	0.92277575	0.9419806	0.95413715	0.9736407	1.0	0.9476297	0.94878906	0.9812224	0.93278855	0.96111405
midden/noun	0.98847175	0.94586366	0.9655862	0.9978638	0.923601	0.9627501	0.99690074	0.94324744	0.9526086	0.92045385	0.96946245	0.9217943	0.9087816	0.9838257	0.9473887	0.96229905	0.9450823	0.9332942	0.89060116	0.9696472	0.91298985	0.93373096	0.94025457	0.9194069	0.89213437	0.96061397	0.99132866	0.9062557	0.9483816	0.9533079	0.98382163	0.8992028	0.9811732	0.94412667	0.92057836	0.9985235	0.90422237	0.9176666	0.96044344	0.9996895	0.9315162	0.9199363	0.93215513	0.9574249	0.8880441	0.93726027	0.9220642	0.9727819	0.9584402	0.97712857	0.9303559	0.9841578	0.99028915	0.9719209	0.9497403	0.98086256	0.9741404	0.9608888	0.9258132	0.9898044	0.9340967	0.97491753	0.93543154	0.0	0.9653561	0.9695778	0.9661903	0.9116792	0.95829016	0.99790376	0.97995406	0.93639153	0.97216123	0.95450395	0.9563809	0.90890676	0.95672363	0.96601963	0.9782249	0.97666705	0.9833445	0.9994823	0.9645172	0.9116807	0.957018	0.98417526	0.9954934	0.9951334	0.96570224	0.9634442	0.97330976	0.9727053	0.9780941	0.9920065	0.9066633	0.9758466	0.9133056	0.93315643	0.9412879	0.92728174	0.94907165	0.9148595	0.98149407	0.9697253	0.96956015	0.92481256	0.9434594	0.9301786	0.9181828	0.96638054	0.999267	0.931404	0.9901195	0.94755155	0.98072445	0.9751048	0.9755226	0.9586328	0.92358124	0.9470998	0.9516963	0.95610374	1.0	0.9405601	0.9500143	0.9873083	0.9411747	0.9327437
middenmoot/noun	0.97692496	0.97748566	0.9712866	0.9234081	0.9801872	0.98522544	0.99565756	0.942679	0.992025	0.97833526	0.98226213	0.99144834	0.94103485	1.0	0.9752096	0.98261344	0.9657438	0.98253167	0.96939594	0.9919059	0.92847204	0.9321265	0.98067313	0.9398641	0.96781904	0.9842352	0.9904417	0.9894832	0.9910217	0.9996054	0.992844	0.98915774	0.99188757	0.9926403	0.9938872	0.99897844	0.9484625	0.9790151	0.983889	0.99882174	0.99862266	0.9656295	0.98548055	0.97095054	0.9445245	0.9972145	0.9923236	0.9867196	0.97142947	0.9917282	0.97218055	0.97905904	1.0	0.989418	0.9877862	0.9926149	0.98597467	0.9760908	0.98475444	0.9927885	0.95164263	0.9764131	0.9623572	0.9653561	0.0	0.959946	0.98717296	0.89173335	0.9974056	0.9988512	0.994662	0.9447818	0.9904162	0.9976909	0.9962813	0.971616	0.96531564	0.99037117	0.97164303	0.9977779	0.97976494	0.9959397	0.9955387	0.97705704	0.98385423	0.98256904	0.9994621	0.99630475	0.9988629	0.99067444	0.97721046	0.980128	0.9975174	0.9966856	0.8000941	0.99828345	0.9793202	0.9048532	0.97457343	0.9159461	0.99368924	0.98651135	0.9634265	0.99324626	0.9607336	0.9802421	0.99444634	0.94778615	0.9852781	0.9880499	0.9958904	0.9719206	0.99998194	0.97458947	0.99841523	0.9696138	1.0	0.96394926	0.9696781	0.9773145	0.98945934	0.967617	0.9922848	0.96642566	0.9840327	0.99778897	0.9464375	0.9560318
mist/noun	0.9889163	0.9611501	0.9885825	0.99906373	0.9781114	0.96839774	1.0	0.96550554	0.9666939	0.96835375	0.988609	0.9665592	0.98680073	1.0	0.9821561	0.9845704	0.9579767	0.951885	0.95595133	0.9661601	0.9504654	0.95159554	0.9728239	0.94372344	0.97752625	0.99404407	0.9835243	0.97061956	0.9703138	0.99107766	0.96939814	0.93604845	0.9841827	0.9868652	0.9738945	0.99957335	0.9739332	0.95875764	0.97365427	0.9701203	0.9833853	0.9348104	0.95983016	0.96356183	0.9580505	0.985482	0.9860132	1.0	0.9992539	0.9930867	0.9450102	0.98286355	0.975808	0.9840905	0.9942949	1.0	0.9668318	0.9631902	0.95625407	0.9765178	0.96438307	0.9992442	0.9778605	0.9695778	0.959946	0.0	0.9597978	0.93886703	0.9446265	0.9853778	0.9291285	0.9713149	0.8712131	0.99859077	0.9892111	0.9543332	0.95574623	0.99564487	0.99685264	0.99747163	0.9969299	0.99631995	0.9927939	0.963999	0.99605453	0.9925522	0.98939764	0.996496	0.98689395	0.98699874	0.98781794	0.9941778	0.96227825	0.9954115	0.92529327	0.97404104	0.95846933	0.9414857	0.9584647	0.97317463	0.9409132	0.9810862	0.96424776	0.96130025	0.98714185	0.95291394	0.9637817	0.9628945	0.9669121	0.99574	0.999414	0.99123496	0.9828229	0.976605	0.9862606	0.9654114	0.94015926	0.96472466	0.93421626	0.9450275	0.9523506	0.94841117	0.98497283	0.95521295	0.990004	0.9878443	0.95264614	0.9683142
monster/noun	0.9869701	0.94365466	0.9690608	0.9599775	0.95223755	0.97307295	0.9931819	0.98752594	0.9856583	0.9741887	0.96928114	0.9642205	0.978193	0.9873378	0.9864175	0.98070025	0.9351481	0.95042413	0.94197834	0.93687546	0.9648088	0.98619086	0.9626943	0.9551261	0.95189	0.97274786	0.94545007	0.9412152	0.97970176	0.9388876	0.94609773	0.979096	0.9878236	0.9738368	0.9607598	0.96386975	0.9496452	0.94383746	0.9399093	0.9844229	0.985334	0.9461708	0.94542754	0.9841667	0.9253552	0.9756638	0.9947935	0.9855312	0.9924657	0.9909462	0.9755583	0.9787185	0.9993127	0.96491534	0.9901595	0.9983705	0.94267446	0.9889757	0.96804196	0.9969392	0.95247865	0.9803724	0.9715885	0.9661903	0.98717296	0.9597978	0.0	0.9343606	0.96618754	0.97909254	0.97843474	0.9552224	0.9887371	0.9618086	0.97325236	0.94428086	0.9438727	0.96191955	0.96156573	0.9898255	0.98008436	0.99706227	0.96073025	0.95671314	0.9783082	0.8834359	0.98765934	0.9545683	0.98413986	0.9799558	0.98489875	0.98390037	0.96019435	0.98507804	0.981722	0.965947	0.9355641	0.93976474	0.9529852	0.9606922	0.99245334	0.964927	0.99915546	0.9706126	0.9852612	0.9822005	0.95570207	0.9659218	0.97566986	0.9606943	1.0	0.9507449	0.9804805	0.9637168	0.96895766	0.9855575	0.9844035	0.99138397	0.9560867	0.953015	0.92165035	0.96104866	1.0	0.9592302	0.9309153	0.80601716	0.9444114	0.9597336
morgen/adv	0.95262504	0.94109	0.9047465	0.9842187	0.9012792	0.96921444	0.99783504	0.9340556	0.9776979	0.8581096	0.973938	0.89574933	0.9005692	0.9905892	0.96860754	0.93846065	0.7963445	0.7711801	0.8959015	0.90375984	0.8285984	0.95117676	0.8878196	0.80950403	0.9025607	0.9471581	0.9342005	0.8995811	0.9381011	0.98843825	0.96401036	0.9326812	0.9734314	0.92504644	0.8828556	0.99235815	0.92508316	0.8536229	0.9133589	0.9851181	0.9239431	0.89175755	0.94316995	0.8950957	0.8384988	0.957778	0.9532946	0.9629062	0.96901387	0.9471191	0.8646611	0.94374126	0.9707763	0.93291336	0.9932071	0.9703318	0.88410324	0.9727515	0.90929645	0.9291195	0.8790814	0.972555	0.9033679	0.9116792	0.89173335	0.93886703	0.9343606	0.0	0.96555054	0.95985883	0.97319955	0.87081254	0.9679377	0.9361431	0.97259915	0.8915367	0.9171769	0.9945152	0.96067387	0.95617294	0.97312576	0.9767832	0.9793221	0.9126085	0.97558326	0.95934856	0.97323287	0.9543631	0.97296715	0.96359897	0.9786479	0.9599315	0.96574706	0.9939644	0.73984885	0.97926825	0.8783686	0.70933473	0.9206461	0.80163133	0.95911944	0.93981445	0.9385114	0.9828059	0.93735725	0.8795878	0.8940515	0.93235934	0.8824531	0.9526623	0.9768914	0.91770524	0.9894439	0.9402308	0.92613006	0.93412536	0.99167824	0.8639914	0.87753576	0.93495965	0.9061462	0.88566995	0.985135	0.914318	0.95084584	0.89055264	0.89521354	0.8914221
muis/noun	0.99663526	0.966227	0.9634053	0.9977	0.9633811	0.9834315	1.0	0.9271274	0.99421924	0.9865778	0.94360787	0.95856977	0.9513787	0.9951418	0.9933676	0.96326935	0.95858324	0.9668684	0.9435146	0.9687808	0.96217287	0.95799303	0.96090394	0.9512719	0.9516085	0.9901291	0.9571085	0.96741295	0.96716034	0.98245543	0.9870552	0.9793433	0.9786689	0.9541463	0.930181	0.99971724	0.9594934	0.92880046	0.92267567	0.9688407	0.99091935	0.95396125	0.98096585	0.9392819	0.9397196	0.9780471	0.99593836	1.0	0.99627435	0.97995716	0.98353803	0.99058896	0.9883534	0.99494505	0.96396196	1.0	0.9553007	0.9772944	0.98040193	0.9772412	0.9662921	0.9665476	0.99121034	0.95829016	0.9974056	0.9446265	0.96618754	0.96555054	0.0	0.9673572	0.9619949	0.9693028	0.9995516	0.97786695	0.9810204	0.96933913	0.97889066	0.9921417	0.93263996	0.9919808	0.9924997	1.0	0.9951388	0.96484363	0.96579456	0.9618603	0.93922645	0.99911886	0.9995008	0.9878461	0.97378546	0.9973445	0.9848635	1.0	0.98710245	0.9850192	0.954769	0.9585846	0.9831422	0.95107615	0.9802787	0.99412507	0.9941134	0.9760464	0.9607716	0.93687534	0.98521054	0.95672333	0.97578776	0.97978705	0.9740432	0.9479918	1.0	0.9577376	0.9930172	0.9919059	1.0	0.9539148	0.97398686	0.92615354	0.9861936	0.9909983	0.9981805	0.9640382	0.9555567	0.9878808	0.97027904	0.9845658
muis_DIM/noun	0.9899672	0.96228933	0.9974853	0.9895293	0.9952824	0.9818356	0.99705845	0.99800235	0.9982617	0.9998622	0.9692338	0.9751755	0.9940494	0.99722785	0.98996925	0.99564725	0.9916324	0.980714	0.99360245	0.99103314	0.991915	0.9968124	0.9924958	0.99082893	0.97440547	0.99402595	0.9892621	1.0	0.9762898	1.0	0.97564536	1.0	0.9983573	0.96585226	0.9774012	0.9600638	0.98738235	0.98299885	0.9846325	0.99993753	0.98577726	0.9938793	0.9918227	0.9963882	0.990903	0.98329985	0.9788984	0.9865242	0.9874549	0.99272394	0.9798739	0.98955345	1.0	0.9969457	1.0	0.9673882	0.99717724	0.96905726	0.9891052	1.0	0.98769933	0.98584837	0.96888685	0.99790376	0.9988512	0.9853778	0.97909254	0.95985883	0.9673572	0.0	0.9972405	0.97477186	0.98809844	0.9993968	0.9584787	0.98716015	0.99910134	0.9936782	1.0	1.0	0.98721766	0.983689	0.95122963	0.9970933	0.99515474	0.98872834	0.98399585	0.9698822	0.9985422	0.9777142	0.9931781	1.0	0.9997603	0.99893844	0.99830115	0.94351506	0.9972306	0.98528415	0.98136044	0.9861246	0.99640465	0.9975031	0.996575	0.98673826	0.99089056	0.9812005	0.9940835	0.9993715	0.9958815	0.9957398	0.9960366	0.9855782	1.0	0.9281143	0.86357075	0.984999	1.0	0.9965984	0.9860498	0.97920096	0.9590311	0.9934837	0.98314667	0.99644583	0.99970883	0.99287456	0.99667925	0.99631816
natuur_steen/noun	0.9853641	0.99842477	0.88336027	0.97701645	0.9733784	0.9769653	0.8752135	0.966878	0.9881527	0.99677676	0.941837	0.9862574	0.99439573	0.9959627	0.98803735	0.95196587	0.97462654	0.94716394	0.9425432	0.9950464	0.9718341	0.9381403	0.9690819	0.99158627	0.9634153	0.9931762	0.95379764	0.9781084	0.9413756	0.9887701	1.0	0.9964324	0.99988395	0.96124	1.0	1.0	0.97420645	0.98625654	0.9791513	0.99784845	0.9973452	0.9823506	0.9933269	0.9960984	0.9763809	0.9417256	0.98048615	0.9856733	0.97055817	0.96655685	0.9835819	0.99903953	0.95150155	0.99203295	0.9896506	0.9923845	0.97034746	1.0	0.9732003	0.99390775	0.9621185	0.9991736	0.9792105	0.97995406	0.994662	0.9291285	0.97843474	0.97319955	0.9619949	0.9972405	0.0	0.981263	0.89976525	0.9967376	0.98692834	0.972036	0.98246473	0.9643967	1.0	0.92037463	0.99617815	0.99908954	0.99296457	0.97241855	0.9995329	0.9841503	0.99891484	0.9988634	1.0	0.99340695	0.9901708	1.0	0.9957712	0.9938567	0.98031026	0.9980042	0.99629575	0.987065	0.8774444	0.9829906	0.9682089	0.99969757	0.9932209	0.9994687	0.97794044	0.95072526	0.976107	0.9497933	0.9850789	0.99685454	0.99833685	0.9139028	0.99882007	0.99491423	0.99448556	0.99151707	1.0	0.9651483	0.97560275	0.9549256	0.96071154	0.91790324	0.9992727	0.95546037	0.9920602	0.9848499	0.97283137	0.9852188
nauwelijks/adv	0.9680956	0.91387343	0.9193887	0.96029437	0.9089589	0.9874796	0.98979217	0.9525342	0.9781293	0.9389726	0.959403	0.89437044	0.94191706	0.96553665	0.95505077	0.9584004	0.88870364	0.9083494	0.899438	0.9343127	0.85340977	0.9531153	0.8570539	0.8678605	0.91969645	0.9953671	0.9645172	0.87624764	0.9452891	0.9753803	0.92741436	0.9081823	0.9695949	0.94133073	0.8918767	0.99785566	0.8778271	0.90706	0.95342445	0.99507093	0.9652906	0.8652121	0.9466229	0.9048541	0.8252214	0.9726308	0.9686063	0.99426395	0.96283245	0.97036326	0.8729866	0.96729374	0.98795515	0.9876536	0.9832015	0.97613204	0.92043805	0.98755467	0.9231532	0.9911727	0.9178323	0.98184085	0.95012236	0.93639153	0.9447818	0.9713149	0.9552224	0.87081254	0.9693028	0.97477186	0.981263	0.0	0.9719424	0.9853657	0.9838023	0.90932816	0.91031706	0.9993166	0.99019146	0.95247686	0.96983767	0.97466516	0.9682286	0.9431412	0.96833074	0.9758595	0.99160105	0.99579793	0.9868678	0.9903203	0.96631104	0.9931674	0.98188215	0.9903903	0.85181046	0.97285527	0.88657653	0.9064512	0.9149753	0.8734462	0.95312715	0.9537114	0.8708844	0.9983264	0.97772723	0.9036066	0.8685982	0.9236948	0.87730336	0.96001685	0.9824053	0.8921724	0.99489737	0.9608177	0.9917988	0.95909375	0.9720362	0.8438434	0.9022934	0.91001135	0.97759145	0.97033983	1.0	0.9001049	0.973285	0.96465874	0.9621046	0.91239476
