	hersencellen/noun	deur/noun	morgen/adv	inmiddels/adv	waas/noun	hoofd/noun	vilt/noun	nevel/noun	pantalon/noun	kuif/noun	blok/noun	Flandria/noun	gewaad/noun	klei/noun	alles/noun	kort/adj	natuur_steen/noun	bastion/noun	brij/noun	bak/noun	muis_DIM/noun	lul/noun	omlijsting/noun	poes_DIM/noun	regenjas/noun	sok/noun	poeder/noun	gans/noun	krul/noun	lucht/noun	water/noun	stad/noun	massa/noun	zak/noun	druk/noun	vloer/noun	outfit/noun	klinker/noun	tand/noun	zo/adv	wolf/noun	figuur/noun	hoed/noun	kimono/noun	aluminium/noun	pruik/noun	zeehond/noun	schemer_zone/noun	gevel/noun	tovenaar/noun	haar_kleur/noun	krijt_streep/noun	imago/noun	steen/noun	erg/adj	kapsel/noun	overweeg/adj	zoveelste/num	uiterst/adj	vest/noun	schelp/noun	plastic/noun	schakering/noun	jas/noun	veelal/adv	man/noun	hout/noun	vlucht_wagen/noun	pak/noun	werkelijkheid/noun	brood/noun	heer/noun	dun/adj	midden/noun	rot/noun	voorstad/noun	lok/noun	golf/noun	bestaan/noun	haar/noun	haar/pron	vooruitblik/noun	ambtenaar/noun	garnaal/noun	marmer/noun	tint/noun	te/adv	brommer/noun	even/adv	doek/noun	robot/noun	doos/noun	handel/noun	straat/noun	rookwolk/noun	kubus/noun	licht/noun	gebied/noun	muis/noun	middenmoot/noun	graniet/noun	vuilniszak/noun	hemel/noun	monster/noun	raam/noun	dag/noun	seizoen/noun	verleden/noun	kous/noun	vaak/adj	wolk/noun	zone/noun	sanitair/noun	wat/adv	blad/noun	achtergrond/noun	mist/noun	start/noun	rok_DIM/noun	baard/noun	tapijt/noun	beton/noun	nauwelijks/adv	wolkendek/noun	baard_DIM/noun	glans/adj	rook_gordijn/noun	panter/noun
wolf/noun	0.9364873	0.92277604	0.919208	0.784421	0.91376966	0.8856647	0.9418273	0.8476722	0.99397594	0.92353505	0.94254804	0.99629825	0.9026531	0.80909514	0.98238236	0.98212653	0.9167259	0.7539339	0.8563839	0.9093659	0.9667479	0.9340199	0.9878921	0.9027657	0.98528063	0.9545828	0.89696556	0.71512413	0.9624744	0.9440992	0.8603329	0.889776	0.8575153	0.9395759	0.90852374	0.9241671	0.9693607	0.9423674	0.6498414	0.9003364	0.0	0.67699313	0.9348905	0.9812086	0.92241323	0.89580166	0.9498368	0.49139577	0.863697	0.93035334	0.99643546	0.9235814	0.836643	0.87990534	0.93735516	0.9311988	0.8024891	0.74688435	0.9305949	0.9810635	0.7705268	0.8774344	0.978489	0.9574207	0.7519572	0.9783819	0.87393975	0.9987812	0.9004944	0.6107253	0.94007707	0.97573763	0.8634706	0.9356783	0.9147609	0.9664166	0.949067	0.9836482	0.64037526	0.89032567	0.88488823	0.99506664	0.9833426	0.7290507	0.90701586	0.893862	0.94527656	0.8930193	0.9723252	0.8971303	0.90612906	0.86863714	0.9765521	0.99092793	0.92557156	0.93016636	0.8715397	0.61145973	0.82054055	0.73710203	0.8591757	0.95599866	0.97898304	0.78592753	0.9428686	0.98944104	0.7777897	0.9111582	0.99061453	0.838518	0.91949755	0.8202671	0.91820973	0.927522	0.8429871	0.8673496	0.85271	0.7865239	0.93751997	0.93644506	0.8616196	0.91528356	0.88018984	0.9853494	0.9493173	0.849707	0.81485355	0.47382003
figuur/noun	0.9456911	0.78514427	0.9197871	0.70754504	0.87371016	0.6209531	0.6276575	0.7976583	0.89732754	0.8230502	0.68533826	0.9997422	0.5898243	0.4995032	0.90401536	0.761619	0.6925409	0.8317957	0.7552792	0.71079934	0.919555	0.9337597	0.8094566	0.9683096	0.8060087	0.8057252	0.7584648	0.92606354	0.7161143	0.6777891	0.74200606	0.94718915	0.7334665	0.8021743	0.8413425	0.6134141	0.7434726	0.76395	0.7716179	0.7583563	0.67699313	0.0	0.5043297	0.8254169	0.6943368	0.61360246	0.9557916	0.7156955	0.64177597	0.7120353	0.9287754	0.9231156	0.91172105	0.66525984	0.87891674	0.75458497	0.7566452	0.853252	0.7887237	0.6998857	0.60359955	0.66220176	0.90379417	0.6058308	0.5334748	0.64708364	0.5378075	0.87319946	0.74510527	0.66935277	0.82629037	0.73024106	0.57406974	0.6127417	0.8710009	0.895441	0.7758325	0.7759939	0.7675631	0.68097126	0.74905455	0.9407884	0.9658308	0.7724581	0.7100941	0.4933023	0.77545905	0.87367964	0.7658667	0.60018206	0.8587398	0.7977729	0.77375364	0.80449325	0.84055525	0.63727635	0.7024394	0.8605032	0.8952461	0.9553679	0.7093315	0.8604572	0.78072965	0.8144018	0.7779777	0.96094286	0.950926	0.7761958	0.7778896	0.7029395	0.77818424	0.85397476	0.92089593	0.6919844	0.76550263	0.6548156	0.85170424	0.8817708	0.7700362	0.56178844	0.6073725	0.6533396	0.82318854	0.8116165	0.8404244	0.52423733	0.83818424	0.82091546
hoed/noun	0.89741623	0.8609589	0.9712899	0.71651214	0.88179195	0.42089522	0.49191666	0.9242227	0.51789606	0.64950466	0.8851003	0.9922568	0.58273643	0.68444693	0.8970196	0.4790402	0.8934572	0.88977706	0.8480408	0.81785893	0.89598036	0.8823461	0.9549764	0.9497486	0.45410007	0.38084435	0.7151808	0.9505662	0.5240232	0.76854956	0.86575675	0.9764009	0.78397983	0.5146476	0.92779636	0.7717724	0.3208506	0.92918426	0.6234723	0.8426108	0.9348905	0.5043297	0.0	0.81016946	0.83375293	0.29912603	0.93316543	0.98406476	0.84925187	0.6946482	0.5960632	0.7332729	0.89569074	0.7726971	0.8222785	0.42016262	0.8715916	0.77043194	0.78720176	0.2453655	0.7444399	0.72355115	0.9590589	0.21883148	0.7289323	0.37034482	0.71380216	0.81330794	0.36197555	0.93246275	0.8096155	0.48570526	0.49896175	0.67954016	0.87874335	0.9730662	0.5446094	0.784144	0.96627104	0.3676203	0.45252347	0.9945358	0.9782312	0.9069084	0.90451086	0.55986583	0.8371309	0.83163875	0.74060833	0.7299945	0.8844914	0.69747114	0.88785315	0.7751987	0.98202443	0.7447447	0.8791141	0.9651186	0.78507054	0.99656564	0.8858386	0.7272047	0.85544443	0.7345835	0.80269146	0.8247359	0.9647944	0.9654379	0.4092976	0.8804232	0.8381295	0.97751594	0.93276113	0.65334654	0.88045025	0.83372146	0.9203496	0.96342766	0.4361915	0.34595132	0.8426404	0.79975975	0.8832863	0.93898094	0.6299131	0.6589273	0.9634586	0.9714469
kimono/noun	0.96140975	0.9499207	0.9807632	0.98989093	0.90919137	0.8099833	0.89420444	0.94146746	0.6170769	0.86612856	0.98177284	0.9886037	0.6024381	0.9398455	0.9342228	0.73363173	0.99604386	0.9344714	0.89093584	0.91794467	0.9567292	0.876823	1.0	0.9329115	0.71385694	0.8178073	0.86137575	0.95154285	0.7317865	0.9110774	0.93745536	0.96637005	0.9182395	0.6504401	0.9605426	0.8520263	0.8082635	0.9286524	0.92237717	0.8683794	0.9812086	0.8254169	0.81016946	0.0	0.79993	0.7449789	0.951612	0.99469465	0.96740735	0.834085	0.8700859	0.67661774	0.98421097	0.9287889	0.7747121	0.6682576	0.910383	0.9548518	0.89159465	0.830337	0.8601406	0.7714258	0.99864614	0.61755204	0.9636204	0.58257616	0.933405	0.83132243	0.5017096	0.9180855	0.868653	0.6525191	0.74250734	0.89788777	0.9995835	0.9854033	0.7883681	0.9175745	0.9721768	0.67118835	0.6522049	0.95492035	0.9518369	0.88881975	0.98079884	0.8699405	0.8488247	0.86948055	0.892646	0.84142035	0.9810215	0.7012624	0.711916	0.74442494	0.9971395	0.9652972	0.95899755	0.94294924	0.9404959	0.9923974	0.88893807	0.78704363	0.94146955	0.9051685	0.97632587	0.95726335	0.9698198	0.98830307	0.7758869	0.8038003	0.93584144	0.9855492	0.95960057	0.8638789	0.9551175	0.8680215	0.87672824	0.9896325	0.8222457	0.6746444	0.83558655	0.95204794	0.74992454	0.90174145	0.86710036	0.6477219	0.99544877	1.0
aluminium/noun	0.9574034	0.53073686	0.9356926	0.86427045	0.82133085	0.8657208	0.7536031	0.7933297	0.83796203	0.8599552	0.42796916	0.9379353	0.8568928	0.43276894	0.72370857	0.9350616	0.44082522	0.7357937	0.72008586	0.68719405	0.9116807	0.9233212	0.6708174	0.96563536	0.89893615	0.88332486	0.6544019	0.93952537	0.8627838	0.6597607	0.6360229	0.9490943	0.60504586	0.73726565	0.91765153	0.3547091	0.95888376	0.6323479	0.7427102	0.8916595	0.92241323	0.6943368	0.83375293	0.79993	0.0	0.8927696	0.888001	0.9544249	0.3776148	0.9296319	0.99823374	0.7861665	0.87939894	0.33907443	0.7910359	0.7901755	0.8585533	0.8925427	0.81044763	0.9712324	0.5612734	0.3426695	0.95346135	0.88538617	0.73593223	0.8567483	0.29188353	0.9615745	0.7477873	0.8354821	0.7912823	0.8528089	0.60375357	0.527188	0.82734025	0.9432709	0.8686155	0.8771412	0.89534605	0.81546354	0.8785354	0.97013	0.9710221	0.82781833	0.36336458	0.6807948	0.90196353	0.8676538	0.78143334	0.5829475	0.9147812	0.5435565	0.52995646	0.79046124	0.9265661	0.42669517	0.631219	0.92334884	0.96012086	0.9813688	0.39985275	0.8017018	0.79477644	0.8000883	0.3355062	0.97664505	0.99901474	0.9621844	0.92777234	0.8580908	0.82373697	0.9900641	0.69523716	0.8529713	0.59680974	0.82465947	0.8797121	0.8670944	0.874345	0.8862345	0.53058887	0.32736874	0.8112633	0.8571193	0.9308617	0.3802446	0.95231044	0.94599867
pruik/noun	0.94945455	0.88012797	0.94958687	0.64635366	0.8814065	0.4282989	0.5805626	0.79479825	0.62263274	0.4896186	0.9166712	0.99383235	0.51538	0.7233127	0.9470578	0.51195204	0.8850456	0.9753119	0.8495866	0.88427377	0.90921897	0.8681088	0.92038846	0.95994157	0.48901778	0.57907176	0.6650319	0.9582561	0.38821423	0.75921255	0.8325878	0.9751915	0.7654083	0.68411654	0.9432685	0.7807486	0.5575459	0.9618956	0.65934944	0.8355073	0.89580166	0.61360246	0.29912603	0.7449789	0.8927696	0.0	0.91058505	0.9875888	0.8738127	0.6508199	0.5615754	0.8247162	0.8485503	0.85346645	0.79729974	0.36213106	0.89211506	0.7193538	0.85798866	0.5053501	0.74145114	0.8038279	0.92509884	0.2804321	0.81222284	0.47132486	0.7709451	0.8578961	0.41482496	0.9074744	0.86739385	0.5664309	0.46695584	0.69301	0.8485941	0.98249364	0.3980782	0.795902	0.8971974	0.24116778	0.33644086	0.9691609	0.994208	0.9242244	0.8278849	0.52184993	0.83548266	0.79095656	0.8789208	0.7264162	0.8299451	0.7420286	0.9127928	0.7889847	0.9410302	0.84628975	0.868841	0.96948546	0.80416375	0.99778664	0.8524939	0.8801442	0.8456754	0.73220074	0.87517697	0.9377317	0.9080623	0.88890845	0.48234022	0.8424139	0.7793302	0.9794829	0.8707495	0.5960642	0.7827854	0.785033	0.8496406	0.87566876	0.45551354	0.2699191	0.84631413	0.8299815	0.9366931	0.9288646	0.44795626	0.55188507	0.8897558	0.9897028
zeehond/noun	0.98175645	0.790128	0.8925879	0.9305572	0.9067109	0.93421793	0.9437494	0.8819759	0.8999729	0.9228252	0.96371865	0.94049853	0.9529134	0.8927439	0.9036501	0.88831955	0.9112096	0.8404854	0.8383047	0.7851339	0.7345152	0.8650152	0.8997307	0.53758246	0.85076916	0.7484032	0.817879	0.71495354	0.8866273	0.77293867	0.6337155	0.87986386	0.72546214	0.90531415	0.90697193	0.86302733	0.967569	0.898594	0.8804703	0.78450245	0.9498368	0.9557916	0.93316543	0.951612	0.888001	0.91058505	0.0	0.99794626	0.8376115	0.9100523	0.9906221	0.95814264	0.6997117	0.86832905	0.86345315	0.93694997	0.7973692	0.7943501	0.8735981	0.92389303	0.8399652	0.8810065	1.0	0.91660964	0.91265655	0.92831427	0.86535084	0.92627716	0.9176986	0.93433046	0.796269	0.97056854	0.7438318	0.7997102	0.933061	0.9036543	0.95283806	0.7395251	0.96868384	0.90448654	0.80342114	0.9826949	0.9340994	0.54472506	0.9232453	0.88912725	0.8195145	0.853647	0.91615844	0.88892084	0.9493738	0.732537	0.6242089	0.76474994	0.9367886	0.9105478	0.8500006	0.66089547	0.7892068	0.9981276	0.90741885	0.9484451	0.9070436	0.67125267	0.86764026	0.8782549	0.95264935	0.855	0.84373295	0.97759366	0.82842064	0.9484719	0.8294297	0.88820356	0.82111496	0.9086292	0.8974414	0.9842364	0.9395883	0.88657266	0.86878955	0.84947735	0.79734087	0.8264495	0.8562509	0.8916935	0.85876054	0.8045397
schemer_zone/noun	0.9516962	0.9939446	1.0	0.9549509	0.9241909	0.9914033	0.94822264	0.9437877	0.99860156	0.96678364	0.9761521	0.99503475	0.93827087	0.880538	0.98219043	0.9304775	0.9328991	0.79547614	0.99294823	0.98492295	0.9705279	0.9925881	0.9613437	0.98703784	0.9169801	0.9993725	0.97825414	0.90940285	0.9829175	0.92637116	0.9692538	0.9245328	0.9824474	1.0	0.9609742	0.9832671	0.93290174	0.92905825	0.8936421	0.7379609	0.49139577	0.7156955	0.98406476	0.99469465	0.9544249	0.9875888	0.99794626	0.0	0.97406346	0.965215	0.9847025	0.9841963	0.9366153	0.9855557	0.86656916	0.98588187	0.94066286	0.92295766	0.875921	0.99184334	0.9277906	0.984299	0.8886082	0.9822683	0.70027906	0.96390295	0.9780326	1.0	0.9726289	0.4098177	0.9685704	0.98157525	0.9484659	0.9650625	0.93818176	0.8555341	0.9916973	0.9631268	0.52554154	0.98593915	0.9339721	0.9901163	0.9470014	0.999765	0.95074356	0.91782457	0.85080117	0.96091866	0.94941837	0.89648235	0.9334416	0.9776223	0.975058	0.91925734	0.95530367	0.88817096	0.8123469	0.7471837	0.92603815	0.8060353	0.99717104	0.99010223	0.94917434	0.8797407	0.9657645	0.99971414	0.99523205	0.74276984	0.96916735	0.70745236	0.9615458	0.604416	0.9605558	0.88841677	0.971326	0.8606699	0.8929864	0.9957748	0.9769728	0.9623574	0.971072	0.9778681	0.9287126	0.84425175	0.99087554	0.9142937	0.91368026	0.7887069
gevel/noun	0.96679276	0.40939647	0.91065866	0.737154	0.9211768	0.77729553	0.840171	0.78731763	0.9845779	0.8565264	0.34417486	0.67042124	0.8521451	0.4822511	0.835889	0.89403504	0.28059423	0.90291464	0.8034748	0.66193706	0.9714823	0.93380314	0.44357842	0.91775155	0.88413703	0.8651242	0.7612608	0.90624803	0.7492258	0.61649525	0.6037078	0.8875786	0.66148543	0.8730887	0.9497445	0.2879936	0.91267633	0.41719258	0.830683	0.9440821	0.863697	0.64177597	0.84925187	0.96740735	0.3776148	0.8738127	0.8376115	0.97406346	0.0	0.92542696	0.95272666	0.84206873	0.87267274	0.3467598	0.82298726	0.7866859	0.84071887	0.8428905	0.8844404	0.97581357	0.69554543	0.5031438	0.85421854	0.8448321	0.62393665	0.9189361	0.30323052	0.90443915	0.8725213	0.863179	0.7958649	0.9518359	0.70130634	0.3812902	0.8810296	0.91071135	0.8523301	0.79788506	0.9180576	0.8518816	0.8899755	1.0	0.9852154	0.8069934	0.33635312	0.6486842	0.96457964	0.7538389	0.7993002	0.64371204	0.88749146	0.6232058	0.764045	0.62077564	0.9089322	0.4822353	0.6211227	0.8787118	0.9524493	0.99324775	0.33134168	0.7794911	0.7736974	0.85089165	0.3228793	0.9660341	0.97314835	0.96926534	0.89977115	0.9140758	0.8540119	0.7988859	0.60336685	0.8609583	0.6317892	0.7703645	0.886818	0.88653463	0.87342817	0.9408676	0.49369794	0.3332399	0.9119109	0.9125135	0.9365658	0.47399992	0.91738504	0.7631163
tovenaar/noun	0.951999	0.9066418	0.96680164	0.8270887	0.9306808	0.7497963	0.85654473	0.87285715	0.8914433	0.9025123	0.94626355	1.0	0.5658396	0.8083943	0.97484773	0.9028683	0.93558395	0.98327625	0.98164034	0.9448835	0.5010927	0.9754642	0.9309175	0.7817205	0.76604885	0.7912089	0.55344903	0.9301232	0.749889	0.67724633	0.7938681	0.96910334	0.90709853	0.8497081	0.99870723	0.89208156	0.8489084	0.9499284	0.69264054	0.9571587	0.93035334	0.7120353	0.6946482	0.834085	0.9296319	0.6508199	0.9100523	0.965215	0.92542696	0.0	0.88406074	0.9546151	0.9715015	0.8564029	0.85179245	0.83056295	0.9068187	0.91784036	0.9709566	0.87494063	0.74566257	0.8025399	0.9136002	0.69057465	0.8388821	0.69755757	0.91111755	0.79763854	0.80180347	0.898221	0.8461447	0.7439232	0.76355183	0.82258546	0.9426533	0.95372033	0.85583174	0.88595915	0.78456867	0.6965101	0.7884275	1.0	1.0	0.89233124	0.8753896	0.82452404	0.9700981	0.8259127	0.8860513	0.71351033	0.8815099	0.7126552	0.9364615	0.8520174	0.9359642	0.8783675	0.80441177	0.9772639	0.7736534	0.9993341	0.9547941	0.92586684	0.860136	0.45291078	0.9049256	0.88753504	1.0	0.96284175	0.875835	0.96642715	0.82767355	0.9827279	0.91771734	0.87898433	0.8762313	0.6226789	0.9052907	0.9979915	0.80988884	0.5365317	0.67939186	0.9070483	0.97029144	0.94952464	0.8484544	0.74637264	0.96319586	0.98649794
haar_kleur/noun	0.997128	0.9840727	1.0	0.7759632	0.9611286	0.63376224	0.6304649	0.9150538	0.9355339	0.7462431	0.9618704	0.9693973	0.83301604	0.89637065	0.9279058	0.7513088	0.92445815	1.0	0.99165934	0.9977679	0.9773823	0.9483578	0.9626747	0.9717347	0.64018154	0.85900676	0.7596433	1.0	0.5974569	0.90711933	0.9864866	1.0	0.8833191	0.9559465	0.92420524	0.9164906	0.57439804	0.9931941	0.7353202	0.87246484	0.99643546	0.9287754	0.5960632	0.8700859	0.99823374	0.5615754	0.9906221	0.9847025	0.95272666	0.88406074	0.0	0.9361015	0.95554674	0.930603	0.6702805	0.4470849	0.7520456	0.88730687	0.90958434	0.82070327	0.9408535	0.8302479	0.6515368	0.70401627	0.91411984	0.74470854	0.90373755	1.0	0.7360125	0.9001684	0.98792684	0.8028839	0.79871964	0.83102185	0.9916821	1.0	0.699978	0.9071336	1.0	0.60137486	0.5466686	0.9504822	0.98397267	1.0	0.92109793	0.6307241	0.9441057	0.9656785	0.84730804	0.81038177	1.0	0.9184028	0.9993509	0.97145885	0.9963589	0.93000704	0.90663654	0.99338794	0.9359319	0.98786056	0.92596716	0.9890474	0.8898999	0.8831759	0.95751417	0.99901354	0.9970321	0.95909894	0.7079835	0.8546027	0.9477306	0.95872074	0.99846786	0.59982586	0.9803622	0.85959285	0.8769566	0.9856528	0.68597245	0.6317607	0.9346552	1.0	0.94120663	0.990556	0.8099275	0.73351276	0.99897444	0.9938815
krijt_streep/noun	0.9290836	0.88255155	0.99656624	0.8684747	0.8775463	0.8708476	0.9660055	0.9848013	0.68724185	0.64360476	0.96773654	0.9889432	0.646692	0.83902055	0.9836487	0.7850594	0.8900109	0.9989437	0.82446706	0.9100275	0.99450046	0.88415366	0.78964865	0.9657007	0.7671028	0.74677134	0.7918389	0.9950499	0.87895644	0.92109376	0.95453435	0.9694238	0.84857994	0.6251445	0.93185335	0.7956691	0.7426727	0.9240853	0.86767095	0.9099493	0.9235814	0.9231156	0.7332729	0.67661774	0.7861665	0.8247162	0.95814264	0.9841963	0.84206873	0.9546151	0.9361015	0.0	0.8960469	0.9107294	0.87909335	0.6841137	0.93174136	0.88568914	0.91468424	0.6683049	0.81248045	0.78373325	0.9482426	0.61753124	0.83607835	0.8266617	0.8015128	0.9795477	0.5978545	0.98070997	0.9287894	0.6550383	0.65335035	0.8567549	0.99580437	0.9884124	0.7947682	0.97560865	0.85943836	0.82875186	0.7777714	0.96913475	0.9921229	0.9887932	0.82374704	0.8761061	0.92458713	0.81838167	0.9222399	0.91032326	0.91668445	0.7428162	0.8453541	0.834528	0.99212813	0.82191235	0.90469325	0.9849383	0.9651464	0.9929042	0.81381935	0.8878506	0.9927062	0.9533835	0.82051826	0.9863146	0.9682148	0.933658	0.9079303	0.9329276	0.94966334	0.98566616	0.8432291	0.8487262	0.81056315	0.9015797	0.9719668	0.8797756	0.6387794	0.81951916	0.8473839	0.8460213	0.94914895	0.99128413	0.834239	0.7858605	0.9521446	1.0
imago/noun	0.9790931	0.9561796	0.99569464	0.83133686	0.95660424	0.9667052	0.93144345	0.977647	0.86722475	0.84919363	0.9264968	0.97739816	0.90091056	0.89453	0.83448887	0.8972854	0.9081707	0.82378703	0.8726181	0.8061906	0.9932617	0.8596922	0.98303556	0.9239931	0.83233416	0.78048885	0.8778351	0.998709	0.96321523	0.8964821	0.8454199	0.66253555	0.84045804	0.87866455	0.78376734	0.8625679	0.94027567	0.9305278	0.85381985	0.90907615	0.836643	0.91172105	0.89569074	0.98421097	0.87939894	0.8485503	0.6997117	0.9366153	0.87267274	0.9715015	0.95554674	0.8960469	0.0	0.83190274	0.93097997	0.8667209	0.81765395	0.82692146	0.9556193	0.88031787	0.7200719	0.8632192	0.90731204	0.8621868	0.8876722	0.94484055	0.8319855	1.0	0.85142577	0.78872335	0.91145426	0.95247424	0.770713	0.8124612	0.97143185	0.8605806	0.9185267	0.91810006	0.8400276	0.86689675	0.9202382	0.83524674	0.71159035	0.765306	0.87732255	0.8845607	0.81542003	0.7729677	0.9362517	0.9192159	0.85626245	0.8035776	0.91606104	0.91839033	0.9032128	0.913883	0.9336209	0.83973616	0.95376396	0.9653257	0.8911959	0.94907093	0.9341987	0.7917371	0.9031867	0.9800301	0.9628216	0.8500978	0.8335669	0.80238914	0.8948636	0.95460176	0.9122581	0.6933378	0.78441966	0.82184666	0.9799055	0.8521764	0.8884809	0.8934461	0.8734922	0.8315842	0.9641224	0.9744125	0.8520385	0.87710935	0.93841106	0.8787855
steen/noun	0.96501464	0.6123167	0.8792838	0.9491711	0.80589277	0.6563339	0.68265855	0.7656666	0.8936382	0.92126405	0.3604915	0.92524934	0.81129825	0.23439866	0.74237424	0.92077065	0.25069386	0.7062306	0.54338956	0.52042353	0.92218494	0.90373695	0.60119355	0.9593847	0.79002506	0.7922526	0.59279585	0.8214961	0.7478244	0.5772749	0.42523742	0.8283773	0.42321604	0.62711537	0.8077818	0.3052156	0.8863509	0.43735665	0.685878	0.91263247	0.87990534	0.66525984	0.7726971	0.9287889	0.33907443	0.85346645	0.86832905	0.9855557	0.3467598	0.8564029	0.930603	0.9107294	0.83190274	0.0	0.8972329	0.7936236	0.712633	0.85779387	0.8448503	0.8794229	0.44593382	0.38911498	0.80028164	0.78185946	0.6775181	0.8902785	0.24245971	0.8506562	0.7615949	0.7352098	0.5961389	0.939997	0.5941489	0.5032089	0.8369553	0.9661296	0.844385	0.7644859	0.9194535	0.80827373	0.8949977	0.985046	0.9334669	0.772204	0.26396418	0.53449345	0.91676277	0.782395	0.76923984	0.5554073	0.8445191	0.5511089	0.77551246	0.5803982	0.8383097	0.63073075	0.53603923	0.9312328	0.9095463	0.99928564	0.27960068	0.68990445	0.6450956	0.801672	0.41362804	0.9139174	0.99236745	0.93194276	0.8594469	0.8981658	0.6527698	0.8494724	0.64307654	0.84639436	0.56837296	0.7104416	0.814559	0.91386086	0.8344478	0.7965123	0.4076928	0.18954605	0.829282	0.8842132	0.91758025	0.41616243	0.98514473	0.9269118
erg/adj	0.9974479	0.95584947	0.90031886	0.6557942	0.81825435	0.9141365	0.88024217	0.7551875	0.76305336	0.8253585	0.9107602	0.68589306	0.88909346	0.83652	0.89188397	0.74512607	0.8763087	0.8477169	0.86816555	0.9654159	0.7963149	0.85864073	0.9741495	0.79565793	0.8251707	0.857659	0.8066691	0.9823272	0.86185396	0.747379	0.8180371	0.88894117	0.90873027	0.9514028	0.92352915	0.8687748	0.88470733	0.72319406	0.87138444	0.50338566	0.93735516	0.87891674	0.8222785	0.7747121	0.7910359	0.79729974	0.86345315	0.86656916	0.82298726	0.85179245	0.6702805	0.87909335	0.93097997	0.8972329	0.0	0.6828043	0.8688525	0.9706647	0.71132433	0.8771916	0.98490036	0.85097426	0.9532188	0.8555865	0.8271233	0.8744677	0.8756592	0.8749082	0.83504725	0.7708976	0.78936726	0.8825258	0.6878201	0.79846203	0.9612882	0.99262655	0.87221193	0.92818725	0.75150347	0.7485986	0.704641	0.9084619	0.97644866	0.90922153	0.8708116	0.7509953	0.5989281	0.9517643	0.70713913	0.86692154	0.9256749	0.8771903	0.69785243	0.87703013	0.8664404	0.9646563	0.86987674	0.84773356	0.8920369	0.9919228	0.7748736	0.98701733	0.9013089	0.8807601	0.9171931	0.8596591	0.90717155	0.8071386	0.8527909	0.67153233	0.7751253	0.852178	0.98537666	0.6109973	0.8360434	0.7922273	0.7889724	0.9282295	0.7760076	0.8581674	0.92569715	0.8487756	0.85486203	0.63574463	0.7624675	0.82724583	0.8460462	0.9991845
kapsel/noun	0.9507505	0.9550043	0.93997335	0.68336797	0.8711901	0.49706256	0.72286755	0.7534816	0.8000148	0.4377523	0.8590888	0.9777982	0.52130985	0.7146195	0.85755914	0.54554856	0.7630852	0.89869463	0.82162267	0.9409162	0.99445915	0.9031923	0.9576307	0.97366667	0.48643625	0.66540354	0.7531038	0.9875788	0.40678573	0.7860804	0.86895263	0.9468124	0.83323145	0.7103847	0.9494126	0.7279265	0.52599716	0.8456816	0.5633122	0.8341018	0.9311988	0.75458497	0.42016262	0.6682576	0.7901755	0.36213106	0.93694997	0.98588187	0.7866859	0.83056295	0.4470849	0.6841137	0.8667209	0.7936236	0.6828043	0.0	0.7772182	0.74172354	0.82152635	0.69713676	0.80161345	0.73043996	0.7750044	0.35699826	0.7238625	0.54005116	0.70998734	0.8637841	0.4599265	0.9050209	0.851017	0.6018348	0.49977744	0.5825517	0.9476023	0.935295	0.4143399	0.691385	0.874131	0.3156761	0.31603807	0.9178224	0.96424174	0.9563172	0.6928872	0.49901092	0.8249294	0.84798014	0.7867141	0.732536	0.9312657	0.73389935	0.8546783	0.8467294	0.98738146	0.8291097	0.85944533	0.9122235	0.9432536	0.9948193	0.77979684	0.81184673	0.87262654	0.8032568	0.79077715	0.9311575	0.94537723	0.9492142	0.5068817	0.839793	0.82161236	0.9612375	0.9266551	0.5229218	0.75806147	0.6954494	0.8235239	0.9175667	0.51026136	0.38370395	0.8069605	0.83811235	0.88587034	0.8967359	0.46918094	0.5941347	0.939062	0.990481
overweeg/adj	0.985729	0.902948	0.5407064	0.9278074	0.7243742	0.73356986	0.71938705	0.5952175	0.94437444	0.9349173	0.88291895	0.9904063	0.84785855	0.6507194	0.91095686	0.9049555	0.77122474	0.78527296	0.6385301	0.8439094	0.9738688	0.9721041	0.90786004	0.94297034	0.7375552	0.92198944	0.7327031	0.8714669	0.780211	0.7147478	0.6722718	0.60282564	0.6793361	0.9192601	0.90906787	0.77015907	0.7537114	0.8673936	0.8600353	0.95911044	0.8024891	0.7566452	0.8715916	0.910383	0.8585533	0.89211506	0.7973692	0.94066286	0.84071887	0.9068187	0.7520456	0.93174136	0.81765395	0.712633	0.8688525	0.7772182	0.0	0.9270493	0.64754045	0.9542106	0.7624968	0.72209096	0.61926985	0.8582581	0.5653907	0.9034351	0.68154955	0.9258815	0.7882196	0.8184871	0.88490367	0.84934807	0.54973054	0.7895282	0.95583355	0.61143	0.89656746	0.7927241	0.9057967	0.8526658	0.87005794	0.91126835	0.7442527	0.9081358	0.7679579	0.5712566	0.93932116	0.9451767	0.61306596	0.5710154	0.96547794	0.9329994	0.7928017	0.8725586	0.7475447	0.90684366	0.6108533	0.6291571	0.9725261	0.95496994	0.7875912	0.96185714	0.6506721	0.88247824	0.8410888	0.6867405	0.91557664	0.78507906	0.90047085	0.76565707	0.46956038	0.74609005	0.93010724	0.7503964	0.82344973	0.6396226	0.61905336	0.8021044	0.84792954	0.83738434	0.676234	0.82294434	0.78526163	0.54444325	0.92722577	0.7249421	0.81754243	0.97587514
