	Ahmet/name	Marat/name	beetje/noun	berusting/noun	beton_blok/noun	bewust/adj	blad/noun	blazoen/noun	blik/noun	die/det	dikwijls/adj	dreun/noun	e/noun	ellende/noun	en/vg	enigszins/adv	explosie/noun	gelatenheid/noun	geluid/noun	gevoel/noun	glans/noun	haar/noun	heerlijk/adj	herhaling/noun	het/det	huid/noun	ik/pron	indruk/noun	kijker/noun	klank/noun	klap/noun	kleur/noun	klik/noun	klinker/noun	klop/noun	knal/noun	koper/noun	kort/adj	kreet/noun	kunststof/noun	laag_DIM/noun	leegte/noun	lethargie/noun	lijden/noun	miserie/noun	o/noun	oog/noun	oog_DIM/noun	opgenomen/adj	oppervlak/noun	papier/noun	pijn/noun	poeder/noun	poging/noun	punt/noun	razernij/noun	ritme/noun	schoen/noun	schoot/noun	schot/noun	sfeer/noun	signaal/noun	slag/noun	streep/noun	tamelijk/adj	te/adv	teleurstelling/noun	theater_zaal/noun	toon/noun	trom/noun	variant/noun	veeleer/adv	verdriet/noun	verf/noun	verkeer_ellende/noun	voorstelling/noun	wat/adv	werkelijkheid/noun	zang_stem/noun	ze/pron	zo/adv	zucht/noun	zwart/noun
pijn/noun	0.96694577	0.9506536	0.7899289	0.8585017	0.9600661	0.81919456	0.9221499	0.9377525	0.80124825	0.777846	0.8154481	0.86334246	0.94188523	0.732162	0.73749816	0.8182082	0.87935984	0.8813567	0.8009763	0.7055102	0.8779101	0.8221091	0.87119	0.8683551	0.87901783	0.71402067	0.74541456	0.85620785	0.86010236	0.8679891	0.7834171	0.87508976	0.9219763	0.94860977	0.8806555	0.854413	0.92395914	0.8769196	0.8339406	0.9458036	0.91548955	0.8285048	0.9170556	0.7389662	0.80194855	0.9223836	0.76832795	0.9022908	0.92160076	0.9121477	0.89946467	0.0	0.8988013	0.8687743	0.929761	0.8697283	0.86652297	0.86164725	0.8686585	0.88556856	0.85513544	0.8837056	0.865504	0.8630273	0.8908608	0.84549916	0.7767397	0.9688163	0.8503311	0.9032789	0.8925979	0.87494427	0.66860664	0.8860197	0.911687	0.88490194	0.8243208	0.84683335	0.9343295	0.7356318	0.83483917	0.8408059	0.89470875
poeder/noun	0.9566558	0.95021635	0.9150522	0.94752264	0.8865798	0.909179	0.8246007	0.9289291	0.8593273	0.87221646	0.9124317	0.9273919	0.9238557	0.8985511	0.782349	0.9069045	0.8775634	0.9497573	0.8697516	0.92480856	0.8829844	0.81968284	0.8529444	0.9418683	0.8925661	0.7649489	0.93708724	0.9635673	0.9219716	0.8747978	0.9131094	0.8033248	0.92827326	0.8608794	0.9416236	0.87845856	0.8760212	0.8963866	0.92238784	0.7917501	0.77402943	0.898423	0.9325833	0.9363317	0.9174463	0.9053322	0.88306475	0.90613365	0.90681815	0.8282084	0.75987905	0.8988013	0.0	0.9344561	0.9686167	0.9375	0.9095243	0.83219177	0.8779862	0.90550214	0.91175926	0.9213089	0.9469827	0.87259173	0.887022	0.8959054	0.9352153	0.92491716	0.90173376	0.95497274	0.85971546	0.92823267	0.8949864	0.7741475	0.9113177	0.9200342	0.9027013	0.929972	0.9421822	0.83699656	0.90313643	0.92779195	0.8739316
poging/noun	0.95642084	0.9525373	0.80852365	0.91952074	0.92696166	0.81060594	0.878373	0.88024306	0.86855423	0.8045953	0.8233298	0.9213892	0.943608	0.8512691	0.7282271	0.74041635	0.8525723	0.9222392	0.8555476	0.83469164	0.88775635	0.9078821	0.9061568	0.8189408	0.8041881	0.8933245	0.9078201	0.8087911	0.8528128	0.86438435	0.85047084	0.89275336	0.94646657	0.9533931	0.9523582	0.88394177	0.88140684	0.880045	0.86412454	0.94577456	0.92459697	0.8988854	0.91767657	0.87289023	0.91918075	0.9286216	0.8782453	0.92691	0.91514355	0.93417364	0.88234353	0.8687743	0.9344561	0.0	0.9244336	0.8924721	0.87636596	0.8970732	0.8651862	0.8180774	0.8576047	0.8177661	0.818215	0.89242405	0.80264205	0.83632207	0.87185633	0.965645	0.8221837	0.96019554	0.831229	0.8117453	0.8348403	0.91508365	0.9525338	0.8397403	0.7994869	0.8196033	0.9643172	0.8259248	0.8023882	0.8848611	0.891279
punt/noun	0.93616784	0.9563456	0.93029994	0.944414	0.9555165	0.9437376	0.95534295	0.97633046	0.93794525	0.8525037	0.9157088	0.9105495	0.9543073	0.9422523	0.908371	0.9066218	0.9616334	0.958941	0.94668996	0.9090044	0.9077406	0.95726067	0.95263034	0.9400293	0.89005834	0.93044686	0.91471034	0.9250369	0.91996914	0.9452455	0.8630353	0.9485147	0.9654479	0.94480705	0.9359932	0.93007445	0.9399595	0.93315315	0.9393776	0.96620184	0.9482074	0.9400268	0.94891626	0.96162945	0.9579701	0.955249	0.9314746	0.9517175	0.9580771	0.9518651	0.9226757	0.929761	0.9686167	0.9244336	0.0	0.9629035	0.9458513	0.93383706	0.91704416	0.8774462	0.9565695	0.9181422	0.8382731	0.8614378	0.93384767	0.9076925	0.90687084	0.97365123	0.94461066	0.94455785	0.94691783	0.94599307	0.93499434	0.9545555	0.96684515	0.95528185	0.9041202	0.93681425	0.9783577	0.90363866	0.9068908	0.9119596	0.9455624
razernij/noun	0.9451373	0.9479223	0.907599	0.891396	0.93535376	0.9367118	0.95412785	0.914514	0.8897581	0.8823191	0.8709196	0.92293483	0.96393555	0.85476965	0.8455309	0.91634876	0.894996	0.89146936	0.8945472	0.8315142	0.91212106	0.9275536	0.91021246	0.9143285	0.9181369	0.92574376	0.90854424	0.9156426	0.9038118	0.894614	0.9134716	0.93618834	0.9463282	0.9568356	0.92588	0.9194776	0.91438574	0.930266	0.8679951	0.943253	0.9429411	0.8703089	0.8994854	0.87798536	0.9064467	0.94413996	0.8849191	0.9345094	0.9265859	0.95282626	0.93478173	0.8697283	0.9375	0.8924721	0.9629035	0.0	0.9064162	0.9539405	0.9103802	0.921776	0.87665415	0.9232306	0.9482382	0.95086515	0.903913	0.91208947	0.87462187	0.9642281	0.9001213	0.95206	0.9338401	0.8833376	0.84516466	0.9289187	0.9170215	0.914539	0.9165796	0.8884946	0.96395063	0.8692104	0.8877571	0.8960403	0.9215167
ritme/noun	0.97166616	0.94426215	0.7830254	0.9111401	0.94282085	0.88152015	0.8758671	0.9696702	0.7635066	0.802035	0.83546257	0.8397471	0.8674615	0.8480369	0.6552168	0.77084285	0.8593358	0.91034406	0.62603986	0.79722285	0.83977246	0.8412609	0.7549434	0.8348674	0.87751544	0.8404461	0.8875579	0.82147205	0.83785063	0.52925056	0.88795763	0.70739186	0.9114585	0.8991114	0.9198236	0.8605603	0.8657856	0.8627027	0.8256146	0.891324	0.864026	0.84636295	0.89431924	0.9031228	0.9135996	0.9216265	0.8150566	0.92518854	0.8465494	0.8381641	0.8652499	0.86652297	0.9095243	0.87636596	0.9458513	0.9064162	0.0	0.8390382	0.8767655	0.86744684	0.66926324	0.8715128	0.9008692	0.84801084	0.7591501	0.8483296	0.89484614	0.9318665	0.67672753	0.84719056	0.7780489	0.799883	0.8666594	0.8462211	0.94803655	0.7206323	0.7523413	0.8089877	0.8361268	0.8324995	0.7852912	0.8050525	0.87114394
schoen/noun	0.96825933	0.94507074	0.79788864	0.94147515	0.90784895	0.8990548	0.77306473	0.9457786	0.7408962	0.8275161	0.8708267	0.93064797	0.8859319	0.8984696	0.6444783	0.83519	0.9090123	0.9581639	0.81545556	0.89725184	0.85300714	0.6243261	0.8062922	0.90370667	0.8732905	0.70981586	0.84059703	0.8820917	0.8731524	0.8424062	0.89102536	0.685609	0.89850104	0.855226	0.9510214	0.88838613	0.8347426	0.8132375	0.88158894	0.817001	0.78582144	0.9100284	0.96253973	0.9561591	0.90754586	0.934548	0.74609774	0.8625401	0.9328035	0.8129152	0.7472655	0.86164725	0.83219177	0.8970732	0.93383706	0.9539405	0.8390382	0.0	0.83034813	0.858014	0.855435	0.93063194	0.8973368	0.7842075	0.8383251	0.84184897	0.90776354	0.92355573	0.8578833	0.91379344	0.8685664	0.8564402	0.89542305	0.72905165	0.9729972	0.87319845	0.79164994	0.8973439	0.94112587	0.73244154	0.84608704	0.91570044	0.7636273
schoot/noun	0.93954265	0.9563133	0.85420877	0.92186975	0.93246186	0.9029545	0.868389	0.94307745	0.7979047	0.844423	0.87494344	0.89044875	0.91964614	0.8879814	0.7637608	0.87880516	0.8526	0.9498985	0.82955885	0.9004229	0.92567056	0.7913616	0.8356384	0.9382027	0.87951136	0.8494488	0.907078	0.890651	0.90150917	0.8656119	0.85578126	0.8467655	0.93063223	0.91739815	0.9370443	0.8050821	0.90025914	0.89402187	0.8755017	0.8891708	0.9105	0.9222822	0.95835865	0.943419	0.92791295	0.9341169	0.79830456	0.9128471	0.9211192	0.9044668	0.8239826	0.8686585	0.8779862	0.8651862	0.91704416	0.9103802	0.8767655	0.83034813	0.0	0.72296894	0.8908441	0.90313816	0.88643354	0.86247075	0.8761989	0.8920319	0.9134854	0.94487417	0.8789301	0.9161179	0.8871805	0.89490944	0.890123	0.86609715	0.9322631	0.9078363	0.8383813	0.9066306	0.934396	0.79767275	0.8747921	0.8838232	0.86083555
schot/noun	0.9541025	0.930663	0.8643883	0.9420612	0.88173604	0.8980724	0.9057215	0.9573694	0.8343053	0.86756533	0.88639665	0.8720434	0.9418735	0.90253335	0.81370604	0.86246705	0.851261	0.94866776	0.8623409	0.8890578	0.9350649	0.87191737	0.8775705	0.9136657	0.8839023	0.88490677	0.88874185	0.89153564	0.91312647	0.89417994	0.8065111	0.8873908	0.92142737	0.9167967	0.89909863	0.68175435	0.91844064	0.8850295	0.891296	0.8886068	0.8958663	0.90679634	0.9475564	0.9291874	0.9134788	0.94111055	0.8649296	0.9123046	0.94968545	0.89168715	0.8890297	0.88556856	0.90550214	0.8180774	0.8774462	0.921776	0.86744684	0.858014	0.72296894	0.0	0.9135528	0.8953035	0.8345268	0.84631556	0.89573026	0.8942362	0.9150028	0.95475906	0.89361995	0.9398303	0.90889955	0.910117	0.9172589	0.89874744	0.9479525	0.9091306	0.86629987	0.91083103	0.9715837	0.8373215	0.8747929	0.9051518	0.8807173
sfeer/noun	0.9694174	0.96106356	0.70219135	0.8502047	0.9459942	0.8293896	0.84917074	0.948006	0.7311691	0.74081606	0.8166042	0.8849183	0.91885275	0.80618286	0.65384066	0.71446323	0.86660415	0.8596868	0.6893151	0.60792613	0.8196422	0.85136163	0.6906138	0.8687407	0.82141924	0.85599947	0.87094474	0.7098435	0.81315345	0.62700695	0.90944076	0.7051759	0.9431099	0.9403364	0.9393959	0.8939936	0.87947595	0.89334756	0.8160014	0.9073782	0.8701078	0.76638216	0.8784886	0.90359706	0.8985964	0.9072595	0.8190999	0.9257831	0.8748629	0.88529265	0.8423189	0.85513544	0.91175926	0.8576047	0.9565695	0.87665415	0.66926324	0.855435	0.8908441	0.9135528	0.0	0.88261336	0.9243237	0.90137804	0.74320483	0.8111504	0.83024776	0.8574759	0.6446148	0.9352214	0.81266546	0.717417	0.7843986	0.8344965	0.94450563	0.6734774	0.6860124	0.7462207	0.87656283	0.8324324	0.73496413	0.7884561	0.8355142
signaal/noun	0.9665001	0.9830165	0.8791686	0.9309334	0.96448874	0.8421943	0.9014469	0.93543047	0.82605535	0.789384	0.8337254	0.90188205	0.9391804	0.8575492	0.78176266	0.8181019	0.86443126	0.9212611	0.72323644	0.85307705	0.92693675	0.93138593	0.9116362	0.87465364	0.8551608	0.8866073	0.91288686	0.851807	0.8497369	0.8355123	0.8571295	0.8676907	0.9110607	0.94666415	0.9279885	0.9052292	0.8722292	0.89097977	0.8330561	0.90740323	0.8938656	0.9123165	0.94715095	0.9009221	0.917649	0.96437943	0.8701297	0.92976636	0.89881563	0.9135507	0.8799776	0.8837056	0.9213089	0.8177661	0.9181422	0.9232306	0.8715128	0.93063194	0.90313816	0.8953035	0.88261336	0.0	0.9111852	0.9112002	0.8637932	0.88839686	0.87055564	0.94697917	0.8307346	0.936226	0.8736936	0.8319038	0.88606715	0.9180158	0.94065773	0.88453263	0.8820284	0.8510361	0.95880014	0.86002177	0.8427116	0.89342517	0.9118635
slag/noun	0.96143353	0.9358295	0.8783649	0.92621666	0.9344531	0.8959566	0.90971726	0.9339972	0.87609583	0.8655084	0.8945611	0.8494896	0.93963593	0.89179265	0.7845868	0.8758274	0.9112501	0.95088154	0.8834491	0.9092742	0.9294536	0.8892834	0.9164105	0.9275845	0.8689308	0.8976903	0.87919927	0.88140273	0.8973673	0.9201913	0.739305	0.9018522	0.9609525	0.91607815	0.8781701	0.8947205	0.8999695	0.88641196	0.9221808	0.93790346	0.95492494	0.92657185	0.9435277	0.9154437	0.92808014	0.94364095	0.9015572	0.9240208	0.94953704	0.9379828	0.8769659	0.865504	0.9469827	0.818215	0.8382731	0.9482382	0.9008692	0.8973368	0.88643354	0.8345268	0.9243237	0.9111852	0.0	0.8427019	0.91791636	0.90860957	0.90850633	0.9550489	0.9138136	0.93183386	0.90940773	0.90198666	0.89432055	0.9037894	0.93511224	0.91487294	0.8747904	0.9027599	0.9579943	0.85755706	0.903412	0.92590153	0.91571206
streep/noun	0.94153756	0.91394156	0.8290012	0.9388087	0.9193996	0.8906443	0.8449932	0.92687905	0.8141346	0.83714986	0.85328645	0.8775052	0.90995455	0.8853197	0.7486936	0.8483739	0.9185534	0.9426053	0.8364798	0.8899173	0.8457831	0.72744	0.8590105	0.9007586	0.8666443	0.795312	0.8669285	0.8926982	0.8950472	0.8639593	0.8426498	0.71648955	0.94746166	0.8428336	0.9083172	0.8787425	0.8787	0.85428184	0.88354623	0.84524405	0.81135106	0.9008064	0.9508311	0.9525856	0.89647925	0.934247	0.77246356	0.87933147	0.91866374	0.8217807	0.81719244	0.8630273	0.87259173	0.89242405	0.8614378	0.95086515	0.84801084	0.7842075	0.86247075	0.84631556	0.90137804	0.9112002	0.8427019	0.0	0.84644854	0.86313665	0.89731693	0.9249825	0.86410236	0.901483	0.8589034	0.895198	0.8976322	0.769373	0.94664687	0.88028234	0.82387376	0.8825142	0.95833784	0.8417466	0.86842483	0.9026201	0.79989016
tamelijk/adj	0.9454362	0.9201773	0.6692903	0.8863161	0.94747764	0.80598116	0.7892616	0.9381293	0.7313535	0.76779425	0.75916415	0.9087741	0.90330815	0.8244469	0.6619898	0.61218154	0.85960174	0.8926475	0.74770415	0.7947711	0.87346387	0.8383035	0.80324966	0.8153691	0.8332759	0.7984531	0.84765744	0.6800757	0.8010153	0.7348912	0.89456064	0.76512104	0.9117	0.89391637	0.92661595	0.9153256	0.85242915	0.8145059	0.83809054	0.8671266	0.86148405	0.81377256	0.9406394	0.9028402	0.92087615	0.9124543	0.79163873	0.91502947	0.8074213	0.8364999	0.815067	0.8908608	0.887022	0.80264205	0.93384767	0.903913	0.7591501	0.8383251	0.8761989	0.89573026	0.74320483	0.8637932	0.91791636	0.84644854	0.0	0.6363467	0.8621538	0.9055192	0.64215994	0.9172363	0.77464676	0.66791975	0.8337338	0.838239	0.9494111	0.72815776	0.56798667	0.7149056	0.8837507	0.79088575	0.58042467	0.8628808	0.8262346
te/adv	0.9500078	0.95024455	0.6316106	0.92227066	0.9422691	0.7893374	0.8440188	0.9497154	0.77988887	0.7401459	0.76256216	0.9244883	0.93480283	0.8575058	0.68634903	0.7003261	0.8918645	0.92053175	0.81331444	0.83055854	0.9020384	0.8494164	0.83067894	0.88104737	0.8622909	0.8241438	0.77782184	0.7407583	0.81321996	0.82065827	0.90393114	0.8265464	0.9447533	0.885606	0.93650967	0.9149772	0.83046144	0.8483387	0.87758136	0.9011377	0.8709523	0.8861306	0.9627768	0.9151154	0.9094475	0.933152	0.8250165	0.8994405	0.9080429	0.83491063	0.8566037	0.84549916	0.8959054	0.83632207	0.9076925	0.91208947	0.8483296	0.84184897	0.8920319	0.8942362	0.8111504	0.88839686	0.90860957	0.86313665	0.6363467	0.0	0.8975353	0.9418318	0.7634144	0.92576325	0.8390809	0.7621726	0.84925044	0.8573158	0.91907364	0.8019999	0.49381822	0.79679567	0.9386577	0.7406713	0.55711174	0.88223004	0.86623603
teleurstelling/noun	0.9378565	0.95436263	0.8395761	0.79695797	0.9644633	0.89692825	0.91491514	0.93959916	0.8545952	0.782897	0.8383437	0.862069	0.9206388	0.74957645	0.8368311	0.7921739	0.8903085	0.79437876	0.8834247	0.72826105	0.90790904	0.9025883	0.8969466	0.87612873	0.8667841	0.9065119	0.84596795	0.85569096	0.87335473	0.87250453	0.8247179	0.9045789	0.9261094	0.95276576	0.93438536	0.8897892	0.88945574	0.918525	0.84113693	0.94022965	0.9328785	0.84960145	0.90001184	0.837794	0.8084426	0.93062294	0.8730736	0.9306232	0.93613684	0.91519827	0.9135268	0.7767397	0.9352153	0.87185633	0.90687084	0.87462187	0.89484614	0.90776354	0.9134854	0.9150028	0.83024776	0.87055564	0.90850633	0.89731693	0.8621538	0.8975353	0.0	0.9531461	0.829184	0.91724247	0.910067	0.8323414	0.69437706	0.91391885	0.8451577	0.8785975	0.8597335	0.865553	0.9582997	0.850826	0.85119617	0.84409034	0.9191768
theater_zaal/noun	0.953213	0.958772	0.9349256	0.9512146	0.93768054	0.9516107	0.94257593	0.95434177	0.9228261	0.9199544	0.9136917	0.94550216	0.95153654	0.9244918	0.87523776	0.92491174	0.9007612	0.9657858	0.8897686	0.9528149	0.9222865	0.92708	0.91841197	0.9678102	0.8835883	0.9241117	0.96262836	0.941458	0.9358442	0.88657457	0.9498435	0.88889027	0.93773854	0.9008219	0.9658862	0.9189703	0.9374421	0.93546796	0.942551	0.91355073	0.9618561	0.8985593	0.95133424	0.96369153	0.93849134	0.9460632	0.93993807	0.9442344	0.8968758	0.8965472	0.92816633	0.9688163	0.92491716	0.965645	0.97365123	0.9642281	0.9318665	0.92355573	0.94487417	0.95475906	0.8574759	0.94697917	0.9550489	0.9249825	0.9055192	0.9418318	0.9531461	0.0	0.94166887	0.9339527	0.9275005	0.91186535	0.95644575	0.9208259	0.93353766	0.8557075	0.9021039	0.9329191	0.9355803	0.93338424	0.93065625	0.94309336	0.9321753
toon/noun	0.9671529	0.95654756	0.7046385	0.8375942	0.94688845	0.83307505	0.8100291	0.93692434	0.660776	0.7782641	0.78282094	0.8348491	0.8780719	0.8170147	0.6509464	0.65190333	0.8527216	0.8707185	0.62784743	0.73454714	0.8062644	0.80531424	0.75908005	0.8186485	0.86356163	0.81606996	0.8586481	0.71786666	0.8159065	0.60330963	0.8823359	0.70416284	0.923283	0.9034652	0.9157615	0.8786773	0.8678024	0.8320455	0.77730834	0.91912055	0.8666113	0.8186368	0.9338479	0.9044195	0.91686994	0.90372294	0.7406037	0.8852732	0.8443318	0.86426926	0.84941185	0.8503311	0.90173376	0.8221837	0.94461066	0.9001213	0.67672753	0.8578833	0.8789301	0.89361995	0.6446148	0.8307346	0.9138136	0.86410236	0.64215994	0.7634144	0.829184	0.94166887	0.0	0.90146077	0.77317345	0.71482617	0.80296785	0.8493866	0.9436122	0.7228579	0.6228691	0.74759746	0.842433	0.7905214	0.6705532	0.79495287	0.8276479
trom/noun	0.9132659	0.928015	0.9241699	0.9416445	0.9382955	0.9533958	0.9403324	0.9234219	0.9204743	0.9047799	0.94544667	0.8901045	0.96082354	0.8983953	0.8734901	0.9149325	0.920353	0.92557055	0.8647752	0.92965245	0.9372	0.9164106	0.9232236	0.93202174	0.9207652	0.92510957	0.91252375	0.95804346	0.93467563	0.84764665	0.8726114	0.8941611	0.9363021	0.9452889	0.9057876	0.8970166	0.9252851	0.9320468	0.91504645	0.9397901	0.9440587	0.9181712	0.9622988	0.9448541	0.93457574	0.9172361	0.92599386	0.9355628	0.930919	0.9099297	0.93240154	0.9032789	0.95497274	0.96019554	0.94455785	0.95206	0.84719056	0.91379344	0.9161179	0.9398303	0.9352214	0.936226	0.93183386	0.901483	0.9172363	0.92576325	0.91724247	0.9339527	0.90146077	0.0	0.94050694	0.9348072	0.9288652	0.9181829	0.9031606	0.9386215	0.9161526	0.9413799	0.9039886	0.9146948	0.92007756	0.9000603	0.9414085
variant/noun	0.9580261	0.9417619	0.80830944	0.9102913	0.95290595	0.8524278	0.795849	0.9415798	0.81192124	0.8258538	0.83745337	0.9167671	0.9018752	0.861281	0.68135816	0.80226916	0.85008967	0.92618775	0.7740583	0.8562809	0.85847044	0.8392495	0.80226374	0.8580249	0.7949604	0.83099234	0.9237583	0.8542001	0.84662116	0.7300247	0.88384634	0.763065	0.92183053	0.90710366	0.9324707	0.9234117	0.85852873	0.84506994	0.8133389	0.87524366	0.8473476	0.877876	0.935509	0.91144085	0.92905533	0.9126509	0.85786545	0.9182666	0.8387745	0.87295485	0.8217809	0.8925979	0.85971546	0.831229	0.94691783	0.9338401	0.7780489	0.8685664	0.8871805	0.90889955	0.81266546	0.8736936	0.90940773	0.8589034	0.77464676	0.8390809	0.910067	0.9275005	0.77317345	0.94050694	0.0	0.7929729	0.8697874	0.86514664	0.9484333	0.80211556	0.79279774	0.77742803	0.9277556	0.8685367	0.8012174	0.8894495	0.8426397
veeleer/adv	0.95488703	0.9431278	0.74900585	0.851924	0.94116443	0.78840566	0.83360827	0.93951106	0.7471534	0.711016	0.75785935	0.9140418	0.8773054	0.82869047	0.64979243	0.72069347	0.87038124	0.8551624	0.7845079	0.73515004	0.8621553	0.8758244	0.815886	0.8467355	0.8224633	0.86369014	0.85042435	0.7497059	0.8022717	0.75708044	0.90855896	0.76649547	0.9227584	0.9163206	0.9362155	0.9222319	0.85594416	0.8469898	0.83079225	0.9144472	0.9020789	0.8273493	0.9104701	0.83927166	0.8803246	0.9193485	0.82425547	0.9249103	0.8506409	0.88198346	0.858821	0.87494427	0.92823267	0.8117453	0.94599307	0.8833376	0.799883	0.8564402	0.89490944	0.910117	0.717417	0.8319038	0.90198666	0.895198	0.66791975	0.7621726	0.8323414	0.91186535	0.71482617	0.9348072	0.7929729	0.0	0.81375307	0.86349213	0.9496944	0.75417477	0.7139258	0.75606906	0.9162158	0.8125402	0.7498545	0.80151737	0.8526086
verdriet/noun	0.9272773	0.94946074	0.76759666	0.7949612	0.9453207	0.84927905	0.8653041	0.91756266	0.80712837	0.766494	0.7912816	0.9037549	0.91577154	0.66848755	0.7542337	0.77638555	0.8773366	0.8159717	0.8093004	0.6605327	0.89327526	0.87400436	0.8409699	0.8396106	0.8838519	0.8522834	0.8079547	0.84996426	0.83737713	0.8214842	0.86750674	0.8517833	0.93264693	0.91649413	0.9183768	0.8850168	0.9242003	0.90534264	0.7846936	0.9168424	0.90393585	0.7582089	0.90590835	0.7446319	0.7654658	0.88602746	0.8121761	0.89301324	0.91239405	0.8969797	0.87124026	0.66860664	0.8949864	0.8348403	0.93499434	0.84516466	0.8666594	0.89542305	0.890123	0.9172589	0.7843986	0.88606715	0.89432055	0.8976322	0.8337338	0.84925044	0.69437706	0.95644575	0.80296785	0.9288652	0.8697874	0.81375307	0.0	0.87806934	0.9044122	0.8289952	0.80620164	0.77434623	0.9386461	0.7739726	0.7986387	0.8056536	0.89247435
verf/noun	0.95962346	0.98024374	0.84824216	0.94029146	0.8928211	0.8696907	0.79245245	0.8935141	0.7728478	0.81568	0.85210896	0.9121391	0.91427505	0.8507819	0.66821647	0.82520664	0.87659645	0.93207973	0.7788819	0.8967416	0.841696	0.72235596	0.84046113	0.88379663	0.8424539	0.6933323	0.9317607	0.892867	0.88475126	0.8017031	0.89555144	0.6241065	0.94697344	0.8591097	0.9560446	0.8842181	0.83975315	0.88369733	0.87096035	0.71860015	0.7327021	0.8494086	0.94536835	0.9364183	0.9122295	0.91534895	0.79008293	0.85281634	0.90175575	0.75387573	0.70320344	0.8860197	0.7741475	0.91508365	0.9545555	0.9289187	0.8462211	0.72905165	0.86609715	0.89874744	0.8344965	0.9180158	0.9037894	0.769373	0.838239	0.8573158	0.91391885	0.9208259	0.8493866	0.9181829	0.86514664	0.86349213	0.87806934	0.0	0.9498884	0.83313733	0.83667743	0.84821653	0.9245009	0.81687784	0.8356807	0.93088967	0.77802
verkeer_ellende/noun	0.92445874	0.9385159	0.9385858	0.89550686	0.88634115	0.95828104	0.9621336	0.9437032	0.95019865	0.90468216	0.9083239	0.8668122	0.9277669	0.8039458	0.9491106	0.93798053	0.8934553	0.9121046	0.93503463	0.954738	0.9515727	0.9643278	0.9559054	0.93147916	0.9376025	0.9725852	0.9353371	0.9433818	0.93601453	0.9409974	0.8744971	0.9639723	0.94184315	0.9052633	0.8734884	0.8799933	0.9359288	0.94458866	0.9481357	0.9648021	0.949104	0.9093188	0.89259404	0.88387537	0.8119521	0.9514062	0.95412105	0.96390456	0.95422417	0.93336546	0.9528327	0.911687	0.9113177	0.9525338	0.96684515	0.9170215	0.94803655	0.9729972	0.9322631	0.9479525	0.94450563	0.94065773	0.93511224	0.94664687	0.9494111	0.91907364	0.8451577	0.93353766	0.9436122	0.9031606	0.9484333	0.9496944	0.9044122	0.9498884	0.0	0.9378473	0.9363996	0.9328133	0.9375487	0.9383383	0.92503655	0.93681264	0.95637393
voorstelling/noun	0.9542391	0.9651308	0.7724198	0.92314374	0.9535418	0.82881004	0.82669747	0.95881796	0.7583128	0.79527295	0.784602	0.9198568	0.8675963	0.842566	0.67976326	0.7508818	0.8648233	0.9377385	0.7176959	0.77535427	0.86204493	0.8692446	0.7615932	0.80329067	0.8230702	0.86828756	0.89629984	0.7596115	0.73325384	0.7137604	0.9151351	0.73477805	0.9431246	0.9179174	0.95995045	0.91388714	0.8605012	0.7998842	0.81101996	0.90069115	0.90347046	0.8228984	0.9433361	0.89348716	0.9090446	0.8845488	0.83146393	0.9466538	0.79997796	0.86766183	0.83354145	0.88490194	0.9200342	0.8397403	0.95528185	0.914539	0.7206323	0.87319845	0.9078363	0.9091306	0.6734774	0.88453263	0.91487294	0.88028234	0.72815776	0.8019999	0.8785975	0.8557075	0.7228579	0.9386215	0.80211556	0.75417477	0.8289952	0.83313733	0.9378473	0.0	0.76344776	0.73280996	0.915738	0.84509856	0.72736895	0.86394227	0.85730237
wat/adv	0.94762045	0.9306947	0.37846112	0.8755182	0.9444525	0.8010235	0.78676707	0.93919575	0.6856249	0.7489153	0.74978346	0.9000487	0.91572523	0.8218465	0.6300357	0.50523865	0.8918329	0.9057103	0.724539	0.7470226	0.82684076	0.7674207	0.7180817	0.85530555	0.841462	0.7902826	0.7295725	0.65122426	0.7826121	0.7291484	0.872417	0.7218499	0.9299059	0.90082145	0.91503674	0.88574	0.84497666	0.8264041	0.84455025	0.8600553	0.8526288	0.8317785	0.9313891	0.9020982	0.8788967	0.9263131	0.726797	0.88566923	0.8987553	0.8292117	0.8011888	0.8243208	0.9027013	0.7994869	0.9041202	0.9165796	0.7523413	0.79164994	0.8383813	0.86629987	0.6860124	0.8820284	0.8747904	0.82387376	0.56798667	0.49381822	0.8597335	0.9021039	0.6228691	0.9161526	0.79279774	0.7139258	0.80620164	0.83667743	0.9363996	0.76344776	0.0	0.7621028	0.87916523	0.6919689	0.5664878	0.8278742	0.8198269
