	46/num	Japan/det	Waals/adj	aangekocht/adj	acht/num	afdeling/noun	alle/det	allerlei/det	als/prep	ambachtelijk/adj	analyseer/verb	bedek/verb	ben/verb	berg/noun	blijk/verb	boven/prep	boven_haal/verb	buitenlands/adj	chirurgisch/adj	dat/pron	deel_uit/verb	die/det	die/pron	dik/adj	door/prep	doorboor/verb	een/det	eis/verb	elk/det	enkel/det	gebruikelijk/adj	gelakt/adj	gemanipuleerd/adj	genomen/adj	gepantserd/adj	geïmporteerd/adj	goedkoop/adj	hard/adj	het/det	hoeveelheid/noun	hoogwaardig/adj	hoop/noun	importeer/verb	in/prep	kilo/noun	klein/adj	krijg_binnen/verb	lading/noun	licht/adj	lichtgewicht/adj	maak/verb	magnetisch/adj	meer/det	met/adv	met/prep	minder/adj	minder/det	naar/prep	neem/verb	nieuw/adj	onderzoek/verb	op/prep	pak/noun	per/prep	plat/adj	positief/adj	produceer/verb	puur/adj	representatief/adj	roest_vrij/adj	rond/adj	ruw/adj	slinger_rond/adj	stel_vrij/verb	stuk/noun	ton/noun	uit/prep	val_samen/verb	van/prep	verbrand/adj	verdacht/adj	verroest/adj	verschil/adj	verwrongen/adj	vier/num	vloeibaar/adj	voor/prep	waar/adv	waardoor/pp	waarin/pp	waarvan/pp	word/verb	zacht/adj	zoals/comp	zoals/prep	zuiver/adj
lichtgewicht/adj	0.9568836	0.9778526	0.98546416	0.9854726	0.94479537	0.95261306	0.97004974	0.9952569	0.9641924	0.9581919	0.9708477	0.9882164	0.9835345	0.94534504	0.96547806	0.9405013	0.9708281	0.9722886	0.979261	0.9570842	0.9819968	1.0	0.9614833	0.9690373	0.9611043	0.9990431	0.9855038	0.9751818	0.99632865	0.9843702	0.968006	1.0	0.9947084	0.97198725	0.9609099	0.9725214	0.98111874	0.9831968	0.9944481	0.9697527	0.9717706	0.99052763	0.9658799	0.9376138	0.9338669	0.9510951	0.9752586	0.985677	0.96545225	0.0	0.946021	0.99368	0.94545555	0.97652	0.9605929	0.969065	0.9703847	0.96119654	0.9921011	0.9755597	0.9883415	0.9756289	0.9855397	0.9560198	0.9807704	0.9940268	0.9522116	0.9767008	0.980254	1.0	0.93210244	0.92731637	1.0	0.99503785	0.9808135	0.9522242	0.93667436	0.9790695	0.95004106	0.9784904	0.98701894	1.0	0.97968954	1.0	0.95475924	0.9762783	0.9688053	0.97069085	0.9880966	0.9750918	0.9501321	0.9662942	0.98705554	0.9732488	0.9701623	0.97184676
maak/verb	0.93587774	0.9957548	0.9590403	0.95490295	0.8625757	0.928229	0.9159663	0.88958824	0.67545116	0.9708591	0.9288667	0.9693799	0.8890682	0.94779676	0.86793166	0.9212657	0.9904324	0.91558564	0.9886002	0.7870211	0.9293449	0.90597093	0.795377	0.95633394	0.7503809	0.9931367	0.94666547	0.8981109	0.9167662	0.85546994	0.9281872	0.9875075	0.9664435	0.931207	0.97766095	0.98639596	0.91926074	0.87301165	0.92249906	0.948813	0.9636666	0.87952745	0.9620589	0.8249773	0.96947557	0.89944357	0.9768181	0.96998197	0.89261454	0.946021	0.0	0.9983873	0.9265005	0.861129	0.82991827	0.93166363	0.92586696	0.9030177	0.8542966	0.83022785	0.8965717	0.8837339	0.91373444	0.9663331	0.96268517	0.9117149	0.8692883	0.85588026	0.9780214	0.99859214	0.89577276	0.94075376	1.0	0.99082017	0.89290315	0.95959467	0.84389216	0.9314896	0.7917533	0.9959489	0.9589475	1.0	0.856937	0.977686	0.8807484	0.9918368	0.84601474	0.84298474	0.8769145	0.74688256	0.9047295	0.8327966	0.9334578	0.7286118	0.83276534	0.9532078
magnetisch/adj	0.9731698	1.0	0.9578806	0.9874304	0.97138643	0.96527976	0.98695385	1.0	0.97995603	0.9608952	0.98614126	0.9645107	1.0	0.9995151	0.9838626	0.94789004	0.9995763	0.99841994	1.0	0.9416852	0.980218	1.0	0.9633588	0.96236706	0.9610708	1.0	0.9978413	0.9762529	0.9916813	0.9850976	0.9736447	1.0	1.0	0.9784698	0.9898164	0.9468122	0.9568412	0.9986563	0.98613375	0.93075246	0.99982184	1.0	0.96527857	0.9376404	0.9634453	0.94247687	0.97232467	0.9287148	0.9513549	0.99368	0.9983873	0.0	0.95188284	0.99090976	0.98579556	0.9519829	0.9547659	0.95146304	0.97580767	0.9821977	0.98086584	0.97408694	1.0	0.96512705	0.96179235	0.97529083	0.9580078	0.9913712	0.9890027	1.0	0.98362863	0.96664727	1.0	0.98463714	0.99273854	0.9768028	0.94624877	0.98840463	0.95224863	0.9933383	0.9844309	0.9984767	0.99627817	0.9914331	0.9888153	0.9998543	0.9683612	0.9538555	0.98988706	0.9728846	0.9617885	0.9658807	0.9931848	0.97722876	0.999147	1.0
meer/det	0.9184252	0.9628972	0.924963	0.8639492	0.8159551	0.90666485	0.7668594	0.9032744	0.9021913	0.96062374	0.9279455	0.9058808	0.9082203	0.8749013	0.7838989	0.56703967	0.9318236	0.82028306	0.9694362	0.85903406	0.8091504	0.94229287	0.8369091	0.70813525	0.9186771	0.9811561	0.88701093	0.66720825	0.732233	0.92885846	0.8988298	0.9936678	0.9389471	0.875275	0.907369	0.9008575	0.7155563	0.888598	0.95368844	0.8209475	0.9262132	0.91120076	0.79867303	0.9160676	0.4893918	0.8216671	0.75757754	0.8171803	0.77619296	0.94545555	0.9265005	0.95188284	0.0	0.8434583	0.6459291	0.57994604	0.47803223	0.66305035	0.89431953	0.8371626	0.85093606	0.8484939	0.89746165	0.37729394	0.944288	0.83474475	0.6461489	0.90424186	0.87015116	0.9425772	0.8611283	0.7477987	0.99916434	0.8892824	0.5531873	0.39356244	0.9232812	0.98269004	0.6191372	0.94350976	0.8782246	0.9414325	0.84326714	0.99380255	0.81961036	0.8389628	0.6188471	0.84566426	0.7971251	0.89791447	0.4714064	0.9198211	0.93532264	0.89491665	0.8698547	0.91046387
met/adv	0.9294617	0.9654346	0.94241625	0.94783103	0.8928965	0.9040647	0.8703281	0.9405883	0.802872	0.9853228	0.92053986	0.9618553	0.920379	0.95101553	0.8554737	0.89134	0.9803822	0.8695342	0.99087304	0.83090264	0.9111746	0.9396626	0.84977674	0.8999781	0.81529945	0.97703516	0.9283157	0.83939314	0.94076085	0.9015166	0.89397955	0.9935299	0.9729508	0.91649604	0.9823888	0.9471541	0.8896214	0.8503363	0.89950216	0.9368824	0.9414734	0.90514815	0.9229251	0.8961374	0.9212894	0.8790375	0.933236	0.92701995	0.89608645	0.97652	0.861129	0.99090976	0.8434583	0.0	0.86539423	0.90699446	0.85216314	0.86514187	0.90383625	0.87583214	0.86626506	0.9269223	0.93386674	0.909007	0.94445324	0.8380395	0.8772517	0.8946451	0.94864154	0.9954729	0.9103534	0.9690674	0.9906972	0.9714194	0.9016398	0.9173378	0.90937704	0.9460693	0.76517606	0.96988773	0.91662174	0.98631126	0.91263086	0.9365722	0.87540996	0.9453765	0.85345006	0.83863324	0.8789511	0.8495109	0.8811134	0.9413475	0.9196917	0.80354077	0.80117255	0.9321574
met/prep	0.87383294	0.9961668	0.8609783	0.9294107	0.8215	0.900657	0.87152475	0.92537105	0.77137697	0.9715217	0.93506306	0.95254993	0.9144783	0.95432264	0.7927067	0.6904253	0.9496629	0.8287297	0.9865037	0.80514646	0.85253644	0.9336198	0.884789	0.8099845	0.8250757	0.9923902	0.8083614	0.8207545	0.87799937	0.89708066	0.91040385	0.9802387	0.95494425	0.91183907	0.94296753	0.9524341	0.704613	0.87600005	0.9373496	0.86278737	0.96318865	0.89417577	0.9020274	0.9432216	0.7124977	0.78763187	0.8848573	0.92252254	0.69390655	0.9605929	0.82991827	0.98579556	0.6459291	0.86539423	0.0	0.61681926	0.65973425	0.5518721	0.8209448	0.83676773	0.9037851	0.79765356	0.8867666	0.61402905	0.9486796	0.8063674	0.778733	0.8749338	0.94391775	0.9694902	0.8691851	0.85262024	0.98329365	0.9698983	0.7218988	0.66085744	0.924874	0.9618163	0.6029834	0.97434515	0.9402822	0.9967511	0.8813006	0.9943521	0.80529475	0.9201033	0.78179675	0.90478945	0.709976	0.80471444	0.6845059	0.9426869	0.9103945	0.8214	0.8498352	0.8917797
minder/adj	0.8845748	0.9803844	0.8365557	0.8915608	0.8136154	0.86084485	0.78513974	0.9393214	0.9165087	0.9730337	0.91866803	0.9345243	0.95829326	0.92844766	0.7865335	0.5747819	0.8981809	0.7849733	0.97408324	0.854154	0.78055394	0.9072025	0.89131147	0.72199476	0.91225195	0.98472434	0.9227124	0.7309481	0.7646471	0.8886766	0.9276638	0.99509746	0.96311975	0.8836751	0.8944606	0.9404637	0.706555	0.9008522	0.9301711	0.8262417	0.9609516	0.9128121	0.83987063	0.90815115	0.5448011	0.8313853	0.80210334	0.86199105	0.7252377	0.969065	0.93166363	0.9519829	0.57994604	0.90699446	0.61681926	0.0	0.60793394	0.6520923	0.8533284	0.82789403	0.8496038	0.8410576	0.85596335	0.41307992	0.9344279	0.7957728	0.6637515	0.8886427	0.8947629	0.96599644	0.8621913	0.78568935	0.99806994	0.91412205	0.6141356	0.43894488	0.91492707	0.9628831	0.63054	0.93887043	0.9026567	0.97554374	0.7804347	0.9775732	0.8348885	0.85666573	0.63598907	0.8842778	0.7567407	0.8980192	0.48637092	0.91603047	0.9280634	0.88720757	0.93168676	0.8970556
minder/det	0.89795256	0.9756005	0.92607576	0.93408114	0.86543655	0.89029056	0.85098326	0.93413854	0.8994405	0.97266483	0.9314422	0.9230028	0.9434424	0.91721904	0.83471537	0.64431036	0.939401	0.86033535	0.9792192	0.8593885	0.8056929	0.9605821	0.8836029	0.7788363	0.9056274	0.9853327	0.9104662	0.7266424	0.81760836	0.9694554	0.9155497	0.99437034	0.965025	0.90541196	0.93265754	0.93112403	0.75671446	0.89116323	0.9528172	0.8599708	0.92105734	0.90901023	0.8438175	0.9133849	0.5912201	0.843732	0.8267691	0.86665094	0.7596513	0.9703847	0.92586696	0.9547659	0.47803223	0.85216314	0.65973425	0.60793394	0.0	0.7113081	0.9269573	0.8632307	0.88473064	0.84549624	0.89074117	0.50134766	0.9497108	0.8402661	0.7287924	0.91016454	0.9110539	0.9761925	0.87853944	0.83076763	0.99857104	0.9152762	0.65960467	0.5274262	0.92054915	0.9710191	0.6803951	0.9470358	0.91289306	0.9553078	0.8413222	0.99072844	0.8744064	0.8701567	0.716321	0.89076895	0.8049572	0.89469504	0.5799302	0.91719973	0.9055498	0.90700436	0.8713613	0.93333143
naar/prep	0.89004356	0.9709346	0.8346247	0.93214667	0.75980556	0.851798	0.84986603	0.9093323	0.87175953	0.9679057	0.91215265	0.9046359	0.91404337	0.85043526	0.7815592	0.616171	0.95026904	0.821305	0.9733043	0.7720912	0.83488405	0.92317206	0.89593506	0.7963517	0.8599155	0.9770179	0.8664838	0.77351147	0.8543124	0.8420454	0.90019035	0.99013364	0.9783426	0.89054537	0.92680836	0.9241827	0.72122854	0.87474144	0.83794355	0.83230716	0.95754135	0.87167835	0.8489716	0.6204875	0.6685249	0.7953917	0.85201794	0.8674053	0.7314157	0.96119654	0.9030177	0.95146304	0.66305035	0.86514187	0.5518721	0.6520923	0.7113081	0.0	0.8653095	0.84216595	0.84028065	0.6768223	0.88754445	0.55555075	0.9292338	0.8182867	0.78084946	0.89474577	0.9312279	0.9630688	0.84273773	0.81617135	0.98839104	0.93396086	0.68251294	0.6166295	0.7447711	0.91522396	0.57139635	0.9648355	0.89703786	0.9545313	0.85823476	0.9928905	0.7550187	0.9230641	0.71131253	0.5502436	0.782958	0.89007825	0.6643337	0.85307837	0.89343774	0.84103596	0.85796267	0.8710407
neem/verb	0.88966244	0.99847573	0.90310585	0.94859326	0.8051285	0.87629634	0.8538794	0.89959455	0.7739823	0.9652149	0.9213271	0.9792756	0.9012231	0.9135992	0.83508885	0.87123716	0.9539796	0.8664855	0.9793674	0.78903794	0.88883233	0.8799431	0.81169367	0.9015028	0.7644014	0.99206907	0.85155684	0.8379104	0.87852395	0.8037631	0.93858606	1.0	0.95701635	0.91687655	0.96759385	0.9937716	0.88168985	0.83494747	0.90176713	0.94207287	0.9898525	0.85638106	0.94378066	0.85217685	0.93674225	0.89022374	0.9547838	0.9519531	0.84827936	0.9921011	0.8542966	0.97580767	0.89431953	0.90383625	0.8209448	0.8533284	0.9269573	0.8653095	0.0	0.80604523	0.8106029	0.8615432	0.92054373	0.9266695	0.92447716	0.8454575	0.9086221	0.9078528	0.9606212	0.96667653	0.8823043	0.9714669	0.99514776	0.9814587	0.8922412	0.9159913	0.83451796	0.94005036	0.76067567	0.96886885	0.8941719	1.0	0.8389097	0.9787759	0.83807945	0.9880646	0.8403018	0.85060036	0.8431884	0.8337346	0.85453224	0.8577955	0.9256345	0.80992883	0.8762013	0.91230977
