	Haring/name	advies/noun	alternatief/noun	ander/adj	bad/noun	begrotingstekort/noun	behandeling/noun	bestanddeel/noun	bezinning/noun	bijzonder/adj	boodschap/noun	buitengewoon/adj	christendom/noun	cluster/noun	commissie/noun	compensatie/noun	concurrentie/noun	cyclus/noun	dat/comp	dat/det	demonstratie/noun	die/det	dynamiek/noun	effect/noun	eigenschap/noun	erg/adj	evolutie/noun	functie/noun	gesprek/noun	gevolg/noun	heel/adj	het/det	het/noun	hoe/adj	interesse/noun	invloed/noun	klimaat/noun	kracht/noun	kritiek/noun	les/noun	medisch/adj	min/adj	muziek/noun	nederlaag/noun	of/vg	omgeving/noun	onderhandeling/noun	ontnuchtering/noun	oppositie/noun	pedagoog/noun	periode/noun	reflecteer/verb	rust/noun	rust_periode/noun	samenstelling/noun	samenwerking/noun	sanering/noun	schok/noun	suggestie/noun	thee/noun	tik/noun	toepassing/noun	uitwerking/noun	verkiezingsnederlaag/noun	verlaging/noun	verplichting/noun	verschuiving/noun	voorteken/noun	vuur/noun	water/noun	weg/noun	wending/noun	werk/noun	werkelijkheid/noun	werking/noun	zeer/adv	zo/adv	zogezegd/adj
demonstratie/noun	0.9512682	0.9019376	0.87727535	0.8799587	0.90874875	0.9234935	0.9105663	0.94647837	0.8933838	0.8553899	0.84667146	0.8730296	0.88099164	0.9246656	0.9064691	0.8926472	0.88739735	0.90224993	0.9161336	0.92003524	0.0	0.87691087	0.89362866	0.8757533	0.8941651	0.8778417	0.8868149	0.9275714	0.8486507	0.86781335	0.8720541	0.8661573	0.9451951	0.87699646	0.86274827	0.84277534	0.86356044	0.8508151	0.8125361	0.83225536	0.90027595	0.8735398	0.80688953	0.89897287	0.81541705	0.85877967	0.8397969	0.9263913	0.7713325	0.93110186	0.9007811	0.9409	0.9209095	0.9586337	0.9044721	0.84379905	0.8977059	0.89483005	0.8676698	0.91981655	0.9347831	0.8650141	0.88385487	0.89831454	0.93722767	0.90687966	0.9042026	0.9113331	0.82423025	0.90831566	0.8838472	0.89876556	0.8745765	0.88031125	0.87070936	0.8346039	0.87852454	0.89178216
die/det	0.9373002	0.81791764	0.8438631	0.70046854	0.8654516	0.8474225	0.8251538	0.8678577	0.83684	0.7443827	0.757732	0.757474	0.80716115	0.87968194	0.7958259	0.8290038	0.81004775	0.83013225	0.7396163	0.6462322	0.87691087	0.0	0.7650561	0.76142275	0.7217803	0.7863426	0.7599908	0.78959584	0.8625973	0.7916719	0.73973536	0.8797456	0.8120244	0.70824385	0.83173984	0.799091	0.79604256	0.73443305	0.7792875	0.8431057	0.7950666	0.770339	0.79194033	0.848641	0.7220288	0.7952224	0.84423304	0.8910308	0.8261016	0.90923166	0.8255756	0.8188773	0.8014919	0.9057163	0.8172584	0.82173765	0.87970036	0.8343321	0.7688941	0.8715871	0.85545915	0.796741	0.79911715	0.8820684	0.85021186	0.81461	0.83726084	0.88170975	0.86450756	0.82954836	0.84810114	0.83429354	0.82122797	0.7012824	0.7844421	0.7819196	0.7082625	0.80653757
dynamiek/noun	0.9235416	0.9129341	0.8666444	0.90221196	0.91482043	0.893112	0.90908545	0.90387714	0.8505804	0.79625773	0.87068444	0.77955014	0.8818864	0.87572116	0.9101803	0.90305007	0.8431201	0.8523905	0.912525	0.8522308	0.89362866	0.7650561	0.0	0.79539067	0.80613375	0.84929717	0.7703484	0.8761207	0.93231964	0.85228527	0.83532375	0.851991	0.944675	0.8560591	0.8334979	0.80294955	0.78877324	0.69425523	0.88624024	0.8842812	0.89884514	0.8194733	0.7505448	0.921143	0.87071586	0.8615551	0.91458404	0.9412215	0.89731485	0.9365432	0.8832057	0.85210246	0.86473286	0.9507771	0.8624519	0.8104529	0.8966904	0.8346665	0.8445561	0.93504107	0.89896506	0.8607478	0.81649435	0.9256895	0.8796457	0.9094368	0.8091407	0.9149762	0.9324797	0.90117806	0.90885186	0.8269447	0.8697786	0.819009	0.82527673	0.80490476	0.82991755	0.8965271
effect/noun	0.93928236	0.82515115	0.7807696	0.83652294	0.8861462	0.8114432	0.73520327	0.79240346	0.9022167	0.78506476	0.8172913	0.78233707	0.9403271	0.88642347	0.8709648	0.8199246	0.82400554	0.8408009	0.8419477	0.80219007	0.8757533	0.76142275	0.79539067	0.0	0.7736612	0.78418314	0.73357487	0.84357893	0.9059577	0.5360451	0.8384931	0.81915355	0.9023444	0.774477	0.8374012	0.5772702	0.73535883	0.7568668	0.8259251	0.87882745	0.79221296	0.7094989	0.8182566	0.8989653	0.71503115	0.7634085	0.9063001	0.92775005	0.88948107	0.9468479	0.803967	0.87117803	0.88690513	0.94051164	0.82086945	0.8592563	0.8321391	0.7837813	0.8293094	0.86718833	0.8733273	0.7630921	0.71099854	0.9004332	0.7887559	0.85064626	0.7705146	0.8991694	0.9053572	0.81207675	0.88356626	0.8322247	0.8673253	0.79749095	0.619923	0.73892605	0.7946919	0.88241315
eigenschap/noun	0.93269193	0.89292836	0.829486	0.78438205	0.8459765	0.9311259	0.8418119	0.7721327	0.9168742	0.75174606	0.839134	0.75886905	0.86476535	0.8813475	0.91141164	0.8974642	0.8883564	0.8811439	0.8728098	0.8206117	0.8941651	0.7217803	0.80613375	0.7736612	0.0	0.8058792	0.77407974	0.7962239	0.90552545	0.87946594	0.86997765	0.857983	0.8827642	0.78908575	0.8137251	0.78966296	0.80794406	0.6932343	0.88055015	0.87101483	0.84935784	0.7874863	0.81369966	0.9178036	0.74705446	0.8275598	0.91335166	0.94223017	0.89500386	0.9215129	0.9013494	0.88131434	0.8702279	0.95742416	0.7600602	0.86670464	0.9366851	0.90594935	0.8278327	0.8482846	0.92338413	0.76882666	0.8148985	0.9587236	0.9317166	0.91266394	0.8867296	0.9293848	0.9116806	0.8251264	0.89808464	0.8740251	0.8754949	0.8048575	0.75658226	0.7555798	0.8030144	0.84516317
erg/adj	0.93615746	0.87454575	0.8239677	0.8933469	0.89752674	0.9436531	0.83231574	0.9411127	0.90091157	0.47175717	0.77601194	0.55699694	0.8996273	0.92696685	0.90942115	0.91732705	0.86934894	0.8967674	0.8098733	0.74709755	0.8778417	0.7863426	0.84929717	0.78418314	0.8058792	0.0	0.80960953	0.8656844	0.853508	0.80701673	0.6444313	0.8616632	0.75674164	0.6057952	0.8877055	0.83965373	0.7610397	0.8338748	0.8074309	0.852988	0.872738	0.4906444	0.80132234	0.85603034	0.76806855	0.77562785	0.90141094	0.951686	0.8541137	0.8966155	0.825609	0.89406204	0.8507737	0.925047	0.8668742	0.840355	0.89573383	0.8709284	0.83216065	0.9093368	0.8916189	0.8517628	0.8130373	0.91509986	0.9277969	0.92143005	0.8695561	0.8935931	0.89210874	0.88743836	0.8727703	0.81065154	0.8372495	0.7730191	0.84220296	0.31062454	0.43459463	0.8659381
evolutie/noun	0.9457944	0.8598622	0.83315647	0.83370095	0.91717815	0.8496814	0.8568393	0.8905519	0.87888706	0.7681087	0.8355145	0.7822735	0.8657125	0.8744999	0.86427736	0.9076893	0.7991725	0.80297565	0.84929705	0.8219168	0.8868149	0.7599908	0.7703484	0.73357487	0.77407974	0.80960953	0.0	0.8417852	0.88842285	0.7615516	0.8279488	0.82532364	0.850758	0.7469936	0.78607947	0.7203716	0.75740504	0.8143818	0.86879677	0.8631582	0.81301403	0.7869252	0.822679	0.9182875	0.81470233	0.8269323	0.88535225	0.9310192	0.88947994	0.9050133	0.8102945	0.8828751	0.92213184	0.9635891	0.80333304	0.8331688	0.8534624	0.8469392	0.85241127	0.934756	0.9292654	0.7895574	0.81052876	0.9238327	0.8549548	0.8947427	0.7330674	0.8670795	0.92469335	0.8986289	0.88897973	0.8369069	0.8259798	0.7738533	0.76163816	0.7358782	0.8137585	0.89757836
functie/noun	0.9641349	0.8104194	0.84694	0.82732046	0.89887464	0.9244091	0.8612747	0.8875723	0.9308512	0.8106706	0.84414804	0.8461948	0.9207979	0.8826466	0.77990127	0.87768364	0.894259	0.90464425	0.9064729	0.8728138	0.9275714	0.78959584	0.8761207	0.84357893	0.7962239	0.8656844	0.8417852	0.0	0.8592598	0.8852829	0.87903154	0.83548164	0.91783065	0.86243165	0.8810134	0.83053243	0.8896512	0.8144265	0.87503874	0.87443674	0.80933374	0.8142227	0.8781372	0.9260671	0.79735136	0.8587028	0.8692443	0.97334135	0.88407874	0.92873913	0.9038899	0.9414725	0.9138745	0.9438551	0.84679204	0.81824875	0.89794016	0.9319478	0.8844749	0.9244882	0.9567127	0.8100871	0.8724365	0.9471158	0.89257765	0.81101257	0.9029932	0.9600617	0.9311388	0.9165221	0.90022546	0.9439747	0.78809863	0.8753687	0.75616646	0.8145406	0.86817336	0.89586437
gesprek/noun	0.9216822	0.81079096	0.86245036	0.85705364	0.9145744	0.92012304	0.8692552	0.95513463	0.8439442	0.8228652	0.80936503	0.8296888	0.9056814	0.9514136	0.8142584	0.9076584	0.89249516	0.89748377	0.8396167	0.8943089	0.8486507	0.8625973	0.93231964	0.9059577	0.90552545	0.853508	0.88842285	0.8592598	0.0	0.9049018	0.8446712	0.8631228	0.90043056	0.84618795	0.8607484	0.8731855	0.8793024	0.88962406	0.81692916	0.8456529	0.87256676	0.8684747	0.8377055	0.921715	0.84734976	0.881824	0.5684612	0.94059753	0.82795346	0.9185865	0.8813103	0.9343604	0.91343486	0.9530027	0.89880794	0.724694	0.89023256	0.9091785	0.81187546	0.90193105	0.94188005	0.9053647	0.8560202	0.9274349	0.92419773	0.8632173	0.89747804	0.92650205	0.9160269	0.93163115	0.90837365	0.8445583	0.7946264	0.85617507	0.88967377	0.8140278	0.8394214	0.9099237
gevolg/noun	0.96057546	0.8507134	0.83135045	0.8628765	0.9279989	0.7977298	0.71922815	0.90930253	0.8881678	0.82357687	0.8673837	0.8391142	0.91601753	0.9094296	0.84749943	0.8130641	0.8025923	0.8679488	0.83133626	0.8522903	0.86781335	0.7916719	0.85228527	0.5360451	0.87946594	0.80701673	0.7615516	0.8852829	0.9049018	0.0	0.8569945	0.82837605	0.91467464	0.80961215	0.87311804	0.6580291	0.77470005	0.8160278	0.80900323	0.89889216	0.7287259	0.76953787	0.9402218	0.8764169	0.7161665	0.83338773	0.86550456	0.93638384	0.86101913	0.9507705	0.7725357	0.8926092	0.90333325	0.9347727	0.86188364	0.84335953	0.8006897	0.78233606	0.8589208	0.93291354	0.8994044	0.82362425	0.7792119	0.90615994	0.8045013	0.82452667	0.76083684	0.876902	0.9001542	0.8683454	0.8866284	0.8673936	0.9231195	0.84860814	0.80314696	0.79517967	0.8750851	0.87148887
heel/adj	0.9374567	0.8777626	0.8584242	0.8187436	0.85995436	0.946156	0.90067005	0.91948307	0.89548594	0.66917336	0.8029176	0.7531415	0.8910254	0.88849735	0.90173626	0.92923635	0.8838762	0.85244244	0.8713181	0.77853817	0.8720541	0.73973536	0.83532375	0.8384931	0.86997765	0.6444313	0.8279488	0.87903154	0.8446712	0.8569945	0.0	0.765201	0.8363828	0.7212051	0.86983883	0.84747386	0.84538114	0.8412585	0.8651672	0.84170127	0.8713476	0.7528793	0.7826477	0.8859524	0.788161	0.7500756	0.8989607	0.95550054	0.8796656	0.9416488	0.79976714	0.88959783	0.87917745	0.93446976	0.8286098	0.86727285	0.88721514	0.87271297	0.8519376	0.89840174	0.8921543	0.8670442	0.85591483	0.9288236	0.94540155	0.90832764	0.8612263	0.9340416	0.866877	0.8413845	0.8261125	0.8587327	0.8311285	0.80349207	0.8521987	0.64147997	0.665838	0.894826
het/det	0.92804503	0.85856694	0.8503547	0.83485115	0.8649309	0.8840143	0.86331785	0.85230196	0.9007908	0.8346756	0.8346739	0.85491705	0.84651023	0.8720987	0.8462845	0.8656886	0.85434353	0.85655713	0.8301099	0.7197262	0.8661573	0.8797456	0.851991	0.81915355	0.857983	0.8616632	0.82532364	0.83548164	0.8631228	0.82837605	0.765201	0.0	0.87283945	0.82987636	0.83463126	0.80828965	0.83583	0.83556175	0.8249593	0.84956646	0.84001756	0.8372603	0.84006906	0.86873674	0.79013056	0.7931181	0.8249829	0.92970437	0.81316495	0.9280696	0.82638186	0.90062034	0.8635412	0.9515053	0.8215544	0.8148852	0.84493923	0.85084224	0.8620171	0.8955684	0.90871835	0.83655834	0.8519936	0.93936473	0.8859836	0.8288708	0.86401165	0.92096955	0.845929	0.7920491	0.7955402	0.8856719	0.8770854	0.81635493	0.81304896	0.8535386	0.8421329	0.87441194
het/noun	0.9585875	0.9297236	0.8704212	0.92984134	0.95524937	0.961502	0.90660805	0.9347736	0.9463984	0.82030064	0.8536402	0.8101353	0.9066385	0.9536184	0.8983471	0.92268425	0.89777184	0.94584787	0.6573256	0.5901948	0.9451951	0.8120244	0.944675	0.9023444	0.8827642	0.75674164	0.850758	0.91783065	0.90043056	0.91467464	0.8363828	0.87283945	0.0	0.74145603	0.92548686	0.9277391	0.89062387	0.9322935	0.8530932	0.9072901	0.90294665	0.8068199	0.89457625	0.88292027	0.90945053	0.9177245	0.9179563	0.9448278	0.91544443	0.9268687	0.9061836	0.9309573	0.92926985	0.9425616	0.9299296	0.9058352	0.95293415	0.9399316	0.8808734	0.94345164	0.91722095	0.89276326	0.89978266	0.93293816	0.9240313	0.9272474	0.932755	0.90685695	0.95103765	0.9550183	0.9361034	0.8804057	0.9296187	0.85660475	0.93245274	0.7836274	0.71554244	0.9129494
hoe/adj	0.8917795	0.8336321	0.8348497	0.8557709	0.8869395	0.9261877	0.8590565	0.89062786	0.8975237	0.66998917	0.758089	0.66667897	0.87350607	0.8881705	0.85789883	0.9142426	0.87851447	0.8408297	0.7180591	0.6698476	0.87699646	0.70824385	0.8560591	0.774477	0.78908575	0.6057952	0.7469936	0.86243165	0.84618795	0.80961215	0.7212051	0.82987636	0.74145603	0.0	0.85974663	0.8163087	0.7916049	0.82395834	0.8148001	0.8300609	0.83210945	0.67098975	0.81530917	0.8790061	0.76162446	0.7880529	0.9036142	0.94296306	0.85105675	0.87644696	0.8430904	0.84830874	0.8979326	0.9324893	0.8205544	0.8682165	0.9094098	0.8704766	0.7886972	0.90909946	0.89509475	0.83623815	0.7917936	0.9228598	0.93681127	0.8916169	0.8798384	0.91218483	0.879517	0.8740323	0.8885086	0.8324802	0.8614943	0.70112485	0.784533	0.6064787	0.49981612	0.8701091
interesse/noun	0.943629	0.8843471	0.839859	0.79505223	0.92029494	0.9263815	0.8868383	0.91989285	0.89157826	0.83848935	0.87368375	0.84554815	0.866785	0.9089264	0.9046037	0.8867287	0.8305634	0.8783056	0.88260835	0.88215166	0.86274827	0.83173984	0.8334979	0.8374012	0.8137251	0.8877055	0.78607947	0.8810134	0.8607484	0.87311804	0.86983883	0.83463126	0.92548686	0.85974663	0.0	0.74919343	0.83485353	0.824056	0.8371812	0.80736655	0.85622066	0.8557662	0.78408575	0.90216553	0.7721961	0.8606047	0.87120354	0.9403925	0.88328564	0.9151891	0.88427186	0.91044974	0.93496996	0.96694463	0.8779988	0.77071327	0.91514575	0.9039405	0.8633102	0.9057355	0.92649287	0.81943375	0.85530615	0.94107145	0.9141959	0.8835042	0.8564813	0.93277705	0.9160415	0.9153615	0.91420114	0.89062977	0.8575434	0.8608636	0.84823096	0.8394699	0.88079435	0.92311716
invloed/noun	0.931235	0.83897626	0.84290934	0.78445643	0.89499676	0.83775854	0.84231836	0.8434285	0.8963391	0.79875714	0.81575334	0.8094921	0.7993472	0.9085512	0.85353804	0.87176967	0.8085738	0.8572321	0.85770404	0.87567717	0.84277534	0.799091	0.80294955	0.5772702	0.78966296	0.83965373	0.7203716	0.83053243	0.8731855	0.6580291	0.84747386	0.80828965	0.9277391	0.8163087	0.74919343	0.0	0.7214402	0.7345412	0.7732841	0.82513785	0.83220917	0.776265	0.73434937	0.90940607	0.7408484	0.8108442	0.8653085	0.9391758	0.84057176	0.9086262	0.7967923	0.85623974	0.9245788	0.9459175	0.80516684	0.8053026	0.90685725	0.83087707	0.85284626	0.87734944	0.89881366	0.81321037	0.79290915	0.9227648	0.85339224	0.85948443	0.78339386	0.8840072	0.89488244	0.8776664	0.89622253	0.86766577	0.8751022	0.8167721	0.7467269	0.7755763	0.8518276	0.89614505
klimaat/noun	0.9454061	0.8537688	0.8304155	0.86839175	0.8712174	0.8615405	0.8674102	0.89614946	0.8684344	0.77758074	0.8511232	0.7930536	0.8653743	0.92020535	0.87533957	0.86991537	0.81072855	0.8444123	0.8857648	0.84778833	0.86356044	0.79604256	0.78877324	0.73535883	0.80794406	0.7610397	0.75740504	0.8896512	0.8793024	0.77470005	0.84538114	0.83583	0.89062387	0.7916049	0.83485353	0.7214402	0.0	0.8086919	0.8165372	0.8869145	0.85742664	0.73053044	0.82406837	0.8993769	0.8262453	0.72446734	0.8823938	0.9384093	0.82006896	0.93889165	0.8027134	0.89090645	0.86743855	0.94787496	0.84152615	0.8135251	0.8806325	0.820142	0.84384	0.902426	0.9190669	0.84929323	0.8497374	0.8821517	0.89306563	0.89458185	0.7783972	0.8884384	0.88763446	0.830261	0.90365	0.85701513	0.907651	0.79141617	0.81469345	0.74046147	0.792314	0.88158906
kracht/noun	0.9543785	0.85896075	0.841237	0.8590176	0.88118577	0.93396413	0.90237504	0.9106998	0.86385614	0.79284257	0.8055536	0.74085057	0.83984166	0.88620496	0.8941781	0.90664035	0.85326326	0.86787724	0.8899048	0.8409342	0.8508151	0.73443305	0.69425523	0.7568668	0.6932343	0.8338748	0.8143818	0.8144265	0.88962406	0.8160278	0.8412585	0.83556175	0.9322935	0.82395834	0.824056	0.7345412	0.8086919	0.0	0.83349216	0.86289966	0.8777499	0.78558725	0.7803588	0.9002823	0.79750204	0.82305527	0.9157406	0.9241519	0.82399565	0.92457634	0.8712006	0.90463614	0.828608	0.94581425	0.8473087	0.81215525	0.9312264	0.8124734	0.8222697	0.92512065	0.9065085	0.83651364	0.82779616	0.9289122	0.9294477	0.8754198	0.87029463	0.88852215	0.8566818	0.84364927	0.87136877	0.8463698	0.81157625	0.80327153	0.7787843	0.76262105	0.81964934	0.8851271
kritiek/noun	0.94982046	0.7701365	0.839926	0.8773261	0.9422443	0.87219703	0.8795131	0.9342537	0.8836161	0.8329997	0.7959665	0.8139245	0.85565436	0.9556088	0.78347063	0.89878243	0.8034801	0.9123374	0.7973074	0.8148862	0.8125361	0.7792875	0.88624024	0.8259251	0.88055015	0.8074309	0.86879677	0.87503874	0.81692916	0.80900323	0.8651672	0.8249593	0.8530932	0.8148001	0.8371812	0.7732841	0.8165372	0.83349216	0.0	0.8583886	0.83898175	0.8080356	0.9021527	0.828664	0.8480351	0.89618427	0.87572664	0.93615985	0.6760925	0.8970811	0.9082968	0.8922401	0.90966976	0.9531896	0.8768146	0.81583416	0.90444046	0.8776114	0.7660748	0.9483955	0.86136615	0.8649787	0.8444252	0.86140907	0.9045483	0.85280114	0.88596463	0.931629	0.86117584	0.9124015	0.93176174	0.87610435	0.8950805	0.85497963	0.86208916	0.76222026	0.79216564	0.8912463
les/noun	0.9148478	0.8513974	0.8773926	0.87248564	0.88242346	0.95522267	0.8810443	0.9208438	0.89180833	0.8244792	0.8156763	0.8501738	0.863206	0.93467987	0.9005699	0.9294986	0.8953722	0.8904915	0.91804546	0.8850782	0.83225536	0.8431057	0.8842812	0.87882745	0.87101483	0.852988	0.8631582	0.87443674	0.8456529	0.89889216	0.84170127	0.84956646	0.9072901	0.8300609	0.80736655	0.82513785	0.8869145	0.86289966	0.8583886	0.0	0.8412809	0.8669441	0.7823863	0.9212825	0.7675928	0.8814851	0.89683646	0.945695	0.9231577	0.8975411	0.8988193	0.93355566	0.9265779	0.9402128	0.8842128	0.8662019	0.93431556	0.9186236	0.8504188	0.87490803	0.92075723	0.88352305	0.9107001	0.9382568	0.95289844	0.89655095	0.943297	0.9504097	0.92546153	0.9213485	0.9277411	0.8770025	0.8499323	0.8633998	0.8843528	0.84401137	0.87379456	0.9024492
medisch/adj	0.9621357	0.7467921	0.81138915	0.7741091	0.9163978	0.91702104	0.58203614	0.87304944	0.89305663	0.83685124	0.8810582	0.84435993	0.88647044	0.9029805	0.7410718	0.86639786	0.8777389	0.90241873	0.8260584	0.8671075	0.90027595	0.7950666	0.89884514	0.79221296	0.84935784	0.872738	0.81301403	0.80933374	0.87256676	0.7287259	0.8713476	0.84001756	0.90294665	0.83210945	0.85622066	0.83220917	0.85742664	0.8777499	0.83898175	0.8412809	0.0	0.8358477	0.9090642	0.9359021	0.727913	0.8708639	0.9102708	0.94717884	0.90158767	0.88881546	0.9108535	0.9347039	0.9110172	0.9251088	0.8437637	0.8381192	0.88367146	0.8834968	0.8518219	0.914388	0.9275146	0.72724557	0.8434784	0.9495654	0.88543904	0.7959964	0.8727511	0.9346135	0.9161996	0.89651906	0.9130427	0.89576703	0.8559257	0.8653747	0.78060496	0.80383164	0.8966586	0.86402154
min/adj	0.9413628	0.8185396	0.76654744	0.81793153	0.8867073	0.8746992	0.8015543	0.875244	0.8966288	0.59024394	0.7580377	0.60746515	0.8585595	0.9113888	0.8730233	0.8655945	0.82788336	0.8720522	0.82825065	0.754048	0.8735398	0.770339	0.8194733	0.7094989	0.7874863	0.4906444	0.7869252	0.8142227	0.8684747	0.76953787	0.7528793	0.8372603	0.8068199	0.67098975	0.8557662	0.776265	0.73053044	0.78558725	0.8080356	0.8669441	0.8358477	0.0	0.7987738	0.84764194	0.72947854	0.75223327	0.88214535	0.920603	0.84476125	0.88292396	0.81161946	0.86626214	0.87266266	0.92648613	0.83458525	0.8180683	0.8503662	0.8599091	0.8142618	0.87153053	0.88990223	0.8016488	0.7868631	0.9117058	0.84584993	0.87416244	0.82690233	0.88736594	0.91043043	0.8404921	0.86246854	0.82508403	0.81034046	0.7524042	0.7895215	0.4573471	0.53686494	0.87086105
muziek/noun	0.9184226	0.9209207	0.85921127	0.8338702	0.83904725	0.9542031	0.9268331	0.90570486	0.9132242	0.7251385	0.7793057	0.7690469	0.8647936	0.91631734	0.9513807	0.9404668	0.9010349	0.8260181	0.9572304	0.8772332	0.80688953	0.79194033	0.7505448	0.8182566	0.81369966	0.80132234	0.822679	0.8781372	0.8377055	0.9402218	0.7826477	0.84006906	0.89457625	0.81530917	0.78408575	0.73434937	0.82406837	0.7803588	0.9021527	0.7823863	0.9090642	0.7987738	0.0	0.9330356	0.7271803	0.8016279	0.94133574	0.9504584	0.92530423	0.9080517	0.88247573	0.8807697	0.89873016	0.96735156	0.858991	0.87988853	0.9549473	0.88360274	0.8587003	0.868204	0.93166924	0.8366765	0.8377148	0.95985234	0.9647271	0.9289994	0.8958615	0.94049287	0.8837977	0.86495984	0.9168135	0.7973124	0.7362573	0.76847804	0.8603978	0.76542675	0.76972663	0.90644526
nederlaag/noun	0.9658195	0.94295174	0.9130393	0.9307594	0.9230662	0.9160972	0.9289727	0.9650829	0.95276856	0.8875613	0.9095044	0.8653691	0.92438173	0.97373503	0.9249649	0.907012	0.87763965	0.93333125	0.8708091	0.81238014	0.89897287	0.848641	0.921143	0.8989653	0.9178036	0.85603034	0.9182875	0.9260671	0.921715	0.8764169	0.8859524	0.86873674	0.88292027	0.8790061	0.90216553	0.90940607	0.8993769	0.9002823	0.828664	0.9212825	0.9359021	0.84764194	0.9330356	0.0	0.9346155	0.9132205	0.8954083	0.8777863	0.84545684	0.9475053	0.8465359	0.94789076	0.8176048	0.92353034	0.9513098	0.8870346	0.9164065	0.8709276	0.8919939	0.9379956	0.83325416	0.9579764	0.91917944	0.72739387	0.9306538	0.94123113	0.8960547	0.9069648	0.913727	0.94199336	0.9327719	0.86008024	0.94175977	0.8839023	0.932462	0.87454605	0.82981074	0.90481025
of/vg	0.9061538	0.8300669	0.72240376	0.6695074	0.7374399	0.93193734	0.69054055	0.8101161	0.9119076	0.75003785	0.75329244	0.8022593	0.84697616	0.89841735	0.8734527	0.8468834	0.85663295	0.86281323	0.8591112	0.8416793	0.81541705	0.7220288	0.87071586	0.71503115	0.74705446	0.76806855	0.81470233	0.79735136	0.84734976	0.7161665	0.788161	0.79013056	0.90945053	0.76162446	0.7721961	0.7408484	0.8262453	0.79750204	0.8480351	0.7675928	0.727913	0.72947854	0.7271803	0.9346155	0.0	0.74277365	0.9068826	0.94115615	0.8822729	0.9293897	0.8383607	0.8592882	0.90274733	0.94073445	0.8255758	0.87157506	0.89890206	0.8618646	0.80860513	0.68353283	0.879717	0.7441881	0.86326516	0.9563496	0.8979381	0.82764155	0.86896497	0.9188585	0.76466185	0.63542604	0.7891366	0.86986077	0.8151884	0.7822948	0.75269353	0.76319087	0.7960443	0.7868989
omgeving/noun	0.9535094	0.89162636	0.82655734	0.8228093	0.83852243	0.95365214	0.86363137	0.90564215	0.9363986	0.75157297	0.84854233	0.8045504	0.9064321	0.84070873	0.9277845	0.895309	0.8646073	0.91897964	0.90806764	0.8845344	0.85877967	0.7952224	0.8615551	0.7634085	0.8275598	0.77562785	0.8269323	0.8587028	0.881824	0.83338773	0.7500756	0.7931181	0.9177245	0.7880529	0.8606047	0.8108442	0.72446734	0.82305527	0.89618427	0.8814851	0.8708639	0.75223327	0.8016279	0.9132205	0.74277365	0.0	0.9171574	0.96739113	0.89467114	0.9535907	0.8372196	0.8942074	0.854362	0.9555642	0.87220937	0.8754421	0.89505833	0.86468506	0.87421906	0.8815499	0.9197528	0.8661599	0.8710271	0.9456863	0.9401071	0.9189886	0.87224656	0.9454705	0.8257468	0.766956	0.72911227	0.8985106	0.8505056	0.7532704	0.82866716	0.7203442	0.7655462	0.8998094
onderhandeling/noun	0.9783451	0.8452277	0.8601468	0.85752237	0.9407854	0.879704	0.8522924	0.9396281	0.8931293	0.88391507	0.9056082	0.8920516	0.91724426	0.9483489	0.7860684	0.8227177	0.85688055	0.90230393	0.82410395	0.8804164	0.8397969	0.84423304	0.91458404	0.9063001	0.91335166	0.90141094	0.88535225	0.8692443	0.5684612	0.86550456	0.8989607	0.8249829	0.9179563	0.9036142	0.87120354	0.8653085	0.8823938	0.9157406	0.87572664	0.89683646	0.9102708	0.88214535	0.94133574	0.8954083	0.9068826	0.9171574	0.0	0.9362932	0.7723949	0.95387304	0.8783203	0.96341413	0.8999224	0.9198022	0.8726429	0.6607785	0.78781086	0.9150693	0.8555895	0.92402375	0.9439549	0.85904187	0.81584424	0.9103266	0.8442617	0.7874827	0.8726647	0.9117067	0.9089175	0.94907725	0.8711259	0.91523916	0.8528959	0.9093276	0.8835639	0.87224513	0.88993335	0.899537
ontnuchtering/noun	0.9504527	0.96708375	0.95878357	0.9178732	0.9382144	0.96120584	0.94648135	0.94596857	0.9172158	0.9387669	0.959819	0.9409865	0.9510444	0.950323	0.964548	0.9521951	0.9266496	0.93756604	0.9318346	0.9194124	0.9263913	0.8910308	0.9412215	0.92775005	0.94223017	0.951686	0.9310192	0.97334135	0.94059753	0.93638384	0.95550054	0.92970437	0.9448278	0.94296306	0.9403925	0.9391758	0.9384093	0.9241519	0.93615985	0.945695	0.94717884	0.920603	0.9504584	0.8777863	0.94115615	0.96739113	0.9362932	0.0	0.9507177	0.9555203	0.9333365	0.9150771	0.9096102	0.927206	0.96015096	0.9505012	0.9545527	0.89043623	0.955394	0.9370887	0.9554205	0.9618504	0.93126273	0.9349543	0.94652575	0.97048384	0.9358896	0.9318906	0.9423821	0.93957114	0.957037	0.9205196	0.9421388	0.9059151	0.9409343	0.93480027	0.92621326	0.9178468
