	Haring/name	advies/noun	alternatief/noun	ander/adj	bad/noun	begrotingstekort/noun	behandeling/noun	bestanddeel/noun	bezinning/noun	bijzonder/adj	boodschap/noun	buitengewoon/adj	christendom/noun	cluster/noun	commissie/noun	compensatie/noun	concurrentie/noun	cyclus/noun	dat/comp	dat/det	demonstratie/noun	die/det	dynamiek/noun	effect/noun	eigenschap/noun	erg/adj	evolutie/noun	functie/noun	gesprek/noun	gevolg/noun	heel/adj	het/det	het/noun	hoe/adj	interesse/noun	invloed/noun	klimaat/noun	kracht/noun	kritiek/noun	les/noun	medisch/adj	min/adj	muziek/noun	nederlaag/noun	of/vg	omgeving/noun	onderhandeling/noun	ontnuchtering/noun	oppositie/noun	pedagoog/noun	periode/noun	reflecteer/verb	rust/noun	rust_periode/noun	samenstelling/noun	samenwerking/noun	sanering/noun	schok/noun	suggestie/noun	thee/noun	tik/noun	toepassing/noun	uitwerking/noun	verkiezingsnederlaag/noun	verlaging/noun	verplichting/noun	verschuiving/noun	voorteken/noun	vuur/noun	water/noun	weg/noun	wending/noun	werk/noun	werkelijkheid/noun	werking/noun	zeer/adv	zo/adv	zogezegd/adj
boodschap/noun	0.92295134	0.79769576	0.8327583	0.8534765	0.905067	0.9363363	0.8894191	0.9197433	0.8954158	0.7997287	0.0	0.818028	0.82213646	0.9219093	0.8972661	0.9098784	0.9050375	0.8995748	0.82198143	0.7806283	0.84667146	0.757732	0.87068444	0.8172913	0.839134	0.77601194	0.8355145	0.84414804	0.80936503	0.8673837	0.8029176	0.8346739	0.8536402	0.758089	0.87368375	0.81575334	0.8511232	0.8055536	0.7959665	0.8156763	0.8810582	0.7580377	0.7793057	0.9095044	0.75329244	0.84854233	0.9056082	0.959819	0.8627007	0.9202483	0.9127464	0.89983535	0.89966637	0.9571135	0.8861521	0.87052935	0.9430648	0.90050375	0.76353836	0.9023678	0.91835576	0.8463619	0.86026263	0.94123864	0.9261205	0.8643717	0.89900655	0.895291	0.88713664	0.89042926	0.90659416	0.8608013	0.8614577	0.7840588	0.8340689	0.7661767	0.75898457	0.8716432
buitengewoon/adj	0.9186534	0.8516722	0.8326148	0.86722165	0.88850486	0.90870017	0.8398137	0.9144812	0.8893745	0.47093904	0.818028	0.0	0.89311117	0.90810454	0.85885674	0.88682216	0.87905824	0.86089885	0.8484566	0.8006203	0.8730296	0.757474	0.77955014	0.78233707	0.75886905	0.55699694	0.7822735	0.8461948	0.8296888	0.8391142	0.7531415	0.85491705	0.8101353	0.66667897	0.84554815	0.8094921	0.7930536	0.74085057	0.8139245	0.8501738	0.84435993	0.60746515	0.7690469	0.8653691	0.8022593	0.8045504	0.8920516	0.9409865	0.8360154	0.8720076	0.83217186	0.88520014	0.88681906	0.9597383	0.8208254	0.84343463	0.88893753	0.88195395	0.79897594	0.9006115	0.8896204	0.82468873	0.786361	0.9156226	0.8542759	0.8914934	0.8432712	0.895329	0.9154216	0.90550536	0.90089965	0.7963749	0.79387385	0.75046563	0.8145331	0.49234176	0.5978348	0.8698574
christendom/noun	0.9252705	0.9196218	0.90558124	0.8570691	0.9162824	0.9160082	0.903124	0.9144184	0.84300405	0.8704443	0.82213646	0.89311117	0.0	0.94018406	0.92269474	0.9225073	0.9125303	0.89535654	0.8592401	0.86169136	0.88099164	0.80716115	0.8818864	0.9403271	0.86476535	0.8996273	0.8657125	0.9207979	0.9056814	0.91601753	0.8910254	0.84651023	0.9066385	0.87350607	0.866785	0.7993472	0.8653743	0.83984166	0.85565436	0.863206	0.88647044	0.8585595	0.8647936	0.92438173	0.84697616	0.9064321	0.91724426	0.9510444	0.87179005	0.8644418	0.8852458	0.891872	0.9279618	0.97339404	0.88937694	0.8815216	0.93707716	0.9079244	0.89874387	0.9283012	0.92061305	0.87538165	0.89829487	0.94417506	0.94694775	0.9233711	0.88302124	0.9506608	0.923898	0.9371466	0.93898314	0.87478054	0.9171807	0.8500819	0.9043794	0.86629504	0.8780092	0.9097774
cluster/noun	0.9482265	0.92819524	0.9076309	0.8750206	0.93579787	0.9483997	0.9315881	0.9105744	0.9387071	0.8973414	0.9219093	0.90810454	0.94018406	0.0	0.90731853	0.93183535	0.8866866	0.894533	0.93870556	0.9288728	0.9246656	0.87968194	0.87572116	0.88642347	0.8813475	0.92696685	0.8744999	0.8826466	0.9514136	0.9094296	0.88849735	0.8720987	0.9536184	0.8881705	0.9089264	0.9085512	0.92020535	0.88620496	0.9556088	0.93467987	0.9029805	0.9113888	0.91631734	0.97373503	0.89841735	0.84070873	0.9483489	0.950323	0.9459177	0.9410983	0.8890148	0.91562426	0.957545	0.95169806	0.88743424	0.8872247	0.9312787	0.9210682	0.9254559	0.9488796	0.9635271	0.87391967	0.92292833	0.942482	0.924899	0.9265892	0.887016	0.94168043	0.94870687	0.91989577	0.90204287	0.9393199	0.9008464	0.92418766	0.8624909	0.8903069	0.914134	0.92704386
commissie/noun	0.95222706	0.6531583	0.8517121	0.868101	0.9419466	0.8744383	0.8163871	0.9346938	0.8887863	0.8888658	0.8972661	0.85885674	0.92269474	0.90731853	0.0	0.84888494	0.87922513	0.93223935	0.7884476	0.8642281	0.9064691	0.7958259	0.9101803	0.8709648	0.91141164	0.90942115	0.86427736	0.77990127	0.8142584	0.84749943	0.90173626	0.8462845	0.8983471	0.85789883	0.9046037	0.85353804	0.87533957	0.8941781	0.78347063	0.9005699	0.7410718	0.8730233	0.9513807	0.9249649	0.8734527	0.9277845	0.7860684	0.964548	0.7807772	0.8795221	0.9068733	0.9366633	0.9309111	0.9616345	0.823475	0.76383585	0.85158837	0.93989813	0.8269431	0.9613937	0.9588239	0.83747953	0.81758946	0.91380167	0.86181426	0.8029952	0.89273834	0.9299522	0.9429051	0.9618629	0.9306245	0.9215005	0.87357366	0.9106529	0.84844863	0.84426713	0.8750446	0.8950067
compensatie/noun	0.95763624	0.87277853	0.84618205	0.8789531	0.9216798	0.7936285	0.8298148	0.91944253	0.9087992	0.90020466	0.9098784	0.88682216	0.9225073	0.93183535	0.84888494	0.0	0.85194385	0.93268555	0.85368323	0.8561801	0.8926472	0.8290038	0.90305007	0.8199246	0.8974642	0.91732705	0.9076893	0.87768364	0.9076584	0.8130641	0.92923635	0.8656886	0.92268425	0.9142426	0.8867287	0.87176967	0.86991537	0.90664035	0.89878243	0.9294986	0.86639786	0.8655945	0.9404668	0.907012	0.8468834	0.895309	0.8227177	0.9521951	0.88744897	0.9281851	0.9102227	0.9327417	0.8923188	0.912405	0.908647	0.87045425	0.8001833	0.8906115	0.8980691	0.92545295	0.9113169	0.8556674	0.858913	0.91363776	0.7093619	0.8209656	0.87132716	0.9442504	0.9349966	0.89873904	0.8945746	0.91328543	0.91839767	0.9069689	0.8851213	0.88704044	0.9153432	0.8732035
concurrentie/noun	0.9471976	0.8967011	0.8091085	0.82152337	0.9236152	0.8316403	0.8901831	0.9274708	0.931058	0.8884106	0.9050375	0.87905824	0.9125303	0.8866866	0.87922513	0.85194385	0.0	0.89931405	0.8904795	0.8357539	0.88739735	0.81004775	0.8431201	0.82400554	0.8883564	0.86934894	0.7991725	0.894259	0.89249516	0.8025923	0.8838762	0.85434353	0.89777184	0.87851447	0.8305634	0.8085738	0.81072855	0.85326326	0.8034801	0.8953722	0.8777389	0.82788336	0.9010349	0.87763965	0.85663295	0.8646073	0.85688055	0.9266496	0.8225168	0.9409879	0.89175767	0.92230046	0.8709285	0.95445806	0.89083874	0.7795838	0.8500566	0.8753731	0.89173985	0.9240435	0.8810903	0.8469081	0.88476145	0.9331563	0.8442788	0.8595168	0.84319556	0.93571985	0.89259183	0.8900602	0.8849686	0.9547922	0.8875414	0.88044107	0.8495776	0.83115166	0.8468505	0.91168934
cyclus/noun	0.9351466	0.9312123	0.8981034	0.8945771	0.9272331	0.8693869	0.8891918	0.90849066	0.8825048	0.8754257	0.8995748	0.86089885	0.89535654	0.894533	0.93223935	0.93268555	0.89931405	0.0	0.936455	0.90323895	0.90224993	0.83013225	0.8523905	0.8408009	0.8811439	0.8967674	0.80297565	0.90464425	0.89748377	0.8679488	0.85244244	0.85655713	0.94584787	0.8408297	0.8783056	0.8572321	0.8444123	0.86787724	0.9123374	0.8904915	0.90241873	0.8720522	0.8260181	0.93333125	0.86281323	0.91897964	0.90230393	0.93756604	0.90920305	0.941655	0.78756684	0.9006495	0.9191193	0.9125169	0.89597774	0.8732829	0.89280903	0.8794608	0.8835478	0.93679184	0.9246587	0.88168615	0.88351834	0.92694074	0.90106297	0.9297481	0.8750825	0.91917515	0.9476818	0.9053681	0.9270127	0.8485869	0.8020615	0.8707744	0.8783808	0.8608285	0.8786427	0.92056566
dat/comp	0.9403677	0.83877695	0.85258955	0.85184383	0.9484081	0.8743829	0.80650765	0.91140926	0.88521415	0.8655796	0.82198143	0.8484566	0.8592401	0.93870556	0.7884476	0.85368323	0.8904795	0.936455	0.0	0.63517773	0.9161336	0.7396163	0.912525	0.8419477	0.8728098	0.8098733	0.84929705	0.9064729	0.8396167	0.83133626	0.8713181	0.8301099	0.6573256	0.7180591	0.88260835	0.85770404	0.8857648	0.8899048	0.7973074	0.91804546	0.8260584	0.82825065	0.9572304	0.8708091	0.8591112	0.90806764	0.82410395	0.9318346	0.8187909	0.877906	0.9138074	0.9138736	0.9362471	0.91335	0.89078236	0.8417306	0.883682	0.89017713	0.8140613	0.9507107	0.91346055	0.8344535	0.87003654	0.87059253	0.8466692	0.8341752	0.8927966	0.8641422	0.9358292	0.9619338	0.9434991	0.8864754	0.9435319	0.8477274	0.8487726	0.8173364	0.7478999	0.83910537
dat/det	0.9537113	0.84905404	0.8627466	0.87196267	0.9387387	0.8838025	0.8581907	0.8965086	0.9199842	0.81803465	0.7806283	0.8006203	0.86169136	0.9288728	0.8642281	0.8561801	0.8357539	0.90323895	0.63517773	0.0	0.92003524	0.6462322	0.8522308	0.80219007	0.8206117	0.74709755	0.8219168	0.8728138	0.8943089	0.8522903	0.77853817	0.7197262	0.5901948	0.6698476	0.88215166	0.87567717	0.84778833	0.8409342	0.8148862	0.8850782	0.8671075	0.754048	0.8772332	0.81238014	0.8416793	0.8845344	0.8804164	0.9194124	0.8526979	0.921568	0.88451713	0.90194565	0.8639296	0.9094331	0.8904234	0.8467647	0.8881417	0.85769033	0.8174223	0.9366397	0.87689584	0.8587084	0.82927203	0.8998843	0.85002583	0.8536933	0.87374836	0.87958455	0.93941784	0.9298503	0.90927935	0.8679491	0.86962533	0.7797126	0.83150154	0.78976196	0.67137456	0.8811803
