	altijd/adv	belofte/noun	braaf/adj	nieuws/noun	bekentenis/noun	duur_voort/adj	vonnis/noun	zaterdag/noun	nu/adv	dinsdag/noun	kamer/noun	uitdrukkelijk/adj	door/prep	standpunt/noun	probatie_uitstel/noun	maatregel/noun	besluit/noun	getuigenis/noun	patent/noun	overigens/adv	afschaffing/noun	vandaag/adv	invoering/noun	na/prep	Hof/name	schorsing/noun	dag/noun	wetswijziging/noun	Volkscongres/name	publiekelijk/adj	federatie/noun	oordeel/noun	overtuiging/noun	Fortuyn/name	Groen/name	dus/adv	passage/noun	bezwaar/noun	doodvonnis/noun	EADS/name	woordvoerder/noun	regel/noun	toekenning/noun	amnestie_wet/noun	deels/adv	omdat/comp	definitief/adj	snel/adj	onmiddellijk/adj	beschuldiging/noun	bond/noun	vervolgens/adv	schielijk/adj	decreet/noun	benoeming/noun	aankoop/noun	bevel/noun	daarmee/pp	zij/pron	haastig/adj	uitspraak/noun	beslissing/noun	daarna/pp	alles/noun	bestuur_accoord/noun	die/det	minister/noun	verdachte/noun	afgelopen/adj	mogelijk/adj	boycot/noun	hoewel/comp	uitslag/noun	overname/noun	om/comp	al/comp	niet/adv	dan/adv	stellingname/noun	eventueel/adj	afspraak/noun	desnoods/adv	richtlijn/noun	aantijging/noun	verbod/noun	echter/adv	hof/noun	Bill/name	om/prep	ze/pron	Arafat/name	Europees/name	verhaal/noun	stem/noun	plots/adj	mening/noun	waarschuwing/noun	Bush/name	verklaring/noun	A./name	Ray/name	inderdaad/adv	woord/noun	ijlings/adv	mededeling/noun	Hooggerechtshof/name	stelling/noun	toen/comp	half/adj	eerste/num	schoon_vader/noun	inmiddels/adv	Dierckxsens/name	maandag/noun	jaar_cijfer/noun	Leterme/name	wet/noun	brief/noun	arrest/noun	veroordeling/noun	NIOD/name	daarna/adv	bron/noun	noch/vg	weekeinde/noun	Lodewijk/name	fatwa/noun	min/adv	rechtbank/noun	regeling/noun	wegens/prep	refs/noun	het/det	plan/noun	Lagos/name	Europese/name	maar/vg	steeds/adv	uitgeweken/adj	weer/adv	maal/noun	zondag_avond/noun	Blatter/name	intussen/adv	laat/adj	of/vg	vergissing/noun	woensdag/noun	Roe/name	dit/det	staking/noun	Wahid/name	stap/adv	scheidsrechter/noun	dat/det	regering/noun	geleden/adj	al/adv	formeel/adj	week/noun	onder/adv	gisteren/adv	hij/pron	bewering/noun	nooit/adv	nadat/comp	ontslag/noun	in_vrijheid_stelling/noun	ook/adv	veiligheidsmaatregel/noun	getuige/noun	zolang/comp	capitulatie/noun
schorsing/noun	0.9303319	0.7417828	0.9411859	0.9347664	0.8571455	0.91788673	0.7644305	0.8535183	0.88314575	0.8697152	0.9196529	0.8568229	0.85799557	0.8836416	0.8297675	0.8251903	0.78752506	0.91010344	0.8689946	0.87776583	0.8495877	0.84776217	0.8823275	0.7769984	0.84689313	0.0	0.866361	0.87615913	0.88834244	0.8525264	0.8288312	0.8614099	0.91598535	0.93670636	0.8538359	0.8903258	0.91846156	0.80872744	0.8112636	0.9356919	0.84789824	0.88567543	0.84057665	0.90537953	0.8820816	0.8421301	0.8096455	0.8879767	0.80136603	0.8719666	0.8041646	0.8763542	0.88732445	0.86520654	0.78074723	0.9097249	0.8720191	0.8644185	0.85955334	0.8982423	0.7889935	0.7671421	0.84018886	0.9483933	0.9240968	0.8852722	0.8651252	0.85932696	0.88181704	0.89652735	0.8078229	0.89834344	0.848018	0.9172133	0.88621986	0.90874904	0.9026861	0.8942314	0.88229805	0.81508213	0.9034867	0.8419986	0.86252624	0.84108377	0.7565581	0.8252423	0.8120431	0.9211844	0.93640876	0.89702356	0.8908386	0.87930197	0.9606071	0.93734425	0.8974734	0.93593603	0.8270297	0.9029803	0.9013915	0.86536825	0.8954849	0.9390762	0.94276804	0.897326	0.87611777	0.83264995	0.88421893	0.87354994	0.8951912	0.86428905	0.8608669	0.85161126	0.79271066	0.86664516	0.9064163	0.87272847	0.8798179	0.8929871	0.7803142	0.7233318	0.93536913	0.8424121	0.9573788	0.89976007	0.8441388	0.879065	0.89527404	0.9319355	0.8110807	0.84588736	0.7228792	0.85685325	0.9098552	0.9079628	0.9288696	0.8786985	0.87528586	0.91352534	0.86975175	0.8436791	0.8552835	0.83145106	0.8430278	0.82121265	0.8420969	0.90742326	0.90305424	0.8608652	0.94753075	0.9047188	0.8040568	0.84838486	0.9197501	0.7080251	0.9276734	0.8883688	0.88550895	0.8738958	0.8198912	0.75878614	0.9145016	0.80303943	0.8592665	0.8802983	0.90540636	0.7816137	0.7220367	0.80330604	0.90944946	0.85645485	0.9166702	0.8781794	0.91181237
dag/noun	0.84293914	0.9064797	0.9081255	0.84193015	0.85440683	0.8447927	0.8693202	0.7448786	0.80783975	0.71692646	0.7302685	0.9276699	0.8793421	0.942925	0.8448189	0.9223966	0.90386075	0.8707778	0.90447265	0.89407957	0.9442422	0.72652024	0.9197313	0.6696363	0.9460994	0.866361	0.0	0.9000021	0.88392514	0.8854511	0.9208847	0.9362993	0.936588	0.9088355	0.9490201	0.86804223	0.8836931	0.93342614	0.87661326	0.9093577	0.9767021	0.9236518	0.92467546	0.90555286	0.909649	0.8310539	0.854732	0.8593869	0.81117654	0.90281177	0.900776	0.8105221	0.86255586	0.9121269	0.9252309	0.9142567	0.8491771	0.890985	0.84218323	0.8342867	0.89505213	0.9082004	0.71914625	0.86730933	0.90820277	0.8731097	0.9625154	0.7843418	0.70117277	0.8960572	0.888458	0.8726479	0.88991505	0.9356005	0.8611376	0.88822925	0.8982086	0.83859414	0.9261409	0.8707634	0.8965999	0.8296168	0.9326795	0.9147853	0.91210485	0.8849	0.91829413	0.9366907	0.81543094	0.7740345	0.87500596	0.94557863	0.89946663	0.84774685	0.80801654	0.93047035	0.8562636	0.92382926	0.9220755	0.9477763	0.9162668	0.90976834	0.90870416	0.889923	0.8668486	0.8746898	0.91411495	0.74733436	0.7075811	0.8343069	0.8873713	0.7760869	0.8747518	0.6916863	0.8701111	0.90829825	0.94078887	0.8758249	0.8972251	0.83488405	0.91166425	0.74258935	0.9073066	0.9137782	0.6373173	0.9162491	0.91398	0.8885918	0.9038678	0.93042046	0.7996882	0.87987	0.88309413	0.92897344	0.8681539	0.9417732	0.8774638	0.85496175	0.93206155	0.74615955	0.6512141	0.72248137	0.8830408	0.7649498	0.6987183	0.7464349	0.88525045	0.72611785	0.9720664	0.87763137	0.8014605	0.86909986	0.90196735	0.9227758	0.920937	0.9237263	0.66113394	0.6645432	0.91424084	0.4051841	0.9315259	0.8010111	0.76933706	0.9145999	0.8427379	0.722988	0.89669544	0.88218814	0.9052347	0.8917669	0.83217555	0.8662865	0.8832453
wetswijziging/noun	0.8732372	0.85822994	0.90922713	0.8653543	0.81577533	0.82913023	0.7248684	0.9170543	0.83613485	0.83596766	0.9143043	0.6832831	0.7901674	0.73010886	0.9308639	0.52467954	0.58421075	0.8192686	0.8060194	0.7291145	0.6263368	0.7751825	0.65478206	0.8587835	0.78020054	0.87615913	0.9000021	0.0	0.7881719	0.7539302	0.76753163	0.759828	0.85224557	0.8218254	0.82335556	0.804161	0.8412851	0.71510816	0.7758468	0.85726154	0.82779574	0.69816136	0.7398406	0.7239809	0.79264694	0.7504136	0.7351431	0.8155208	0.78111935	0.7870965	0.7178392	0.80177736	0.8954237	0.5767398	0.63817596	0.77010304	0.81280607	0.7531802	0.7072341	0.83413213	0.71697557	0.6794654	0.8454487	0.8524941	0.7765826	0.77796733	0.73309934	0.81409526	0.8521137	0.7515572	0.78285444	0.7754331	0.8539207	0.74704516	0.6893351	0.84998167	0.8017597	0.8607438	0.7384021	0.68235934	0.7139635	0.72159743	0.59183306	0.7729827	0.63815653	0.6992377	0.7552368	0.88034695	0.88967884	0.81880826	0.80386126	0.6938052	0.91085434	0.85908216	0.895376	0.8336286	0.78440493	0.7904422	0.76729023	0.908817	0.93184817	0.8571788	0.87938005	0.8579037	0.7824819	0.7137803	0.78152776	0.8481583	0.9254309	0.9058032	0.88334596	0.80419743	0.91083777	0.82419455	0.83191377	0.7689138	0.5176991	0.76823366	0.69451964	0.7269719	0.82063544	0.8539962	0.8616607	0.81135184	0.8467671	0.8887818	0.8721137	0.8221458	0.8019176	0.5512185	0.8208672	0.88981324	0.83129954	0.62731457	0.8568218	0.72257566	0.81958646	0.84886324	0.9056506	0.8680766	0.8835207	0.8972814	0.80228704	0.79550076	0.90073806	0.8779271	0.8384721	0.8431222	0.95766723	0.75402296	0.7708139	0.7508654	0.8411163	0.9215793	0.7832456	0.67142475	0.89568377	0.8076271	0.65486956	0.81181836	0.79154015	0.7327924	0.79630256	0.7689811	0.87213874	0.77676606	0.70562756	0.7459141	0.8056063	0.72041565	0.8610487	0.7572677	0.8551659
Volkscongres/name	0.91075045	0.9140313	0.890516	0.8914315	0.8318807	0.8741455	0.8056615	0.89345324	0.8887783	0.8147707	0.895481	0.7756494	0.8148939	0.7895928	0.959006	0.828553	0.726362	0.85427326	0.88935834	0.8226961	0.81143177	0.7646178	0.81262004	0.8700298	0.7988918	0.88834244	0.88392514	0.7881719	0.0	0.7538412	0.7626172	0.82935166	0.88285303	0.82607096	0.85182047	0.9023692	0.85125864	0.81587005	0.83483434	0.8667294	0.8822002	0.8648496	0.8194618	0.8129314	0.88528454	0.8179832	0.77956617	0.90889394	0.84138954	0.8177935	0.7462442	0.8265183	0.89736843	0.7722221	0.71578735	0.89000815	0.84200835	0.82136154	0.7562	0.8603494	0.80871314	0.8030081	0.86553115	0.9248627	0.8593278	0.84634805	0.82590985	0.85552347	0.8558582	0.87947685	0.7920606	0.8152777	0.85675335	0.8842923	0.82970154	0.89725447	0.9084158	0.9107749	0.8128574	0.8524438	0.8836654	0.8404638	0.81480575	0.8191926	0.8031467	0.82416475	0.74968207	0.85517585	0.88413614	0.84851456	0.72820973	0.64814967	0.9255002	0.81981945	0.910081	0.86530524	0.8319201	0.72431767	0.8066111	0.93296397	0.931947	0.91478	0.89197385	0.86142856	0.8322128	0.6795292	0.85138905	0.8752132	0.95234585	0.89553255	0.901117	0.83929735	0.93212587	0.8009256	0.8497625	0.8201352	0.7890924	0.848364	0.83161986	0.8483585	0.8282887	0.8778505	0.8855018	0.8564058	0.83378506	0.88809097	0.8910003	0.86699784	0.7904958	0.8350312	0.8507066	0.89814216	0.8429471	0.8320009	0.8178226	0.72927654	0.869632	0.8729735	0.89557743	0.8961048	0.89473784	0.8888363	0.72647846	0.8522938	0.90282345	0.9222102	0.90326154	0.8226833	0.97228557	0.8550339	0.82006484	0.53576255	0.91332465	0.916806	0.8925889	0.6665613	0.89544815	0.88262236	0.6938937	0.8056115	0.8824124	0.7553507	0.7874988	0.85379404	0.91826445	0.7877379	0.7846532	0.8469261	0.89750344	0.83367234	0.8691461	0.8265237	0.8663877
publiekelijk/adj	0.8026488	0.83943415	0.8220309	0.8031658	0.72368586	0.71380174	0.728737	0.9214116	0.84099203	0.8393027	0.9106214	0.6334741	0.75246686	0.6885259	0.9331197	0.7509755	0.6919994	0.7568797	0.8366391	0.68092155	0.81106204	0.76074237	0.85714227	0.83686393	0.8126929	0.8525264	0.8854511	0.7539302	0.7538412	0.0	0.7801863	0.73934066	0.74935114	0.69066244	0.796522	0.8509115	0.8102541	0.7399596	0.7480872	0.86827594	0.7543052	0.8321707	0.81634223	0.8371915	0.80575514	0.7044016	0.80161107	0.86329836	0.73418903	0.6497494	0.7171034	0.727396	0.82693714	0.8226321	0.664532	0.8732421	0.78726596	0.75337297	0.60522115	0.7660815	0.6688794	0.74728775	0.82725304	0.8602586	0.8627175	0.75894487	0.7127067	0.75328517	0.8153904	0.8236331	0.73539317	0.71125716	0.85949504	0.8563725	0.7520034	0.7846116	0.78336436	0.8318585	0.6940874	0.7670196	0.831335	0.7350135	0.80960536	0.63723683	0.77846557	0.70993346	0.7220498	0.75480956	0.8722385	0.6955781	0.64758617	0.8088679	0.8361042	0.84236974	0.83440775	0.7220086	0.7129215	0.6113493	0.696013	0.8683301	0.8588304	0.821031	0.7362134	0.81901765	0.7187466	0.71049654	0.7275461	0.76770747	0.9281564	0.90640336	0.7997255	0.77486473	0.8833284	0.816728	0.8202633	0.7569015	0.7883097	0.6900201	0.7850241	0.7380544	0.7747612	0.8220529	0.7966627	0.70316726	0.76171505	0.82133603	0.793494	0.8142141	0.78060997	0.8249165	0.7362305	0.82588977	0.84173	0.7748059	0.7998408	0.81021035	0.7961523	0.79494464	0.8635302	0.8308281	0.8299053	0.8566791	0.66178024	0.77841	0.88084286	0.81809086	0.7656934	0.8457961	0.95475256	0.81796	0.8177712	0.5855473	0.8416977	0.81592584	0.81079596	0.66857684	0.86775935	0.81512463	0.648323	0.78802216	0.80777293	0.6246011	0.6071986	0.6724317	0.75763535	0.6934706	0.7078622	0.82237226	0.7830395	0.7846348	0.77034163	0.7501889	0.8097613
federatie/noun	0.91222763	0.82268214	0.91855013	0.8921525	0.8712374	0.87767184	0.8189493	0.91974807	0.8684676	0.88574654	0.8993255	0.73189044	0.7769941	0.7396399	0.94267017	0.78294635	0.73509383	0.8700767	0.81564605	0.804431	0.7816588	0.7933352	0.80792063	0.8845943	0.77514434	0.8288312	0.9208847	0.76753163	0.7626172	0.7801863	0.0	0.85961366	0.8569727	0.8702435	0.80844337	0.86756825	0.88870007	0.79841197	0.8317603	0.8057392	0.8417981	0.8008339	0.7700006	0.8517237	0.83012027	0.79625857	0.79665256	0.90059006	0.8110826	0.8162335	0.5346949	0.8303564	0.9200258	0.7124369	0.7637297	0.83455855	0.7793466	0.7985149	0.72473407	0.8541266	0.84422696	0.7861363	0.86868227	0.9049811	0.8336041	0.815815	0.76659834	0.8391245	0.8850145	0.82762456	0.6743381	0.82118404	0.86637795	0.80969334	0.78220683	0.89441144	0.87877476	0.9106097	0.784882	0.75493956	0.7793404	0.7847471	0.7539868	0.8097375	0.74939716	0.80897564	0.7302159	0.8780189	0.91666627	0.84431434	0.7766055	0.7332516	0.9412396	0.8600127	0.92431045	0.8523698	0.8254014	0.81014305	0.8438484	0.9091568	0.9241893	0.91174066	0.9047828	0.8688603	0.82131755	0.7287204	0.83735347	0.91178566	0.93354553	0.901715	0.8840047	0.7828826	0.8804891	0.856735	0.9005486	0.7924671	0.74879694	0.8376568	0.7888002	0.83173263	0.8376195	0.89062995	0.8366351	0.77406096	0.81069994	0.85980284	0.8921528	0.83987176	0.80612934	0.7562039	0.8329479	0.8204962	0.81735057	0.78607535	0.8736845	0.6703677	0.8870195	0.8556786	0.8241242	0.9222229	0.88409084	0.8960225	0.75314844	0.77303445	0.9273823	0.8575496	0.8697155	0.8715285	0.95431334	0.86281514	0.80495226	0.7256676	0.88280785	0.8444809	0.88454854	0.52563655	0.8975325	0.8822361	0.65949667	0.8521477	0.79454297	0.7240801	0.818843	0.8212318	0.9095527	0.804016	0.77793634	0.83650553	0.841903	0.82085323	0.88337785	0.74636996	0.80455416
oordeel/noun	0.82538724	0.88379383	0.85449064	0.8152613	0.7705404	0.8690614	0.5743321	0.95478034	0.8664513	0.87246215	0.9172815	0.76401067	0.8088138	0.5767767	0.9259572	0.7724349	0.5791027	0.7287358	0.8664677	0.7115064	0.8450358	0.83042365	0.8571492	0.9172784	0.7641313	0.8614099	0.9362993	0.759828	0.82935166	0.73934066	0.85961366	0.0	0.71574366	0.8229305	0.88412726	0.8080698	0.79688716	0.6859895	0.7569829	0.90142965	0.85078686	0.7745163	0.7818922	0.8751317	0.82835215	0.78142774	0.8031255	0.9103782	0.8652727	0.74445206	0.818293	0.84132797	0.8960216	0.8034036	0.7216047	0.89135617	0.81804794	0.80357754	0.76251376	0.8406656	0.50633	0.5553198	0.9032289	0.876591	0.8647059	0.81108993	0.84897995	0.85069454	0.91955054	0.8429994	0.8440747	0.7505226	0.759527	0.8704471	0.8055681	0.80102277	0.80405957	0.8545265	0.6836326	0.7949343	0.76430845	0.809613	0.70076424	0.749029	0.7662743	0.6828337	0.69993186	0.89563584	0.9265044	0.8365741	0.85814786	0.7690482	0.8008076	0.8456671	0.9247973	0.55610955	0.7253945	0.8230619	0.69685215	0.91327244	0.9122306	0.8309622	0.75615025	0.91764265	0.7218541	0.7604255	0.6828786	0.92981505	0.95622265	0.9445993	0.87256855	0.8633927	0.92720824	0.8705304	0.8209175	0.8260045	0.7645742	0.79689837	0.63707405	0.67054915	0.7765965	0.8861462	0.80659604	0.7575903	0.91271555	0.8742666	0.8551396	0.8427617	0.7904539	0.77410364	0.84919333	0.8749237	0.8352364	0.782479	0.91038996	0.792891	0.77552927	0.8380965	0.9367642	0.90687865	0.9220829	0.9284132	0.81454635	0.8660847	0.9288981	0.8816035	0.822663	0.8825153	0.96279764	0.84096324	0.8834848	0.80633277	0.902937	0.9005651	0.799077	0.80277705	0.9559044	0.89120555	0.71207047	0.874197	0.88449824	0.7687136	0.8262148	0.69817424	0.8849411	0.85409594	0.8405827	0.7720641	0.83959246	0.84142894	0.8479684	0.782922	0.88291043
overtuiging/noun	0.74608696	0.864033	0.8490569	0.8946628	0.8164812	0.7945926	0.854589	0.9622155	0.8572935	0.9579461	0.91170466	0.7876214	0.8187206	0.6441433	0.9471489	0.86703503	0.8366519	0.7816898	0.85902107	0.7836988	0.8518186	0.9114068	0.8928598	0.9346192	0.92095804	0.91598535	0.936588	0.85224557	0.88285303	0.74935114	0.8569727	0.71574366	0.0	0.8134258	0.90432566	0.7839185	0.8318652	0.787395	0.7998774	0.91787404	0.93740153	0.7597368	0.8798805	0.87258625	0.79160625	0.7731891	0.9057995	0.8880756	0.8869654	0.798826	0.86719394	0.86798257	0.91307974	0.85537076	0.8442843	0.9182538	0.848581	0.8163333	0.7325343	0.8602435	0.8113776	0.8256766	0.9041661	0.85643035	0.8883035	0.7486684	0.9255709	0.86862475	0.9285739	0.85381955	0.82958645	0.7513019	0.8844157	0.92336774	0.79362404	0.7640163	0.7837767	0.82979846	0.7125621	0.8799734	0.85644424	0.8108927	0.8307491	0.7951851	0.8311336	0.755404	0.8634528	0.8895633	0.8861591	0.7943665	0.80866086	0.88646686	0.80345404	0.82851094	0.86946523	0.6159407	0.81689095	0.7996217	0.783593	0.96195716	0.9062389	0.80155355	0.7853614	0.92571586	0.8462348	0.85724306	0.6695087	0.89847356	0.93731487	0.9461967	0.8567641	0.8833089	0.91939753	0.95878196	0.93375546	0.86310476	0.78135395	0.90291613	0.8441615	0.8154283	0.8797344	0.8841289	0.804535	0.74668247	0.9026496	0.86976093	0.7976798	0.81225175	0.90445477	0.86808884	0.85848963	0.88501555	0.8690376	0.8791393	0.8543707	0.9211007	0.7173532	0.7709586	0.8963387	0.8737354	0.91641206	0.93474644	0.8555914	0.8465204	0.933545	0.80350894	0.8207181	0.95235986	0.96271914	0.87447554	0.89389914	0.8105759	0.85966396	0.9074199	0.79994637	0.82868785	0.9612946	0.90608907	0.80308104	0.93337584	0.91871583	0.8817722	0.7887399	0.7175721	0.81248564	0.896251	0.88929933	0.8979338	0.81295073	0.8587346	0.90089566	0.72674465	0.8504011
Fortuyn/name	0.84750235	0.8958	0.8540649	0.8592	0.8317902	0.8102755	0.84541994	0.8964557	0.8708379	0.86573374	0.93482983	0.8083592	0.7988474	0.72472894	0.97154063	0.8759	0.82874256	0.83303565	0.8797326	0.75476897	0.8248049	0.8482453	0.8841504	0.8435676	0.9107406	0.93670636	0.9088355	0.8218254	0.82607096	0.69066244	0.8702435	0.8229305	0.8134258	0.0	0.778595	0.87665874	0.83732384	0.80091983	0.8348409	0.91602945	0.85018903	0.8935006	0.883807	0.9059312	0.86110014	0.81753355	0.8551872	0.9011724	0.87234396	0.8048476	0.8421467	0.8128535	0.8230356	0.8816842	0.7758315	0.93498874	0.87629044	0.8063048	0.7444973	0.84834313	0.7340578	0.8842764	0.8857449	0.9093902	0.8309939	0.80155474	0.8285805	0.8274866	0.83266354	0.87402046	0.81262624	0.78942156	0.86917007	0.9201315	0.86692804	0.84990704	0.85267204	0.8638734	0.7441695	0.86414564	0.8858086	0.84272915	0.89022034	0.75576884	0.85516536	0.8219504	0.8724196	0.8438207	0.90309304	0.79937255	0.73144555	0.824764	0.85247284	0.7850313	0.84193087	0.760365	0.82128817	0.7091725	0.8253158	0.8674513	0.8721617	0.8359122	0.81179386	0.87671286	0.824425	0.85028124	0.7850161	0.82874435	0.9650322	0.92590415	0.81713104	0.8464905	0.9014349	0.86740655	0.8876674	0.7720321	0.87381923	0.7987093	0.85658133	0.84888065	0.8316869	0.8894814	0.87138665	0.8073478	0.8288003	0.8189552	0.8498517	0.8394763	0.9004519	0.89754486	0.8476924	0.8993264	0.8770209	0.8514308	0.8440153	0.8915834	0.8500245	0.83037555	0.914502	0.89252347	0.9009434	0.87487835	0.7567127	0.87774336	0.90230983	0.87401205	0.8392972	0.8710386	0.9455492	0.8516582	0.8800972	0.7259044	0.894316	0.89035165	0.8389307	0.802068	0.88173866	0.8968915	0.8004589	0.85716987	0.87224305	0.79734397	0.70965135	0.7684566	0.84769344	0.82782054	0.86787665	0.90237284	0.8317749	0.8645354	0.8165772	0.85229105	0.8428817
Groen/name	0.9302263	0.84474057	0.90867937	0.9195928	0.9020542	0.9248271	0.87879646	0.89527047	0.91739154	0.8757084	0.93035465	0.8136628	0.831524	0.7784716	0.95232123	0.8621599	0.8114614	0.901077	0.90900564	0.8402519	0.83355355	0.83985174	0.8785424	0.9022747	0.82785654	0.8538359	0.9490201	0.82335556	0.85182047	0.796522	0.80844337	0.88412726	0.90432566	0.778595	0.0	0.912762	0.91785353	0.7975159	0.90437627	0.9088909	0.72380424	0.9359601	0.8397841	0.9268478	0.8951827	0.8584557	0.86066663	0.94238514	0.8746513	0.86848414	0.79891604	0.8770067	0.9047782	0.79722446	0.7507193	0.8614896	0.8912596	0.865388	0.8226596	0.8786394	0.8509853	0.84526324	0.8987793	0.93435603	0.7777656	0.8934135	0.70456874	0.894388	0.9107134	0.90994966	0.86066514	0.88359416	0.87463427	0.89485896	0.87904125	0.9096317	0.9233595	0.93042344	0.82062966	0.86781096	0.8821132	0.85647863	0.8757929	0.8028978	0.8840092	0.8707258	0.8488995	0.84946746	0.9324214	0.89159787	0.86396474	0.758886	0.9409792	0.81734955	0.9015123	0.88432175	0.9063947	0.8346913	0.8889017	0.763933	0.86764014	0.927059	0.9298806	0.89711475	0.83782554	0.8681601	0.86437696	0.89988375	0.95246696	0.93052435	0.840974	0.85244924	0.84259814	0.8683833	0.9024289	0.6682311	0.9083712	0.81443024	0.84624493	0.88847804	0.844781	0.9252405	0.91907924	0.8149499	0.87825465	0.776382	0.94326705	0.918481	0.8683081	0.86528575	0.9085711	0.9124854	0.8465588	0.81141376	0.8781309	0.8041564	0.91207254	0.9272059	0.8747691	0.9443599	0.9344241	0.8700965	0.82455987	0.8222079	0.94540155	0.91329575	0.8959081	0.8797746	0.93608576	0.91116834	0.88661015	0.8175473	0.925766	0.8811333	0.9186917	0.7868978	0.9075746	0.92190677	0.7971904	0.89345336	0.8255708	0.7491922	0.84885	0.85133	0.9387657	0.8510423	0.7292615	0.8983055	0.880793	0.9037841	0.91025984	0.89530885	0.92143685
dus/adv	0.5674027	0.8768057	0.7606543	0.83601034	0.8905384	0.78003585	0.8805692	0.94997275	0.5944738	0.9605747	0.8836985	0.8243315	0.8876285	0.82762486	0.9661455	0.7740389	0.838325	0.8961331	0.8335459	0.6008732	0.8288182	0.86822104	0.8566332	0.90059566	0.9382919	0.8903258	0.86804223	0.804161	0.9023692	0.8509115	0.86756825	0.8080698	0.7839185	0.87665874	0.912762	0.0	0.85365444	0.87226945	0.8550329	0.89577776	0.9751043	0.7846023	0.827688	0.8986329	0.7893819	0.5635177	0.85002494	0.74750936	0.83203435	0.9089839	0.8461659	0.789668	0.91176605	0.83103997	0.88431597	0.83696425	0.89926046	0.7317817	0.70125675	0.8266531	0.85996604	0.796498	0.79836243	0.67074716	0.88438296	0.6295876	0.95690686	0.8987429	0.91228426	0.73919475	0.88026345	0.62918335	0.8365947	0.86951643	0.6241821	0.48845065	0.4723469	0.41190034	0.81019944	0.7805737	0.8459698	0.7648711	0.8259679	0.8676506	0.8411263	0.55625373	0.9111813	0.9463802	0.8833959	0.62732303	0.8761896	0.92317176	0.8346199	0.8554169	0.7637742	0.8087657	0.81694996	0.8951475	0.8578598	0.98887855	0.9192243	0.51221347	0.7901385	0.8999494	0.8417438	0.8871783	0.82192695	0.86052537	0.8821469	0.91270083	0.8691456	0.84980416	0.87945586	0.9488404	0.88653773	0.82354766	0.81392413	0.9376587	0.85401917	0.8778911	0.87105346	0.713377	0.86889654	0.8152159	0.90091556	0.9036312	0.91513246	0.7552355	0.93884265	0.77894276	0.8722136	0.841568	0.8373379	0.87232053	0.9052795	0.92403704	0.4657719	0.71571445	0.92642355	0.6910082	0.8878799	0.89683616	0.8495602	0.7538705	0.8755587	0.7769429	0.7940125	0.9563385	0.97943485	0.73704565	0.8888695	0.8635423	0.81364614	0.89206374	0.5039437	0.87307143	0.9378437	0.757867	0.8134061	0.881222	0.9251671	0.9343917	0.74495685	0.8063677	0.6688127	0.90589345	0.90017724	0.86466444	0.59042317	0.8239167	0.90330255	0.6067537	0.8941257
passage/noun	0.7994835	0.8993764	0.78500617	0.82395357	0.7667513	0.7745455	0.81416726	0.9454964	0.902334	0.9245498	0.8596366	0.7859465	0.79002005	0.79458386	0.9509802	0.82511514	0.8285216	0.6726028	0.8290083	0.7279662	0.86669105	0.87163985	0.8803686	0.876176	0.91006505	0.91846156	0.8836931	0.8412851	0.85125864	0.8102541	0.88870007	0.79688716	0.8318652	0.83732384	0.91785353	0.85365444	0.0	0.8268143	0.8248785	0.8995234	0.924484	0.772784	0.8587268	0.8927837	0.7909681	0.7823068	0.88376904	0.8797038	0.8703502	0.8074614	0.8888517	0.8121832	0.89255506	0.84721524	0.84655476	0.8793411	0.8897675	0.86109483	0.80646974	0.7884811	0.7382636	0.8345248	0.84819925	0.85436034	0.85425967	0.77518725	0.92162395	0.8802471	0.8782094	0.857181	0.8790865	0.7431972	0.866893	0.90566784	0.8459473	0.7971264	0.86159456	0.8605172	0.7503882	0.867859	0.8396931	0.84609854	0.81232566	0.79643524	0.8472517	0.79030037	0.8777516	0.87515044	0.9087189	0.81242406	0.8644066	0.8791662	0.56475425	0.78176457	0.84586746	0.83063436	0.7632329	0.85522515	0.74044466	0.9498841	0.84359443	0.7399279	0.66083497	0.9018401	0.754797	0.87496877	0.7622352	0.89096653	0.93536174	0.88922095	0.86759245	0.85152197	0.89491653	0.92370087	0.88116443	0.8547031	0.8310348	0.7438904	0.7749641	0.85054374	0.8429656	0.8659667	0.7781937	0.84779966	0.87504876	0.85211486	0.84657794	0.7918956	0.91724545	0.82727456	0.8908527	0.8627183	0.82690364	0.85651493	0.8735846	0.90977025	0.742254	0.79957557	0.905138	0.86802477	0.85300064	0.9042012	0.86493945	0.86808413	0.8593334	0.816378	0.81067395	0.93165195	0.9684179	0.8166797	0.8885719	0.83378434	0.85490596	0.9181205	0.8153161	0.8848253	0.91893333	0.8629359	0.848277	0.87897015	0.7965326	0.86066544	0.77334464	0.7271383	0.85334456	0.8850573	0.89620626	0.90812266	0.7832667	0.8340895	0.8162098	0.8714074	0.90674925
