	Chantal/name	Esther/name	Kim/name	Madonna/name	Waal/noun	aanmerkelijk/adj	bas_lijn/noun	bedrieger/noun	beetje/noun	bespreking/noun	bijzonder/adj	blessure/noun	blok/noun	bluesy/noun	broodje/noun	campagne/noun	charmant/adj	chef/noun	complot/noun	criticus/noun	daad/noun	dat/comp	dat/det	deler/noun	dijk/noun	ding/noun	ding_DIM/noun	door/adv	drempel/noun	echt/adj	elleboog_stoot/noun	ernstig/adj	fantasie/noun	fout/noun	genoeg/adv	gevoel/noun	glimlach/noun	god/noun	grimas/noun	grond/noun	haai/noun	heel/adj	heel/adv	helling/noun	hij/pron	hoe/adj	iets/adv	ik/pron	in_borst/noun	inslag/noun	jood/noun	kanker/noun	kindervriend/noun	klank/noun	kop/noun	kop_stoot/noun	kwasi/adj	lek/noun	lief/noun	loer/noun	machine/noun	man/noun	manier/noun	mens/noun	met/prep	min/adj	naar/adj	nicht_DIM/noun	nogal/adv	ondertoon/noun	ontzettend/adj	oog_DIM/noun	ook/adv	opmerking/noun	overtreding/noun	overval/noun	paal_DIM/noun	pleeg_ouder/noun	portret/noun	producent/noun	racist/noun	rap/adj	reactie/noun	recht/noun	rivale/noun	ronduit/adv	rotzooi/noun	schilderij/noun	schrijnend/adj	schuiver/noun	schurk/noun	sheriff/noun	soort/noun	spel/noun	spel_DIM/noun	sprookje/noun	spul/noun	stem/noun	streek/noun	stroper/noun	syfilis/noun	tackle/noun	tand_DIM/noun	tante/noun	tegenstander/noun	tovenaar/noun	trap/noun	uiterst/adj	vaak/adj	val/noun	val_partij/noun	veel/adj	veelvoud/noun	vernedering/noun	virus/noun	voetballer/noun	volk/noun	volwassene/noun	vraag/noun	waarin/pp	wat/adv	weide/noun	wel/adv	windstoot/noun	woestijn/noun	zaak/noun	ze/pron	ziektekiem/noun	zo/adv
bijzonder/adj	0.9614384	0.95495385	0.92834246	0.9074373	0.9581528	0.96220803	1.0	1.0	0.8408313	0.8979793	0.0	0.9146973	0.9280541	0.9914956	0.98594093	0.9106463	0.92040235	0.95106864	0.9706517	0.91415346	0.9513478	0.89255	0.9315125	0.9982833	0.97678375	0.87148726	0.9714055	0.9334569	0.95621014	0.8858405	0.983949	0.9106367	0.9387604	0.8859738	0.8746511	0.8613326	0.95376474	0.93871063	0.99646556	0.87742335	0.9773271	0.8985297	0.8618523	0.9494495	0.9205791	0.90147966	0.8989003	0.9588847	0.94345796	0.94628584	0.9379257	0.9390951	0.99162775	0.96335405	0.872549	0.9755167	0.9747483	0.95899504	0.97991407	0.973111	0.9184292	0.9240387	0.8881731	0.9382313	0.870933	0.8634081	0.9295875	0.97621894	0.87955	0.9618444	0.9312503	0.96114236	0.8613774	0.9147181	0.89971334	0.94527	0.9826206	0.98773646	0.8948649	0.92169565	0.97501373	0.9666002	0.8412858	0.85313934	0.91907877	0.95419085	0.98149306	0.9005473	0.98609114	0.9746762	0.94234484	0.987135	0.8474778	0.88293624	0.96884507	0.9651438	0.916643	0.888061	0.9285027	0.9950727	0.9798733	0.9650234	0.9586722	0.9384144	0.90175664	0.9910998	0.92072827	0.88948864	0.8714941	0.9430166	0.9862796	0.88830465	0.96948844	0.9543704	0.94844735	0.9198294	0.9179418	0.9341393	0.85534704	0.8287138	0.86242515	0.9556127	0.91858506	0.9929987	0.95508057	0.86884344	0.9289983	0.98977715	0.9588637
blessure/noun	0.96714914	0.9276361	0.8787888	0.97567993	0.9466741	0.97734684	0.9933002	0.9984003	0.93236107	0.9558207	0.9146973	0.0	0.96063143	0.996539	0.97807527	0.94901204	0.95862865	0.9231677	0.96973765	0.9532262	0.9589435	0.9750321	0.9832826	0.98960054	0.9421808	0.95490825	0.99279195	0.9709516	0.9764848	0.9525499	0.8891561	0.9359983	0.9762446	0.8369276	0.9105257	0.91153705	0.9355608	0.94037026	0.9629122	0.94159067	0.99718785	0.97841024	0.93223417	0.9863005	0.93530345	0.9744563	0.92193604	0.9552717	0.99239457	0.99166244	0.9748143	0.96949327	0.9821014	0.9680158	0.91261584	0.89031494	0.9610599	0.95214546	0.96279913	0.98312354	0.9868677	0.9253223	0.9591808	0.9853544	0.90217036	0.9338996	0.92058265	0.9765452	0.91857916	0.972268	0.9587871	0.94124156	0.9178232	0.8703579	0.8924897	0.95169264	0.9515449	0.96501625	0.94663644	0.9647789	0.9659051	0.9637137	0.9151181	0.9520955	0.9104267	0.92593634	0.997478	0.93877715	0.96793103	0.8892006	0.9871716	0.95605063	0.9780304	0.8423717	0.94484496	0.9658763	0.9396189	0.96921724	0.95899445	0.9981979	0.99202377	0.8443744	0.96002424	0.96059006	0.8285728	0.9756674	0.74246883	0.91108555	0.95310646	0.9532859	0.94605255	0.9500592	0.99738526	0.92703104	0.98684984	0.7570729	0.9409253	0.98198754	0.9427779	0.951012	0.90616	0.9377887	0.9371592	0.9965193	0.9681999	0.9502622	0.98409903	0.9733784	0.98725504
blok/noun	0.94869506	0.9570436	0.9421079	0.9713346	0.96825635	0.96483594	0.95587635	0.96538675	0.9391987	0.9523947	0.9280541	0.96063143	0.0	0.99172455	0.9543425	0.9156865	0.9553083	0.9530481	0.9779194	0.9583002	0.9489588	0.93262297	0.9542548	0.9952514	0.96160686	0.9504017	0.9736305	0.95708084	0.95602274	0.96279746	0.980915	0.93681645	0.95342124	0.9501603	0.94589293	0.93888	0.97700286	0.98880464	0.98784375	0.9558163	0.9667935	0.9899032	0.9826387	0.9387149	0.9488805	0.9643331	0.92822844	0.9580146	0.97528356	0.93991077	0.9362695	0.94628096	0.9912924	0.97745544	0.93432313	0.96828777	0.963185	0.9625884	0.981459	0.9615301	0.9457092	0.9328715	0.98418635	0.91458535	0.9101883	0.91546	0.9257454	0.97443736	0.96614385	0.95115215	0.9692508	0.95174587	0.9419232	0.9514058	0.93427336	0.9386751	0.95392746	0.9723858	0.9383734	0.9410099	0.97628987	0.9603167	0.908464	0.97510564	0.9259131	0.94646156	0.9523501	0.94224226	0.97731966	0.9937195	0.9903941	0.9646226	0.9434962	0.9107821	0.9528054	0.9573989	0.95379955	0.8721724	0.966971	0.99837583	0.98372	0.98727703	0.9549622	0.97589755	0.9087636	0.96926075	0.96225023	0.90639836	0.9683279	0.92155945	0.9691461	0.9552294	0.9733837	0.9718235	0.9674779	0.9673201	0.94321626	0.9273819	0.9391979	0.9352305	0.94585085	0.95437086	0.9435521	0.94317937	0.94382846	0.9701228	0.9770191	0.9911105	0.9863973
bluesy/noun	0.996362	0.9844631	0.97436017	0.97417027	1.0	1.0	0.90168077	0.99890614	0.9858191	0.99647003	0.9914956	0.996539	0.99172455	0.0	0.9816674	0.99119425	0.9664798	0.9798863	1.0	0.96966463	1.0	0.99984246	1.0	0.9629408	0.99396527	1.0	1.0	0.99267185	0.9952208	0.99926156	1.0	0.98261124	0.9910662	1.0	0.9980152	0.9942145	0.96766484	0.97358197	0.96796256	0.99766606	0.9394374	1.0	1.0	1.0	0.995222	0.98573124	0.98822933	1.0	1.0	0.97316253	0.9821069	0.9391016	1.0	0.9765226	0.9857712	1.0	0.9956698	1.0	0.9230474	0.9895865	1.0	0.99733	0.98842746	1.0	0.9858397	0.9890332	0.98193663	0.993487	0.97466344	0.97450185	0.9493729	0.99069506	0.99446654	0.9835547	0.99973595	0.9927485	0.9980516	0.9868161	0.9900049	0.93382484	0.9882291	0.96973735	0.99744034	0.9968147	0.97338307	0.9794565	1.0	0.9857894	0.99065775	1.0	0.97329974	0.9519029	0.97473335	0.9845405	0.9855489	0.9926102	0.9982135	0.9952115	0.9841061	1.0	0.99388325	1.0	1.0	1.0	0.99185604	1.0	0.98693806	0.96805984	0.97721815	0.97602534	1.0	1.0	0.9949163	1.0	0.9965405	0.9935339	0.99241626	0.9882796	0.9955859	0.9789639	1.0	1.0	1.0	0.98872745	0.9654187	0.99845344	0.99235356	1.0	1.0
broodje/noun	0.982257	0.9556963	0.9598371	0.96370006	0.9714695	0.9769385	0.9677039	0.9934669	0.9782859	0.9740958	0.98594093	0.97807527	0.9543425	0.9816674	0.0	0.977599	0.9755305	0.9727889	0.9635348	0.9627195	0.9736381	0.9734282	0.9727224	0.99895364	0.9287965	0.9896513	0.9874743	0.9811624	0.95114183	0.9806908	0.97621745	0.9771334	0.9684955	0.98191154	0.97046965	0.9810452	0.977922	0.983253	0.9928171	0.9568578	0.9613883	0.9755286	0.9877174	0.97562283	0.9709047	0.9955899	0.9477682	0.9862794	0.9710539	0.98521054	0.94496584	0.96092767	0.96923167	0.9636355	0.95821637	0.9993429	0.996237	0.9794653	0.95109266	0.95699143	0.9561194	0.94916224	0.991249	0.90673155	0.92553526	0.9372153	0.9328841	0.95064145	0.96858865	0.98392445	0.9717978	0.99021655	0.9824605	0.9769007	0.96021104	0.96364033	0.9649488	0.9257437	0.96924824	0.9538312	0.9807651	0.97625524	0.9683621	0.985107	0.97297543	0.95757353	0.98062104	0.9589105	0.9879698	0.993328	0.9812824	0.9728508	0.98508567	0.98833656	0.9737648	0.9418219	0.96744525	0.9583786	0.94175094	0.9780122	0.99652594	0.97693294	0.99429756	0.9669499	0.959775	0.9856943	0.9779076	0.96386814	0.9684846	0.9788982	0.9821814	0.9440681	0.9854168	0.97657555	0.9692813	0.96094304	0.99402	0.85166156	0.9766219	0.94722104	0.9662753	0.9791854	0.99453765	0.9691716	0.9611116	0.98729646	0.9856267	0.99176645	0.97166735
campagne/noun	0.9512635	0.9492138	0.92541003	0.92797357	0.9741888	0.9343786	0.95306605	0.943985	0.901267	0.8732345	0.9106463	0.94901204	0.9156865	0.99119425	0.977599	0.0	0.9586737	0.8809769	0.91959924	0.89697325	0.90132403	0.80215937	0.9527056	0.9618519	0.9554933	0.93545395	0.9966007	0.95222485	0.9461051	0.93134797	0.9841061	0.91982406	0.9382344	0.91040236	0.92262053	0.9361222	0.95676863	0.92270917	0.9892472	0.94093007	0.9717043	0.9288908	0.93013793	0.94732976	0.89561445	0.9396899	0.93103397	0.95557904	0.97653973	0.9203036	0.91077536	0.91034883	0.99025416	0.94995207	0.90058464	0.9853304	0.9818345	0.9514194	0.9729892	0.98379254	0.9197196	0.9297032	0.9172275	0.92501104	0.91535217	0.9115312	0.9243205	0.9691723	0.92111695	0.9657579	0.9451428	0.98158145	0.90358686	0.928267	0.9470787	0.9536722	0.96414715	0.95201445	0.9160849	0.9228643	0.94408655	0.9400753	0.82778835	0.92903316	0.8860382	0.9274577	0.9506561	0.9340243	0.9501401	0.9830601	0.96222466	0.92631036	0.9052917	0.91955537	0.94489723	0.941675	0.95099103	0.86753637	0.9508856	0.9946399	0.95662457	0.97193635	0.9570103	0.9683076	0.84707576	0.97597975	0.94142264	0.9145357	0.92213225	0.9218297	0.9763962	0.8767731	0.9759177	0.9511605	0.94695103	0.91123396	0.8676715	0.9497776	0.8981588	0.82373613	0.9258836	0.96941257	0.94264376	0.9783507	0.8972608	0.9480191	0.9793912	0.99274844	0.9671143
charmant/adj	0.95328355	0.97565913	0.8865013	0.89082277	0.9845325	0.9924511	0.9667606	0.99090934	0.93162274	0.97894734	0.92040235	0.95862865	0.9553083	0.9664798	0.9755305	0.9586737	0.0	0.9474181	0.95758235	0.9694972	0.9875629	0.9901579	0.99186707	1.0	0.9728114	0.9588497	0.97386307	0.9547576	0.98482114	0.91629905	0.9784839	0.9457585	0.95788085	0.97370154	0.9498404	0.9719883	0.9677834	0.9618946	0.946971	0.976378	0.97150046	0.9741292	0.9454224	0.957339	0.94781655	0.94137794	0.9600752	0.98212427	0.95652413	0.97397304	0.9723498	0.93982583	0.98101485	0.915704	0.95047706	0.9850706	0.97616184	0.9865518	0.9433704	0.9643263	0.9343964	0.9229239	0.95431405	0.9894808	0.9201164	0.9654987	0.9479715	0.9298604	0.9279264	0.9387033	0.9451966	0.9742441	0.9546767	0.95877576	0.9623995	0.95316654	0.9871762	0.9911716	0.881231	0.95779085	0.9648761	0.93670267	0.9622224	0.96642584	0.94325346	0.9554261	0.9696807	0.94513583	0.94869125	0.98495007	0.87899	0.9269011	0.95863277	0.95462763	0.97121924	0.9205892	0.95855767	0.9370872	0.9466299	0.9839677	0.96646386	0.9778087	0.9947491	0.874991	0.95683974	0.96968365	0.96765685	0.97332954	0.9544046	0.95770144	0.9692015	0.9538109	0.9964674	0.96843815	0.9372839	0.9306151	0.9596142	0.9752584	0.95869905	0.8543112	0.9693799	0.9479468	0.9874298	0.9659359	0.9806214	0.9764906	0.98295736	0.97991556	0.9914362
chef/noun	0.93329763	0.9446197	0.92251253	0.9312345	0.9748583	0.96293914	0.98935467	0.99571687	0.9629776	0.89799577	0.95106864	0.9231677	0.9530481	0.9798863	0.9727889	0.8809769	0.9474181	0.0	0.9068461	0.82650584	0.93738353	0.8866697	0.9812673	0.9882721	0.9600606	0.94809604	0.96422464	0.962319	0.96901	0.9741011	0.96913385	0.90752083	0.94713414	0.9325678	0.93886423	0.9544325	0.937728	0.9345054	0.95104754	0.9552316	0.9621047	0.93827796	0.948595	0.98724765	0.85223055	0.9458736	0.92954254	0.9565872	0.96034384	0.9518628	0.9352712	0.9061871	0.9573672	0.9575281	0.942528	0.9920954	0.97815084	0.9313825	0.95371497	0.96756864	0.9616098	0.8969498	0.95438564	0.9838927	0.946065	0.9466553	0.9555086	0.9594921	0.93396646	0.9387265	0.95104647	0.9635334	0.96518576	0.93318474	0.9536613	0.9344641	0.9571834	0.9724058	0.8552865	0.91992944	0.935356	0.97181934	0.90113574	0.9556399	0.8956536	0.9155306	0.9866382	0.9102239	0.9402623	0.95753425	0.91852576	0.9392984	0.961064	0.9379959	0.96042806	0.93904483	0.97550434	0.93269396	0.9535354	0.96902776	0.99945635	0.9568773	0.9848599	0.8880456	0.9145254	0.97295463	0.9371911	0.9278312	0.97017413	0.87373686	0.9523812	0.96451557	0.987848	0.9502836	0.95742375	0.9101346	0.9348563	0.9574495	0.95712864	0.8656758	0.949309	0.96629816	0.96087444	0.98959833	0.9455547	0.92358965	0.9496067	0.9762561	0.98209095
complot/noun	0.9804101	0.98401856	0.95316094	0.96713215	0.9763974	0.98359495	0.9667667	0.98064184	0.9707897	0.93282485	0.9706517	0.96973765	0.9779194	1.0	0.9635348	0.91959924	0.95758235	0.9068461	0.0	0.89880925	0.9468361	0.8655991	0.9828728	0.9932578	0.9585152	0.9763216	0.9980664	0.97185004	0.98627985	0.97831404	0.9661217	0.93758065	0.951272	0.96615773	0.9829144	0.9351741	0.93745446	0.96649384	0.98938274	0.94456345	0.9766371	0.9687286	0.96293044	0.9650942	0.9145248	0.90852606	0.97519565	0.9993829	0.8937868	0.85372126	0.937311	0.91798395	0.97644746	0.91729534	0.9761165	0.9689649	0.98056805	0.9494643	0.96738595	0.9583397	0.96313626	0.9521621	0.96211606	0.9833322	0.95569503	0.96532935	0.93943065	0.98411673	0.93294555	0.9505342	0.96999	0.9655867	0.94863594	0.9446095	0.98612696	0.9723985	0.991675	0.9855808	0.89836127	0.97508794	0.96470594	0.9892623	0.9731104	0.9691638	0.9245045	0.92520034	0.9318132	0.95321524	0.9275542	0.97570306	0.89711505	0.9602698	0.96333957	0.95095736	0.96813697	0.956635	0.98713744	0.9623562	0.9349386	0.94946074	0.9998707	0.95545167	0.98612803	0.96846557	0.9406246	0.9870781	0.96834326	0.9222162	0.96966124	0.9403064	0.9838767	0.9698852	0.9886224	0.8875396	0.9536483	0.9217651	0.88443553	0.97646725	0.9821433	0.9132252	0.9677473	0.985117	0.9596369	0.9734386	0.8941138	0.93136287	0.99023503	0.98419565	0.9917737
criticus/noun	0.9766451	0.94065714	0.9438151	0.93279934	0.9710689	0.94898254	0.9688701	0.96525246	0.95052505	0.8935195	0.91415346	0.9532262	0.9583002	0.96966463	0.9627195	0.89697325	0.9694972	0.82650584	0.89880925	0.0	0.9266305	0.81349695	0.96530074	0.9920037	0.9644513	0.9588923	0.9998234	0.9518817	0.9788505	0.9589208	0.9695882	0.8796635	0.92273825	0.96666294	0.9456033	0.90363574	0.8819728	0.931183	0.9734257	0.93892455	0.9840456	0.9524802	0.9426066	0.9803915	0.8738177	0.9404969	0.95834404	0.9867276	0.97481626	0.9351743	0.9251338	0.9191212	0.9932527	0.90545416	0.94513285	0.97891027	0.99022937	0.93566746	0.9537888	0.97151047	0.9600378	0.92622745	0.95387614	0.98278904	0.9286789	0.936238	0.9381479	0.9732104	0.9428756	0.9616631	0.9154598	0.9411865	0.94050276	0.8927977	0.9666436	0.9372267	0.98406976	0.99102134	0.8569321	0.8990001	0.9546654	0.96875376	0.8500784	0.91195935	0.8623097	0.932791	0.9811923	0.8659214	0.9504099	0.984802	0.9336887	0.96217024	0.9194937	0.9330192	0.93942857	0.9483377	0.9656463	0.9335809	0.94905835	0.995985	0.9988523	0.9859838	0.97767794	0.9417357	0.87573385	0.98395723	0.9509118	0.89999765	0.91206557	0.9285507	0.9747369	0.93611187	0.9864234	0.9630349	0.93992215	0.92870694	0.9201971	0.9766376	0.9358429	0.8236947	0.9471239	0.97521615	0.9448669	0.9878633	0.9597998	0.9322341	0.99026346	1.0	0.97454715
daad/noun	0.98188716	0.9782661	0.94680965	0.9780631	0.9724544	0.9367784	0.9802972	0.9242773	0.9740949	0.8837923	0.9513478	0.9589435	0.9489588	1.0	0.9736381	0.90132403	0.9875629	0.93738353	0.9468361	0.9266305	0.0	0.8446487	0.98607635	0.98229957	0.9899529	0.9828302	0.9998357	0.96287084	0.98887473	0.9471136	0.9885626	0.91333	0.94705254	0.9520988	0.9460462	0.9515258	0.94224185	0.9126285	0.9803695	0.9667676	0.9957203	0.9527391	0.9792141	0.9873692	0.91702497	0.9289514	0.9747569	0.9555257	0.9829402	0.9741406	0.9171487	0.93688506	0.9636752	0.9852757	0.936513	0.989702	0.98917466	0.9675319	0.9752145	0.98905236	0.97745377	0.91281086	0.9711857	0.9777905	0.976131	0.92940044	0.97427106	0.97110337	0.9708334	0.98144466	0.97775996	0.95644736	0.94495696	0.9213691	0.97505933	0.9277602	0.98793215	0.99479246	0.88321054	0.95628256	0.8964437	0.9869254	0.89914364	0.95672256	0.94342506	0.94244635	0.9511778	0.91904885	0.97343564	1.0	0.94941795	0.9806336	0.949731	0.92855036	0.9872293	0.98101085	0.9303661	0.9436424	0.9657273	0.9996476	1.0	0.9846208	0.9797024	0.9740535	0.91685915	0.99681073	0.9712068	0.9367559	0.9392613	0.9238502	0.9616144	0.95494616	0.99743813	0.94580334	0.97022796	0.9289324	0.92019665	0.96006876	0.919005	0.9142189	0.98142725	0.95443046	0.97891146	0.9784615	0.96294063	0.9419227	0.9490844	0.9794289	0.97154474
dat/comp	0.97250074	0.96669066	0.9698646	0.97393364	0.9488059	0.94495785	0.9973378	0.9735025	0.9513788	0.8050504	0.89255	0.9750321	0.93262297	0.99984246	0.9734282	0.80215937	0.9901579	0.8866697	0.8655991	0.81349695	0.8446487	0.0	0.8691589	0.9367683	0.98031753	0.9179381	0.9918715	0.9264053	0.96642244	0.9086217	0.9842748	0.82009876	0.93446374	0.9146663	0.8822198	0.87762094	0.9114571	0.9212714	0.97148204	0.92079395	0.9853945	0.94781125	0.9284363	0.9561553	0.92205775	0.8909402	0.90586805	0.9842335	0.96645683	0.9471789	0.9218193	0.97241426	0.9986678	0.98886585	0.90502775	0.99176574	0.96508235	0.91996515	0.98575085	0.9632363	0.96449304	0.950665	0.8920251	0.96835953	0.9231601	0.9148719	0.9576475	0.9709904	0.89010537	0.95312506	0.9425436	0.9275338	0.75752795	0.8077203	0.93355286	0.9634143	0.97998315	0.9810384	0.89965284	0.9317291	0.91265655	0.9643976	0.7317636	0.83816415	0.8298919	0.9086644	0.9521672	0.9711002	0.95427006	0.99590987	0.95190763	0.9837548	0.92516714	0.9348252	0.9316604	0.973308	0.94887686	0.9083622	0.96249866	0.9916406	0.99941266	0.97693145	0.9352537	0.97628456	0.84767497	0.9845706	0.9794891	0.89678216	0.88207364	0.8873025	0.9856413	0.8420725	0.9887614	0.93611926	0.95106107	0.9708302	0.88808465	0.9710925	0.74934185	0.8455241	0.93262506	0.9910742	0.78171515	0.991166	0.95799273	0.7561534	0.929675	0.9894385	0.94447297
dat/det	0.98925185	0.9702109	0.97722405	0.9608013	0.9370579	0.9701001	1.0	1.0	0.90152025	0.96120846	0.9315125	0.9832826	0.9542548	1.0	0.9727224	0.9527056	0.99186707	0.9812673	0.9828728	0.96530074	0.98607635	0.8691589	0.0	1.0	0.9775118	0.93366987	1.0	0.94922125	0.9397334	0.90382046	0.9996164	0.94794047	0.9793789	0.9575353	0.9519867	0.9555741	0.9964276	0.9497116	1.0	0.90075487	0.95568544	0.9202763	0.93132603	0.97840464	0.9582095	0.7530696	0.83466256	0.6132999	0.99500704	0.9781572	0.9437866	0.97196335	1.0	0.991063	0.95690024	1.0	0.99526995	0.9955896	0.990988	1.0	0.97717845	0.93728137	0.95227456	0.87526184	0.7767943	0.8237477	0.9380819	1.0	0.92605877	0.9939667	0.94007635	0.9344133	0.88687515	0.93720883	0.94054234	0.9929608	0.9974812	0.9690441	0.987922	0.95490116	0.9832789	0.9353683	0.95371586	0.92931986	0.9781652	0.98368263	0.9863882	0.97077113	0.96739435	0.9984152	1.0	0.99608904	0.8771837	0.9533478	0.94567615	0.9914728	0.95170116	0.8294718	0.95313567	1.0	1.0	1.0	1.0	0.9830532	0.9791973	0.99933636	0.9808324	0.97542393	0.9471699	0.974419	0.99778867	0.9525557	0.99189615	0.9944686	0.94321	0.9565654	0.9560481	0.9238579	0.9006181	0.9338316	0.8087948	0.96218044	0.8157962	0.99660534	0.9478767	0.9649704	0.8330824	1.0	0.95250016
deler/noun	0.9935369	0.9734045	0.98627436	0.9620422	0.99548656	0.98229915	1.0	0.99998856	0.9894127	0.9587907	0.9982833	0.98960054	0.9952514	0.9629408	0.99895364	0.9618519	1.0	0.9882721	0.9932578	0.9920037	0.98229957	0.9367683	1.0	0.0	1.0	1.0	1.0	0.998058	0.9971678	0.9929716	0.9554466	0.9826942	0.98848504	0.9954167	0.9843056	1.0	0.979579	0.98653257	1.0	0.9971965	0.9896713	0.99482274	0.97911936	0.96171933	0.984037	1.0	0.9994685	1.0	0.9374538	0.9643888	0.99274075	0.99976844	0.9643447	0.96816695	0.9914445	0.99859864	0.9964578	0.9993968	0.9773591	0.97591156	1.0	0.9895144	0.9540467	0.99630743	0.9896112	0.99099594	0.9983876	0.95099795	0.99638015	0.98312163	0.98867893	1.0	0.99779207	0.9750529	0.98695743	0.98478687	0.9982724	0.9993731	0.9748832	0.94552046	0.99943405	0.9903434	0.9757545	0.99716103	0.9756925	0.98547053	0.99534965	0.99769396	0.98856896	0.99095684	0.9863001	0.91468203	0.9900345	0.981116	0.99042404	0.983482	0.9898613	0.9808645	0.99727064	0.9847506	0.998769	0.8949741	1.0	0.9898072	0.993978	0.9993343	0.9752986	0.9365213	0.9713028	0.98159397	0.99951464	0.9936173	0.99087286	0.98320884	0.99015284	0.9296221	0.9754734	0.99948275	0.9941326	0.98701155	1.0	0.99885136	1.0	0.99878865	0.98524094	0.9900687	1.0	1.0	1.0
dijk/noun	0.9819817	0.9462592	0.95363766	0.9684734	0.9349058	0.9724118	1.0	0.99778986	0.9780426	0.9756903	0.97678375	0.9421808	0.96160686	0.99396527	0.9287965	0.9554933	0.9728114	0.9600606	0.9585152	0.9644513	0.9899529	0.98031753	0.9775118	1.0	0.0	0.9658007	0.9908001	0.94342786	0.9731496	0.97021085	0.9810725	0.9612922	0.96378696	0.961526	0.97308326	0.9726932	0.9778354	0.9720963	0.9818955	0.94711614	0.9491071	0.97637945	0.9603915	0.95861506	0.9063322	0.9906749	0.95013297	0.9837914	1.0	0.97875476	0.9512033	0.9430459	0.9979874	0.9881317	0.94199216	0.95870626	0.9697903	0.91655076	0.9881259	0.96658903	0.9668627	0.9220418	0.9625052	0.93778825	0.95380694	0.9422693	0.959885	0.9486464	0.9323419	0.9975411	0.97435665	0.96355516	0.9796428	0.97798175	0.9591299	0.91982454	0.97155476	0.9697243	0.92326367	0.94460213	0.9801857	0.9693753	0.9659082	0.98350906	0.9618236	0.96933925	0.9650954	0.8974246	0.9636145	0.98126	0.9674004	0.96967345	0.9523398	0.9320571	0.9736117	0.945427	0.9701471	0.954875	0.9199026	0.9890675	0.9923717	0.99321586	0.9687912	0.9084983	0.93714434	0.9563104	0.9203694	0.9314486	0.94315577	0.94954854	0.9430026	0.973331	0.9300461	0.9530642	0.98372066	0.96726996	0.94238985	0.95074165	0.9882062	0.9118568	0.9659884	0.93216455	0.9746438	0.97063965	0.98158485	0.95069414	0.96581316	0.99262655	0.9940977
ding/noun	0.9660756	0.97539824	0.95888066	0.92597	0.95344	0.99947834	1.0	1.0	0.87724084	0.9628142	0.87148726	0.95490825	0.9504017	1.0	0.9896513	0.93545395	0.9588497	0.94809604	0.9763216	0.9588923	0.9828302	0.9179381	0.93366987	1.0	0.9658007	0.0	0.97323585	0.9395878	0.96855515	0.83653826	0.9774284	0.9174032	0.93639064	0.96187043	0.8535353	0.9120305	0.96823	0.9557742	0.98143625	0.9213722	0.976645	0.9155371	0.91391104	0.9857611	0.9553096	0.80847794	0.9195135	0.90185744	0.97814924	0.967385	0.9514545	0.9759168	0.97913325	0.97032005	0.93033004	1.0	0.9780776	0.9860693	0.94990647	1.0	0.99089926	0.94925135	0.89211893	0.96562576	0.90732706	0.90801567	0.96321017	0.9829201	0.913555	0.9998505	0.92530423	0.9377259	0.8869513	0.9320879	0.9505376	0.9854848	0.9949326	0.9985554	0.92202884	0.95236576	0.96928847	0.98397243	0.92113733	0.91015327	0.96639735	0.9527068	0.99408644	0.91435724	0.9669077	0.98288107	0.9685715	0.95608145	0.89436173	0.9212613	0.9788704	0.90100014	0.9002442	0.9237151	0.9534614	0.9967181	0.9867946	0.9820464	0.9827383	0.94949394	0.9441515	0.99520576	0.96804637	0.9099045	0.8968606	0.9733268	0.9914025	0.92320186	1.0	0.99006426	0.98414856	0.95363176	0.93154436	0.9537217	0.8596467	0.8521031	0.865268	0.9695346	0.87083316	0.9961764	0.9697023	0.9328962	0.9388548	1.0	0.9583884
ding_DIM/noun	0.98858094	0.9995938	0.9973126	1.0	0.9938339	0.98145795	1.0	1.0	0.99939	0.9825676	0.9714055	0.99279195	0.9736305	1.0	0.9874743	0.9966007	0.97386307	0.96422464	0.9980664	0.9998234	0.9998357	0.9918715	1.0	1.0	0.9908001	0.97323585	0.0	0.99952656	0.9821666	1.0	0.9849979	0.9898271	1.0	0.99908704	0.9999076	0.9957671	0.98783517	0.9993522	0.9094498	0.99440867	0.9930646	0.97361636	0.9878881	0.99204344	0.9939241	0.9994168	0.96771526	0.9941681	1.0	0.9513451	0.9864807	0.9999863	1.0	1.0	0.988462	1.0	0.9894139	0.9960263	0.99180454	0.9920889	0.99189186	0.967467	1.0	0.95542127	0.9815129	0.99840826	0.99513566	0.99974513	0.98514575	0.9999096	1.0	0.9433323	0.96426547	0.9897261	0.97360116	0.9924916	0.99626505	0.9861396	0.96911585	0.9759033	0.98057693	0.99644685	0.9861704	0.9999441	0.9998812	0.9714606	0.9989921	0.94827664	0.9946752	1.0	1.0	1.0	0.9944814	0.97746396	0.9918548	0.9995735	0.967719	0.9784239	0.9992397	0.9903576	0.99103284	0.99844027	0.99667954	0.92153	0.98998564	0.99733186	0.9761901	0.9873251	0.984159	0.98822224	0.99476105	0.99867564	0.9655132	0.99415714	0.9995801	0.9684406	0.9973045	0.94360393	0.99755234	0.97200274	0.9574786	0.9915486	1.0	0.9820519	0.99676925	1.0	0.950572	1.0	0.99968296
