	Hot/name	Risseeuw/name	Rowan/name	Self/name	The/name	aankondiging/noun	actie_film/noun	af/adv	aflevering/noun	anekdote/noun	antwoord/noun	aria/noun	arrogantie/noun	bedoeld/adj	beeld/noun	behoorlijk/adj	beschrijving/noun	bijdrage/noun	bijrol/noun	bijzonder/adj	bloes_DIM/noun	boek/noun	buitengewoon/adj	cast/noun	column/noun	combinatie/noun	commentaar/noun	contrasteer/adj	cynisme/noun	dandy/noun	dat/det	debuut/noun	detail/noun	dialoog/noun	draai/noun	duivel_DIM/noun	echt/adj	effect/noun	en/vg	erg/adj	even/adj	even/adv	film/noun	film_DIM/noun	gast/noun	gedicht/noun	genoeg/adv	gesprek/noun	gesprekspartner/noun	geweldig/adj	gewoon/adj	gezicht/noun	heel/adj	heel/adv	heerlijk/adj	hij/pron	hoe/adj	karikatuur/noun	kwartet/noun	lady/noun	lied/noun	man/noun	manier/noun	mengeling/noun	min/adj	mix/noun	moment/noun	musical/noun	nogal/adv	observatie/noun	obsessie/noun	of/vg	om_kade_ring/noun	onbedaarlijk/adj	onderdeel/noun	oneliner/noun	ongekend/adj	ongelooflijk/adj	onnavolgbaar/adj	onwaarschijnlijk/adj	onweerstaanbaar/adj	ook/adv	opmerking/noun	opvallend/adj	passage/noun	performance/noun	plaat/noun	portret/noun	presentator/noun	rap/noun	reactie/noun	rol/noun	roman/noun	satire/noun	script/noun	scène/noun	sketch/noun	soms/adv	speel_film_debuut/noun	stoutmoedig/adj	stuk/noun	toch/adv	toneelstuk/noun	trailer/noun	typering/noun	uitval/noun	vaak/adj	variant/noun	variatie/noun	veel/adj	verhaal/noun	vers/noun	verslag/noun	vervolg/noun	vondst/noun	vooral/adv	voordracht/noun	voorstelling/noun	vooruitzicht/noun	waanzinnig/adj	wat/pron	weerzinwekkend/adj	werk_DIM/noun	wijze/noun	wissel_af/adj	ze/pron	zeer/adv	zelden/adj	zelfs/adv	zo/adj	zo/adv
cynisme/noun	0.9415039	0.9625074	0.9476691	0.93482894	0.92442846	0.9085947	0.8752615	0.84202343	0.9092236	0.822597	0.88538986	0.9308935	0.7105235	0.8676027	0.8492219	0.86704016	0.85929227	0.914479	0.9089335	0.86066735	0.9628615	0.8780013	0.85743904	0.9055479	0.8882337	0.846227	0.81902087	0.92447436	0.0	0.905623	0.83462137	0.9210184	0.8703354	0.8429827	0.9090259	0.9533449	0.86655265	0.8805907	0.79160684	0.8552631	0.8599557	0.8101034	0.85702634	0.90695137	0.9154353	0.8575608	0.86104333	0.91130745	0.9085273	0.86631364	0.9004251	0.83869946	0.90049535	0.84555966	0.86551887	0.84643805	0.8401629	0.8728376	0.92169255	0.92637694	0.8780011	0.9019678	0.8515582	0.7709709	0.8379818	0.83927214	0.86914897	0.92621905	0.84577835	0.8327039	0.8378739	0.856235	0.9474221	0.91926235	0.9303132	0.81738997	0.83454365	0.8334551	0.8446897	0.87398565	0.82820565	0.8526974	0.78514045	0.90523773	0.84390867	0.89036274	0.9044188	0.87664753	0.9072637	0.8707437	0.83178556	0.89049435	0.8543624	0.79310334	0.86914706	0.8421366	0.9049007	0.74910116	0.9246657	0.9484367	0.8858141	0.82877886	0.8882843	0.96513295	0.8636992	0.90115404	0.79556465	0.86131877	0.9134704	0.8388832	0.8144287	0.87641966	0.8879658	0.9147329	0.8814614	0.8353768	0.8943151	0.88139147	0.9167742	0.8421691	0.87901014	0.8752315	0.9284612	0.84677345	0.88082427	0.8502189	0.8425939	0.83935523	0.81672025	0.8555285	0.82909
dandy/noun	0.9573877	0.98412406	0.9478771	0.9605947	0.9002366	0.94121236	0.9356046	0.952275	0.926244	0.8989486	0.9579396	0.9353587	0.9098363	0.9213022	0.9142808	0.9059467	0.8977783	0.9620115	0.9158367	0.91465265	0.90725994	0.9121601	0.8937607	0.90497434	0.90168965	0.9381362	0.937986	0.93127096	0.905623	0.0	0.9420289	0.93601036	0.91677326	0.926805	0.9104391	0.9330028	0.9005726	0.9591871	0.8933455	0.91495246	0.91892546	0.8581866	0.9091943	0.9412607	0.9014515	0.91949016	0.9291024	0.9441268	0.92630404	0.94135463	0.9399489	0.90225756	0.95151025	0.9051682	0.9285653	0.8791975	0.8769741	0.8673192	0.91166276	0.838146	0.9075708	0.8417353	0.90740645	0.9228232	0.9112048	0.941584	0.9429548	0.89751554	0.89672107	0.9096697	0.89992684	0.91995037	0.97099876	0.96022433	0.9669949	0.913138	0.9119087	0.91993046	0.9001373	0.9398641	0.9014598	0.94365335	0.9303634	0.9127516	0.9063419	0.93980306	0.9656065	0.82309914	0.8839552	0.94781405	0.9645642	0.8992268	0.86183953	0.8502608	0.934056	0.88713825	0.91411227	0.8950123	0.95085055	0.93363285	0.9549304	0.9325776	0.8980348	0.9374597	0.84603554	0.9547716	0.9017272	0.90348375	0.92660975	0.93135166	0.88387406	0.8832367	0.9479388	0.9604931	0.9270357	0.9059744	0.9534852	0.91263896	0.9692612	0.89509004	0.92739123	0.9001133	0.9336382	0.90572345	0.92180634	0.91524416	0.9137366	0.9080555	0.91779274	0.90599376	0.8789929
dat/det	0.9564353	0.90695643	0.9616673	0.94758517	0.9571852	0.89746195	0.90985	0.82692236	0.9153938	0.87545353	0.81635743	0.940295	0.7988577	0.82268995	0.8377574	0.77191335	0.8706136	0.87283146	0.92490053	0.81803465	0.9531973	0.8779495	0.8006203	0.90735435	0.9034881	0.831762	0.8779051	0.93514425	0.83462137	0.9420289	0.0	0.91394323	0.8323163	0.83621806	0.9133018	0.96398944	0.7161473	0.80219007	0.85312593	0.74709755	0.80323505	0.8118711	0.86948746	0.87258804	0.8787947	0.8781955	0.7698901	0.8943089	0.87316436	0.82217634	0.7588364	0.88301045	0.77853817	0.71212006	0.8823427	0.7923621	0.6698476	0.8888794	0.9227308	0.9545418	0.906677	0.915466	0.7252823	0.86536014	0.754048	0.8998949	0.8282937	0.92728865	0.7496828	0.8761866	0.84259975	0.8416793	0.90299904	0.9503933	0.90522534	0.85784435	0.8778858	0.7867685	0.8949898	0.85198355	0.88858	0.6899459	0.7430238	0.87971216	0.8511733	0.9026345	0.88437307	0.91385806	0.8913578	0.91938	0.8050732	0.8798051	0.89036036	0.8762564	0.8863117	0.82983977	0.9166583	0.70696425	0.9471481	0.93253434	0.86980087	0.5813257	0.9276023	0.9721457	0.86258805	0.87408674	0.726738	0.869985	0.8891217	0.7469514	0.8189019	0.9050979	0.9093779	0.85550755	0.8712299	0.7984999	0.9034842	0.8461377	0.8446602	0.82471716	0.55076694	0.88221216	0.9160346	0.76856023	0.9115027	0.74403	0.78976196	0.7790544	0.7524315	0.798776	0.67137456
debuut/noun	0.88959473	0.98222864	0.94450665	0.93670267	0.72148985	0.8969261	0.8250811	0.8469711	0.8148847	0.84883964	0.9005275	0.84832174	0.9222504	0.8814878	0.841643	0.84665596	0.85670245	0.8811175	0.83005816	0.81022507	0.9579782	0.72887945	0.83741975	0.82355237	0.85012865	0.8054657	0.8858146	0.89664686	0.9210184	0.93601036	0.91394323	0.0	0.86004436	0.84126216	0.90850055	0.9489462	0.8430654	0.91968304	0.80705476	0.8452976	0.85953337	0.7846656	0.680447	0.83565974	0.87254906	0.76896346	0.84936655	0.8980427	0.9254793	0.84980094	0.91695184	0.8816631	0.8788613	0.85395557	0.85994196	0.84253746	0.8679792	0.9072623	0.8009599	0.8692525	0.7977732	0.873669	0.8732965	0.83017284	0.84954196	0.79139	0.8712365	0.7436743	0.8433535	0.88442546	0.9031271	0.8757896	0.9578723	0.9627705	0.908353	0.8963888	0.84427404	0.8544781	0.8833563	0.8547919	0.85000736	0.8824325	0.8886024	0.8124714	0.8202497	0.84609437	0.7434604	0.7785138	0.8318269	0.87754893	0.91043556	0.88802135	0.67552686	0.86519784	0.83755565	0.7859994	0.8759617	0.8166331	0.8064555	0.94395375	0.8585794	0.85317355	0.75818145	0.9565819	0.92095715	0.9082432	0.83012927	0.84035933	0.86949253	0.87476075	0.78398734	0.8685986	0.8284043	0.8027242	0.8562232	0.8425645	0.88457865	0.73765314	0.8965676	0.8827432	0.920295	0.9101707	0.8446372	0.8165613	0.8115173	0.8846736	0.8300905	0.78442776	0.83303136	0.85971564	0.8099848
detail/noun	0.9382377	0.9238543	0.9570155	0.9455814	0.85992056	0.86886764	0.8223467	0.7920221	0.8033594	0.70537233	0.82121456	0.891157	0.91152996	0.80410284	0.6273651	0.7981999	0.6692475	0.8281354	0.8922121	0.7114707	0.9196179	0.71232384	0.7422173	0.8566126	0.83095556	0.750567	0.7753568	0.85224044	0.8703354	0.91677326	0.8323163	0.86004436	0.0	0.75358355	0.8686894	0.9352528	0.7977481	0.7917065	0.70111096	0.7886903	0.8057213	0.74549866	0.7250107	0.7799669	0.8454765	0.74936324	0.7972553	0.8127734	0.90106237	0.8472672	0.8580394	0.76094747	0.7998956	0.7700574	0.81191105	0.81645316	0.6914135	0.85738885	0.8844211	0.9342716	0.8374301	0.8815379	0.74014086	0.81124663	0.787115	0.8170694	0.8104881	0.857341	0.7452264	0.75643146	0.827965	0.77600217	0.9030891	0.9454267	0.7706822	0.84988135	0.82920897	0.7994226	0.83348936	0.80958116	0.85554713	0.7824938	0.7927888	0.7438412	0.69633186	0.8499327	0.7932732	0.6847618	0.8680872	0.88848263	0.8318306	0.81169647	0.709864	0.8461493	0.80935407	0.6452017	0.8957071	0.69166064	0.9376948	0.9520477	0.7397897	0.8180012	0.8142595	0.9421364	0.83795804	0.9342797	0.72844416	0.83001405	0.78095746	0.80092454	0.6248584	0.82034504	0.72284317	0.82640123	0.75954515	0.73830336	0.8588657	0.6925597	0.89216334	0.8272043	0.7894048	0.84956974	0.8145526	0.6972952	0.8171404	0.81979907	0.7376903	0.74694586	0.76033807	0.7754192	0.741544
dialoog/noun	0.9056895	0.94995326	0.9215029	0.93945485	0.83025676	0.8419011	0.77873904	0.79733187	0.8169326	0.7142139	0.7797505	0.833481	0.86481744	0.75842977	0.70559764	0.78027236	0.7425053	0.7939352	0.8419129	0.73687035	0.9465531	0.7594214	0.7448995	0.80393386	0.8279634	0.78993154	0.74668497	0.87065506	0.8429827	0.926805	0.83621806	0.84126216	0.75358355	0.0	0.8465442	0.9532598	0.81341815	0.81478536	0.68676424	0.76148814	0.84173596	0.7133872	0.68875825	0.79030806	0.8711642	0.71612	0.7988707	0.6846965	0.8226812	0.83021504	0.88967764	0.82189274	0.8058248	0.7821739	0.8298879	0.8505001	0.7816323	0.8004594	0.8297744	0.8981012	0.7239167	0.8763037	0.701452	0.7805529	0.7748364	0.77736163	0.82984555	0.7965477	0.69947714	0.72980416	0.839486	0.8088291	0.8662648	0.9440868	0.87521255	0.77475214	0.84142905	0.79826635	0.7957963	0.8019618	0.79559326	0.8134187	0.746466	0.77273613	0.6894673	0.8052444	0.7994811	0.7304785	0.8192517	0.8076065	0.7876259	0.7830613	0.7158364	0.76729894	0.77347755	0.6386636	0.77944124	0.64856267	0.89185166	0.94734097	0.77989393	0.8126607	0.7853504	0.9273477	0.79974496	0.8911706	0.7182797	0.789428	0.7895807	0.83420384	0.64026284	0.7720598	0.77193034	0.82275283	0.8138528	0.7612791	0.8274079	0.6941197	0.8952926	0.83602095	0.85228753	0.9031509	0.86350363	0.68527657	0.7692763	0.8667681	0.71419346	0.7463614	0.7924591	0.7820465	0.75515175
draai/noun	0.9132156	0.94454545	0.9537981	0.95719016	0.92452	0.92374897	0.88337725	0.8788626	0.9232929	0.90349615	0.88253343	0.93202525	0.9348184	0.88423395	0.8235017	0.8756111	0.87940943	0.8845302	0.927933	0.8571402	0.92257553	0.89091665	0.8606167	0.890473	0.9146982	0.84143865	0.8822007	0.88139176	0.9090259	0.9104391	0.9133018	0.90850055	0.8686894	0.8465442	0.0	0.9623228	0.894898	0.8699724	0.82041	0.8700046	0.8545084	0.8229257	0.8593536	0.86711335	0.9028276	0.86310303	0.8696737	0.90687823	0.89344174	0.8970334	0.9084822	0.84821314	0.8767027	0.8437605	0.8837447	0.8804475	0.8839496	0.868865	0.8952484	0.92541224	0.8657647	0.9077461	0.8323035	0.88310045	0.8559379	0.83590925	0.88477445	0.8834735	0.8210759	0.89104956	0.9002392	0.8530657	0.9407634	0.9492794	0.906881	0.8960112	0.9025704	0.89595544	0.85361785	0.8901956	0.84205914	0.8853087	0.9085455	0.8668709	0.8552908	0.8922336	0.8529803	0.8393211	0.9218942	0.8787666	0.9023224	0.87957025	0.85218227	0.87581253	0.8982105	0.82669675	0.9128707	0.8191577	0.9440581	0.9662056	0.84890574	0.8629127	0.8942826	0.94155574	0.87902963	0.89074725	0.8365729	0.856413	0.8674595	0.8889196	0.839256	0.8851033	0.88326496	0.89555967	0.8742206	0.8611547	0.92401874	0.8286795	0.91709244	0.8748081	0.9288597	0.9205217	0.921547	0.7914134	0.85783976	0.8917968	0.83624935	0.8666208	0.8490314	0.88159215	0.83197415
duivel_DIM/noun	0.95329815	0.9771178	0.94339764	0.9811526	0.95235384	0.96295536	0.9612272	0.95128566	0.94811344	0.9259533	0.9810723	0.9390872	0.9781648	0.9574049	0.9227769	0.9589107	0.9537458	0.9813797	0.9302534	0.9464262	0.97856617	0.94531363	0.9523335	0.96611995	0.97228056	0.9554527	0.954197	0.9730154	0.9533449	0.9330028	0.96398944	0.9489462	0.9352528	0.9532598	0.9623228	0.0	0.94820523	0.96183825	0.91481525	0.96509373	0.9386558	0.94007134	0.9351295	0.92368174	0.94324267	0.9459513	0.97424203	0.9616402	0.94921386	0.9423593	0.9452869	0.9479623	0.94108236	0.9442347	0.9729968	0.9155269	0.9464065	0.9403478	0.9436273	0.94058096	0.9423095	0.94433224	0.93503124	0.9251198	0.9577738	0.9302961	0.94606024	0.92472076	0.9468724	0.96351385	0.9292433	0.9367268	0.9569732	0.97827154	0.9631158	0.94727516	0.9518167	0.9422939	0.91645944	0.950401	0.96423984	0.94066083	0.96979594	0.92579114	0.949152	0.93843883	0.9495328	0.9334267	0.9092751	0.9343243	0.9754652	0.9508197	0.9403856	0.940612	0.9637256	0.91310483	0.9084633	0.9263741	0.91231	0.9508065	0.96722233	0.9219999	0.9511919	0.9576608	0.9454396	0.9505646	0.93713903	0.9505731	0.9597472	0.9620202	0.9263347	0.96010923	0.96370673	0.94103754	0.9492452	0.9484783	0.95332146	0.9206351	0.9810276	0.9579295	0.9581573	0.9390367	0.93452936	0.9427107	0.93537986	0.92249817	0.95191884	0.94433314	0.9330594	0.949611	0.9449936
echt/adj	0.92755055	0.96207356	0.9306425	0.9472351	0.8406825	0.9069572	0.8396665	0.75659454	0.8410382	0.85477203	0.8342406	0.90532887	0.87406015	0.8387045	0.8106819	0.7184187	0.8399103	0.876855	0.86219853	0.73441166	0.9368775	0.8323337	0.7850829	0.84886444	0.90549964	0.7707222	0.86993295	0.9320519	0.86655265	0.9005726	0.7161473	0.8430654	0.7977481	0.81341815	0.894898	0.94820523	0.0	0.8411873	0.7328311	0.6449679	0.72298527	0.72388047	0.78073215	0.8517835	0.78486514	0.86446595	0.7152405	0.8806864	0.85412735	0.72457147	0.72021663	0.82318324	0.75404644	0.6995672	0.76526934	0.7462692	0.69850814	0.86356014	0.86886144	0.86623716	0.85033506	0.84048164	0.7725749	0.82808405	0.7419318	0.796164	0.7790187	0.82293713	0.7464404	0.8756624	0.8715605	0.7534723	0.92327017	0.91348374	0.8912966	0.8685674	0.8124374	0.7258904	0.8585279	0.8100184	0.8164096	0.7155272	0.84757507	0.82003725	0.8552274	0.8850311	0.82333755	0.8335388	0.8324487	0.86475587	0.83671635	0.837991	0.8246893	0.8467634	0.84123015	0.7789701	0.8746924	0.6923085	0.95558333	0.9354254	0.8264418	0.617641	0.8502004	0.95850253	0.9122271	0.92692924	0.756135	0.8397616	0.873291	0.7492393	0.743506	0.89137375	0.88765186	0.825773	0.8552951	0.7509439	0.90272254	0.77989674	0.8481583	0.8198078	0.73133767	0.88759345	0.9035226	0.7785973	0.8430455	0.71747375	0.7413701	0.70624304	0.72530407	0.7187849	0.6615459
effect/noun	0.9616364	0.96991116	0.98825616	0.9650298	0.9097586	0.822408	0.884688	0.82302505	0.8731557	0.8877341	0.83839417	0.9113317	0.9150174	0.7469479	0.7531496	0.7603868	0.8356999	0.7886096	0.9276941	0.78506476	0.96394724	0.87449825	0.78233707	0.9137606	0.9241791	0.69901085	0.8524936	0.90567565	0.8805907	0.9591871	0.80219007	0.91968304	0.7917065	0.81478536	0.8699724	0.96183825	0.8411873	0.0	0.6943271	0.78418314	0.8560942	0.7716913	0.8169704	0.86874574	0.9050689	0.8527193	0.8147604	0.9059577	0.9116678	0.8218988	0.8629983	0.8286705	0.8384931	0.83481395	0.857678	0.89482623	0.774477	0.92586076	0.91709286	0.9654098	0.88775754	0.90877724	0.7800927	0.8361339	0.7094989	0.8127121	0.8203965	0.91086775	0.77189946	0.88061386	0.8948267	0.71503115	0.903478	0.9490831	0.8003008	0.9083288	0.80365163	0.8372874	0.89453626	0.8486579	0.8998319	0.77838117	0.8307617	0.7962358	0.83225626	0.9019518	0.83867526	0.85882014	0.9240485	0.9074772	0.76585287	0.8115351	0.8525228	0.9025667	0.90605795	0.8048966	0.9202975	0.7215102	0.9481807	0.94967383	0.834097	0.8489221	0.90680414	0.9533989	0.9244502	0.8646569	0.7157506	0.8016736	0.81993276	0.7907334	0.815669	0.90278286	0.8481769	0.8127065	0.81574655	0.70464915	0.8481757	0.80813605	0.7476398	0.8717432	0.8740152	0.89801073	0.92595416	0.7533239	0.85569024	0.8714824	0.73892605	0.792148	0.7534225	0.7974495	0.7946919
en/vg	0.8981506	0.94425166	0.9336607	0.92654073	0.834732	0.84300005	0.8147497	0.6166295	0.7988789	0.771199	0.7993894	0.8373446	0.8064905	0.6877923	0.614077	0.6547617	0.7290608	0.7580237	0.8484185	0.6059365	0.8636713	0.71054024	0.67769694	0.8112441	0.82339793	0.5159436	0.7523592	0.8092425	0.79160684	0.8933455	0.85312593	0.80705476	0.70111096	0.68676424	0.82041	0.91481525	0.7328311	0.6943271	0.0	0.67119455	0.6831918	0.59665126	0.7202797	0.75333303	0.6826807	0.7133378	0.68304884	0.789605	0.81534326	0.6830064	0.65150046	0.62659633	0.6878536	0.6780646	0.60254085	0.6997647	0.70190626	0.8192882	0.77950454	0.8742858	0.70097864	0.6406947	0.66684896	0.6176473	0.647168	0.60987043	0.80442	0.7981814	0.6334823	0.7932838	0.78383625	0.33109415	0.84913975	0.87412775	0.6604945	0.82754993	0.71489465	0.693605	0.7797189	0.7330665	0.7386383	0.6224491	0.7759075	0.6019869	0.7196965	0.77613753	0.6720046	0.6688169	0.7685185	0.7692264	0.79075825	0.73621047	0.73387074	0.7997353	0.8285818	0.68087566	0.83055186	0.5250491	0.91482	0.9083679	0.5891596	0.80579084	0.80620503	0.90440166	0.8356542	0.86659646	0.57212555	0.68135816	0.6828017	0.6306809	0.6993339	0.7675005	0.78061783	0.76300114	0.7232976	0.5027789	0.7507462	0.67976326	0.82632655	0.7594111	0.85219824	0.84631544	0.81484437	0.61841667	0.66848147	0.63421607	0.6218845	0.64019215	0.5550735	0.69365424	0.69427526
erg/adj	0.9320561	0.9373249	0.9580136	0.9667874	0.9128736	0.8684511	0.82350427	0.7589571	0.8908326	0.81973803	0.78810596	0.90020454	0.8589852	0.8182032	0.73595285	0.5944694	0.7833648	0.85105276	0.8940436	0.47175717	0.9030398	0.8144568	0.55699694	0.8445601	0.8789229	0.7419914	0.8009662	0.88406175	0.8552631	0.91495246	0.74709755	0.8452976	0.7886903	0.76148814	0.8700046	0.96509373	0.6449679	0.78418314	0.67119455	0.0	0.6661155	0.5686135	0.7873865	0.8434535	0.8143943	0.8063452	0.5954434	0.853508	0.83184576	0.8054152	0.816163	0.74146163	0.6444313	0.44202465	0.8007618	0.7781464	0.6057952	0.87395483	0.8647272	0.90472305	0.8309996	0.80274063	0.6493573	0.8121572	0.4906444	0.79705894	0.8062165	0.8893882	0.5063907	0.84118193	0.85843766	0.76806855	0.8886715	0.9177468	0.87657034	0.8615539	0.8241856	0.6860119	0.8813652	0.7654097	0.8586834	0.6976763	0.7807681	0.72391355	0.77091277	0.8863339	0.8085954	0.7811829	0.83184266	0.85899043	0.7390773	0.8363409	0.7868071	0.83913463	0.8568816	0.76680666	0.90540224	0.56243396	0.9417013	0.9379718	0.7349109	0.6438416	0.8825973	0.9487254	0.8509221	0.8894086	0.63058436	0.7918464	0.84782404	0.6533796	0.73859495	0.8704161	0.82241064	0.8141491	0.845036	0.63947916	0.8732964	0.7651105	0.8250003	0.79289347	0.8062744	0.8820597	0.8372075	0.6662228	0.78675914	0.7375305	0.31062454	0.70035774	0.71288145	0.49978817	0.43459463
even/adj	0.9263268	0.9286629	0.9647857	0.9507022	0.89250857	0.85212314	0.8837454	0.5624122	0.87756854	0.82158756	0.7911817	0.8779024	0.88427	0.88166434	0.77335304	0.7328778	0.8281706	0.8967125	0.9118483	0.7471428	0.9276392	0.8444778	0.76473457	0.87958133	0.87581265	0.82070327	0.8148135	0.9132284	0.8599557	0.91892546	0.80323505	0.85953337	0.8057213	0.84173596	0.8545084	0.9386558	0.72298527	0.8560942	0.6831918	0.6661155	0.0	0.56653625	0.8418835	0.8515107	0.7143897	0.79367006	0.7006997	0.8308684	0.8408042	0.7750999	0.699913	0.7120005	0.7114446	0.6727135	0.71085787	0.6026251	0.68923056	0.88292426	0.86577463	0.92205375	0.8300592	0.74567664	0.7746143	0.85850585	0.72971183	0.8657534	0.6987222	0.8928003	0.69790125	0.8658946	0.8883188	0.7537074	0.95090175	0.88265496	0.90455115	0.87170565	0.8564293	0.7258951	0.8609241	0.8261399	0.8263427	0.7947968	0.816113	0.7802934	0.8035544	0.8778638	0.7975711	0.8254586	0.7852131	0.8869452	0.823276	0.8723878	0.8489051	0.89500695	0.8783117	0.7579973	0.8768733	0.58424485	0.9465296	0.93076175	0.7881006	0.6338184	0.8884888	0.94925296	0.884472	0.8964215	0.7123333	0.84174305	0.88770276	0.76996905	0.7861044	0.85301405	0.84383744	0.82358074	0.86278546	0.81623936	0.8841713	0.7836409	0.8645241	0.8161566	0.8405453	0.91294134	0.875002	0.7526978	0.7995972	0.5673343	0.71848243	0.71185887	0.6883483	0.7185292	0.6147485
even/adv	0.91203886	0.932195	0.94182444	0.9251033	0.8374324	0.8355949	0.76290345	0.6981702	0.82955	0.76625824	0.7550744	0.8457868	0.8588812	0.80568206	0.646953	0.6675546	0.72024894	0.84438926	0.8798478	0.6064074	0.9326351	0.76820374	0.6073905	0.83740735	0.8633796	0.70107055	0.7648767	0.86871374	0.8101034	0.8581866	0.8118711	0.7846656	0.74549866	0.7133872	0.8229257	0.94007134	0.72388047	0.7716913	0.59665126	0.5686135	0.56653625	0.0	0.7145419	0.7972817	0.75797606	0.7430072	0.62152874	0.834468	0.85558766	0.7676623	0.8229953	0.6815973	0.70882165	0.64139515	0.7266483	0.7472491	0.6331855	0.8383643	0.8023795	0.87266266	0.76201457	0.7079724	0.6462829	0.7428508	0.58724356	0.7457099	0.73551625	0.8210508	0.5774319	0.7820373	0.8279691	0.7207168	0.90362346	0.8971764	0.8365127	0.8086108	0.7811144	0.694683	0.8001413	0.7635697	0.7845216	0.7854413	0.75348276	0.70684457	0.712599	0.83221817	0.72867614	0.6923888	0.78408784	0.8169544	0.7467073	0.7964713	0.7203259	0.7912698	0.82332885	0.6593281	0.853796	0.5336559	0.89946866	0.89699924	0.7146567	0.7450856	0.82736665	0.94379556	0.8223885	0.8916058	0.6441247	0.7364582	0.8073453	0.7658371	0.6689385	0.8219668	0.7640877	0.7923973	0.7928099	0.7217996	0.851742	0.69557256	0.84803075	0.7640093	0.8598659	0.8534584	0.85391235	0.57931733	0.71384954	0.74797004	0.55220133	0.6758634	0.63801837	0.6051656	0.5459088
film/noun	0.8663887	0.97216856	0.9104675	0.9000139	0.5676379	0.8788808	0.60518163	0.8086917	0.62069416	0.736519	0.8714351	0.8003818	0.8823199	0.7897535	0.584029	0.7830318	0.7270217	0.8244188	0.7353663	0.73631763	0.93226105	0.57228905	0.76571226	0.73130524	0.83427227	0.76860315	0.7850961	0.86626816	0.85702634	0.9091943	0.86948746	0.680447	0.7250107	0.68875825	0.8593536	0.9351295	0.78073215	0.8169704	0.7202797	0.7873865	0.8418835	0.7145419	0.0	0.5992398	0.82889026	0.67548025	0.8055322	0.84564334	0.90567553	0.78015846	0.8867143	0.7951817	0.7923726	0.801445	0.7870257	0.87556446	0.8021545	0.8273289	0.8225798	0.8527458	0.7051761	0.87944454	0.75145864	0.7339071	0.7857664	0.70925295	0.8082578	0.56535304	0.7123098	0.7912423	0.8436561	0.78016436	0.92002773	0.9457047	0.8175021	0.8030449	0.8187908	0.7999326	0.79490757	0.78870517	0.813693	0.7922159	0.8329285	0.7764597	0.7049047	0.7394615	0.6729038	0.5817507	0.81910795	0.7889065	0.88160896	0.7684009	0.50901437	0.6836352	0.6751937	0.53391826	0.77418995	0.6889648	0.76558167	0.94699144	0.72029895	0.83043647	0.60166484	0.862123	0.8355646	0.9415145	0.7388544	0.75732446	0.80492353	0.83059764	0.53649485	0.82680976	0.7220427	0.7769166	0.7814959	0.7470732	0.8495362	0.52391267	0.90445226	0.8190708	0.85703784	0.86066836	0.8220894	0.6983943	0.77402085	0.87650067	0.7559855	0.75015736	0.7835911	0.7797884	0.76032424
film_DIM/noun	0.8740108	0.9583266	0.9399663	0.95032483	0.80437195	0.89260525	0.7859256	0.8041635	0.75581574	0.7804755	0.88709825	0.8594891	0.91298676	0.8004045	0.6557703	0.8472625	0.78744453	0.8895834	0.8493413	0.8051866	0.910303	0.75305784	0.8344389	0.8323562	0.8527924	0.82845855	0.8175697	0.9096101	0.90695137	0.9412607	0.87258804	0.83565974	0.7799669	0.79030806	0.86711335	0.92368174	0.8517835	0.86874574	0.75333303	0.8434535	0.8515107	0.7972817	0.5992398	0.0	0.8336052	0.75213295	0.835742	0.8496673	0.8897909	0.85111195	0.83548725	0.81208766	0.82934284	0.80550766	0.8277803	0.88559616	0.8237218	0.86181796	0.8787112	0.9039319	0.810422	0.88248587	0.81650686	0.84517545	0.8467536	0.78652346	0.87420565	0.76394796	0.79223824	0.85381675	0.8967179	0.79431534	0.9316328	0.94889253	0.8629434	0.8517615	0.8892844	0.8556868	0.83229965	0.8638989	0.85286915	0.8190371	0.85556376	0.7941694	0.7986741	0.7956396	0.78018725	0.7475571	0.8263974	0.82984823	0.8812614	0.8832	0.770085	0.83896625	0.8070964	0.67788804	0.7615115	0.75045687	0.90969056	0.9281104	0.80864215	0.8636894	0.7915423	0.852614	0.8966729	0.9221489	0.78286576	0.85077703	0.84415627	0.87797546	0.7157242	0.8763282	0.8003784	0.84842354	0.8178599	0.8199489	0.8774428	0.7059562	0.94805735	0.85140324	0.89332193	0.8897528	0.8149489	0.807443	0.8195433	0.8507097	0.81360096	0.80249	0.8095058	0.8486085	0.81230515
