	1930/noun	Albanees/noun	Amerikaans/adj	Brits/adj	Europees/adj	LPF_minister/noun	Londens/adj	Vlaams/adj	aanvankelijk/adj	accijns/noun	administratie/noun	afkomst/noun	afkomstig/adj	alleenstaand/adj	arm/adj	arm/noun	beeld_DIM/noun	been/noun	behaal/verb	belasting/noun	bestuur_kamer/noun	binnenlands/adj	blik_DIM/noun	boer_DIM/noun	borst/noun	bovendien/adv	box/noun	college_geld/noun	daarna/adv	dan/adv	dankbaar/adj	deelstaat/noun	dringend/adj	dwingend/adj	echter/adv	eerst/adj	en/noun	enkel/adv	entree/noun	ere_burger/noun	euro/noun	even/adj	even/adv	eventueel/adj	extra/adj	feestganger/noun	fiets_rek/noun	financieel/adj	fiscus/noun	fles_DIM/noun	flink/adj	frank/noun	ga/verb	gebruik/noun	gehuld/adj	gemeente/noun	gewicht/noun	gewoon/adj	glas/noun	glas_DIM/noun	gouden/adj	grif/adj	groen/adj	hak/noun	hal/noun	hamer/noun	hand/adv	hand/noun	handpalm/noun	heer/noun	hemel/noun	her_stelling_werk/noun	het/adj	honderd/adj	hoofd/noun	hoog/adj	hoopvol/adj	huize/noun	hulpeloos/adj	immers/adv	ingevoerd/adj	inkomst_belasting/noun	inmiddels/adv	invoer_recht/noun	kan/verb	keer/noun	kerosine/noun	kerst_pakket/noun	kersvers/adj	kijk-/noun	koers_winst/noun	kop_positie/noun	land/noun	landelijk/adj	langzaam/adj	lidstaat/noun	liter/noun	lokaal/adj	loon_belasting/noun	luistergeld/noun	maandag_avond/noun	mag/verb	meen/verb	meer/adj	meest/adj	miniem/adj	ministerie/noun	moet/verb	mogelijkheid/noun	nergens/adv	netjes/adj	nieuw/adj	nu/adv	ogenblik/noun	omhoog/adv	omroepbijdrage/noun	onroerend_zaak_belasting/noun	ontbreek/adj	ook/adv	overgekomen/adj	overheid/noun	overlast/noun	overschrijding/noun	overweeg/verb	parkeer_plaats/noun	particulier/noun	pensioen_premie/noun	poot/noun	premie/noun	prinses/noun	procent/adj	procent/noun	product/noun	promotie/noun	provincie/noun	pub/noun	regering/noun	rekening/noun	rekeningrijden/noun	rente/noun	roerend/adj	sanctie/noun	schoen/noun	schouder/noun	sigaret/noun	smaak/noun	soort/noun	spaar_geld/noun	sport_wereld/noun	staal/noun	staat/noun	stad/noun	statie_geld/noun	steenkool/noun	stijg/verb	stroom/noun	stuk_DIM/noun	successie_recht/noun	taks/noun	taksen/noun	tarief/noun	te/adv	teatraal/adj	teelt/noun	tegelijk/adj	tel/noun	tentoonstelling/noun	toch/adv	toegang/noun	toegang_prijs/noun	toekomst/noun	toelage/noun	toeslag/noun	tol/noun	triomfantelijk/adj	troon/noun	verlaag/verb	vermaan/adj	vermogen/noun	verondersteld/adj	verschil/adj	verzekerd/adj	vinger/noun	vinger_DIM/noun	vlees/noun	vlucht/noun	voorheffing/noun	voortaan/adv	voortreffelijk/adj	voorwaarde/noun	vorm/noun	vriendschap/noun	vrijwel/adv	waarschuw/verb	weg/noun	wil/verb	word/verb	zal/verb	zelf/adv	zenuwachtig/adj	zondag_middag/noun	zwaar/adj
bovendien/adv	0.96835566	0.9613732	0.8641418	0.8652553	0.8245446	1.0	0.92444587	0.8199858	0.8333647	0.9702288	0.91031355	0.93997455	0.851867	0.8814175	0.894181	0.9080821	0.97496843	0.9250533	0.8246607	0.8769638	0.98841196	0.8993731	0.95525956	0.9936366	0.95153165	0.0	0.9536014	0.95473176	0.88554734	0.915399	0.9431319	0.94720066	0.8667189	0.95183057	0.7664378	0.8754909	0.9233909	0.8565608	0.93295646	0.98256385	0.79940474	0.8607157	0.9031937	0.84787184	0.8026092	0.97266734	0.99306434	0.79083014	0.9495247	0.96206975	0.8313812	0.80631673	0.841627	0.8619394	0.9831615	0.82824814	0.9257955	0.82054335	0.9362503	0.98408467	0.8986107	0.9740598	0.87794435	0.99071723	0.94364923	0.97415245	0.9980208	0.8008466	0.97263396	0.8886986	0.9713551	0.96740544	0.8481255	0.9640203	0.8621596	0.843521	0.9416306	0.96488357	0.9934753	0.7896152	0.952128	0.95308495	0.8079683	0.9770828	0.85735995	0.8522645	0.97119606	0.98992354	0.9366538	0.999019	0.9274142	0.97219044	0.8754019	0.89333016	0.9319481	0.93791854	0.868999	0.873276	0.96329707	0.99991107	0.93481404	0.7883383	0.7842633	0.79387766	0.85328305	0.94184077	0.8820509	0.83134055	0.8456976	0.94992393	0.9431427	0.7957717	0.7440034	0.8637004	0.8597604	1.0	0.96170723	0.9841969	0.81228685	0.9899024	0.8045341	0.9391795	0.9819535	0.83992475	0.92446303	0.9101174	0.975881	0.91924417	0.8387767	0.9522699	0.8942556	0.82580656	0.86224306	0.9418058	0.83964777	0.95671785	0.85064715	0.7750484	0.9735364	0.8914436	0.9696856	0.9562053	0.9458299	0.89888734	0.92228913	0.9470591	0.87685204	0.93029356	0.9843472	0.93667465	0.8468032	0.85708123	0.9939261	0.9657507	0.79236305	0.9038173	0.89839417	0.9774512	0.95585597	0.98017603	0.88318443	0.9049361	0.96161985	0.93437946	0.86197525	0.9578297	0.925771	0.8572744	0.90242326	0.9482923	0.79641235	0.88114774	0.94378865	0.9366381	0.95308226	0.96532965	0.8640557	0.98435867	0.8671709	0.94990784	0.7897156	0.9317775	0.93956435	0.9745125	0.95819235	0.8705793	0.9342696	0.8569792	0.975161	0.8677784	0.8902602	0.95441604	0.88336843	0.8238231	0.8627619	0.73815703	0.911868	0.7695316	0.8077047	0.9721724	0.94059	0.8463696
box/noun	0.9668722	0.9378857	0.9568671	0.9333894	0.96254444	0.9929839	0.9544666	0.95973116	0.93783635	0.95112914	0.96171623	0.9688379	0.94473165	0.9216168	0.9635753	0.9835753	0.9306854	0.96887064	0.9115292	0.88703024	0.98701155	0.97435147	0.9627575	0.9813731	0.94242394	0.9536014	0.0	0.9468232	0.9282085	0.9538243	0.9931654	0.95521426	0.94950044	0.9663563	0.9797594	0.94826007	0.9592462	0.95576674	0.93525463	0.97748536	0.8602301	0.9729699	0.95846254	0.9537039	0.8585293	0.93784606	0.99260396	0.9723632	0.90257865	0.9482907	0.94582736	0.86364126	0.96249187	0.9543502	0.99027634	0.9236273	0.93264574	0.9620788	0.95101404	0.98817587	0.92170566	0.9760459	0.9506814	0.99051744	0.9502042	0.9310904	0.9878663	0.9612943	0.9199608	0.9529267	0.9755717	0.9687718	0.9597302	0.987246	0.9679063	0.9372041	0.9737549	0.96324086	0.95621336	0.95626587	0.96493447	0.8796914	0.92250675	0.953214	0.9372312	0.92576563	0.9378963	0.95252675	0.96646976	0.9337289	0.9502342	0.9671515	0.9526261	0.9418247	0.9599006	0.9849971	0.8582523	0.96666557	0.96430135	0.9561234	0.9630782	0.94522136	0.963634	0.8763507	0.9757352	0.9582987	0.98072606	0.93425167	0.9550765	0.94828594	0.9858224	0.9605334	0.9285252	0.95181006	0.93056566	0.9597535	0.9829272	0.96740115	0.9486793	0.9830446	0.93875015	0.96279347	0.9355608	0.9488338	0.91575515	0.952067	0.9476761	0.9619782	0.88452256	0.99317133	0.9310043	0.91311985	0.92522293	0.9886136	0.940699	0.9205119	0.9760095	0.91161835	0.96163744	0.95366454	0.96121144	0.9641933	0.93478805	0.97353935	0.93165505	0.9571626	0.9367001	0.92259127	0.9786441	0.9216936	0.96822506	0.948985	0.9452792	0.95168114	0.895571	0.9173556	0.95494723	0.9529931	0.95922416	0.96304697	0.91873616	0.97948974	0.9763849	0.98483276	0.9619119	0.95933306	0.94605315	0.983324	0.94085217	0.9212419	0.9763629	0.89341295	0.8943896	0.9607279	0.96761245	0.9857819	0.9003536	0.9977956	0.89070743	0.96129715	0.9333319	0.9172114	0.9357188	0.99688864	0.97142816	0.9314567	0.9606222	0.92551374	0.9830293	0.9589982	0.94499993	0.97764885	0.96436375	0.97327036	0.95344853	0.9852692	0.95766276	0.95534843	0.9792518	0.9665779	0.95072466	0.9731751
college_geld/noun	0.9907726	0.87029064	0.9819459	0.95482147	0.97412574	1.0	0.97944444	0.97228384	0.955369	0.9786598	0.996599	0.99370056	0.94157165	0.90472126	0.97080904	0.9797923	0.9245183	0.9888241	0.9634624	0.90638685	0.9946085	0.98424315	0.9488796	0.98865765	0.99961203	0.95473176	0.9468232	0.0	0.9895519	0.99349177	0.9955458	0.97203016	0.9903396	0.99947584	0.97207344	0.99119174	0.9805541	0.99474543	0.9719402	0.99161536	0.8536575	0.97921526	0.9844209	0.95713985	0.83355904	0.80865127	0.9861714	0.973462	0.960299	0.9157826	0.97789794	0.8347224	0.965336	0.9849568	0.9964728	0.927871	0.90785074	0.98511225	0.9748996	0.96783686	0.954768	0.9497215	0.98759234	0.9970736	0.91395086	0.9686897	0.99372387	0.9902438	1.0	0.9754502	0.9878346	0.9893381	0.99920225	0.94601846	0.9815203	0.9708245	0.9894755	0.9698836	0.996259	0.98861146	0.9770373	0.91403407	0.8800587	0.9774927	0.9744625	0.9515227	0.960396	0.8685374	0.95626664	0.93767494	0.9859625	0.98406345	0.92428315	0.93108225	0.9970575	0.97338974	0.83146536	0.97873336	0.98976624	0.956528	0.9772191	0.99649805	0.99172366	0.85668147	0.98414135	0.96880203	0.96528894	0.94536793	0.99118215	0.9928575	0.9749743	0.9564119	0.90450513	0.9555594	0.94267106	0.97195077	0.99901277	0.9780452	0.9990076	0.99495393	0.99897355	0.9940573	0.9471825	0.9604486	0.8455729	0.92038196	0.94491553	0.9985983	0.8693446	0.97429764	0.97138464	0.96153456	0.9707808	0.9651898	0.95876586	0.90184486	0.9719384	0.8945137	0.98299736	0.93293196	0.9842385	0.995819	0.9592886	1.0	0.90860707	0.9994448	0.96907246	0.8992403	0.9876847	0.8980248	0.9972984	0.95682883	0.9877217	0.9734552	0.91775227	0.929473	0.97359955	0.940006	0.9433933	0.9714798	0.96798784	0.9977025	0.99779403	0.99654824	0.98086	0.9490514	0.9887634	1.0	0.94496787	0.92651147	0.9959675	0.8454207	0.93658984	0.99465936	0.9911708	0.98085797	0.9219643	1.0	0.8917119	0.9801876	0.9477407	0.9273551	0.98841345	0.9722881	0.96488494	0.8977177	0.8269923	0.9567508	0.98392165	0.9671042	0.99963117	0.9960458	0.9694529	0.98954237	0.9919875	0.9842338	0.9748053	0.963691	0.9942616	0.99808294	0.9766403	0.985048
daarna/adv	0.96356547	0.9651271	0.90033877	0.9101628	0.90001094	0.9991751	0.93503046	0.901346	0.866497	0.9755133	0.9278518	0.9273485	0.88331014	0.9473538	0.89908886	0.9265174	0.9597766	0.8992518	0.83545154	0.9148055	0.9819539	0.9544176	0.96579325	0.97871625	0.9531762	0.88554734	0.9282085	0.9895519	0.0	0.8788072	0.9288283	0.9438681	0.93812287	0.96597916	0.8498274	0.8729467	0.9458288	0.847635	0.94313407	0.9739503	0.89927524	0.8320517	0.86275136	0.91601837	0.89531213	0.98640573	0.9984785	0.92665195	0.96097136	0.95245254	0.86367226	0.9073915	0.8596619	0.9464803	0.9742577	0.87832147	0.93836194	0.8936857	0.91580415	0.97582835	0.87367696	0.95231926	0.87973297	0.9719481	0.9410177	0.9706283	0.976661	0.86822546	0.9982534	0.8761127	0.9454334	0.9537696	0.8629495	0.9792345	0.8689932	0.9189918	0.95079833	0.95680106	0.9790023	0.8405268	0.9763244	0.9740417	0.8694155	0.99974144	0.8846364	0.83440316	0.9993753	0.993994	0.90815353	0.9903203	0.9567654	0.92076653	0.92254215	0.9245973	0.91742456	0.94260585	0.9141224	0.91679275	0.9698336	0.98685706	0.91971105	0.85152584	0.8770698	0.9318126	0.8905551	0.90317273	0.9387362	0.9058826	0.8786592	0.9344715	0.9357959	0.8674923	0.9060756	0.90464354	0.9233845	0.9931336	0.9819107	0.99011505	0.9067668	0.94096667	0.9234574	0.95458996	0.9722437	0.903506	0.9476777	0.96608275	0.9955856	0.96011984	0.95827246	0.93126893	0.9238804	0.93855107	0.9124142	0.9207978	0.90290856	0.98268974	0.9280956	0.88135743	0.998509	0.95201766	0.9744427	0.9560027	0.92270935	0.90561914	0.95401454	0.92652	0.8975679	0.9902172	0.9862588	0.94357634	0.91429216	0.9080365	0.9961952	0.98194677	0.90419227	0.9645788	0.897135	0.99064523	0.96789414	0.9860292	0.9533343	0.87186027	0.9464178	0.9640703	0.9443609	0.94455475	0.89051783	0.87967026	0.89672804	0.9453694	0.87611675	0.9653541	0.9718002	0.97125256	0.9562275	0.94544786	0.93535876	0.99741757	0.93185735	0.9799014	0.8680519	0.9400531	0.91732997	0.98541486	0.9317225	0.89065754	0.9452399	0.8736688	0.92902946	0.9184901	0.89867866	0.9219568	0.9083904	0.8921779	0.8638993	0.9028385	0.89373064	0.90554804	0.88289607	0.95496446	0.90819764	0.8578931
dan/adv	1.0	0.954159	0.9768594	0.97204685	0.9174856	1.0	0.975809	0.93202037	0.9446366	0.96419597	0.9766965	0.9910646	0.969039	0.96102864	0.936613	0.94771475	0.9768737	0.9202317	0.958987	0.9301328	0.9653468	0.9443913	0.9633485	0.99261767	0.91121596	0.915399	0.9538243	0.99349177	0.8788072	0.0	0.96819776	0.9907277	0.94611263	0.986341	0.86188	0.94359976	0.9821922	0.9143927	0.9730648	1.0	0.9638344	0.8353516	0.9429509	0.88877505	0.9161738	0.975925	1.0	0.9601299	0.96257645	0.97327626	0.92334676	0.9659644	0.8303594	0.9712455	0.98944116	0.94627106	0.9827681	0.8757379	0.9610262	0.9880522	0.9333305	0.9702845	0.9254348	0.97592086	0.9668055	0.9676728	0.99526364	0.91949064	0.9923532	0.92912006	0.95819336	0.9615791	0.92275155	0.9895911	0.94550747	0.9373196	0.9826839	0.96024823	0.96700054	0.8680682	0.97523165	0.95750153	0.96321553	0.9689746	0.72388804	0.9211189	0.9729306	0.9556993	0.9762094	0.983941	0.99548286	0.96252096	0.957777	0.9635891	0.944064	0.91240555	0.97265214	0.9591306	0.9484992	0.98272467	0.9668281	0.7759275	0.92803574	0.9409643	0.90201896	0.98941994	0.9646717	0.6908319	0.91298085	0.9464066	0.96910167	0.9242907	0.84567136	0.968953	0.94830656	0.9739812	0.9901947	0.9771237	0.85752773	0.99572843	0.9076942	0.9578042	0.9978836	0.94750327	0.99061793	0.95280075	0.9656097	0.93831915	0.9308636	0.98289174	0.9413235	0.948502	0.92468387	0.96019804	0.9524061	0.9864684	0.94733036	0.92481315	0.98001146	0.95394796	0.9612055	0.9861977	0.934366	0.965793	0.927265	0.9634664	0.8931929	0.9695711	0.9808197	0.9647487	0.9510147	0.9395509	1.0	1.0	0.94865966	0.9518818	0.93691	0.958196	0.9854531	0.99148625	0.9490886	0.90348744	0.9668196	0.97515744	0.9422497	0.98394084	0.9563866	0.6129062	0.9624254	0.9795197	0.9134007	0.9718374	0.95001036	0.9606963	0.9871855	0.9794085	0.9422505	1.0	0.9772617	0.9969148	0.9365672	0.97014207	0.9252773	1.0	0.9149469	0.9700292	0.9648913	0.91989875	0.98410654	0.9059292	0.95414877	0.99231076	0.9016967	0.9429935	0.92606527	0.84754354	0.9309261	0.7421223	0.9198844	0.9635785	0.9760088	0.9436173
dankbaar/adj	0.96225554	0.94162506	0.9257925	0.92254514	0.95414406	0.9929503	0.9285954	0.9592745	0.91508806	0.96680975	0.9615224	0.9506189	0.911857	0.9455786	0.93780637	0.97385556	0.94321203	0.95592123	0.94605154	0.9405276	0.9150142	0.95867366	0.96155965	0.99581456	0.91476077	0.9431319	0.9931654	0.9955458	0.9288283	0.96819776	0.0	0.97778404	0.9488384	0.99148816	0.89232355	0.95888364	0.9850247	0.9322524	0.9567207	0.97938883	0.97159976	0.92931867	0.9322718	0.9259666	0.96560526	0.9936541	0.99546516	0.94368225	0.9886114	0.98290473	0.94306135	0.9665845	0.9512681	0.9161119	0.96563923	0.97890115	0.9517454	0.94771373	0.9726941	0.9992573	0.94291	0.9780671	0.9481993	0.982932	0.9462915	0.9719478	0.97260773	0.92917776	1.0	0.92620736	0.9559117	0.99856234	0.9533725	0.98657995	0.8919835	0.9665877	0.91921914	0.9647324	0.9727973	0.9015824	0.9774353	0.95358783	0.91668755	0.95643884	0.94372916	0.9498254	0.9919825	1.0	0.9443779	1.0	0.9795506	0.9605078	0.95271945	0.9429835	0.98754877	0.98064387	0.9776184	0.9587439	0.95669776	0.9823777	0.9394792	0.924256	0.86834866	0.97506565	0.951257	0.9780036	0.9704597	0.9536632	0.93534756	0.96354175	0.93489933	0.95131224	0.9386063	0.9594709	0.95340514	1.0	0.99850655	0.97962636	0.93748844	0.95593524	0.939788	0.9928802	1.0	0.9506122	0.9665538	0.9752861	1.0	0.97052765	0.9558393	0.95229334	0.9597914	0.9640939	0.9471244	0.9541879	0.96675307	0.98440623	0.9352613	0.95861065	0.98557997	0.985763	0.98687273	0.95063466	0.9365267	0.95030594	0.93794847	0.9555687	0.95763254	0.96611047	0.9671727	0.98628086	0.95666766	0.96544653	1.0	0.9912832	0.9592587	0.99378616	0.98437816	0.956203	0.99950737	0.975439	0.9690342	0.93788946	0.9675782	0.9951977	0.95457935	0.9836754	0.9372904	0.97227645	0.9646186	0.9814873	0.94542295	0.98743653	0.9415198	0.9750644	0.9130249	0.96404505	0.97181636	0.991258	0.9622752	0.9642136	0.96151614	0.96898025	0.9597214	0.95640635	0.9745308	0.96873605	0.99040604	0.95813334	0.9313111	0.97199553	0.90564156	0.96409404	0.931771	0.88332796	0.95691365	0.9317512	0.9597472	0.9530405	0.8956594	0.9427468	0.94251114	0.9484855
deelstaat/noun	0.9474854	0.9237403	0.9301202	0.9019797	0.9561211	1.0	0.94608116	0.9528831	0.9328325	0.98107815	0.95793396	0.9195019	0.83968586	0.9481525	0.8843794	0.9426509	0.9636405	0.97154915	0.8939295	0.9046372	0.9857959	0.9456871	0.98103523	0.99308276	0.96090627	0.94720066	0.95521426	0.97203016	0.9438681	0.9907277	0.97778404	0.0	0.9609041	0.99167985	0.95263565	0.9120246	0.9482648	0.96991146	0.97115564	0.9619426	0.8981346	0.96810806	0.942955	0.95283276	0.9163215	0.97395843	0.9839295	0.9721122	0.94808745	0.9371164	0.9111147	0.89808804	0.93009835	0.976322	0.97932225	0.9245363	0.9182134	0.94190866	0.9685057	0.98362267	0.9487277	0.9445329	0.9174322	0.9746666	0.93686503	0.9645125	0.9622853	0.9483402	0.9202521	0.95346665	0.94493103	0.9909879	0.90989953	0.9922473	0.95837593	0.8857038	0.97704685	0.9726945	0.9913655	0.9406358	0.9748163	0.95105094	0.87326103	0.98754084	0.93516195	0.9500286	0.9672564	0.9976817	0.9362479	0.994995	0.9278622	0.9709794	0.89061666	0.90970016	0.9788051	0.94024056	0.88956267	0.9291296	0.94439006	0.9685542	0.9440701	0.9811216	0.95103395	0.92941886	0.9443881	0.9515871	0.89229846	0.9625191	0.9539919	0.92617834	0.97833836	0.9264232	0.9301976	0.9458759	0.9207208	0.9988639	0.9873293	0.983467	0.97634524	0.9707553	0.89105797	0.9860414	0.9658675	0.9224903	0.9426092	0.96302557	0.96081287	0.96896327	0.92945975	0.9173194	0.943884	0.896888	0.9527512	0.98917985	0.8885795	0.9848146	0.8437319	0.91830426	0.982129	0.9511241	0.9874712	0.95357823	0.94441175	0.95295995	0.9440824	0.9672764	0.96109796	0.9619484	0.97064126	0.9715903	0.8401972	0.86665565	0.9584553	0.9804726	0.9001224	0.9253231	0.9379759	0.9679796	0.9648224	0.9860243	0.9518072	0.98816603	0.98347163	0.9370484	0.94565475	0.95972055	0.95060015	0.9935083	0.9699989	0.96583116	0.939063	0.9424428	0.9562241	0.96480745	0.97357273	0.95159286	0.9298824	0.9921426	0.936093	0.9478545	0.9729241	0.9485571	0.97409576	0.9976874	0.95194566	0.89719313	0.9562137	0.9638468	0.9677883	0.95233846	0.9531371	0.95918876	0.9177312	0.9404933	0.93294144	0.95150423	0.90211004	0.9434013	0.9460333	0.96215343	0.9485269	0.9479985
dringend/adj	0.9614763	0.96524274	0.9398123	0.9153802	0.921649	1.0	0.95483434	0.8629615	0.90701205	0.9761203	0.94664466	0.96409494	0.895499	0.9484531	0.9288269	0.93941015	0.95747983	0.934198	0.89603764	0.93255746	0.9738163	0.9683508	0.9580347	0.99882084	0.95273757	0.8667189	0.94950044	0.9903396	0.93812287	0.94611263	0.9488384	0.9609041	0.0	0.9456189	0.8868423	0.921288	0.956714	0.88589776	0.9624087	0.9724106	0.9331717	0.93943506	0.93379056	0.8958164	0.899213	0.97519547	0.9791917	0.9237842	0.96839404	0.9619801	0.93955207	0.9228436	0.8969373	0.8999449	0.9740881	0.8673808	0.94281435	0.94200426	0.95125765	0.9685841	0.91585046	0.97344184	0.901987	0.9824127	0.92768556	0.972308	0.9646209	0.9008327	0.95693487	0.9102338	0.95362484	0.92265916	0.9319987	0.997029	0.9080596	0.9576913	0.9487494	0.9384211	0.99741215	0.89620775	0.9675362	0.9912261	0.8867077	0.9967853	0.9314206	0.9267269	0.98094404	0.9787022	0.931869	0.9650278	0.9889756	0.98179775	0.9273493	0.9060638	0.9493294	0.9553001	0.9170749	0.8927513	0.9943897	0.96002173	0.86731106	0.9250048	0.8495207	0.92082316	0.9280491	0.9532954	0.9242264	0.9355479	0.9197119	0.9269659	0.96112394	0.8998155	0.9140805	0.92835665	0.9584499	0.9607062	1.0	0.9748723	0.91485023	0.9626726	0.8955738	0.96469647	0.9928295	0.8896153	0.9185863	0.93485	0.9915695	0.9264398	0.93316734	0.9276598	0.96600455	0.9629127	0.94310266	0.90056074	0.88871145	0.98839426	0.8692141	0.9078235	0.9921069	0.96498024	0.96087956	0.94096905	0.9485973	0.95389766	0.938158	0.9238207	0.9526899	0.9739194	0.9615211	0.9417106	0.9144855	0.9036271	0.9930232	0.9840443	0.94316036	0.9130392	0.93936706	0.9607269	0.92076856	0.97274363	0.9707876	0.9503039	0.96586955	0.9865653	0.88945436	0.93193597	0.912145	0.9059016	0.91298103	0.9615633	0.8801556	0.92059976	0.9637734	0.96217084	0.9783767	0.9665919	0.93497926	0.9871144	0.9511267	0.9911647	0.8805774	0.9395957	0.9301242	0.965875	0.93265545	0.9227902	0.9825175	0.8773497	0.9712594	0.890204	0.96050787	0.9653977	0.93557024	0.8597042	0.9145902	0.82677436	0.90964925	0.9093988	0.88779485	0.94262147	0.9266389	0.8786845
dwingend/adj	0.97668636	0.99337775	0.9511441	0.95932895	0.94214624	1.0	0.9805655	0.9616594	0.9614791	0.99422187	0.99783933	0.9850691	0.9694276	0.97930086	0.97165626	0.96288586	0.9284243	0.98590106	0.97483015	0.9924238	0.97964656	0.971258	0.999449	0.99862325	0.907378	0.95183057	0.9663563	0.99947584	0.96597916	0.986341	0.99148816	0.99167985	0.9456189	0.0	0.96320724	0.97365314	0.95950484	0.94668686	0.96797425	0.9978039	0.9938243	0.9736175	0.9601339	0.96790105	0.975484	0.9982675	1.0	0.95407176	0.9870501	0.9968609	0.9811897	0.9922515	0.9782396	0.9579011	0.99210405	0.98966575	0.99381083	0.9663725	0.9848336	0.99988323	0.9774363	0.98206425	0.9813048	0.99610025	0.97919726	0.98665184	0.9899455	0.9512814	1.0	0.9644584	0.9659834	0.97727937	0.94991785	1.0	0.96422213	0.9697715	0.9747355	0.97727805	0.9113069	0.93317926	0.99524534	0.99780285	0.95876527	0.9799385	0.9771029	0.96635324	0.9993097	1.0	0.97476166	0.99409413	0.99584365	0.9431767	0.9383509	0.98170483	0.9806069	0.9850547	0.992411	0.99570113	1.0	0.99824405	0.98351276	0.9409412	0.93280834	0.9817146	0.9447889	0.98011506	0.9799999	0.9586603	0.967379	0.9816952	0.96162426	0.9532654	0.9810837	0.99826306	0.98230416	1.0	0.9864478	0.9925681	0.9693333	0.9826215	0.97454834	0.9893311	0.9765804	0.9663021	0.9975644	0.99951583	0.9988138	0.966925	0.9774559	0.98564327	0.9697583	0.9773858	0.9794525	0.9786784	0.98014325	0.94057345	0.9568352	0.98119843	0.99900043	0.99595475	0.98563194	0.99881107	0.9699807	0.97216654	0.9867257	0.9822709	0.9338714	0.99961215	0.995356	1.0	0.94836354	0.9776099	0.9989872	0.9916942	0.98528045	0.9738566	0.9819003	0.9955673	0.99978185	1.0	0.994079	0.95019007	0.91138697	0.99238473	0.93353105	0.9937692	0.92074203	0.9916538	0.9874702	0.9933581	0.9577396	0.99670213	1.0	0.9715057	0.9745679	0.9850359	0.9876253	0.99245363	0.9900716	0.9899974	0.97897166	0.9829485	0.95770466	0.9927057	0.96993476	0.98984796	0.99916816	0.9879885	0.9781092	0.9734551	0.9492432	0.96620464	0.958047	0.96633345	0.9711434	0.9469282	0.97476715	0.94991106	0.91503525	0.951188	0.96703947	0.982125
echter/adv	0.9717365	0.9442292	0.8348044	0.84091973	0.85170466	0.996315	0.93023056	0.877306	0.78544366	0.9594054	0.92417294	0.9209645	0.86299586	0.95325893	0.9108026	0.87109745	0.9797616	0.89007324	0.8497424	0.91933703	0.9385551	0.93102854	0.9750011	0.9915227	0.912418	0.7664378	0.9797594	0.97207344	0.8498274	0.86188	0.89232355	0.95263565	0.8868423	0.96320724	0.0	0.8667004	0.87524915	0.8740585	0.9590382	0.9748956	0.88508445	0.7931957	0.8649905	0.85061395	0.858462	1.0	1.0	0.78442794	0.95649874	0.97909606	0.8256364	0.9075927	0.84434175	0.89041513	0.9798746	0.90320814	0.913925	0.8413993	0.95400155	0.9697581	0.89755434	0.9699125	0.91212356	0.9693913	0.9498057	0.9665295	0.9751082	0.8114339	0.9848301	0.8346096	0.9544056	0.98545843	0.82816005	0.9675859	0.8215657	0.8679551	0.9147722	0.9342347	0.967065	0.83293784	0.9754787	0.97588795	0.8146317	0.98518366	0.86366683	0.85319996	0.97830933	0.9603438	0.88525355	0.9902436	0.9279895	0.91370183	0.9032412	0.9163307	0.91537607	0.96182334	0.92736334	0.88157964	0.986064	0.9819147	0.9086895	0.7860456	0.7487008	0.9051401	0.8645079	0.9281119	0.8986732	0.887946	0.84147716	0.93350863	0.92244774	0.8273393	0.8444278	0.9007641	0.868274	0.9858147	0.9941769	0.9910118	0.8061966	0.96435994	0.87703735	0.9568433	0.9720573	0.8397912	0.9672138	0.9640999	0.97854507	0.9031226	0.91956705	0.94352144	0.92691857	0.8731857	0.8935817	0.927606	0.9058783	0.97638	0.7833923	0.85882914	0.98989385	0.9413923	0.94666845	0.92081887	0.91530114	0.8900801	0.9615124	0.9348556	0.8756862	0.96105474	0.9756465	0.9380658	0.8919743	0.9035579	1.0	0.9952169	0.8428768	0.94844574	0.93663573	0.94493663	0.9717402	0.97682947	0.9205962	0.8703962	0.95685256	0.98500675	0.8945777	0.9608962	0.9409572	0.8461616	0.9389986	0.97565985	0.82141864	0.9566588	0.97030824	0.98113567	0.9390846	0.9329148	0.90325105	0.9880511	0.9223401	0.96891016	0.8763208	0.9346453	0.86794347	0.9505214	0.93149865	0.93594825	0.97278094	0.84954154	0.948463	0.8607497	0.8765312	0.9243626	0.8171397	0.72920084	0.8748713	0.7460532	0.9055012	0.82306594	0.7555169	0.95576364	0.9679241	0.81824756
