	armband/noun	hoe/adj	koop/verb	intellectueel/adj	ons/noun	ultra_orthodox/adj	soms/adv	vergadering/noun	lach/verb	gezeik/verb	romantisch/adj	varken/noun	gevoel/noun	pop_ster/noun	ander/noun	Engelsman/noun	verrekt/adj	schoen/noun	word/verb	Waal/noun	waarschijnlijk/adj	computer_spel_DIM/noun	gewoon/adj	allemaal/adv	wantrouw/verb	overigens/adv	klus/noun	feite/adv	kater/noun	geit/noun	geweld/noun	zo/adv	type/noun	vijand/noun	evenzeer/adv	erg/adj	las/verb	natuurlijk/adj	hier/adv	heb_lief/verb	verlies/verb	systeem/noun	Albanees/noun	tegenstander/noun	voordracht/noun	verdwaal/verb	tennis/noun	islam/noun	schop/verb	zeg/verb	vrede/noun	politiek/noun	staat/noun	medium/noun	in/adv	liefde/noun	meute/noun	hartgrondig/adj	destijds/adv	vraag/verb	super_held/noun	bemin/verb	vrouw/noun	moslim/noun	hoe/noun	onderonsje/noun	genocide_wet/noun	onderwijs/noun	waarom/adv	hoezeer/adv	prietpraat/noun	duif_liefhebber/noun	toestand/noun	zwart/adj	regelrecht/adj	joods/adj	alles/noun	oud/adj	Anthuenis/noun	president/noun	eeuwig/adj	Amerikaan/noun	liberaal/adj	vraag_af/verb	stuk_DIM/noun	oorlog/noun	man/noun	realiteit/noun	vecht/verb	eigenlijk/adj	tuig/noun	vervloek/verb	Javaan/noun	grinnik/verb	baan_DIM/noun	niet/adv	middelmaat/noun	religieus/adj	wreed/adj	ander/adj	reden/noun	namaak/noun	fel/adj	verhuis/verb	pas/noun	opgesloten/adj	laconiek/adj	leer/verb	kunst/noun	Arabier/noun	zelfs/adv	etiket/noun	Kosovo_crisis/noun	oprichter/noun	pest/noun	diep/adj	heel/adj	tegenwoordig/adj	13-jarige/adj	zal/verb	Iraans/adj	ga/verb	nuchterheid/noun	ding/noun	woord/noun	moeder/noun	inmiddels/adv	criticus/noun	maandag/noun	begin/noun	volk/noun	tv/noun	journalist/noun	sprookje/noun	persoonlijk/adj	hartstochtelijk/adj	draadloos/adj	dirigent/noun	begin/verb	steun/verb	vader/noun	ras/noun	huis_werk/noun	platteland/noun	Syriër/noun	voetbal/noun	perfectie/noun	toch/adv	stad/noun	trend/noun	talentvol/adj	modern/adj	luister/adj	allebei/adv	film/noun	jodendom/noun	premier/noun	namelijk/adv	aartsvijand/noun	kerst/noun	on_versneden/adj	steeds/adv	prostituee/noun	soort/noun	vrijheid/noun	tevoren/adv	boek/noun	zeur/verb	Nederlander/noun	opzettelijk/adj	meest/adj	land/noun	ongelijkheid/noun	kind/noun	misschien/adv	strafschop/noun	Duitser/noun	Democraat/noun	regel_DIM/noun	dagelijks/adj	mens/noun	Tutsi/noun	nooit/adv	baas/noun	intens/adj	gelijkelijk/adv	winkel/verb	wereld/noun
systeem/noun	0.8863732	0.8011719	0.8906115	0.78936315	0.8809278	0.8975798	0.82985723	0.8960156	0.9536304	0.9411614	0.87325674	0.8429846	0.85137445	0.89263594	0.8163854	0.88288	0.9365482	0.8866408	0.6968454	0.8436968	0.8297036	0.8173708	0.8415704	0.827949	0.86017454	0.7733544	0.84738314	0.7070583	0.89069	0.89262134	0.8520373	0.7894038	0.74357784	0.8262652	0.7747692	0.8405909	0.88864297	0.83553004	0.8854023	0.91285723	0.9385291	0.0	0.88723016	0.8376028	0.8679927	0.909058	0.85492504	0.795839	0.91410613	0.963248	0.84442014	0.7530558	0.76561093	0.8086349	0.8279803	0.9034243	0.9232229	0.9312567	0.8018249	0.884856	0.90663844	0.94267356	0.9053005	0.89005697	0.8376233	0.8895486	0.76165974	0.7258476	0.87417287	0.82458496	0.89730126	0.94499445	0.78629297	0.9093886	0.85656536	0.88535726	0.80912584	0.8947764	0.87329584	0.87659633	0.8847786	0.87239677	0.79175663	0.9302113	0.88514787	0.8756478	0.92534095	0.7965932	0.9218527	0.8462136	0.8005867	0.94653445	0.9229862	0.91060686	0.8509936	0.81627405	0.9003944	0.8197051	0.86496586	0.82142085	0.83060384	0.85562956	0.87419534	0.9240421	0.8136544	0.8959714	0.91432554	0.874519	0.8240036	0.8746198	0.8253505	0.7832361	0.88223827	0.8947756	0.89207214	0.9133885	0.8490784	0.7652998	0.92926115	0.6958338	0.849826	0.89847267	0.8862676	0.8411907	0.8971095	0.9374362	0.78570545	0.8517164	0.9272876	0.90675926	0.87978256	0.86804265	0.897255	0.8668107	0.82937014	0.8756633	0.6504407	0.8995923	0.9114731	0.8563876	0.9287035	0.7711755	0.862923	0.81586754	0.9338261	0.8560387	0.82839954	0.85173875	0.86046636	0.78462774	0.86569846	0.73919153	0.9195608	0.8521612	0.8579853	0.8386655	0.88714916	0.6786455	0.88102835	0.9029114	0.90874124	0.78255635	0.84673417	0.7359396	0.7761027	0.8555472	0.89020884	0.90582013	0.9038085	0.84240556	0.7946131	0.7868192	0.7595087	0.89117783	0.8453928	0.94561136	0.9043356	0.85169494	0.7971159	0.86041594	0.8375733	0.8898	0.90612984	0.87603426	0.8672908	0.88837504	0.82535064	0.7728908
Albanees/noun	0.9191573	0.88597983	0.9264219	0.83165777	0.8012767	0.7953669	0.8371648	0.90568113	0.9386835	0.92978305	0.8997908	0.8506963	0.8556075	0.8713554	0.8748646	0.7305746	0.9262011	0.92512405	0.7101205	0.76186323	0.7959094	0.8956331	0.8880783	0.9017216	0.76990885	0.83330476	0.93239194	0.78160113	0.8814959	0.87323457	0.5809229	0.8927029	0.8675869	0.70424306	0.7887614	0.91207	0.899487	0.90899265	0.8301646	0.87663573	0.89906454	0.88723016	0.0	0.78989357	0.91103655	0.89272416	0.9178165	0.7062564	0.8328626	0.9303649	0.75591296	0.7977776	0.70647246	0.79219365	0.8156952	0.8804218	0.8176011	0.8748957	0.74930155	0.8972604	0.9182541	0.915446	0.7297977	0.43392646	0.8645119	0.8894126	0.8493476	0.8613479	0.8406258	0.82781565	0.91906464	0.9412763	0.8611374	0.8164083	0.78941244	0.6608368	0.90741354	0.88175166	0.88528365	0.71356064	0.8354889	0.61997664	0.80073106	0.91441	0.9101486	0.6662663	0.676395	0.8431955	0.6737551	0.91269	0.809781	0.8768084	0.81848806	0.8963657	0.8602563	0.8647857	0.9136512	0.71252066	0.69616437	0.81456745	0.87497383	0.8897268	0.7821718	0.89117795	0.88706726	0.80301034	0.8902177	0.9182116	0.9024972	0.5367898	0.82490534	0.8778676	0.7943752	0.86285675	0.84881824	0.88756275	0.8898044	0.8507989	0.8012293	0.7550421	0.6784929	0.9141869	0.9081361	0.9196672	0.9059479	0.82022494	0.7890615	0.7882402	0.8408874	0.8859971	0.6807778	0.89121604	0.7410521	0.89804435	0.85777295	0.84001815	0.92753917	0.90978634	0.88448787	0.7486465	0.787223	0.80555594	0.92429197	0.7563758	0.772431	0.9344901	0.8988409	0.89334524	0.7298464	0.90164065	0.8953246	0.8828348	0.9123572	0.84061074	0.93101263	0.8562663	0.7882683	0.8010214	0.7630104	0.8948309	0.8831067	0.8020009	0.7224982	0.8497458	0.7994596	0.84883213	0.93198586	0.8658079	0.73441494	0.7461674	0.8112547	0.6548386	0.8312675	0.79810166	0.9053028	0.94156766	0.65777636	0.7558632	0.90605956	0.8624867	0.7389786	0.55013096	0.86230433	0.87234855	0.85743904	0.8723702	0.88198364	0.83979404
tegenstander/noun	0.92904466	0.8680818	0.9527912	0.797963	0.7630189	0.8711537	0.77403486	0.9275688	0.90028393	0.9271129	0.9103739	0.8884063	0.87291414	0.8586099	0.847515	0.7145268	0.9185833	0.8953022	0.79813063	0.75302505	0.8368671	0.9047428	0.8794438	0.87070745	0.82808214	0.80219257	0.8015311	0.7874547	0.8245541	0.9157634	0.8050719	0.7992866	0.8670171	0.6349927	0.7828417	0.8204015	0.9097147	0.8397621	0.9003339	0.90283334	0.7711058	0.8376028	0.78989357	0.0	0.9163393	0.90158737	0.81307226	0.7783091	0.8127957	0.92308897	0.87968004	0.79575723	0.82203674	0.7686634	0.8876499	0.89347273	0.8481102	0.8555086	0.7886689	0.91201836	0.9099587	0.9036557	0.8659929	0.78467125	0.87710565	0.8321363	0.86556345	0.9294387	0.8717496	0.81861293	0.8999008	0.9374234	0.8887033	0.88190365	0.8020342	0.8521178	0.87079287	0.9048603	0.79340434	0.73953724	0.8560715	0.7100056	0.7742553	0.9313843	0.90625536	0.8103931	0.84407866	0.84663314	0.772174	0.879816	0.852564	0.86649406	0.92675126	0.8750633	0.8797016	0.8127046	0.88957494	0.8262907	0.78111565	0.8852236	0.86147714	0.9055649	0.6789017	0.9273137	0.86650515	0.9102386	0.86387247	0.88959575	0.91656125	0.7969341	0.7247591	0.8441546	0.87087953	0.8934013	0.87266344	0.8690626	0.88319355	0.85914147	0.9006337	0.79983586	0.8128587	0.90603936	0.8694351	0.8887599	0.8707981	0.89559513	0.87536013	0.6469244	0.9222323	0.8942692	0.7958722	0.89373136	0.79752195	0.8883595	0.86170363	0.79202425	0.92648244	0.85654277	0.8584728	0.76944035	0.8761005	0.82328546	0.9019408	0.8657447	0.89392704	0.74969506	0.84980416	0.8059072	0.9095151	0.90354896	0.829997	0.90248036	0.9208096	0.82039285	0.91293776	0.86383015	0.7726573	0.81843257	0.7525323	0.9128679	0.87746596	0.79861236	0.86865705	0.8689984	0.8581623	0.8246742	0.9367815	0.8591263	0.8135716	0.80640805	0.81839275	0.8498659	0.864026	0.9094383	0.813981	0.78423446	0.70812094	0.69117117	0.875486	0.90600175	0.8397074	0.8192504	0.84976727	0.84214014	0.84071934	0.933684	0.90101385	0.8760365
voordracht/noun	0.9318954	0.8526616	0.9029286	0.7811073	0.88360655	0.89798695	0.76343596	0.6831168	0.8961903	0.94359624	0.7414391	0.8789152	0.8603158	0.8514156	0.8684286	0.88369733	0.96114695	0.9289596	0.808152	0.88659745	0.8722263	0.8860966	0.8911574	0.88599235	0.88367647	0.80868536	0.9030612	0.8471739	0.8893658	0.89655906	0.88082445	0.8401795	0.8638784	0.88766754	0.7963138	0.85866684	0.8493351	0.8654938	0.9012233	0.87747014	0.9466206	0.8679927	0.91103655	0.9163393	0.0	0.87670696	0.86137074	0.83502734	0.8973161	0.91049963	0.8917669	0.83916986	0.8991787	0.82596385	0.8930243	0.7778785	0.91853493	0.88997215	0.8148013	0.8553252	0.91513246	0.8861871	0.9012991	0.90151036	0.80570996	0.8173554	0.8636953	0.84519464	0.89736676	0.828928	0.91656464	0.92686796	0.8998979	0.8948327	0.85946196	0.8500189	0.8951006	0.8619422	0.8816527	0.8459976	0.8469737	0.9058338	0.8102225	0.90292865	0.79874086	0.90801764	0.9214845	0.8334371	0.9308787	0.8877576	0.88586324	0.9204727	0.9471419	0.9043871	0.89378184	0.9023435	0.901843	0.78114945	0.8490907	0.86139673	0.8997439	0.92671937	0.87030435	0.9062489	0.89479786	0.9017551	0.83275175	0.8218121	0.75163674	0.8943759	0.8155879	0.84238917	0.8867322	0.88379437	0.89604294	0.8834874	0.863737	0.80421245	0.9222007	0.8360105	0.822701	0.9029328	0.8987717	0.89518166	0.8245741	0.8911016	0.86703074	0.8072327	0.77561724	0.8693117	0.8799697	0.87433386	0.8604616	0.7570607	0.7895981	0.80385935	0.9112768	0.80335027	0.8338801	0.8552211	0.88777685	0.8502967	0.8646656	0.8672893	0.9182689	0.8875845	0.8351048	0.89669484	0.89632994	0.8585882	0.8548203	0.7560482	0.86621225	0.8529233	0.7489728	0.8438595	0.8192208	0.8261609	0.9160402	0.8700174	0.85526234	0.86190075	0.8996253	0.7740648	0.8698176	0.84043187	0.75881076	0.89947903	0.89545876	0.8804512	0.8112696	0.9038672	0.89629406	0.8529208	0.8707652	0.965089	0.9062639	0.822234	0.880696	0.79579574	0.8662641	0.93081534	0.8937833	0.89149445	0.7453058	0.9100508	0.8495026	0.8739927
verdwaal/verb	0.88972294	0.82132626	0.8727624	0.8246194	0.83022606	0.9187628	0.7217517	0.91739595	0.863438	0.88778615	0.7574535	0.86797154	0.84958327	0.8638083	0.9011657	0.8580141	0.92414075	0.85420656	0.8858821	0.8755281	0.86565256	0.8561619	0.8138088	0.8273266	0.858827	0.8677702	0.8756419	0.88535774	0.8689863	0.8241686	0.8841571	0.78771514	0.818685	0.8499833	0.83313644	0.83704764	0.8454191	0.814663	0.77350616	0.8404233	0.9150618	0.909058	0.89272416	0.90158737	0.87670696	0.0	0.87825423	0.8948555	0.84590065	0.9317256	0.9022249	0.90188473	0.91892844	0.88994586	0.8901204	0.8185652	0.82045245	0.9133104	0.8790492	0.9023759	0.8679142	0.85272115	0.8540374	0.8984716	0.81787616	0.8716197	0.9471411	0.9306057	0.8897744	0.8459891	0.91520566	0.90308404	0.8499526	0.83898824	0.8558632	0.88633955	0.87106264	0.85025597	0.90349853	0.95430017	0.81911725	0.8811323	0.9249926	0.86794865	0.7967617	0.87867963	0.8462751	0.837438	0.8471158	0.8353351	0.8342028	0.8608862	0.912735	0.8351751	0.82966185	0.87039405	0.90323955	0.8807651	0.79773283	0.8448316	0.91510624	0.8725273	0.90038574	0.870297	0.87898135	0.82218677	0.85080844	0.8667893	0.8588628	0.8670499	0.79639727	0.8628628	0.92534804	0.9147022	0.86774087	0.8244782	0.8084805	0.8013344	0.86615837	0.87161624	0.8747275	0.84940434	0.88571703	0.8349166	0.858865	0.867996	0.8839807	0.8781787	0.92109275	0.9196722	0.8800568	0.8803217	0.85787636	0.81749856	0.90059185	0.82920086	0.8878885	0.87965316	0.8680682	0.9334692	0.8916165	0.85556686	0.89029855	0.81251234	0.9234956	0.9026338	0.84238565	0.8065675	0.80671316	0.8827789	0.8779093	0.82399285	0.8345195	0.84303755	0.86476076	0.9052025	0.93826807	0.83024836	0.91238946	0.8459829	0.9084866	0.82756186	0.8746959	0.79488087	0.88417876	0.8824568	0.85472405	0.86172116	0.88272035	0.84373176	0.8300359	0.90664935	0.90131986	0.8510279	0.7992931	0.9346073	0.8867432	0.91150665	0.88265	0.8177193	0.8046968	0.9133104	0.88200074	0.87797517	0.82501405	0.939709	0.81221956	0.8226642
tennis/noun	0.91959685	0.8440778	0.9231069	0.7600607	0.81056297	0.94292176	0.76333916	0.9239339	0.8467773	0.85219896	0.80399036	0.88572717	0.822331	0.8337607	0.8551856	0.77346206	0.88835275	0.88042593	0.8685628	0.8302366	0.8774676	0.81213194	0.77910554	0.80122507	0.88418245	0.8317213	0.8688201	0.8174929	0.8322417	0.8851128	0.8701718	0.7740372	0.84756625	0.8938587	0.77795196	0.8076124	0.86081207	0.7810519	0.8025739	0.8609727	0.83729887	0.85492504	0.9178165	0.81307226	0.86137074	0.87825423	0.0	0.8573256	0.85164577	0.94202054	0.9034561	0.7663913	0.9135479	0.81021875	0.8984264	0.7864093	0.8795486	0.9036549	0.8495062	0.9475741	0.8952347	0.8808919	0.85770345	0.9114463	0.84079885	0.8468061	0.9278327	0.8705627	0.8759489	0.8225991	0.91306275	0.91278976	0.88350165	0.88490856	0.8545031	0.9147533	0.8139551	0.88024825	0.85016775	0.91753286	0.803484	0.83758104	0.87606215	0.9423454	0.8449316	0.8929151	0.8767737	0.8356176	0.8688154	0.769109	0.8826773	0.87842596	0.932415	0.8539148	0.81726456	0.8462587	0.8419571	0.8674648	0.8287907	0.86477643	0.89132345	0.88519967	0.8880756	0.92847097	0.86060554	0.91607296	0.8649315	0.79517025	0.78473103	0.8746849	0.78133464	0.8593149	0.9162479	0.91287506	0.8761787	0.8722253	0.82502246	0.73513055	0.91488427	0.8684953	0.8962525	0.8537022	0.80544156	0.7919945	0.8654919	0.8950859	0.8616543	0.85099	0.93422806	0.89253306	0.8619411	0.78347766	0.87735313	0.81342506	0.8323051	0.8229171	0.8655938	0.82408226	0.8455422	0.9283051	0.8933161	0.83694494	0.8444015	0.84169966	0.9450353	0.4554701	0.8187653	0.7640542	0.8744587	0.8387616	0.7793391	0.8026356	0.8803438	0.75661296	0.78949606	0.8848508	0.9161497	0.78739744	0.87809145	0.85118896	0.8508223	0.7792505	0.8943484	0.7955611	0.8826958	0.8541466	0.8670505	0.84352386	0.82462883	0.90481704	0.8372848	0.88947207	0.86581206	0.8660526	0.7976494	0.90530825	0.82493955	0.88318133	0.87861454	0.8440596	0.8266728	0.9288811	0.8075198	0.88124865	0.7348882	0.93446666	0.76580215	0.85269076
islam/noun	0.9340646	0.8172902	0.9683398	0.64085054	0.80508465	0.76622605	0.7930975	0.91577756	0.92959034	0.9086116	0.79387975	0.85931146	0.7985375	0.8366406	0.838194	0.80381703	0.9404063	0.928672	0.8185207	0.80730754	0.8622905	0.87276	0.89917195	0.87308687	0.7403005	0.78469837	0.9481992	0.732913	0.9023309	0.89965415	0.6682229	0.8221378	0.8449506	0.6519426	0.70555073	0.86207604	0.8686731	0.8194488	0.8453137	0.80381286	0.912636	0.795839	0.7062564	0.7783091	0.83502734	0.8948555	0.8573256	0.0	0.88302016	0.89862216	0.72372997	0.60990447	0.69861436	0.69944465	0.8575522	0.7290657	0.88225126	0.8203441	0.7959107	0.9085111	0.8945838	0.8739707	0.8197435	0.47046626	0.78370315	0.87969816	0.81160045	0.8105252	0.8095529	0.76369315	0.867749	0.9460741	0.8581624	0.8392134	0.75382155	0.6234195	0.85270756	0.85126543	0.87657326	0.8030741	0.7721724	0.73499715	0.6119282	0.8854665	0.8886994	0.705369	0.872349	0.7590093	0.78091204	0.8487475	0.85962087	0.86936414	0.8511876	0.90710455	0.9162101	0.8381964	0.8556161	0.45591408	0.7231516	0.76904595	0.87337106	0.8472626	0.7434776	0.9674699	0.91505474	0.88124967	0.87240714	0.8223237	0.67772245	0.6005771	0.7879015	0.8149549	0.84672946	0.86165214	0.8057993	0.8157042	0.8546833	0.7694598	0.91655403	0.82145154	0.6768079	0.9298501	0.84955084	0.84719235	0.7792447	0.88900363	0.8723486	0.72900814	0.9459993	0.9050687	0.6686231	0.89176077	0.8089417	0.80095875	0.76575756	0.75637716	0.90049416	0.8887518	0.90727234	0.7647257	0.8450979	0.6557602	0.8966145	0.7824651	0.8563582	0.85794985	0.841779	0.87904644	0.83744204	0.8282871	0.8794943	0.68149066	0.9013416	0.8491894	0.8603103	0.55034673	0.83263016	0.74598336	0.8131909	0.88808495	0.7851581	0.7595058	0.84813243	0.72966254	0.61393505	0.85414493	0.82933164	0.89126694	0.8131812	0.8091879	0.76464164	0.7305474	0.7293167	0.8777787	0.840923	0.9528701	0.8121479	0.7706941	0.8185153	0.87860674	0.8010424	0.7722315	0.84432644	0.89013624	0.7977133	0.87518984	0.8750746	0.7100162
schop/verb	0.8883404	0.88025606	0.87021494	0.8421642	0.8180047	0.9040397	0.7643701	0.93580836	0.77488476	0.9079211	0.8566293	0.83867174	0.87624496	0.82333666	0.8613985	0.7737081	0.9261491	0.8177215	0.8366233	0.8500624	0.8407813	0.90117854	0.79709923	0.8501955	0.85670626	0.87881136	0.9014211	0.86802447	0.8359389	0.8272561	0.801296	0.86194706	0.850466	0.8462609	0.82776463	0.8887088	0.85535204	0.8734727	0.85361254	0.88137627	0.8926736	0.91410613	0.8328626	0.8127957	0.8973161	0.84590065	0.85164577	0.88302016	0.0	0.8321794	0.9016942	0.86643815	0.9151514	0.8766681	0.86912525	0.83907384	0.7808234	0.8815517	0.78009003	0.8637294	0.9214405	0.88839066	0.74506557	0.84555054	0.87765193	0.8801303	0.91657394	0.9393209	0.8522303	0.8591788	0.93764645	0.9342541	0.88656795	0.79137015	0.8283826	0.8494346	0.8753865	0.83567065	0.8941238	0.90029037	0.8373521	0.8670741	0.86185175	0.8659742	0.84114546	0.8978964	0.7005701	0.9040581	0.7753328	0.87666297	0.84282684	0.815317	0.9227533	0.8201382	0.8605432	0.87770325	0.9061355	0.85748947	0.7880531	0.8613739	0.9269876	0.91151303	0.84642017	0.9074183	0.88211495	0.8166429	0.84906745	0.8526904	0.8978375	0.83539873	0.738446	0.8589696	0.91694874	0.87962246	0.83002305	0.82919943	0.87285966	0.78166693	0.81558955	0.87622464	0.83303165	0.8391421	0.9087153	0.8940997	0.87665176	0.792107	0.8436823	0.8414024	0.90941024	0.9339828	0.8614086	0.87369347	0.8201014	0.87236226	0.8839607	0.8308889	0.91580564	0.8729204	0.86188245	0.884777	0.7946556	0.8718634	0.8958805	0.8820398	0.90993184	0.8373194	0.87317693	0.84039867	0.89965355	0.9239537	0.83848494	0.86167896	0.85551476	0.7736628	0.8994742	0.9195044	0.90334916	0.8258151	0.86228377	0.8707428	0.8973295	0.8579811	0.80576944	0.8466799	0.8830475	0.87820184	0.9132649	0.7788195	0.8738649	0.7941223	0.8492606	0.92160356	0.91378075	0.8223291	0.86098087	0.8948835	0.8476852	0.8554553	0.90337336	0.8829644	0.8318316	0.8913887	0.83369535	0.820348	0.8477028	0.93320036	0.86786366	0.87565506
zeg/verb	0.94241536	0.87416124	0.94844157	0.9063982	0.8734844	0.9189906	0.81750476	0.8956989	0.75822425	0.9337845	0.9304707	0.9551688	0.90735793	0.9001759	0.94606096	0.91270554	0.97395253	0.94908446	0.94059575	0.92101276	0.9023824	0.9311596	0.85650605	0.8444315	0.85114926	0.83500797	0.939497	0.90793675	0.92245835	0.94853586	0.9083628	0.82959896	0.9158877	0.8975473	0.86466146	0.8256974	0.8924434	0.7932678	0.9004576	0.91048634	0.9525412	0.963248	0.9303649	0.92308897	0.91049963	0.9317256	0.94202054	0.89862216	0.8321794	0.0	0.9260147	0.8956678	0.9354352	0.8750461	0.9295912	0.9207889	0.9044439	0.86025894	0.7777878	0.7076455	0.95726484	0.9050358	0.9065313	0.9018047	0.870783	0.8938868	0.9322261	0.95773524	0.81399786	0.8922722	0.907315	0.95945615	0.91836417	0.95718247	0.9246591	0.89204687	0.91389036	0.9441392	0.87993234	0.84636825	0.9080143	0.87648624	0.85176194	0.6881752	0.9636988	0.9273939	0.8970456	0.9200915	0.91298556	0.80689853	0.9416412	0.8921081	0.95803165	0.7984028	0.89965975	0.8320755	0.9596921	0.918469	0.8703014	0.9135385	0.92598623	0.95771503	0.893479	0.9566473	0.9621626	0.9172149	0.82162285	0.9087007	0.9473724	0.8855296	0.8017366	0.90340555	0.88419765	0.83144593	0.9308427	0.9096111	0.9308294	0.8404099	0.9297696	0.886994	0.80938715	0.9535907	0.91835475	0.87629193	0.8278277	0.8717061	0.90224147	0.83891904	0.91410613	0.96131307	0.90089893	0.91101444	0.7434363	0.9224997	0.88969344	0.8803243	0.9658151	0.9122374	0.9406951	0.8594135	0.84667253	0.9467206	0.9078701	0.9471817	0.9054703	0.9317579	0.9321128	0.7910334	0.95814466	0.94182193	0.8944994	0.94833183	0.86665857	0.8869216	0.93941677	0.92098004	0.82522935	0.88887775	0.928285	0.93135	0.9593829	0.9062153	0.92334974	0.92703044	0.9393203	0.88643074	0.9492435	0.8680614	0.91248417	0.91191304	0.870847	0.958876	0.93957835	0.9249435	0.8065119	0.96688914	0.911662	0.86481357	0.9085095	0.93319345	0.8690636	0.9403165	0.8393867	0.86645484	0.92514724	0.9693651	0.92053235	0.9476713
vrede/noun	0.9329358	0.8735213	0.9630719	0.799145	0.829551	0.84255	0.88954103	0.9150536	0.9422739	0.9058504	0.86995834	0.9247655	0.8114757	0.90446633	0.881255	0.871336	0.9269533	0.9503853	0.85580516	0.848457	0.88311243	0.93183625	0.9274538	0.9091152	0.8121918	0.87216127	0.93190163	0.8050577	0.9091028	0.91630685	0.7301165	0.8832865	0.9187434	0.7400799	0.7730282	0.91651565	0.9197353	0.8460456	0.87785035	0.8190204	0.92474604	0.84442014	0.75591296	0.87968004	0.8917669	0.9022249	0.9034561	0.72372997	0.9016942	0.9260147	0.0	0.75301254	0.69717705	0.8615321	0.89023376	0.7526758	0.9078679	0.8778832	0.8565184	0.89330214	0.9335296	0.86931676	0.9203491	0.7064979	0.8688903	0.9178794	0.88671064	0.836191	0.9006817	0.8175963	0.9312332	0.91439575	0.8620332	0.9179655	0.8357367	0.7514642	0.85899377	0.8901285	0.8850789	0.80685914	0.7420976	0.7665807	0.7748468	0.914176	0.91444683	0.6764444	0.9146291	0.83851725	0.74841595	0.9054994	0.8987789	0.8906399	0.8778464	0.93103456	0.89693576	0.8754079	0.909521	0.7326467	0.7946831	0.8660697	0.9001674	0.92919564	0.8575308	0.9454302	0.92226005	0.889508	0.908641	0.89613163	0.8379634	0.7157528	0.8424101	0.90365946	0.8401332	0.92651	0.88171965	0.863189	0.8743658	0.87795806	0.91885436	0.76733387	0.8049963	0.9092775	0.8678998	0.9020881	0.88248205	0.9227025	0.9011681	0.85129064	0.91225976	0.8658105	0.6739228	0.93864983	0.89816934	0.87213266	0.8223314	0.80889934	0.90709996	0.90492094	0.8846375	0.75155133	0.9076497	0.81117636	0.9383981	0.84198356	0.8388127	0.88220316	0.817868	0.85128266	0.82810235	0.9036171	0.9137736	0.86440563	0.9292059	0.88610137	0.93492246	0.8113612	0.83778507	0.85510945	0.82546425	0.8736254	0.8775828	0.84850824	0.91182053	0.84691846	0.6162262	0.87597823	0.92145467	0.88572323	0.8977989	0.8788829	0.8839699	0.7487174	0.7705219	0.9088369	0.88376623	0.9403046	0.8595293	0.83250844	0.9119179	0.919116	0.84671855	0.82236487	0.86935705	0.93872803	0.825041	0.8578681	0.8896044	0.7939762
politiek/noun	0.9376549	0.78603446	0.95728815	0.6371409	0.8047545	0.8385117	0.78615606	0.8637843	0.921391	0.8963614	0.80728495	0.9052966	0.77075833	0.8209547	0.81206477	0.833679	0.92806304	0.928644	0.81162846	0.81957006	0.85438013	0.8804582	0.8511325	0.86363924	0.7208859	0.7879708	0.90386635	0.71586376	0.8518147	0.91693926	0.7366826	0.7879287	0.83543426	0.74706125	0.68406844	0.8138485	0.8539222	0.80405957	0.88064826	0.8373866	0.8850786	0.7530558	0.7977776	0.79575723	0.83916986	0.90188473	0.7663913	0.60990447	0.86643815	0.8956678	0.75301254	0.0	0.69237036	0.5697539	0.8601365	0.7538413	0.87787807	0.8557382	0.7619941	0.89529514	0.8905922	0.87971747	0.8633406	0.7309818	0.78617305	0.84234124	0.8275426	0.74449706	0.8162738	0.7226412	0.86193043	0.93752414	0.8161148	0.8924788	0.780135	0.7658912	0.82835937	0.8748053	0.8502777	0.72799337	0.8206593	0.7912311	0.6099746	0.84285545	0.90333545	0.74967027	0.8879536	0.708194	0.84962714	0.7913897	0.86033976	0.898058	0.877254	0.90508413	0.874969	0.7865409	0.8489486	0.62737226	0.7863039	0.7954832	0.82420844	0.8872438	0.76096404	0.9469102	0.9001095	0.9137237	0.83815765	0.8407868	0.6395649	0.7388586	0.7873078	0.82637024	0.7673866	0.85811216	0.8437069	0.8077936	0.8493949	0.7368463	0.9285462	0.7599289	0.7437711	0.9050988	0.8184162	0.80909526	0.8141078	0.90323764	0.8421671	0.69093907	0.926758	0.9085211	0.7168778	0.8380567	0.73888123	0.8370834	0.72363746	0.7687599	0.8899118	0.8556516	0.90851825	0.74432653	0.8860989	0.7630388	0.8863075	0.77273935	0.88299537	0.7435914	0.81812865	0.8129363	0.86154675	0.7828698	0.86717373	0.719028	0.90419084	0.8244603	0.827962	0.73323977	0.7215313	0.7739864	0.8166285	0.9210353	0.8121258	0.70628804	0.85081315	0.761714	0.71873796	0.8393518	0.8640027	0.8674617	0.8412334	0.8539151	0.79898864	0.7723178	0.74077785	0.9032501	0.8025495	0.95359194	0.8465735	0.70312166	0.84244525	0.8547569	0.79787326	0.8223839	0.8300571	0.8741685	0.7818475	0.8625824	0.85059625	0.7514042
