	13-jarige/adj	Albanees/noun	Amerikaan/noun	Anthuenis/noun	Arabier/noun	Democraat/noun	Duitser/noun	Engelsman/noun	Iraans/adj	Javaan/noun	Kosovo_crisis/noun	Nederlander/noun	Syriër/noun	Tutsi/noun	Waal/noun	aartsvijand/noun	allebei/adv	allemaal/adv	alles/noun	ander/adj	ander/noun	armband/noun	baan_DIM/noun	baas/noun	begin/noun	begin/verb	bemin/verb	boek/noun	computer_spel_DIM/noun	criticus/noun	dagelijks/adj	destijds/adv	diep/adj	ding/noun	dirigent/noun	draadloos/adj	duif_liefhebber/noun	eeuwig/adj	eigenlijk/adj	erg/adj	etiket/noun	evenzeer/adv	feite/adv	fel/adj	film/noun	ga/verb	geit/noun	gelijkelijk/adv	genocide_wet/noun	gevoel/noun	geweld/noun	gewoon/adj	gezeik/verb	grinnik/verb	hartgrondig/adj	hartstochtelijk/adj	heb_lief/verb	heel/adj	hier/adv	hoe/adj	hoe/noun	hoezeer/adv	huis_werk/noun	in/adv	inmiddels/adv	intellectueel/adj	intens/adj	islam/noun	jodendom/noun	joods/adj	journalist/noun	kater/noun	kerst/noun	kind/noun	klus/noun	koop/verb	kunst/noun	lach/verb	laconiek/adj	land/noun	las/verb	leer/verb	liberaal/adj	liefde/noun	luister/adj	maandag/noun	man/noun	medium/noun	meest/adj	mens/noun	meute/noun	middelmaat/noun	misschien/adv	modern/adj	moeder/noun	moslim/noun	namaak/noun	namelijk/adv	natuurlijk/adj	niet/adv	nooit/adv	nuchterheid/noun	on_versneden/adj	onderonsje/noun	onderwijs/noun	ongelijkheid/noun	ons/noun	oorlog/noun	opgesloten/adj	oprichter/noun	opzettelijk/adj	oud/adj	overigens/adv	pas/noun	perfectie/noun	persoonlijk/adj	pest/noun	platteland/noun	politiek/noun	pop_ster/noun	premier/noun	president/noun	prietpraat/noun	prostituee/noun	ras/noun	realiteit/noun	reden/noun	regel_DIM/noun	regelrecht/adj	religieus/adj	romantisch/adj	schoen/noun	schop/verb	soms/adv	soort/noun	sprookje/noun	staat/noun	stad/noun	steeds/adv	steun/verb	strafschop/noun	stuk_DIM/noun	super_held/noun	systeem/noun	talentvol/adj	tegenstander/noun	tegenwoordig/adj	tennis/noun	tevoren/adv	toch/adv	toestand/noun	trend/noun	tuig/noun	tv/noun	type/noun	ultra_orthodox/adj	vader/noun	varken/noun	vecht/verb	verdwaal/verb	vergadering/noun	verhuis/verb	verlies/verb	verrekt/adj	vervloek/verb	vijand/noun	voetbal/noun	volk/noun	voordracht/noun	vraag/verb	vraag_af/verb	vrede/noun	vrijheid/noun	vrouw/noun	waarom/adv	waarschijnlijk/adj	wantrouw/verb	wereld/noun	winkel/verb	woord/noun	word/verb	wreed/adj	zal/verb	zeg/verb	zelfs/adv	zeur/verb	zo/adv	zwart/adj
eeuwig/adj	0.96134	0.96153104	0.8749212	0.9813786	0.9633198	0.97357357	0.9203591	0.91926956	0.9199511	0.9277641	0.98309577	0.9067743	0.9719194	0.98428124	0.948888	0.8966913	0.9246432	0.89469355	0.90935814	0.9142463	0.9125157	0.99385643	0.96603566	0.8864649	0.9245738	0.8751936	0.95790243	0.8734857	0.9566323	0.90629524	0.9528415	0.8285566	0.92263716	0.93519807	0.9374528	0.99396545	0.9981004	0.0	0.87836546	0.8988477	0.96095484	0.9547188	0.9243216	0.90324074	0.8576767	0.9369104	0.9635074	0.99113923	1.0	0.87124234	0.9251147	0.9176332	0.9733665	0.9612278	0.95912504	0.9461096	0.9850088	0.93349093	0.9090006	0.8698749	0.96517694	0.96671575	0.9777188	0.959934	0.8782748	0.9487973	0.9212415	0.9535084	0.9757434	0.9128011	0.89165384	0.9805258	0.9614124	0.95331436	0.9470104	0.8988235	0.9354901	0.8621687	0.94748163	0.9532588	0.95496076	0.891762	0.94813854	0.8507088	0.98455906	0.9126983	0.9149869	0.9209019	0.8753207	0.9816227	0.9462765	0.9927395	0.9202572	0.8609549	0.89358443	0.933355	0.9799861	0.91198206	0.85845	0.9672695	0.9189795	0.9916062	0.97615176	0.94338757	0.9606023	0.9767237	0.9180612	0.89954895	0.985218	0.9006628	0.9789134	0.8744632	0.8943157	0.94396526	0.9433416	0.8764225	0.9313542	0.917021	0.9181404	0.93067825	0.929082	0.9048397	0.9983641	0.96189755	0.96426547	0.94625354	0.9405773	0.9952533	0.94273025	0.924356	0.91703284	0.95006645	0.8970475	0.91653603	0.88515836	0.9244567	0.9150493	0.92193395	0.9418753	0.9089947	0.930907	0.9102373	0.9795892	0.9592082	0.92555743	0.8947269	0.87868595	0.9419114	0.9079819	0.9290918	0.9045795	0.9419839	0.9847588	0.93211305	0.89252764	0.9637678	0.8596685	0.9675471	0.87063456	0.9068881	0.95276	0.9105679	0.91613674	0.99846804	0.92998135	0.893328	0.8895649	0.93388075	0.976815	0.8950397	0.89733565	0.9101933	0.9136145	0.88638437	0.8796018	0.8818283	0.9679005	0.8858378	0.9668307	0.8808528	0.9043582	0.93215847	0.9661196	0.84378713	0.9073478	0.9838654	0.970033	0.87236506
eigenlijk/adj	0.9747364	0.98233676	0.9168196	0.9681457	0.9750097	0.98661923	0.89304817	0.9494782	0.985739	0.98672354	0.9985142	0.856063	0.9996922	0.99912655	0.97719324	0.9986565	0.89865935	0.7606849	0.83121085	0.9099972	0.8978226	0.98977566	0.9637725	0.8991808	0.85885316	0.8358229	0.9932837	0.8047166	0.9395259	0.95866966	0.9160604	0.8805781	0.8785709	0.86076355	0.9240168	0.9986184	1.0	0.87836546	0.0	0.8240685	0.96841496	0.92332155	0.9160149	0.9016145	0.85463715	0.8490406	0.9587174	1.0	0.9996017	0.8376033	0.9093617	0.8484615	1.0	0.95421	0.99241424	0.9667906	0.99038434	0.8686954	0.82301533	0.7780834	0.962857	0.9763074	0.97095764	0.8966815	0.8568306	0.9713739	0.94958454	0.9447474	0.9883984	0.90469444	0.87693083	0.9879878	0.9635971	0.91725785	0.9285681	0.85995513	0.8996329	0.81430125	0.9670294	0.93701935	0.9643907	0.82318026	0.93004245	0.8532007	0.9564797	0.8999548	0.9251784	0.91791993	0.86472255	0.9491858	1.0	0.9778099	0.78588396	0.8728519	0.8404273	0.9353324	0.9829662	0.8627943	0.8278126	0.88755524	0.8277866	0.9704127	0.97953266	0.96008277	0.9346889	0.98511267	0.8771778	0.89352334	0.96276474	0.9342673	0.9408891	0.8653109	0.826714	0.9450415	0.98366094	0.86125153	0.97139466	0.94809043	0.9075567	0.9126095	0.9495904	0.93322873	0.9813178	0.9664723	0.94124764	0.93543434	0.86188185	1.0	0.9576205	0.93956566	0.9142946	0.9347191	0.94745505	0.838402	0.8404115	0.9390317	0.91818464	0.9031991	0.8740425	0.89084893	0.9369244	0.8800422	0.9640949	0.91435826	0.9399907	0.88920444	0.85417974	0.9791772	0.9834705	0.7781598	0.9351481	0.94934183	0.98032457	0.9150301	0.9087387	1.0	0.868252	0.95155257	0.90162843	0.9839145	0.9399812	0.86801744	0.8968273	0.9969241	0.95757234	0.915417	0.8902974	0.9335788	0.9344507	0.83413583	0.86837226	0.9163599	0.9309405	0.89325327	0.78770924	0.86486995	0.9932527	0.86735183	0.9630237	0.84120035	0.9049381	0.9375132	0.9007698	0.82397974	0.8349065	0.93295926	0.9554054	0.89711034
erg/adj	0.9909877	0.9914749	0.90870166	0.97183776	0.9874443	0.99373317	0.9422482	0.9657047	0.98730713	1.0	0.9997135	0.91112065	1.0	1.0	0.97860444	0.99182814	0.91286564	0.81804097	0.8756407	0.9018245	0.932151	0.98928094	0.9958042	0.87317693	0.88638383	0.8696971	0.98297566	0.82749486	0.9928253	0.9358366	0.9400413	0.8831475	0.85399854	0.8503006	0.96677935	0.98339844	1.0	0.8988477	0.8240685	0.0	0.89435315	0.94066536	0.9406054	0.9109757	0.8512918	0.8657254	0.9828693	0.99901444	1.0	0.8703254	0.8976624	0.85073155	0.93477875	0.98926646	0.9936473	0.97786045	0.9701647	0.85096765	0.8461063	0.8556787	0.96595633	0.9717586	0.9698388	0.9194389	0.8857522	0.9526501	0.9386599	0.9527552	1.0	0.94082844	0.881348	0.97214586	0.961828	0.90977657	0.96095854	0.8913358	0.9303658	0.8545575	0.9436498	0.9384485	0.9664343	0.8377961	0.94986105	0.87146306	0.97044843	0.9083904	0.9378497	0.8990829	0.8799548	0.96806645	0.9939868	0.98194176	0.8383861	0.8737807	0.85633487	0.9447806	0.99832344	0.86997473	0.8137972	0.8945401	0.8653914	0.9872456	0.9721415	0.957667	0.9156861	0.9865356	0.900393	0.9325048	0.9887803	0.9367915	0.99268323	0.8686478	0.81635773	0.92991716	0.9618624	0.8674178	0.94459456	0.9517469	0.89382243	0.93875355	0.93884945	0.95082957	0.98386806	0.9448076	0.9126753	0.9394114	0.87668264	1.0	0.93826115	0.9693464	0.910696	0.91743016	0.9433299	0.84904194	0.8490327	0.93515086	0.9119981	0.8976194	0.8973877	0.8842585	0.93065995	0.90676653	0.9928613	0.89266014	0.9570799	0.8949239	0.85895145	0.96278304	0.98887706	0.8311262	0.9324553	0.9466255	0.9908508	0.91284025	0.8601459	1.0	0.8690771	0.98168904	0.92976457	0.9841436	0.9119195	0.8788181	0.88892776	1.0	0.95268285	0.9336553	0.9233198	0.9281948	0.9647202	0.82998276	0.8913945	0.9287315	0.9325399	0.90169305	0.83197653	0.86110866	0.97922724	0.8865876	0.96005195	0.8419862	0.9265977	0.9737444	0.9242645	0.83974063	0.8591054	0.97910213	0.9516119	0.90721136
etiket/noun	0.98716915	0.9770835	0.95279765	0.9889734	0.9796046	0.9776496	0.9669495	0.9451072	0.9694188	0.981368	0.980534	0.95564854	0.99059993	0.98487437	0.9703833	0.9722414	0.9499831	0.9412971	0.9689521	0.93171275	0.926762	0.9878388	0.9839105	0.9230739	0.94184625	0.9360448	0.9496828	0.9006639	0.9674935	0.95318854	0.964925	0.9156382	0.96446466	0.95581543	0.9644404	0.9425581	0.9978088	0.96095484	0.96841496	0.89435315	0.0	0.9711791	0.94214535	0.973887	0.9107562	0.9695606	0.97889847	1.0	0.9979325	0.9442527	0.9645291	0.9450644	0.996674	0.98777515	0.9883691	0.96583325	0.9867283	0.9530046	0.9489125	0.9538404	0.9667121	0.966109	0.9848003	0.96217054	0.9454915	0.96798944	0.9783494	0.9561977	0.9885323	0.95646656	0.957706	0.975512	0.97600377	0.9484028	0.9863108	0.9043102	0.9650201	0.9666561	0.98016423	0.92967194	0.9496036	0.94680876	0.98385423	0.9528995	0.9886617	0.94965225	0.944034	0.9807568	0.95122313	0.97107106	0.9873384	0.9881807	0.9212917	0.93401736	0.957508	0.9817009	0.9875365	0.95430416	0.92045563	0.9603133	0.94274646	0.9578387	0.99937475	0.9802592	0.9479874	0.97717243	0.9572802	0.95917636	0.96838534	0.9583028	0.9916449	0.95748174	0.94126815	0.9650569	0.9934493	0.9592357	0.96530783	0.92722785	0.93946654	0.965208	0.95057243	0.9553623	1.0	0.9744117	0.974572	0.98614734	0.9500746	0.9873144	0.9705957	0.965544	0.9571283	0.9683198	0.96557117	0.97884995	0.9275284	0.9418802	0.94857234	0.967693	0.95501554	0.9418194	0.9791376	0.91003305	0.96540207	0.9343245	0.98385644	0.9529988	0.92313445	0.9691705	0.97920436	0.9429137	0.9414269	0.874923	0.98556376	0.979344	0.92792517	0.98811877	0.9516874	0.9705044	0.9635192	0.9568271	0.9446701	0.92832416	0.97571486	0.99157465	0.9754427	0.9369948	0.960318	0.9655316	0.9574426	0.9643622	0.9350881	0.9803838	0.981636	0.9648877	0.96913785	0.93578684	0.9698953	0.93360984	0.96122545	0.9404182	0.9471554	0.9682815	0.9593394	0.94523495	0.932052	0.96164656	0.9815867	0.9681471
evenzeer/adv	0.9775334	0.98117137	0.93572754	0.9352436	0.93572235	0.9921793	0.9162572	0.9416857	0.97913426	0.95177954	0.9826222	0.94426465	0.98358524	0.9830462	0.96239036	0.9613393	0.943427	0.95352376	0.9561222	0.93956107	0.96039844	0.96740496	0.95517045	0.94523704	0.95668423	0.94075716	0.962074	0.91822404	0.99241066	0.91563463	0.987675	0.917858	0.9526409	0.95175946	0.92463607	0.98373866	0.9969505	0.9547188	0.92332155	0.94066536	0.9711791	0.0	0.9548874	0.9418958	0.94218665	0.9659257	0.9911916	1.0	0.9682983	0.8975864	0.9412118	0.9739705	0.9724872	0.97879446	0.9991683	0.9594088	0.98335665	0.9855008	0.92838836	0.9387301	0.97930706	0.94264865	0.9400157	0.9717637	0.93586725	0.9569424	0.9445631	0.95264083	0.9934197	0.9428214	0.9168294	0.9805921	0.95653677	0.9748933	0.964382	0.9536717	0.972986	0.9102762	0.9495249	0.93182385	0.95595133	0.9062995	0.8950797	0.9451283	0.97657543	0.9647263	0.9627209	0.9626767	0.9347865	0.9872055	0.9695916	0.9820103	0.94816303	0.9357686	0.94893557	0.9432326	0.9456107	0.9195047	0.8945091	0.946455	0.9295107	0.973819	0.9873157	0.9534506	0.966999	0.97124916	0.94654286	0.9356375	0.9734142	0.94416094	0.97015524	0.9691009	0.9221422	0.9761888	0.98713166	0.9166976	0.9669923	0.9511765	0.91177577	0.9792685	0.9392091	0.9290592	0.9965088	0.98488766	0.94965667	0.9851619	0.95588714	1.0	0.97554076	0.9710948	0.952809	0.97639143	0.97634274	0.95409095	0.9489804	0.952543	0.9467128	0.9425051	0.93458086	0.90617585	0.9438096	0.955958	0.95248896	0.9445852	0.95128363	0.9445293	0.9370104	0.9929226	0.9486552	0.9531868	0.94989663	0.97184145	0.99092805	0.9701532	0.945794	0.9977948	0.93478465	0.97244614	0.93833584	0.9262748	0.96270424	0.92743486	0.93217254	0.97057176	0.99096644	0.92328185	0.93463576	0.9481294	0.9778147	0.9478483	0.9320986	0.9096898	0.97285473	0.95139587	0.9351366	0.9527393	0.95215815	0.95457625	0.99479854	0.9329589	0.946216	0.9373482	0.9598209	0.9008227	0.94028914	0.89622116	0.98686725	0.9183433
feite/adv	0.97301954	0.9502834	0.90646166	1.0	0.91307116	0.955026	0.9395546	0.9513453	0.96266496	0.9528905	0.99007654	0.9042674	0.9573142	0.97737503	0.9535017	0.9490313	0.94168746	0.91233885	0.91314137	0.94662166	0.92976594	0.98805356	0.9665575	0.92133933	0.90913904	0.9100683	0.9511332	0.8963332	0.9957591	0.9306203	0.9350179	0.87319064	0.9449157	0.9521929	0.953724	0.9775609	0.99836767	0.9243216	0.9160149	0.9406054	0.94214535	0.9548874	0.0	0.9180046	0.89592534	0.9497949	0.9858533	0.9645219	0.9902515	0.9591783	0.9235394	0.91768646	0.9645852	0.96574056	0.98118836	0.9576109	0.9813777	0.92865145	0.92692745	0.95230144	0.9815965	0.94840693	0.9608504	0.77995914	0.8830533	0.96255827	0.9731058	0.93867564	0.9497223	0.92222583	0.9353165	0.9600432	0.9605021	0.9555466	0.9604215	0.88903815	0.9496634	0.9299358	0.942243	0.9190306	0.96078813	0.9046825	0.9253508	0.94336444	0.9592567	0.93830377	0.94792855	0.8931229	0.9170526	0.92985153	0.98795265	0.95444065	0.92700803	0.8949221	0.9454352	0.9249263	0.959564	0.89442027	0.92117566	0.9617227	0.93183345	0.97783244	0.9954016	0.9706461	0.89721096	0.9822731	0.91874635	0.8877316	0.9507611	0.9270911	0.9364037	0.9203632	0.88149035	0.93098205	0.96396935	0.9204952	0.9740015	0.95033574	0.877054	0.9557521	0.91749096	0.8994727	0.993623	0.99107844	0.9512375	0.9379474	0.89263594	0.97354597	0.9347774	0.9456834	0.94263506	0.9672212	0.9530376	0.9096671	0.94640315	0.9534628	0.91304725	0.91579616	0.90387297	0.88493204	0.9626135	0.9265709	0.9654087	0.88176364	0.9504158	0.9306412	0.91007864	0.9898663	0.9496996	0.96129775	0.9451884	0.93708116	0.9512494	0.9382719	0.9266281	0.9564619	0.90327287	0.94681484	0.8948163	0.94340974	0.94910717	0.9090879	0.9349532	0.9743519	0.94502133	0.8670008	0.93561167	0.92839634	0.9755336	0.90522283	0.91622674	0.9122237	0.93630874	0.954481	0.93590766	0.86858517	0.96107703	0.9211874	0.9822401	0.87755036	0.8988594	0.9603464	0.88585585	0.8990514	0.9124673	0.9234943	0.96812695	0.9325496
fel/adj	0.97084665	0.95013255	0.87149507	0.9744754	0.9234869	0.93902564	0.90760744	0.9261665	0.95181006	0.9863966	0.9767619	0.91433436	0.9706582	0.9927864	0.9505677	0.8902644	0.89896226	0.88802093	0.88515437	0.91022855	0.9376127	0.9908713	0.9887876	0.88934165	0.8788337	0.8883898	0.97769773	0.90022355	0.98208	0.8280114	0.9235173	0.85125047	0.88700986	0.9171177	0.9061829	0.9960758	0.9839715	0.90324074	0.9016145	0.9109757	0.973887	0.9418958	0.9180046	0.0	0.91380906	0.9104499	0.9853353	0.9946686	0.97738886	0.9114361	0.8738948	0.9219138	0.97556937	0.94303596	0.9170788	0.9424351	0.9654111	0.9204544	0.9519297	0.9345765	0.9805295	0.96492666	0.9576451	0.9445764	0.86107755	0.9199904	0.92901564	0.93793243	0.9802641	0.88473713	0.87407184	0.9201625	0.9671466	0.93616235	0.90341234	0.92850935	0.9269323	0.8842231	0.94492346	0.92324644	0.9718782	0.8594946	0.8601083	0.9179075	0.9674059	0.90014684	0.930519	0.8386434	0.8827494	0.9808579	0.9889418	0.98023736	0.9063658	0.9036998	0.8671274	0.9127423	0.99083775	0.9103784	0.92673045	0.930298	0.887666	0.95118445	0.9606495	0.956588	0.9099447	0.97680485	0.9198475	0.8884273	0.95987034	0.8999729	0.9572903	0.9213144	0.86934906	0.94017255	0.9715902	0.8548968	0.93912363	0.9572664	0.79423666	0.9728161	0.8471879	0.87098503	0.9629347	0.9545853	0.94912857	0.9167807	0.88959134	0.9600193	0.8802321	0.9198746	0.95216805	0.9240236	0.9158031	0.9007554	0.9236427	0.95721006	0.9015303	0.92351115	0.876136	0.7749115	0.8591043	0.91478074	0.9848499	0.9176736	0.9327841	0.76852584	0.8962618	0.97181714	0.9362792	0.8660158	0.93866575	0.97442704	0.98025775	0.92990446	0.92713255	0.9558251	0.88193715	0.9669505	0.88797265	0.9728917	0.9111783	0.84797215	0.8642498	0.98874193	0.97910297	0.866051	0.88417846	0.86366385	0.92179143	0.85257417	0.8409671	0.87740564	0.87995696	0.9006277	0.8577566	0.8693044	0.9455992	0.8980639	0.9585689	0.848691	0.9281248	0.9652451	0.8896299	0.74663156	0.8502172	0.94393575	0.9658209	0.8950711
film/noun	0.95475733	0.9732342	0.8446549	0.99093235	0.9477041	0.91885054	0.89611936	0.886837	0.939468	0.9842589	0.98043174	0.9132488	0.97988474	0.9720516	0.9677924	0.9395055	0.9164272	0.8980686	0.8881815	0.8981229	0.91725665	0.9551891	0.9183731	0.9151532	0.85703135	0.80556524	0.94458234	0.7279655	0.9300466	0.8731965	0.9090493	0.837139	0.9094668	0.8741626	0.87812907	0.9487335	0.9982379	0.8576767	0.85463715	0.8512918	0.9107562	0.94218665	0.89592534	0.91380906	0.0	0.9331782	0.9769264	0.98868555	0.98460364	0.89998317	0.9106572	0.9290936	0.98769706	0.950482	0.9454078	0.9313208	0.9676257	0.8874495	0.91492367	0.8893205	0.946179	0.9387189	0.9782619	0.9264163	0.86243296	0.89512515	0.89044154	0.9531441	0.94959843	0.8701664	0.8368621	0.9750855	0.8963831	0.91403246	0.95489645	0.8813074	0.9073809	0.87819505	0.9151722	0.9390656	0.88499904	0.8645826	0.929633	0.8063085	0.97065115	0.8353334	0.9098052	0.90337783	0.9041407	0.9586446	0.9904016	0.9096723	0.86081576	0.83615685	0.82010466	0.92697054	0.97332513	0.8695167	0.8629802	0.9865484	0.8830721	0.9950208	0.906095	0.95152795	0.9485345	0.9772965	0.9115212	0.83158475	0.97070783	0.85469663	0.97014844	0.8786548	0.8713832	0.9163392	0.97377586	0.89293426	0.95984066	0.9134857	0.90247923	0.8800006	0.9270613	0.8739995	0.93850154	0.933095	0.9492222	0.912829	0.91692173	0.99142253	0.92811376	0.93825126	0.6648121	0.9327692	0.9035718	0.87837803	0.82553095	0.8293596	0.8848428	0.9047086	0.9318804	0.8902311	0.9755779	0.93214643	0.8736641	0.9632619	0.9243793	0.93530965	0.8813337	0.9376976	0.9870619	0.9238223	0.9281348	0.94174165	0.9730219	0.85324544	0.8816872	0.99560446	0.771518	0.95281446	0.9122444	0.9600882	0.95642984	0.8501588	0.9468947	0.9912695	0.9711366	0.9087537	0.89630055	0.9323344	0.93379474	0.9189469	0.91236293	0.9257572	0.93728817	0.87991786	0.8600154	0.8965685	0.96281505	0.8445768	0.950618	0.87293446	0.85205173	0.91042143	0.9640866	0.88957816	0.8982921	0.97376984	0.89781004	0.83931464
ga/verb	0.96728826	0.95802855	0.9172015	0.9823181	0.9635575	0.9599922	0.90362465	0.9564126	0.9562143	0.9864869	0.9870003	0.8363224	0.9746292	0.99507284	0.9678809	0.96987045	0.9104296	0.85956085	0.8847393	0.90954375	0.90885633	0.9802354	0.9563045	0.82468724	0.8348403	0.8584651	0.98765004	0.88294315	0.9856012	0.95318586	0.85263246	0.86856276	0.86699927	0.91273624	0.9740743	0.9637013	0.99771726	0.9369104	0.8490406	0.8657254	0.9695606	0.9659257	0.9497949	0.9104499	0.9331782	0.0	0.96997935	0.9732041	0.99377173	0.90826184	0.9545578	0.84740055	0.98623526	0.95742005	1.0	0.97476566	0.9922527	0.87004906	0.856653	0.8700291	0.9760541	0.97519	0.951786	0.8117568	0.7864096	0.9859085	0.967046	0.97762877	0.9982963	0.9354975	0.9257259	0.94021636	0.94244546	0.90345234	0.93777	0.73063934	0.9362417	0.9027649	0.95967424	0.89912915	0.9472187	0.904706	0.95964557	0.91413724	0.9929002	0.8835278	0.89375716	0.92106366	0.8720201	0.8515731	0.98489255	0.9839479	0.88049537	0.93183607	0.8864663	0.9398881	0.97178394	0.89644086	0.8723586	0.905941	0.8937288	0.99051887	0.9985505	0.96694964	0.8949583	0.97911745	0.8655788	0.9389867	0.98787373	0.92290545	0.9790772	0.8739835	0.80046594	0.9326601	0.9844096	0.91501856	0.9579105	0.9729798	0.93380225	0.95977503	0.9415426	0.95871514	0.99574906	0.9622643	0.9561579	0.95421374	0.84061074	0.96528214	0.9148632	0.95648056	0.97466195	0.92412585	0.940951	0.89299864	0.88764215	0.96366304	0.91915023	0.86593175	0.85959697	0.88912374	0.9559552	0.93117636	0.98554724	0.8938417	0.96708417	0.9245235	0.87346613	0.97929484	0.97898805	0.84273773	0.90903205	0.88104934	0.9794213	0.9081898	0.90038055	0.9964142	0.90019023	0.93581265	0.9110212	0.96608746	0.89450425	0.85466754	0.7468899	0.99891627	0.9808148	0.9672721	0.9457954	0.9315482	0.9644142	0.8374759	0.8834517	0.95796865	0.90109116	0.90460914	0.8601022	0.8281534	0.9701815	0.9164411	0.92151767	0.90391123	0.8895287	0.96709466	0.8079897	0.88809514	0.8207934	0.944173	0.96678317	0.90239286
geit/noun	0.9932249	0.9670862	0.91973525	0.9878003	0.95508796	0.9507738	0.9604723	0.94106007	0.92660195	0.99407625	0.98955095	0.9323148	0.9807112	0.944866	0.97125405	0.9637718	0.97168887	0.96387434	0.9781944	0.97170174	0.9797012	0.9413094	0.98529756	0.96888167	0.9625225	0.95465094	0.999926	0.94434106	0.9993107	0.968383	0.9154607	0.95746845	0.98704815	0.98891956	0.9813204	0.9922356	0.97767943	0.9635074	0.9587174	0.9828693	0.97889847	0.9911916	0.9858533	0.9853353	0.9769264	0.96997935	0.0	0.9771873	0.99253476	0.99582607	0.97525454	0.9831001	1.0	0.94161946	1.0	0.93881536	0.9959246	0.9859579	0.9567474	0.96480167	0.9792454	0.98984414	0.98830557	0.85054505	0.8891626	0.9824615	0.9909559	0.9451598	0.9618636	0.9514661	0.94511724	0.9903274	0.95785856	0.9035604	0.98736334	0.93384385	0.97721666	0.9608729	0.98162067	0.8905838	0.971285	0.9690112	0.97678995	0.95333934	0.985714	0.96026117	0.9206064	0.98272127	0.97196764	0.824383	0.98051035	0.990895	0.9691255	0.9755665	0.939019	0.95734453	0.9916714	0.9776994	0.97058505	0.9745719	0.96677095	0.9935299	0.98103225	0.9888623	0.96686524	0.99075633	0.9494784	0.9498761	0.97336364	0.9646145	0.96123695	0.8988932	0.9694112	0.97668916	0.97339916	0.93405986	0.9897768	0.9616398	0.9920483	0.96363616	0.98573947	0.9746941	0.9703709	0.9407957	0.91903377	0.946684	0.9883231	0.9807036	0.9909071	0.97321975	0.9679796	0.9629777	0.95879483	0.9802988	0.914144	0.9788558	0.9522761	0.9353357	0.9917299	0.97125024	0.9690494	0.9482985	0.9984778	0.99499625	0.95922273	0.9781644	0.9780075	0.98810136	0.9713577	0.9545573	0.9811925	0.99636537	0.96400946	0.98424965	0.9595681	0.9830736	0.9538447	0.8721194	0.97857773	0.9832759	0.96867895	0.9544017	0.9753234	1.0	0.9950175	0.9865066	0.96624887	0.9687626	0.985248	0.96715075	0.9621139	0.98292214	0.9785766	0.93819183	0.9639359	0.96120894	0.9862687	0.94822794	0.9852607	0.97704035	0.946749	0.957276	0.9846329	0.9784573	0.9858564	0.96550876	0.9906982	0.9539133
gelijkelijk/adv	0.9903411	0.9261376	0.98125416	0.99275064	0.99020237	0.98410326	0.99103653	0.99151504	0.99283415	0.9703268	0.9670374	0.96895015	0.99828297	0.90618265	0.9915442	0.97257346	0.9620189	1.0	1.0	0.94411045	0.99706006	0.9817532	0.9673616	0.9883608	0.9636338	0.98998547	1.0	0.99817187	0.94174117	0.98062634	0.9667175	0.9858104	0.99667704	1.0	0.9974185	0.99497914	1.0	0.99113923	1.0	0.99901444	1.0	1.0	0.9645219	0.9946686	0.98868555	0.9732041	0.9771873	0.0	0.9974246	1.0	0.9679072	1.0	1.0	0.99349725	0.9819035	0.91245425	0.9976413	1.0	0.99340963	0.98722607	0.99582404	0.97276187	0.9892639	0.9510156	0.9540855	0.98022276	0.9972646	0.9972909	1.0	0.9976759	0.9875448	0.95725816	0.98657167	0.97305244	1.0	0.9901453	0.9616546	1.0	0.99825394	0.9328758	0.99923927	0.9697186	0.99644643	0.995173	1.0	0.98043126	0.9722432	0.9991437	0.9601223	0.9495535	0.9734775	0.99818116	0.9976453	0.9759243	0.9994142	0.971308	1.0	0.99963903	1.0	1.0	0.99856997	0.98251003	0.9987138	0.98178345	0.98714584	0.96258307	0.9978043	0.9795874	0.9925426	0.9946362	1.0	0.9418699	0.98706675	0.9678163	1.0	0.9934874	0.9676478	0.9755559	0.9954603	0.9759999	1.0	0.9930219	1.0	0.96085644	0.94755894	0.98742753	0.98449653	0.9868482	0.97783303	0.9709315	0.9810435	0.976361	0.9952989	1.0	0.98940694	0.9840336	0.9768605	0.98423773	0.9609087	0.9735623	0.97633076	0.9907148	0.99745834	0.9941869	0.98183453	0.99493754	0.9936136	0.9837655	0.98227453	1.0	0.9881894	0.9829496	1.0	0.9991072	0.97685397	0.9999651	0.9954447	0.96288604	0.9824336	0.95607996	0.9905193	0.9826168	0.9866808	1.0	1.0	0.9992513	0.9827057	0.98353195	1.0	0.99030375	0.9778255	0.9881139	0.98899317	0.9759172	0.98724943	0.9975016	0.9711669	0.989817	0.99802256	0.99794585	0.9860714	0.9882651	0.9676761	0.9884031	0.99679816	0.98026186	1.0	0.9774516
