	1-1_gelijkspel/noun	Amerikaan/noun	Republikeins/adj	aanpak/noun	af/adv	alleen/adj	alleen/adv	allemaal/adv	alvast/adv	amateur_club/noun	ander/adj	arm/adj	baan/noun	bedwing/verb	begrijp/verb	bestuur_crisis/noun	bevrijd/verb	boel/noun	boer/noun	bouw/noun	bouw_op/verb	bovendien/adv	broer/noun	bruid/noun	buur/noun	carrière/noun	chauffeur/noun	club/noun	creativiteit/noun	daar/noun	dan/adv	designer/noun	dosis/noun	droog_leg/verb	drugsverslaafd/adj	duizenden/noun	dus/adv	en/adv	er/noun	even/adj	extra/adj	familie/noun	familie_lid/noun	fiets/noun	financier/verb	gang/noun	gedicht_DIM/noun	geld/noun	gelukkig/adj	gemeente_bestuur/noun	gestrand/adj	getroffen/adj	gezond/adj	gezondheidszorg/noun	ginds/adj	god/noun	goed/adj	graag/adj	handjevol/noun	heb/verb	het/noun	hier/adv	huis_bezitter/noun	humanitair/adj	iemand/noun	imago/noun	index/noun	job/noun	jongen/noun	jood/noun	juist/adj	kan/verb	kind/noun	klant/noun	kloof/noun	kom_voor/verb	lamentabele/adj	leer_aan/verb	lezer/noun	maaltijd/noun	maar/adv	maatregel/noun	mag/verb	man/noun	manier/noun	meen/verb	meer/adv	meisje/noun	meneer/noun	mens/noun	mentaliteit/noun	misschien/adv	moet/verb	natuurlijk/adj	niet/adv	niets/noun	niks/noun	nodig/adj	om/adj	ondersteun/verb	onmiddellijk/adj	ons/noun	oog_arts/noun	ook/adv	op/adj	opbouw/noun	organiseer/verb	ouder/noun	overkill/noun	overwinning/noun	partner/noun	passend/adj	persoon/noun	president/noun	probeer/verb	probleem/noun	proces/noun	professional/noun	red/verb	slachtoffer/noun	snel/adj	sociaal/adj	soms/adv	specialist/noun	spoor_op/verb	stap/noun	steun/verb	straf/noun	strijd/noun	structureer/verb	systeem/noun	taal/noun	taal_grens/noun	tekort/noun	therapeut/noun	tijdelijk/adj	toch/adv	toe/adv	tracht/verb	treed_in/verb	trouwens/adv	tussenstap/noun	uitstekend/adj	vader/noun	vaderland/noun	vakantieganger/noun	valk/noun	vang_op/verb	veel/adj	veiligheid/noun	ver/adj	verblijfsvergunning/noun	verstoot/verb	vertaal/verb	verzet/noun	vlot/adj	vooruit/adj	vooruit/adv	vrouw/noun	vul_in/verb	want/noun	weduwe/noun	weer/adv	weer/verb	weg/adj	weg/noun	wel/adv	wereld/noun	werk/noun	werknemer/noun	wijze/noun	wil/noun	wil/verb	word/verb	zaak/noun	zadel/noun	zal/verb	zeep/noun	zeker/adj	zelf/adv	zelfs/adv	zet_op/verb	zo/adv	zoek/verb	zogezegd/adj
1-1_gelijkspel/noun	0.0	0.9962085	1.0	0.9968361	1.0	0.9881177	0.99322224	0.98865855	0.9370786	0.9650321	0.9991332	0.9996009	0.99349475	0.96221745	0.97920156	0.942976	0.98676604	0.99239004	0.9762938	0.9883162	0.9744046	0.9978393	0.9657348	0.974946	0.89346164	0.9839446	0.99341786	0.7970322	0.9634506	0.96045214	0.99912286	0.9663533	0.97642195	0.9733608	0.99148524	0.9930149	0.9875803	0.99995	0.99334455	0.9917632	0.9925522	0.99434704	0.99724996	0.99638337	0.9820782	0.996555	0.9999591	0.9988095	0.93662715	0.9664936	0.9798301	0.99846804	0.98865175	0.9950285	0.9227283	0.9633057	0.9883228	0.96818393	0.97754264	0.9809144	1.0	0.9987219	1.0	0.9988872	0.9993295	0.9934842	0.9973527	0.9871403	0.9861214	0.9986889	0.9859998	0.9901714	0.99821323	0.9996495	0.94118416	0.9956986	0.9188776	0.9901421	0.9860413	0.9981945	0.99650705	0.9961999	0.96480703	0.9959097	1.0	0.9788049	0.9990743	0.9985967	0.9811286	1.0	0.99035597	0.9878156	0.98141134	1.0	0.8915575	0.99667716	0.9624811	0.9999201	0.99788487	0.99592495	0.99120235	0.95739317	0.9997537	0.99179953	0.966252	0.9873491	0.9558692	1.0	0.99860877	0.914782	0.9895041	0.9967783	0.9978284	0.9928825	0.9947355	0.98944235	0.97655666	0.9907686	0.9570907	0.99372005	0.9911855	0.9965241	1.0	0.98990315	0.9989147	0.9722005	0.9841254	0.98310745	0.9713421	0.99939346	0.9919924	0.9949572	0.9610292	0.9898929	0.98795676	0.99445456	0.99063027	1.0	0.9581883	0.98826027	0.9793857	0.9961784	0.9680543	0.99386895	0.99118555	0.9936765	1.0	0.98497874	0.9921765	0.9877387	0.87691224	0.9915712	0.99793154	0.9910561	0.9870143	0.96479297	0.99871016	0.9761957	0.9994213	0.9683159	0.9726685	0.9752467	0.9847874	0.9681764	0.9431673	0.97461456	0.9984524	0.9997219	0.9951773	0.9969867	0.9841662	1.0	0.9857615	0.9939889	0.9941476	0.99055463	0.9838696	0.9764948	0.97998387	0.9976118	0.99561834	0.97596383	1.0	0.9937659	0.9672376
Amerikaan/noun	0.9962085	0.0	0.8242495	0.93597335	0.93423593	0.91933656	0.9028581	0.89853334	0.92616886	0.972247	0.8833643	0.8633772	0.83989197	0.89861417	0.88802516	0.9977278	0.781633	0.94840854	0.86733997	0.8998378	0.9161945	0.8937639	0.777425	0.8544115	0.9210528	0.7576853	0.76404315	0.9142376	0.9644158	0.9667328	0.97545433	0.93572783	0.9229784	0.95066285	0.94652396	0.83139056	0.92011476	0.91926706	0.9440441	0.9426187	0.8657098	0.83724374	0.86086	0.879243	0.9007006	0.94855636	0.96631175	0.9476626	0.9199544	0.9502018	0.9458993	0.9102756	0.9358868	0.95172673	0.9485163	0.91991186	0.9422885	0.8989792	0.92450345	0.80058354	0.9300659	0.90201676	0.984727	0.8865122	0.9009249	0.9314201	0.92535233	0.87517995	0.9047878	0.84192044	0.8938669	0.9793991	0.928328	0.8832182	0.90699744	0.8768351	0.98523843	0.9616102	0.89897424	0.9300126	0.8739222	0.9405507	0.92059517	0.6591827	0.8986179	0.87253416	0.9292164	0.893929	0.8884911	0.85390913	0.92172045	0.89788777	0.9659666	0.88761294	0.98203725	0.9262945	0.92631304	0.8801589	0.9211868	0.9072608	0.9058163	0.90929407	0.9635254	0.9382147	0.8888371	0.95008874	0.9158324	0.89717567	0.9970947	0.8551493	0.8715402	0.94972557	0.8594234	0.8185796	0.84649014	0.9334327	0.84894097	0.8703545	0.8606073	0.7100569	0.8983741	0.9187636	0.94783986	0.8874024	0.89314777	0.942287	0.851434	0.86939067	0.8452687	0.9578497	0.93178374	0.91985166	0.96934015	0.88074756	0.9560227	0.9041583	0.9603157	0.9289114	0.91146624	0.89438	0.89348984	0.9955233	0.9102967	0.7291803	0.88606673	0.90594834	0.9878186	0.9032502	0.91630393	0.9195117	0.9336758	0.8874302	0.96523184	0.91248584	0.86737317	0.9377059	0.9585757	0.9196986	0.6926651	0.9115243	0.93863094	0.79654133	0.9093718	0.9485278	0.86831534	0.88826555	0.9546747	0.8282244	0.8796423	0.82683766	0.90532637	0.90505385	0.94118875	0.7812609	0.92530197	0.928153	0.883683	0.9656937	0.87404376	0.86282694	0.85544544	0.9017069	0.97079283	0.8755107	0.9522965
Republikeins/adj	1.0	0.8242495	0.0	0.9884926	0.9797966	0.98118424	0.9679167	0.97770983	0.96899694	0.99218917	0.9959112	0.92840415	0.92894316	0.95687383	0.9739005	1.0	0.9406326	0.9881661	0.9566857	0.9451842	0.97342515	0.9474648	0.9246265	0.9587748	0.97348547	0.93520534	0.92243755	0.9827262	0.9641295	0.98727053	0.9958469	0.96743643	0.94923	0.98218	0.98743594	0.9539157	0.9763161	0.9736407	0.9910115	0.97624534	0.95858175	0.9405888	0.9433099	0.9678563	0.9527785	0.97424746	0.9561791	0.9929794	0.97225446	0.9896156	0.9511752	0.9467823	0.97483486	0.9724292	0.99775517	0.96804076	0.9918538	0.9825509	0.9908971	0.9382035	0.99340576	0.962761	0.99955046	0.93311566	0.9747617	0.9539584	0.9779397	0.93226	0.9826062	0.9278654	0.97539586	0.99445	0.97430885	0.9435397	0.9890532	0.96374357	0.9747107	0.9801293	0.97804797	0.9414179	0.9398448	0.9738148	0.9862379	0.9155758	0.94684523	0.93098855	0.98216873	0.9683535	0.9519035	0.9369861	0.9563911	0.98277026	0.98659384	0.9714475	1.0	0.98424006	0.9915289	0.95521337	0.9723099	0.9704042	0.9738991	0.9781953	0.9799055	0.984766	0.9338098	0.96717864	0.97147435	0.9718829	1.0	0.96573055	0.935699	0.981508	0.9347532	0.8511014	0.9630449	0.9878259	0.9214658	0.9610155	0.95484394	0.94828737	0.9785037	0.97669125	0.9903543	0.9613812	0.9378212	0.99170756	0.92359895	0.9433446	0.9249923	0.9766971	0.96498334	0.98299634	0.9730174	0.9539514	0.9588602	0.94961566	1.0	0.9731745	0.950384	0.96120846	0.9655052	0.9953702	0.97240883	0.8811112	0.9545519	0.9850687	0.9471368	0.94794005	0.98198533	0.95498514	0.97872114	0.9613686	0.9945325	0.9438606	0.9115771	0.9788465	0.946989	0.9722674	0.9289716	0.9662622	0.9695223	0.90354735	0.97427976	0.98056865	0.9357196	0.9689809	0.9948592	0.93905133	0.95249933	0.93408424	0.9777061	0.95693743	0.98101085	0.89724225	0.9406553	0.96605796	0.9538713	0.9994452	0.9481625	0.9445253	0.96545064	0.94917345	0.9881446	0.99008954	0.96868515
aanpak/noun	0.9968361	0.93597335	0.9884926	0.0	0.9566313	0.90087754	0.9039794	0.9449901	0.88625604	0.947942	0.9411752	0.8989676	0.93882537	0.908367	0.86308706	0.94141775	0.97736025	0.94968843	0.90930855	0.9456654	0.9201093	0.88648087	0.92838603	0.98297375	0.9486208	0.86856425	0.9435875	0.8957791	0.9683276	0.87701243	0.9452391	0.98034203	0.99360955	0.99306923	0.92604333	0.92215496	0.88690704	0.92333376	0.88978916	0.91442007	0.92861164	0.9223677	0.9600574	0.93909127	0.94842356	0.93275964	0.9872172	0.9186631	0.88644147	0.9308363	0.98023903	0.9305029	0.92590517	0.95069677	0.98560804	0.9640201	0.9607046	0.89421105	0.9586009	0.84210294	0.8971337	0.9237879	0.999048	0.9604423	0.8857837	0.9252981	0.96494615	0.9586189	0.9161306	0.95303565	0.905985	0.9243194	0.9501784	0.9219632	0.9565307	0.8933155	0.9496673	0.9634911	0.9407491	0.9526235	0.94088453	0.8337488	0.8945111	0.9406601	0.8679658	0.78922	0.9439372	0.9392228	0.89501613	0.9665616	0.95623803	0.8579656	0.9677053	0.9343436	0.92559916	0.8723892	0.9478466	0.945307	0.9462209	0.8894384	0.8757733	0.9298215	0.98225105	0.8832758	0.9209304	0.9863206	0.91476303	0.9274719	0.95529366	0.9295082	0.9033947	0.9296236	0.9458536	0.9145729	0.8668377	0.8187104	0.94036055	0.9660488	0.8924616	0.92756	0.9376728	0.88512325	0.9035267	0.9289984	0.92732	0.8812465	0.8488841	0.91907424	0.85690767	0.97127	0.8503568	0.89719325	0.9711824	0.954919	0.98925257	0.9356506	0.9211548	0.93442726	0.9089445	0.98138905	0.8748202	0.9870915	0.9069291	0.9436669	0.9277164	0.9438517	1.0	0.8835224	0.9279455	0.922263	0.9085517	0.98228914	0.9984319	0.9703563	0.9264875	0.96398664	0.9734894	0.9322842	0.9450614	0.9498181	0.97942716	0.96156055	0.9229402	0.89970434	0.9550575	0.91389704	0.88683313	0.9315173	0.90949094	0.93613815	0.8876508	0.91519296	0.8171284	0.9584837	0.9071619	0.9441067	0.9194774	0.9885556	0.91264963	0.89544916	0.9123913	0.9059274	0.96882087	0.8947993	0.9853801
af/adv	1.0	0.93423593	0.9797966	0.9566313	0.0	0.8791744	0.9053085	0.92681175	0.9170357	0.981596	0.88750124	0.9703663	0.9682915	0.9443745	0.8938248	1.0	0.95053035	0.97934693	0.9450787	0.9667065	0.94180584	0.926265	0.8962052	0.9818871	0.96543354	0.92399514	0.95884275	0.9204234	0.9614129	0.9242659	0.9612873	0.98979855	0.98747313	1.0	0.9932753	0.9214849	0.8984543	0.40315706	0.9464226	0.88930506	0.9652458	0.88645476	0.95597583	0.9472613	0.9655761	0.9509243	0.99158126	0.94321424	0.88821554	0.9532201	0.9953654	0.9790763	0.95794094	0.9634043	0.99020106	0.88979214	0.9262239	0.8899095	0.99050575	0.9162342	0.9342266	0.9487094	1.0	0.98224944	0.8924981	0.9392394	0.98810214	0.9715539	0.91855395	0.9596585	0.92355996	0.97207713	0.9326264	0.96341455	0.94554234	0.9123012	0.96181834	0.972485	0.90415794	0.9785539	0.95012164	0.95752245	0.9340437	0.94739485	0.9558561	0.89804435	0.90504783	0.9178876	0.93295395	0.97817296	0.96050227	0.89846367	0.9748521	0.8748524	0.964992	0.9101335	0.9156923	0.949562	0.974023	0.9581576	0.9339198	0.9145918	0.9656985	0.9139214	0.9284668	0.95377594	0.94047743	0.93858504	0.9946378	0.9453996	0.91996664	0.9305013	0.964623	0.9485789	0.9108958	0.9746946	0.9651843	0.9650842	0.90318215	0.9552691	0.9560041	0.9627285	0.88209915	0.96141523	0.97163165	0.9316343	0.9511078	0.9764739	0.9587596	0.9767956	0.9235998	0.8913108	0.99242157	0.9927189	0.977413	0.9362907	0.92124474	0.4779467	0.9439967	0.9969112	0.9237977	1.0	0.89308804	0.90556633	0.9926399	0.97698087	0.9657911	0.9470676	0.9516932	0.9793388	0.9485452	0.9674011	0.97579473	0.8777282	0.9470938	0.96173805	0.971579	0.93003696	0.94325805	0.9716998	0.9521735	0.9417947	0.9038746	0.9291277	0.9183878	0.92437255	0.93290895	0.9157514	0.89899725	0.9701516	0.9183946	0.939176	0.9542437	0.9767238	0.9511216	0.94560355	0.95095575	0.9809582	0.92474794	0.86368746	0.9081808	0.9153257	0.9711129	0.912891	0.9601173
alleen/adj	0.9881177	0.91933656	0.98118424	0.90087754	0.8791744	0.0	0.77767664	0.8502555	0.8975553	0.9646195	0.8635716	0.9286277	0.92583835	0.9848329	0.8655141	0.9960449	0.9381881	0.95476794	0.93014055	0.93923545	0.9073549	0.8415919	0.90338033	0.97309595	0.9459795	0.9009668	0.9578235	0.9079618	0.95491415	0.91168225	0.9114896	0.9817451	0.99559295	0.98449516	0.9821487	0.8789687	0.8725698	0.848979	0.8721419	0.84959924	0.912813	0.9017073	0.9426167	0.94791317	0.8903613	0.93945676	0.95063585	0.868031	0.87959063	0.94413096	0.9888004	0.9641743	0.93959564	0.94299763	0.99331945	0.8859058	0.8443875	0.83229876	0.9630067	0.84109074	0.89289063	0.8873936	0.9998876	0.97052604	0.85176975	0.92081344	0.95233876	0.95917696	0.89937115	0.9346184	0.87244713	0.8946458	0.9223249	0.91426134	0.9622708	0.8983011	1.0	0.9769286	0.91977453	0.9563425	0.9023957	0.87188405	0.8309525	0.9233979	0.897765	0.898451	0.8587476	0.9045937	0.9179371	0.97264785	0.9548428	0.8500719	0.9050405	0.8529302	0.8666027	0.8758415	0.90686643	0.90975404	0.9464559	0.9609038	0.882151	0.9122744	0.956132	0.83134604	0.8354728	0.95799124	0.90444285	0.9178066	0.9978808	0.9023254	0.9104217	0.9585198	0.9495963	0.93297076	0.83940434	0.860348	0.8935621	0.9712593	0.87251234	0.91184545	0.8866594	0.9161024	0.8498371	0.93354845	0.95913893	0.8931187	0.91074777	0.9037949	0.8869424	0.99950373	0.9051092	0.9018479	0.9873161	0.9764928	0.9702297	0.9055424	0.84955305	0.840768	0.91454905	0.989366	0.84969807	0.99771386	0.8886873	0.87716436	0.94063246	0.97842133	0.9997253	0.9253984	0.8373265	0.92429245	0.86309904	0.9724474	0.99777466	0.8896904	0.9305259	0.9450073	0.96503234	0.9299029	0.91944	0.94884735	0.9726962	0.94515896	0.8580875	0.9330344	0.89230335	0.8713184	0.85240066	0.9206754	0.8941524	0.9409309	0.89329284	0.932343	0.85120153	0.92946815	0.8985091	0.9831452	0.9137847	0.99753255	0.8474034	0.7914825	0.87220216	0.8723191	0.84210396	0.83359236	0.967192
alleen/adv	0.99322224	0.9028581	0.9679167	0.9039794	0.9053085	0.77767664	0.0	0.795981	0.8803042	0.96452427	0.8545016	0.9072612	0.9017106	0.9612203	0.8528283	0.98122674	0.9369729	0.9091217	0.9192448	0.94566846	0.8934441	0.8334635	0.8799759	0.96512914	0.94424176	0.909706	0.94767106	0.8603223	0.9559994	0.88142335	0.8664305	0.9816301	0.965431	0.98469824	0.98584247	0.872592	0.8338076	0.8668636	0.86208165	0.85000765	0.88070035	0.89195555	0.9365226	0.90297353	0.8949427	0.92225266	0.9970717	0.91483015	0.87007236	0.94743407	0.9810702	0.9169077	0.9212736	0.8987724	0.9837342	0.8811502	0.86493003	0.8289877	0.94571173	0.8196931	0.8773139	0.8822086	0.99904615	0.95974857	0.8366546	0.88250947	0.9519199	0.9371138	0.9028666	0.9277658	0.8700674	0.8608335	0.91684145	0.89314896	0.9485764	0.8518258	0.99994636	0.9484363	0.91869587	0.95646536	0.8664018	0.8918252	0.8096958	0.9407197	0.8635577	0.86099184	0.8099865	0.9264444	0.9049393	0.9300304	0.94381744	0.8490759	0.8587997	0.83513767	0.87810844	0.8692537	0.896564	0.856338	0.9195139	0.92570436	0.89797074	0.87193465	0.9775252	0.80625695	0.83563447	0.91352844	0.8850678	0.93916655	0.9979743	0.87030256	0.8675054	0.96093774	0.93369806	0.9466701	0.8700716	0.8734759	0.91425437	0.97051543	0.8182531	0.9141845	0.8297845	0.8973291	0.8609183	0.92205805	0.9626428	0.8821361	0.8738468	0.9257554	0.8514753	0.9726299	0.9109573	0.89762074	0.98531276	0.92251813	0.95005363	0.9039369	0.89148825	0.8832209	0.88087034	0.9799298	0.8556325	0.97417647	0.8800685	0.9034761	0.94558275	0.9722946	0.98004776	0.88685477	0.8644753	0.913389	0.86278856	0.95247835	0.93959713	0.91815805	0.9210447	0.91359806	0.9704441	0.90541536	0.92122126	0.93282187	0.961145	0.9420678	0.8297703	0.8967698	0.86845845	0.8631309	0.8746952	0.8833705	0.9023477	0.8939123	0.8936324	0.9260999	0.8315198	0.91794705	0.8953527	0.97056174	0.86301535	0.9754732	0.838016	0.8001638	0.81023645	0.89630276	0.95513767	0.85693246	0.9678031
allemaal/adv	0.98865855	0.89853334	0.97770983	0.9449901	0.92681175	0.8502555	0.795981	0.0	0.89868456	0.95529586	0.8735628	0.9086997	0.91644734	0.9686068	0.8336624	0.9830399	0.89397246	0.9594412	0.93740314	0.9344332	0.9119749	0.8437696	0.8736128	0.97917515	0.9425781	0.90135676	0.94035864	0.9058022	0.96536034	0.8798901	0.76382726	0.97592527	0.9863815	0.9903683	0.9772684	0.8887583	0.8391628	0.86332285	0.85959166	0.82908803	0.910169	0.85509694	0.9313203	0.9044788	0.90467113	0.9021734	0.9680719	0.92026335	0.8427589	0.9422659	0.976346	0.97913826	0.9276592	0.9434132	0.9738393	0.9224833	0.8366065	0.84947395	0.95523745	0.87675554	0.8547336	0.8297236	1.0	0.984363	0.8374911	0.92295635	0.9588686	0.93710065	0.8760092	0.9211671	0.9249828	0.9011858	0.8930646	0.9274824	0.96266556	0.84652793	1.0	0.9407359	0.9168165	0.9673395	0.84171647	0.9030231	0.81960714	0.9409203	0.8752791	0.88224286	0.8515466	0.8912857	0.91619724	0.92607516	0.93884265	0.77491313	0.85420644	0.81906855	0.81433386	0.89552665	0.8936162	0.88657725	0.9500972	0.9455113	0.92165816	0.8832737	0.9836039	0.82291794	0.84855807	0.9449266	0.8834098	0.8871846	0.9966244	0.9249985	0.9273874	0.950127	0.90730554	0.9564496	0.8466457	0.90757114	0.9290641	0.9843342	0.89220506	0.91126525	0.9129359	0.9059178	0.8729762	0.9310488	0.9672652	0.90363574	0.9055899	0.92177254	0.9018733	0.9815976	0.9285948	0.90687716	0.97567594	0.9520037	0.9522577	0.92749506	0.7766628	0.87755525	0.9322629	0.9821088	0.86019886	0.99985	0.8834811	0.88029855	0.9721854	0.9754277	0.99958897	0.91779166	0.8240435	0.9029596	0.8815988	0.9653281	1.0	0.91981876	0.93295664	0.94477963	0.9345464	0.93920135	0.9408067	0.97266597	0.9772302	0.95577747	0.83852255	0.94228005	0.9184582	0.8910474	0.8378123	0.889215	0.8834343	0.92831635	0.89531404	0.9064206	0.8640111	0.8741293	0.89551985	0.96278644	0.86491024	0.9872782	0.8338094	0.8066162	0.83290195	0.8889848	0.9434148	0.87534183	0.9734021
alvast/adv	0.9370786	0.92616886	0.96899694	0.88625604	0.9170357	0.8975553	0.8803042	0.89868456	0.0	0.9444287	0.9297222	0.9123286	0.87242365	0.9514656	0.8758044	0.9724077	0.9396523	0.91720176	0.915589	0.8886915	0.88988787	0.84723604	0.87748194	0.955837	0.8712111	0.8832756	0.88565004	0.83309525	0.9349161	0.8858019	0.9284143	0.9444434	0.9639951	0.98619115	0.9691323	0.9056082	0.8552855	0.92085075	0.87196195	0.8566108	0.86689824	0.88833857	0.92076796	0.89006597	0.90442204	0.9361735	0.9759021	0.920426	0.85608745	0.8324202	0.95249236	0.91465586	0.9228186	0.9448695	0.93381345	0.92734945	0.88502777	0.8396334	0.95760465	0.8453993	0.93714213	0.9092978	0.9915297	0.9562484	0.8986026	0.8788536	0.9351797	0.8902747	0.90067905	0.9243166	0.89587	0.8936616	0.92415494	0.84024787	0.90449905	0.8914707	0.98151135	0.94435096	0.9004073	0.9255749	0.8961851	0.8572325	0.8205107	0.90612626	0.91775626	0.7993631	0.88854796	0.92097926	0.90247536	0.89219433	0.9519514	0.8913926	0.9085033	0.9000867	0.89039004	0.91658264	0.91012764	0.87924194	0.932379	0.88702816	0.8368161	0.9034328	0.983874	0.8343995	0.838151	0.96040183	0.7811887	0.92089486	0.993593	0.8419706	0.8585079	0.9529822	0.9035939	0.9126563	0.86065286	0.8682742	0.9311206	0.9647155	0.8443124	0.8970813	0.8657787	0.8798827	0.9035743	0.89063597	0.9560382	0.8824782	0.8343091	0.9188668	0.8850542	0.9682364	0.8784351	0.9362717	0.9412687	0.89865	0.9798258	0.87669504	0.8723289	0.9427389	0.85557944	0.9680536	0.82444704	0.95429045	0.84433234	0.89399517	0.9491716	0.9495	0.9565967	0.8788242	0.88221586	0.8927257	0.8549361	0.9736819	0.9976284	0.9370588	0.9194139	0.8713159	0.9099362	0.8801865	0.9082632	0.9247997	0.9539568	0.91979015	0.87105715	0.88131744	0.8798637	0.88981193	0.86849463	0.91117305	0.9075642	0.8689992	0.9054156	0.91721016	0.77402043	0.9243146	0.91204876	0.9342481	0.871839	0.98124677	0.8476387	0.8450185	0.8645088	0.82968295	0.97205335	0.85555255	0.9449487
amateur_club/noun	0.9650321	0.972247	0.99218917	0.947942	0.981596	0.9646195	0.96452427	0.95529586	0.9444287	0.0	0.99899524	0.96916103	0.9561844	0.9578775	0.9754653	0.9591033	0.9798968	0.9885499	0.98704106	0.9335495	0.94865817	0.9819137	0.96309817	0.98613894	0.96586996	0.9626183	0.9299252	0.7654167	0.99546045	0.97455007	0.97685736	0.9914572	0.99021024	0.99318886	0.9674034	0.9822907	0.96712077	0.9707253	0.9703311	0.9512626	0.955257	0.9737634	0.9549568	0.9864314	0.96959615	0.96628046	0.98424053	0.976975	0.96840215	0.9514241	0.95989364	0.99490607	0.9919888	0.9935264	0.96845704	0.98367363	0.9653458	0.96602035	0.9648989	0.8810305	0.9937472	0.9897295	0.95790863	0.98211616	0.97312486	0.9703338	0.97092474	0.95956576	0.96026546	0.9794702	0.98606837	0.9998589	0.98858976	0.97768456	0.9624932	0.927425	0.980767	0.97834057	0.94358116	0.9736777	0.9716623	0.9896551	0.94535166	0.94310033	0.981529	0.92025805	0.9558527	0.9618371	0.96411747	0.96874666	0.981182	0.98278904	0.98226637	0.9768894	0.981373	0.95111644	0.9938265	0.9614353	0.98228633	0.94635004	0.9893353	0.9887878	0.95811236	0.972691	0.95462465	0.9934643	0.9412192	0.9848106	0.9892637	0.8431488	0.9845912	0.9655854	0.9723947	0.99347067	0.9732285	0.9858928	0.9677008	0.9742891	0.9423232	0.96438557	0.9739462	0.95390743	0.9951128	0.9681768	0.9889479	0.96393025	0.97874767	0.9237149	0.96470547	0.9749052	0.9645438	0.9973787	0.9900004	0.9729243	0.9544316	0.9430975	0.95562756	0.9769221	0.9426013	0.98473334	0.9910566	1.0	0.9383599	0.9680819	0.98855335	0.9460304	0.9986409	0.9782823	0.9906933	0.9929721	0.93959206	0.9755862	0.9973733	0.96601284	0.9765091	0.9556204	0.982428	0.9529293	0.965341	0.9910792	0.9737186	0.96287227	0.9041612	0.949098	0.93242526	0.949508	0.98691577	0.992052	0.98671377	0.951329	0.94255817	0.99749386	0.96820503	0.9696568	0.97757393	0.9650738	0.9835515	0.9731974	0.9628144	0.97174263	0.9660981	0.95984685	0.9915082	0.98161477	0.9979182
