	Braziliaans/adj	Caraïbische/adj	Engels/adj	Frans/noun	Indisch/adj	Mechelaar/noun	Mexicaans/adj	Studio/noun	T-shirt/noun	Zuidafrikaans/adj	aanblik/noun	aangezet/adj	aantal/noun	accent/noun	accessoire/noun	afkomst/noun	afkomstig/adj	afval_water/noun	afzonderlijk/adj	alge/noun	alleen/adv	allemaal/adv	altijd/adv	anders/adj	anoniem/adj	antilichaam/noun	apartheid/noun	apparaat_DIM/noun	aquarel/noun	armband/noun	autentiek/adj	bak_DIM/noun	baksteen/noun	bal/noun	bal_DIM/noun	ballon/noun	bamboe/noun	banaan/noun	band_DIM/noun	barst_DIM/noun	baseer/verb	bastaard/noun	bedevaart/noun	bedien/verb	beeld/noun	begrip/noun	bekijk/verb	bekleed/verb	benader/verb	benadering/noun	beplak/verb	berichtgeving/noun	bescherming/noun	beschimp/verb	bestelling/noun	bevolking/noun	beweeg/verb	bezet/adj	bij/noun	bijeen/adj	bijt/verb	bijvoorbeeld/adv	bijzonder/adj	bind/verb	biologisch/adj	bizar/adj	blaas/verb	blad/noun	blank/adj	blauw/adj	bliksem/noun	bloed/noun	bloedrood/adj	bloem/noun	blok_DIM/noun	blond/adj	bodemloos/adj	boei/noun	bol_DIM/noun	bont/adj	bontjas/noun	boodschap/noun	boot_DIM/noun	bord/noun	bord_DIM/noun	bovenlaag/noun	breed/adj	breng_aan/verb	bril/noun	bril_DIM/noun	brok_DIM/noun	bruin/adj	buik/noun	buiten/adv	buurt/noun	cast/noun	chocolade/noun	colbert/noun	combi/noun	commentaar/noun	communautair/adj	compleet/adj	concept/noun	contour/noun	cowboy_hoed/noun	crew/noun	cultureel/adj	decennium/noun	decoratief/adj	definitie/noun	der/adv	diamant/noun	dien/verb	dier/noun	ding_DIM/noun	dissonanten/noun	divers/adj	doek/noun	donker/adj	doorn/noun	doorzichtig/adj	draag/verb	drijf/verb	drummer/noun	duizenden/noun	duurzaam/adj	eenzijdig/adj	effen/adj	elite/noun	elk/adv	en/adv	episode/noun	erg/adj	erger/verb	ergernis/noun	ets/noun	eveneens/adv	exemplaar/noun	farmaceutisch/adj	feestelijk/adj	fel/adj	felgekleurd/adj	figuur/noun	flard/noun	fles/noun	fles_DIM/noun	fonkel/adj	fontein_DIM/noun	foto/noun	fraai/adj	fris_op/verb	fruit/noun	ga_schuil/verb	gebruik/noun	gebruik/verb	geconcentreerd/adj	gedetailleerd/adj	gedoseerd/adj	geef/verb	geel/adj	geheel/adj	gehuld/adj	gen_therapie/noun	genre/noun	geparfumeerd/adj	geschiedenis/noun	gespierd/adj	gestapeld/adj	gevel/noun	gevuld/adj	gezien/adj	giet_af/verb	giftig/adj	gigantisch/adj	glas/noun	glas_DIM/noun	glasplaat/noun	glim/adj	goal/noun	gracht/noun	grijs/adj	grillig/adj	groen/adj	groente/noun	grond/noun	groot/adj	gun/verb	haar/noun	hagel_slag/noun	hang/verb	helder/adj	hele/adv	hemd/noun	hemel/noun	her/adv	herinner/verb	herken/verb	hilariteit/noun	historisch/adj	honderden/noun	horizontaal/adj	hotelkamer/noun	houten/adj	huid/noun	huis/noun	huis_DIM/noun	huiskamer/noun	hul/verb	identiteit_crisis/noun	ideologisch/adj	imago/noun	in/adj	inderdaad/adv	informatie/noun	inhoud/noun	inkt/noun	inmiddels/adv	instrumentatie/noun	intens/adj	intiem/adj	inzending/noun	jas_DIM/noun	jeans/noun	jong/adj	jongen/noun	jubel/adj	jurk/noun	kaars_DIM/noun	kaart/noun	kaart_DIM/noun	kamer/noun	kartel/noun	katholiek/noun	kauwgum/noun	kenmerk/verb	kil/adj	kind/noun	kip/noun	kleding/noun	klein/adj	kleur/noun	kleurig/adj	klodder/noun	knot_gek/adj	knus/adj	kook/verb	kop/noun	kop_DIM/noun	kous/noun	krul/verb	kunstmatig/adj	laan/noun	lang/adj	lantaarnpaal/noun	leeuw/noun	letterlijk/adj	levendig/adj	lichaam/noun	licht/adj	licht/noun	lichtbruin/adj	lig/verb	lijn/noun	lik_DIM/noun	lingerie/noun	links/adj	lippenstift/noun	lokaal/adj	loop_af/adj	maak/verb	maatschappij/noun	manschappen/noun	markeer/verb	marketing/noun	mascara/noun	matras/noun	medemens/noun	meer/adj	meisje/noun	melancholisch/adj	mens/noun	metaal/noun	meter/noun	metropool/noun	min/adj	minderheid/noun	mobieltje/noun	model/noun	monster/noun	moralistisch/adj	mysterieus/adj	mythologie/noun	naam/noun	naamloos/adj	naar/adj	nationalisme/noun	natuur_steen/noun	nestel/verb	net/adj	neutraal/adj	nieuws/noun	noot/noun	nostalgie/noun	noteer/verb	olympisch/adj	onder_klasse/noun	onderaan/adv	onderdaan/noun	onschuld/noun	oog/noun	oorspronkelijk/adj	op/adj	opdrachtgever/noun	opereer/verb	opvallend/adj	origineel/adj	ouderwets/adj	overhemd/noun	overstroming/noun	overtuigend/adj	paars/adj	paars_groen/adj	pantoffel/noun	papier/noun	pasta/noun	pastel/noun	patroon/noun	persoonlijk/adj	perspectief/noun	plak/verb	plastic/adj	plastic/noun	plein/noun	plek/noun	plexiglas/noun	plooi/noun	podium/noun	politiek/adj	pols/noun	portret/noun	pot_DIM/noun	potlood/noun	prachtig/adj	projector/noun	publiek/noun	raar/adj	rand/noun	rechthoek/noun	reeks/noun	regionaal/adj	reis_rond/verb	relaxt/adj	religie/noun	reliëf/noun	richting/noun	ring/noun	riskeer/verb	ritme/noun	rock/adj	ronde_DIM/noun	rood-groen/adj	rood-wit_blauw/adj	rood/adj	rood/noun	rood_wit/adj	rookwolk/noun	rose/adj	rosé/noun	ruik/verb	ruis/verb	rundvlees/noun	samenleving/noun	scheidsrechter/noun	schelp/noun	scherm/noun	schittering/noun	schoen/noun	scholier/noun	schreeuw/adj	selecteer/verb	set/noun	sfeer/noun	shirt/noun	sierlijk/adj	sla_op/verb	slim/adj	slinger_rond/verb	sluier/noun	sluit_uit/adj	snel/verb	soms/adv	soort/noun	sorteer/verb	sowieso/adv	spaarzaam/adj	speler/noun	spiegel/noun	spiegel_DIM/noun	spreekkoor/noun	sta/verb	sta_op/verb	staaf_DIM/noun	stad/noun	stadion/noun	stalen/adj	stam/noun	standpunt/noun	stap_pers/noun	stedelijk/adj	sterk/adj	stip_DIM/noun	stoel_DIM/noun	stoer/adj	stof_DIM/noun	straat/noun	stralend/adj	strand/noun	streep/noun	stuk/noun	substantie/noun	symbool/noun	tafel/noun	tafel_DIM/noun	tamelijk/adj	tapijt/noun	tatoeage/noun	tatoeages/noun	te/adv	tegel/noun	tekst/noun	tenger/adj	thee/noun	thema/noun	tint_DIM/noun	toef_DIM/noun	toevoeging/noun	tol/noun	toneel/noun	toon/verb	touroperator/noun	touw/noun	tover_om/verb	traag/adj	traditie/noun	traditioneel/adj	tragisch/adj	trap/noun	trappenhuis/noun	trek/noun	trek/verb	tropisch/adj	tros/noun	trui/noun	unilateralisme/noun	vaak/adj	vaar/verb	vang/verb	varieer/adj	veel/adj	vele/adj	vergeleken/adj	vergelijkbaar/adj	verhaal/noun	verschijnsel/noun	verschil/adj	verschuif/verb	versie/noun	versier/verb	versierd/adj	versleten/adj	verstik/adj	vervang/verb	verwerk/verb	verwissel/verb	vier/noun	vijver/noun	viltstift/noun	vis/noun	visie/noun	vlag_DIM/noun	vlak/noun	vlek/noun	vlek_DIM/noun	vleugel/noun	vlieg/verb	vlinder/noun	vloeistof/noun	voeling/noun	voering/noun	voetballer/noun	volgorde/noun	volledig/adj	voor/adv	voorbij/adv	voorganger/noun	voorhoofd/noun	voorkeur/noun	voorraad/noun	voorstelling/noun	voorwerp/noun	vorm/noun	vredig/adj	vreemd/adj	vriendin/noun	vrolijk/adj	vrouw/noun	vrouw_DIM/noun	waar/adv	waar/noun	waarheid/noun	waarschijnlijk/adj	wand/noun	wapper/adj	warm/adj	warmte/noun	was_middel/noun	water/noun	weef/verb	week/verb	weer/adv	weerstand/noun	wellicht/adv	wereld/noun	werknemer/noun	wijk/noun	wijlen/adv	wild/adj	wilg/noun	winkel/noun	wit/adj	wit/noun	wol/noun	wollig/adj	woord/noun	word/adj	zaal/noun	zacht/adj	zand/noun	zangeres/noun	zee/noun	zeer/adv	zeil/noun	zeur/verb	zie/verb	zie_terug/verb	zie_uit/verb	zit_DIM/noun	zit_aan/verb	zoek_uit/verb	zwart/adj	één/adv
Braziliaans/adj	0.0	0.7827078	0.627644	0.7983359	0.6402151	0.8746062	0.5658935	0.9086758	0.80520403	0.67207366	0.8116729	0.91822356	0.84833646	0.76627916	0.8336079	0.6193706	0.7503339	0.9557808	0.91256136	0.91756845	0.8040275	0.86213905	0.8795685	0.9263632	0.88177735	0.9797142	0.9423824	0.9242901	0.9492569	0.8397119	0.7014191	0.8673247	0.8592804	0.85100555	0.8766823	0.8585187	0.9185856	0.84916997	0.8390689	0.9912757	0.84609514	0.86563486	0.924601	0.91271406	0.85044557	0.9059931	0.8912488	0.87413937	0.7970456	0.8813771	0.9241315	0.94181263	0.8148726	0.85540426	0.8451232	0.8000963	0.77840376	0.83692694	0.90869236	0.85142803	0.8718483	0.8600694	0.8295107	0.8674035	0.8309141	0.8190191	0.8577595	0.87368464	0.7130609	0.8127824	0.8799246	0.8570855	0.94141126	0.85086584	0.8758122	0.8435373	0.95928216	0.9051554	0.9094085	0.7279073	0.8823567	0.91255546	0.93169063	0.88570106	0.855761	0.8015512	0.83828545	0.8173605	0.8282066	0.9000751	0.9596199	0.78554714	0.8827541	0.90696084	0.8385953	0.871256	0.88562155	0.88962543	0.9881582	0.9180412	0.85957503	0.7109281	0.8668895	0.8965671	0.81660545	0.82728225	0.73254144	0.8148679	0.84077466	0.7792682	0.92098516	0.877211	0.8780829	0.87646747	0.9204887	0.91795474	0.7952124	0.84867394	0.7862158	0.91731757	0.8660853	0.75824	0.8760343	0.71623755	0.78045905	0.8394016	0.89349365	0.8482213	0.79705477	0.82351303	0.89479315	0.9137115	0.88364404	0.8920841	0.86659163	0.9302228	0.8266119	0.8711958	0.9069826	0.76720476	0.8638185	0.852888	0.83552563	0.8346277	0.9141622	0.85301936	0.8457488	0.9777251	0.7927488	0.7843863	0.9247416	0.8863853	0.86352277	0.8302426	0.85519207	0.89124686	0.88125765	0.92008865	0.8665566	0.8088149	0.827881	0.76475394	0.97123486	0.7950835	0.91544795	0.8179927	0.8506863	0.9230384	0.8259349	0.86718094	0.9135229	0.98814857	0.89945483	0.8082884	0.87426466	0.9152112	0.9299497	0.7489753	0.8747778	0.934171	0.81895286	0.735963	0.8015572	0.85506463	0.9066319	0.875736	0.88404775	0.83870363	0.9346125	0.8371077	0.9040128	0.84953934	0.78272855	0.9122776	0.9067212	0.8696198	0.76064366	0.8969397	0.8353484	0.8183516	0.84920824	0.8644122	0.83771586	0.8798654	0.8791389	0.87838084	0.87202716	0.79521203	0.91413146	0.8450793	0.8595913	0.9543763	0.8362617	0.91378796	0.85483384	0.91992545	0.82608056	0.8841143	0.8604326	0.86851907	0.8416934	0.7874857	0.7857275	0.72150534	0.80896974	0.9627001	0.8135675	0.81946087	0.88306606	0.91413355	0.90569663	0.9071163	0.82582474	0.9429374	0.7577871	0.87132615	0.84778076	0.85405815	0.7743919	0.7970115	0.7708888	0.7683038	0.9869453	0.9348238	0.8537043	0.885827	0.9319333	0.8984488	0.8754518	0.88204634	0.8180021	0.821857	0.87072444	0.9604065	0.7691769	0.81068647	0.83619016	0.88502383	0.8146975	0.8901463	0.93548477	0.85039115	0.8722992	0.9580728	0.7922375	0.7836265	0.9181721	0.81217575	0.9004357	0.8464595	0.8484421	0.9204441	0.83851296	0.91693056	0.9133114	0.94867843	0.9201065	0.89909565	0.7707145	0.82820284	0.90960866	0.8453994	0.90135705	0.7594162	0.8905222	0.8705985	0.89005953	0.80539364	0.88789743	0.88094425	0.8079916	0.85930455	0.78714883	0.817281	0.87377834	0.8758945	0.84315133	0.8871803	0.84126794	0.82173806	0.9248127	0.7904557	0.88156885	0.94009423	0.81277454	0.861476	0.9477888	0.85905546	0.89279187	0.90288556	0.7551473	0.8751373	0.93391085	0.8828045	0.7470118	0.7767427	0.79941726	0.8444669	0.8805814	0.85553503	0.82116985	0.95449656	0.8984507	0.9159218	0.8704896	0.95915055	0.79976016	0.83173263	0.8768326	0.85377645	0.8243145	0.8766505	0.8470709	0.85475737	0.94272363	0.8909468	0.76220006	0.79204655	0.78914136	0.75290936	0.9238369	0.8963405	0.74926925	0.98075336	0.85365075	0.8812201	0.79665905	0.88591945	0.8715347	0.7948453	0.85764533	0.80560863	0.8719191	0.86640155	0.9049964	0.80108654	0.8421819	0.6428539	0.8728743	0.8915373	0.87072825	0.8813647	0.82614625	0.88148046	0.76980543	0.9109481	0.8039584	0.9119184	0.85121936	0.8965296	0.7724495	0.8538995	0.7970511	0.8823242	0.87691474	0.9267759	0.80782664	0.8690795	0.85893285	0.7296337	0.87191045	0.77167785	0.77587515	0.783251	0.8849169	0.8438612	0.91678655	0.89127046	0.80122757	0.9125416	0.8384329	0.8821429	0.89988697	0.88165253	0.83891475	0.75289404	0.8660915	0.8393912	0.8900273	0.85400677	0.8345589	0.8670746	0.81334454	0.82845247	0.8591243	0.8353995	0.92155015	0.90891147	0.8325372	0.91523534	0.9041765	0.9017795	0.76550865	0.9466448	0.85236657	0.87675166	0.8302214	0.8790143	0.8288711	0.9121523	0.8017489	0.84873384	0.8961887	0.8275362	0.8636412	0.9171531	0.8140235	0.91010624	0.886363	0.8346815	0.849151	0.8903605	0.8784132	0.820578	0.91436183	0.85379577	0.93239665	0.87683934	0.82504725	0.9498962	0.9361018	0.8227489	0.8527498	0.74477273	0.69034266	0.81592184	0.8956866	0.90639794	0.79336894	0.81366944	0.75584525	0.923911	0.87266016	0.97852266	0.8397722	0.8742738	0.85182863	0.83024466	0.88619757	0.805838	0.8036179	0.81991655	0.87652004	0.92882776	0.7816122	0.8773467	0.8364675	0.78714705	0.7572743	0.89482635	0.9267676	0.7650058	0.7982155	0.8194634	0.8944977	0.90887445	0.90451443	0.8260176	0.88075465	0.8012442	0.8944437	0.8741634	0.94649774	0.86953866	0.88351035	0.852265	0.9254356	0.8924396	0.887041	0.6602143	0.9029276	0.86137646	0.87935257	0.8571601	0.8931897	0.94558924	0.83587646	0.81971663	0.8787072	0.8114394	0.8330591	0.8842787	0.85321444	0.8205991	0.73436517	0.83892715	0.8866491	0.8096987	0.8308957	0.945743	0.91382456	0.8443719	0.8153771	0.8153829	0.9008468	0.9104234	0.8805443	0.84630275	0.8555504	0.854453	0.8985039	0.8557651	0.84761965	0.92391783	0.8796934	0.8824309	0.85778373	0.9362237	0.86084104	0.77808714	0.8655782	0.89008665	0.866503	0.90032893	0.8779911	0.9255582	0.865678	0.8793473	0.6535264	0.82742774	0.8596632	0.8660362	0.86236167	0.9212828	0.8517674	0.8621345	0.9490474	0.8513568	0.9324471	0.75124973	0.8928301
Caraïbische/adj	0.7827078	0.0	0.8102976	0.87667835	0.79261917	0.8798148	0.76451516	0.9059192	0.8841593	0.778853	0.8128029	0.87468743	0.8742995	0.8148873	0.8226595	0.85065234	0.78165483	0.9176377	0.826758	0.86795217	0.9140356	0.83408046	0.86016273	0.89513063	0.92569155	0.95762056	0.8183329	0.8725589	0.8483013	0.88024586	0.76982105	0.89524925	0.83759624	0.9620147	0.9121587	0.84224945	0.86046284	0.8818908	0.90415144	0.9461843	0.81233203	0.8446821	0.80766106	0.90788263	0.8316796	0.9129497	0.9344767	0.93050826	0.8616899	0.8784158	0.9204839	0.8985329	0.86894494	0.93321496	0.8622403	0.8355352	0.810439	0.88352245	0.9538559	0.915431	0.9277413	0.890667	0.8452798	0.8974078	0.8790377	0.84277457	0.87978125	0.8370447	0.85348815	0.8649502	0.8829772	0.8886052	0.93752676	0.83967286	0.89953977	0.919639	0.9347385	0.8616295	0.8734133	0.864165	0.9374752	0.9475585	0.8242556	0.925766	0.91249937	0.8589481	0.9073736	0.84297657	0.89852357	0.9370776	0.91431713	0.8425206	0.96003133	0.9020033	0.9179655	0.82645035	0.88158983	0.9274873	0.92704654	0.9333328	0.9103352	0.8296511	0.880396	0.8645283	0.8781423	0.8551737	0.8232726	0.8304868	0.84482783	0.8656355	0.91450137	0.84904695	0.8738828	0.88122505	0.9256912	0.8444171	0.81211567	0.8154403	0.8190454	0.97078514	0.93909603	0.90382224	0.7556171	0.85542464	0.8583161	0.82865614	0.8748772	0.9020388	0.871476	0.8913375	0.8824835	0.87305295	0.8977907	0.95404387	0.91872615	0.88071644	0.8640838	0.8456826	0.9100369	0.83960426	0.877562	0.8588932	0.84819245	0.8476608	0.90920645	0.8613654	0.8315143	0.91049474	0.8582938	0.8679641	0.85025656	0.85008377	0.8499826	0.93143207	0.9426616	0.9267624	0.88686275	0.87734175	0.88122904	0.8917466	0.82667613	0.84349555	0.9377861	0.82314	0.8965539	0.84392244	0.8959356	0.9089891	0.8890332	0.85742646	0.9179065	0.95441085	0.9076285	0.837283	0.88944525	0.90790266	0.93397516	0.8961506	0.94152564	0.88198256	0.9006951	0.82026327	0.8589579	0.8862115	0.9357903	0.8573348	0.9273556	0.9217591	0.9682456	0.9060904	0.80180895	0.78837204	0.8640576	0.8524258	0.92336625	0.91231287	0.87140065	0.8261847	0.8458223	0.84554887	0.87382066	0.90466887	0.88958836	0.90066814	0.87409663	0.86620694	0.84016037	0.8804452	0.85510886	0.8654282	0.9325924	0.9444472	0.8962569	0.8807453	0.8787398	0.8487347	0.86021066	0.8013818	0.8591075	0.822641	0.8824222	0.8858153	0.90823525	0.89973795	0.8918909	0.8542328	0.85950387	0.86801744	0.84102607	0.8662504	0.89545	0.9307993	0.82931095	0.96981865	0.7928927	0.82962066	0.8870889	0.918419	0.85135156	0.87198687	0.8108062	0.7769918	0.9163792	0.9041077	0.84719306	0.90491235	0.93451655	0.87503797	0.935588	0.9256135	0.8654438	0.9188365	0.9198186	0.9481023	0.8931745	0.8765983	0.75045484	0.9067453	0.8112143	0.8314295	0.9099473	0.8514905	0.85067713	0.97088265	0.8691659	0.8754844	0.93385047	0.8236073	0.8946336	0.8561343	0.8411199	0.8573944	0.8313072	0.9226455	0.9459459	0.880703	0.8684013	0.8960273	0.8637115	0.79203403	0.8361544	0.908895	0.9087728	0.83846366	0.8487071	0.84776556	0.9187895	0.7905614	0.92011595	0.8938819	0.88655037	0.80747133	0.933522	0.767184	0.83709335	0.8314687	0.86948967	0.8862723	0.9218701	0.9058298	0.94364625	0.83489025	0.8059891	0.8529135	0.8924881	0.8818076	0.95307136	0.84237134	0.90120655	0.9182394	0.8248253	0.93721265	0.922068	0.8834541	0.8169491	0.8379253	0.8261878	0.927449	0.7882379	0.8653892	0.8874667	0.87240887	0.93645704	0.91323876	0.90641606	0.9192599	0.7958906	0.8890372	0.92993873	0.9197024	0.89051026	0.87862104	0.869319	0.81076306	0.9368774	0.925115	0.92193985	0.87253344	0.93258226	0.83386296	0.896128	0.88020647	0.8136513	0.97325957	0.88254344	0.8795755	0.91512734	0.91776794	0.90523565	0.8131573	0.8992934	0.76115334	0.7941265	0.8559897	0.9349023	0.9314889	0.95995873	0.737451	0.8972395	0.8801701	0.8932626	0.9375687	0.8792385	0.90410787	0.9121964	0.891121	0.8726523	0.96105427	0.8937029	0.8213942	0.91301864	0.88231266	0.9735564	0.8774307	0.8367645	0.88101006	0.92315096	0.8795599	0.85360634	0.8785951	0.9270815	0.788789	0.89556515	0.81904364	0.91567326	0.8700062	0.9033142	0.9002824	0.82115024	0.94708395	0.8233346	0.8584763	0.9171074	0.8686873	0.8052123	0.8736274	0.95178646	0.94166315	0.87090516	0.90088695	0.94302094	0.95247555	0.8125863	0.8994907	0.9278283	0.8263761	0.916713	0.848262	0.89124084	0.77496415	0.8766234	0.86723936	0.8995366	0.9124616	0.9064476	0.85440606	0.73177254	0.9564616	0.8595375	0.8613926	0.81341505	0.9060512	0.8559443	0.87381303	0.85886747	0.9502552	0.9199173	0.9159343	0.88906753	0.8402544	0.88792056	0.88338137	0.7869959	0.80277765	0.9496161	0.85386026	0.90520024	0.87556183	0.8907192	0.8831837	0.91331	0.8548207	0.81818223	0.82742685	0.7501954	0.9270058	0.96965224	0.9070775	0.9030839	0.8770024	0.73365986	0.89144844	0.9189104	0.951946	0.837572	0.8622812	0.8937793	0.8571094	0.87046003	0.8302247	0.8970832	0.8802563	0.86787504	0.8889361	0.77930963	0.850338	0.8667571	0.8997922	0.8064855	0.8843473	0.71315336	0.93567634	0.8889942	0.94379807	0.97170264	0.91997105	0.9167123	0.82351685	0.8448612	0.8351691	0.85234594	0.8107512	0.8539914	0.89055026	0.90051645	0.82738614	0.9121976	0.8473221	0.94442916	0.85659397	0.90192795	0.85337615	0.94200087	0.8341528	0.881039	0.88208777	0.8700003	0.90762407	0.81920904	0.90111446	0.80289114	0.864788	0.8160171	0.9459296	0.830886	0.8792028	0.879364	0.77270114	0.8511773	0.9447417	0.8962509	0.88925123	0.82853675	0.8226342	0.8499455	0.9074358	0.8507284	0.8365071	0.911585	0.80296046	0.92319953	0.92091167	0.8980713	0.87658334	0.84509045	0.8065869	0.84669363	0.9275418	0.8580148	0.8648317	0.9218532	0.92564	0.8873403	0.90908676	0.88758826	0.8843797	0.86049485	0.86201286	0.83157206	0.7677854	0.8448937	0.84992	0.9676064	0.84621114	0.83147585	0.8917389	0.8999333	0.92682374	0.91077983	0.8515729	0.9490965
